子曰:學而時習之，不亦說乎?	Đức Khổng tử nói: “Học rồi mà tùy thời ôn tập, lại chẳng đẹp lòng sao?
詩云：“周雖舊邦，其命維新。”	“Kinh Thi rằng: ‘Nhà Chu tuy là nước cũ, mệnh của nước ấy lại mới.’.
文王之謂也。子力行之，亦以新子之國。使畢戰問井地。	Đó Tất Chiến được sai đi hỏi về phép tỉnh địa (chia đất theo chữ tỉnh).
孟子曰：子之君將行仁政，選擇而使子，子必勉之。	Mạnh Tử nói: “Vua của ông định thi hành nền chính trị nhân đạo, nên đã chọn ông mà sai đi; ông nên cố gắng.
夫仁政必自經界始。	Này, chính trị nhân đạo ắt khởi đầu từ cách phân chia giới hạn ruộng đất.
經界不正，井地不均，穀祿不平。	Chia giới hạn ruộng đất mà không ngay thẳng thì phép tỉnh địa không đều, bổng lộc thóc lúa không công bằng.
是故暴君污吏必慢其經界。	Vậy nên, những ông vua tàn bạo, những quan lại tham ô ắt khinh thường việc phân chia giới hạn ruộng đất.
經界既正，分田制祿，可坐而定也。	Việc chia giới hạn ruộng đất đã ngay thẳng, thì ruộng đất phân đều, bổng lộc có chừng mực, sự việc có thể ổn định bằng cách đơn giản (ngồi tại chỗ).
夫滕壤地褊小，將為君子焉，將為野人焉。	“Này đất đai nước Đằng tuy nhỏ hẹp, đều có người quân tử, đều có kẻ thôn dã.
無君子莫治野人，無野人莫養君子。	Không có quân tử, không ai cai trị kẻ thôn dã; không có kẻ thôn dã, không ai nuôi quân tử.
請野九一而助，國中什一使自賦。	“Đối với nông thôn, xin lấy một phần chín theo phép trợ; đối với dân ở kinh thành (quốc trung), xin lấy thuế một phần mười.
卿以下必有圭田。	Quan khanh trở xuống được có ruộng tiêu chuẩn (khuê điền).
圭田五十畝，餘夫二十五畝。	Ruộng tiêu chuẩn được 50 mẫu. Con trai chưa vợ (16 tuổi trở lên) được 25 mẫu.
死徙無出鄉，鄉田同井，出入相友，守望相助，疾病相扶持，則百姓親睦。	“Chết thì được chôn cất không ra khỏi làng. Ruộng đất trong làng cùng một khu chữ tỉnh, dân ra vào cùng là bạn của nhau, trông giư õ(trộm cướp) cùng trợ giúp nhau, có bệnh tật thì cùng nâng đỡ nhau; trăm họ sẽ thân thiết hoà nhã với nhau.
方里而井；井九百畝，其中為公田。	“Một dặm vuông là một tỉnh; một tỉnh có chín trăm mẫu. Ở giữa là công điền.
八家皆私百畝，同養公田。	Tám nhà đều có trăm mẫu tư điền. Tất cả cùng chăm sóc công điền.
公事畢，然後敢治私事，所以別野人也。	Việc công làm xong, rồi sau mới dám làm việc riêng; cốt để phân biệt ra những dân ở nông thôn vậy.
此其大略也。	“Đó là sách lược đại cương.
若夫潤澤之，則在君與子矣。	Nếu như muốn sắp đặt đầy đủ, thì ở tại vua và ông vậy.”. .
有為神農之言者許行，自楚之滕，踵門而告文公，曰：遠方之人，聞君行仁政，愿受一廛而為氓。文公與之處。	Có người tên là Hứa Hành, làm theo lời dạy của Thần Nông, từ nước Sở đến nước Đằng; đặt chân đến cổng thì báo với Văn Công rằng: “Người phương xa nghe tin vua thi hành nền chính trị nhân đạo, ước mong nhận được một chỗ ở mà làm dân của vua.” Văn Công cấp cho chỗ ở.
其徒數十人，皆衣褐，捆屨，織席以為食。	Các đệ tử của ông, vài chục người, đều mặc áo lông, bện dép, dệt chiếu để kiếm sống.
陳良之徒陳相與其弟辛，負耒耜而自宋之滕。曰：聞君行聖人之政，是亦聖人也，愿為聖人氓。	Có đệ tử của Trần Lương là Trần Tương, cùng với em là Tân, vác cày và lưỡi cày từ nước Tống đến nước Đằng, nói: “Nghe nói vua thi hành nền chính trị của thánh nhân, vậy cũng là thánh nhân. Chúng tôi mong ước được làm dân của thánh nhân.”.
陳相見許行而大悅，盡棄其學而學焉。	Trần Tương gặp Hứa Hành thì rất vui mừng. Bèn bỏ hết cái học của mình [nơi Trần Lương], mà học theo Hứa Hành.
陳相見孟子，道許行之言曰：滕君則誠賢君也；雖然，未聞道也。	Trần Tương ra mắt Mạnh Tử, nói về học thuyết của Hứa Hành rằng: “Vua nước Đằng thật là vua hiền. Tuy nhiên vua chưa nghe được đạo lý.
賢者與民並耕而食，饔飧而治。	Bậc hiền với dân đều cày ruộng kiếm ăn; tự nấu ăn sáng chiều mà cai trị.
今也滕有倉廩府庫，則是厲民而以自養也，惡得賢？	Nay, nước Đằng có các kho lẫm đầy thóc lúa; đó là tàn hại dân để nuôi mình. Sao là bậc hiền được?”.
孟子曰：許子必種粟而後食乎？	Mạnh Tử nói: “Hứa Tử chắc trồng lúa mà ăn chăng?”.
曰：然。	Đáp: “Đúng thế.”.
許子必織布而後衣乎？曰：否，許子衣褐。許子冠乎？曰：冠。	“Hứa Tử chắc dệt vải mà mặc chăng?” Đáp: “Không phải. Hứa Tử mặc áo lông.” “Hứa Tử đội mũ chứ?” Đáp “Đội mũ.”.
曰：奚冠？	Hỏi: “Mũ gì?”.
曰：冠素。	Đáp: “Mũ lụa trắng.”.
曰：自織之與？	Hỏi: “Tự dệt lấy chăng?”.
曰：否，以粟易之。	Đáp: “ Không phải. Đem lúa đổi lấy mũ.”.
曰：許子奚為不自織？	Hỏi: “Sao Hứa Tử không tự dệt?”.
曰：害於耕。	Đáp: “ Có hại cho việc cày cấy.”.
曰：許子以釜甑爨，以鐵耕乎？	Hỏi: “Hứa Tử có lấy nồi đồng, nồi đất thổi nấu, có lấy đồ sắt để cày cấy chăng?”.
曰：然。	Đáp: “Đúng thế.”.
自為之與？	“Tự làm lấy những thứ ấy chăng?”.
曰：否，以粟易之。	Đáp: “ Không phải. Đem lúa đổi lấy những thứ ấy.”.
以粟易械器者，不為厲陶冶；陶冶亦以其械器易粟者，豈為厲農夫哉？	Mạnh Tử nói: “Đem lúa đổi lấy những dụng cụ nấu nướng và cày cấy, không gây điều dữ cho những thợ gốm, thợ đúc; những thợ gốm, thợ đúc cũng đem các dụng cụ của mình đổi lấy lúa, lẽ nào gây điều dữ cho nhà nông sao?
且許子何不為陶冶，舍皆取諸其宮中而用之？	Vả lại, Hứa Tử sao chẳng làm thợ gốm, thợ đúc để giữ những đồ gốm, đồ đúc ấy trong nhà mà dùng?
何為紛紛然與百工交易？	Sao phải rắc rối trao đổi với các ngành công nghệ?
何許子之不憚煩？	Hứa Tử không sợ phiền nhiễu sao?”.
曰：百工之事，固不可耕且為也。	Đáp: “Làm việc của các ngành công nghệ, lại không thể cày cấy được.”.
然則治天下獨可耕且為與？	Mạnh Tử nói: “Vậy thì cai trị thiên hạ, một mình lại có thể cày cấy được ư?
有大人之事，有小人之事。	Có việc của bậc đại nhân, có việc của kẻ tiểu nhân.
且一人之身，而百工之所為備。如必自為而後用之，是率天下而路也。	Vả lại, thân xác một con người phải cần đầy đủ chức năng của các ngành công nghệ; nếu như tự mình làm lấy mà dùng sẽ khiến cho thiên hạ sống ngoài đường (chạy ngược chạy xuôi) vậy.
故曰：或勞心，或勞力。	Cho nên mới nói: ‘Có người lao nhọc tâm trí, có kẻ lao nhọc sức lực.
勞心者治人，勞力者治於人。	Người lao tâm thì cai trị người khác; kẻ lao lực thì được người khác cai trị.
治於人者食人，治人者食於人。天下之通義也。	Kẻ được người cai trị thì nuôi người; kẻ cai trị người thì được người nuôi.’ Đó là nghĩa lý phổ thông trong thiên hạ vậy.
當堯之時，天下猶未平，洪水橫流，泛濫於天下；草木暢茂，禽獸繁殖；五穀不登，禽獸逼人；獸蹄鳥跡之道，交於中國。	“Đương thời vua Nghiêu, thiên hạ còn chưa được bình yên. Nước lụt tràn lan, ngập khắp thiên hạ. Cây cỏ tha hồ sum suê. Chim muông sinh sản đông đúc. Năm giống lúa không thể cho kết quả. Chim muông lấn áp con người. Đường đi của móng chân thú, vết chân chim đan nhau khắp trong nước.
堯獨憂之，舉舜而敷治焉。	“Vua Nghiêu một mình lo nghĩ, mới cất nhắc ông Thuấn để mở rộng việc cai trị.
舜使益掌火；益烈山澤而焚之，禽獸逃匿。	Vua Thuấn sai ông Ích phụ trách về lửa. Ông Ích dùng lửa mạnh thiêu đốt các núi đầm. Chim muông chạy trốn.
禹疏九河，瀹濟，漯而注諸海；決汝，漢，排淮，泗，而注之江，然後中國可得而食也。	Ông Vũ đào khoét chín con sông, khơi sông Tế, sông Đạp cho chảy vào biển; vét sông Nhữ, sông Hán, bới sông Hoài, sông Tứ cho chảy vào sông Giang. “Sau đó, Trung Quốc mới có thể khai thác kiếm ăn.
當是時也，禹八年於外，三過其門而不入，雖欲耕，得乎？	Trong thời gian ấy, ông Vũ tám năm ở ngoài; ba lần đi ngang qua cửa nhà mình mà không vào. Tuy muốn cày cấy liệu có được chăng?
后稷教民稼穡，樹藝五穀，五穀熟而民人育。	Ông Hậu Tắc dạy dân cấy gặt, trồng tỉa năm giống lúa. Năm giống lúa chín thì dân chúng mới được nuôi nấng.
人之有道也，飽食暖衣，逸居而無教，則近於禽獸。	“Người ta phải có đạo lý; ăn no mặc ấm, ở nhàn mà không được dạy dỗ thì gần giống chim muông.
聖人有憂之，使契為司徒，教以人倫：父子有親，君臣有義，夫婦有別，長幼有序，朋友有信。	Thánh nhân có sự lo nghĩ, nên khiến ông Tiết làm quan Tư Đồ (phụ trách lễ giáo), lấy luân lý làm người mà dạy dỗ: cha con có tình thân, vua tôi có tình nghĩa, vợ chồng có phân biệt, người lớn trẻ nhỏ có thứ tự, bạn bè có niềm tin nhau.
放勛曰：“勞之來之，匡之直之，輔之翼之，使自得之；又從而振德之。”聖人之憂民如此，而暇耕乎？	“Ông Phóng Huân (vua Nghiêu) nói: ‘Hãy an ủi, vỗ về, sửa cho chính đính, sửa cho thẳng thắn, giúp rập, nâng đỡ, khiến dân tự thành tựu, lại theo nhau tiến lên bậc đạo đức.’ Thánh nhân lo lắng cho dân như thế, còn rảnh rỗi đâu mà cày cấy?.
堯以不得舜為己憂；舜以不得禹，皋陶為己憂。	“Vua Nghiêu lấy việc không mời được ông Thuấn làm mối lo lắng. Vua Thuấn lấy việc không mời được ông Vũ, ông Cao Dao làm mối lo lắng.
夫以百畝之不易為己憂者，農夫也。	Này, lấy trăm mẫu ruộng không dễ làm mối lo lắng, đó là nhà nông vậy.
分人以財謂之惠，教人以善謂之忠，為天下得人者謂之仁。	“Lấy của cải phân phát cho người gọi là huệ; lấy điều thiện dạy dỗ người gọi là trung thực. Vì thiên hạ mà mời được người, gọi là nhân.
是故以天下與人易，為天下得人難。	Cho nên đem thiên hạ trao cho người thì dễ, được người vì thiên hạ thì khó.
孔子曰：“大哉，堯之為君！	“Khổng Tử nói: ‘Lớn lao thay ông Nghiêu làm vua!
惟天為大，惟堯則之。	Chỉ có Trời là lớn lao. Vua Nghiêu bắt chước Trời vậy.
蕩蕩乎民無能名焉！	Bát ngát chừng nào! Dân không thể xưng tụng hết.
君哉舜也！	Xứng đáng vua thay là ông Thuấn. Cao cả chừng nào!
巍巍乎有天下而不與焉！”堯舜之治天下，豈無所用其心哉？	Có thiên hạ mà chẳng dính bén điều gì.’ Vua Nghiêu vua Thuấn cai trị thiên hạ, há không dùng hết tâm trí của mình sao?
亦不用於耕耳。	Cũng chẳng dùng tâm trí được vào việc cày cấy nữa.
吾聞用夏變夷者，未聞變於夷者也。	“Ta nghe nói dùng xứ Hoa Hạ biến đổi xứ man di, chưa nghe nói biến thành man di.
陳良，楚產也；悅周公，仲尼之道，北學於中國，北方之學者，未能或之先也。	Trần Lương sinh ở nước Sở, vui mừng vì đạo lý của Chu Công, Trọng Ni (Khổng Tử), đã lên phương bắc học ở Trung Quốc. Các học giả phương bắc chưa ai có thể đi trước được ông.
彼所謂豪杰之士也。	Ông ấy đáng gọi là nhà trí thức siêu quần.
子之兄弟事之數十年，師死而遂倍之。	Anh em ông phụng sự (theo học) ông ấy được vài chục năm. Thầy chết, bèn đã phản bội.
昔者孔子沒，三年之外，門人治任將歸，入揖於子貢，相嚮而哭，皆失聲，然後歸。	“Ngày xưa Khổng Tử mất, ngoài ba năm, các học trò tỏ ra hết lòng; lúc sắp về, vào vái chào Tử Cống, cùng ngoảnh vào nhau mà khóc lóc đến mất cả tiếng; rồi sau mới về.
子貢反，筑室於場，獨居三年，然後歸。	Tử Cống quay lại cất nhà tại chỗ (bên mộ),. đó ba năm sau mới về.
他日子夏，子張，子游以有若似聖人，欲以所事孔子事之，強曾子。	“Ngày khác, Tử Hạ, Tử Trương, Tử Du thấy Hữu Nhược hơi giống thánh nhân (Khổng Tử) muốn đem việc phụng thờ Khổng Tử mà thờ ông ấy; lại ép buộc cả Tăng Tử.
曾子曰：“不可，江漢以濯之，秋陽以暴之，皜皜乎不可尚已。”	Tăng Tử nói: ‘Không thể được. (cái món đồ) đã giặt ở sông Giang, sông Hán, rồi đem phơi dưới nắng thu, trắng trẻo biết bao, không gì có thể sánh được.”.
今也南蠻鴂舌之人，非先王之道，子倍子之師而學之，亦異於曾子矣。	“Ngày nay, có kẻ man di ở phương nam nói giọng như chim quyết, chẳng phải đạo lý của tiên vương, ông bội phản thầy ông (Trần Lương) mà học theo kẻ ấy (Hứa Hành), cũng là khác với Tăng Tử rồi.
吾聞出於幽穀，遷于喬木者，未聞下喬木而入於幽穀者。	Ta nghe nói (có câu tục ngữ) ‘Ra khỏi hang tối, bay lên cây cao’, chưa nghe nói xuống khỏi cây cao mà chui vào hang tối (bỏ Trần Lương theo Hứa Hành).
魯頌曰：“戎狄是膺，荊舒是懲。”	“Thiên Lỗ Tụng (Kinh Thi) nói: ‘Các Rợ Nhung, Địch bị đánh dẹp; các nước Kinh, Thư bị trừng trị.’ (Lời của Chu Công).
周公方且膺之，子是之學，亦為不善變矣。	Nơi mà Chu Công đánh dẹp đó là nơi ông theo học;.đó là biến đổi ra điều chẳng tốt vậy.” Trần Tương nói: “Theo đường lối của Hứa Tử, giá hàng ở chợ không có hai, trong nước sẽ không có gian tà.
從許子之道，則市賈不貳，國中無偽；雖使五尺之童適市，莫之或欺。	Tuy sai một đứa nhỏ năm thước (khoảng một thước tây) đến chợ, chẳng có ai lừa gạt được.
布帛長短同，則賈相若；麻縷絲絮輕重同，則賈相若；五穀多寡同，則賈相若；屨大小同，則賈相若。	Vải lụa dài ngắn bằng nhau, giá sẽ như nhau. Sợi gai, sợi vải, tơ mịn, tơ thô nhẹ nặng bằng nhau, giá sẽ như nhau. Năm giống lúa nhiều ít bằng nhau, giá sẽ như nhau. Giày dép lớn nhỏ bằng nhau, giá sẽ như nhau.”.
曰：夫物之不齊，物之情也。	Mạnh Tử nói: “Này, loài vật không đều nhau, đó là thực chất của loài vật.
或相倍蓰，或相什百，或相千萬；子比而同之，是亂天下也。	Hoặc hơn gấp năm; hoặc gấp mười, gấp trăm; hoặc gấp nghìn, gấp vạn. Ông đem chúng sánh bằng nhau, là gây rối loạn thiên hạ.
巨屨小屨同賈，人豈為之哉？	Dép lớn, dép nhỏ cùng một giá, người ta há làm ra sao?
從許子之道，相率而為偽者也，惡能治國家？	Theo đường lối của Hứa Tử, sẽ khiến làm ra những cái giả trá mà thôi. Sao có khả năng cai trị quốc gia được?”.
墨者夷之，因徐辟而求見孟子。	Di Chi, học giả theo phái Mặc Địch, đã nhờ Từ Tịch xin ra mắt Mạnh Tử.
孟子曰：吾固愿見，今吾尚病，病愈，我且往見。夷子不來。	Mạnh Tử nói: “Ta cố tình mong gặp; nhưng nay ta còn bệnh; khi bệnh khỏi, ta sẽ đến thăm, Di Tử không phải đến nữa.”.
他日又求見孟子。	Ngày khác, lại xin ra mắt Mạnh Tử.
孟子曰：吾今則可以見矣。	Mạnh Tử nói: “Ta nay đã có thể gặp được.
不直則道不見，我且直之。	Nếu không thẳng thắn, đạo lý không biểu hiện được. Ta sẽ thẳng thắn trình bày.
吾聞夷子墨者，墨之治喪也，以薄為其道也。	Ta nghe Di Tử học theo phái họ Mặc. Mặc Tử tổ chức việc tang theo đường lối đạm bạc.
夷子思以易天下，豈以為非是而不貴也？	Di Tử nghĩ rằng lấy đó mà sửa đổi thiên hạ há là việc làm chẳng phải sao, mà chẳng quý trọng?
然而夷子葬其親厚，則是以所賤事親也。	Tuy nhiên Di Tử an táng đấng thân một cách trọng hậu, rồi lại cho việc phụng thờ đấng thân theo cách đó là thấp hèn.”.
徐子以告夷子。	Từ T ử đem những lời ấy báo lại cho Di Tử.
夷子曰：儒者之道，古之人“若保赤子”，此言何謂也？	Di Tử nói: “Người thời xưa theo đạo lý nhà Nho cho rằng ‘Như bảo bọc con đỏ.’ Câu đó dạy điều gì?
之則以為愛無差等，施由親始。	Chi này cho rằng nghĩa là yêu người không phân hơn kém thứ bậc, nhưng khởi đầu thi thố từ đấng thân.”.
徐子以告孟子。	Từ Tử đem những lời ấy báo lại cho Mạnh Tử.
孟子曰：夫夷子信以為人之親其兄之子為若親其鄰之赤子乎？	Mạnh Tử nói: “Này, Di Tử tin rằng người ta thân yêu con của anh mình cũng như thân yêu đứa nhỏ của nhà hàng xóm ư?
彼有取爾也。	Câu đó (nhược bảo xích tử) mang ý thế này.
赤子匍匐將入井，非赤子之罪也。	Đứa nhỏ bò lổm ngổm sắp rơi xuống giếng, đó chẳng phải lỗi của đứa nhỏ.
且天之生物也使之一本，而夷子二本故也。	Vả lại Trời sinh ra loài vật, khiến cho có một gốc. Thế mà Di Tử cho là hai gốc, duyên cớ là thế.
蓋上世嘗有不葬其親者，其親死則舉而委之於壑。	“Thời thượng cổ không từng có việc an táng cha mẹ. Cha mẹ chết thì đem vất bỏ vào hang hốc.
他日過之，狐貍食之，蠅蚋姑嘬之。	Ngày khác qua đó, thấy chồn cáo ăn thịt, ruồi bọ lại đục khoét.
其顙有泚，睨而不視。夫泚也，非為人泚，中心達於面目。	Người ta rịn mồ hôi trán, liếc mắt mà chẳng dám nhìn. Này, mồ hôi rịn ra, chẳng phải rịn mồ hôi vì người khác, mà tại trong lòng phát hiện ra bộ mặt.
蓋歸反虆梩而掩之，掩之誠是也。	Bèn quay trở về, lấy sọt lấy cuốc mà chôn lấp đi. Chôn lấp mới thành lệ vậy.
則孝子仁人之掩其親，亦必有道矣。	Do đó, người con hiếu, kẻ có lòng nhân mới chôn lấp cha mẹ của mình; đó ắt cũng là đạo lý vậy.”.
徐子以告夷子。	Từ Tử đem những lời ấy báo lại cho Di Tử.
夷子憮然為間曰：命之矣。	Di Tử bùi ngùi, thẫn thờ nói rằng: “Đó là lời dạy bảo cho Chi này vậy.”.
陳代曰：不見諸侯，宜若小然。	Trần Đại nói: “Không yết kiến vua chư hầu, cách thích ứng ấy dường như là tiểu tiết thôi.
今一見之，大則以王，小則以霸。	Nay, một phen yết kiến, nếu gặp cơ hội lớn, thì nên nghiệp vương, gặp cơ hội nhỏ, thì nên nghiệp bá.
且志曰：“枉尺而直尋。”宜若可為也。	Vả lại sách Chí có nói: ‘Khom mình một thước mà đứng thẳng tám thước.’ (một tầm) Cách thích ứng ấy dường như có thể chấp nhận được.”.
孟子曰：昔齊景公田，招虞人以旌，不至，將殺之。	Mạnh Tử nói: “Xưa Tề Cảnh Công đi săn, cho gọi viên quan coi vườn thú bằng lá cờ tinh. Ông ấy không chịu đến, vua muốn đem giết.
“志士不忘在溝壑，勇士不忘喪其元。”	‘Người chí sĩ chẳng quên bị chết ở ngòi rãnh; người dũng sĩ chẳng quên bị mất đầu.’.
孔子奚取焉？	Sao Khổng Tử chọn lấy câu này để nói về ông ấy?
取非其招不往也。	Người giữ giá trị thì chẳng phải cách gọi, chẳng ra đi.
如不待其招而往，何哉？	Còn như người chẳng đợi mời gọi mà đã đi, còn ra làm sao nữa?.
且夫枉尺而直尋者，以利言也。	“Vả lại, câu ‘Khom mình một thước mà đứng thẳng tám thước’ là nói về lợi.
如以利，則枉尋直尺而利，亦可為與？	Như để được lợi, thì khom mình tám thước để được cái lợi đứng thẳng một thước, cũng đáng làm ư?.
或以告王良，良曰：“請復之。”	Lương nói: ‘Xin lại đi săn.’ Bị ép uổng rồi sau (Bế Hề) mới chịu.
強而後可，一朝而獲十禽。	Trong một buổi sáng mà bắn được mười con chim.
嬖奚反命曰：“天下之良工也。”	Bế Hề trở về trình rằng: ‘Đó là kẻ đánh xe giỏi trong thiên hạ.’.
良不可，曰：“吾為之范，我馳驅，終日不獲一；為之詭遇，一朝而獲十。	Lương không chịu, nói rằng: ‘Tôi giữ theo phép tắc mà rong ruổi xe ngựa, cuối ngày mà chẳng bắn được một con; còn cho chạy bậy chạy bạ, thì một buổi sáng bắn được mười con!’.
詩云：不失其馳，舍矢如破。我不貫與小人乘，請辭。”	Kinh Thi rằng: ‘Chẳng bỏ mất phép đánh xe, mũi tên buông ra như bức phá.’ Tôi chẳng quen dong xe cho kẻ tiểu nhân. Xin kiếu từ.’.
御者且羞與射者比。	“Người đánh xe còn xấu hổ khi sánh vai với kẻ săn bắn.
比而得禽獸，雖若丘陵，弗為也。	Sánh vai mà được chim thú tuy chất cao như gò đống, cũng chẳng buồn làm.
如枉道而從彼，何也？	Ví như phải bẻ cong đạo lý mà đi theo ai đó (vua chư hầu), còn ra thế nào?
且子過矣，枉己者，未有能直人者也。	Hoá ra ngươi lầm lỗi mất rồi, kẻ khom mình chưa từng có khả năng nắn thẳng được người vậy.”.
景春曰：公孫衍，張儀豈不誠大丈夫哉？	Cảnh Xuân nói: “Công Tôn Diễn, Trương Nghi há không thật là bậc tài trai lỗi lạc sao?
一怒而諸侯懼，安居而天下熄。	Một cơn giận của họ mà chư hầu run sợ; họ ở yên thì thiên hạ được vô sự.”.
孟子曰：是焉得為大丈夫乎？	Mạnh Tử nói: “Như thế sao là bậc tài trai lỗi lạc được?
子未學禮乎？	Ông chưa học Lễ ư?
丈夫之冠也，父命之；女子之嫁也，母命之，往送之門，戒之曰：“往之女家，必敬必戒，無違夫子。”以順為正者，妾婦之道也。	Vào lễ đội mũ, người con trai vâng lời dạy của cha. Vào tuổi lấy chồng, người con gái vâng lời dạy của mẹ. Ở ngưỡng cửa lúc tiễn con ra đi, mẹ răn bảo rằng: ‘Con về nhà chồng, phải tôn kính, phải giữ gìn, không được trái ý chồng.’ Lấy sự thuận thảo làm chính, đó là đạo làm vợ vậy.
居天下之廣居，立天下之正位，行天下之大道；得志與民由之，不得志，獨行其道；富貴不能淫，貧賤不能移，威武不能屈。此之謂大丈夫。	“Ở vào chỗ rộng rãi trong thiên hạ, đứng vào vị trí chính đáng trong thiên hạ, thực hành đạo lớn trong thiên hạ; đạt được chí hướng thì cùng dân noi theo; không đạt được chí hướng thì một mình thực hành đạo của mình; giàu sang không động lòng phóng túng; nghèo hèn không dời đổi chí hướng; uy quyền vũ lực không làm nhụt chí; thế mới gọi là bậc tài trai lỗi lạc.”.
周霄問曰：古之君子仕乎？	Châu Tiêu hỏi rằng: “Bậc quân tử ngày xưa có làm quan chăng?”.
孟子曰：仕。	Mạnh Tử đáp: “Có làm quan.
傳曰：“孔子三月無君，則皇皇如也。出疆必載質。”	Sách Truyện nói rằng: ‘Khổng Tử ba tháng không phò vua, cảm thấy như nao nao; ra khỏi bờ cõi, ắt đem theo lễ vật.’.
公明儀曰：“古之人三月無君則吊。”	Công Minh Nghi đã nói: ‘Người xưa ba tháng không phò vua, thì (thân hữu) thăm viếng an ủi.’”.
三月無君則吊，不以急乎？	“Ba tháng không phò vua, mà đã thăm viếng an ủi, chẳng là vội vàng sao?”.
曰：士之失位也，猶諸侯之失國家也。	Mạnh Tử đáp: “Kẻ sĩ mất chức vị cũng như vua chư hầu mất nước. Kinh.
禮曰：“諸侯耕助，以供粢盛。夫人蠶繅，以為衣服。犧牲不成，粢盛不潔，衣服不備，不敢以祭。	Lễ nói rằng: ‘Vua chư hầu canh tác được dân trợ giúp để có xôi nếp mà dâng cúng; phu nhân chăm tằm ươm tơ để may sắm y phục (khi mất nước).’ Các con vật dâng cúng đã chẳng có, chẳng có xôi nếp tinh sạch, y phục chẳng hoàn bị, các vua chẳng dám tế cúng.
惟士無田，則亦不祭。”	Riêng kẻ sĩ (mất chức vị) không có ruộng (tiêu chuẩn) thì cũng chẳng tế cúng.
牲殺器皿衣服不備，不敢以祭，則不敢以宴，亦不足吊乎？	Những con vật để sát tế, những bát đĩa mâm bàn, những y phục không được hoàn bị thì không dám tế cúng (tổ tiên), nên (kẻ sĩ) chẳng được an vui. (Những điều ấy) cũng không đủ để được thăm viếng an ủi sao?”.
出疆必載質，何也？	“Ra khỏi bờ cõi, ắt đem theo lễ vật, là thế nào?”.
曰：士之仕也，猶農夫之耕也。	Mạnh Tử đáp: “Kẻ sĩ ra làm quan cũng như nông phu đi cày cấy.
農夫豈為出疆舍其耒耜哉？	Nông phu há ra khỏi bờ cõi mà bỏ cày bừa của mình chăng?”.
曰：晉國亦仕國也，未嘗聞仕如此其急。	Châu Tiêu nói: “Nước Tấn cũng có người đi làm quan ở nước ngoài. Chưa từng nghe làm quan mà vội vàng như thế.
仕如此其急也，君子之難仕，何也？	Làm quan mà vội vàng như thế, thì bậc quân tử khó được chức quan, phải làm sao?”.
曰：丈夫生而愿為之有室，女子生而愿為之有家。	Mạnh Tử đáp: “Sinh con trai, thì mong ước cho có vợ; sinh con gái, thì mong ước cho có chồng.
父母之心，人皆有之。	Tấm lòng của cha mẹ, mọi người đều như thế.
不待父母之命，媒妁之言，鑽穴隙相窺，逾墻相從，則父母，國人皆賤之。	Không đợi lệnh của cha mẹ, mai mối đưa lời, mà khoét lỗ vách ngó nhau, trèo tường theo nhau, thì cha mẹ và người trong nước đều cho là hèn hạ.
古之人未嘗不欲仕也，又惡不由其道。	Người xưa chưa từng không muốn làm quan, nhưng lại ghét đường lối không do đạo lý.
不由其道而往者，與鉆穴隙之類也。	Không do đạo lý mà tiến hành, đó là cùng loại với đám khoét vách mà thôi.”.
彭更問曰：後車數十乘，從者數百人，以傳食於諸侯，不以泰乎？	Bành Canh hỏi rằng: “Mấy chục cỗ xe theo đằng sau xe thầy, mấy trăm người tháp tùng thầy, khiến cho vua chư hầu phải nuôi ăn, chẳng là thái quá sao?”.
孟子曰：非其道，則一簞食不可受於人。	Mạnh Tử nói: “Chẳng phải có đạo, thì một giỏ lương thực cũng không nên nhận lãnh ở người.
如其道，則舜受堯之天下，不以為泰，子以為泰乎？	Nếu như giữ được đạo, thì vua Thuấn nhận thiên hạ của vua Nghiêu, đâu có gì thái quá. Ngươi cho là thái quá sao?”.
曰：否。	Đáp: “Không phải.
士無事而食，不可也。	Nhưng kẻ sĩ không làm việc gì mà ăn, thì không thể được.”.
曰：子不通功易事，以羨補不足，則農有餘粟，女有餘布。	Mạnh Tử nói: “Ngươi mà không chấp nhận trao công đổi việc, đem cái thừa bù cho chỗ thiếu, thì nhà nông sẽ thừa thóc, phụ nữ sẽ thừa vải.
子如通之，則梓匠輪輿皆得食於子。	Nếu như ngươi chấp nhận sự đổi chác, thì những thợ rừng, thợ mộc, thợ làm bánh xe, đóng xe... đều sẽ nhận được thực phẩm nơi ngươi.
於此有人焉；入則孝，出則悌，守先王之道，以待後之學者，而不得食於子。	Ở đây có người, vào thì có hiếu, ra thì cư xử tốt, giữ đạo của tiên vương để chờ đợi (truyền cho) những kẻ đi học ở thế hệ sau, thế mà chẳng nhận được thực phẩm nơi ngươi.
子何尊梓匠輪輿而輕為仁義者哉？	Sao ngươi lại tôn trọng những thợ rừng, thợ mộc, thợ làm bánh xe, đóng xe... mà coi nhẹ bậc nhân nghĩa như vậy?”.
曰：梓匠輪輿，其志將以求食也。	Bành Canh nói: “Những thợ rừng, thợ mộc, thợ làm bánh xe, đóng xe... chí hướng của họ là tìm thực phẩm.
君子之為道也，其志亦將以求食與？	Người quân tử theo đạo, chí hướng cũng là tìm thực phẩm sao?”.
曰：子何以其志為哉？	Đáp: “Sao ngươi đem chí hướng ra đây làm gì?
