大南寔錄/大南正編列傳初集/卷01。	QUYỂN 1.
軍士久疲，皆無戰心。	Nhưng quân lính mỏi mệt đã lâu đều không có lòng chiến đấu.
惠密使有整以蠟書約廷體內應，而僞達于俅。	Huệ mật sai Hữu Chỉnh đem thư bọc nến ước với Đình Thể làm nội ứng, mà giả cách đưa lầm đến cho Cầu.
俅以體與整同出五福門下，必不利於己，內懷疑懼，私計迎降，以圖茍免。	Cầu cho là Thể với Chỉnh cùng là môn hạ của Ngũ Phúc, tất không lợi cho mình, trong lòng ngờ vực sợ hãi, riêng tính kế đón hàng, để mong được thoát khỏi chết.
既而惠兵奄至，水步夾攻，俅使體出城迎戰。	Rồi thì quân Huệ chợt đến, quân thuỷ quân bộ đánh giáp Cầu sai Thể ra khỏi thành đón đánh.
城臨江，惠舟師仰視城脚，高二丈餘，不能仰射。體發大礮沉一船，惠兵稍卻。	Thành gần bờ sông, quân ở thuyền của Huệ ngửa trông lên chân thành cao hơn 2 trượng, không thể ngửa lên bắn được, Thể bắn súng lớn chìm một chiếc thuyền, quân Huệ hơi lùi.
忽江水暴漲，船遂逼城對射，而縱步兵圍諸城門。	Chợt khi nước sông lên mạnh thuyền sát đến thành, chiếu vào thành mà bắn, rồi cho quân bộ vây các cửa thành.
體與其二子力戰，斬殺數百人，藥彈俱盡，使人請于俅，不許。	Thể cùng hai con hết sức đánh, chém giết được vài trăm người.
體大怒，欲入城先殺俅而後出戰，已見城上豎白旗矣。	Thuốc đạn đều hết, sai người xin ở Cầu, Cầu không cho, Thể cả giận, muốn vào thành giết Cầu trước rồi sau mới ra đánh, thì đã thấy trên thành dựng cờ trắng rồi.
體復麾兵以短刀接戰，殺數十人，二子皆沒于陣。	Thể lại vây quân đem dao ngắn đánh tiếp, giết được vài mươi người, hai con đều chết ở trận.
體力屈，亦自頸於象棚上。	Thể sức kém, cũng tự đâm cổ chết ở trên bành voi.
惠驅兵入城，大肆殺戮，北兵在城中數萬人皆殲之。	Huệ đem quân đánh vào thành giết rất dữ, quân miền Bắc ở trong thành vài vạn người đều giết hết cả.
其奔出城外者，民爭殺之。	Người nào chạy ra ngoài thành, thì dân tranh nhau giết chết.
督視阮仲璫亦死於亂軍中。	Đốc thị là Nguyễn Trọng Đương cũng chết ở trong đám loạn quân.
俅面縛降，送回歸仁殺之。	Cầu trói tay về sau lưng xin hàng, quân Tây Sơn đưa về Quy Nhơn giết đi.
惠既然克吳俅，乘勝攻洞海，守將寧遜棄城遁。	Huệ đã đánh được Ngô Cầu, nhân thế thắng đánh Động Hải, tướng giữ thành là Ninh Tốn bỏ thành trốn.
惠遂修理羅河舊界，欲畫以爲守。	Huệ mới sửa sang giới cũ La Hà, muốn chia giới hạn để giữ.
於是整言於惠曰：「將軍一舉而定順化，威振北河。	Bấy giờ, Chỉnh nói với Huệ rằng: Tướng quân một lần đem quân đi mà định được Thuận Hoá, uy thanh lừng lẫy đến Bắc Hà.
行師之道，一曰辰，二曰勢，三曰機。三者可乘，往無不勝。	Về đạo hành quân, một là thời, hai là thế, ba là cơ hội, ba điều ấy có thể lợi dụng được thì đến đâu cũng thắng.
今北河將惰卒驕，我乘大勝而取之，所謂兼弱攻昧，取亂侮亡。	Nay ở Bắc Hà tướngười quân kiêu, ta nhân thế đại thắng mà lấy, thế gọi là kiêm nước suy yếu lấy nước đương loạn, coi kinh nước sắp mất.
此辰與機不可失也。」	Thời và cơ hội ấy không nên bỏ mất.
惠曰：「北河人才最多，豈可輕易。」	Huệ nói: Bắc Hà rất nhiều nhân tài, há nên khinh dị.
整曰：「北河人才惟整一人，整去，便爲空國。公請勿疑。」	Chỉnh nói: Nhân tài Bắc Hà duy có một mình Chỉnh này thôi, Chỉnh đi rồi là không còn ai nữa, xin Quốc công chớ ngờ.
惠笑曰：「他人無可疑，疑或在君爾。」	Huệ cười nói rằng: Người khác không đáng ngờ, ngờ hoặc ở ông thôi.
整失色謝曰：「整亦自舉其庸愚甚，言北河無人才耳。」	Chỉnh tái mặt đi, nói từ tạ rằng: Chỉnh cũng tự cử mình là kẻ hèn ngu, để nói quá là Bắc Hà không có nhân tài đó thôi.
惠復以好語慰之曰：「數百年之國，一旦攘而取之，人之稱斯師也謂何。」	Huệ lại lấy lời nói khác để yên ủi Chỉnh rằng: Nước đã lâu vài trăm năm, một sớm cướp mà lấy, người ta gọi quân ấy là quân gì?
整曰：「今北河有帝復有王，乃古今極變之事。鄭氏名曰輔政，寔乃脅制，國人不與者久矣，所不敢動者勢耳。	Chỉnh nói rằng: Nay Bắc Hà có Đế lại có Vương, là việc tai biến đến cực từ xưa đến nay, họ Trịnh tiếng giúp vua cai trị, kỳ thực là hiếp chế, người nước không theo đã lâu rồi, sở dĩ không dám hành động là vì yếu thế mà thôi.
將軍誠能以扶黎滅鄭爲名，天下莫不響應。此千載一會也。」	Tướng quân nếu lấy tiếng là phù nhà Lê diệt họ Trịnh thì thiên hạ không ai là không hưởng ứng, đấy là một cơ hội nghìn năm mới gặp.
惠曰：「卿言甚好，至如矯命何。」	Huệ nói: Ngươi nói rất phải, còn như việc trái mệnh lệnh thì sao?
整曰：「春秋傳曰：矯小而功大。爲有功，何矯之有。况將在外君命有所不受，公豈不聞乎。」	Chỉnh nói: Truyện Xuân thu nói rằng: Trái mệnh lệnh nhỏ mà được công lớn, thì là có công, trái mệnh có can gì; huống chi, tướng ở bên ngoài thì mệnh lệnh của vua cũng có việc không chịu theo, ông há không nghe thấy ư?
惠素鷙悍，得整言，大喜，乃遣整先以舟師駕海，約至渭潢，舉烽火爲信。	Huệ vốn là người hăng mạnh, được lời Chỉnh nói cả mừng, bèn sai Chỉnh đem quân thuyền vượt biển đi trước, hẹn khi đến sông Vị Hoàng thì đốt khói lửa làm tin.
惠以呂畱守，回書報岳，而自統大隊兵船繼發。	Huệ để Lữ ở lại giữ, dưa thư về báo cho Nhạc biết mà tự thống lĩnh đại đội binh thuyền kế tiếp đi.
整過清、乂，各遣游兵登陸，張大聲勢，無敢拒之者。	Chỉnh đi qua Thanh, Nghệ đều sai bộ binh lên bộ, dương to thanh thế, không ai dám chống cự lại.
比至渭潢，守將望風奔潰，收獲公粟百萬斛，遂舉火爲信。	Kịp khi đến sông Vị Hoàng tướng giữ trông thấy bóng gió sợ chạy tan cả, thu được thóc công một trăm vạn hộc. Bèn đốt lửa lên làm tin.
會南風大競，惠師船數百，一辰駛進如飛，旗幟鮮明，猛氣百倍。	Gặp khi gió Nam thổi mạnh, quân thuyền của Huệ vài trăm, đồng thời chở nhanh như bay, cờ quạt tươi sáng, khí mạnh gấp trăm lần.
清、乂之間，父老望見，嘆曰：「負蛇咬家鷄，整誠有罪，然亦曠世之舉也。」惠既抵渭潢，昇隆大震。鄭楷遣鄭自權以步兵下山南，丁錫壤以舟師截嚕江，作一字陣。辰，潦水初平，惠夜以蒙衝戰船五艘先進，逼嚕江而陣。	Phụ lão ở Thanh, Nghệ trông thấy than rằng: Cõng rắn cắn gà nhà, Chỉnh thực có tội, nhưng cũng là việc làm không đời nào có Huệ đã đến sông Vị Hoàng, thành Thăng Long cả báo động, Trịnh Khải sai Trịnh Tự Quyền đem quân bộ xuống Sơn Nam; Đinh Tích Nhưỡng đem quân thuyền chặn ở sông Lỗ Giang, làm trận chữ nhất, khi ấy, nước lụt mới cạn, Huệ đem lấy 5 chiếc thuyền mông sung (thuyền che kín bằng da trâu), tiến đi trước, bày trận sát đến Lỗ Giang.
壤兵爭射之，寂然不動。比曉，知是空船，則藥彈已盡矣。	Quân của Nhưỡng tranh nhau bắn súng, im lặng không động đậy, kịp đến sáng mới biết là thuyền không, thì thuốc đạn đã hết rồi.
惠兵船奄至，乘風縱擊，火礮轟天，飛彈橫截古樹。	Binh thuyền của Huệ kéo đến, nhân chiều gió bắn súng, lửa, đạn bay rực trời, tiện ngang cây to.
自權軍先潰，壤退保邯江。	Quân của Tự Quyền tan vỡ trước. Nhưỡng lui giữ Hàm Giang.
山南鎭守杜世胤棄鎭走，朝市驚擾，無不望風奔竄。	Trấn thủ Sơn Nam là Đỗ Thế Dận bỏ trấn chạy. Trong triều ngoài nội sợ hãi rối loạn, không đâu là không trông hút chạy trốn cả.
老將黃馮基步兵次萬春湖，水師屯翠靄。惠連破之，鼓噪直抵西龍津。	Quân các lão tướng là Hoàng Phùng Cơ quân bộ đóng ở hồ Vạn Xuân, quân thuỷ đóng ở Thúy Ái, Huệ liền đánh phá được, đánh trống reo hò tiến thẳng đến bến Tây Long.
鄭楷戎服臨陣，指麾諸軍。	Trịnh Khải mặc áo chiến ra trận huy các quân.
西師縱火噴筒，衝陣而入，鄭師大潰。	Quân Tây Sơn đốt ống phun lửa xông vào trận, quân của Trịnh tan vỡ.
惠遂入城，頓兵鄭府中，下令招安。	Huệ bèn vào thành đóng quân ở trong phủ chúa Trịnh, xuống lệnh chiêu an.
辰六月二十六日也。	Khi ấy là ngày 26 tháng 6.
鄭楷奔山西，爲遊民賺送惠軍。	Trịnh Khải chạy đến Sơn Tây, bị dân nghịch đánh lừa đưa đến chỗ quân của Huệ.
楷途間自頸。	Trong khi đi đường Khải tự đâm cổ chết.
惠撫其尸曰：「可惜好男子，當初若早早迎降，當不失富貴。何苦自戕。」	Huệ vỗ vào xác Khải bảo rằng: Đáng tiếc người con trai tốt đẹp này, nếu lúc trước sớm liệu đầu hàng, thì không đến nỗi mất phú quý, tội gì mà phải tự giết hại mình.
命以王禮葬之。	Sai lấy lễ vương chôn táng.
惠入城之日，先遣人達于黎帝，請以明日進謁。	Ngày Huệ vào thành, trước hết sai người thông tin đến vua Lê, xin lấy ngày hôm sau tiến đến yết kiến.
次日，惠詣萬壽殿謁見。	Ngày hôm sau, Huệ đến đền Vạn Thọ yết kiến.
帝命扶起，坐之別榻，温存慰勞。	Vua sai nâng dậy, cho ngồi giường riêng, ôn tồn yên uỷ.
惠對曰：「臣崛起西山，久仰聖德。因以鄭氏凌逼，故天假手於臣，一舉殄之。此陛下威德所致。」	Huệ thưa rằng: Thần nổi dậy ở Tây Sơn, ngửa trông ơn đức của Thánh thượng đã lâu, nhân vì họ Trịnh lấn át bức bách, cho nên trời mượn tay thần, cất quân đánh một trận diệt đi, đó là nhờ uy đức của bệ hạ mới được như thế.
帝謙讓，以爲皆惠之功。	Vua nhún nhường cho đều là công của Huệ cả.
惠對曰：「臣志在尊扶，敢計功利？	Huệ thưa rằng: Thần chỉ tôn vua giúp nước, không dám kể công lợi.
今日之事，全是天意。即如人眾船艘，臣能驅之使來。至於潦水衰，南風競，豈臣力所能辨。	Việc ngày nay toàn là ý trời; tức như nhân chúng thuyền mành, thần có thể dong đi được, đến như nước lụt rút đi gió Nam mạnh lên, há phải sức thần có thể làm được đâu?
天命陛下一統寰宇，從今立紀陳經，安內寧外，臣亦受其賜矣。」	Đó là trời xui nên cho nhà vua thống nhất bờ cõi. Từ nay dựng đặt giềng mối, yên ổn trong ngoài, thần cũng được chịu phúc.
因指阮有整曰：「此陛下之故臣也。臣得至此，亦他之力。」	Nhân chỉ vào Nguyễn Hữu Chỉnh nói rằng: Đây là bề tôi cũ của nhà vua, thần được đến đây cũng là sức của người ấy.
帝曰：「整得至此，亦令公成之。」	Vua nói rằng: Chỉnh được đến đây cũng là Lệnh công tác thành cho.
整頓首拜謝，從容賜茶而退。	Chỉnh cúi đầu lạy tạ. Thong dong cho uống nước chè rồi lui về.
自是人情大安，朝臣稍稍復集。	Từ đây tình người đều được yên, triều thần dần dần lại họp đông.
整因言於惠曰：「將軍此來，以尊扶爲名，宜以寔之。昨日私謁其事，未白於天下。宜擇日朝見，使一國共知，方是正大之舉。」	Chỉnh nhân nói với Huệ rằng: Tướng quân lại đây lấy danh nghĩa là tôn vua phù nhà Lê, nên phải thực hành, chứ ngày hôm trước yết kiến riêng, việc chưa minh bạch với thiên hạ, nên chọn ngày triều kiến, để cho người cả nước cùng biết, mới là việc làm chính đại.
惠從之。	Huệ theo lời.
秋七月初七日，請黎帝設大朝于敬天殿。	Mùa thu tháng 7, ngày mồng bảy, xin vua Lê thiết đại triều ở diện Kính Thiên.
惠帥將士從端門入，行五拜三叩頭禮，自陳滅鄭之義，幷將軍民簿籍進呈，竝聽處分。	Huệ đem sĩ từ cửa Đoan Môn vào làm lễ năm lạy ba lần cúi đầu, tự trình bày về nghĩa diệt họ Trịnh, đem sổ sách quân dân tiến trình và nghe lời xử đoán.
黎帝受之，頒一統詔書于大興門外。	Vua Lê nhận lấy, ban chiếu thư nhất thống ở ngoài cửa Đại Hưng.
翌日，封惠爲元帥、翊正扶運威國公。	Ngày hôm sau, phong Huệ làm Nguyên suý dực chính phù vận, Uy quốc công.
惠拜受訖，私謂整曰：「我提數萬眾，一舉而定北河，尺土寸民，莫非我有。	Huệ lạy nhận mệnh rồi, bảo riêng với Chỉnh rằng: Ta mang vài vạn quân, một lần đánh mà định được Bắc Hà, một thước đất một người dân, đều là của ta cả.
倘我稱帝稱王，有何不可。所以讓而不居者，厚黎家也。	Nếu ta xưng đế xưng vương, có gì là không được, ta sở dĩ nhún nhường mà không ở vào ngôi đế vương là có lòng hậu với nhà Lê mà thôi.
元帥國公之命於我何加。毋乃以空名籠罩我耶。」	Còn mệnh lệnh phong làm Nguyên suý, Quốc công đối với ta có thêm lên cái gì, chẳng là lấy tiếng không mà ràng buộc ta ư?
整知惠意不滿，乃言於黎帝，以少女玉忻公主妻之。	Chỉnh biết Huệ không vừa ý, bèn nói với vua Lê đem con gái nhỏ là Ngọc Hân Công chúa gả cho.
辰，黎帝已不豫，彊請設朝受賀。	Khi ấy, vua Lê đã mệt nặng, Huệ cưỡng ép xin thiết triều nhận lễ mừng.
翌日，黎帝大漸，玉忻請惠入問疾。惠曰：「我遠來，國人尚未見信。使我入侍，萬一宮車晏駕，毋乃遺我以不白之疑耶。」	Ngày hôm sau vua Lê ốm sắp chết, Ngọc Hân mời Huệ vào hỏi thăm, Huệ nói rằng: Ta ở xa lại người nước còn chưa tin ta, nếu ta vào chầu hầu, vua mất hoá chẳng ra để cho ta bị tiếng nghi ngờ không thể biện bạch dược ư?
既而黎帝崩，玉忻素不善嗣孫，陰以一二事短于惠。	Rồi vua Lê mất, Ngọc Hân vốn không ưa Tự tôn, ngầm đem hai việc kể xấu với Huệ, Huệ tin lời Ngọc Hân, muốn hoãn lễ lên ngôi.
惠惑之，欲緩登極之禮，舉朝皆疑駭。	Cả triều ngờ sợ.
諸尊室咸詆公主誤大事。	Các người họ Tôn Thất đều trách Công chúa là làm lỡ việc lớn.
公主懼歸，請於惠，以立嗣孫。	Công chúa sợ, về xin với Huệ để lập Tự tôn.
惠許之。	Huệ nghe cho.
於是嗣孫維祁立〈是爲昭統帝〉。	Bấy giờ Tự tôn là Duy Kỳ lập lên (tức Chiêu Thống đế).
成服日，惠衰服，立殿左。有執事一人竊笑，命推出斬之。	Ngày hôm thành phục, Huệ mặc áo tang đứng ở bên tả điện, có người Chấp sự cười trộm, sai đem ra chém ngay.
及發引，惠親送至河津而返，居無何。	Đến khi phát dẫn, Huệ thân đưa đến bến sông rồi trở về.
岳自西山至，畱旬日，惠從岳南歸〈詳見岳傳〉。	Huệ lưu lại không bao lâu, Nhạc từ Tây Sơn đến, ở lại mười ngày, Huệ theo Nhạc về miền Nam (chép rõ ở truyện Nhạc).
至乂安，謀據其地聞羅山處士阮浹名，以書幣招之。	Khi đến Nghệ An, mưu chiếm cứ đất ấy. Nghe tiếng xử sĩ ở La Sơn là Nguyễn Thiếp, đưa thư và lụa để mời ra.
浹至，授爲崇正書院院長。	Thiếp đến, cho làm Sùng chính thư viện trưởng.
初，惠謀南還，不使有整知之。及至乂安，整復尾其後，固請從。	Trước đây, Huệ mưu về miền Nam, không để cho Hữu Chỉnh biết, kịp khi đến Nghệ An, Chỉnh lại theo sau, cố xin đi theo.
惠曰：「今鄭將黃馮基、丁錫壤未除，北河非君畱此不可。」	Huệ nói: Nay tướng của họ Trịnh là Hoàng Phùng Cơ, Đinh Tích Nhưỡng chưa trừ khử được, Bắc Hà không có ông ở lại dấy không được.
因賜之黃金二十兩、白金二百兩，使與阮文睿守乂安。都督武招遠屯河中、武文仕屯洞海，以爲犄角之勢。	Nhân cho 20 lạng vàng, 200 lạng bạc, sai cùng với Nguyễn Văn Duệ giữ Nghệ An, Đô đốc là Vũ Chiêu Viễn đồn ở Hà Trung, Vũ Văn Nhậm đóng đồn ở Động Hải, để giúp đỡ lẫn nhau.
私囑睿等曰：「整本亡命投歸，反復不可信。	Huệ dặn riêng bọn Duệ rằng: Chỉnh vốn là người trốn đi, đến theo với ta là kẻ giáo giở, không thể tin được.
我初欲假手北人殺之，不意復逃死相隨。於義又不忍捨。	Ta trước vốn mượn tay người bắt giết đi, không ngờ hắn lại trốn chết cùng đi theo, đối với nghĩa lại không nỡ bỏ.
乂安乃彼家貫，宜細察動靜而防備之脫，有變，馳書以告。」	Nghệ An là quê nhà hắn, nên xét kỹ việc làm của hắn mà phòng bị. Nếu có biến, đưa thư báo ngay cho ta.
遂引兵南還。	Bèn dẫn quân về miền Nam.
整在乂安，糾合鄉勇，陰有爭據乂安之志。	Chỉnh ở Nghệ An, tụ họp bọn hương dũng, ngầm có chí tranh giữ Nghệ An.
會黎諸臣復立鄭槰爲晏都王。昭統帝孤立，召整自衞。	Gặp khi các bề tôi nhà Lê lại lập Trịnh Bồng làm Án Đô vương, Chiêu Thống Đế trơ trọi một mình, triệu Chỉnh về để tự vệ.
整既至，槰走，以功拜平章軍國重事、大司徒，爵鵬忠公，開武成軍營。惠與岳有隙。	Chỉnh đã đến, Bồng chạy, Chỉnh vì có công, được cho làm Bình chương quân quốc trọng sự, Đại tư đồ, tước là Bằng Trung công; mở quân doanh Vũ Huệ cùng với Nhạc có hiềm khích, Duệ là tướng cũ của Nhạc, ngầm hai lòng với Huệ.
睿，岳舊將也，陰貳于惠，整多以金幣厚結睿，約以𤅷江爲界，如前朝故事。	Chỉnh đem nhiều vàng lụa hậu kết với Duệ, hẹn nhau mưu bỏ Vũ Chiêu Viễn, giữ lấy Nghệ An, sửa luỹ Hoành Sơn, rạch sông Gianh làm giới hạn, như việc cũ của triều trước.
睿亦以書復之，聲跡稍露，仕探知，馳書告變。	Duệ cũng đưa thư trả lời, thành tích hơi lộ. Nhậm do thám biết, gửi thư báo là có biến.
辰惠方與岳連兵，不果行，乃使仕迅往乂安捕睿，且察整意向。	Huệ đương cùng với Nhạc liên binh chống nhau, không đi dược, bèn sai Nhậm đi mau đến Nghệ An bắt Duệ và xét ý hướng của Chỉnh.
仕得命，倍道疾馳，至河中，則睿已從上道回歸仁了。	Nhậm được lệnh gấp đường đi mau, đến Hà Trung thì Duệ đã theo đường trên về Quy Nhơn rồi.
乃點兵徵糧，分屯要害，貽書問整與睿通之故。	Nhậm bèn điểm binh thu lương, chia đóng đồn các chỗ yếu hại; đưa thư hỏi Chỉnh về việc thông nhau với Duệ.
整復書辨明。	Chỉnh đưa thư trả lời biện bạch rõ ràng.
仕復以善言慰解，使之安心。	Nhậm lại lấy lời nói khéo yên ủi giải thích, để cho yên tâm.
丁未，昭統帝遣黎維祅、平章事陳功燦〈東安安偉進士〉、給事中吳儒〈富川知止進士〉齎書于惠，請乂安之地。	Năm Đinh Mùi (1787), Chiêu Thống đế sai Lê Duy Yên, Bình chương sự là Trần Công Sán (Tiến sĩ, người làng Tri Chỉ huyện Phú Xuyên) mang thư đưa cho Huệ xin lại đất Nghệ An.
惠怒，命錮于獄。	Huệ giận, sai giam vào ngục.
吳文楚請殺之。	Ngô Văn Sở xin giết đi.
辰惠與岳方治兵相攻，因語文紀曰：「蕭墻之變，不可外聞。	Khi ấy, Huệ cùng Nhạc đương đem quân cùng đánh nhau, Huệ nhân bảo Văn Kỷ rằng: Biến ở trong nhà không thể để cho người ngoài nghe thấy.
今北使在此，歸之，則漏國情。殺之，則負不韙之名。」	Nay sứ giả miền Bắc ở đây, cho về thì tiết lậu tình trước, giết đi thì mang tiếng không tốt.
乃遣之歸，而使都督武文月以舟師送至丹崖海外，漏其舟沉之。燦等俱死。	Bèn cho về mà sai Đô đốc là Vũ Văn Nguyệt đem quân thuyền đưa đến ngoài biển Đan Nhai, làm cho thuyền rò nước vào đi, bọn Sán đều chết.
既而惠與岳講和，而歸語其下曰：「阮整落魄窮丁，我爲他畫出眉目。今翱翔北河，號令一國，偃然以鄭帥自居。又欲謀爭乂安，與我抗衡。此而不誅，何以令眾。」	Rồi Huệ cùng Nhạc giảng hoà mà về. Huệ bảo những người ở dưới rằng: Nguyễn Hữu Chỉnh là đứa cùng đinh thất nghiệp, ta vẽ mặt vẽ mày cho nó, nay nhởn nhơ ở Bắc Hà, hiệu lệnh một nước, nghiễm nhiên tự ở vào địa vị Trịnh suý, lại muốn mưu tranh Nghệ An để đối địch với ta.
即命吳文楚、潘文璘領軍出乂安，從仕節制。	Lập tức sai Ngô Văn Sở, Phan Văn Lân lĩnh quân ra Nghệ An, theo tiết chế của Nhậm.
師至清化，鎭守黎遹退屯貞江之北。處沿山行，潛渡漆馬江襲其後。遹軍潰，爲處所殺。	Quân đi đến Thanh Hoá, Trấn thủ là Lê Duật lui đóng đồn ở bên Bắc sang Trinh Giang, Sở ven núi đi, lẻn sang qua sông Tất Mã đánh úp phía sau, quân Duật tan vớ, Duật bị Sở giết chết.
整以屬將阮如泰爲統領，寧遜爲參贊軍務。	Chỉnh sai thuộc tướng là Nguyễn Như Thái làm Thống lĩnh, Ninh Tốn làm Tham tán quân vụ.
至珠梂，聞遹死，欲依三疊山爲固。	Khi đến Châu Cầu, nghe tin Duật dã chết, muốn dựa núi Tam Điệp làm chỗ vững bền.
至澗水，則仕軍已過三疊。	Đi đến sông Giản, thì quân Nhậm đã qua núi Tam Điệp rồi.
泰迎戰，不敵，沒于陣。遜走，匿民家免。	Thái đón đánh không địch được, chết ở trận; Tốn chạy náu vào nhà dân được khỏi chết.
整聞報，急遣其子有攸領五銃奇兵先行。至青厥江，築壘固守。	Chỉnh nghe tin báo cấp, sai con là Hữu Du lĩnh lính cơ Ngũ súng đi trước, đến sông Thanh Quyết đắp luỹ cố giữ.
辰天寒洌，軍士皆燒柴對燎。仕潛使人穿壘，引銃視火處轟擊，無不中者。	Khi ấy trời rét buốt, quân lính đều đốt củi ngồi sưởi ấm, quân Tây Sơn trông chỗ nào có lửa thì bắn vào, không phát súng nào là không trúng.
攸兵驚亂潰走。	Quân của Du sợ chạy tán loạn.
整在平望聞報，星夜引兵回城，先挈妻子奔京北。昭統帝倉卒不知所爲，亦率宮眷過河。	Chỉnh ở Bình Vọng nghe thấy tin báo, đêm khuya dẫn quân về thành, trước hết đem vợ con chạy sang Kinh Bắc, Chiêu Thống đế thảng thốt không biết làm thế nào, cũng đem cung quyến qua sang.
薄暮，仕入城，縱兵大掠。遣部將阮文和追整及，與之戰于三層山。有攸力鬭，死于陣。	Gần tối Nhậm vào thành, cho quân đi cướp bóc, sai Bộ thương là Nguyễn Văn Hoà đuổi theo kịp Chỉnh đánh nhau ở núi Tam Tầng, Hữu Du hết sức đánh, chết ở trận.
整馬仆，爲所獲，送回昇龍。	Chỉnh ngã ngựa bị bắt đưa về Thăng Long.
仕數其罪，支解之。	Nhậm kể tội của Chỉnh, sai đem xẻo ra từng mảnh.
昭統帝避居保祿山中，遂以黎崇讓公維監國。	Chiêu Thống đế lánh ở trong núi Bảo Lộc, Nhậm bèn lấy Sùng Nhượng công họ Lê là Duy Cận coi việc nước.
吳文楚不悅，誣以反，惠殺之。〈仕，岳女婿也。	Ngô Văn Sở không bằng lòng với Nhậm, vu cho là Nhậm làm phản, Huệ giết đi (Nhậm là con rể Nhạc).
初，惠雖使仕，而心頗疑之，密語吳文楚、潘文璘曰：「仕是行也，握重兵，擅大國事，變不可逆。料我所慮不在北河，只在仕耳。汝等宜察之。	Lúc trước Huệ tuy sai Nhậm đi, mà lòng vẫn ngờ, mật bảo Ngô Văn Sở, Phan Văn Lân rằng: Nhậm đi lần này giữ trọng binh, chuyên coi nước lớn, việc biến xảy ra, không thể tính trước được, đáng lo nghĩ không ở Bắc Hà, mà chỉ ở Nhậm thôi, bọn ngươi nên để ý đấy.
譬之火然撲於始燄，則易爲力也。」	Ví như lửa cháy, dập ngay từ lúc mới bùng lên thì dễ.
及仕乘勝長驅如入虛邑，阮有整既俘，昭統帝出居于外，京北則陳光珠、黃春秀，山南則阮曰康等，按地據守。	Kịp khi Nhậm nhân thế thắng kéo tràn đi, vào ấp bỏ không. Nguyễn Hữu Chỉnh đã bị bắt, Chiêu Thống đế ra ở ngoài; Kinh Bắc thì Trần Quang Châu, Hoàng Xuân Tú, Sơn Nam thì bọn Nguyễn Viết Khang chiếu theo địa phận đóng giữ.
黎之親屬維仲、維�則起于清化，維祗則起于定州，互相聲應。有嘉林字璣舍人陳廷魁，自稱黎詹事，言於仕曰：「北河怨整雖深，而思黎之心未釋。嗣君一去，未卜回朝。	Thân thuộc nhà Lê là Duy Trọng, Duy Lãm thì nổi lên ở Thanh Hoá, Duy Chỉ thì nổi lên ở Châu Định cùng tiếp ứng với nhau, có Trần Đình Khôi là người ở xã Cơ Xá, huyện Gia Lâm tự xưng là Thiêm sự nhà Lê nói với Nhậm rằng: Bắc Hà tuy thâm oán Chỉnh mà lòng vẫn nhớ nhà Lê chưa thôi, Tự quân ra đi, chưa biết kỳ nào về.
今有崇讓公黎維，先帝在辰，已正位東宮。壬寅之變，爲驕兵所廢。	Nay có Sùng Nhượng công là Lê Duy Cận, khi tiên đế còn sống đã lập làm Đông cung; khi biến loạn năm Nhâm Dần, bị bọn kiêu binh phế đi.
公能復之，掛一紙于大興門，不日之間，文武畢集，天下之事運之如反掌耳。」	Nếu ông lập lại chỉ treo một tờ giấy ở cửa Đại Hưng, thì không đến một ngày các quan văn vũ họp lại tất cả, việc trong thiên hạ dễ như trở bàn tay mà thôi.
仕頷之，使迎維監國，居于勤政殿左偏，遍求黎諸臣，亦無一人至者。	Sở gật đầu nghe theo, sai người đón Duy Cận về coi việc nước, ở chái bên tả điện Cần chính. Cho tìm khắp các bề tôi nhà Lê, cũng không một người nào đến cả.
京中呼曰監國吏目。	Trong kinh gọi rằng: Giám nhân lại mục (100).
楚言于仕曰：「我看崇讓公面目，如何驅策得人。	Sở nói với Nhậm rằng: Ta xem bộ mặt Sùng Nhượng công như thế thì sai khiến người thế nào dược?
自古天下亦非誰家私物，如可取則取之，何事倩一市奴監國作木偶主人。我久頓城中，反爲他作流寓客兵耶。」	Từ xưa đến nay, thiên hạ không phải là của riêng nhà ai, nếu có thể lấy được thì lấy đi, việc gì lại mượn một đứa hèn hạ ở hàng chợ trông coi việc nước, làm chủ nhân tượng gỗ, ta đóng mãi trong thành lại vì nó làm khách lưu ngụ ư?
仕曰：「北河人心尚思黎氏，不得不姑從眾望。公輩徒知健鬭而已，此事已有我主之。」	Nhậm nói rằng: Lòng người Bắc Hà còn nhớ họ Lê, không thể không tạm theo lòng mong của dân chúng được; bọn ông chỉ biết đánh nhau mạnh thôi, còn việc ấy dã có ta chủ trương.
楚默然退，語文璘曰：「節制侮人甚矣。看他有何才德，敢以卒徒待我。」	Sở im lặng, lui về bảo Lân rằng: Tiết chế khinh người quá lắm, xem nó có tài đức gì dám đối đãi ta như bọn quân lính.
乃陰摘仕所行不法事，指爲反狀，引璘証其事，密使人告于惠。惠曰：「死矣武文仕。我固知其必反，果然。」	Bèn ngầm trích ra những việc Nhậm đã làm trái phép, cho là sự trạng làm phản, dẫn Lân làm chứng việc ấy, mật sai người báo với Huệ, Huệ bảo rằng: Vũ Văn Nhậm đáng giết chết thôi, ta vẫn biết nó tất làm phản, nay quả nhiên.
