武功耆定。	vũ công đại định .
呂惠引回歸仁畱僞黨總督朱，虎將罕，司寇威，調遣和，該奇振皆缺姓據嘉定。	Lữ và Huệ dẫn binh về Quy nhơn, để đảng viên của Tây sơn là Đô đốc Chu, Hổ tướng Hãn, Tư khấu Uy, Điều khiển Hoà, Cai cơ Chấn (đều thiếu họ) chiếm cứ Gia định.
是冬我世祖起兵龍川進取柴棍。朱等敗奔還歸仁。	Mùa đông năm ấy Thế tổ triều ta (Gia long) dấy binh ở Long xuyên tiến lên lấy Sài côn, bọn Chu bại binh chạy về Quy nhơn.
戊戌岳自立爲帝僞號泰德元年，名闍槃城曰皇帝城，以呂爲節制，惠爲龍驤將軍，復遣總督朱，司寇威，護駕范彥以水師侵掠鎭邊今邊和，藩鎭今嘉定，沿海諸地方。	Năm mậu tuất (1778) Nhạc tự lập làm Hoàng đế, gọi là năm đầu niên hiệu Thái đức, gọi thành Đồ bàn là thành Hoàng đế, cho Lữ làm Tiết chế, cho Huệ làm Long tương Tướng quân, lại sai Tổng đốc Chu, Tư khấu Uy, Hộ giả Phạm Ngạn đem chiến thuyền xâm lược Trấn biên (nay là Biên hoà), Phiên trấn (nay là Gia định) và các địa phương ven biển.
世祖自將擊之。	Thế tổ tự làm tướng đánh giặc.
杜淸仁斬司寇威于牛渚。總兵阮文弘進次鹿野斬岳將亷陵二人皆缺姓。	Đỗ Thanh Nhân chém Tư khấu Uy ở Bến Nghé, Tổng binh Nguyễn Văn Hoằng tiến lên đóng ở Đồng nai chém hai tướng của Nhạc là Liêm và Lăng (hai người đều thiếu họ).
范彥敗走。	Phạm Ngạn thua chạy.
我師乘勝收復平順，進逼延慶府。	Quân ta (của Nguyễn) thừa thắng lấy lại Bình thuận, tiến sát đến phủ Diên khánh.
庚子黎景興四十一年淸乾隆四十五年世祖卽王位于柴棍。	Năm canh tý (Năm Lê Cảnh Hưng thứ 41 – Năm Thanh Càn Long thứ 45) Thế tổ lên ngôi Chúa ở Sài côn.
壬寅杜淸仁以罪伏誅。	Năm nhâm dần Đỗ Thanh Nhân mắc tội bị giết.
岳聞之，喜曰：右芳淸仁别名旣死，諸將不足慮也。	Nhạc nghe được vui mừng nói: Hữu Phương (tên riêng của Đỗ Thanh Nhân) đã chết thì các tướng của Nguyễn không đáng lo.
遂與惠率戰船數百艘入芹除海口，戰于七岐江。	Nhạc bèn cùng Huệ đem chiến thuyền mấy trăm chiếc vào cửa biển Cần giờ đánh nhau với quân Nguyễn ở sông Thất kỳ (sông bảy nhánh).
我師失利退保三埠。	Quân ta (Nguyễn) thất lợi lùi giữ Tam phụ.
於是柴棍復爲岳所據。	Do đó Sài côn lại bị Nhạc chiếm cứ.
夏四月平順節制尊室裕以和義道兵入援斬范彦於參良橋。	Tháng tư mùa hạ Tiết chế Tôn Thất Dụ ở Bình thuận được đạo binh của Hoà Nghĩa Lý Tài vào tiếp viện đã chém Phạm Ngạn ở cầu Tham lương.
岳恨和義之殺范彥也，凡淸人不問兵民商賈盡捕斬之投屍滿江。	Nhạc giận việc Hoà Nghĩa giết Phạm Ngạn, cho nên hễ là người Tàu không cần hỏi là lính hay dân hay buôn bán Nhạc cho bắt hết giết đi ném thây đầy sông.
辰駕幸呂埠。	Lúc ấy Nguyễn vương (Gia long) chạy đến Lữ phụ.
僞都督學躡其後爲我將阮金品斬殺餘眾潰走。	Đô đốc Học của Tây sơn đuổi theo sau bị tướng Nguyễn Kim Phẩm của ta chém chết quân còn lại tan rã bỏ chạy.
惠兵掩至，背水爲陣，我師郤。	Binh của Huệ áp tới, tựa lưng vào dòng nước làm trận thế, quân ta (Nguyễn) phải lùi.
駕幸富國島。	Nguyễn vương đến đảo Phú quốc.
岳引回歸仁畱東山降將杜閑蟄，戶部伯缺姓守嘉定。	Nhạc dẫn quân về Quy nhơn, để tướng của Đông sơn đã đầu hàng là Đỗ Hàn Trập, Hộ bộ Bá (thiếu họ) giữ Gia định.
秋八月掌奇郡公朱文接自富安入援。	Tháng 8 mùa thu Chưởng cơ Quận công Châu Văn Tiếp từ Phú yên vào tiếp viện.
閑蟄等敗走。	Bọn Hàn Trập thua chạy.
駕回嘉定。	Nguyễn vương về Gia định.
癸卯呂惠復寇芹篨泝流而上。	Năm quý mão (1783) Lữ và Huệ lại cướp Cần giờ đi ngược dòng mà lên.
文接兵潰。	Binh của Châu Văn Tiếp tan rã.
駕幸三埠。	Nguyễn vương chạy đến Tam phụ.
阮黃德殿後爲所獲。	Nguyễn Huỳnh Đức đi đoạn hậu bị bắt.
駕幸崑崙島。	Nguyễn vương chạy ra đảo Côn lôn.
僞駙馬張文多率水兵奄至，會風雨晝晦，西船多蕩覆。	Phò mã Tây sơn Trương Văn Đa dẫn chiến thuyền áp đến gặp gió mưa tối tăm cả ngày, chiến thuyền của Tây sơn phần nhiều lật úp.
御舟復回富國島。	Thuyền của Nguyễn vương lại trở về đảo Phủ quốc.
惠乃還歸仁，使文多守嘉定。	Huệ bèn trở về Quy nhơn, sai Trương Văn Đa giữ Gia định.
甲辰世祖如暹以召會召霜兵至。	Năm giáp thìn Thế tổ (Nguyễn vương) đi Xiêm đem binh của Chiêu Tăng Chiêu Sương đến.
賊望風奔。	Giặc trông thấy từ xa đã bỏ chạy.
敗兵遂次于龍湖。	Binh Tây sơn thua bèn đóng ở Long hồ.
文多告急。	Trương Văn Đa báo tin nguy cấp về Quy nhơn.
惠復引兵至，數戰不利，欲引還。	Huệ lại dẫn binh đến, đánh mấy trận bất lợi, muốn dẫn binh về.
有叛臣黎春覺敎惠悉以勁卒伏于涔江之𣒱蔑屬定祥設計誘之。	Có bề tôi bội phản là Lê Xuân Giác dạy Huệ đem hết binh sĩ lực lưỡng mai phục ở Xoài mút thuộc Sầm giang (thuộc Định tường) lập kế dụ địch.
暹兵乘勝直下美湫。	Quân Xiêm thừa thắng xuống thẳng Mỹ tho.
惠水陸掩擊。	Thuỷ quân và lục quân của Huệ đánh úp.
暹兵大敗僅存殘卒數千由上路回。	Binh Xiêm thua to chỉ còn tàn quân vài ngàn do đường trên trở về.
乙巳世祖復如暹，惠畱僞都尉鄧文眞守嘉定而還。	Năm ất tỵ (1785) Thế tổ lại sang Xiêm. Huệ để Đô uý Đặng Văn Châu giữ Gia định mà trở về.
初都城爲鄭兵所據，黄五福旣死以裴世達代鎭。	Trước kia Đô thành Phú xuân bị quân Trịnh chiếm cứ, Hoàng Ngũ Phúc đã chết, (Chúa Trịnh) cho Bùi Thế Đạt vào trấn thay cho.
世達還，又以范吳俅代爲鎭撫。	Thể Đạt được gọi về, (Chúa Trịnh) lại cho Phạm Ngô Cầu làm Trấn phủ.
岳久欲取之而未有其機。	Nhạc từ lâu muốn lấy Đô thành Phú xuân mà chưa có cơ hội.
丙午吳俅使其屬阮孚如往西山覘虛寔。	Năm bính ngọ (1786) Phạm Ngô Cầu sai thuộc viên Nguyễn Phu Như sang Tây sơn xem hư thực.
字如與阮有整素相善。	Phu Như và Nguyễn Hữu Chỉnh vốn giao hảo tốt lành với nhau.
有整問之，爲言可取狀。	Hữu Chỉnh hỏi Phu Như, Phu Như đem tình trạng có thể lấy được Phú xuân mà nói.
有整者黄五福門屬也。	Nguyễn Hữu Chỉnh là môn thuộc của Hoàng Ngũ Phúc.
五福令使于岳。	Ngũ Phúc sai Hữu Chỉnh đi sứ sang Nhạc.
岳頗重之。	Nhạc rất trọng Hữu Chỉnh.
後屬于黃素履素履，黄五福養子也。	Về sau Hữu Chỉnh là thuộc hạ của Hoàng Tố Lý (Tố Lý là con nuôi của Hoàng Ngũ Phúc).
及素履爲三府驕兵所殺，整在乂安聞變，恐見逮，駭挈眷駕海投于岳，爲岳計畫言無不從。	Đến khi Tố Lý bị kiêu binh Tam phủ giết, Hữu Chỉnh tại Nghệ an nghe được tin biến, sợ mình bị bắt, bèn đem gia quyến vượt biển đầu theo Nhạc, bày kế hoạch cho Nhạc chẳng hề không được nghe theo.
及字如來，整以其言進于岳。	Đến khi Phu Như đến, Hữu Chỉnh đem lời của Phu Như dâng lên Nhạc.
於是岳以惠節制水步諸軍，整爲右軍都督，其壻武文仕一作壬爲左軍都督，呂率水軍繼發。	Do đó Nhạc cho Huệ tiết chế các quân thuỷ và bộ, cho Hữu Chỉnh làm Hữu quân Đô đốc, cho con rể là Vũ Văn Sĩ (một tên nữa là Nhậm) làm Tả quân Đô đốc, cho Lữ dẫn thuỷ quân nối theo sau.
五月惠進克之，使呂守之而自率水兵直取北河，飛書回報語見惠傳。	Tháng năm Huệ tiến đến lấy được Đô thành Phú xuân, sai Lữ giữ Phú xuân rồi tự mình dẫn thuỷ quân tiến thẳng lấy Bắc hà, cho mang thơ gấp về báo cho Nhạc biết (xem ở phần Liệt truyện của Huệ).
岳不悅，使人止之，則惠兵船已駕海矣。	Nhạc không vui, sai người ngăn Huệ lại, thì binh thuyền của Huệ đã vượt biển rồi.
及聞惠克昇龍乃大驚，以其擁兵在外非片紙可召，乃率親兵五百人，亟赴富春増揀精銳倍道馳往。	Đến khi nghe Huệ lấy được Thăng long, Nhạc cả kinh cho rằng Huệ cầm binh ở ngoài thì mảnh giấy gởi thơ không thể triệu về được, bèn dẫn thân binh năm trăm người đi gấp đến Phú xuân, tăng thêm quân tinh nhuệ được tuyển chọn đi gấp đường vội ra.
辰黎顯尊已晏駕，太孫黎維祁嗣是爲召統帝聞岳至，率百官郊迎。	Lúc ấy Lê Hiển Tôn đã vừa băng, Thái tôn Lê Duy Kỳ nổi ngôi (ấy là vua Chiêu thống) nghe tin Nhạc đến, dẫn các quan ra đón rước ở ngoài đồng xa.
岳驅兵疾馳，使人致辭改日相見。	Nhạc xua binh đi gấp, sai người thưa lại ngày khác sẽ gặp nhau.
次日召統帝親至岳所。岳拱立階上，使惠降階迎之。	Hôm sau, vua Chiêu thống thân hành đến chỗ Nhạc ở, Nhạc đứng chấp tay trên bục cấp, sai Huệ xuống bục cấp đón vua Chiêu thống.
岳踞中坐。召統帝東內，惠西內坐召統帝從容慰謝，請割幾郡邑犒賞將士。	Nhạc ngồi chỗ chính giữa, vua Chiêu thống phía trong hướng đông, Huệ ngồi phía trong hướng tây. Vua Chiêu thống thung dung ủy lạo và cảm tạ, xin cắt đất mấy quận ấp để khao thưởng tướng sĩ.
岳答曰：本以鄭氏專制故爲此尊扶之舉。	Nhạc đáp lời: − Vốn vì họ Trịnh chuyên quyền cho nền mới làm nên việc tôn phù này.
若鄭氏土地一寸不畱。	Nếu là đất của họ Trịnh thì một tấc cũng không chừa lại.
至黎家土地一寸亦不敢取。	Đến như đất của nhà Lê thì một tấc cũng không dám lấy.
惟願嗣皇奮發乾綱，保安宇內，世睦鄰交，此兩國之福也。	Chỉ mong Hoàng thượng nối ngôi phân phát cương lĩnh của thiên tử, giữ yên thiên hạ, đời đời hoà hảo tình lân giao, đó là cái phúc của hai nước vậy.
岳之初至昇隆也，中外疑懼，或有勸召統帝上表乞降者。	Khi Nhạc mới đến Thăng long, người ở trong và ở ngoài nghi ngờ e sợ, hoặc có kẻ khuyên vua Chiêu thống dâng biếu xin đầu hàng.
至是人情始安。	Đến lúc ấy nhân tình mới yên.
畱旬日岳挈惠及將士南還，以海雲以外屬惠爲北平王，嘉定屬呂爲東定王，而自稱中央皇帝。	Lưu lại Thăng long mươi ngày, Nhạc đem Huệ và tướng sĩ về Nam, lấy từ cửa Hải vân ra ngoài cho thuộc về Huệ, phong Huệ làm Bắc bình Vương (Chúa đã dẹp yên đất Bắc), cho Gia định thuộc về Lữ, phong Lữ làm Đông định Vương (Chúa đã dẹp yên đất phía đông) mà tự xưng là Trung ương Hoàng đế.
岳旣得志，日肆淫暴殺阮樁，又淫惠妻。人皆醜之。	Nhạc đã đắc chi, ngày càng dâm dật hung bạo giết Nguyễn Thung lại loạn dâm với vợ của Huệ, người ta đều xấu hổ cho việc đó.
北侵之役，鄭府貨寳一歸于惠，岳索之不與。	Trong chiến dịch xâm lược Bắc hà, tiền của châu báu trong phủ Chúa Trịnh đều thuộc trọn về Huệ.
惠欲倂廣南之地，岳亦不與，遂成仇隙。	Nhạc đòi hỏi thì Huệ không cho. Huệ muốn lấy đất Quảng nam, Nhạc cũng không cho, bèn thành mối cừu thù hiềm khích.
惠乃傳檄數岳之惡，至以豺狼狗彘目之。	Huệ lại truyền hịch kể những tội ác của Nhạc, đến dùng những chữ sói, chó heo mà gọi lên.
檄文有曰：“罪莫大於弑君，鳥可一朝輕率？	Bài văn trong hịch có câu : "Tội lỗi không gì to hơn việc giết vua, sao lại có thể một sớm mà khinh suất được?
諫不聽則易位，寔關萬世安危。”	Can gián mà không nghe thì đổi ngôi, thật đã quan hệ đến việc an nguy của muôn đời."
僞吏部胡仝所作也。	Đó là quan Lại bộ Hồ Tuyền của Tây sơn làm ra.
岳見之大怒，遂治兵相攻。	Nhạc xem đến thì cả giận, bèn sửa binh đánh nhau với Huệ.
惠自恃勢大引兵直捣歸仁圍之數月。	Huệ tự ỷ thị thế lực mình lớn lao, dẫn quân đánh thẳng vào Quy nhơn, bao vây Quy nhơn trong mấy tháng.
岳堅壁自守。	Nhạc củng cố tường thành tự phòng giữ.
惠築土山，架大礮，彈落城中大如斗。	Huệ đắp núi đất, gác súng đại bác, đạn rớt trong thành to như cái đấu.
岳使人拾之，哭告于僞廟。	Nhạc sai người luộm lấy, khóc mà báo cáo lên tông miếu.
岳將鄧文眞一名鎭自嘉定回援，至富安爲惠所擄。	Đặng Văn Châu (một tên nữa là Trấn), tướng của Nhạc từ Gia định trở về cứu viện, đến Phú yên bị Huệ bắt sống.
岳乃於城上呼惠語之曰：皮鍋煑肉，弟心何忍？	Nhạc bèn ở trên thành gọi Huệ nói: — Nồi da xáo thịt, lòng em sao nhẫn?
相向慟哭，久之乃各解兵講和以板津爲界，廣義以南岳主之，升奠以北惠主之。	Anh em hướng vào nhau mà khóc lớn, hồi lâu mỗi bên giải binh giảng hoà, lấy Bản tân làm ranh giới, từ Quảng nghĩa trở về nam, Nhạc làm chủ, từ đất Thăng đất Điện trở về bắc, Huệ làm chủ.
惠幸臣陳文紀之計也。	Đó là mưu kế của Trần Văn Kỷ, bề tôi yêu chuộng của Huệ.
岳旣與惠有隙，自是內相備不暇南窺矣。	Nhạc đã có hiềm khích với Huệ, từ đó lo phòng bị lẫn nhau không rảnh dòm ngó đến miền Nam.
第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
滚滚长江东逝水，浪花淘尽英雄。	Có bài từ rằng: Trường Giang cuồn cuộn chảy về đông, Sóng vùi dập hết anh hùng.
是非成败转头空。	Được, thua, phải, trái, thoắt thành không.
青山依旧在，几度夕阳红。	Non xanh nguyên vẻ cũ, Mấy độ bóng tà hồng!
白发渔樵江渚上，惯看秋月春风。	Bạn đầu bạc ngư tiều trên bãi, Đã quen nhìn thu nguyệt xuân phong.
一壶浊酒喜相逢。	Một bầu rượu vui vẻ tương phùng.
古今多少事，都付笑谈中。	Xưa nay bao nhiêu việc, Phó mặc nói cười suông
——调寄《临江仙》	
话说天下大势，分久必合，合久必分。周末七国分争，并入于秦。	Thế lớn trong thiên hạ, cứ tan lâu rồi lại hợp, hợp lâu rồi lại tan: Như cuối đời nhà Chu, bảy nước tranh giành xâu xé nhau rồi sau lại hợp về nhà Tần.
及秦灭之后，楚、汉分争，又并入于汉。	Đến khi nhà Tần mất, thì Hán Sở tranh hùng rồi sau thiên hạ lại hợp về tay nhà Hán.
汉朝自高祖斩白蛇而起义，一统天下，后来光武中兴，传至献帝，遂分为三国。	Nhà Hán, từ lúc vua Cao tổ (Bái Công) chém rắn trắng khởi nghĩa, thống nhất được thiên hạ, sau vua Quang Vũ lên ngôi, rồi truyền mãi đến vua Hiến Đế; lúc bấy giờ lại chia ra thành ba nước.
推其致乱之由，殆始于桓、灵二帝。	Nguyên nhân gây ra biến loạn ấy là do hai vua Hoàn đế, Linh đế.
桓帝禁锢善类，崇信宦官。	Vua Hoàn đế tin dùng lũ hoạn quan, cấm cố những người hiền sĩ.
及桓帝崩，灵帝即位，大将军窦武、太傅陈蕃共相辅佐。	Đến lúc vua Hoàn đế băng hà, vua Linh đế lên ngôi nối nghiệp; được quan đại tướng quân Đậu Vũ, quan thái phó Trần Phồn giúp đỡ.
时有宦官曹节等弄权，窦武、陈蕃谋诛之，机事不密，反为所害，中涓自此愈横。	Khi ấy, trong triều có bọn hoạn quan là lũ Tào Tiết lộng quyền. Đậu Vũ, Trần Phồn lập mưu định trừ bọn ấy đi, nhưng vì cơ mưu tiết lộ nên lại bị chúng nó giết mất. Từ đấy, bọn hoạn quan ngày càng bạo ngược.
建宁二年四月望日，帝御温德殿。	Ngày rằm tháng tư năm Kiến ninh thứ hai (một trăm sáu mươi bảy dương lịch) vua ngự điện Ôn Đức.
方升座，殿角狂风骤起。只见一条大青蛇，从梁上飞将下来，蟠于椅上。	Tự nhiên có cơn gió to ầm ầm từ góc điện nổi lên, rồi thấy một con rắn xanh lớn ở trên xà nhà quăng xuống quằn quại trên long án.
帝惊倒，左右急救入宫，百官俱奔避。	Vua kinh hoàng ngã đùng ra, các quan tả hữu vội cứu vực vào cung; ở ngoài văn võ cũng sợ chạy cả.
须臾，蛇不见了。忽然大雷大雨，加以冰雹，落到半夜方止，坏却房屋无数。	Được một lát con rắn biến mất và bỗng nhiên mưa to, sấm sét ầm ầm; lại thêm mưa đá rào rào mãi đến nửa đêm mới tạnh, đổ nhà đổ cửa không biết bao nhiêu mà kể.
建宁四年二月，洛阳地震；又海水泛溢，沿海居民，尽被大浪卷入海中。	Tháng hai, năm Kiến ninh thứ tư (một trăm sáu mươi chín) tỉnh Lạc Dương có động đất, nước bể dâng lên ngập lưng trời, dân cư ở ven bể bị sóng lớn cuốn trôi đi mất cả.
光和元年，雌鸡化雄。	Năm Quang hóa thứ nhất (một trăm bảy mươi tám), một con gà mái tự dưng hóa ra gà trống.
六月朔，黑气十余丈，飞入温德殿中。	Mồng một tháng sáu năm ấy, một luồng khí đen dài chừng hơn mươi trượng bay vào trong điện Ôn Đức.
秋七月，有虹现于玉堂；五原山岸，尽皆崩裂。种种不祥，非止一端。	Qua sang tháng bảy, lại có lắm điều gở lạ: Cầu vồng mọc ở giữa Ngọc đường; rặng núi Ngũ Nguyên bỗng dưng lở sụt xuống.
帝下诏问群臣以灾异之由，议郎蔡邕上疏，以为蜺堕鸡化，乃妇寺干政之所致，言颇切直。	Vua hạ chiếu, hỏi chư thần từ đâu mà sinh ra những điềm quái gở ấy. Có quan nghị lang là Sái Ung dâng sớ lên, lời lẽ thống thiết, nói rằng: "Cầu vồng sa xuống, gà mái hóa trống, ấy là bởi quyền chính trong nước ở tay đàn bà và ở tay hoạn quan".
帝览奏叹息，因起更衣。	Vua xem sớ ngậm ngùi thở dài, đứng dậy thay áo.
曹节在后窃视，悉宣告左右；遂以他事陷邕于罪，放归田里。	Tào Tiết khi ấy đứng hầu sau ngai nghe trộm thấy, trong lòng căm giận, bèn mách bảo đồng bọn, bàn mưu kiếm cớ vu hãm Sài Ung, cách quan đuổi về quê quán.
后张让、赵忠、封谞、段珪、曹节、侯览、蹇硕、程旷、夏恽、郭胜十人朋比为奸，号为“十常侍”。	Về sau bọn hoạn quan là Trương Nhượng, Triệu Trung, Phong Tư, Đoan Khuê, Tào Tiết, Hầu Lãm, Kiển Thạc, Trình Khoáng, Hạ Huy, Quách Thắng, cả thẩy mười người gọi là mười quan "Thường thị" bè đảng với nhau kéo cánh làm càn.
帝尊信张让，呼为“阿父”。	Nhà vua tin dùng tôn trọng Trương Nhượng, gọi là "Á phụ" (nghĩa là vua coi như cha).
朝政日非，以致天下人心思乱，盗贼蜂起。	Từ đấy chính sự trong triều ngày càng đổ nát, lòng người náo loạn, giặc cướp nổi lên như ong.
时巨鹿郡有兄弟三人，一名张角，一名张宝，一名张梁。	Khi ấy ở đất Cự Lộc, có một nhà ba anh em: Anh cả là Trương Giác, em hai là Trương Bảo, em út là Trương Lương.
那张角本是个不第秀才，因入山采药，遇一老人，碧眼童颜，手执藜杖，唤角至一洞中，以天书三卷授之，曰：“此名《太平要术》，汝得之，当代天宣化，普救世人；若萌异心，必获恶报。”	Trương Giác vốn thi tú tài trượt, nhân thế bực mình vào núi hái thuốc. Đi đường gặp một ông cụ già mặt tròn mắt biếc, tay chống gậy lê, gọi Trương Giác vào trong một cái động, trao cho ba quyển sách và bảo rằng: Đây là cuốn "Thái bình yêu thuật", có được cuốn này ngươi nên thay trời dạy người, để cứu lấy đời. Nếu sau này manh tâm tà gian ắt bị ác báo.
角拜问姓名。老人曰：“吾乃南华老仙也。”言讫，化阵清风而去。	Trương Giác sụp xuống lạy, hỏi họ tên thì cụ già nói: "Ta là Nam Hoa lão tiên", nói đoạn hóa ra một trận gió biến mất.
角得此书，晓夜攻习，能呼风唤雨，号为“太平道人”。	Trương Giác được ba quyển sách ấy đem về ngày đêm học tập, không bao lâu biết đủ các phép hô gió mưa, tự xưng là Thái bình đạo nhân.
中平元年正月内，疫气流行，张角散施符水，为人治病，自称“大贤良师”。	Đến tháng giêng, năm Trung bình thứ nhất (một trăm tám mươi bốn), có bệnh ôn dịch. Trương Giác làm ra nước phép chữa bệnh, cứu được nhiều người, tự xưng là Đại hiền lương sư.
角有徒弟五百余人，云游四方，皆能书符念咒。	Giác có đồ đệ năm trăm người, đi dạo các nơi, ai cũng biết phép thư phù niệm chú.
次后徒众日多，角乃立三十六方，大方万余人，小方六七千，各立渠帅，称为将军；讹言：“苍天已死，黄天当立；岁在甲子，天下大吉。”	Về sau đồ đệ ngày càng đông; Giác bèn chi học trò ra ba mươi sáu phương, phương lớn hơn một vạn người, phương nhỏ sáu bảy ngàn người, phương nào cũng đặt một người làm thủ lĩnh xưng là tướng quân. Giác nói phao lên rằng: "Trời xanh đã chết, trời vàng nên dựng", "Đến năm giáp tý, thiên hạ thái bình".
令人各以白土书“甲子”二字于家中大门上。	Rồi sai người lấy đất thó trắng viết hai chữ "Giáp tý" ở ngay giữa cửa.
青、幽、徐、冀、荆、扬、兖、豫八州之人，家家侍奉大贤良师张角名字。	Nhân dân tám châu Thanh, U, Từ, Ký, Kinh, Dương, Duyện, Dư nhà nào cũng thờ mấy chữ hiệu: "Đại hiền lương sư Trương Giác".
角遣其党马元义，暗赍金帛，结交中涓封谞，以为内应。角与二弟商议曰：“至难得者，民心也。今民心已顺，若不乘势取天下，诚为可惜。”	Trương Giác lại sai đồng đảng là Mã Nguyên Nghĩa mật đem vàng lụa vào kinh kết giao với tên hoạn quan Phong Tư, đi làm nội ứng, rồi bàn với hai em rằng: - Không gì khó bằng thu phục được lòng dân, nay lòng dân đã quy thuận về ta, nếu không thừa thế chiếm lấy thiên hạ thì thật là đáng tiếc lắm.
遂一面私造黄旗，约期举事；一面使弟子唐周，驰书报封谞。	Bèn một mặt sai may cờ vàng hẹn ngày khởi sự, một mặt sai đồ đệ là Đường Châu đem thư báo cho Phong Tư biết.
唐周乃径赴省中告变。	Nhưng Đường Châu lại đi thẳng đến cửa cung tố cáo.
帝召大将军何进调兵擒马元义，斩之；次收封谞等一干人下狱。	Được tin, vua liền triệu quan đại tướng quân là Hà Tiến điều binh bắt chém Mã Nguyên Nghĩa và bắt cả bọn Phong Tư bỏ ngục.
张角闻知事露，星夜举兵，自称“天公将军”，张宝称“地公将军”，张梁称“人公将军”。申言于众曰：“今汉运将终，大圣人出。	Trương Giác thấy việc đã tiết lộ, vội vàng cử binh khởi sự, tự xưng là Thiên công tướng quân, Trương Lương xưng Nhân công tướng quân nói với mọi người rằng: "Nay vận nhà Hán sắp hết, đại thánh nhân ra đời.
汝等皆宜顺天从正，以乐太平。”	Các ngươi nên thuận mệnh trời, theo về ta để cùng vui hưởng thái bình!".
四方百姓，裹黄巾从张角反者四五十万。	Nhân dân bốn phương đội khăn vàng, đi theo Trương Giác có tới bốn năm mươi vạn người.
贼势浩大，官军望风而靡。	Thế giặc dữ dội, quan quân thua chạy như vịt.
何进奏帝火速降诏，令各处备御，讨贼立功。一面遣中郎将卢植、皇甫嵩、朱儁，各引精兵、分三路讨之。	Hà Tiến một mặt tâu vua, xin hỏa tốc xuống chiếu cho các nơi phòng giữ giết giặc lập công; một mặt sai ba quan trung lang tướng là Lư Thực, Hoàng Phủ Tung, Chu Tuấn đem quân tinh nhuệ chia ra làm ba ngả dẹp giặc.
且说张角一军，前犯幽州界分。	Trong khi ấy, quân Trương Giác có một toán xâm phạm vào bờ cõi U Châu.
幽州太守刘焉，乃江夏竟陵人氏，汉鲁恭王之后也。当时闻得贼兵将至，召校尉邹靖计议。	Quan thái thú châu ấy là Lưu Yên, người làng Kính Lăng, đất Giang Hạ, dòng dõi Lỗ Cung Vương nhà Hán, nghe tin quân giặc sắp đến, liền triệu quan hiệu úy Châu Tĩnh đến bàn luận.
靖曰：“贼兵众，我兵寡，明公宜作速招军应敌。”	Tĩnh nói: - Quân giặc nhiều, quân ta ít, ông nên tức khắc chiêu mộ thêm quân thì mới kịp ứng phó.
刘焉然其说，随即出榜招募义兵。	Lưu Yên cho là phải, bèn sai treo bảng mộ quân.
榜文行到涿县，引出涿县中一个英雄。	Khi bảng treo đến Trác quận thì có ngay một vị anh hùng ra ứng mộ.
那人不甚好读书；性宽和，寡言语，喜怒不形于色；素有大志，专好结交天下豪杰；生得身长七尺五寸，两耳垂肩，双手过膝，目能自顾其耳，面如冠玉，唇若涂脂；中山靖王刘胜之后，汉景帝阁下玄孙，姓刘名备，字玄德。	Vị anh hùng ấy không thích đọc sách mấy, tính ôn hòa, ít nói, mừng giận không hề lộ ra mặt, vốn có chí lớn, chỉ thích kết giao với những tay hào kiệt trong thiên hạ. Kể dáng người thì mình cao bảy thước rưỡi, hai tai chảy xuống gần vai, hai tay buông khỏi đầu gối, mắt trông thấy được tai, mặt đẹp như ngọc, môi đỏ như son, tức là dòng dõi Trung Sơn Tĩnh Vương Lưu Thắng, cháu năm đời vua Cảnh đế nhà Hán, họ Lưu, tên Bị, tự là Huyền Đức.
昔刘胜之子刘贞，汉武时封涿鹿亭侯，后坐酎金失侯，因此遗这一枝在涿县。	Ngày trước con Lưu Thắng là Lưu Trinh, về đời vua Hán Vũ, được phong làm Trác lộc Đình hầu, sau vì tội góp thiếu tiền cúng tế bị mất chức vì vậy còn sót một ngành ở Trác quận.
玄德祖刘雄，父刘弘。	Ông của Huyền Đức là Lưu Hùng, cha là Lưu Hoằng.
弘曾举孝廉，亦尝作吏，早丧。	Hoằng thi đỗ hiếu liêm, đã từng làm quan, nhưng mất sớm.
玄德幼孤，事母至孝；家贫，贩屦织席为业。	Huyền Đức mồ côi cha, thờ mẹ rất hiếu, nhà nghèo, phải làm nghề đóng dép, dệt chiếu kiếm ăn.
家住本县楼桑村。其家之东南，有一大桑树，高五丈余，遥望之，童童如车盖。	Nhà Huyền Đức ở thôn Lâu Tang, mé đông nam có một cây dâu rất lớn, cao hơn năm trượng, xa trông từng lớp trên xòe ra như cái tán che cỗ xe.
相者云：“此家必出贵人。”	Có người thầy tướng đi qua trông thấy khen rằng: "Nhà có cây dâu này tất sinh quý tử".
玄德幼时，与乡中小儿戏于树下，曰：“我为天子，当乘此车盖。”	Lúc Huyền Đức còn thơ ấu, cùng trẻ con chơi dưới gốc dâu, thường vẫn nói rằng: "Ngày sau ta làm vua, cũng ngự cái xe có tán che như cây dâu này".
叔父刘元起奇其言，曰：“此儿非常人也！”	Người chú là Lưu Nguyên Khởi nghe nói, lấy làm lạ bảo rằng: "Thằng bé này không phải người thường".
因见玄德家贫，常资给之。	Nhân thấy Huyền Đức nhà nghèo, thường tư cấp cho thay đổi theo triều đại.
