第一回宴桃园豪杰三结义斩黄巾英雄首立功 ||| HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công
备乃人杰也，今若不击，待其羽翼既成 ||| Viên Thiệu dẫu bây giờ thế mạnh, nhưng làm việc hay hồ nghi rụt rè, không đáng sợ
急难图矣 ||| Trong khi đang bàn luận, Quách Gia ở ngoài vào
袁绍虽强，事多怀疑不决，何足忧乎！”正议间，郭嘉自外而入 ||| Tháo hỏi: - Ta muốn sang đánh Lưu Bị, lại sợ Viên Thiệu thì làm thế nào? Gia nói: - Thiệu tính chậm chạp mà lại đa nghi; bọn mưu sĩ ghen ghét lẫn nhau, có lo ngại gì
操问曰：“吾欲东征刘备，奈有袁绍之忧，如何？”嘉曰：“绍性迟而多疑，其谋士各相妒忌，不足忧也 ||| Lưu Bị mới sửa sang quân bị, lòng người chưa phục, bây giờ thừa tướng cứ đem binh sang đánh, chỉ một trận là xong
刘备新整军兵，众心未服，丞相引兵东征，一战可定矣 ||| Tháo mừng lắm: - Chính hợp ý ta lắm! Rồi khởi hai mươi vạn quân chia làm năm đường đi đánh Từ Châu
”操大喜曰：“正合吾意 ||| Quân do thám về Từ Châu báo tin
”遂起二十万大军，分兵五路下徐州 ||| Tôn Càn trước hết đến Hạ Phì
细作探知，报入徐州 ||| Huyền Đức bàn với Tôn Càn: - Ta phải đến Viên Thiệu cầu cứu mới giải thoát được nguy này
孙乾先往下邳报知关公，随至小沛报知玄德，玄德与孙乾计议曰：“此必求救于袁绍，方可解危 ||| Liền viết một phong thư sai Tôn Càn đến Hà Bắc
”于是玄德修书一封，遣孙乾至河北 ||| Càn đến gặp Điền Phong trước, nói rõ tình đầu, nhờ tiến dẫn hộ
乾乃先见田丰，具言其事，求其引进 ||| Phong dẫn Càn vào yết kiến Viên Thiệu, dâng thư
丰即引孙乾入见绍，呈上书信 ||| Phong thấy Viên Thiệu hình dong tiều tụy, áo mũ xốc xếch bèn hỏi: - Hôm nay chúa công làm sao thế? Thiệu nói: - Ta sắp chết đây! Phong ngạc nhiên quá hỏi: - Sao chúa công lại nói thế! Thiệu nói: - Ta sinh được năm con, duy có thằng út là vừa ý ta! Nay bị ghẻ lở sắp chết, ta còn bụng nào nghĩ đến việc khác nữa? Phong nói: - Nay Tào Tháo sang đông đánh Lưu Bị, Hứa Xương bỏ không, nếu ta cất ngay nghĩa binh, thừa cơ tiến vào, trên giúp thiên tử, dưới giúp muôn dân, đó là cơ hội không mấy khi gặp
只见绍形容憔悴，衣冠不整 ||| Xin minh công xét cho
丰曰：“今日主公何故如此？绍曰：“我将死矣！”丰曰：“主公何出此言？”绍曰：“吾生五子，惟最幼者极快吾意；今患疥疮，命已垂绝 ||| Thiệu nói: - Ta cũng biết thế là hay, nhưng trong bụng đương bối rối thế này, sợ đi có điều bất lợi chăng? Phong nói: - Việc gì mà bối rối? Thiệu nói: - Trong năm thằng con, chỉ có thằng này là kỳ khôi hơn cả, nếu có điều gì, ta cũng chết mất
吾有何心更论他事乎？”丰曰：“今曹操东征刘玄德，许昌空虚，若以义兵乘虚而入，上可以保天子，下可以救万民 ||| Thiệu nhất quyết không cất quân và bảo Tôn Càn: - Ngươi về gặp Huyền Đức nói rõ duyên cớ như thế
此不易得之机会也，惟明公裁之 ||| Nhỡ ra có điều gì không được như ý, cứ lại đây, ta sẽ giúp cho
”绍曰：“吾亦知此最好，奈我心中恍惚，恐有不利 ||| Điền Phong lấy gậy đập xuống đất và nói: - Gặp được dịp may mắn thế này, lại lấy nê đứa trẻ ốm, bỏ mất cơ hội, khá tiếc lắm thay!
孙乾见绍不肯发兵，只得星夜回小沛见玄德，具说此事 ||| Tôn Càn thấy Viên Thiệu không chịu cất quân, vội vàng về ngay Tiểu Bái trình với Huyền Đức
玄德大惊曰：“似此如之奈何？”张飞曰：“兄长勿忧 ||| Huyền Đức sợ lắm, nói: - Như thế thì làm thế nào? Trương Phi nói: - Huynh trưởng chớ lo
曹兵远来，必然困乏；乘其初至，先去劫寨，可破曹操 ||| Quân Tào đi đường xa, tất nhiên mỏi mệt
”玄德曰：“素以汝为一勇夫耳 ||| Ta nhân lúc mới đến, đi cướp trại ngay làm gì không phá tan được
前者捉刘岱时，颇能用计；今献此策，亦中兵法 ||| Huyền Đức nói: - Ta vẫn tưởng em chỉ là một dũng phu, nhưng ngày nọ bắt Lưu Đại, đã biết dùng mẹo; nay bày kế này cũng hợp binh pháp
”乃从其言，分兵劫寨 ||| Bèn nghe lời Trương Phi, chia quân đi cướp trại
且说曹操引军往小沛来 ||| Tào Tháo vừa đem quân đến Tiểu Bái
正行间，狂风骤至，忽听一声响亮，将一面牙旗吹折 ||| Lúc đang đi đường, bỗng có cơn dông nổi lên, chợt nghe đánh ầm một tiếng, một lá nha kỳ bị gẫy
操便令军兵且住，聚众谋士问吉凶 ||| Tháo truyền lệnh cho quân sĩ dừng lại, rồi họp các mưu sĩ hỏi điềm lành dữ làm sao
荀彧曰：“风从何方来？吹折甚颜色旗？”操曰：“风自东南方来，吹折角上牙旗，旗乃青红二色 ||| Tuân Úc hỏi: - Gió từ phương nào đến? Lá cờ gẫy sắc gì? Tháo nói: - Gió từ mé đông nam lại, thổi gẫy một lá nha kỳ, sắc cờ vừa xanh vừa đỏ
”彧曰：“不主别事，今夜刘备必来劫寨 ||| Úc tính một lát rồi thưa: - Đêm nay tất Lưu Bị đến cướp trại
”操点头 ||| Tháo gật đầu, chợt có Mao Giới vào trình: - Vừa rồi gió đông nam thổi gẫy lá nha kỳ xanh đỏ, chúa công bảo là điềm lành hay dữ? Tháo không nói, hỏi: - Ông nghĩ thế nào? Mao Giới thưa: - Tôi thiết nghĩ đêm nay tất có người đến cướp trại
忽毛玠入见曰：“方才东南风起，吹折青红牙旗一面 ||| Có thơ rằng: Ngán cho thế Hán đã cô cùng! Cướp trại còn mong một chút công, Cờ gẫy báo điềm cho biết trước, Trời già sao tựa đứa gian hùng? Tháo nói: - Điềm trời đã báo trước, ta nên đề phòng cẩn thận
主公以为主何吉凶？”操曰：“公意若何？”毛玠曰：“愚意以为今夜必主有人来劫寨 ||| Bèn chia quân làm chín đôi, chỉ để một đội đi lên trước, lập trại bỏ trống, còn tám mặt thì chia quân mai phục
是夜月色微明 ||| Đêm hôm ấy, trăng sáng lờ mờ, Huyền Đức bên tả, Trương Phi bên hữu, chia quân làm hai đội kéo đến, chỉ để một mình Tôn Càn giữ Tiểu Bái
玄德在左，张飞在右，分兵两队进发；只留孙乾守小沛 ||| Trương Phi tự lấy làm đắc kế, lĩnh quân khinh kỵ đi trước, xông ngay vào trại Tào Tháo, chỉ thấy lơ thơ quân mã, bốn mặt lửa cháy sáng rực, tiếng reo rầm rĩ
且说张飞自以为得计，领轻骑在前，突入操寨，但见零零落落，无多人马，四边火光大起，喊声齐举 ||| Phi biết là trúng kế, vội vàng chạy ra thì đông Trương Liêu, tây Hứa Chử, nam Vu Cấm, bắc Lý Điển, đông nam Từ Hoảng, tây nam Nhạc Tiến, đông bắc Hạ Hầu Đôn, tây bắc Hạ Hầu Uyên, quân mã tám mặt đánh dồn lại
飞知中计，急出寨外 ||| Trương Phi xông bên nọ xáo bên kia, che đằng trước đỡ đằng sau
正东张辽、正西许褚、正南于禁、正北李典、东南徐晃、西南乐进，东北夏侯惇、西北夏侯渊，八处军马杀来 ||| Quân Trương Phi vốn là thủ hạ cũ của Tào Tháo, thấy thế đã nguy, đầu hàng Tháo hết
张飞左冲右突，前遮后当；所领军兵原是曹操手下旧军，见事势已急，尽皆投降去了 ||| Khi đang xung đột gặp ngay Từ Hoảng
飞正杀间，逢着徐晃大杀一阵，后面乐进赶到 ||| Phi đánh nhau với Hoảng, đằng sau Nhạc Tiến lại kéo đến
飞杀条血路突围而走，只有数十骑跟定 ||| Phi đánh riết mở một đường máu, chỉ còn có vài mươi tên kỵ mã đi theo
欲还小沛，去路已断，欲投徐州、下邳，又恐曹军截住；寻思无路，只得望芒砀山而去 ||| Phi muốn về Tiểu Bái, nhưng đường đi nghẽn mất rồi
却说玄德引军劫寨，将近寨门，忽然喊声大震，后面冲出一军，先截去了一半人马 ||| Còn Huyền Đức cũng dẫn quân đến cướp trại Tào, khi gần đến cửa trại, nghe thấy tiếng reo, sau trại có một toán quân xông ra, chẹn ngay mất một nửa quân mã
夏侯惇又到 ||| Hạ Hầu Đôn lại kéo quân đến
玄德突围而走，夏侯渊又从后赶来 ||| Huyền Đức vội vàng chạy ra, Hạ Hầu Uyên từ đằng sau đuổi lại
玄德回顾，止有三十余骑跟随；急欲奔还小沛，早望见小沛城中火起，只得弃了小沛；欲投徐州、下邳，又见曹军漫山塞野，截住去路 ||| Huyền Đức ngoảnh lại, chỉ thấy có hơn ba mươi tên kỵ mã chạy theo
玄德自思无路可归，想：“袁绍有言，‘倘不如意，可来相投’，今不若暂往依栖，别作良图 ||| Muốn chạy về Tiểu Bái; muốn về Từ Châu, Hạ Phì, lại thấy quân Tào khắp núi đầy đồng nghẽn cả đường đi
”遂望青州路而走，正逢李典拦住 ||| Huyền Đức không còn đường nào về, bụng nghĩ: - Viên Thiệu trước đó có dặn ngộ sau này có điều gì bất như ý thì sang đó mà nương tựa
玄德匹马落荒望北而逃，李典掳将从骑去了 ||| Hay là nay ta hãy chạy sang đấy, tạm làm chỗ nương thân, rồi sẽ liệu kế khác về sau
且说玄德匹马投青州，日行三百里，奔至青州城下叫门 ||| Lưu Bị một mình một ngựa, đi ba trăm dặm tới Thanh Châu, đến dưới thành gọi cửa
门吏问了姓名，来报刺史 ||| Quân canh hỏi tên họ, rồi vào báo với thứ sử
刺史乃袁绍长子袁谭 ||| Thứ sử là con cả Viên Thiệu, tên là Viên Đàm
谭素敬玄德，闻知匹马到来，即便开门相迎，接入公廨，细问其故 ||| Đàm vốn kính phục Huyền Đức, nghe thấy Huyền Đức một mình cưỡi ngựa đến, vội vàng mở cửa ra đón, mời vào công đường, hỏi rõ duyên cớ
玄德备言兵败相投之意 ||| Huyền Đức kể hết sự tình
谭乃留玄德于馆驿中住下，发书报父袁绍；一面差本州人马，护送玄德 ||| Đàm mời Huyền Đức nghỉ trong nhà khách, rồi viết thư báo cho bố biết, một mặt sai quân mã hộ tống Huyền Đức đến Bình Nguyên
至平原界口，袁绍亲自引众出邺郡三十里迎接玄德 ||| Viên Thiệu tự đem quân ra khỏi Nghiệp Quận ba mươi dặm đón rước, Huyền Đức lạy tạ, Thiệu vội vàng đáp lễ, nói: - Bữa nọ vì đứa trẻ sài ghẻ, không đến cứu viện được, trong bụng rất là áy náy không yên
玄德拜谢，绍忙答礼曰：“昨为小儿抱病，有失救援，于心怏怏不安 ||| Nay may được gặp nhau, thực là được thỏa lòng ái mộ bấy nay
今幸得相见，大慰平生渴想之思 ||| Huyền Đức nói: - Bị nay cô cùng, vẫn muốn nương nhờ dưới cửa ngài, nhưng chưa gặp được cơ hội nào
”玄德曰：“孤穷刘备，久欲投于门下，奈机缘未遇 ||| Nay bị Tào Tháo đến đánh, vợ con đều bị thất lạc, nghĩ rằng tướng quân rộng lượng dung nạp kẻ sĩ bốn phương, cho nên cũng chẳng ngại thẹn thùng, xin đến nương nhờ, mong tướng quân thu dụng, thế nào tôi cũng xin có ngày báo đáp lại
今为曹操所攻，妻子俱陷，想将军容纳四方之士，故不避羞惭，径来相投 ||| Thiệu mừng lắm, khoản đãi rất hậu, rồi mời về Ký Châu
望乞收录 ||| Tào Tháo đương đêm lấy được thành Tiểu Bái, liền cho tiến quân ngay đi đánh Từ Châu
誓当图报 ||| My Chúc và Giản Ung giữ thành không nổi, đành bỏ thành chạy trốn
”绍大喜，相待甚厚，同居冀州 ||| Trần Đăng dâng ngay Từ Châu
且说曹操当夜取了小沛，随即进兵攻徐州 ||| Tào kéo quân vào thành phủ dụ dân chúng, rồi gọi các mưu sĩ bàn mưu lấy Hạ Phì
糜竺、简雍守把不住，只得弃城而走 ||| Tuân Úc nói: - Vân Trường trông nom vợ con Huyền Đức, tất cố chết giữ thành
陈登献了徐州 ||| Ta không lấy ngay, e sẽ bị Viên Thiệu cướp mất
曹操大军入城，安民已毕，随唤众谋士议取下邳 ||| Tháo nói: - Ta vẫn mến tài võ nghệ của Vân Trường, chỉ mong được hắn về với ta
荀彧曰：“云长保护玄德妻小，死守此城 ||| Sao bằng hãy cho người dụ hắn quy hàng
若不速取 ||| Quách Gia nói: - Vân Trường là người nghĩa khí, chắc không chịu hàng, sai người đến dụ không khéo bị hại
恐为袁绍所窃 ||| Dưới trướng có một người bước ra nói: - Tôi cùng Quan Vũ có hơi quen nhau, xin đi dụ
”操曰：“吾素爱云长武艺人材，欲得之以为己用，不若令人说之使降 ||| Các tướng ngoảnh lại xem ai, thì là Trương Liêu
”郭嘉曰：“云长义气深重，必不肯降 ||| Trình Dục nói: - Văn Viễn tuy quen Vân Trường, nhưng tôi e người ấy không phải lấy lời mà dụ được
若使人说之，恐被其害 ||| Tôi có một kế làm cho Vân Trường tiến lui không còn đường nào, bấy giờ Văn Viễn hãy đến dụ, Vân Trường tất phải về với thừa tướng
”帐下一人出曰：“某与关公有一面之交，愿往说之 ||| Ấy là: Giương phòng nỏ cứng rình hùm dữ, Mắc sẵn mồi thơm giật cá ngao
”众视之，乃张辽也 ||| Chưa biết mẹo Trình Dục ra làm sao, xem đến hồi sau phân giải
第二十五回屯土山关公约三事救白马曹操解重围 ||| HỒI 25 Đóng Thổ Sơn, Quan Công giao ước ba việc; Cứu Bạch Mã, Tào Tháo thoát khỏi vòng vây
却说程昱献计曰：“云长有万人之敌，非智谋不能取之 ||| Trình Dục dâng kế rằng: - Vân Trường sức địch muôn người, phi dùng mưu trí không sao đánh nổi
今可即差刘备手下投降之兵，入下邳，见关公，只说是逃回的，伏于城中为内应；却引关公出战，诈败佯输，诱入他处，以精兵截其归路，然后说之可也 ||| Nay nên sai một số quân của Lưu Bị mới hàng vào Hạ Phì ra mắt Quan Vũ, nói dối là trốn về được, cho phục ở trong thành làm nội ứng; rồi dử Quan Vũ ra đánh nhau, ta giả cách thua chạy, dử hắn ra nơi khác, đem tinh binh chẹn hẳn đường về, bấy giờ mới có thể dụ hắn quy hàng
”操听其谋，即令徐州降兵数十，径投下邳来降关公 ||| Tháo theo kế ấy, cho ngay vài chục hàng binh đến Hạ Phì vào hàng Quan Công
关公以为旧兵，留而不疑 ||| Quan Công cho là quân cũ, không hồ nghi gì cả
次日，夏侯惇为先锋，领兵五千来搦战 ||| Hôm sau Hạ Hầu Đôn lĩnh năm nghìn quân đến thách đánh
关公不出，惇即使人于城下辱骂 ||| Quan Công không ra
关公大怒，引三千人马出城，与夏侯惇交战 ||| Đôn sai quân ở dưới thành sỉ nhục mắng nhiếc
约战十馀合，惇拨回马走 ||| Quan Công mới nổi giận dẫn ba nghìn quân ra ngoài thành giao chiến
关公赶来，惇且战且走 ||| Đánh được hơn mười hiệp, Hạ Hầu Đôn quay ngựa chạy
关公约赶二十里，恐下邳有失，提兵便回 ||| Quan Công đuổi miết, Đôn vừa đánh vừa chạy
只听得一声炮响，左有徐晃，右有许褚，两队军截住去路，关公夺路而走，两边伏兵排下硬弩百张，箭如飞蝗 ||| Quan Công đuổi được độ hai mươi dặm, sợ Hạ Phì không có ai giữ nổi, kéo quân trở về
关公不得过，勒兵再回，徐晃、许褚接住交战 ||| Bỗng nghe một tiếng pháo nổ, bên tả có Từ Hoảng, bên hữu có Hứa Chử, hai đạo quân chẹn ngang đường đi
关公奋力杀退二人，引军欲回下邳，夏侯惇又截住厮杀 ||| Quan Công cứ cắm đầu chạy về, quân phục hai bên lại đổ ra, nỏ cứng trăm chiếc bắn tên như châu chấu
公战至日晚，无路可归，只得到一座土山，引兵屯于山头，权且少歇 ||| Quan Công không thể nào đi được, phải quay ngựa lại
曹兵团团将土山围住 ||| Từ Hoảng, Hứa Chử lại đón đánh
关公于山上遥望下邳城中火光冲天，却是那诈降兵卒偷开城门，曹操自提大军杀入城中，只教举火以惑关公之心 ||| Quan Công cố hết sức đánh lui hai người, đang định dẫn quân về Hạ Phì, Hạ Hầu Đôn lại đánh chặn lại
关公见下邳火起，心中惊惶，连夜几番冲下山来，皆被乱箭射回 ||| Quan Công đánh mãi đến chiều, không có đường về, phải lên quả núi đất đóng quân tạm nghỉ
捱到天晓，再欲整顿下山冲突，忽见一人跑马上山来，视之乃张辽也 ||| Đến sáng, đang sắp sửa xông xuống chân núi, chợt có một tướng tế ngựa trèo lên, nhìn ra là Trương Liêu
关公迎谓曰：“文远欲来相敌耶？”辽曰：“非也 ||| Quan Công đón hỏi: - Văn Viễn đến đây định đánh nhau với ta chăng? Liêu đáp: - Đâu phải thế! Liêu này nghĩ tình cố nhân ngày xưa, lên đây gặp nhau đó thôi
想故人旧日之情，特来相见 ||| Nói rồi bỏ đao xuống ngựa, thi lễ xong, ngồi trên đỉnh núi nói chuyện
”遂弃刀下马，与关公叙礼毕，坐于山顶 ||| Quan Công nói: - Văn Viễn đến dụ mỗ chăng? Liêu đáp: - Không phải thế! Ngày trước nhờ anh cứu em, ngày nay sao em lại không cứu anh? Quan Công nói: - Thế Văn Viễn đến đây định giúp ta chăng? Liêu nói: - Cũng không phải
公曰：“文远莫非说关某乎？”辽曰：“不然 ||| Quan Công nói: - Nếu không giúp ta, thì đến làm gì? Liêu nói: Huyền Đức không biết còn hay mất; Dực Đức không biết sống hay chết
昔日蒙兄救弟，今日弟安得不救兄？”公曰：“然则文远将欲助我乎？”辽曰：“亦非也 ||| Đêm qua Tào công đã phá được Hạ Phì, quân dân đều an toàn
”公曰：“既不助我，来此何干？”辽曰：“玄德不知存亡，翼德未知生死 ||| Tào công lại sai người giữ gìn gia quyến Huyền Đức, cấm không cho ai vào quấy nhiễu, đối đãi thực tử tế, em đến để báo tin cho anh biết
昨夜曹公已破下邳，军民尽无伤害，差人护卫玄德家眷，不许惊忧 ||| Quan Công giận nói: - Thế là đến dụ ta, nay tuy hết đường đất, ta vẫn coi cái chết như không
如此相待，弟特来报兄 ||| Ngươi đi ngay, ta sẽ xuống chân núi đánh nhau bây giờ
”关公怒曰：“此言特说我也 ||| Trương Liêu cười nói: - Anh nói thế, không sợ thiên hạ người ta cười cho à? Quan Công nói: - Ta vì trung nghĩa mà chết, thiên hạ sao lại cười ta? Liêu nói: - Anh chết bây giờ thì mắc ba tội Quan Công hỏi: - Ba tội là những tội gì? Liêu nói: - Khi trước Lưu sứ quân cùng anh kết nghĩa, có thể với nhau cùng sống thác
吾今虽处绝地，视死如归 ||| Nay sứ quân vừa mới thua, mà anh đi đánh liều cố lấy cái chết, nếu sứ quân hãy còn, muốn tìm anh mà không tìm thấy, chẳng hóa ra phụ lời thề năm trước ru? Thế là một tội
汝当速去，吾即下山迎战 ||| Lưu sứ quân đem vợ con phó thác cho anh, anh nay liều mình chịu chết, hai phu nhân nương tựa vào đâu, há chẳng phụ lời phó thác của Lưu sứ quân ru? Thế là hai tội
”张辽大笑曰：“兄此言岂不为天下笑乎？”公曰：“吾仗忠义而死，安得为天下笑？”辽曰：“兄今即死，其罪有三 ||| Đại huynh võ nghệ siêu quần, tinh thông kinh sử, không nghĩ cùng sứ quân giúp nhà Hán, lại tự nhảy vào nước sôi lửa cháy, mua lấy cái tiếng mạnh bạo của một kẻ vũ phu, sao gọi là nghĩa? Thế là ba tội
”公曰：“汝且说我那三罪？”辽曰：“当初刘使君与兄结义之时，誓同生死；今使君方败，而兄即战死，倘使君复出，欲求兄相助，而不可复得，岂不负当年之盟誓乎？其罪一也 ||| Anh mắc ba tội ấy nên em phải bảo
公沉吟曰：“汝说我有三罪，欲我如何？”辽曰：“今四面皆曹公之兵，兄若不降，则必死；徒死无益，不若且降曹公；却打听刘使君音信，如知何处，即往投之 ||| Quan Công ngồi nghĩ một lúc, rồi nói: Ngươi nói ta ba tội ấy, thế ngươi muốn bảo ta phải làm thế nào? Liêu nói: - Nay bốn mặt đều là quân Tào công vây kín cả
一者可以保二夫人，二者不背桃园之约，三者可留有用之身：有此三便，兄宜详之 ||| Nếu anh không hàng thì phải chết
”公曰：“兄言三便，吾有三约 ||| Chết mà vô ích thì hãy hàng đi, rồi sẽ nghe ngóng tin tức Lưu Huyền Đức
若丞相能从，我即当卸甲；如其不允，吾宁受三罪而死 ||| Khi biết được sứ quân ở đâu, bấy giờ lại đi theo, một là bảo toàn được hai phu nhân, hai là không trái ước vườn đào, ba là lưu lại được cái thân hữu dụng
”辽曰：“丞相宽洪大量，何所不容 ||| Có ba điều tiện như thế, xin anh nghĩ lại cho kỹ
愿闻三事 ||| Quan Công nói: - Anh nói ba điều tiện, tôi cũng có ba điều giao ước
”公曰：“一者，吾与皇叔设誓，共扶汉室，吾今只降汉帝，不降曹操；二者，二嫂处请给皇叔俸禄养赡，一应上下人等，皆不许到门；三者，但知刘皇叔去向，不管千里万里，便当辞去：三者缺一，断不肯降 ||| Nếu thừa tướng nghe cho, tôi xin lập tức cởi giáp lại hàng; nhược bằng không nghe, tôi đành chịu ba tội mà chết
望文远急急回报 ||| Liêu nói: - Thừa tướng đại lượng khoan hồng, thế nào chắc ngài cũng nghe, xin cho biết ba điều ước
”张辽应诺，遂上马，回见曹操，先说降汉不降曹之事 ||| Quan Công nói: - Một là: Ta đã cùng Hoàng thúc xin thề cùng nhau giúp nhà Hán, nay ta chỉ hàng vua nhà Hán, không hàng Tào Tháo
操笑曰：“吾为汉相，汉即吾也 ||| - Hai là: Hai chị dâu ta phải được cấp dưỡng theo bổng lộc của hoàng thúc, nhất thiết người ngoài không ai được đến cửa
此可从之 ||| - Ba là: Hễ ta nghe thấy hoàng thúc ở đâu, không quản trăm dặm nghìn dặm, lập tức ta cáo từ, rồi đi theo
”辽又言：“二夫人欲请皇叔俸给，并上下人等不许到门 ||| Ba điều ấy nếu thiếu một điều ta nhất định không hàng, xin Văn Viễn mau mau về trình với thừa tướng
”操曰：“吾于皇叔俸内，更加倍与之 ||| Trương Liêu thưa vâng, lên ngay ngựa về gặp Tào Tháo, trước hết nói việc hàng Hán không hàng Tháo
至于严禁内外，乃是家法，又何疑焉！”辽又曰：“但知玄德信息，虽远必往 ||| Tháo nói: - Ta là tướng nhà Hán, Hán tức là ta
”操摇首曰：“然则吾养云长何用？此事却难从 ||| Việc ấy theo được
”辽曰：“岂不闻豫让众人国士之论乎？刘玄德待云长不过恩厚耳 ||| Liêu lại xin cho hai phu nhân được hưởng lộc của hoàng thúc và không ai được vào đến cửa
丞相更施厚恩以结其心，何忧云长之不服也？”操曰：“文远之言甚当，吾愿从此三事 ||| Tháo nói: - Ta sẽ cấp cho gấp hai lương bổng của hoàng thúc
”张辽再往山上回报关公 ||| Còn như việc nghiêm cấm trong ngoài, vốn là gia pháp phải thế, việc gì phải nói nữa
关公曰：“虽然如此，暂请丞相退军，容我入城见二嫂，告知其事，然后投降 ||| Liêu mới nói đến khoản thứ ba: Hễ khi nào biết tin Huyền Đức ở đâu, dù xa thế nào cũng đi theo ngay
”张辽再回，以此言报曹操 ||| Tháo lắc đầu nói: - Thế thì ta nuôi Vân Trường để làm gì? Việc này khó theo đấy
操即传令，退军三十里 ||| Liêu nói: - Thừa tướng không nhớ lời bàn chúng nhân và quốc sĩ của Dự Nhượng ngày xưa hay sao? Như Huyền Đức đãi Quan Vũ chẳng qua chỉ lấy hậu ân mà thôi
荀彧曰：“不可，恐有诈 ||| Nay thừa tướng đối đãi thật hậu hơn, lo gì Quan Vũ chẳng phục? Tháo nói: - Văn Viễn nói chí phải
”操曰：“云长义士，必不失信 ||| Ta ưng cả ba điều
”遂引军退 ||| Liêu vội lên núi bảo cho Quan Công biết, Quan Công nói: - Đã đành như thế rồi, xin thừa tướng hãy tạm lui binh, để tôi vào thành bẩm với hai chị, rồi sau mới xin hàng
关公引兵入下邳，见人民安妥不动，竟到府中 ||| Liêu về bẩm lại, Tháo liền truyền lệnh lui quân ba mươn dặm
来见二嫂 ||| Tuân Úc nói: - Không nên, e nó nói dối? Tháo nói: - Vân Trường là người nghĩa sĩ, chắc không thất tín
甘、糜二夫人听得关公到来，急出迎之 ||| Rồi cứ truyền lệnh rút quân
公拜于阶下曰：“使二嫂受惊，某之罪也 ||| Quan Công dẫn binh vào thành, thấy nhân dân yên ổn cả, đến ngay vào phủ, vào yết kiến hai chị
”二夫人曰：“皇叔今在何处？”公曰：“不知去向 ||| Cam, My, hai phu nhân nghe Quan Công đã về, vội ra đón vào
”二夫人曰：“二叔今将若何？”公曰：“关某出城死战，被困土山，张辽劝我投降，我以三事相约 ||| Quan Công lạy ở dưới thềm, nói: - Để cho hai chị sợ hãi ấy là tội em
曹操已皆允从，故特退兵，放我入城 ||| Hai phu nhân hỏi: - Hoàng thúc bây giờ ở đâu? Quan Công nói: - Không biết ở đâu
我不曾得嫂嫂主意，未敢擅便 ||| Hai phu nhân lại hỏi: - Bây giờ chú định thế nào
”二夫人问：“那三事？”关公将上项三事，备述一遍 ||| Quan Công nói: - Em ra thành đánh nhau, bị vây ở trên núi, Trương Liêu khuyên em ra hàng, em có ước ba điều, Tào Tháo nghe cả ba, nên mới rút quân, để em vào thành
甘夫人曰：“昨日曹军入城，我等皆以为必死；谁想毫发不动，一军不敢入门 ||| Em chưa được biết ý định của hai chị, chưa dám tự tiện
叔叔既已领诺，何必问我二人？只恐日后曹操不容叔叔去寻皇叔 ||| Hai phu nhân hỏi: - Ba điều ước là những điều gì? Quan Công thuật rõ lại ba điều ước
”公曰：“嫂嫂放心，关某自有主张 ||| Cam phu nhân nói: - Hôm trước quân Tào vào thành, chúng tôi tưởng là chết cả, ai ngờ cái tơ cái tóc không động đến; một đứa quân cũng không dám vào cửa
”二夫人曰：“叔叔自家裁处，凡事不必问俺女流 ||| Nay chú đã hứa với người, không cần phải hỏi lại chúng tôi
” ||| Chỉ sợ Tào Tháo về sau không để cho chú đi tìm hoàng thúc thôi
关公辞退，遂引数十骑来见曹操 ||| Quan Công từ tạ trở ra, dẫn vài mươi tên kỵ mã đến ra mắt Tào Tháo; Tháo ra ngoài nha môn tiếp vào
操自出辕门相接 ||| Quan Công xuống ngựa vào lạy, Tháo vội vàng đáp lễ, Quan Công nói: - Tôi là bại tướng, không bị giết, đội ơn ngài nhiều lắm
关公下马入拜，操慌忙答礼 ||| Tháo nói: - Tôi vốn mến Vân Trường là người trung nghĩa, nay được trông thấy, thực là hả lòng mong mỏi bấy nay
关公曰：“败兵之将，深荷不杀之恩 ||| Quan Công nói: - Văn Viễn bẩm cho ba việc, đã được thừa tướng ưng thuận, chắc là thừa tướng không sai lời
”操曰：“素慕云长忠义，今日幸得相见，足慰平生之望 ||| Tháo đáp: - Ta đã nói quyết không thất tín
”关公曰：“文远代禀三事，蒙丞相应允，谅不食言 ||| Quan Công lại thưa: - Nếu tôi biết được Hoàng thúc ở đâu, dù lên thác xuống ghềnh, lăn sông, qua lửa cũng phải đi theo
”操曰：“吾言既出，安敢失信 ||| Bấy giờ sợ không kịp bái từ, xin thừa tướng lượng thứ cho
”关公曰：“关某若知皇叔所在，虽蹈水火、必往从之 ||| Tháo đáp: - Huyền Đức nếu còn sống, ông cứ đi theo
此时恐不及拜辞，伏乞见原 ||| Nhưng chỉ sợ Huyền Đức mất trong loạn quân rồi
”操曰：“玄德若在，必从公去；但恐乱军中亡矣 ||| Ông cứ yên tâm, nghe ngóng xem đã
公且宽心，尚容缉听 ||| Quan Công lạy tạ
”关公拜谢 ||| Tháo mở tiệc yến khoản đãi
操设宴相待 ||| Hôm sau rút quân về Hứa Xương
次日班师还许昌 ||| Quan Công thu xếp ra trượng, mời hai chị lên xe, tự mình đi hộ vệ
