第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
玄德曰，“此等赤心之人，正当留用。”	Lưu Bị nói: - Người có lòng son như thế nên giữ lại.
云长曰：“关某素知文远忠义之士，愿以性命保之。”	Quan Vũ nói: - Tôi vốn biết Văn Viễn (Trương Liêu) là người trung nghĩa, tôi xin lấy tính mệnh đảm bảo.
操掷剑笑曰：“我亦知文远忠义，故戏之耳。”	Tháo vứt gươm xuống, cười và nói rằng: - Ta cũng biết Văn Viễn là người trung nghĩa, cho nên đùa đấy thôi.
乃亲释其缚，解衣衣之，延之上坐，辽感其意，遂降。	Tháo bèn tự tay cởi trói cho Trương Liêu, cởi áo ra mặc cho Trương Liêu rồi mời ngồi lên ghế. Liêu cảm phục, bèn xin hàng.
操拜辽为中郎将，赐爵关内侯，使招安臧霸。	Tháo cất Liêu lên làm trung lang tướng, cho tước quan nội hầu, sai đi chiêu dụ Tang Bá.
霸闻吕布已死，张辽已降，遂亦引本部军投降。	Bá thấy Lã Bố đã chết, Trương Liêu đã hàng, cũng đem quân bản bộ về hàng.
操厚赏之。	Tào Tháo thưởng cho rất hậu.
臧霸又招安孙观、吴敦、尹礼来降；独昌豨未肯归顺。	Tang Bá lại chiêu an được Tôn Quan, Ngô Đôn và Doãn Lễ, chỉ còn có Xương Hi là chưa phục.
操封臧霸为琅琊相。	Tháo phong cho Tang Bá làm tướng huyện Lương Gia.
孙观等亦各加官，令守青、徐沿海地面。 将吕布妻女载回许都。	Lũ Tôn Quan cũng được làm quan cả, Tháo sai lũ ấy giữ mạn bể hai châu Thanh và Từ, rồi sai đem vợ con Lã Bố về Hứa Đô.
大犒三军，拔寨班师。	Tháo mở tiệc khao quân, nhổ trại mang quân về.
路过徐州，百姓焚香遮道，请留刘使君为牧。	Khi Tháo qua Từ Châu, nhân dân đốt hương bái vọng, đông chật cả đường, xin để Lưu Bị ở lại làm thân mục.
操曰：“刘使君功大，且待面君封爵，回来未迟。”	Tháo nói: - Lưu sứ quân công to, hãy và chầu vua phong tước, rồi sẽ ra nhậm Từ Châu cũng chưa muộn.
百姓叩谢。	Trăm họ lạy tạ.
操唤车骑将军车胄权领徐州。 操军回许昌，封赏出征人员，留玄德在相府左近宅院歇定。	Tháo sai xa kỵ tướng quân là Xa Trụ, quyền lĩnh chức mục Từ Châu. Tháo đem quân về Hứa Đô, phong thưởng cho các tướng sĩ. Còn Lưu Huyền Đức thì để nghỉ ngơi ở nhà bên cạnh tướng phủ.
次日，献帝设朝，操表奏玄德军功，引玄德见帝。	Hôm sau vua Hiến Đế khai trào. Tháo dâng biểu tâu quân công của Huyền Đức và đem Huyền Đức vào chầu vua.
玄德具朝服拜于丹墀。	Huyền Đức mặc đồ trào phục, lạy dưới thềm son.
帝宣上殿，问曰：“卿祖何人？”	Vua truyền cho lên điện, rồi hỏi rằng: - Tổ người là ai?
玄德奏曰：“臣乃中山靖王之后，孝景皇帝阁下玄孙，刘雄之孙，刘弘之子也。”	Huyền Đức tâu rằng: - Tôi là dòng dõi Trung Sơn Tĩnh Vương, cháu xa đức Hiếu Cảnh Hoàng Đế, cháu Lưu Hùng và con Lưu Hoằng.
帝教取宗族世谱检看，令宗正卿宣读曰：“孝景皇帝生十四子。 第七子乃中山靖王刘胜。 胜生陆城亭侯刘贞。 贞生沛侯刘昂。	Vua sai lấy sổ tôn tộc ra kiểm xem, rồi sai quan tông chính khanh tuyên đọc: Hiếu Cảnh Hoàng Đếsinh mười bốn con, con thứ bảy là Trung Sơn Tĩnh Vương tên là Lưu Thắng; Thắng sinh ra Lục Thành đinh hầu là Lưu Chính; Chính sinh ra Bái Hầu là Lưu Ngang; Ngang sinh ra Chương Hầu là Lưu Lộc; Lộc sinh ra Nghi Thủy Hầu là Lưu Luyến; Luyến sinh ra Khâm Dương Hầu là Lưu Anh; Anh sinh ra An Quốc Hầu là Lưu Kiến; Kiến sinh ra Quảng Lăng Hầu là Lưu Ai; Ai sinh ra Giao Thủy Hầu là Lưu Hiến; Hiến sinh Tổ Ấp Hầu là Lưu Thư; Thư sinh Kỳ Dương Hầu là Lưu Nghị; Nghị sinh Nguyên Trạch Hầu là Lưu Tất; Tất sinh Dĩnh Xuyên Hầu là Lưu Đạt; Đạt sinh Phong Linh Hầu là Lưu Bất Nghi; Bất Nghi sinh Tế Xuyên Hầu là Lưu Huệ; Huệ sinh ra quan lịnh ở Đông Quận là Lưu Hùng; Hùng sinh Lưu Hoằng; Hoằng không làm quan, sinh ra Lưu Bị.
昂生漳侯刘禄。 禄生沂水侯刘恋。 恋生钦阳侯刘英。 英生安国侯刘建。	Vua so trong thế phả thì Huyền Đức vào hàng chú.
建生广陵侯刘哀。 哀生胶水侯刘宪。 宪生祖邑侯刘舒。 舒生祁阳侯刘谊。	Vua mừng lắm, mời vào thiên điện, làm lễ nhận họ.
谊生原泽侯刘必。 必生颍川侯刘达。 达生丰灵侯刘不疑。 不疑生济川侯刘惠。	Vua bấy giờ nghĩ bụng rằng: - Tào Tháo lộng quyền, việc nước không tự ta làm chủ.
惠生东郡范令刘雄。 雄生刘弘。 弘不仕。 刘备乃刘弘之子也。”	Nay được người chú anh hùng, may ra ta có người giúp.
帝排世谱，则玄德乃帝之叔也。 帝大喜，请入偏殿叙叔侄之礼。 帝暗思：“曹操弄权，国事都不由朕主，今得此英雄之叔，朕有助矣！” 遂拜玄德为左将军、宜城亭侯。	Vua cho ngay Lưu Bị làm tả tướng quân Nghi thành đình hầu, mở yến khoản đãi.
设宴款待毕，玄德谢恩出朝。	Tiệc tan, Lưu Bị tạ ơn trở ra.
自此人皆称为刘皇叔。	Tự bấy giờ ai cũng gọi là Lưu Hoàng Thúc.
曹操回府，荀彧等一班谋士入见曰：“天子认刘备为叔，恐无益于明公。”	Tào Tháo về phủ, Tuân Úc và bọn mưu sĩ vào nói rằng: - Thiên tử nhận Lưu Bị là chú, chúng tôi sợ có điều bất lợi cho minh công.
操曰：“彼既认为皇叔，吾以天子之诏令之，彼愈不敢不服矣。	Tháo nói: - Người ấy đã được nhận làm hoàng thúc, ta lấy chiếu vua sai khiến, lại càng phải phục tùng ta lắm.
况吾留彼在许都，名虽近君，实在吾掌握之内，吾何惧哉？	Vả ta lại để cho ở Hứa Đô, tiếng rằng gần vua, nhưng thực ra là ở trong tay ta, ta còn ngại gì.
吾所虑者，太尉杨彪系袁术亲戚，倘与二袁为内应，为害不浅。 当即除之。”	Chỉ lo thái úy Dương Bưu, vốn là thân thích với Viên Thuật. Nếu Bưu làm nội ứng cho hai anh em họ Viên, thì có lẽ hại to, nên phải trừ trước đi.
乃密使人诬告彪交通袁术，遂收彪下狱，命满宠按治之。	Bàn thế rồi, Tháo sai ngay người vu cáo cho Dương Bưu thông với Viên Thuật, rồi bắt bỏ ngục, sai Mãn Sủng xét án.
时北海太守孔融在许都，因谏操曰：“杨公四世清德，岂可因袁氏而罪之乎？”	Bấy giờ thái thú Bắc Hải là Khổng Dung ở Hứa Đô, nhân thấy việc ấy, vào can Tháo rằng: - Dương Công vốn bốn đời nay vẫn có đức thanh liêm, há vì nhân việc họ Viên mà bắt tội?
操曰：“此朝廷意也。”	Tháo nói: - Việc ấy là tự triều đình chớ có tại tôi đâu!
融曰：“使成王杀召公，周公可得言不知耶？”	Dung hỏi: - Ngày xưa, giả thử Thành Vương giết Thiệu Công, thì Chu Công có chối được rằng không biết chăng?
操不得已，乃免彪官，放归田里。	Bất đắc dĩ Tháo phải cách chức Bưu, đuổi về quê.
议郎赵彦愤操专横，上疏劾操不奉帝旨、擅收大臣之罪。	Bấy giờ có quan Nghi lang là Triệu Phạm thấy Tháo chuyên quyền, làm sớ tâu vua hạch Tháo rằng: - Tháo tự tiện không tâu vua dám làm tội đại thần, thế là mạn phép quá!
操大怒，即收赵彦杀之。	Tháo giận lắm, lập tức bắt Triệu Phạm đem giết.
于是百官无不悚惧。	Vì thế các quan ai cũng sợ hãi.
谋士程昱说操曰：“今明公威名日盛，何不乘此时行王霸之事？”	Mưu sĩ là Trình Dục nói: - Nay minh công uy danh mỗi ngày mỗi thịnh, sao không nhân lúc này mà làm việc vương bá?
操曰：“朝廷股肱尚多，未可轻动。	Tháo nói: - Thủ tục triều đình còn nhiều, chưa nên kinh động.
吾当请天子田猎，以观动静。”	Ta nên mời vua đi săn, để xem ý tứ các quan ra sao đã.
于是拣选良马、名鹰、俊犬、弓矢俱备，先聚兵城外，操入请天子田猎。	Tháo liền sai chọn ngựa tốt và chim ưng giỏi, chó săn hay, cung tên đủ cả, trước họp binh ở ngoài thành, rồi mời thiên tử đi săn.
帝曰：“田猎恐非正道。”	Vua nói: - Săn bắn không phải là chính đạo.
操曰：“古之帝王，春搜夏苗，秋狝冬狩：四时出郊，以示武于天下。	- Tháo thưa: - Đế vương ngày xưa mùa xuân đi săn gọi là sưu, mùa hạ đi săn gọi là miêu, mùa thu đi săn gọi là kiển, mùa đông đi săn gọi là thú; bốn mùa cùng ra ngoài cõi để biểu thị võ lực với thiên hạ.
今四海扰攘之时，正当借田猎以讲武。”	Nay bốn bể đương lúc nhiêu loạn, bệ hạ chính nên đi săn để giảng việc võ.
帝不敢不从，随即上逍遥马，带宝雕弓、金鈚箭，排銮驾出城。	Vua chẳng nghe chẳng được, liền lên ngựa Tiêu Diêu, đeo cung khảm ngọc và tên bịt vàng, bày đồ loan giá ra thành.
玄德与关、张各弯弓插箭，内穿掩心甲，手持兵器，引数十骑随驾出许昌。	Huyền Đức cùng Quan, Trương ba người đeo cung, dắt ngựa, trong mặc áo giáp che bụng, tay cầm đồ binh khí, dẫn vài chục quân kỵ mã theo vua ra Hứa Xương.
曹操骑爪黄飞电马，引十万之众，与天子猎于许田。	Tào Tháo cưỡi ngựa Phi Diện sắc vàng, dẫn mười vạn quân, cùng vua đi săn ở Hứa Điền.
军士排开围场，周广二百余里。	Quân sĩ vây vòng quanh, rộng hơn hai trăm dặm.
操与天子并马而行，只争一马头。 背后都是操之心腹将校。	Tháo sóng ngựa cho đi chỉ kém ngựa vua có một đấu, sau lưng toàn là tướng tâm phúc của Tháo đi theo.
文武百官，远远侍从，谁敢近前。	Trăm quan văn võ đi tận đằng xa không ai dám đến gần.
当日献帝驰马到许田，刘玄德起居道傍。	Khi vua đi đến Hứa Điền, Lưu Bị nhảy ngựa xuống đứng cạnh đường hỏi thăm sức khỏe của vua.
帝曰：“朕今欲看皇叔射猎。”	Vua nói: - Trẫm muốn xem tài săn bắn của Hoàng Thúc.
玄德领命上马，忽草中赶起一兔。	Lưu Bị lĩnh mệnh lên ngựa. Bỗng trông đám cỏ có một con thỏ chạy ra.
玄德射之，一箭正中那兔。	Bị bắn một mũi tên trúng ngay.
帝喝采。	Vua reo lên một tiếng.
转过土坡，忽见荆棘中赶出一只大鹿。 帝连射三箭不中，顾谓操曰：“卿射之。”	Đi qua một cái gò, chợt thấy trong bụi gai một con hươu lớn chạy ra vua bắn luôn ba phát không tin, bèn ngoảnh lại bảo Tháo rằng: - Ngươi bắn đi!
操就讨天子宝雕弓、金鈚箭，扣满一射，正中鹿背，倒于草中。	Tháo xin mượn cung ngọc tên vàng của vua, giương lên bắn một phát, tin ngay giữa lưng, hươu ngã trong đám cỏ.
群臣将校，见了金鈚箭，只道天子射中，都踊跃向帝呼“万岁”。	Các đại thần và các tướng trông thấy lưng hươu có tên bịt vàng, tưởng vua bắn tin, cùng chạy lên trước mặt vua reo: Vạn tuế!
曹操纵马直出，遮于天子之前以迎受之。	Tào Tháo tế ngựa ra đứng trước mặt vua để nhận lấy những lời chúc mừng.
众皆失色。	Trăm quan thấy vậy ai nấy đều tái mặt.
玄德背后云长大怒，剔起卧蚕眉，睁开丹凤眼，提刀拍马便出，要斩曹操。	Sau lưng Huyền Đức, Quan Vân Trường giận lắm, mày tằm dựng ngược, mắt phượng giương to, cầm dao, thúc ngựa định ra chém Tào Tháo.
玄德见了，慌忙摇手送目。	Huyền Đức biết ý, vội vàng vẫy tay đưa mắt.
关公见兄如此，便不敢动。	Quan Công thấy anh ra hiệu, phải chịu đứng im.
玄德欠身向操称贺曰：“丞相神射，世所罕及！”	Huyền Đức ngoảnh lại mừng Tào Tháo rằng: - Thừa tướng bắn tài trong đời hiếm có!
操笑曰：“此天子洪福耳。”	Tháo cười nói nhún rằng: - Ấy cũng nhờ phúc lớn của thiên tử.
乃回马向天子称贺，竟不献还宝雕弓，就自悬带。	Rồi Tháo quay ngựa ngoảnh vào vua chúc mừng, nhưng từ đầu giữ lấy cung khảm ngọc, không trả vua nữa.
围场已罢，宴于许田。 宴毕，驾回许都。	Săn bắn xong, Tháo mở một tiệc yến ở Hứa Điền, rồi rước vua về Hứa Đô.
众人各自归歇。 云长问玄德曰：“操贼欺君罔上，我欲杀之，为国除害，兄何止我？”	Khi các quan tướng đâu đã về đấy rồi, Quan Vũ mới hỏi Lưu Bị rằng: - Thằng giặc Tào nó dối vua khinh trên, tôi toan giết nó để trừ hại cho nước, sao anh lại ngăn tôi?
玄德曰：“投鼠忌器。 操与帝相离只一马头，其心腹之人，周回拥侍；吾弟若逞一时之怒，轻有举动，倘事不成，有伤天子，罪反坐我等矣。”	Lưu Bị nói: - Ném chuột còn phải lo vỡ đồ quý, Tháo đứng cách vua chỉ có một đầu ngựa, mà những người tâm phúc nó đi xúm xít cả chung quanh, nếu em nhân cơn giận làm liều không nghĩ, nhỡ việc không xong, hại đến thiên tử thì có phải tội tại chúng ta không?
云长曰：“今日不杀此贼，后必为祸。”	Quan Vũ nói: - Nay không giết thằng giặc ấy tất sinh vạ về sau.
玄德曰：“且宜秘之，不可轻言。”	Lưu Bị nói: - Hãy giữ kín, không được nói một cách vội vàng.
却说献帝回宫，泣谓伏皇后曰：“朕自即位以来，奸雄并起：先受董卓之殃，后遭傕、汜之乱。	Vua về cung, nghĩ đến việc đi săn hôm ấy, tủi mà khóc, bảo với vợ là Phục Hoàng hậu rằng: - Ta từ khi lên ngôi đến giờ, gặp nhiều gian hùng. Trước thì Đổng Trác, sau thì Thôi, Dĩ.
常人未受之苦，吾与汝当之。	Những điều khổ ải mà người ta chưa từng thấy bao giờ, ta và Hoàng hậu đều nếm trải cả.
后得曹操，以为社稷之臣；不意专国弄权，擅作威福。	Đến nay gặp Tào Tháo, tưởng nó là bầy tôi xã tắc, không ngờ nó lộng quyền, tác oai tác phúc.
朕每见之，背若芒刺。	Ta trông thấy nó bao giờ là như chông gai cắm vào lưng bấy giờ.
今日在围场上，身迎呼贺，无礼已极！	Hôm nay đi săn, nó ra nhận lấy lời chúc mừng của các quan, thật là vô lễ.
早晚必有异谋，吾夫妇不知死所也！”	Nay mai tất có vạ, vợ chồng ta chưa biết chết chỗ nào.
伏皇后曰：“满朝公卿，俱食汉禄，竟无一人能救国难乎？”	Phục Hoàng hậu nói: - Công khanh đầy triều đều ăn lộc nhà Hán, chẳng nhẽ lại không có ai cứu được quốc nạn hay sao?
言未毕，忽一人自外而入曰：“帝，后休忧。	Phục Hoàng hậu chưa nói dứt lời thì có một người ở ngoài bước vào tâu rằng: - Xin vua và Hoàng hậu đừng lo.
吾举一人，可除国害。”	Tôi xin cử một người có thể cứu được nạn nước.
帝视之，乃伏皇后之父伏完也。	Vua trông ra thì là bố đẻ Phục Hoàng hậu là Phục Hoàn.
帝掩泪问曰：“皇丈亦知操贼之专横乎？”	Vua gạt nước mắt hỏi rằng: - Quốc Trượng cũng biết giặc Tào nó chuyên quyền à?
宪曰：“许田射鹿之事，谁不见之？ 但满朝之中，非操宗族，则其门下。	Hoàn nói: - Xem như việc bắn hươu ở Hứa Điền thì ai chẳng biết, chỉ vì cả triều văn võ, phi là họ hàng Tháo thì là đầy tớ nó.
若非国戚，谁肯尽忠讨贼？	Nếu không phải quốc thích thì ai chịu hết lòng đánh giặc.
老臣无权，难行此事。 车骑将军国舅董承可托也。”	Lão thần không có quyền thế gì, khó mà làm nổi việc ấy, nhưng có xa kỵ tướng quân là Đổng thừa, có thể tin cậy.
帝曰：“董国舅多赴国难，朕躬素知；可宜入内，共议大事。”	Vua nói: - Đổng quốc cữu nhiều lần liều mình với nạn nước ta vốn đã biết, nên vời vào trong cung để bàn việc lớn.
宪曰：“陛下左右皆操贼心腹，倘事泄，为祸不深。”	Hoàn nói: - Tả hữu ở đây đều là tâm phúc của giặc Tháo, nếu việc tiết lộ sẽ xảy ra vạ to.
帝曰：“然则奈何？”	Vua hỏi: - Thế thì nên làm thế nào?
完曰：“臣有一计：陛下可制衣一领，取玉带一条，密赐董承；却于带衬内缝一密诏以赐之，令到家见诏，可以昼夜画策，神鬼不觉矣。”	Hoàn nói: - Tôi có một kế: Bệ hạ nên cho may một cái áo bào và làm một cái đai ngọc, mật ban cho Đổng thừa; ở trong đai để tờ mật chiếu, khi về nhà thấy tờ chiếu, Thừa sẽ ngày đêm nghĩ kế tiến hành, thế thì dù quỷ thần cũng không biết được.
帝然之，伏完辞出。	Vua lấy làm phải. Phục Hoàn lui ra.
帝乃自作一密诏，咬破指尖，以血写之，暗令伏皇后缝于玉带紫锦衬内，却自穿锦袍，自系此带，令内史宣董承入。	Vua tự làm tờ chiếu, cắn đầu ngón tay lấy máu viết, mật sai Hoàng hậu may vào trong lần lót gấm tía ở trong đai ngọc; rồi sai nội sứ triệu Đổng Thừa vào.
承见帝礼毕，帝曰：“朕夜来与后说霸河之苦，念国舅大功，故特宣入慰劳。”	Thừa vào ra mắt, lễ xong, vua nói: - Tối hôm qua, trẫm và Hoàng hậu nói chuyện lại những sự khổ ải ở Bá Hà khi trước, nhân nhớ đến công to của quốc cữu, nên cho vời vào có mấy lời úy lạo.
承顿首谢。	Thừa rập đầu lạy ta.
帝引承出殿，到太庙，转上功臣阁内。	Vua dắt Thừa ra điện đến Thái miếu rồi lên gác công thần.
帝焚香礼毕，引承观画像。 中间画汉高祖容像。	Vua đốt hương lễ xong, dẫn Thừa đến xem tranh truyền thần, bức tranh giữa vẽ tượng Hán Cao Tổ.
帝曰：“吾高祖皇帝起身何地？	Vua nói: - Cao Tổ Hoàng Đếta xuất thân ở đâu?
如何创业？”	Sáng nghiệp thế nào?
承大惊曰：“陛下戏臣耳。 圣祖之事，何为不知？	Thừa giật mình tâu rằng: - Bệ hạ hỏi bỡn tôi, việc thánh tổ sao ngài lại chẳng biết.
高皇帝起自泗上亭长，提三尺剑，斩蛇起义，纵横四海，三载亡秦，五年灭楚：遂有天下，立万世之基业。”	Cao Hoàng Đế xuất thân làm Đình trưởng ở Tứ Thủy, cầm thanh gươm ba thước chém rắn khởi nghĩa, tung hoành bốn bể, ba năm phá được nhà Tần, năm năm diệt được nước Sở, bởi vậy mới có thiên hạ, lập cơ nghiệp muôn đời.
帝曰：“祖宗如此英雄，子孙如此懦弱，岂不可叹！”	Vua bèn nói: - Quốc cữu thử ngẫm xem: Tổ tôn anh hùng như thế mà con cháu thì hèn mạt thế này, chẳng xót lắm ru!
因指左右二辅之像曰：“此二人非留侯张良、酂侯萧何耶？”	Vua nói thế, rồi trỏ vào hai bức tranh hai bên mà hỏi Thừa rằng: - Đây có phải Lưu Hầu Trương Lương không? Đây có phải Tản Hầu Tiêu Hà không?
承曰：“然也。 高祖开基创业，实赖二人之力。”	Thừa tâu rằng: - Phải, đức Cao Tổ khi xưa cũng nhờ sức hai người ấy mà dựng nên cơ đồ.
帝回顾左右较远，乃密谓承曰：“卿亦当如此二人立于朕侧。”	Vua ngoảnh lại, thấy tả hữu đứng xa cả, mới sẽ bảo Thừa rằng: - Ngươi cũng nên đứng bên cạnh trẫm như hai người ấy.
承曰：“臣无寸功，何以当此？”	Thừa nói: - Tôi chẳng có tấc công nào, đâu dám sánh với các ông ấy?
帝曰：“朕想卿西都救驾之功，未尝少忘，无可为赐。”	Vua nói: - Trẫm nghĩ công ngươi cứu giá ở Tây Đô, không bao giờ quên, chưa lấy gì trả lại được.
因指所着袍带曰：“卿当衣朕此袍，系朕此带，常如在朕左右也。”	Rồi trỏ vào áo bào và đai bảo Thừa: - Ngươi mặc áo này, thắt đai này cũng như thường đứng bên cạnh mình trẫm.
承顿首谢。	Thừa rập đầu lạy tạ.
帝解袍带赐承，密语曰：“卿归可细观之，勿负朕意。”	Vua cởi áo cởi đai đưa cho Thừa vào bảo thầm rằng: - Người về nên nhìn cho kỹ, đừng phụ lòng trẫm!
承会意，穿袍系带，辞帝下阁。	Thừa biết ý, mặc áo đeo đai, rồi bái từ xuống gác trở ra.
早有人报知曹操曰：“帝与董承登功臣阁说话。”	Có người báo với Tào Tháo rằng: - Thấy vua cùng Đổng Thừa lên gác công thần nói chuyện.
操即入朝来看。	Tháo lập tức vào triều xem.
董承出阁，才过宫门，恰遇操来；急无躲避处，只得立于路侧施礼。	Đổng Thừa đi ra, vừa qua cửa cung, gặp ngay Tào Tháo đến, không thể ẩn núp vào đâu được, phải đứng ở cạnh đường, vái chào.
操问曰：“国舅何来？”	Tháo hỏi: - Quốc cữu đi đâu vậy?
承曰：“适蒙天子宣召，赐以锦袍玉带。”	Thừa nói: - Thiên tử vừa cho vời vào ban cho áo gấm và đai ngọc này.
操问曰：“何故见赐？”	Tháo nói: - Nhân việc gì mà vua ban cho thế?
承曰：“因念某旧日西都救驾之功，故有此赐。”	Thừa nói: - Nhân thiên tử nhớ đến công cứu giá ở Tây Đô ngày xưa nên ban cho những đồ quý ấy.
操曰：“解带我看。”	Tháo nói: - Cởi đai cho ta xem.
	Phục Hoàng hậu khâu mật chiếu vào trong đai ngọc.
承心知衣带中必有密诏，恐操看破，迟延不解。	Thừa cũng đoán trong đai có mật chiếu, sợ Tháo khám thấy, ngần ngừ không cởi.
操叱左右：“急解下来！” 看了半晌，笑曰：“果然是条好玉带！	Tháo sai tả hữu lột ra, xem ước chừng nửa giờ, rồi cười mà nói rằng: - Quả nhiên là đai ngọc đẹp lắm.
再脱下锦袍来借看。”	Cởi nốt áo ta xem!
承心中畏惧，不敢不从，遂脱袍献上。	Thừa trong lòng sợ hãi, không dám cưỡng, phải cởi áo đưa ra.
操亲自以手提起，对日影中细细详看。	Tháo cầm lấy, soi lên bóng mặt giời nhìn xem từng tý.
看毕，自己穿在身上，系了玉带，回顾左右曰：“长短如何？”	Xem xong Tháo mặc vào mình, đeo cả đai rồi hỏi tả hữu: - Dài hay vắn?
左右称美。	Tả hữu khen áo đai vừa vặn lắm.
操谓承曰：“国舅即以此袍带转赐与吾，何如？”	Tháo bảo Thừa: - Quốc cữu cho lại ta áo này, đai này có được không?
承告曰：“君恩所赐，不敢转赠；容某别制奉献。”	Thừa nói: - Của vua ban cho, tôi không dám biếu. Xin về may bộ khác để dâng thừa tướng.
操曰：“国舅受此衣带，莫非其中有谋乎？”	Tháo hỏi: - Quốc cữu nhận áo đai ấy, ở trong có ý gì không?
承惊曰：“某焉敢？	Thừa thất kinh nói rằng: - Tôi đâu dám thế!
丞相如要，便当留下。”	Có phải thừa tướng muốn dùng tôi xin dâng.
操曰：“公受君赐，吾何相夺？	Tháo nói: - Quốc cữu chịu ơn vua, ta sao nỡ cướp!
聊为戏耳。”	Ta nói bỡn đấy thôi.
遂脱袍带还承。	Rồi cởi áo và đai trả Đổng Thừa.
承辞操归家，至夜独坐书院中，将袍仔细反复看了，并无一物。	Thừa từ biệt Tháo về nhà, đến đêm ngồi một mình trong thư phòng, đem áo bào ngắm đi ngắm lại, chẳng thấy gì.
承思曰：“天子赐我袍带，命我细观，必非无意；今不见甚踪迹，何也？”	Thừa nghĩ: "Vua cho áo và đai, dặn xem kỹ, tất là có thâm ý nay không thấy dấu vết gì là cớ làm sao".
随又取玉带检看，乃白玉玲珑，碾成小龙穿花，背用紫锦为衬，缝缀端整，亦并无一物，承心疑，放于桌上，反复寻之。	Lại đem đai ngọc ra xem, chỉ thấy ngọc trắng lóng lánh, thêu con rồng nhỏ vờn trong đám hoa, đằng sau lót gấm đỏ, đường chỉ thực vuông vắn phẳng phiu, tịnh không có một dấu vết nào. Thừa lấy làm ngờ, đặt ở trên án thư, giở đi giở lại tìm tòi.
良久，倦甚。 正欲伏几而寝，忽然灯花落于带上，烧着背衬。	Lúc lâu, mỏi lắm, Thừa toan nằm xuống nghỉ, bỗng nhiên hoa đèn rơi vào đai, cháy đến lần lót.
承惊拭之，已烧破一处，微露素绢，隐见血迹。	Thừa vội vàng gạt đi, nhưng đã cháy hết một chỗ, lộ ra lần lụa trắng, trông hình như có vết máu.
急取刀拆开视之，乃天子手书血字密诏也。	Thừa lấy ngay dao tách ra xem, thì thấy tờ mật chiếu của vua, viết bằng máu.
诏曰：“朕闻人伦之大，父子为先；尊卑之殊，君臣为重。	Trong chiếu nói rằng: "Trẫm nghe: Trong đạo nhân luận, cha con là trọng; trong phận tôn ty, vua tôi là trọng.
近日操贼弄权，欺压君父；结连党伍，败坏朝纲；敕赏封罚，不由朕主。	Lâu nay giặc Tháo hống hách lộng quyền, khinh rẻ quân phụ, kết hợp bè đảng, làm nát chính thế của triều đình; thưởng, phạt, sắc, phong, lấn cả chủ quyền của trẫm.
朕夙夜忧思，恐天下将危。	Trẫm đêm ngày lo nghĩ, sợ thiên hạ nguy cấp đến nơi.
卿乃国之大臣，朕之至戚，当念高帝创业之艰难，纠合忠义两全之烈士，殄灭奸党，复安社稷，祖宗幸甚！	Ngươi là đại thần nhà nước, lại là chí thân với trẫm, nên nhờ đến Cao Đế ngày xưa, dựng nghiệp khó nhọc, tập hợp lấy người trung nghĩa, trừ giết kẻ gian thần, để yên xã tắc, thì may cho tổ tông nhà Hán lắm.
破指洒血，书诏付卿，再四慎之，勿负朕意！	Trẫm cắn ngón tay lấy máu, viết thư cho ngươi, ngươi nên nghĩ ba bốn lần cho kỹ, chớ phụ ý trẫm.
建安四年春三月诏。”	Niên hiệu Kiến An, năm thứ bốn, tháng ba, viết tờ chiếu này".
董承览毕，涕泪交流，一夜寝不能寐。	Đổng Thừa xem xong, nước mắt chảy ròng ròng, suốt đêm không ngủ được.
晨起，复至书院中，将诏再三观看，无计可施。	Sớm ngày đứng dậy, Thừa lại đến thư phòng xem lại tờ chiếu hai ba lần, chưa nghĩ được mưu kế gì.
乃放诏于几上，沈思灭操之计。 忖量未定，隐几而卧。	Thừa bèn đặt tờ chiếu trên ghế, lo tìm kế trừ Tào, nhưng chưa nghĩ được kế gì thì nhọc quá gục xuống kỷ ngủ thiếp đi.
忽侍郎王子服至。	Chợt có quan thị lang là Vương Tử Phục đến chơi.
门吏知子服与董承交厚，不敢拦阻，竟入书院。	Người nhà biết Tử Phục với Đổng Thừa là chỗ bạn thân, không dám ngăn trở.
见承伏几不醒，袖底压着素绢，微露“朕”字。	Tử Phục vào thẳng tư phòng, thấy Thừa ngủ say, ở dưới tay áo lại để một mảnh lụa trắng hơi lộ ra chữ "Trẫm".
子服疑之，默取看毕，藏于袖中，呼承曰：“国舅好自在！	Tử Phục lấy làm nghi, sẽ nâng tay áo, cầm lấy mảnh lụa, xem xong, giấu vào ống tay áo mình, rồi đánh thức Thừa dậy: - Quốc cữu thật là rỗi quá!
亏你如何睡得着！”	Sao mà ngủ được kỹ thế?
承惊觉，不见诏书，魂不附体，手脚慌乱。	Thừa giật mình, nhìn không thấy tờ chiếu, sợ hãi mất vía, chân tay luống cuống.
子服曰：“汝欲杀曹公！ 吾当出首。”	Tử Phục nói: - Ngươi định giết Tào Công, ta phải ra thú!
承泣告曰：“若兄如此，汉室休矣！”	Thừa khóc nói rằng: - Nếu anh làm thế, nhà Hán hỏng mất!
子服曰：“吾戏耳。 吾祖宗世食汉禄，岂无忠心？	Tử Phục nói: - Ta nói đùa đó, tổ tôn ta mấy đời ăn lộc nhà Hán, há lại không có lòng trung?
