第五回发矫诏诸镇应曹公破关兵三英战吕布	HỒI 5 Phát hiệu triệu, các trấn hưởng ứng Tào Công; Phá cửa quan, ba anh hùng đánh Lã Bố
桓阶拜谢欲行，阶下蒯良出曰：“不可！	Khải từ tạ định đi, dưới thềm Khoái Lương nhảy ra ngăn rằng: - Không nên!
不可！	Không nên!
吾有一言，今江东诸军片甲不回。	Tôi có một kế này làm cho quân Giang Đông mảnh giáp không còn.
请先斩桓阶，然后用计。”	Nhưng trước hết xin hãy chém đầu Hoàn Khải đi đã.
正是：追敌孙坚方殒命，求和桓阶又遭殃。未知桓阶性命如何，且听下文分解。	Thế rõ thực là: Tôn Kiên đuổi giặc vừa toi mạng Hoàn Khải cầu hòa lại gặp nguy Chưa biết tính mệnh Hoàn Khải ra sao, xem hồi sau sẽ rõ.
第八回王司徒巧使连环计董太师大闹凤仪亭	HỒI 8 Vương tư đồ khéo dụng liên hoàn kế; Đổng thừa tướng náo động Phụng Nghi Đình
却说蒯良曰：“今孙坚已丧，其子皆幼。乘此虚弱之时，火速进军，江东一鼓可得。	Khoái Lương nói với Lưu Biểu rằng: - Ngày nay Tôn Kiên đã chết, các con còn bé cả, nên thừa kế tiến quân nhanh lên, chỉ đánh một trận là lấy được Giang Đông.
若还尸罢兵，容其养成气力，荆州之患也。”	Nếu chúa công trả thây Tôn Kiên và bãi binh về, để cho kẻ thù nuôi dưỡng sức khỏe, đó là cái vạ của Kinh Châu về sau vậy!
表曰：“吾有黄祖在彼营中，安忍弃之？”	Biểu nói: - Ta còn có Hoàng Tổ ở bên ấy, sao nỡ bỏ được?
良曰：“舍一无谋黄祖而取江东，有何不可？”	Lương nói: - Bỏ một anh Hoàng Tổ vô mưu, mà lấy được cả Giang Đông, việc gì còn phải cân nhắc?
表曰：“吾与黄祖心腹之交，舍之不义。”	Biểu lại nói: - Ta với Hoàng Tổ là bạn tâm phúc với nhau, bỏ y là trái nghĩa.
遂送桓阶回营，相约以孙坚尸换黄祖。	Biểu cho Hoàn Khải về, hẹn rằng hễ bên ấy tha Hoàng Tổ, thì bên này cho đem xác Tôn Kiên về.
孙策换回黄祖，迎接灵柩，罢战回江东，葬父于曲阿之原。丧事已毕，引军居江都，招贤纳士，屈己待人，四方豪杰，渐渐投之。	Tôn Sách tha Hoàng Tổ, rồi sang rước linh cữu bố về, rút quân về Giang Đông, táng cha ở gò Khúc A. Việc tang xong. Tôn Sách dẫn quân về Giang Đông, vời người hiền, dùng kẻ sĩ; khéo nhún mình trọng người; hào kiệt bốn phương dần dần kéo đến theo Tôn Sách cả.
不在话下。	
却说董卓在长安，闻孙坚已死，乃曰：“吾除却一心腹之患也！”	Trong khi ấy, Đổng Trác ở Trường An được tin Tôn Kiên đã chết, mừng mà nói rằng: - Ta trừ được một mối lo lớn trong lòng!
问：“其子年几岁矣？”或答曰十七岁，卓遂不以为意。自此愈加骄横，自号为“尚父”，出入僭天子仪仗；封弟董晃为左将军、鄠侯，侄董璜为侍中，总领禁军。	Trác hỏi con Kiên bao nhiêu tuổi, có người thưa mười bảy tuổi. Trác không cho vào đâu; từ bấy giờ lại càng kiêu căng tự xưng là thượng phụ, khi ra khi vào dùng toàn nghi vệ thiên tử. Trác lại phong em là Đổng Mẫn làm tả tướng quân, tước vu hầu; cháu là Đổng Hoành làm trị trung, coi cả quan cấm binh.
董氏宗族，不问长幼，皆封列侯。	Tôn tộc họ Đổng chẳng cứ già trẻ, ai cũng được phong tước hầu cả.
离长安城二百五十里，别筑郿坞，役民夫二十五万人筑之：其城郭高下厚薄一如长安，内盖宫室，仓库屯积二十年粮食；选民间少年美女八百人实其中，金玉、彩帛、珍珠堆积不知其数；家属都住在内。	Các Trường An hai trăm năm mươi dặm, Trác sai đắp một cái thành gọi là thành My Ổ, bắt hai mươi nhăm vạn dân đắp cao, dày, theo y như kiểu thành Trường An. Trong thành lại làm những cung thất kho tàng, chứa được đủ lương ăn trong hai mươi năm; lại kéo gái thanh tân tám trăm người chứa trong ấy; vàng, ngọc, gấm, vóc, trân châu vào không biết bao nhiêu mà kể. Họ hàng Trác đều được đem vào cả trong thành.
卓往来长安，或半月一回，或一月一回，公卿皆候送于横门外；卓常设帐于路，与公卿聚饮。	Trác thì đi đi về về Trường An, khi nửa tháng một lần, khi một tháng một lần. Công khanh đưa đón thường phải đứng trực ở ngoài cửa Hoành Môn. Trác nhiều khi đặt trướng ở dọc đường, cùng với công khanh ăn tiệc.
一日，卓出横门，百官皆送，卓留宴，适北地招安降卒数百人到。	Một hôm Trác ra ngoài cửa Hoành Môn các quan đi tiễn, Trác mời các quan ở lại uống rượu, đoạn cho gọi mấy trăm hàng binh vừa dụ được ở đất bắc đến.
卓即命于座前，或断其手足，或凿其眼睛，或割其舌，或以大锅煮之。	Trác sai đem ra trước chỗ ăn tiệc, đứa thì đem chặt chân chặt tay, đứa thì đem khoét mắt xẻo mũi, đứa thì đem cắt lưỡi, đứa thì đem bỏ vạc dầu đun.
哀号之声震天，百官战慄失箸，卓饮食谈笑自若。	Tiếng kêu khóc vang lừng trời đất. Các quan đang ăn tiệc, thấy thế người nào người nấy đều run cầm cập, đánh rơi cả đũa. Trác vừa uống rượu vừa cười nói như không.
又一日，卓于省台大会百官，列坐两行。	Lại một hôm khác, Trác ở sảnh đài, hội cả bách quan ngồi sẵn ra hai hàng.
酒至数巡，吕布径入，向卓耳边言不数句，卓笑曰：“原来如此。”	Rượu uống được độ vài tuần, thì Lã Bố đi tắt vào, ghé vào tai Đổng Trác nói thầm mấy câu, rồi thấy Trác cười mà nói rằng: - À ra thế!
命吕布于筵上揪司空张温下堂。	Nói rồi sai Lã Bố lôi quan tư không, tên là Trương Ôn, đang ngồi dự tiệc, đem xuống nhà dưới.
百官失色。	Các quan không biết đầu đuôi thế nào đều thất sắc.
不多时，侍从将一红盘，托张温头入献。	Một lát thấy quân hầu bưng lên một cái mâm đỏ, giữa để đầu lâu Trương Ôn.
百官魂不附体。	Các quan đều sợ mất vía.
卓笑曰：“诸公勿惊。	Đổng Trác cười nói: - Các quan đừng sợ.
张温结连袁术，欲图害我，因使人寄书来，错下在吾儿奉先处。故斩之。	Trương Ôn liên kết với Viên Thuật, toan hại ta. Nhân hai đứa gửi thư cho nhau, đưa nhầm cho con ta là Lã Ôn Hầu, nên ta mới đem chém.
公等无故，不必惊畏。”	Các quan không có việc gì, đừng sợ.
众官唯唯而散。	Các quan dạ dạ rồi về.
司徒王允归到府中，寻思今日席间之事，坐不安席。	Quan tư đồ Vương Doãn, hôm ấy về đến phủ, nghĩ đến những việc trông thấy ở trong bữa tiệc, ngồi đứng không yên.
至夜深月明，策杖步入后园，立于荼蘼架侧，仰天垂泪。	Đến đêm khuya, trăng sáng vằng vặc, Doãn chống gậy đi ra vườn sau, đứng bên cạnh bụi đồ mi, ngẩng mặt lên trời, mà khóc.
忽闻有人在牡丹亭畔，长吁短叹。	Chợt nghe có tiếng người thở dài ở cạnh đình mẫu Đơn.
允潜步窥之，乃府中歌伎貂蝉也。	Doãn ron rén lại nhìn xem ai thì là một con hát trong phủ, tên là Điêu Thuyền.
其女自幼选入府中，教以歌舞，年方二八，色伎俱佳，允以亲女待之。	Điêu Thuyền từ thuở nhỏ được kéo vào phủ, học múa học hát, bấy giờ mới mười sáu tuổi, đủ cả tài sắc, Doãn thương yêu như con đẻ.
是夜允听良久，喝曰：“贱人将有私情耶？”	Doãn đứng nghe một hồi lâu, mắng rằng: - Con này đã có tư tình gì đây?
貂蝉惊跪答曰：“贱妾安敢有私！”	Thuyền quỳ xuống thưa rằng: - Lạy cha, con đâu dám có tư tình.
允曰：“汝无所私，何夜深于此长叹？”	Doãn hỏi: - Không có tư tình thì việc gì canh khuya lại ra đứng đây mà thở vắn than dài?
蝉曰：“容妾伸肺腑之言。”	Thuyền nói: - Lạy cha! Xin cho con bày tỏ nỗi lòng.
允曰：“汝勿隐匿，当实告我。”	Doãn nói: - Con không được giấu giếm, phải nói cho thực.
蝉曰：“妾蒙大人恩养，训习歌舞，优礼相待，妾虽粉身碎骨，莫报万一。	Thuyền nói: - Con nhờ ơn cha nuôi nấng, dạy bảo múa hát, lại được hậu đãi, dù thịt nát xương tan, cũng không báo được muôn một.
近见大人两眉愁锁，必有国家大事，又不敢问。	Gần đây con thấy cha mặt thảm mày chau, tất cha có lo việc lớn gì trong nước, con vẫn không dám hỏi.
今晚又见行坐不安，因此长叹。不想为大人窥见。	Nhân chiều hôm nay con thấy cha đứng ngồi không yên, cho nên con cũng buồn rầu mà thở dài, không ngờ cha nghe thấy.
倘有用妾之处，万死不辞！”	Nếu cha có việc gì cần sai bảo đến con, dù có chết con cũng không ngại.
允以杖击地曰：“谁想汉天下却在汝手中耶！	Doãn đập gậy xuống đất nói rằng: - Ai ngờ cơ đồ nhà Hán lại ở trong tay con!
随我到画阁中来。”	Hãy theo cha đến nhà gác cha bảo!
貂蝉跟允到阁中，允尽叱出妇妾，纳貂蝉于坐，叩头便拜。	Doãn đến đó, đuổi hết tỳ thiếp ra, dắt Điêu Thuyền ngồi lên trên sập, rồi thụp xuống lạy.
貂蝉惊伏于地曰：“大人何故如此？”	Điêu Thuyền sợ hãi, cúi rạp xuống đất, thưa rằng: - Sao cha lại làm thế?
允曰：“汝可怜汉天下生灵！”	Doãn nói: - Con hãy thương lấy sinh linh nhà Hán!
言讫，泪如泉涌。	Nói rồi khóc như nước suối chảy.
貂蝉曰：“适间贱妾曾言：但有使令，万死不辞。”	Thuyền thưa: - Vừa rồi con đã thưa, cha có việc gì sai khiến, dẫu chết con cũng không từ.
允跪而言曰：“百姓有倒悬之危，君臣有累卵之急，非汝不能救也。	Doãn lại quỳ xuống nói: - Hiện nay trăm họ như bị treo ngược, vua tôi ngất ngưởng như trứng chồng, thật nguy cấp, phi con không ai cứu được.
贼臣董卓，将欲篡位；朝中文武，无计可施。	Tặc thần Đổng Trác sắp cướp ngôi vua, Văn Vũ trong triều không ai nghĩ được kế gì.
董卓有一义儿，姓吕，名布，骁勇异常。	Đổng Trác có một thằng con nuôi là Lã Bố, sức khỏe lạ thường.
我观二人皆好色之徒，今欲用连环计，先将汝许嫁吕布，后献与董卓；汝于中取便，谍间他父子反颜，令布杀卓，以绝大恶。重扶社稷，再立江山，皆汝之力也。	Ta xem hai đứa ấy cũng là tuồng hiếu sắc. Nay ta muốn dùng một kế liên hoàn: Trước đem con gả cho Lã Bố, sau lại đem con dâng Đổng Trác. Con ở trong, tùy cơ lập kế, ly gián hai bố con nó, xui khiến thế nào cho Lã Bố giết Đổng Trác để trừ kẻ đại ác, giữ yên xã tắc, dựng lại giang sơn.
不知汝意若何？”	Đó là nhờ ở sức con, con nghĩ thế nào?
貂蝉曰：“妾许大人万死不辞，望即献妾与彼。妾自有道理。”	Thuyền thưa: - Con xin thưa, dẫu chết con cũng không từ. Xin đem ngay con dâng cho nó, con sẽ lập mưu ở trong.
允曰：“事若泄漏，我灭门矣。”	Doãn nói: - Việc này nếu tiết lộ họ nhà ta sẽ chết hết!
貂蝉曰：“大人勿忧。	Thuyền thưa rằng: - Xin cha chớ lo.
妾若不报大义，死于万刃之下！”	Nếu con không báo đền được nghĩa lớn, con sẽ chết ở dưới muôn vàn ngọn giáo.
允拜谢。	Doãn lạy tạ.
次日，便将家藏明珠数颗，令良匠嵌造金冠一顶，使人密送吕布。	Hôm sau Doãn sai người đem ngọc minh châu, xưa nay vẫn cất kỹ một nơi, gọi thợ khéo, làm một cỗ mũ vàng, mật sai người đem biếu Lã Bố.
布大喜，亲到王允宅致谢。	Bố mừng rỡ, thân đến nhà Doãn tạ ơn.
允预备嘉肴美馔；候吕布至，允出门迎迓，接入后堂，延之上坐。	Doãn làm sẵn của ngon vật lạ đợi Bố đến. Doãn ra cửa đón rước vào hậu đường, mời ngồi lên trên.
布曰：“吕布乃相府一将，司徒是朝廷大臣，何故错敬？”	Bố nói: - Tôi là một tiểu tướng ở trong phủ, tư đồ là một vị đại thần trong triều, sao lại quá tôn kính như vậy?
允曰：“方今天下别无英雄，惟有将军耳。	Doãn nói: - Nay thiên hạ không có ai là anh hùng, tôi chỉ thấy duy có tướng quân mà thôi.
允非敬将军之职，敬将军之才也。”	Tôi tỏ lòng tôn kính, không phải là tôn kính cái chức của tướng quân mà là tôn kính cái tài của tướng quân đó.
布大喜。允殷勤敬酒，口称董太师并布之德不绝。	Bố mừng lắm, Doãn khẩn khoản mời rượu, khen lấy khen để mãi cái đức Đổng thái sư và cái tài Lã Bố.
布大笑畅饮。	Bố cười vang và uống rượu thỏa thích.
允叱退左右，只留侍妾数人劝酒。	Bấy giờ Doãn mới đuổi đầy tớ lùi ra, chỉ để vài người tỳ thiếp đứng hầu rượu.
酒至半酣，允曰：“唤孩儿来。”	Khi Bố ngà ngà say, Doãn nói truyền rằng: - Gọi con em nó ra đây!
少顷，二青衣引貂蝉艳妆而出。	Một lát hai thị tỳ đỡ Điêu Thuyền trang điểm thật lộng lẫy bước ra.
布惊问何人。	Lã Bố trông thấy giật mình, hỏi: - Người nào vậy?
允曰：“小女貂蝉也。	Doãn nói: - Đó là con gái nhỏ lão, tên là Điêu Thuyền.
允蒙将军错爱，不异至亲，故令其与将军相见。”	Lão nay được ơn tướng quân có lòng hạ cố mà coi như chỗ chí thân, nên lão sai nó ra để chào tướng quân.
便命貂蝉与吕布把盏。	Liền sai Điêu Thuyền bưng chén rượu mời.
貂蝉送酒与布。	Thuyền nâng chén rượu mời Bố.
两下眉来眼去。允佯醉曰：“孩儿央及将军痛饮几杯。	Hai bên nhìn nhau, đầu mày cuối mắt... Vương Doãn giả tảng say, nói: - Con cố mời tướng quân uống vài chén con nhé!
吾一家全靠着将军哩。”	Cả nhà ta đều trông nhờ vào tướng quân đấy.
布请貂蝉坐，貂蝉假意欲入。允曰：“将军吾之至友，孩儿便坐何妨。”	Bố mời Thuyền ngồi. Thuyền giả cách thẹn thùng, muốn lui vào, Doãn nói: - Tướng quân là bạn chí thân với ta, con cứ ngồi đừng ngại.
貂蝉便坐于允侧。	Thuyền khép nép, ngồi bên cạnh Doãn.
吕布目不转睛的看。	Lã Bố nhìn Thuyền chòng chọc, không chớp mắt, lại uống thêm vài chén.
又饮数杯，允指蝉谓布曰：“吾欲将此女送与将军为妾，还肯纳否？”	Doãn mới trỏ tay vào Thuyền mà bảo Lã Bố rằng: - Lão vẫn có ý cho nó hầu hạ tướng quân làm tỳ thiếp, chưa biết tướng quân có bụng hạ cố thương đến không?
布出席谢曰：“若得如此，布当效犬马之报！”	Bố nghe nói vội vàng đứng dậy, ra ngoài chiếu, tạ mà nói rằng: - Nếu được như thế, tôi xin một đời làm khuyển mã để báo đáp ơn sâu.
允曰：“早晚选一良辰，送至府中。”	Doãn nói: - Nay mai xin chọn ngày lành tháng tốt, đưa nó đến phủ tướng quân.
布欣喜无限，频以目视貂蝉。	Lã Bố mừng hớn hở, đưa mắt nhìn Điêu Thuyền.
貂蝉亦以秋波送情。	Điêu Thuyền cũng liếc mắt đưa tình đáp lại.
少顷席散，允曰：“本欲留将军止宿，恐太师见疑。”	Một chốc tiệc tan, Doãn nói: - Lão phu muốn mời tướng quân nghỉ lại đây chơi, nhưng sợ thái sư sinh nghi.
布再三拜谢而去。	Bố hai ba lần tạ đi tạ lại, rồi lui về.
过了数日，允在朝堂，见了董卓，趁吕布不在侧，伏地拜请曰：“允欲屈太师车骑，到草舍赴宴，未审钧意若何？”	Được vài hôm, Vương Doãn ở trong triều gặp Đổng Trác, nhân thể không có Lã Bố ở đấy, bèn thụp xuống đất lạy, nói rằng: - Tôi muốn rước thái sư quá bước lại nhà tôi xơi chén rượu, nhưng không biết thái sư có lòng hạ cố chăng?
卓曰：“司徒见招，即当趋赴。”	Trác nói: - Được quan tư đồ mời, tôi xin đến ngay.
允拜谢归家，水陆毕陈，于前厅正中设座，锦绣铺地，内外各设帏幔。	Doãn lạy tạ, về nhà, trang hoàng nhà cửa lịch sự, bày đủ các món sơn hào hải vị, giữa gian sảnh, kê một cái sạp; gấm vóc rải cả xuống đất; trong ngoài trướng rủ màn che.
次日晌午，董卓来到。允具朝服出迎，再拜起居。	Buổi trưa hôm sau, Đổng Trác đến, Doãn mặc áo đại trào ra đón, lạy hai lạy rồi mời vào.
卓下车，左右持戟甲士百余，簇拥入堂，分列两傍。	Trác xuống xe, tả hữu hơn một trăm người vác kích đi thẳng vào nhà, đứng xếp thành hai hàng.
允于堂下再拜，卓命扶上，赐坐于侧。	Doãn xuống dưới thềm lạy hai lạy, Trác sai người dắt Doãn lên ngồi bên cạnh.
允曰：“太师盛德巍巍，伊、周不能及也。”	Doãn nói: - Công đức thái sư to lắm! Y Doãn, Chu Công ngày xưa cũng không bằng!
卓大喜。	Trác mừng lắm.
进酒作乐，允极其致敬。	Doãn sai tấu nhạc và dâng rượu, rất là cung kính.
天晚酒酣，允请卓入后堂。	Đến chiều Trác uống rượu đã say, Doãn mời Trác vào nhà trong.
卓叱退甲士。	Trác quát giáp sĩ lui ra.
允捧觞称贺曰：“允自幼颇习天文，夜观乾象，汉家气数已尽。	Doãn bưng một chén rượu, mừng Trác rằng: - Chúng tôi thuở nhỏ có học thiên văn, đêm xem tượng trời, thấy khí số nhà Hán đã hết.
太师功德振于天下，若舜之受尧，禹之继舜，正合天心人意。”	Thái sư công đức đã vang lừng cả thiên hạ. Ngày xưa, vua Thuấn nối ngôi vua Nghiêu, vua Vũ nối ngôi cho vua Thuấn. Thế là hợp lòng trời và lòng người lắm.
卓曰：“安敢望此！”	Trác nói: - Ta có đâu dám mong như thế!
允曰：“自古有道伐无道，无德让有德，岂过分乎！”	Doãn nói: - Xưa nay người có đạo thay người vô đạo, người không có đức nhường người có đức, có gì là không đúng.
卓笑曰：“若果天命归我，司徒当为元勋。”	Trác cười và nói rằng: - Nếu mệnh trời về ta, tư đồ phải làm nguyên huân.
允拜谢。	Doãn lạy tạ.
堂中点上画烛，止留女使进酒供食。	Bấy giờ đèn nến đốt sáng choang, chỉ có mấy đứa hầu gái đứng hầu rượu và dâng đồ ăn.
允曰：“教坊之乐，不足供奉；偶有家伎，敢使承应。”	Doãn nói: - Phường nhạc không đáng đem ra cung phụng thái sư. Nay có một con hát của nhà, xin thái sư cho phép được gọi ra hầu.
卓曰：“甚妙。”	Trác nói: - Hay lắm!
允教放下帘栊，笙簧缭绕，簇捧貂蝉舞于帘外。	Doãn mới sai kéo bức màn ra, đàn sáo vang lừng, Điêu Thuyền đứng ở ngoài mành lượn múa dịu dàng, ở ngoài trông vào thực là ngoạn mục.
有词赞之曰：“原是昭阳宫里人，惊鸿宛转掌中身，只疑飞过洞庭春。	Có bài ca khen Điêu Thuyền như sau: Người ở cung Chiêu Dương đó nhỉ Cánh hồng bay phớn phớ trên tay Động Đình chừng đã qua bay, Lương Châu vỗ nhịp nhẹ giày gót sen.
按彻《梁州》莲步稳，好花风袅一枝新，画堂香暖不胜春。”	Một cành gió lá hoa mềm, Mùi hương ngào ngạt dày thềm vẻ xuân.
又诗曰：“红牙催拍燕飞忙，一片行云到画堂。	Lại có một bài thơ nữa khen rằng: Én liệng la đà nhịp phách ngà. Mây bay một áng diễu thềm hoa.
眉黛促成游子恨，脸容初断故人肠。	Mày ngài gợi khách sầu man mác. Vẻ ngọc xui người dạ thiết tha.
榆钱不买千金笑，柳带何须百宝妆。	Hô dễ nghìn vàng mua được miệng. Lọ dùng trăm báu xức vào da?
舞罢隔帘偷目送，不知谁是楚襄王。”	Rèm cao múa đoạn ai nhìn trộm. Nào biết Tương vương mấy kẻ là!
舞罢，卓命近前。	Điêu Thuyền múa xong, Trác gọi lại gần.
貂蝉转入帘内，深深再拜。	Điêu Thuyền ở ngoài thềm đi vào, lạy hai lạy.
卓见貂蝉颜色美丽，便问：“此女何人？”	Trác thấy Điêu Thuyền dung nhan xinh đẹp bèn hỏi Doãn: - Con bé này là thế nào?
允曰：“歌伎貂蝉也。”	Vương Doãn thưa: - Bẩm, nó là con hát ở phủ, tên là Điêu Thuyền.
卓曰：“能唱否？”	Trác hỏi: - Biết hát không?
允命貂蝉执檀板低讴一曲。	Doãn sai Điêu Thuyền gõ nhịp hát một bài.
正是：“一点樱桃启绛唇，两行碎玉喷阳春。	Thật là: Môi son hé nở cánh đào tân. Ngọc trắng hai hàng nhả "Ánh xuân".
丁香舌吐衠钢剑，要斩奸邪乱国臣。”	Đầu lưỡi đinh hương đường kiếm sắc. Rắp toan chém cổ kẻ gian tham!
卓称赏不已。	Đổng Trác khen nức nở.
允命貂蝉把盏。	Doãn sai Thuyền dâng rượu.
卓擎杯问曰：“青春几何？”	Trác cầm lấy chén rượu hỏi rằng: - Xuân xanh năm nay bao nhiêu?
貂蝉曰：“贱妾年方二八。”	Thuyền thưa: - Tuổi tiện thiếp vừa đôi tám.
卓笑曰：“真神仙中人也！”	Trác cười nói rằng: - Thật là người chốn thần tiên!
允起曰：“允欲将此女献上太师，未审肯容纳否？”	Doãn đứng dậy thưa rằng: - Chúng tôi có ý muốn đem dâng lên thái sư, không biết thái sư có nhận cho không?
卓曰：“如此见惠，何以报德？”	Đổng Trác nói: - Ơn ấy ta biết lấy gì báo lại.
允曰：“此女得侍太师，其福不浅。”	Doãn nói: - Nếu nó được hầu hạ thái sư thì thực phúc to cho tôi lắm.
卓再三称谢。	Trác cám ơn hai ba lần.
允即命备毡车，先将貂蝉送到相府。	Doãn lập tức sai đưa Điêu Thuyền đến tướng phủ.
卓亦起身告辞。	Trác đứng dậy cáo từ.
允亲送董卓直到相府，然后辞回。	Doãn đi tiễn Trác đến tận phủ rồi mới về.
乘马而行，不到半路，只见两行红灯照道，吕布骑马执戟而来，正与王允撞见，便勒住马，一把揪住衣襟，厉声问曰：“司徒既以貂蝉许我，今又送与太师，何相戏耶？”	Doãn cưỡi ngựa đến nửa đường, trông thấy hai bên đường có đèn đỏ, ở giữa là Lã Bố, cưỡi ngựa cầm kích đi lại. Lúc Vương Doãn đến, Bố dừng ngựa, một tay nắm lấy áo Vương Doãn rồi hỏi to rằng: - Tư đồ đã gả Điêu Thuyền cho ta, nay lại đem Điêu Thuyền dâng thái sư, sao lại đùa như thế?
允急止之曰：“此非说话处，且请到草舍去。”	Doãn vội vàng ngăn Lã Bố, nói rằng: - Nói chuyện ở đây không tiện, xin ngài hãy quá bước lại nhà lão phu.
布同允到家，下马入后堂。	Bố theo Doãn về. Hai người dắt nhau vào nhà trong.
叙礼毕，允曰：“将军何故怪老夫？”	Chào hỏi xong. Doãn nói: - Sao tướng quân lại trách lão?
布曰：“有人报我，说你把毡车送貂蝉入相府，是何意故？”	Bố nói: - Có người nói với ta rằng tư đồ dùng xe đưa Điêu Thuyền vào tận tướng phủ, là cớ làm sao?
允曰：“将军原来不知！	Doãn thưa: - Rõ khổ, tướng quân không biết!
昨日太师在朝堂中，对老夫说：‘我有一事，明日要到你家。’	Hôm qua ở triều thái sư bảo tôi rằng: "Ta có một việc phải đến nhà ngươi".
允因此准备小宴等候。	Vậy tôi có sửa soạn tiệc nhỏ đón tiếp.
太师饮酒中间，说：‘我闻你有一女，名唤貂蝉，已许吾儿奉先。	Trong khi uống rượu, thái sư hỏi: "Ta nghe ngươi có con gái tên là Điêu Thuyền, đã gả cho con ta là Lã Phụng Tiên.
我恐你言未准，特来相求，并请一见。’老夫不敢有违，随引貂蝉出拜公公。	Có thực không? Đem con lão ra đây cho ta coi!". Tôi không dám không vâng lệnh, phải gọi Điêu Thuyền ra lạy bố chồng.
太师曰：‘今日良辰，吾即当取此女回去，配与奉先。’	Thái sư lại truyền rằng: "Hôm nay tốt ngày, để ta đem Điêu Thuyền về cho Phụng Tiên!".
将军试思：太师亲临，老夫焉敢推阻？”	Tướng quân thử nghĩ xem, thái sư thân hành đến nơi truyền bảo, lão phu sao dám gàn trở!
布曰：“司徒少罪。布一时错见，来日自当负荆。”	Lã Bố nói: - Quan tư đồ không có lỗi gì, tôi trót nghĩ lầm. Ngày mai tôi xin mang roi đến chịu tội.
允曰：“小女颇有妆奁，待过将军府下，便当送至。”	Doãn lại nói: - Con tôi có ít nhiều đồ nữ trang. Khi nào nó về phủ tướng quân, tôi sẽ mang đến.
布谢去。	Lã Bố tạ, rồi về.
次日，吕布在府中打听，绝不闻音耗。径入堂中，寻问诸侍妾。	Sáng hôm sau, Bố ở nhà nghe ngóng, chẳng thấy tin tức gì, bèn sang tướng phủ, vào thẳng nhà trong hỏi tin những người hầu.
侍妾对曰：“夜来太师与新人共寝，至今未起。”	Một người thưa: - Đêm qua thái sư cùng nghỉ với người hầu mới, bây giờ chưa dậy.
布大怒，潜入卓卧房后窥探。	Bố giận lắm, lẻn vào sau buồng nằm của Đổng Trác để dò xem.
时貂蝉起于窗下梳头，忽见窗外池中照一人影，极长大，头戴束发冠；偷眼视之，正是吕布。貂蝉故蹙双眉，做忧愁不乐之态，复以香罗频拭眼泪。	Bấy giờ Điêu Thuyền đã dậy rồi đang ngồi trong cửa sổ chải đầu, chợt trông xuống ao trước cửa sổ thấy bóng người cao lớn, đầu đội mũ bịt tóc, biết ngay là Lã Bố, Điêu Thuyền cố ý chau ngay đôi mày làm ra dáng buồn bã, tay cầm khăn thỉnh thoảng nâng lên lau nước mắt.
吕布窥视良久，乃出；少顷，又入。	Lã Bố đứng nhìn hồi lâu rồi trở ra, một lát sau lại vào.
卓己坐于中堂，见布来，问曰：“外面无事乎？”	Đổng Trác ngồi ở trung đường, thấy Bố đến, hỏi rằng: - Ở ngoài không có việc gì chứ?
布曰：“无事。”	Bố thưa: - Không.
侍立卓侧。	Rồi đứng hầu một bên.
卓方食，布偷目窃望，见绣帘内一女子往来观觑，微露半面，以目送情。布知是貂蝉，神魂飘荡。	Trác ăn cơm, Bố liếc mắt nhìn dòm trộm, thấy trong rèm có người con gái đi đi lại lại, hơi thò nửa mặt ngoảnh ra ngoài, liếc mắt đưa tình.
卓见布如此光景，心中疑忌，曰：“奉先无事且退。”	Trác nhìn thấy dáng điệu của Bố như vậy, trong lòng nghi hoặc liền hỏi rằng: - Phụng Tiên không có việc gì, hãy lui ra!
布怏怏而出。	Lã Bố bực tức trở ra.
董卓自纳貂蝉后，为色所迷，月余不出理事。	Trác từ khi được Điêu Thuyền, hơn một tháng trời không coi gì đến việc quan.
卓偶染小疾，貂蝉衣不解带，曲意逢迎，卓心意喜。	Một bữa Trác hơi khó ở, Điêu Thuyền hết lòng hầu hạ, mặc áo không lúc nào cởi đai, cố ý chiều chuộng, Trác lại càng yêu quý hơn nữa.
吕布入内问安，正值卓睡。貂蝉于床后探半身望布，以手指心，又以手指董卓，挥泪不止。	Một hôm Lã Bố vào hỏi thăm, gặp lúc Đổng Trác đang ngủ, Điêu Thuyền đứng ở sau giường thò nửa người ra, trông thấy Bố, lấy tay trỏ vào tim mình rồi lại trỏ vào Đổng Trác, và luôn luôn gạt nước mắt.
布心如碎。	Bố cảm thấy ruột như nát ra.
卓朦胧双目，见布注视床后，目不转睛；回身一看，见貂蝉立于床后。	Trác nằm hai mắt lim dim, thấy Lã Bố nhìn chòng chọc về phía sau chỗ mình nằm, quay lại thì thấy Điêu Thuyền đứng ở sau giường.
卓大怒，叱布曰：“汝敢戏吾爱姬耶！”	Trác nổi giận mắng Bố rằng: - Mày ghẹo vợ yêu của tao à?
唤左右逐出，今后不许入堂。	Bèn sai tả hữu đuổi Lã Bố ra và cấm từ nay không được vào nhà trong nữa.
吕布怒恨而归，路遇李儒，告知其故。	Lã Bố tức giận trở về, đi đường gặp Lý Nho, kể lại đầu đuôi.
儒急入见卓曰：“太师欲取天下，何故以小过见责温侯？	Nho lập tức vào ra mắt Đổng Trác, nói rằng: - Thái sư muốn lấy thiên hạ, sao lại vì một việc nhỏ mọn mà trách mắng Lã Ôn Hầu.
