第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
吾闻曹操换毛玠、于禁为水军都督，则这两个手里，好歹送了水军性命。”	Tôi lại nghe Tào Tháo cho Vu Cấm, Mao Giới lên thay lĩnh chức thủy quân đô đốc. Hai người ấy chỉ có mang tính mệnh cả thủy quân Tào Tháo mà quẳng đi, chớ làm chi được!
鲁肃听了，开口不得，把些言语支吾了半晌，别孔明而回。	Lỗ Túc nghe xong, nói một vài câu qua loa rồi từ biệt ra về.
孔明嘱曰：“望子敬在公瑾面前勿言亮先知此事。	Khổng Minh dặn Lỗ Túc: - Tử Kính có về, đừng nói với Công Cẩn rằng tôi biết trước việc ấy nhé!
恐公瑾心怀妒忌，又要寻事害亮。”	Sợ rồi Công Cẩn mang lòng ghen ghét. Lại kiếm chuyện để mưu hại tôi.
鲁肃应诺而去，回见周瑜，把上项事只得实说了。 瑜大惊曰：“此人决不可留！ 吾决意斩之！”	Lỗ Túc vâng lời trở về, ra mắt Chu Du, kể hết đầu đuôi, Du thất kinh, nói: - Người này quyết không sao để được, ta phải chém đi mới xong.
肃劝曰：“若杀孔明，却被曹操笑也。”	Lỗ Túc can: - Nếu ta giết Khổng Minh, sẽ bị Tào Tháo cười cho.
瑜曰：“吾自有公道斩之，教他死而无怨。”	Du nói: - Ta sẽ lấy phép công mà chém, cho hắn chết cũng không oán được ta.
肃曰：“何以公道斩之？”	Lỗ Túc hỏi: - Phép công gì?
瑜曰：“子敬休问，来日便见。”	Du nói: - Tử Kính không phải nói, đến mai sẽ biết.
次日，聚众将于帐下，教请孔明议事。	Hôm sau, Du hội cả các tướng dưới trướng, mời Khổng Minh đến bàn việc.
孔明欣然而至。	Khổng Minh đến.
坐定，瑜问孔明曰：“即日将与曹军交战，水路交兵，当以何兵器为先？”	Du hỏi: - Nay sắp đánh nhau với Tào Tháo ở trên mặt sông, nên dùng vũ khí gì đánh cho tiện?
孔明曰：“大江之上，以弓箭为先。”	Khổng Minh thưa: Trên mặt sông lớn, cốt lấy cung tên là đầu.
瑜曰：“先生之言，甚合愚意。	Du nói: - Lời tiên sinh hợp ý tôi lắm!
但今军中正缺箭用，敢烦先生监造十万枝箭，以为应敌之具。	Hiện trong quân đang thiếu tên bắn, phiền tiên sinh trông nom giúp cho việc làm mười vạn chiếc tên.
此系公事，先生幸勿推却。”	Đây là việc công, xin tiên sinh chớ nên từ chối.
孔明曰：“都督见委，自当效劳。	Khổng Minh nói: - Đô đốc đã sai, tôi xin hết sức.
敢问十万枝箭，何时要用？”	Xin hỏi mười vạn tên khi nào dùng đến?
瑜曰：“十日之内，可完办否？”	Du hỏi: - Trong mười hôm, có làm xong không?
孔明曰：“操军即日将至，若候十日，必误大事。”	Khổng Minh nói: - Quân Tào nay mai sắp đến, nếu đợi mười ngày, việc lớn hỏng mất.
瑜曰：“先生料几日可完办？”	Du hỏi: - Tiên sinh liệu độ mấy hôm thì xong?
孔明曰：“只消三日，便可拜纳十万枝箭。”	Khổng Minh thưa: - Trong nội ba ngày sẽ nộp đủ mười vạn tên.
瑜曰：“军中无戏言。”	Du nói: - Việc quân không phải trò đùa đâu!
孔明曰：“怎敢戏都督！ 愿纳军令状：三日不办，甘当重罚。”	Khổng Minh nói: - Đâu có dám đùa với đô đốc, tôi xin làm giấy cam đoan, nếu ba ngày không xong, cam chịu trọng tội.
瑜大喜，唤军政司当面取了文书，置酒相待曰：“待军事毕后，自有酬劳。”	Du mừng lắm, gọi ngay quan chính tư mang giấy tờ ra làm cam kết, rồi mở tiệc khoản đãi và nói: - Khi nào xong việc, sẽ có hậu thưởng.
孔明曰：“今日已不及，来日造起。 至第三日，可差五百小军到江边搬箭。”	Khổng Minh nói: - Hôm nay đã không kịp rồi, ngày mai bắt đầu làm, đến ngày thứ ba, xin đô đốc sai năm trăm quân đến bờ sông nhận tên đem về.
饮了数杯，辞去。	Khổng Minh uống thêm vài chén rồi từ biệt.
鲁肃曰：“此人莫非诈乎？”	Lỗ Túc hỏi Chu Du: - Người này nói khoác chăng?
瑜曰：“他自送死，非我逼他。	Du nói: - Rõ ràng hắn tự mua lấy cái chết, chứ ta cũng không bắt ép gì hắn.
今明白对众要了文书，他便两胁生翅，也飞不去。	Hôm nay đông đủ mặt các quan, làm tờ cam kết, dù hắn có mọc cánh cũng không bay thoát.
我只分付军匠人等，教他故意迟延，凡应用物件，都不与齐备。 如此，必然误了日期。	Ta dặn bọn thợ cố làm dây dưa, và không cấp đủ cho đồ dùng, tất nhiên hắn lỡ hẹn.
那时定罪，有何理说？	Khi ấy ta trị tội, xem có kêu ca được nữa không?
公今可去探他虚实，却来回报。	Tử Kính thử sang thăm dò tình hình, về báo cho ta biết.
肃领命来见孔明。	Lỗ Túc vâng lệnh, đến gặp Khổng Minh.
孔明曰：“吾曾告子敬，休对公瑾说，他必要害我。	Khổng Minh nói: - Ta đã bảo Tử Kính đừng nói chuyện gì với Công Cẩn, e Công Cẩn lại tìm kế hại ta.
不想子敬不肯为我隐讳，今日果然又弄出事来。	Không ngờ Tử Kính không chịu giấu giếm họ, hôm nay, quả nhiên lại có chuyện.
三日内如何造得十万箭？ 子敬只得救我！”	Trong ba ngày, làm sao vót nổi mười vạn tên, Tử Kính phải cứu ta mới được.
肃曰：“公自取其祸，我如何救得你？”	Túc nói: - Ông tự rước lấy tội, tôi biết cứu làm sao bây giờ?
孔明曰：“望子敬借我二十只船，每船要军士三十人，船上皆用青布为幔，各束草千余个，分布两边。	Khổng Minh nói: - Tử Kính cho ta mượn hai chục chiếc thuyền, mỗi chiếc dùng ba chục tay thủy thủ tốt. Trên thuyền căng vải xanh che chung quanh, và xếp hơn nghìn bó cỏ ở hai bên mạn thuyền.
吾别有妙用。	Ta sẽ có kế.
第三日包管有十万枝箭。	Đến ngày thứ ba bảo đảm có đủ hai mươi vạn tên cho mà xem.
只不可又教公瑾得知，若彼知之，吾计败矣。”	Nhưng chớ để cho Công Cẩn biết nữa, nếu hắn biết thì kế ta hỏng mất đó.
肃允诺，却不解其意，回报周瑜，果然不提起借船之事，只言：“孔明并不用箭竹、翎毛、胶漆等物，自有道理。”	Túc vâng lời, nhưng chưa hiểu rõ mưu mô khổng Minh ra sao. Lúc về gặp Chu Du, quả nhiên Túc không đả động gì đến việc mượn thuyền, chỉ bảo không thấy Khổng Minh dùng đến tre, gỗ, lông chim và sơn nhựa gì cả, chỉ nói rằng đã có cách.
瑜大疑曰：“且看他三日后如何回覆我！”	Du rất ngạc nhiên nói: - Thử đợi đến hôm thứ ba xem sao.
却说鲁肃私自拨轻快船二十只，各船三十余人，并布幔束草等物，尽皆齐备，候孔明调用。	Lỗ Túc cắt riêng hai chục chiếc thuyền nhanh nhẹ, mỗi chiếc ba chục người bơi, đủ đồ vải căng, cỏ bó, dự bị sẵn sàng cho Khổng Minh.
第一日却不见孔明动静；第二日亦只不动。	Ngày thứ nhất không thấy gì, ngày thứ hai cũng vậy.
至第三日四更时分，孔明密请鲁肃到船中。 肃问曰：“公召我来何意？” 孔明曰：“特请子敬同往取箭。”	Mãi đến hôm thứ ba, độ canh tư, Khổng Minh mới lén sai người mời Lỗ Túc xuống thuyền.
肃曰：“何处去取？” 孔明曰：“子敬休问，前去便见。” 遂命将二十只船，用长索相连，径望北岸进发。 是夜大雾漫天，长江之中，雾气更甚，对面不相见。	Túc hỏi: - Ông gọi tôi đến có việc gì?
孔明促舟前进，果然是好大雾！ 前人有篇《大雾垂江赋》曰：“大哉长江！ 西接岷、峨，南控三吴，北带九河。 汇百川而入海，历万古以扬波。	Khổng Minh nói: - Mời ông cùng đi lấy tên một thể.
至若龙伯、海若，江妃、水母，长鲸千丈，天蜈九首，鬼怪异类，咸集而有。 盖夫鬼神之所凭依，英雄之所战守也。 时也阴阳既乱，昧爽不分。 讶长空之一色，忽大雾之四屯。	Túc hỏi: - Lấy tên ở đâu?
虽舆薪而莫睹，惟金鼓之可闻。 初若溟濛，才隐南山之豹；渐而充塞，欲迷北海之鲲。 然后上接高天，下垂厚地；渺乎苍茫，浩乎无际。	Khổng Minh nói: - Tử Kính không phải hỏi, cứ đi sẽ biết.
鲸鲵出水而腾波，蛟龙潜渊而吐气。 又如梅霖收溽，春阴酿寒；溟溟漠漠，洁浩漫漫。 东失柴桑之岸，南无夏口之山。 战船千艘，俱沉沦于岩壑；渔舟一叶，惊出没于波澜。	Nói rồi, sai lấy thừng chạc dàng cả hai chục thuyền làm một, cho bơi thẳng lên phía bắc.
甚则穹吴无光，朝阳失色；返白昼为昏黄，变丹山为水碧。 虽大禹之智，不能测其浅深；离娄之明，焉能辨乎咫尺？	- Đêm ấy, sương mù phủ kín trời, trên mặt sông lại càng mờ mịt, giáp mặt không trông thấy nhau.
于是冯夷息浪，屏翳收功；鱼鳖遁迹，鸟兽潜踪。 隔断蓬莱之岛，暗围阊阖之宫。 恍惚奔腾，如骤雨之将至；纷纭杂沓，若寒云之欲同。 乃能中隐毒蛇，因之而为瘴疠；内藏妖魅，凭之而为祸害。	Khổng Minh giục quân chèo thuyền đi thật gấp.
降疾厄于人间，起风尘于塞外。 小民遇之夭伤，大人观之感慨。 盖将返元气于洪荒，混天地为大块。	Quả thật là sương mù rất đẹp, rất nên thơ.
当夜五更时候，船已近曹操水寨。	Canh năm đêm ấy, thuyền đến sát thủy trại của Tào Tháo.
孔明教把船只头西尾东，一带摆开，就船上擂鼓呐喊。	Khổng Minh sai đổ thuyền quay mũi về hướng tây, dàn thành hàng chữ nhất, rồi đánh trống và hò reo ầm ĩ.
鲁肃惊曰：“倘曹兵齐出，如之奈何？”	Lỗ Túc sợ hãi hỏi: - Quân Tào ùa ra thì làm thế nào?
孔明笑曰：“吾料曹操于重雾中必不敢出。	Khổng Minh cười đáp: - Tôi chắc Tào Tháo thấy sương mù thế này, không dám cho quân ra.
吾等只顾酌酒取乐，待雾散便回。	Chúng mình cứ yên chí uống rượu làm vui, đợi khi nào sương tan thì về.
却说曹寨中，听得擂鼓呐喊，毛玠、于禁二人慌忙飞报曹操。	Trong trại Tào, nghe thấy tiếng trống đánh, tiếng reo hò, Mao Giới, Vu Cấm vội vàng phi báo với Tào Tháo.
操传令曰：“重雾迷江，彼军忽至，必有埋伏，切不可轻动。	Tháo truyền lệnh rằng: - Sương mù dày đặc, quân giặc kéo đến bất thần, tất có mai phục, không nên khinh động.
可拨水军弓弩手乱箭射之。” 又差人往旱寨内唤张辽、徐晃各带弓弩军三千，火速到江边助射。	Tháo chỉ ra lệnh cho quân cung nỏ bắn tứ tung ra, lại sai người lên trại cạn gọi Trương Liêu, Tử Hoảng mỗi người dẫn ba nghìn quân cung nỏ cấp tốc đến bờ sông trợ chiến.
比及号令到来，毛玠、于禁怕南军抢入水寨，已差弓弩手在寨前放箭；少顷，旱寨内弓弩手亦到，约一万余人，尽皆向江中放箭：箭如雨发。	Hiệu lệnh đến nơi thì Vu Cấm, Mao Giới sợ quân nam tràn vào thủy trại, đã sai quân bắn rào rào ra rồi một lát quân trên cạn cũng đến, ước hơn vạn người, đều chĩa vào chỗ có tiếng trống bắn xuống như mưa.
孔明教把船吊回，头东尾西，逼近水寨受箭，一面擂鼓呐喊。	Khổng Minh một mặt lại sai quay mũi thuyền về phía tây, áp vào trại thủy đỡ lấy tên; một mặt vẫn cứ thúc trống hò reo ầm ĩ.
待至日高雾散，孔明令收船急回。	Khi mặt trời đã mọc, sương mù dần tan, Khổng Minh sai thu thuyền kéo về.
二十只船两边束草上，排满箭枝。	Các bó cỏ trên hai chục chiếc thuyền, bó nào cũng chi chít những tên cắm.
孔明令各船上军士齐声叫曰：“谢丞相箭！”	Khổng Minh sai quân sĩ đồng thanh reo to lên rằng: - Tạ ơn thừa tướng giúp tên!
比及曹军寨内报知曹操时，这里船轻水急，已放回二十余里，追之不及。	Khi quân vào báo cho Tháo biết, thì thuyền nhẹ nước xuôi, đã đi xa hàng hai chục dặm rồi, đuổi không kịp nữa.
曹操懊悔不已。	Tào Tháo tức bực vô cùng.
却说孔明回船谓鲁肃曰：“每船上箭约五六千矣。 不费江东半分之力，已得十万余箭。	Khổng Minh quay thuyền về nói với Lỗ Túc rằng: - Mỗi thuyền được ước chừng năm sáu nghìn tên mà không hề tốn chút công sức nào của Đông Ngô cả.
明日即将来射曹军，却不甚便！”	Thế là đã được hơn mười vạn tên, nay mai lại đem tên bắn lại quân Tào, chẳng tiện lắm ư?
肃曰：“先生真神人也！	Túc nói: - Tiên sinh thực là thần thánh.
何以知今日如此大雾？”	Làm sao lại biết đêm nay có sương mù lớn thế?
孔明曰：“为将而不通天文，不识地利，不知奇门，不晓阴阳，不看阵图，不明兵势，是庸才也。	Khổng Minh nói: - Làm tướng mà không biết thiên văn, không tường địa lý, không biết được thuật pháp, không hiểu được âm dương, không tính trận đồ, không giỏi binh thế, đó là tướng xoàng.
亮于三日前已算定今日有大雾，因此敢任三日之限。	Từ ba hôm trước, ta đã tính biết hôm nay có sương mù lớn, nên mới dám nhận thời hạn ba hôm.
公瑾教我十日完办，工匠料物，都不应手，将这一件风流罪过，明白要杀我。 我命系于天，公瑾焉能害我哉！”	Công Cẩn hạn cho ta mười ngày, mà thuyền thợ, đồ dùng không có gì đủ, chực đem một tội lỗi nhỏ để hại ta; nhưng số mệnh ta đã có trời, hại làm sao nổi!
鲁肃拜服。	Lỗ Túc chịu là giỏi.
船到岸时，周瑜已差五百军在江边等候搬箭。	Thuyền vừa cập bến, đã thấy năm trăm quân của Chu Du đứng chực lĩnh tên.
孔明教于船上取之，可得十余万枝，都搬入中军帐交纳。	Khổng Minh bảo lên thuyền mà lấy, được hơn chục vạn chiếc đem về nộp.
鲁肃人见周瑜，备说孔明取箭之事。	Lỗ Túc vào ra mắt Chu Du, thuật lại cả việc đi lấy tên.
瑜大惊，慨然叹曰：“孔明神机妙算，吾不如也！”	Du giật mình, thở dài than rằng: - Khổng Minh mẹo thần, tính giỏi, ta thật không bằng!
后人有诗赞曰：“一天浓雾满长江，远近难分水渺茫。 骤雨飞蝗来战舰，孔明今日伏周郎。”	Ngày sau có thơ rằng: Sương mù mờ mịt khắp Trường Giang Gần xa không rõ nước mênh mang Tên bắn như mưa thuyền không núng Khổng Minh tài trí vượt Chu Lang.
少顷，孔明入寨见周瑜。	Một lát, Khổng Minh cũng vào gặp Chu Du.
瑜下帐迎之，称羡曰：“先生神算，使人敬服。”	Du ra ngoài trại đón và khen rằng: - Mưu kế tiên sinh tài tình lắm, khiến người ta phải kính phục.
孔明曰：“诡谲小计，何足为奇。	Khổng Minh nói: - Đó chỉ là một chút mẹo vặt, có gì là lạ đâu?
瑜邀孔明入帐共饮。 瑜曰：“昨吾主遣使来催督进军，瑜未有奇计，愿先生教我。”	Du mời khổng Minh vào trướng uống rượu, rồi hỏi rằng: - Hôm qua, chúa công tôi cho người đến thúc giục tiến quân, tôi chưa nghĩ được mẹo gì lạ, xin tiên sinh dạy cho.
孔明曰：“亮乃碌碌庸才，安有妙计？”	Khổng Minh thưa: - Tài tôi thường lắm, nghĩ sao được diệu kế?
瑜曰：“某昨观曹操水寨，极是严整有法，非等闲可攻。	Du nói: - Hôm trước, tôi xem thủy trại của Tào Tháo cực kỳ nghiêm chỉnh, rất hợp binh pháp, không dễ phá được.
思得一计，不知可否。 先生幸为我一决之。”	Tôi đã nghĩ ra một mẹo, chưa biết có dùng được hay không, xin tiên sinh quyết định giúp.
孔明曰：“都督且休言。 各自写于手内，看同也不同。”	Khổng Minh nói: - Đô đốc đừng nói vội, xin hãy cùng viết vào lòng bàn tay, xem có khớp nhau không đã.
瑜大喜，教取笔砚来，先自暗写了，却送与孔明；孔明亦暗写了。	Du mừng lắm, sai đem nghiên bút ra, viết ngầm vào bàn tay một chữ, rồi đưa bút cho Khổng Minh. Khổng Minh cũng viết một chữ.
两个移近坐榻，各出掌中之字，互相观看，皆大笑。	Hai người ngồi lại gần, xòe bàn tay ra, rồi cùng cười ầm cả lên.
原来周瑜掌中字，乃一“火”字；孔明掌中，亦一“火”字。	Té ra trong tay Chu Du đề một chữ "Hỏa", trong tay Khổng Minh cũng một chữ "Hỏa".
瑜曰：“既我两人所见相同，更无疑矣。 幸勿漏泄。”	Chu Du nói: - Hai chúng ta đã hợp ý nhau, chắc không còn nghi ngờ gì nữa, xin đừng tiết lộ cho ai biết.
孔明曰：“两家公事，岂有漏泄之理。	Khổng Minh nói: - Việc là việc chung cả hai nhà, có lẽ đâu lại để lộ chuyện.
吾料曹操虽两番经我这条计，然必不为备。	Tào Tháo đã hai phen mắc mẹo của tôi, nhưng chắc lần này hắn cũng không phòng bị.
今都督尽行之可也。”	Đô đốc cố gắng lên thì thế nào cũng được.
饮罢分散，诸将皆不知其事。	Tan tiệc đâu về đấy, các tướng không ai biết câu chuyện ra sao.
却说曹操平白折了十五六万箭，心中气闷。	Tào Tháo, từ khi mất mười lăm mười sáu vạn tên, trong lòng buồn tức lắm.
荀攸进计曰：“江东有周瑜、诸葛亮二人用计，急切难破。	Tuân Du hiến kế rằng: - Giang Đông có Chu Du, Gia Cát Lượng, hai người hợp mưu với nhau, khó lòng phá nổi.
可差人去东吴诈降，为奸细内应，以通消息，方可图也。”	Ta hãy sai người đến Giang Đông trá hàng, làm tay trong, dò xét đầy đủ tình hình mới có thể phá được.
操曰：“此言正合吾意。	Tháo nói: - Ngươi nói chính hợp ý ta.
汝料军中谁可行此计？”	Vậy ngươi thử xem ai đi làm được việc ấy?
攸曰：“蔡瑁被诛，蔡氏宗族，皆在军中。 瑁之族弟蔡中、蔡和现为副将。	Tuân Du thưa: - Sái Mạo bị giết, em hắn là Sái Trung, Sái Hòa hiện đang làm phó tướng.
丞相可以恩结之，差往诈降东吴，必不见疑。”	Thừa tướng nên ban ơn cho họ vui lòng gắn bó với ta, rồi sai sang trá hàng, tất Đông Ngô không nghi kỵ.
操从之，当夜密唤二人入帐嘱付曰：“汝二人可引些少军士，去东吴诈降。	Tháo theo lời ấy, đang đêm, gọi hai người vào trướng dặn rằng: - Hai người hãy dẫn một số quân sang Đông Ngô trá hàng, hễ thấy động tĩnh gì, sai người về mật báo ngay.
但有动静，使人密报，事成之后，重加封赏。 休怀二心！”	Khi nào thành công, ta sẽ ban thưởng thêm; chớ có ăn ở hai lòng nhé!
二人曰：“吾等妻子俱在荆州，安敢怀二心，丞相勿疑。	Sái Trung, Sái Hòa bẩm: - Xin thừa tướng chớ nghi, vợ con chúng tôi ở cả Kinh Châu, chúng tôi có đâu dám thế!
某二人必取周瑜、诸葛亮之首，献于麾下。”	Hai chúng tôi quyết lấy đầu Chu Du, Gia Cát Lượng về dâng dưới trướng.
操厚赏之。	Tháo trọng thưởng cho hai người.
次日，二人带五百军士，驾船数只，顺风望着南岸来。	Hôm sau, hai người đem năm trăm tên quân, chở vài chiếc thuyền, thuận gió xuôi xuống bờ phía nam.
且说周瑜正理会进兵之事，忽报江北有船来到江口，称是蔡瑁之弟蔡和、蔡中，特来投降。	Chu Du đang tính toán việc tiến quân, chợt có ti báo có thuyền ở Giang Bắc sang, tự xưng tên là Sái Hòa, ái Trung, em ruột Sái Mạo, đến hàng.
瑜唤入。	Du cho gọi vào.
二人哭拜曰：“吾兄无罪，被操贼所杀。	Hai người vừa khóc vừa lạy, nói: - Anh chúng tôi là Sái Mạo, không có tội gì, tự dưng bị Tào Tháo giết mất.
吾二人欲报兄仇，特来投降。	Chúng tôi muốn báo thù cho anh, nên sang đầu hàng.
望赐收录，愿为前部。”	Mong đô đốc thu dọn cho, chúng tôi xin làm tiền bộ.
瑜大喜，重赏二人，即命与甘宁引军为前部。	Du mừng rỡ, trọng thưởng cho hai người rồi sai dẫn quân theo Cam Ninh làm tiền bộ.
二人拜谢，以为中计。	Hai người lạy tạ, chắc mẩm Du đã trúng kế rồi.
瑜密唤甘宁分付曰：“此二人不带家小，非真投降，乃曹操使来为奸细者。	Du gọi Cam Ninh vào dặn rằng: - Hai thằng này không mang theo vợ con, chẳng phải thực bụng hàng đâu, đúng Tào Tháo sai đến làm gian tế đây.
吾今欲将计就计，教他通报消息。	Nay ta muốn biến kế của nó thành kế của mình, để nó báo tin về cho Tào Tháo.
汝可殷勤相待，就里提防。	Ngươi phải ân cần khoản đãi chúng nó, nhưng phải đề phòng.
至出兵之日，先要杀他两个祭旗。	Đợi khi nào ta cất quân đi, sẽ đem giết chúng để tế cờ.
汝切须小心，不可有误。”	Ngươi phải cẩn thận, không được để lỡ việc.
甘宁领命而去。	Cam Ninh vâng lời trở ra.
鲁肃入见周瑜曰：“蔡中、蔡和之降，多应是诈，不可收用。”	Lỗ Túc vào gặp Chu Du, nói: - Việc Sái Trung, Sái Hòa đến hàng chỉ là giả dối, không nên dùng vội.
瑜叱曰：“彼因曹操杀其兄，欲报仇而来降，何诈之有！	Du mắng rằng: - Hai người ấy vì Tào Tháo giết oan mất anh, nên đến hàng để trả thù, giả gì mà giả?
你若如此多疑，安能容天下之士乎！”	Ngươi hay đa nghi thế, dùng là sao được người giỏi trong thiên hạ?
肃默然而退，乃往告孔明。	Túc nín lặng lui ra, đến nói với Khổng minh.
孔明笑而不言。	Khổng Minh chỉ cười.
肃曰：“孔明何故哂笑？”	Túc nói: - Ông cười gì thế?
孔明曰：“吾笑子敬不识公瑾用计耳。	Khổng Minh nói: - Tôi cười ông không biết đó là Công Cẩn dùng mưu.
大江隔远，细作极难往来。	Sông to cách trở, do thám đi lại khó khăn.
操使蔡中、蔡和诈降，刺探我军中事，公瑾将计就计，正要他通报消息。	Tháo sai hai người sang trá hàng để dò xét quân ta. Công Cẩn lại muốn mượn kế nó làm kế mình, dùng chúng thông báo tin tức đỡ mình.
兵不厌诈，公瑾之谋是也。”	Binh pháp cần phải dối trá, mưu của Công Cẩn rất hay.
肃方才省悟。	Túc bấy giờ mới hiểu.
却说周瑜夜坐帐中，忽见黄盖潜入中军来见周瑜。 瑜问曰：“公覆夜至，必有良谋见教？”	Đêm hôm ấy, Chu Du đang ngồi trong trướng, bỗng thấy Hoàng Cái lẻn vào ra mắt, Du hỏi: - Công Phúc đang đêm đến đây, tất có mưu hay bàn bạc.
盖曰：“彼众我寡，不宜久持，何不用火攻之？”	Cái thưa: - Quân giặc nhiều, quân ta ít, không nên cầm cự lâu. Sao không dùng kế hỏa công?
瑜曰：“谁教公献此计？”	Du hỏi: - Ai xui ông hiến kế ấy?
盖曰：“某出自己意，非他人之所教也。”	Cái thưa: - Tôi tự nghĩ ra, không có ai bày vẽ cho cả.
瑜曰：“吾正欲如此，故留蔡中、蔡和诈降之人，以通消息；但恨无一人为我行诈降计耳。”	Du nói: - Ta vẫn muốn dùng kế ấy, cho nên mới giữ Sái Trung, Sái Hòa ở đây, để chúng nó đưa tin tức về cho nhau; nhưng hiềm vì không có ai thi hành kế trá hàng cho ta cả.
盖曰：“某愿行此计。”	Cái thưa: - Tôi xin đảm nhận.
瑜曰：“不受些苦，彼如何肯信？”	Du nói: - Nếu không chịu khổ sở một chút, thì khi nào Tào Tháo chịu tin?
盖曰：“某受孙氏厚恩，虽肝脑涂地，亦无怨悔。”	Cái thưa: - Tôi đội hậu ân của họ Tôn, dẫu gan óc lầy đất cũng cam.
瑜拜而谢之曰：“君若肯行此苦肉计，则江东之万幸也。”	Du lại ta rằng: - Ông chịu thực hiện kế khổ nhục này, thật là may mắn cho Giang Đông quá.
盖曰：“某死亦无怨。”	Cái thưa: - Tôi chết cũng không oán hận chút nào!
遂谢而出。	Nói rồi tạ trở ra.
次日，周瑜鸣鼓大会诸将于帐下。	Hôm sau, Chu Du nổi trống họp các tướng.
孔明亦在座。 周瑜曰：“操引百万之众，连络三百余里，非一日可破。	Khổng Minh cũng đến, Chu Du nói: - Tháo dẫn hàng trăm vạn quân, doanh trại liên tiếp hơn ba trăm dặm, không phải một ngày mà phá xong được.
今令诸将各领三个月粮草，准备御敌。”	Nay truyền cho các tướng, mỗi người phải lĩnh lương thảo ba tháng, phòng chống nhau với giặc.
言未讫，黄盖进曰：“莫说三个月，便支三十个月粮草，也不济事！	Du nói vừa dứt lời, Hoàng Cái tiến ra nói: - Đừng nói ba tháng, dẫu cấp cả ba mươi tháng lương thảo cũng chẳng làm trò gì?
若是这个月破的，便破；若是这个月破不的，只可依张子布之言，弃甲倒戈，北面而降之耳！”	Nội trong cả tháng này, có thể phá được thì phá, nếu không phá nổi, thì chi bằng theo lời Tử Bố, bỏ giáp quẳng gươm, ngoảnh mặt về bắc mà hàng đi cho rảnh!
周瑜勃然变色，大怒曰：“吾奉主公之命，督兵破曹，敢有再言降者必斩。	Chu Du nghe nói tái mặt lại, nổi giận đùng đùng, thét lớn: - Ta đây phụng mệnh chúa công, chỉ huy ba quân phá Tào, ai dám nói đến hàng là chém.
今两军相敌之际，汝敢出此言，慢我军心，不斩汝首，难以服众！”	Nay đang lúc hai bên đối địch, mày dám mở mày dám mở mồm ra nói câu ấy, làm ngã lòng quân, không chém đầu mày thì còn bảo được ai!
喝左右将黄盖斩讫报来。	Liền quát võ sĩ lôi Cái ra chém.
黄盖亦怒曰：“吾自随破虏将军，纵横东南，已历三世，那有你来？”	Cái cũng tức giận nói lớn: - Ta từ khi theo Phò tá tướng quân đến nay, tung hoành miền đông nam trải qua ba đời rồi, khi ấy đâu đã có ngươi?
瑜大怒，喝令速斩。	Du giận quá, thét chém cho mau.
甘宁进前告曰：“公覆乃东吴旧臣，望宽恕之。”	Cam Ninh bước lên can rằng: - Công Phúc là cựu thần của Đông Ngô, xin hãy khoan thứ cho.
瑜喝曰：“汝何敢多言，乱吾法度！”	Du quát lên rằng: - Sao mày dám nói lôi thôi, làm loạn phép tắc của tao?
先叱左右将甘宁乱棒打出。	Lập tức thét tả hữu lấy roi vụt Cam Ninh túi bụi rồi đuổi ra.
众官皆跪告曰：“黄盖罪固当诛，但于军不利。	Các quan đều quỳ xuống can rằng: - Tội Hoàng Cái thực là đáng chết, nhưng giết Cái thì không có lợi cho việc quân.
望都督宽恕，权且记罪。 破曹之后，斩亦未迟。”	Xin đô đốc hãy khoan thứ cho, tạm ghi tội lại đó, đợi phá xong Tào Tháo, sẽ đem chém cũng chưa muộn.
瑜怒未息。 众官苦苦告求。 瑜曰：“若不看众官面皮，决须斩首！	Chu Du vẫn hầm hầm, các quan nằn nì kêu van mãi, Du mới nói: - Nếu không nể mặt các quan, thì ta quyết lấy đầu mày đó!
今且免死！”	Nay hãy tha cho mày tội chết!
命左右：“拖翻打一百脊杖，以正其罪！” 众官又告免。	Du bèn sai tả hữu vật cổ Hoàng Cái xuống đánh một trăm roi.
瑜推翻案桌，叱退众官，喝教行杖。	Các quan lại kêu van, Du hất đổ cả bàn đi, quát mắng các quan, và thét bảo đánh đập.
将黄盖剥了衣服，拖翻在地，打了五十脊杖。	Tả hữu lật áo Hoàng Cái, vật sấp xuống đánh, đánh năm chục roi.
众官又复苦苦求免。	Các quan lại xúm vào xin tha.
瑜跃起指盖曰：“汝敢小觑我耶！	Du đứng dậy, chỉ mặt Hoàng Cái nói: - Mày còn dám coi thường tao chăng?
且寄下五十棍！ 再有怠慢，二罪俱罚！”	Hãy cho chịu năm chục trượng đó, nếu còn vô lễ, hai tội sẽ trị nhân thể.
恨声不绝而入帐中。	Rồi vừa đi vừa mắng nhiếc om sòm trở vào trong trướng.
众官扶起黄盖，打得皮开肉绽，鲜血进流，扶归本寨，昏绝几次。	Các tướng ra vực Hoàng Cái dậy, thấy da thịt tả tơi, máu me đầm đìa. Khi về đến trại, ngất đi mấy lần.
动问之人，无不下泪。	Ai đến hỏi thăm cũng ứa hai hàng nước mắt.
