武功耆定。	vũ công đại định .
冬十一月會試天下貢士取合格陳世榮等三十一名。	mùa đông , tháng mười một , thi hội các cống sĩ trong nước . lấy đỗ bọn trần thế vinh ba mươi mốt người .
朕以王書󰰾将軍博陽侯其親昆弟在真定者已遣人存問脩治先人塚。	trẫm theo thư của vương , đã bãi chức tướng quân bác dương hầu rồi , còn anh em thân của vương hiện ở chân định , trẫm đã sai người đến thăm hỏi và sửa đắp phần mộ tiên nhân của vương rồi .
冬十月甲子夜地震山崩草木枯死。	mùa đông , tháng mười , ngày giáp tý , ban đêm động đất , núi lở , cây cỏ chết khô .
上書令參知政事知北道軍民簿籍事亭侯阮󰔻卒贈入内太保諡忠靖。	thượng thư lệnh tham tri chính sự , tri bắc đạo quân dân bạ tịch sự đình hầu nguyễn lãm chết , được truy tặng nhập nội thái bảo , tên thuỵ là trung tĩnh .
帝出較塲觀𡐡神黎察等及文武内外百官告天地神祗名山大川刑帛馬歃血盟誓。	vua ra trường đấu xem bọn đại thần lê sát và các quan văn võ trong ngoài tế cáo trời , đất , thần kỳ danh sơn , đại xuyên , giết ngựa trắng lấy máu cùng thề .
定南王亦親送至江津行禮曲盡哀敬。	định nam vương cũng thân đi đưa đến bến sông làm lễ rất thương kính .
三軍踴躍大喜咸願報國。	ba quân vui mừng phấn khởi , đều nguyện báo ơn nước .
會試天下󰁮人取范智謙等四十四人。	thi hội các cử nhân trong nước , lấy đỗ bọn phạm trí khiêm bốn mươi bốn người .
自天䦕至京北連路不絶。	từ thiên quang đến kinh bắc đường liền không dứt .
秋七月大雨雹。	mùa thu , tháng bảy , mưa đá lớn .
帝作春雲詩集。	vua viết sách xuân vân thi tập .
訓煉士卒習爾弓矢使人人逄𫎇家家后羿梟必烈之頭於闕下腐雲南之肉於藁街。	hãy huấn luyện quân sĩ , tập dượt cung tên , khiến cho người người giỏi như bàng mông , nhà nhà đều là hậu nghệ , để có thể bêu đầu hốt tất liệt dưới cửa khuyết , phơi xác vân nam vương ở cảo nhai .
誠𭛁於言言𡸈不順。	lòng thành phát ra từ lời nói , thì lời nói ấy há chẳng là thuận ư ? .
安馮榮奏曰永錫何如不使復職。	an và phùng vinh tâu vua : " vĩnh tích làm gì mà không cho phục chức ? " .
偽強國公走上岸偽壮王莫敬章太國公走入。	nguỵ cường quốc công chạy lên bờ ; nguỵ tráng vương mạc kính chương và thái quốc công chạy vào .
太后曰賛唐日侍湯藥公言不及何也。	thái hậu nói : " tán đường hàng ngày hầu thuốc thang , sao không thấy ông nhắc đến ? .
賊詰國事不答。	giặc hỏi việc nước , vương không trả lời , .
長安鎮為天䦕鎮。	trấn trường yên thành trấn thiên quan .
并不得接近訪問交通言語。	không cho chúng được đến gần hỏi han , trao đổi trò chuyện .
演州鎮為望江鎮。	trấn diễn châu thành trấn vọng giang .
朝官皆不之知帝飲荭蒲酒劇醉。	các quan trong triều không ai biết cả , vua thì uống rượu xương bồ say khướt .
餘以例改如枚弄之軰益稷以骨肉之親治罪𨿽同不忍改姓及斥名乃命曰妸陳謂其柔懦似婦人也。	người khác cứ theo lệ ấy mà đổi , như bọn mai lộng , ích tắc là chỗ tình thân cốt nhục , tuy trị tội cũng thế , nhưng không nỡ đổi họ xoá tên , chỉ gọi là ả trần , có ý chê hắn hèn nhát như đàn bà vậy .
又築堤子周回二千一百二十五丈八尺髙一丈五尺脚闊二丈及造屋四十餘萬間。	lại đắp con đê vòng quanh dài hai nghìn một trăm hai mươi lăm trượng tám thước ; cao một trượng năm thước ; chân rộng hai trượng , cùng làm nhà cửa hơn bốn mươi vạn gian .
其大畧以爲諸在社民有姦匈人同族同社平時不能訓戒至事發又不能捕納各罰錢五拾貫。	đại khái định rằng : ở các xã dân có kẻ nào gian phi hung bạo , mà người cùng họ , cùng xã ngày thường không biết răn dạy , đến lúc việc xảy ra , lại không biết bắt nộp thì đều phải phạt năm mươi quan tiền .
學象棊則畫秤勢棊子於承塵坐視而熟慮焉時稱善其。	học đánh cờ thì vẽ bàn cờ và quân cờ lên trần nhà , rồi ngồi nhìn và suy tính kỹ càng , người đương thời khen là giỏi cờ .
渭郡公黎克慎鎮守太原嘉郡公鎮守宣光。	vị quận công lê khắc thận trấn thủ thái nguyên , gia quận công trấn thủ tuyên quang .
至於兵刅交攻之除或枉傷忠孝或誤害賢良𦤶使皇天震怒以彰其遇錐遭傾隕亦無憾焉。	còn như trong khi đánh nhau , hoặc giết oan kẻ trung hiếu , hoặc hại lầm kẻ hiền lương , đến nỗi hoàng thiên nổi giận phải tỏ cho biết lỗi lầm , dẫu gặp tổn hại cũng không dám oán trách .
十一月有白氣如劎出于東南長丈餘。	tháng mười một , có khí trắng như hình thanh kiếm hiện ở phương đông nam , dài hơn một trượng .
且為民而除螟𧑞不以賊而遺子孫。	lại vì dân trừ loài sâu độc , chẳng để giặc cho con cháu đời sau .
乃溺女色之私情忘國家之大事而肉食者不以爲言謂之何哉。	sao lại say đắm tình riêng nữ sắc , quên mất việc lớn của nước nhà , mà những người ăn thịt bấy giờ không ai nói gì là làm sao ? .
鄕上侯三人黎理黎文靈黎國𦥷。	hương thượng hầu ba người là lê lý , lê văn linh , lê quốc hưng , .
夏五月。	mùa hạ , tháng năm .
大興宫室造百寳千歲殿于大雲山其柱裝之以金銀爲視朝之所東曰風流殿西曰紫華殿左曰蓬萊殿右曰極樂殿。	làm nhiều cung điện nhà cửa : dựng điện bách bảo thiên tuế ở núi đại vân , cổt giác vàng bạc , làm nơi coi chầu ; phía đông là điện phong lưu , phía tây là điện tử hoa , bên tả là điện bồng lai , bên hữu là điện cực lạc .
加紹國公黎廣度平章軍國重事總統國政太宰太師。	gia phong thiệu quốc công lê quảng độ làm bình chương quân quốc trọng sự , tổng thống quốc chính . thái tể thái sư .
以此䏻輔成王業而令終也。	vì thế đã giúp nên vương nghiệp và giữ được tiếng tốt cho đến lúc mất .
上相自知病篤乃上表乞釋兵權辝意懇切。	thượng tướng tự biết mình bệnh nặng , liền dâng biểu xin thôi giữ binh quyền , lời lẽ rất khẩn thiết .
于時統領官富郡公鄭根迅差麾下陳進朝吳廷椿杜曆髙曛等各率所𬋩内候兵進擊。	bấy giờ thống lĩnh quan phú quận công trịnh căn vội sai thuộc tướng là bọn trần tiến triều , ngô đình xuân , đỗ lịch , cao huân đem lính nội hầu dưới quyền mình tiến đánh .
其在六軍罪猶可怒惟簡在上帝之心。	đến như sáu quân thì tội lỗi có thể dung thứ , xin lòng trời soi xét " .
若鼓已三發之後而百官猶在朱雀門外并鐘已過五十之後。	sau khi trống đã đánh hồi thứ ba mà các quan còn ở ngoài cửa chu tước và sau khi chuông đã đánh quá năm mươi tiếng rồi .
時僞官土軍金香等户之在城者王通令自願或去北或在南各依所請。	bấy giờ đối với nguỵ quan , thổ quân và các hộ đãi vàng , tìm hương liệu trong thành , vương thông cho họ được tự nguyện về phương bắc hay ở lại nước nam theo ý của mình .
等處土将嘉郡公亦歸順朝廷咸願給兵討賊。	viên thổ tướng gia quận công cũng quy thuận triều đình , nguyện xin cấp quân đánh giặc .
莫使宗室将義國公節制南道兵期日進擊。	họ mạc sai viên tướng người tông thất là nghĩa quốc công tiết chế quân nam đạo , hẹn ngày tiến đánh .
禁法門之呪咀道士奉道剪髮不得長髮。	nhà pháp thuật bị cấm làm phù chú , đạo sĩ thờ đạo phải cắt tóc không được để dài .
二月二十日上御駕觀西湖捕魚。	tháng hai , ngày hai mươi , vua xem bắt cá ở tây hồ .
文階部寺首領府縣校官以上若從營不拘同者服期年。	văn giai từ thủ lính các bộ , các tự , các phủ huyện và hiệu quan trở lên ( nếu theo quan dinh thì không câu nệ ) để tang một năm .
令旨揮阮世羙譯為囯語以申諭之。	sai chỉ huy nguyễn thế mỹ dịch ra quốc ngữ để nhắc lại .
官員妻預命婦者服期年不預命婦者服一百日並禁華飾。	vợ các quan viên dự hàng mệnh phụ để tang một năm , không dự hàng mệnh phụ để tang một trăm ngày , đều cấm trang sức .
勑旨軍色󰠃無所出差輕務令。	ra sắc chỉ , định lệnh các sắc quân , người nào cùng vô sở xuất thì sai làm việc nhẹ .
飛卿生廌亦中太學生。	( phi khanh sinh ra trãi , cũng đỗ thái học sinh ) .
並禁音樂并絲色珠玉金銀等服用。	cấm hết âm nhạc và mặc dùng các thứ lụa màu , châu ngọc , vàng bạc .
八日木忙宣慰車蘿順每州經畧使道車越州州道蘿玉麻觀察使琴軻等來献方物賜錢各有差。	ngày mồng tám , bọn tuyên uý mường mộc và xa la , kinh lược sứ châu thuận mỗi là đạo xa , tri châu việt châu là đạo la , quan sát sứ châu ngọc ma là cầm kha sang dâng sản vật địa phương , đều được ban tiền theo thứ bậc khác nhau .
夏六月遣兵部侍郎黎文盛如永平寨與宋議疆事。	mùa hạ , tháng sáu , sai thi lang bộ binh lê văn thịnh đến trại vĩnh bình cùng với người tống bàn việc cương giới .
旨傳分補鄕試塲供頓事例凣某縣有應除某社民許二司照本處各縣平補共受以均力役。	có chỉ truyền về lệ phân bổ cung đốn cho trường thi hương . huyện nào có xã dân nào đáng được trừ , thì cho hai ty chiếu theo các huyện trong xứ mình san bổ cùng chịu để vệc lực dịch được quân bình .
志是明遣若水等來封而惠以老回家。	lần này nhà minh sai bọn nhược thuỷ sang phong thì huệ đã lui về vì tuổi già .
六日帝密令左游擊將軍黎希葛黄仁添及前鋒將軍黎勢鄭文洒等将舟五百餘艘精兵三萬夜出厭坐海口急渡海潜入沙奇海門立壘築城截賊㱕路。	ngày mồng sáu , vua bí mật sai bọn tả du kích tướng quân lê hy cát , hoàng nhân thiêm và bọn tiền phong tướng quân lê thế , trịnh văn sái đem hơn năm trăm chiếc thuyền , ba vạn tinh binh , ban đêm ra cửa áp và cửa toạ vượt biển gấp , bí mật tiến vào cửa biển sa kỳ dựng luỹ đắp thành để ngăn chặn lối về của giặc .
旨傳禁通同外國盗賣銃口。	có chỉ truyền cấm thông đồng với người nước ngoài bán trộm súng .
縣侯十四人黎僃黎皮黎否黎芇黎受黎雷黎可黎培黎可郎黎熾黎犬黎秘黎國楨黎弼。	huyện hầu mười bốn người là : lê bị , lê bì , lê bĩ , lê náo , lê thụ , lê lôi , lê khả , lê bồi , lê khả lang , lê xí , lê khuyển , lê bí , lê quốc trinh , lê bật .
庚午十三年莫崇康五年明隆󰆑四年。	canh ngọ , năm thứ mười ba , ( mạc sùng khang năm thứ năm ; minh long khánh năm thứ bốn ) .
節制鄭松又差阮黄領兵徃勦除收捕。	tiết chế trịnh tùng lại sai nguyễn hoàng đem quân đi tiễu trừ thu bắt .
帝欲鄰國和好乃以帝妃前女封玉華公主嫁之。	vua muốn hoà hảo với nước láng giềng , bèn đem con gái riêng của vợ mình , phong làm ngọc hoa công chúa gả cho .
軍容既整士噐益增。	kỷ luật quân đội đã nghiêm chỉnh , tinh thần binh sĩ càng tăng thêm .
李伍矯義李箇阮貶阮僕阮寬陶六杜記矯紹爲祗侯書家。	lý ngũ , kiểu nghĩa , lý cá , nguyễn biếm , nguyễn bộc , nguyễn khoan , đào lục , đỗ ký , kiểu thiệu làm chi hậu thư gia .
後偽壮王莫敬章國公華國公嚴國公錦國公強國公東國公等俱将兵占㨿海陽地方。	sau bọn nguỵ tráng vương mạc kính chương , thái quốc công , hoa quốc công , nghiên quốc công , cẩm quốc công , cường quốc công , đông quốc công đều chiếm giữ vùng hải dương .
不惟余之宗廟萬世祀享而汝等之祖父亦春秋之血食。	chẳng những tông miếu của ta được muôn đời tế lễ mà ông cha các ngươi cũng được thờ cúng quanh năm .
一臯駢之督属斬數萬賊眾之強况賢於髙駢者乎。	một cao biền đốc suất bộ thuộc mà chém được vài vạn quân giặc mạnh , huống chi lại có người giỏi hơn cao biền nữa ! .
然聖人觀乎天文以察時变觀乎人文以化成天下將不可以儆戒之哉亦安可蓄疑以敗謀哉。	thánh nhân xưa quan sát thiên văn để xét sự đổi thay của thời tiết , xem xét nhân văn để giáo hoá thiên hạ , không thể không cảnh giác đề phòng , nhưng sao lại nên chứa chất ngờ vực để cho hỏng việc ? " .
莫知文奎已投降復有大兵來救乃退守天派江。	họ mạc biết văn khuê đã đầu hàng , lại có đại quân đến cứu , liền lui về giữ sông thiên phái .
淳郡公宏郡公等將兵走脱。	bọn thuần quận công và hoành quận công đem quân chạy thoát .
其所償財命錢收在犯人不得連捉。	còn tiền bồi thường của cải , tính mạng thì thu ở phạm nhân , không được bắt lây người khác .
城中驚乱。	trong thành sợ hãi rối loạn .
朕指揮武節號令神兵。	trẫm chỉ huy cờ võ , hiệu lệnh binh thần .
功臣上相明康仁智武貞䧺畧太王。	công thần thượng tướng minh khang nhân trí vũ trinh hùng lược thái vương .
黎文休曰夫古人所謂瑞者以得贒與豊年外此不足爲瑞也。	lê văn hưu nói : phàm người xưa gọi là điềm lành , là nói việc được người hiền và được mùa , ngoài ra không có gì đáng gọi là điềm lành cả .
甲寅。	ngày giáp dần .
可即禁止之。	khả lập tức sai cấm hẳn .
又令諸軍造浮橋過潭江渡被風波折破二日未成因下令三軍爭渡黄舍江至安决黔皷山駐營。	lại sai các quân làm cầu phao qua bến đò đàm giang , nhưng bị sóng gió phá gãy , hai ngày chưa xong , vì thế mới hạ lệnh cho ba quân tranh thủ qua sông hoàng xá đến núi kiềm cổ ở yên quyết mà đóng dinh .
是日初更天降細武五更大雨滂沱。	hôm ấy , canh một trời mưa nhỏ , đến canh năm mưa to , nước tràn trề .
汝諧倉卒伏地對曰臣以習𭓇誤在此耳。	nhữ hài vội vàng lạy rạp xuống đất tâu : " thần vì mãi học , đi lỡ ra đây " .
定内外任祿制。	định chế độ bổng lộc của các quan cai trị trong ngoài .
秋八月進封太尉西國公鄭柞爲元帥掌國政西定王。	mùa thu , tháng tám , tiến phong thái uý tân quốc công trịnh tạc là nguyên soái chưởng quốc chính tây định vương .
臣又聞古語云蒭蕘之言聖人擇焉。	thần lại nghe cổ ngữ có câu : " lời nói của kẻ cắt cỏ , kiếm củi , thánh nhân cùng cân nhắc lựa dùng " .
上皇大怒即還天長詔百官明日俱至天長府點集違者論罪。	thượng hoàng giận lắm , lập tức trở về thiên trường , xuống chiếu cho các quan ngay ngày mai đều phải tới phủ thiên trường để điểm danh , ai trái lệnh sẽ bị xử tội .
十二月十二日明王通遣步軍過瀘江先發水軍隨後。	tháng mười hai , ngày mười hai , vương thông nhà minh sai quân bộ qua sông lô đi trước , quân thuỷ theo sau .
九月莫敬典率兵回京邑。	tháng chín , mạc kính điển đem quân về kinh ấp .
左相覺謀乃不果。	tả tướng biết được , mưu ấy không thành .
兵行至瀘江攻浮橋尋又奔散爲李彬所敗。	quân đến lô giang , đánh phá được cầu phao , nhưng ít lâu sau , bị lý bân đánh bại , tan tác chạy dài .
俘卒親戚聞之仰德如天地感恩如父母。	họ hàng của quân lính bị bắt nghe thấy thế , đều đội công đức như trời đất , cảm ơn sâu như cha mẹ .
十一月有流星長五丈墮地聲如巨雷。	tháng mười một , có sao băng dài năm trượng sa xuống đất , tiếng kêu như sét đánh .
必多殺士卒傷良將吏寡人之妻孤人之子獨人父母得一亡十朕不忍爲之埜。	tất phải chết nhiều quân lính , hại các tướng lại tài giỏi , làm cho vợ goá chồng , con mồ côi , cha mẹ mất con , được một hại mười , trẫm không nỡ làm thế .
北軍都督府左都督華林伯鄭季述工部右侍郎阮僴吏科都給事中黎嵩海陽承宣參議阮漢廷徃市橋驛。	bắc quân đô đốc phủ tả đô đốc hoa lâm bá trịnh quý thuật , công bộ hữu thị lang nguyễn giản , lại khoa đô cấp sự trung lê tung , hải dương thừa tuyên tham nghị nguyễn hán đình sang trạm thị cầu .
如秦始皇知東南有天子氣數遊以厭之漢髙猶興終不䏻勝也。	ví như tần thuỷ hoàng biết là phương đông nam có vượng khí thiên tử , đã mấy lần xuống phương ấy để trấn áp , mà rút cuộc hán cao vẫn nổi dậy , có trấn áp được đâu .
天下各處百姓服二十七日。	dân chúng các xứ trong nước để tang hai mươi bảy ngày .
黎察等請誅之帝不咱。	bọn lê sát xin giết đi , vua không nghe .
王薦之。	vương tiến cử ông .
十一月丁未帝親征農可來。	tháng mười một , ngày đinh mùi , vua thân đi đánh nông khải lai .
雷震巨石以助之何足為袏也。	thế thì việc sét đánh đá lớn để giúp chẳng có gì là lạ cả .
刁鴞城指揮張麟知府陳耘等出路。	bọn chỉ huy trương lân và tri phủ trần vân ở thành điêu diêu ra hàng .
改都衛府為三司院曰奉宣清肃憲正等院。	đổi đô vệ phủ làm tam ty viện , gồm các viện phụng tuyên , thanh túc , hiến chính .
󰱥今各處考試前項要得職字能文者。	kể từ nay , các xứ khảo thí hạng nói trên , phải lấy người biết chữ , hay văn .
四月己酉朔日蝕天雨。	tháng bốn , ngày kỷ mậu mồng một , nhật thực , trời mưa .
是日莫兵横屍相枕填委满壑血流漂杵。	ngày hôm ấy , quân mạc xác chết gối lên nhau , lấp đầy hào rãnh , máu chảy trôi chày .
後追上尊謚為神皇帝廟號昭宗。	sau được truy dâng thuỵ hiệu là thần hoàng đế , miếu hiệu chiêu tông .
二十九日勑旨凣寫造嘱書文契一體用陸路中紙若一切文字用官樣中紙。	ngày hai mươi chín , ra sắc chỉ rằng : khi làm chúc thư , văn khế , thì nhất loạt dùng thứ giấy lục lô hạng trung , còn hết thảy giấy tờ khác dùng giấy quan hạng trung .
是日右将黄廷愛差属將收捕斬之及徒黨四人俘送營門亦斬之。	hôm ấy , hữu tướng hoàng đình ái sai thuộc tướng đánh bắt được , đem chém , bắt được bốn tên đồ đảng giải đến cửa dinh , cũng chém cả .
又置都督都護都統總𬋩府太守司以轄之。	lại đặt các phủ đô đốc , đô hộ , đô thống , tổng quản và ty thái thú để trông coi .
而吕岱奉吳詔誅徽自廣州將兵畫夜馳入合浦與良俱前誘士王之子中郎將匡與徽説令伏罪雖失郡守保無他憂。	kế đó lữ đại vâng chiếu nước ngô đánh huy , đem quân từ quảng châu , ngày đêm đi gấp đến hợp phố , cùng với lương đều tiến , dụ con của sĩ nhiếp là trung lang tướng khuông bảo huy ra chịu tội , tuy mất chức quận thú , nhưng bảo đảm không có lo ngại gì khác .
黃龍飛自紫宸殿至會龍殿。	rồng vàng bay từ điện tử thần đến điện hội long .
遂收兵屯駐安營依如圖次。	bèn thu quân dừng lại đóng doanh trại theo như trận đồ .
是歲大饑米一升直七十錢。	năm ấy đói to , một thăng gạo giá bảy mươi đồng tiền .
時翰林學士胡宗鷟亦有討閑效顰詩集皆感時作也。	bấy giờ hàn lâm học sĩ hồ tông thốc cũng có tập thơ thảo nhàn hiệu tần thi tập đều là cảm thời thế mà làm cả .
盖上既平占城威振絶域故西方藩國皆奔走先後争來朝貢。	vì vua đã dẹp được chiêm thành , uy thanh chấn động khắp chốn , cho nên các nước phiên thuộc ở phía tây đều lật đật kẻ trước người sau tranh nhau đến cống .
三月帝閲武于永洞。	tháng ba , vua duyệt binh ở vĩnh động .
累世為仇。	truyền kiếp cừu thù .
是時平安王疑登郡公阮啓有異心命内監岳郡公裴仕林械繋之按驗無賍一年乃赦。	bấy giờ , bình an vương ngờ đăng quận công nguyễn khai có bụng khác , sai nội giám nhạc quận công bùi sĩ lâm cùm trói lại , tra xét không có tang chứng , sau một năm thì tha .
㦃大之惡甚矣。	tội ác của sản , đại thực quá lắm .
况陛下春秋方富古今治道未悉周知。	huống chi bệ hạ đương lúc tuổi còn trẻ , chưa biết được mọi đạo trị nước xưa nay .
定邊界。	định biên giới .
夫甲子流年天之運也。	phàm năm này sang năm khác theo can chi là sự chuyển vận của trời .
帝與鄧悉以眾寡不敵南行化。	vua và đặng tất vì quân ít không địch nổi , rút về nam đến hoá .
魯納其子糾是也。	nước lỗ đưa công tử củ về là thế .
造衮陽砲令諸将照樣爲之。	chế súng cổn dương , ra lệnh cho các tướng theo kiểu đó mà làm .
庚子五年宋淳熙七年。	canh tý , năm thứ năm , ( tống thuần hy năm thứ bảy ) .
十九日明人攻慈廉排沙堆。	ngày mười chín , quân minh đánh vào bài sa đôi , huyện từ liêm .
時汝諧𬋩神武神策兼乂安經畧大使而哀牢侵南戎乃乂安之属邑故以汝諧為督将諸軍皆受節制。	bấy giờ nhữ hài chỉ huy quân thần vũ và thần sách , kiêm chức kinh lược đại sứ nghệ an , mà ai lao xâm lấn đất nam nhung là thuộc ấp của nghệ an , cho nên lấy nhữ hài làm đốc tướng , các quân đều chịu sự chỉ huy của ông .
旨揮内密官内密女内人宮婢等今後見有詔旨及宫内諸事不得先私𭁈外人及妻子親戚漏泄。	ra sắc chỉ cho các quan ở nội mật , đàn bà ở nội mật và các cung tỳ , nội nhân rằng : từ nay về sau , nếu thấy chiếu chỉ và các việc cung thì không được lén lút tiết lộ ra trước cho người ngoài và con thân thích .
󰱑官同亨𤼵白太尉可曰此滛風惡俗不可坐瀆駕前。	đài quan đồng hanh phát bẩm với thái uý khả rằng : " đấy là thói dâm tục xấu , không để nhảm nhí trước xa giá " .
吳氏既亡十二使君乘時蜂起吳日慶㨿唐林李朗公㨿超類矯順㨿洄湖吳南帝㨿夜澤阮超㨿扶烈范防遏㨿藤州。	ngô thị kí vong , thập nhị sứ quân thừa thời phong khởi : ngô nhật khánh cứ đường lâm , lí lãng công cứ siêu loại , kiểu thuận cứ hồi hồ , ngô nam đế cứ dạ trạch , nguyễn siêu cứ phù liệt , phạm phòng át cứ đằng châu .
乂安鎮為臨安鎮。	trấn nghệ an thành trấn lâm an .
路置安撫使副。	lộ đặt chức an phủ sứ và an phủ phó sứ .
朝堂等官請進封王世子西國公鄭柞王爵以合傳家盛典。	các quan triều đường xin tiến phong tước vương cho thế tử của vương là tây quận công trịnh tạc để hợp với thịnh điển nếp nhà .
帝捧香爐禱天󰍶忽香爐倒于地上。	vua bưng lư hương khấn trời xong , bỗng lư hương rơi xuống đất .
令收天下各處大集錢以充國用。	sai thu tiền đại tập của các xứ trong nước để dùng vào việc nước .
一文呈憑祥縣知縣李廣寧監執差人黄世恭。	một tờ trình về việc tri huyện bằng tường lý quãng ninh bắt giữ người của ta sai đi là hoàng thế cung .
是歲饑疫人民不得耕種死者相󰥺。	năm ấy đói và dịch bệnh , nhân dân không cày cấy được , người chết gối lên nhau .
嘗定戶口國母私求一丁為勾當。	có lần duyệt định số hộ khẩu , quốc mẫu xin riêng cho một người làm câu đương .
莫敬用自率子弟逼之。	mạc kính dụng tự đem con em đến bức .
上皇自将號令嚴明威聲遠震哀牢聞之奔潰。	thượng hoàng đích thân chỉ huy , hiệu lệnh nghiêm minh , uy thanh vang dội , ai lao nghe tiếng chạy tan .
上智字著服侯四人黎克復黎鞋等。	thượng trí tự trước phục hầu bốn người là bọn lê khắc phục , lê hài .
偽福王高國公並名缺等率眾奪擊殺會郡公于陣。	bọn nguỵ phúc vương và cao quốc công ( đều không rõ tên ) đem quân đến đánh cướp , giết hội quận công tại trận .
令國人有父母妻子兄弟奴婢親戚從賊在城許自願登城城破即領回家。	hạ lệnh cho người trong nước , ai có cha mẹ , vợ con , anh em , nô tì , thân thích theo giặc ở trong thành cho tự nguyện lên thành , khi phá được thành sẽ cho nhận đem về .
或請緩師上皇曰去年親征不果。	có người xin hoãn việc xuất quân . thượng hoàng nói : " năm ngoái định thân chinh rồi không được .
節制鄭松造作两輪車飾以珠寳象牙為之車上用篷漆車傍刻象牙檻四壁黒漆以金貼之。	tiết chế trịnh tùng cho đóng xe hai bánh , trang sức bằng ngọc ngà , trên xe làm mui sơn , hai bên xe khắc lan can bằng ngà , bốn vách sơn then , thếp vàng .
以弱制強或攻人之不僃。	lấy yếu chống mạnh , thường đánh bất ngờ .
建孔子廟。	dựng miếu khổng tử .
官軍與元人交戰于𬺍子關諸軍󰦭在。	quan quân giao chiến với quân nguyên ở hàm tử quan . các quân đều có mặt .
宰臣如黎寵黎察不辨畜掌兵如黎顛黎練不明四時。	tể thần như lê sủng , lê sát thì ngu si không phân biệt sáu loại súc vật , chưởng binh lê điên , lê luyện , thì mù tịt , chẳng sao hiểu được bốn mùa một năm .
二十八日黎柄阮天錫奉北使回奏稱副使藩寧行人阮吉甫及從人等七人遇大疫死明國有吊祭。	ngày hai mươi tám , lê bính và nguyễn thiên tích vâng mệnh đi sứ phương bắc trở về , tâu là phó sứ phan ninh , hành nhân nguyễn cát phú và người đi theo , gồm bảy người bị bệnh dịch chết , nước minh đều có điếu tế .
二月七日方政潜軍襲擊於慈廉杲洞篆力戦死之秘爲賊所獲後賊還國禮遣秘歸。	tháng hai , ngày mồng bảy , phương chính ngầm đem quân đánh úp cảo động , huyện từ liêm , triện có sức đánh lại , bị tử trận , bí bị giặc bắt sống . ( sau giặc về nước , lấy lễ trả bí về ) .
帝訓練将士繕修噐械。	vua huấn luyện tướng sĩ , sửa chữa chữa vũ khí .
攅造户籍。	làm sổ hộ tịch .
常請道士行安鎮法道士就位仲子皆行之而髙公不一開口。	thường mời đạo sĩ làm phép trấn yểm , đạo sĩ vào chỗ ngồi , nhưng mọi việc đều do trọng tử làm cả , mà đạo sĩ thì không phải nói một lời nào .
富良以計就之使妻迎降首服曰大王權重兵勢且大追隨奔走之人更多武勇。	phú lương dùng mẹo đánh lừa , sai vợ con ra đón hàng , thú tội rằng : " đại vương quyền cao , binh thế lớn , những người theo hầu phục dịch lại gan dạ oai hùng .
帝斥逐皇宗功臣回清華地方并殺女史内臣占人。	vua xua đuổi người tông thất và công thần về xứ thanh hoa và giết các nữ sử nội thần người chiêm .
上問曰熟米可十年抒乎。	vua hỏi chất : " gạo nấu chín có thể để tới mười năm không ? " .
以鄭公吳為户部上書。	lấy trịnh công ngô làm hộ bộ thượng thư .
