孔子生鲁昌平乡陬邑。	Khổng tử sinh ở ấp Trâu, hương Xương Bình, nước Lỗ.
曰：“无有。”“王之官尹有如宰予者乎？”曰：“无 有。”“且楚之祖封於周，号为子男五十里。今孔丘述三五之法，明 周召之业，王若用之，则楚安得世世堂堂方数千里乎？	Nay Khổng Khâu thuật lại khuôn phép của Tam vương Ngũ đế, làm sáng sự nghiệp của Chu Công, Thiệu công, nếu nhà vua trọng dụng ông ta, nước Sở sao có thể đời đời đường hoàng có mấy nghìn dặm đất nữa?
夫文王在丰， 武王在镐，百里之君卒王天下。	Xét lẽ, Văn vương ở ấp Phong, Vũ vương ở ấp Cảo, làm vua trăm dặm đất rốt cuộc xưng vương thiên hạ.
今孔丘得据土壤，贤弟子为佐，非楚 之福也。”昭王乃止。	Nay Khổng Khâu được phong đất, có học trò hiền năng phò tá, đó không phải phúc của Sở vậy.” Chiêu vương bèn thôi.
其秋，楚昭王卒于城父。	Mùa thu năm ấy, Sở Chiêu vương chết ở Thành Phủ.
楚狂接舆歌而过孔子， 曰：“凤兮凤兮，何德之衰！	Người cuồng ở nước Sở là Tiếp Dư đi qua trước xe Khổng tử, hát rằng: “Phượng chừ, phượng chừ, Sao đức mày suy!
往者不可谏兮， 来者犹可追也！	Việc qua ngăn không được chừ, Việc tới có thể truy cầu.
已而已而，今之从政者殆 而！”	Thôi đi, thôi đi, Người làm chính sự ngày nay thật là nguy!” Khổng tử xuống xe, muốn cùng nói chuyện.
孔子下，欲与之言。趋 而去，弗得与之言。	Tiếp Dư rảo bước rồi đi mất, Khổng tử không thể nói chuyện cùng.
於是孔子自楚反乎卫。	Thế rồi Khổng tử từ nước Sở trở lại nước Vệ.
是岁也，孔子年六十三，而鲁哀公六年 也。	Vào năm này, Khổng tử sáu mươi ba tuổi, là năm Lỗ Ai công thứ sáu.
其明年，吴与鲁会缯，徵百牢。	Năm sau đó, nước Ngô và nước Lễ hội kiến ở đất Tăng, [đòi nước Lỗ] cung ứng cỗ Bách lao.
太宰嚭召季康子。	Thái tể [nước Ngô] là Phỉ triệu vời Quý Khang tử.
康子使子贡往，然後得已。	Quý Khang tử sai Tử Cống đến [thuyết phục], sau đó mọi việc mới xử lý xong.
孔子曰：“鲁卫之政，兄弟也。”是时，卫君辄父不得立，在 外，诸侯数以为让。	Khổng tử nói: “Chính sự nước Lỗ và nước Vệ, như anh với em vậy.” Bấy giờ, cha của Vệ quân Triếp không được kế vị, đang ở nước ngoài, chư hầu nhiều lần chỉ trích việc đó.
而孔子弟子多仕於卫，卫君欲得孔子为政。	Còn học trò Khổng tử nhiều người làm quan ở Vệ, vua Vệ muốn Khổng tử tham chính ở Vệ.
子路 曰：“卫君待子而为政，子将奚先？”孔子曰：“必也正名乎！”子路 曰：“有是哉，子之迂也！	Tử Lộ hỏi: “Vua Vệ giao chính sự cho thầy, thầy sẽ làm gì trước?” Khổng tử nói: “Nhất định là chính danh rồi!” Tử Lộ nói: “Nếu làm thế, thầy thực viển vông quá!
何其正也？”孔子曰：“野哉由也！	Sao lại phải chính danh?” Khổng tử đáp: “Trò Do quê mùa quá!
夫名不正则言不顺，言不顺则事不成，事不成则礼乐不兴，礼 乐不兴则刑罚不中， 刑罚不中则民无所错手足矣。	Xét lẽ, danh không chính thì lời nói không thuận, lời nói không thuận thì việc không thành, việc không thành thì lễ nhạc không hưng khởi, lễ nhạc không hưng khởi thì hình phạt không đúng, hình phạt không đúng thì dân không biết đặt tay đặt chân vào đâu.
夫君子为之必可名，言 之必可行。	Phàm quân tử làm việc gì nhất định phải gọi tên ra được, lời nói nhất định phải được thi hành.
君子於其言，无所苟而已矣。”其明年，厓有为季氏将师，与齐战於郎，克之。	Quân tử đối với lời nói của mình không thể nào cẩu thả được.” Năm sau, Nhiễm Hữu làm tướng cầm quân cho họ Quý, giao chiến với Tề ở ấp Lang, đánh thắng quân Tề.
季康子曰：“子之於军旅，学之乎？性之乎？”厓有曰：“学 之於孔子。”季康子曰：“孔子何如人哉？”对曰：“用之有名；播 之百姓，质诸鬼神而无憾。	Quý Khang tử hỏi: “Ông học cầm quân từ ai vậy?
求之至於此道，虽累千社，夫子不利 也。”康子曰：“我欲召之，可乎？”对曰：“欲召之，则毋以小人 固之，则可矣。”而卫孔文子将攻太 叔，问策於仲尼。	Hay là bản tính vốn thế?” Nhiễm Hữu đáp: “Tôi học ở thầy Khổng tử.” Quý Khang tử hỏi: “Khổng tử là người thế nào?” Đáp rằng: “Dùng ông thì có danh; thực hiện chủ trương của ông với trăm họ, hỏi xét ở quỷ thần thì không có gì phải băn khoăn, những mong đạt đến đạo, bằng không, dẫu có được thưởng nghìn xã, phu tử tôi cũng không cho là có lợi.” Khang tử hỏi: “Ta muốn triệu ông ấy, có được không?” Đáp rằng: “Muốn triệu phu tử tôi thì không được để bị ngăn trở bởi cách nghĩ của tiểu nhân, như thế mới được.” Khổng Văn tử ở Vệ định đánh Thái Thúc, hỏi Trọng Ni về kế sách.
仲尼辞不知，退而命载而行， 曰：“鸟能择木，木岂能择鸟乎！”文子固止。	Trọng Ni chối rằng mình không biết, lui về rồi sai chở xe ra đi, nói: “Chim có thể chọn cây, cây há có thể chọn được chim ư?” Văn tử cố giữ Khổng tử.
会季康子逐公华、公宾、公林，以币迎孔子，孔 子归鲁。	Đúng lúc Quý Khang tử sai Công Hoa, Công Tân, Công Lâm mang lễ vật đến nghinh đón Khổng tử, Khổng tử trở về Lỗ.
孔子之去鲁凡十四岁而反乎鲁。	Khổng tử rời nước Lỗ cả thảy mười bốn năm mới trở về.
鲁哀公问政，对曰：“政在选臣。”季康子问政，曰：“举直错 诸枉， 则枉者直。”康子患盗，孔子曰：“苟子 之不欲，虽赏之不窃。”然鲁终不能用孔子，孔子亦不求仕。	Lỗ Ai công hỏi về chính trị, Khổng tử nói: “Chính trị cốt ở chỗ chọn lựa bề tôi.” Quý Khang tử hỏi về chính trị, [Khổng tử] đáp rằng: “Cất nhắc người ngay thẳng, bãi truất kẻ cong vạy thì kẻ cong vạy cũng sẽ thành ngay thẳng.” Khang tử lo lắng về trộm cướp, Khổng tử nói: “Nếu ngài không ham muốn, dẫu thưởng họ cũng không dám trộm.” Nhưng rốt cuộc nước Lỗ không thể trọng dụng Khổng tử, Khổng tử cũng không cầu làm quan.
孔子之时，周室微而礼乐废，诗书缺。	Thời Khổng tử, nhà Chu suy vi còn lễ nhạc bị phế bỏ, Thi Thư tàn khuyết.
追迹三代之礼，序书传， 上纪唐虞之际，下至秦缪，编次其事。	[Khổng tử] truy về lễ thời Tam đại, sắp xếp thứ tự Thư truyện, trên chép từ thời Đường Ngu, dưới xuống đến Tần Mục công, biên chép thứ tự các việc.
曰：“夏礼吾能言之，杞不足 徵也。	[Khổng tử] nói: “Ta có thể nói về lễ nhà Hạ, nhưng nước Kỷ không đủ để minh chứng vậy.
殷礼吾能言之，宋不足徵也。	Ta có thể nói về lễ nhà Ân, nhưng nước Tống không đủ để minh chứng vậy.
足，则吾能徵 之矣。”观殷夏所损益，曰：“後虽百世可知也， 以一文一质。	Nếu đủ, thì ta có thể minh chứng về lễ của các nước đó.” Xem chỗ thêm bớt của nhà Ân nhà Hạ, nói: “Về sau, dẫu trăm đời cũng có thể biết, một đời chuộng văn hoa, một đời chuộng thực chất.
周监二代， 郁郁乎文哉。	Nhà Chu châm chước lễ của hai triều Ân và Hạ, văn vẻ rạng rỡ thay.
吾从周。”故书传、礼记自孔氏。	Ta theo nhà Chu.” Cho nên các sách Thư truyện, Lễ ký là từ họ Khổng.
孔子语鲁大师：“乐其可知也。	Khổng tử nói với quan Thái sư nước Lỗ: “[Nói về] nhạc, tôi có thể biết vậy.
始作翕如， 纵之纯如， 皦如，绎如也， 以成。”“吾自卫反鲁，然後乐正，雅颂各得其所。”古者诗三千馀篇，及至孔子，去其重， 取可施於礼义，上采契后稷，中述殷周之盛，至幽厉之缺，始於 衽席，故曰“关雎之乱以为风始， 鹿鸣为小雅 始， 文王为大雅始， 清庙为颂始”。三百五篇孔子皆弦歌之，以求合韶武雅颂之音。	Đầu tiên phải phối hợp với nhau, kế đó cao thấp hài hòa, tiết tấu sáng rõ, liên tục không dứt, như thế mới thành khúc nhạc.” “Tôi từ Vệ trở về Lỗ, sau đó nhạc được chính đáng trở lại, Nhã và Tụng thảy đều được thỏa đáng.” Thi thời cổ gồm hơn ba nghìn thiên, đến Khổng tử, bỏ các thiên trùng lặp, chọn những thiên có thể dùng để thi hành lễ nghĩa, trên chọn các thiên nói về ông Tiết và Hậu Tắc, giữa lựa các thiên thuật lại sự hưng thịnh của triều Ân triều Chu, đến các bài nói về sự suy tàn của Chu U vương, Chu Lệ vương, khởi đầu từ chỗ giường chiếu, cho nên nói: “Thiên Quan thư mở đầu phần Phong, thiên Lộc minh mở đầu phần Tiểu nhã, thiên 'Văn vương' mở đầu phần Đại nhã, thiên Thanh miếu mở đầu phần Tụng.” Ba trăm lẻ năm thiên đều được Khổng tử đánh đàn và hát, để mong phối hợp được với thanh âm của nhạc Thiều, Vũ, Nhã, Tụng.
礼乐自此可得 而述，以备王道，成六艺。	Lễ nhạc từ đó được xưng thuật, khiến đạo của tiên vương được đầy đủ, trọn vẹn được Lục nghệ.
孔子晚而喜易，序 彖、 系、 象、 说 卦、文言。	Đến khi tuổi đã cao, Khổng tử thích Kinh Dịch, viết tựa cho các phần Thoán, Hệ, Tượng, Thuyết quái, Văn ngôn.
读易，韦编三绝。曰：“假我数年，若是，我於易则彬彬矣。”孔子以诗书礼乐教，弟子盖三千焉，身通六艺者七十有二人。	[Khổng tử] đọc Kinh Dịch khiến dây da buộc các thẻ sách bị đứt ba lần, nói: “Ví phỏng ta có thêm mấy năm, cứ như thế này, ta có thể nắm được trọn vẹn về Dịch.” Khổng tử đem Thi, Thư, Lễ, Nhạc để dạy học, đại để học trò có ba nghìn người, [trong đó có] bảy mươi hai người tinh thông Lục nghệ.
如 颜浊邹之徒，颇受业者 甚众。	Còn những học trò như Nhan Trạc Trâu, thì rất nhiều.
孔子以四教：文，行，忠，信。	Khổng tử dạy bốn phương diện: văn (học vấn), hạnh (đức hạnh), trung (trung thành), tín (tín nghĩa).
绝四：毋意，毋必， 毋固， 毋我。	Bỏ bốn điều: không định kiến, không võ đoán, không cố chấp, không tự thị.
所慎：齐，战，疾。	[Khổng tử] thận trọng các việc: trai giới, chiến tranh, bệnh tật.
子罕言利与命与仁。	Khổng tử ít nói về lợi, mệnh số và đức nhân.
不愤不启，举一隅不以三隅反，则弗复也。	[Học trò] không bức bối [vì muốn được hiểu biết thì Khổng tử] không gợi mở, [như vật có bốn góc], nêu một góc mà không tự suy được ra ba góc còn lại thì không giảng lại nữa.
其於乡党，恂恂 似不能言者。	[Khổng tử] ở làng xóm thì khiêm cung thành thực, tựa như người không thể nói năng gì được.
其於宗庙朝廷，辩辩 言，唯谨尔。	Lúc ở tông miếu triều đình thì biện bác rõ ràng, nhưng rất cẩn trọng.
朝，与上大夫言， 訚訚如也；与下大夫言，侃侃如也。	Ở trong triều, khi nói với các quan thượng đại phu thì ôn tồn trung chính, nói với các quan đại phu cấp dưới thì vui vẻ hòa nhã.
入公门，鞠躬如也；趋进，翼如也。	Khi vào trong cung thì khom mình, rảo bước mà vào, tay dang như cánh chim.
君召使儐，色勃如也。	Nhà vua triệu đến để tiếp đón tân khách thì sắc mặt chợt thay đổi sang trang trọng.
君命召，不俟驾行矣。	Nhà vua hạ lệnh triệu kiến thì không đợi đóng xe, vội vã đi ngay.
鱼馁，肉败，割不正，不食。	Cá ươn, thịt ôi, hay cắt không ngay ngắn thì không ăn.
席不 正，不坐。	Chiếu trải không ngay ngắn thì không ngồi.
食於有丧者之侧，未尝饱也。	Ăn ở bên nhà người có tang thì chưa từng ăn no.
是日哭，则不歌。	Ngày nào khóc thì không ca hát.
见齐衰、瞽者，虽童子必变。	Thấy người để tang hay người mù thì dù là trẻ con cũng nhất định thay đổi sắc mặt [tỏ vẻ đồng cảm].
“三人行，必得我师。”“德之不脩，学之不讲，闻义不能 徙，不善不能改，是吾忧也。”使人歌，善，则使复之，然后和之。	[Khổng tử nói]: “Ba người cùng đi, nhất định có thầy ta [trong đó].” “Không tu dưỡng đạo đức, không giảng học, nghe điều nghĩa không thể làm theo, có điều bất thiện không thể sửa đổi, đó là những điều ta lấy làm lo vậy.” Sai người khác hát, [người đó hát] hay thì sai hát lại, sau đó họa theo.
子不语：怪，力，乱，神。	Khổng tử không nói về các việc: quái dị, bạo lực, làm loạn, quỷ thần.
子贡曰：“夫子之文章，可得闻也。	Tử Cống nói: “Văn chương của phu tử thì đã được nghe.
夫子言天道与性命，弗可得闻也 已。”颜渊喟然叹曰：“仰之弥高，钻之弥坚。	Nhưng chưa được nghe phu tử nói về đạo trời và tính mệnh.” Nhan Uyên ngùi ngùi tán thán: “Ngẩng trông lên càng thấy cao, dùi vào lại càng bền chắc.
瞻之在前，忽焉在後。	Nhìn thấy ở trước, thoắt lại ở sau.
夫子循循然善诱人， 博我以文，约我以礼，欲罢不 能。	Phu tử theo từng bước tuần tự, khéo dẫn dụ người, dùng văn mở rộng cho ta, dùng lễ để ước thúc ta, muốn bỏ cũng không thể được.
既竭我才，如有所立，卓尔。虽欲从之，蔑由也已。”达巷党人曰：“大哉孔子，博学而无所成名。”子闻之曰：“我何执？	Đã dốc kiệt tài năng của mình [để học], như đã có thu hoạch, nhưng vẫn thấy sừng sững, dẫu có muốn noi theo phu tử cũng không sao đạt đến được.” Có người [đứa trẻ] trong làng Đạt Hạng nói: “Lớn thay Khổng tử, học rộng mà không có chỗ nào thành danh.” Khổng tử nghe vậy nói: “Ta chuyên chú vào việc gì?
执御乎？执射乎？	Chuyên chú việc đánh xe chăng, việc bắn cung chăng?
我执御矣。”牢曰：“子 云‘不试，故艺’。”	Ta chuyên chú vào việc đánh xe thôi.” [Học trò là] Lao nói: “Thầy có nói 'không được trọng dụng, cho nên chú tâm vào Lục nghệ'.
鲁哀公十四年春，狩大野。	” Mùa xuân năm Lỗ Ai công thứ mười bốn, đi săn ở Đại Dã.
叔孙氏车子鉏商获兽， 以为不祥。	Người đánh xe của họ Thúc Tôn là Sự Thương bắt được con thú, cho là điềm chẳng lành.
仲尼视之，曰：“麟也。”取之。	Trọng Ni xem con thú đó, nói: “Đây là con lân.” [Sừ Thương] mang lân đi.
曰：“河不出图，雒不出书，吾已 矣夫！”颜渊死，孔子曰：“天丧予！”及西 狩见麟，曰：“吾道穷矣！”喟然叹曰：“莫知我 夫！”	[Khổng tử] nói: “Sông Hoàng Hà không xuất hiện Hà đồ, sông Lạc không xuất hiện Lạc thư, ta thế là thôi rồi!” Nhan Uyên chết, Khổng tử nói: “Trời giết ta rồi!” Đến khi đi săn ở phía tây trông thấy con lân, [Khổng tử] nói: “Đạo ta cùng rồi!” Rồi bùi ngùi than rằng: “Chẳng ai biết đến ta!” Tử Cống hỏi: “Vì sao không ai biết đến thầy?” Khổng tử nói: “Không oán trời, không trách người, học cái thấp mà biết cái cao xa, biết ta có lẽ chỉ có trời thôi!” [Khổng tử nói]: “Không hạ thấp chí mình, không làm nhục thân mình, là Bá Di và Thúc Tề chăng?” Lại bảo: “Liễu Hạ Huệ và Thiếu Liên hạ thấp chí, làm nhục thân vậy.” Lại bảo: “Ngu Trọng, Di Dật ẩn cư, không bàn chuyện đời, lúc làm quan giữ đúng sự thuần khiết, khi bị phế thì hợp với sự quyền biến.” “Ta khác với các trường hợp đó, không thể mà không gì không thể.” Khổng tử nói: “Không thể, không thể, người quân tử hận vì chết đi mà tên tuổi không được xưng tụng.
子贡曰：“何为莫知子？”子曰：“不怨天，不尤人， 下学而上达， 知我者其天乎！”	Đạo của ta không thể thi hành, ta biết lấy gì để lại cho đời sau đây?” Bèn nhân đó ghi chép sử làm ra sách Xuân thu, trên chép từ đời Lỗ Ẩn công, dưới chép đến năm Lỗ Ai công thứ mười bốn, gồm mười hai đời vua.
“不降其志，不辱其身，伯夷、叔齐乎！”谓“柳下惠、少连降志辱身矣”。谓“虞仲、 夷逸隐居放言，行中清， 废中权”。“我则异於是，无可无不可。”	Dựa vào sử liệu nước Lỗ, coi nhà Chu là tông chủ, theo khuôn mẫu cũ nhà Ân, vận dụng theo khuôn phép thời Tam đại.
子曰：“弗乎弗乎，君子病没世而名不称焉。吾道不行矣，吾何 以自见於後世哉？”乃因史记作春秋，上至隐公，下讫哀公十四年， 十二公。据鲁，亲周， 故殷，运之三代。约其文辞而指博。	Văn từ ngắn gọn mà ý chỉ rộng lớn.
故吴楚之君自 称王，而春秋贬之曰“子”；践土之会实召周天子，而春秋讳之 曰“天王狩於河阳”：推此类以绳当世。	Cho nên vua các nước Ngô, Sở tự xưng là “Vương”, nhưng sách Xuân thu chê trách họ, ghi là “Tử”; cuộc hội minh ở Tiễn Thổ thực ra là triệu thiên tử nhà Chu đến, nhưng sách Xuân thu tránh việc đó nên viết là “Thiên tử đi tuần thú ở Hà Dương”. Suy từ các việc tương tự làm khuôn phép cho đương thời.
贬损之义，後有王者举而开 之。	Ý nghĩa những lời chê trách, nhằm khiến các bậc vương giả đời sau nêu tỏ và mở rộng thêm ra.
春秋之义行，则天下乱臣贼子惧焉。	Nghĩa lý sách Xuân thu được thi hành, thì bọn loạn thần tặc tử trong thiên hạ phải kinh sợ.
孔子在位听讼，文辞有可与人共者，弗独有也。	Khi Khổng tử đương chức xử lý việc ngục tụng, các văn từ xử án đều châm chước theo ý chung của mọi người, không phải phán quyết theo ý riêng.
至於为春秋，笔 则笔，削则削，子夏之徒不能赞一辞。	Đến khi làm sách Xuân thu, chỗ đáng viết thì viết, chỗ đáng bỏ thì bỏ, học trò như bọn Tử Hạ cũng không thể thêm bớt dù chỉ một lời.
弟子受春秋，孔子曰：“後世 知丘者以春秋，而罪丘者亦以春秋。”明岁，子路死於卫。	Học trò học sách Xuân thu, Khổng tử nói: “Đời sau biết đến Khâu này là nhờ Xuân thu, mà bắt tội Khâu cũng vì Xuân thu.” Năm sau, Tử Lộ chết ở nước Vệ.
孔子病，子贡请见。	Khổng tử ốm, Tử Cống xin gặp.
孔子方负杖逍遥於门， 曰：“赐，汝来何其晚也？”孔子因叹，歌曰：“太山坏乎！	Khổng tử đang chống gậy đi dạo ngoài cổng, nói: “Trò Tứ, sao con đến muộn thế?” Khổng tử nhân đó than thở, hát rằng: “Thái Sơn lở chăng!
梁柱摧乎！	Cột nhà gãy chăng!
哲人萎乎！”因以涕下。	Triết nhân héo chăng!” Nhân đó rơi nước mắt.
谓子贡曰：“天下无道久矣，莫能宗 予。	Khổng tử bảo Tử Cống rằng: “Thiên hạ vô đạo lâu rồi, không ai có thể theo ta.
夏人殡於东阶，周人於西阶，殷 人两柱间。	Người nhà Hạ quàn quan tài ở bậc thềm phía đông, người nhà Chu đặt ở bậc thềm phía tây, người nhà Ân đặt giữa hai cây cột.
昨暮予梦坐奠两柱之间，予始殷人也。”後七日卒。	Tối qua, ta mơ thấy mình ngồi giữa hai cây cột, ta vốn là người nhà Ân vậy.” Bảy hôm sau thì chết.
孔子年七十三，以鲁哀公十六年四月己丑卒。	Khổng tử thọ bảy mươi ba tuổi, chết vào ngày Kỷ Sửu, tháng Tư năm Lỗ Ai công thứ mười sáu.
哀公诔之曰：“旻天不吊，不玦遗一老， 俾屏余一人以在位，茕茕余在疚。呜呼哀哉！	Ai công có lời điếu viếng rằng: “Trời cao chẳng thương, không chịu để lại một người già cả, khiến một mình ta trên ngôi, trơ trọi buồn lo, than ôi đau đớn thay!
尼父，毋自律！”子贡曰：“君其不 没於鲁乎！	Ông Trọng Ni, [ta] không còn tự noi theo khuôn phép của ông nữa rồi!” Tử Cống nói: “Nhà vua không chết ở nước Lỗ ư?
夫子之言曰：‘礼失则昏，名失则愆。	Phu tử từng nói rằng: 'Sai lễ tiết thì tối tăm, sai danh phận thì lỗi lầm.
失志为昏，失所为 愆。’	Mất đi chí hướng thì tối tăm, mất điều phù hợp thì lỗi lầm.'
生不能用，死而诔之，非礼也。	Khi sống không thể trọng dụng, chết rồi lại thương xót, đó là phi lễ vậy.
称‘余一人’，非名 也。”孔子葬鲁城北泗上， 弟子皆服 三年。	Xưng là 'một mình ta', là không hợp với danh phận.” Khổng tử được an táng ở phía trên sông Tứ, phía bắc kinh thành nước Lỗ, học trò đều để tang ba năm.
三年心丧毕，相诀而去，则哭，各复 尽哀；或复留。	Để tang ba năm xong, cùng chia tay nhau đi, đều khóc, ai nấy đều vô cùng đau đớn; có người lưu lại.
唯子赣庐於冢上， 凡六年，然後 去。	Chỉ có Tử Cống dựng nhà tranh ở bên mộ, cả thảy sáu năm, rồi sau mới đi.
弟子及鲁人往从冢而家者百有馀室，因命曰孔里。	Các học trò cho đến người nước Lỗ đến bên mộ rồi làm nhà ở đấy có tới trên trăm nhà, nhân đó gọi là Làng Khổng (Khổng lý).
鲁世世相传以 岁时奉祠孔子冢，而诸儒亦讲礼乡饮大射於孔子冢。	Nước Lỗ đời đời truyền nhau, theo các mùa trong năm phụng thờ tế tự mộ Khổng tử, còn các nhà nho cũng giảng lễ hương ẩm và đại xạ bên cạnh mộ Khổng tử.
孔子冢大一顷。	Mộ Khổng tử to một khoảnh.
故所居堂弟子内，後世因庙藏孔子衣冠琴车书， 至于汉二百 馀年不绝。	Nhà cũ và chỗ ở của đệ tử, đời sau nhân đó dựng làm miếu thờ, cất giữ áo mũ, đàn, xe, sách của Khổng tử, đến thời Hán, trải hơn hai trăm năm không dứt.
高皇帝过鲁，以太牢祠焉。	Hoàng đế Cao tổ qua nước Lỗ, dùng cỗ Thái lao để tế.
诸侯卿相至，常先谒然後从 政。	Các chư hầu, khanh, tướng đến đây, thường bái yết trước, sau đó mới xử lý chính sự.
孔子生鲤，字伯鱼。	Khổng tử sinh ra Lý, tự là Bá Ngư.
伯鱼年五十，先孔子死。	Bá Ngư thọ năm mươi tuổi, chết trước Khổng tử.
伯鱼生伋，字子思，年六十二。	Bá Ngư sinh ra Cấp, tự là Tử Tư, thọ sáu mươi hai tuổi.
尝困於宋。子思作中庸。	[Tử Tư] từng bị nguy khốn ở nước Tống, làm sách Trung dung.
子思生白，字子上，年四十七。	Tử Tư sinh ra Bạch, tự là Tử Thượng, thọ bốn mươi bảy tuổi.
子上生求，字子家，年四十五。子家生箕，字子京，年四十六。子京生穿，字子高，年五十一。	Tử Thượng sinh ra Cầu, tự là Tử Gia, thọ bốn mươi lăm tuổi. Tử Gia sinh ra Cơ, tự là Tử Kinh, thọ bốn mươi sáu tuổi. Tử Kinh sinh ra Xuyên, tự là Tử Cao, thọ năm mươi mốt tuổi.
子高 生子慎，年五十七，尝为魏相。	Tử Cao sinh ra Tử Thận, thọ năm mươi bảy tuổi, từng làm Tướng quốc nước Ngụy.
子慎生鲋，年五十七，为陈王涉博士，死於陈下。	Tử Thận sinh ra Phụ, thọ năm mươi bảy tuổi, làm quan Bác sĩ cho Trần vương là Thiệp, chết ở đất Trần.
鲋弟子襄，年五十七。尝为孝惠皇帝博士，迁为长沙太守。长九 尺六寸。	Em trai Phụ là Tử Tương, thọ năm mươi bảy tuổi, từng làm quan Bác sĩ cho Hiếu Huệ Hoàng đế, thăng làm Thái thú Trường Sa, mình cao chín thước sáu tấc.
子襄生忠，年五十七。	Tử Tương sinh ra Trung, thọ năm mươi bảy tuổi.
忠生武，武生延年及安国。	Trung sinh ra Vũ, Vũ sinh ra Diên Niên và An Quốc.
安国为今皇帝 博士，至临淮太守，蚤卒。	An Quốc làm quan Bác sĩ cho đương kim Hoàng đế, làm quan đến chức Thái thú Lâm Hoài, mất sớm.
安国生卬，卬生驩。	An Quốc sinh ra Ngang, Ngang sinh ra Hoan.
太史公曰：诗有之：“高山仰止，景行行止。”	Thái sử công bàn rằng: Kinh Thi có câu: “Ngẩng trông núi cao, đi theo đường lớn”.
虽不能至，然心 乡往之。	Tuy không thể đến tận nơi nhưng trong lòng hướng theo.
余读孔氏书，想见其为人。	Ta đọc sách của họ Khổng, ngỡ như được thấy người.
適鲁，观仲尼庙堂车服礼器，诸 生以时习礼其家，余祗回留之不能去云。	Đến nước Lỗ, xem miếu đường, xe cộ, trang phục, đồ tế lễ của Trọng Ni, học trò theo thời tập luyện lễ nghi tại nhà của ông, ta kính cẩn lưu luyến không sao rời bước.
天下君王至于贤人众矣，当时则 荣，没则已焉。	Trong thiên hạ, bậc quân vương đến hiền nhân rất đông, đương thời thì vinh hiển, chết đi là hết.
孔子布衣，传十馀世，学者宗之。自天子王侯，中国 言六艺者折中於夫子， 可谓至圣矣！孔子之胄，出于商国。弗父能让，正考铭勒。防叔来奔， 邹人掎足。	Khổng tử là người áo vải, truyền hơn mười đời, người học tôn thờ như bậc tông sư.
尼丘诞圣，阙里生德。七十升堂，四方取则。卯诛两观， 摄相夹谷。歌凤遽衰，泣麟何促！九流仰镜，万古钦躅。	Từ thiên tử đến vương hầu, người ở Trung nguyên nói đến Lục nghệ đều lấy Khổng tử làm khuôn thước, có thể gọi là bậc chí thánh vậy!
国学网站	
