趙紀.	Kỷ nhà triệu.
一夜軍士忽於張將軍祠中聞髙聲曰:南國山河南帝居,截然分定在天書.	Một đêm quân sĩ chợt nghe ở trong đền trương tướng quân có tiếng đọc to rằng: nam quốc sơn hà nam đế cư tiệt nhiên phân định tại thiên thư như hà nghịch lỗ lai xâm phạm?
如何逆虜來侵犯汝等行看取敗虚,既而,果然張將軍,兄弟二人兄名呌弟名喝皆趙越王之名將越王爲李南帝所敗而失國南帝召而官之二人曰:忠臣,不事害主之君,乃迯匿于扶龍山南帝,屢召不應令日󰱟得首級,重賞千金二人皆飲毒卒,吳南晋討西龍州,李暉,賊軍次扶蘭口󰧵見二人從助王師云:千帝憐其忠臣不二補灘河龍君副巡武諒二江之曼原巡江都,副使賊平吳南晋封兄爲大當江,都護國神王祠于如月江口,弟爲小當江,都護國神王祠于南軍江口,即其祠也.	Nam đế gọi cho làm quan, hai người đều nói: " tôi trung không thờ kẻ làm vua đã giết hại chủ mình ".
擢賢良有文武才者,命𬋩軍民.	Cất nhắc những người hiền lương có tài văn võ cho quản quân dân.
選文職官員,識字者入國子監.	Chọn quan viên văn chức, người nào biết chữ cho vào quốc tử giám.
丁巳,英武昭勝二年[宋熙寕二年].	Đinh tỵ, năm thứ hai, (tống hy ninh năm thứ mười).
春,設仁王會于天安殿.	Mùa xuân, mở hội nhân vương ở điện thiên an.
二月,試吏員以書筭刑律.	Tháng hai, thi lại viện bằng phép viết chữ, phép tính và hình luật.
三月,又大舉伐宋欽廉州,聲言宋行青苗役法,殘害中國民,興師問之欲相救也.	Tháng ba, lại đem đại binh sang đánh hai châu khâm và liêm nước tống, nói lấy tiếng rằng nhà tống thi hành phép thanh miêu, tàn hại dân trung quốc, cho nên đem quân sang hỏi tội để cứu giúp nhau.
冬,十二月,宋趙卨來侵,不克乃還.	Mùa đông, tháng mười hai, triệu tiết nhà tống sang xâm lấn, không được lại đem quân về.
戊午,三年[宋元豊元年].	Mậu ngọ, năm thứ ba, (tống nguyên phong năm thứ nhất).
遣陶宗元遺馴象五于宋,請還廣原,蘇荗等州及所掠人.	Mùa xuân, tháng giêng, sửa lại thành đại la, sai đào tống nguyên đem biếu nhà tống năm con voi thuần, xin trả lại các châu quảng nguyên, tô mậu, và những người các châu ấy bị bắt đi.
己未,四年[宋元豊二年].	Kỷ mùi, năm thứ bốn, (tống nguyên phong năm thứ hai).
諒州献白象.	Châu lạng dâng voi trắng.
雨雹.	Mưa đá.
大熟.	Được mùa to.
宋以順州歸我[即廣元,宋改順州].	Nhà tống đem thuận châu trả cho ta (tức là châu quảng nguyên, nhà tống đổi làm thuận châu).
庚申,五年[宋元豊三年].	Canh thân, năm thứ năm, (tống nguyên phong năm thứ ba mươi mốt).
春,二月,鑄洪鐘于延祐寺.	Mùa xuân, tháng hai, đúc chuông lớn cho chùa diên hựu.
鐘成,撞之不鳴,以其成噐不可銷毀,乃廢置于寺之龜田.	Chuông đúc xong, đánh không kêu, nhưng cho rằng nó đã thành khí, không nên tiêu huỷ, bèn đem bỏ ở quy điền của chùa.
其田畢濕,多産龜寺,人爲之龜田鍾秋,八月,甘露降,帝觀兢舟.	Mùa thu, tháng tám, móc ngọt xuống.
辛酉,六年[宋元豊四年].	Tân dậu, / anh vũ chiêu thắng / năm thứ sáu, (tống nguyên phong năm thứ bốn).
春,日有重光.	Mà xuân, mặt trời có hai quầng sáng.
歸所獲邕欽廉三州人兵于宋,以廣原等州還我故也.	Trả lại cho nhà tống dân và lính bị bắt ở ba châu ung, khâm, liêm, vì nhà tống đã trả lại ta các châu quảng nguyên.
冬,十月,太.	Mùa đông, tháng mười, thái
乙丑,廣祐元年[宋元豊八年].	Ất sửu, / quảng hựu / năm thứ nhất, (tống nguyên phong năm thứ tám).
以黎文盛爲太師.	Cho lê văn thịnh làm thái sư.
時天下無事,皇后遍遊山川,意欲𦥷建寺㙮.	Bấy giờ thiên hạ vô sự, hoàng hậu đi chơi khắp các nơi núi sông, ý muốn xây dựng chùa tháp.
丙寅,二年[宋哲宗煦,元祐元年].	Bính dần, / quảng hựu / năm thứ hai, (tống triết hú, nguyên hựu năm thứ nhất).
春阮遠献六足龜,背上有圖書.	Mùa xuân, nguyễn viễn dâng con rùa sáu chân, trên lưng có vạch chữ.
秋,八月,試天下有文𭓇者,充翰林院官,莫顯績中選,除翰林𭓇士.	Mùa thu, tháng tám, thi người có văn học trong nước, sung làm quan ở hàn lâm viện, mạc hiển tích trúng tuyển, bổ làm hàn lâm học sĩ.
造大覧山寺.	Làm chùa ở núi đại lãm.
丁卯,二年[宋元祐二年].	Đinh mão, / quảng hựu / năm thứ ba, (tống nguyên hựu năm thứ hai).
春,三月,造秘書閣.	Mùa xuân, tháng ba, dựng bí thư các.
宋封帝爲南平王.	Nhà tống phong làm nam bình vương.
冬,十月,帝幸覧山寺.	Mùa đông, tháng mười, vua ngự đến chùa lãm sơn.
夜宴群臣,親製覧山夜宴詩二章.	Đêm ban yến cho các quan, vua thân làm hai bài thơ lãm sơn dạ yến.
戊辰,四年[宋元祐三年].	Mậu thìn, / quảng hựu / năm thứ bốn, (tống nguyên hựu năm thứ ba).
春,正月,封僧枯頭爲國師[或云揚之.	Mùa xuân, tháng giêng, phong nhà sư khô đầu làm quốc sư (có thuyết nói là cho
節鉞,與宰臣並立殿上,處斷天下事務詞訟,未必有也,盖以是時,仁宗崇𫢋,封爲國師詢以國事,如黎大行之於吳匡越爾].	Tiết việt, cùng với tể tướng đứng trên điện, xét đoán công việc và đơn từ kiện tụng của thiên hạ, chưa chắc là có thể, có lẽ bấy giờ nhân tông sùng đạo phật, phong làm quốc sư để hỏi việc nước, cũng như lê đại hành đối với ngô khuông việt mà thôi).
置十火書家.	Dặt chức thư gia mười hoả.
定天下寺爲大中小名藍,以文官貴職兼提舉.	Định các chùa trong nước làm ba hạng đại, trung và tiểu danh lam, cho quan văn chức cao kiêm làm đề cử.
時寺有田奴庫物,故也.	Bấy giờ nhà chùa có điền nô và kho chứa đồ vật, cho nên đặt chức ấy.
冬十月,作覧山寺㙮.	Mùa đông, tháng mười, xây tháp chùa lãm sơn.
己巳,五年[宋元祐四年].	Kỷ tỵ, / quảng hựu / năm thứ năm, (tống nguyên hựu năm thứ bốn).
春,三月,定文武及從官雜流等職.	Mùa xuân, tháng ba, định các chức văn võ, quan hầu vua và các chức tạp lưu.
宋兵入石犀州.	Quân nhà tống / xâm phạm / vào châu thạch tê.
浚冷涇川.	Đào ngòi lãnh kinh.
庚午,六年[宋元祐五年].	Canh ngọ, / quảng hựu / năm thứ sáu, (tống nguyên hựu năm thứ năm).
造合歡宫.	Làm cung hợp hoan.
辛未,七年[宋元祐六年].	Tân mùi, / quảng hựu / năm thứ bảy, (tống nguyên hựu năm thứ sáu).
春,帝幸諒山觀捕象.	Mùa xuân, vua ngự đến lạng sơn xem bắt voi.
冬,十一月,以何於爲少尉知殿前諸軍事.	Mùa đông, tháng mười một, cho hà ư làm thiếu uý tri
色龜.	Con rùa năm sắc.
秋,八月,改元會豊元年.	Mùa thu, tháng tám đổi niên hiệu làm hội phong năm thứ nhất.
大熟.	Được mùa to.
定田籍徵租,每畝三升級軍糧.	Định sổ ruộng, thu tô mỗi mẫu ba thăng để cấp lương cho quân.
癸酉,會豊二年[宋元祐八年].	Quý dậu, / hội phong / năm thứ hai, (tống nguyên hựu năm thứ tám).
優鉢曇花開.	Cây ưu bát đàm (cây sung) nở hoa.
甲戌,三年[宋紹聖元年].	Giáp tuất, / hội phong / năm thứ ba, (tống thiệu thánh năm thứ nhất).
春,正月,遣翰林𭓇士莫顯績使占城責歲貢禮.	Mùa xuân, tháng giêng, sai hàn lâm học sĩ mạc hiển tích sang sứ chiêm thành đòi lễ tuế cống.
夏,四月,覧山寺㙮成.	Mùa hạ, tháng bốn, tháp chùa lãm sơn xây xong.
乙亥,四年[宋紹聖二年].	Ất hợi, / hội phong / năm thứ bốn, (tống thiệu thánh năm thứ hai).
春,諸王入朝.	Mùa xuân, các vương vào chầu.
夏,六月,大旱,放囚,减免賍税.	Mùa hạ, tháng sáu, đại hạn.
雨.	Trời mưa.
丙子,五年[宋紹聖三年].	Bính tý, / hội phong / năm thứ năm, (tống thiệu thánh năm thứ ba).
春,三月,黎文盛謀反,免死洮江.	Mùa xuân, tháng ba, lê văn thịnh mưu làm phản, tha tội chết,
安置.	An trí ở thao giang.
時帝幸霪潭,御小舟觀魚.	Bấy giờ vua ra hồ dâm đàm, ngự trên thuyền nhỏ xem đánh cá.
忽有霧起,冥靄中聞有船來,橹聲戞戞,帝以戈投之.	Chợt có mây mù nổi lên, trong đám mù nghe có tiếng thuyền bơi đến, tiếng mái chèo rào rào, vua lấy giáo ném.
須曳霧散,船中有虎,眾惧變色曰:"事逼矣".	Chốc lát mây mù tan, thấy trong thuyền có con hổ, mọi người sợ tái mặt, nói: " việc nguy rồi !
漁人穆慎以綱霰之覆虎上,乃太師黎文盛.	Người đánh cá là mạc thận quăng lưới trùm lên con hổ, thì ra là thái sư lê văn thịnh.
帝以大臣有裨賛功不忍殺,流洮江之寨頭.	Vua nghĩ thịnh là đại thần có công giúp đỡ, không nỡ giết, đày lên trại đầu thao giang.
賞穆慎官職財物,賜西湖之地爲食邑.	Thưởng cho mục thận quan chức và tiền của, lại cho đất ở tây hồ làm thực ấp.
先是,文盛有大里國奴,䏻奇術,故託此欲行簒弑也.	Trước đấy văn thịnh có gia nô người nước đại lý có phép thuật kỳ lạ, cho nên mượn thuật ấy toan làm chuyện thí nghịch.
史臣吳士連曰:"人臣篡弑而免罪,失刑政矣,盖帝崇佛之過也".	Sử thần ngô sĩ liên nói: kẻ làm tôi / phạm tội / giết vua cướp ngôi mà được miễn tội chết, thế là sai trong việc hình, lỗi ở vua tin sùng đạo phật.
丁丑,六年[宋紹聖四年].	Đinh sửu, / hội phong / năm thứ sáu, (tống thiệu thánh năm thứ bốn).
春,正月,詔檢定諸例,倣依故典.	Mùa xuân, tháng giêng, xuống chiếu kiểm định các lệ, đều phỏng theo các điển cũ.
秋,八月,星晝見.	Mùa thu, tháng tám, sao mọc ban ngày.
時天下豊登,太后多興造佛寺.	Bấy giờ trong nước giàu đủ, thái hậu làm nhiều chùa phật.
戊寅,七年[宋元符元年].	Mậu dần, / hội phong / năm thứ bảy, (tống nguyên phù năm thứ nhất).
秋,八月,地震.	Mùa thu, tháng tám, động đất.
彗星見.	Sao chổi hiện ra.
己卯,八年[宋元符二年].	Kỷ mão, / hội phong / năm thứ tám, (tống nguyên phù năm thứ hai).
神龍降于梅.	Rồng thần hiện xuống ở cây mai.
庚辰,九年[宋元符三年].	Canh thìn, / hội phong / năm thứ chín, (tống nguyên phù năm thứ ba).
冬,十二月,大疫.	Mùa đông, tháng mười hai, bệnh dịch lớn.
辛巳,龍符元年,[宋徽宗佶建中靖國元年].	Tân tỵ, long phù năm thứ nhất, (tống huy tông cát, kiến trung tĩnh quốc năm thứ nhất).
春正月,改元,以太尉李常傑兼内侍判首都押衙行殿内外都知事.	Cho thái uý lý thường kiệt kiêm chức nội thị phán thủ đô áp nha hành điện nội ngoại đô tri sự.
修延祐寺.	Sửa chùa diên hựu.
壬午,二年[宋崇寧元年].	Nhâm ngọ, / long phù / năm thứ hai, (tống sùng ninh năm thứ nhất).
春,正月,立春,日瑞雪降.	Mùa xuân, tháng giêng, ngày lập xuân; tuyết lành xuống.
二月,.	Tháng hai,
命皇后妃嬪齋戒設醮祈嗣.	Sai hoàng hậu và các phi tần trai giới lập đàn chay để cầu tự.
癸未,三年[宋崇寧二年].	Quí mùi, / long phù / năm thứ ba, (tống sùng ninh năm thứ hai).
春,太后發内府錢贖貧家女之典命者,嫁𩹌夫.	Mùa xuân, thái hậu phát tiền ở kho nội phủ để chuộc những con gái nhà nghèo đã phải bàn đi ở đem gã cho những người goá vợ.
史臣吳士連曰:"女貧而至於雇賃,男貧而至於無妻,天下之窮民也.	Sử thần ngô sĩ liên nói: con gái nhà nghèo đến phải cầm thân làm mướn, con trai nhà nghèo đến nỗi không có vợ, đó là cùng dân trong thiên hạ.
太后爲之造命,亦仁政之所施也".	Thái hậu đổi đời cho họ, cũng là việc làm nhân chính vậy.
十月,演州人李覺謀反.	Mùa đông, tháng mười, người diễn châu là lý giác mưu làm phản.
初覺學得其術,䏻變木爲人招集亡賴據本州,築城作亂.	Giác trước học được thuật lạ, có thể biến cây cỏ làm người, bèn chiêu tập những kẻ vô lại chiếm cứ châu ấy, đắp thành làm loạn.
事聞,命李常傑等討之.	Việc tâu lên, vua sai bọn lý thường kiệt đi đánh.
𮗓敗出亡占城,餘黨悉平.	Giác thua trốn sang chiêm thành, dư đảng đều bị dẹp yên.
占城寇.	Chiêm thành cướp
邊.	Biên giới.
甲申,四年[宋崇寕三年].	Giáp thân, / long phù / năm thứ bốn, (tống sùng ninh năm thứ ba).
春,二月,命李常傑伐占城.	Mùa xuân, tháng hai, sai lý thường kiệt đi đánh chiêm thành, nói tình hình hư thực của nước ta.
占城主制麻那因之入寇,復取制矩所献地哩等三州.	Vua chiêm thành là chế ma na năm trăm năm mươi hai } nhân thế đem quân vào cướp, lấy lại ba châu địa lý.
至是,命李常傑擊破之,制麻那復納其地.	Đến đây, sai lý thường kiệt đi đánh, phá được, chế ma na lại dâng nộp đất ấy.
三月,復定禁衞兵號.	Tháng ba, định lại binh hiệu của quân cấm vệ.
乙酉,五年[宋崇寕四年].	Ất dậu, / long phù / năm thứ năm, (tống sùng ninh năm thứ bốn).
春,祠髙禖.	Mùa xuân, cúng thần cao môi năm trăm năm mươi ba.
夏,六月,太尉李常傑卒,贈入内殿都知檢校太尉平章軍國重事,越國公,食邑萬户;以弟李常憲繼封候爵.	Mùa hạ, tháng sáu, thái uý lý thường kiệt chết, tặng chức nhập nội điện đô tri kiểm hiệu thái uý bình chương quân quốc trọng sự, tước việt quốc công, thực ấp một vạn hộ, cho người em là lý thường hiến được kế phong tước hầu (thường kiệt người phường thái hoà, thành thăng long, nối đời làm quan, nhiều mưu lược, có tài làm tướng.
少以姿貌揚逸,充皇門祇候侍太宗,累迁内侍省都知.	Khi còn ít tuổi, vì vẻ mặt tươi đẹp được sung làm hoàng môn chi hậu theo hầu thái tông, thăng dần đến chức nội thị sảnh đô tri.
聖宗拜太保,授節.	Thánh tông phong chức thái bảo, trao cho
鉞經訪清化,乂安吏民.	Việt để đi thăm hỏi lại dân ở thanh hoá, nghệ an.
及親征占城,以爲前鋒將,得獲占主制矩.	Đến khi vua thân đi đánh chiêm thành, ấy làm tướng tiên phong, bắt được vua chiêm là chế củ.
以公拜輔國太傅,遙授諸鎮節度,同中書門下,上柱國,天子義弟,輔國.	Vì có công, được phong làm phụ quốc thái phó, dao thụ chư trấn tiết độ, đồng trung thư môn hạ, thượng trụ quốc, thiên tử nghĩa đệ, phụ quốc thượng tướng quân, tước khai quốc công, sau lại có công nữa, được phong làm thái uý, rồi chết).
秋,九月,作白薨㙮於延祐寺二,作石薨㙮於覧山寺三.	Mùa thu, tháng chín, làm hai ngọn tháp chỏm trắng ở chùa diên hựu, ba ngọn tháp chỏm đá ở chùa lãm sơn.
時帝重修延祐寺增於舊貫,浚蓮花臺池,名曰靈沼池.	Bấy giờ vua sửa lại chùa diên hựu đẹp hơn cũ, đào hồ liên hoa đài, gọi là hồ linh chiểu.
池之外繚以畫廊,廊之外又疏碧池,並架𢒎橋以通之.	Ngoài hồ có hành lang chạm vẽ chạy chung quanh, ngoài hành lang lại đào hồ gọi là hồ bích trì, đều bắc cầu vồng để đi qua.
庭前立寳㙮.	Trước sân chùa xây bảo tháp.
以月之朔,望,及夏之四月八日,車駕臨幸,設祈祚之儀,陳浴佛之式,歲以爲常.	Hàng tháng cứ ngày rằm, mồng một và mùa hạ, ngày mồng tám tháng bốn, xa giá ngự đến, đặt lễ cầu phúc, bày nghi thức tắm phật, hàng năm lấy làm lệ thường.
丙戌,六年[宋崇寕五年].	Bính tuất, / long phù / năm thứ sáu, (tống sùng ninh năm thứ năm).
春,正月,彗星見西方,長竟天.	Mùa xuân, tháng giêng, sao chổi mọc ở phương tây, đuôi dài khắp
秋大熟.	Mùa thu được mùa to.
日重輸.	Mặt trời có hai quầng.
壬辰,三年[宋正和二年].	Nhâm thìn, / hội tường đại khánh / năm thứ ba, (tống chính hoà nam thứ hai).
春,甘露降.	Mùa xuân, móc ngọt xuống.
占城献白象.	Chiêm thành dâng voi trắng.
時帝春秋以高無嗣,詔擇宗室子立爲嗣,帝弟崇賢侯[鈌名]亦未有嗣.	Bấy giờ vua tuổi đã nhiều mà chưa có con trai nối dõi, xuống chiếu chọn con của tông thất để lập làm con nối.
適石七山僧徐道幸至侯家,與語祈嗣事.	Gặp lúc nhà sư núi thạch thất là từ đạo hạnh đến chơi nhà, hầu nói với đạo hạnh về việc cầu tự.
道行曰:"他日夫人臨誕時,必先相吿盖爲之祈于山神也".	Đạo hạnh dặn rằng: " bao giờ phu nhân sắp đến ngày sinh thì báo cho tôi biết trước để cầu khấn với sơn thần ".
後三年,夫人因而有娠,生男陽煥.	Ba năm sau, phu nhân có mang sinh con trai là dương hoán.
癸巳,四年[宋正和三年].	Quý tỵ, / hội tường đại khánh / năm thứ bốn, (tống chính hoà năm thứ ba).
夏,六月真登州牧夫人公主李氏薨.	Mùa hạ, tháng sáu, phu nhân của châu mục châu chân đăng là công chúa họ lý mất.
[夫人名玉橋,奉乾王長子,聖宗鞠于宫中,及長封公主,適真䔲州牧黎氏卒,自誓孀居,出家爲尼,至是薨,年七十有三.	(phu nhân tên là ngọc kiều, con gái lớn của phụng càn vương được thánh tông nuôi ở trong cung, lớn lên phong làm chúa, gả cho châu mục châu chân đăng là người họ lê, chồng chết, phu nhân tự thề ở goá, đi tu
甲午,五年[宋政和四年].	Giáp ngọ, / hội tường đại khánh / năm thứ năm, (tống chính hoà năm thứ bốn).
春,瑞雪降.	Mùa xuân, tuyết điềm lành xuống.
乙未,六年[宋政和五年].	Ất mùi, / hội tường đại khánh / năm thứ sáu, (tống chính hoà năm thứ năm).
春正月,封蘭英,欽天,震寳三皇后,三十六宫人.	Mùa xuân, tháng giêng, phong ba hoàng hậu là lan anh, khâm thiên, chấn bảo và ba mươi sáu cung nhân, bấy giờ vua không có con trai, cho nên lập nhiều hoàng hậu và cung nhân, làm đàn chạy để cầu tự.
太后󰱒興佛寺,前後該百餘所.	Thái hậu dựng chùa thờ phật, trước sau hơn trăm chùa.
[世傳后追悔上陽及其侍女之非辜,多起𫢋寺爲之懺雪].	(tục truyền rằng thái hậu hối về việc thượng dương thái hậu và các thị nữ vô tội mà bị chết, làm nhiều chùa phật để sám hối rửa oan).
丙申,七年[宋政和六年夏六月,僧徐道幸尸觧於石室山寺[石七縣名,即今之寕山縣,名𫢋跡山.	Mùa hạ, nhà sư từ đạo hạnh trút xác ở chùa núi thạch thất (thạch thất là tên huyện, tức là huyện ninh sơn ngày nay, tên núi là phật tích.
乃徐道行來逰時,見山洞中素石有人足跡,道行以其足跡印之符合;俗傳道幸尸觧].	Từ đạo hạnh đến chơi núi ấy, thấy tảng đá trong hang núi có vết chân người, lấy chân ướm vào vừa đúng: tục truyền đó là chỗ đạo hạnh trút xác).
先是崇賢侯夫人杜氏懷娠至是產難.	Trước là phu nhân của sùng hiến hầu là đỗ thị đã có mang, đến đây trở dạ mãi không
易服澡身,入巖中尸觧而逝.	Thay áo tắm rửa, vào hang núi trút xác mà qua đời.
夫人尋生得男即陽焕也.	Sau đó phu nhân sinh con trai, tức là dương hoán.
鄕人以其異,納尸󰱼中奉事之.	Người làng cho là việc lạ, để xác đạo hạnh vào trong khám để thờ.
今𫢋跡山是其處也.	Nay núi phật tích tức là chỗ ấy.
每歲春三月七日,士女會于寺,爲一方勝逰,後人訛以爲僧忌日.	Hàng năm, mùa xuân, cứ đền ngày mồng bảy tháng ba, con trai, con gái hội họp ở chùa, là hội vui có tiếng một vùng.
其尸至明求樂年間,爲明人所焚,鄕人再塑像事之如初,今存].	Người đời sau ngoa truyền là ngày giỗ của sư (xác đạo hạnh đến khoảng năm vĩnh lạc nhà minh, bị người minh đốt cháy, người làng ấy lại đắp tượng lại thờ như cũ, hiện nay hãy còn).
丁酉,八年[宋政和七年].	Đinh dậu, / hội tường đại khánh / năm thứ tám, (tống chính hoà năm thứ bảy).
春,正月,延成󰞌[鈌名].	Mùa xuân, tháng giêng, diên thành hầu (không rõ tên) chết.
詔󰰾"藏𨷺"戲及開賀執卓;仍𭛁御府金銀前帛厚賻之.	Xuống chiếu bãi trò chơi " tàng câu " và cỗ bàn khao mừng; vẫn phát vàng bạc tiền lụa ở kho để phúng điếu, việc tang rất hậu.
是月,守太堂人献白鹿.	Tháng ấy, người giữ thái đường dâng hươu trắng.
甘蔗甲人献玄鹿.	Người giáp cam giá dâng hươu đen.
二月,甲明盗殺牛令.	Tháng hai, định rõ lệnh cấm giết trộm trâu.
皇太后曰:"此者京城鄕邑人,多迯.	Hoàng thái hậu nói: " gần đây ở kinh thành, hương ấp, có nhiều người trốn tránh,
亡以盗牛爲業,百姓窮窘,數家共耕一牛.	Lấy việc ăn trộm trâu làm nghề nghiệp, trăm họ cùng quẫn, mấy nhà cày chung một con trâu.
昨嘗以爲言,國家已有禁令.	Trước đây, ta đã từng nói đến việc ấy nhà nước đã có lệnh cấm.
今之殺牛有甚徃".	Nay giết trâu lại càng nhiều hơn trước ".
時帝於是詔諸盗殺牛扙八十,徒󰍁甲,其妻杖八十,徒桑室婦,并償其牛;鄰家不告者杖八十.	Bấy giờ vua xuống chiếu kẻ nào mổ trộm trâu thì phạt tám mươi trượng, đồ làm khao giáp, vợ xử tám mươi trượng, đồ làm tang thất phụ và bồi thường trâu; láng giềng biết mà không tố cáo, phạt tám mươi trượng.
三月,丙辰,帝幸章山慶成萬豊成善寳㙮.	Tháng ba, ngày bính thìn, vua ngự đến núi chương sơn để khánh thành bảo tháp vạn phong thành thiện.
有皇龍見.	Có rồng vàng hiện.
又幸應豊[今義興]行宫省耕公田.	Vua lại ngự đến hành cung ứng phong (nay là phủ nghĩa hưng) xem cày ruộng công.
夏,五月,員外郎吳紹献夏田禾一莖九穗.	Mùa hạ, tháng năm, viên ngoại lang là ngô thiệu dâng cây lúa chiêm một gốc chín bông.
駙馬郎楊景通献白鹿.	Phò mã lang là dương cảnh thông dâng hươu trắng.
司農州首領何永禄献赤馬生距.	Thủ lĩnh châu tư nông là hà vĩnh lộc dâng con ngựa hồng có cựa.
作火頭黎兵,曹兒並献白禄.	Sầm tác hoả đầu là lê binh và tào nhi cùng dâng hươu trắng.
直邪甲人献白麞.	Người giáp trực tà dâng con hoẵng trắng.
六月,帝幸.	Tháng sáu, vua ngự đến hành cung
應豊行宫省耕.	Ứng phong xem cày ruộng.
不雨禱於行宫.	Khi ấy không mưa, cầu đảo ở hành cung.
皇龍見于洞靈,祈禱寳臺.	Rồng vàng hiện ở bảo đài, cầu đảo ở động linh.
忠義侯[鈌名]卒.	Trung nghĩa hầu (không rõ tên) chết.
秋,七月,二十五日,倚蘭皇太后崩,火塟,仍以侍女三人殉.	Mùa thu, tháng bảy, ngày hai mươi lăm, - lan hoàng thái hậu băng, hoả táng, bắt ba người hầu gái chôn theo.
上尊諡曰:扶聖靈仁皇太后.	Tôn dâng tên thuy là phù thánh linh nhân hoàng thái hậu.
史臣吳士連曰:"火塟佛教也,殉塟秦俗也,仁宗皆行之,或者承太后之遺命歟?	Sử thần ngô sĩ liên nói: hoả táng là lễ đạo phật, chôn theo là tục nhà tần, nhân tông đều làm theo, hoặc giả vâng lời dặn lại của thái hậu chăng?
秋,八月,塟靈仁皇太后于天德府壽陵.	Mùa thu, tháng tám, táng linh nhân hoàng thái hậu ở thọ lăng phủ thiên đức.
冬十月,帝幸啓瑞行宫省歛.	Mùa đông, tháng mười, vua ngự đến hành cung khải thuy xem gặt.
是夜,月重輪.	Đêm hôm ấy, mặt trăng có hai quầng.
求宗室子育于宫中.	Tìm con trai họ tông thất để nuôi ở trong cung.
下詔曰:"朕臨兆民久無後嗣,天下重噐伊.	Xuống chiếu rằng: " trẫm cai trị muôn dân mà lâu không có con nối, ngôi báu của thiên hạ biết truyền cho ai?
宜育崇賢,成慶,成廣,成昭,成興侯之子,擇其善者立之.	Vậy nên trẫm nuôi con trai của các hầu sùng hiền, thành khánh, thành quảng, thành chiêu, thành hưng, chọn người nào giỏi thì lập làm thái tử.
時崇賢侯子陽焕年方二歲而聰敏,上深愛之,遂立爲皇太子.	Bấy giờ con sùng hiền hầu là dương hoan mới lên hai tuổi mà thông minh lanh lợi, vua rất yêu và bèn lập làm hoàng thái tử.
占成献金花三朶.	Chiêm thành dâng ba đoá hoa bằng vàng.
戊戌九年[宋重禾元年].	Mậu tuất, / hội tường đại khánh / năm thứ chín, (tống trùng hoà năm thứ nhất).
春,正月,詔󰱇民兵皇男.	Mùa xuân, tháng giêng, xuống chiếu chọn hoàng nam trong dân chúng và binh lính.
二月,真臘國使朝見.	Tháng hai, sử nước chân lạp sang chầu.
設春筵宴禮及慶成七寳㙮.	Đặt lễ yến tiệc mùa xuân và mở hội khánh thành bảy bảo tháp.
會詔有司僃儀仗于靈光殿,偕引使觀之.	Bấy giờ xuống chiếu cho hữu ty bày nghi trượng ở điện linh quang, dẫn sứ giả đến xem.
三月以大黄男壮勇者充玉階,興聖,都及御龍兵三百五十人.	Tháng ba, lấy các đại hoàng nam khoẻ mạnh sung vào làm binh các đội ngọc giai, hưng thánh, đô và ngự long, tất cả ba trăm năm mươi người.
户部左侍郎李秀蠲卒.	Tả thị lang bộ hộ là lý tú quyền chết.
夏五月,貶禮部右侍郎黎伯玉爲内人書家.	Mùa hạ, tháng năm, biếm hữu thị lang bộ lễ là lê bá ngọc làm nội nhân thư gia.
旱,祈禱得雨.	Đại hạn, cầu đảo được mưa.
秋七.	Mùa thu, tháng bảy,
夏,.	Mùa hạ,
月,中元節罷執卓,以遇靈仁太后盂蘭盆日故也.	Bãi cỗ bàn tết trung nguyên vì gặp ngay lễ vu lan bồn linh nhân hoàng thái hậu.
占城來貢.	Chiêm thành sang cống.
九月,辛巳,設慶成勝嚴聖壽寺千佛會,使占城使觀之.	Tháng chín, ngày tân tỵ, mở hội thiên phật để khánh thành chùa thắng nghiêm thánh thọ, cho sứ chiêm thành đến xem.
丙戌,帝御靈光殿觀覧舟,設秋筵宴禮.	Ngày bính tuất, vua ngự điện linh quang xem đua thuyền, đặt lễ yến tiệc mùa thu.
冬,十一月,遣員外郎阮伯度,李寳臣遺白黒犀二,及馴象三于宋.	Mùa đông, tháng mười một, sai viên ngoại lang là nguyễn bá độ và lý bảo thần đem biếu nhà tống hai con tê giác trắng, đen và ba con voi nhà.
是歲甘露降,帝手書"天下太平聖躬萬歲"八字于碑,命工𢹂之.	Năm ấy, có mọc ngọt xuống, vua tự tay viết tám chữ, " thiên hạ thái bình, thánh cung vạn tuế " vào bia, sai thợ khắc.
禁京城内外諸人家奴僕,不得刺墨胷脚如禁軍樣,及刺龍文於申上,犯者沒官.	Cấm nô bọc của các nhà dân trong ngoài kinh thành không được thích mực vào ngực, vào chân như cấm quân cùng là xăm hình rồng ở mình, ai phạm thì sung làm quan nô.
己亥,十年[宋宣和元年].	Kỷ hợi, / hội tường đại khánh / năm thứ mười, (tống tuyên hoà năm thứ nhất).
春,正月,帝幸快場捕白象.	Mùa xuân, tháng giêng, vua ngự đến khoái trường bắt voi trắng.
四月,都曹潘田献白鹿.	Tháng bốn, đô tào là phan điền dâng hươu trắng.
五月,設慶成浄慮寺會.	Tháng năm, mở hội khánh thành chùa tịnh lự.
龍見于京師茶肆.	Rồng hiện ở hàng bán nước chè ở kinh sư.
