第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
瑜告众官曰：“此吾同窗契友也。	Hôm nay chỉ được nói chuyện bầu bạn vui vẻ với nhau thôi, ai nói động đến chuyện quân sự giữa Đông Ngô với Tào Tháo sẽ bị chém lập tức.
虽从江北到此，却不是曹家说客。 公等勿疑。”	Thái Sử Từ vâng lệnh, đeo thanh gươm ngồi giám tiệc. Tưởng Cán sợ hãi, chẳng dám nói lôi thôi gì cả.
遂解佩剑付太史慈曰：“公可佩我剑作监酒：今日宴饮，但叙朋友交情；如有提起曹操与东吴军旅之事者，即斩之！”	Chu Du nói: - Tôi từ khi cất quân ra đến nay, chưa từng nhắp một giọt rượu. Hôm nay gặp được cố nhân, lại không có điều chi nghi kỵ, nên uống một bữa thực say!
太史慈应诺，按剑坐于席上。	Nói rồi, Du cười ha hả, cuộc rượu thật thỏa thuê.
蒋干惊愕，不敢多言。	Trên tiệc, bát đũa ngổn ngang.
周瑜曰：“吾自领军以来，滴酒不饮；今日见了故人，又无疑忌，当饮一醉。”	Lúc đã chếnh choáng hơi men, Du dắt tay Tưởng Cán ra ngoài trướng; quân sĩ áo mũ lịch sự, vác kích cầm giáo đứng hầu, Du hỏi: - Thế quân ta có hùng tráng không?
说罢，大笑畅饮。	Cán đáp: - Thật là quân như hổ như báo cả.
座上觥筹交错。 饮至半醋，瑜携干手，同步出帐外。 左右军士，皆全装惯带，持戈执戟而立。	Du lại đưa Cán đến sau trại, lương thảo chồng chất như núi. Du nói: - Lương của ta có đủ dùng không?
瑜曰：“吾之军士，颇雄壮否？” 干曰：“真熊虎之士也，”瑜又引干到帐后一望，粮草堆如山积。 瑜曰：“吾之粮草，颇足备否？” 干曰：“兵精粮足，名不虚传。”	Cán đáp: - Quân đã giỏi, lương lại nhiều, quả tiếng đồn không ngoa.
瑜佯醉大笑曰：“想周瑜与子翼同学业时，不曾望有今日。”	Du giả say, cười ầm lên, nói: - Tưởng nhớ lại khi ta cùng với Tử Dực còn học với nhau, có mong đâu được như ngày nay.
干曰：“以吾兄高才，实不为过。	Cán nói: - Công Cẩn có biệt tài, được thế cũng đáng!
瑜执干手曰：“大丈夫处世，遇知己之主，外托君臣之义，内结骨肉之恩，言必行，计必从，祸福共之。 假使苏秦、张仪、陆贾、郦生复出，口似悬河，舌如利刃，安能动我心哉！”	Du cầm tay Cán, nói: - Tài trai sinh ở đời gặp được chủ tri kỷ, ngoài là nghĩa vua tôi, trong là tình xương thịt, nói thì nghe, kế thì dùng, họa phúc có nhau. Như thế, dẫu đến Tô Tần, Trương Nghi, Lục Giả, Lục Sinh có sống lại, miệng nói như nước, lưỡi sắc như dao, cũng không lay chuyển được lòng ta!
言罢大笑。	Nói rồi lại cười ầm lên.
蒋干面如土色。	Tưởng Cán mặt xám lại như tro.
瑜复携干入帐，会诸将再饮；因指诸将曰：“此皆江东之英杰。	Du lại dắt Cán vào trướng uống rượu với các tướng, nhân đó mà trỏ vào các tướng mà nói: - Đây toàn là anh kiệt ở Giang Đông cả đấy!
今日此会，可名群英会。” 饮至天晚，点上灯烛，瑜自起舞剑作歌。 歌曰：“丈夫处世兮立功名；立功名兮慰平生。	Hội hôm nay nên gọi là hội Quần anh. Bữa rượu kéo dài mãi đến tối, đèn nến thắp lên, Du đứng dậy múa gươm hát mấy câu: Trượng phu cốt lập công danh Công danh đã lập, lòng mình thảnh thơi!
慰平生兮吾将醉；吾将醉兮发狂吟！” 歇罢，满座欢笑。	Lòng thảnh thơi, vui chơi thích tính, Chén say rồi đủng đỉnh hát ngông... Du hát đoạn, cử tọa cười ầm cả lên.
至夜深，干辞曰：“不胜酒力矣。” 瑜命撤席，诸将辞出。 瑜曰：“久不与子翼同榻，今宵抵足而眠。”	Đến canh khuya, Cán tạ từ, nói: - Tửu lượng tôi không sao kham được nữa.
于是佯作大醉之状，携干入帐共寝。	Du sai cất tiệc, các tướng đâu về đấy.
瑜和衣卧倒，呕吐狼藉。 蒋干如何睡得着？ 伏枕听时，军中鼓打二更，起视残灯尚明。	Du nói: - Lâu nay không ngủ chung với Tử Dực, nay phải gác chân lên nhau mà ngủ một đêm.
看周瑜时，鼻息如雷。 干见帐内桌上，堆着一卷文书，乃起床偷视之，却都是往来书信。 内有一封，上写“蔡瑁张允谨封。” 干大惊，暗读之。	Du giả làm say quá, dắt Cán vào màn, rồi để nguyên cả áo mũ nằm ngủ, nôn oẹ bừa bãi.
书略曰：“某等降曹，非图仕禄，迫于势耳。 今已赚北军困于寨中，但得其便，即将操贼之首，献于麾下。 早晚人到，便有关报。	Cán ngủ sao được, nghe thấy bên ngoài trống đã điểm canh hai, bèn đứng dậy, trông thấy đèn vẫn còn sáng mà Chu Du thì đã ngủ say, tiếng ngáy như sấm.
幸勿见疑。	Cán trông lên bàn, thấy một đống thư từ, mới lẻn ra xem trộm.
先此敬覆。” 干思曰：“原来蔡瑁、张允结连东吴！”	Đó toàn là thư các nơi gửi về, trong có một phong ngoài đề: "Sái Mạo, Trương Doãn cẩn phong".
遂将书暗藏于衣内。 再欲检看他书时，床上周瑜翻身，干急灭灯就寝。 瑜口内含糊曰：“子翼，我数日之内，教你看操贼之首！”	Cán giật mình, mở ra xem, trong thư nói như sau: "Chúng tôi hàng Tào Tháo, không phải có bụng mong phú quý đâu, cũng là bất đắc dĩ.
干勉强应之。	Nay đã lừa được quân Tào nhốt cả trong thủy trại rồi.
瑜又曰：“子翼，且住！	Khi nào được dịp, xin nộp đầu Tào Tháo ở dưới cờ.
……教你看操贼之首！	Nay mai có người đến, sẽ có tin báo, xin chớ nghi ngờ gì cả.
……”	Nay kính thư ".
及干问之，瑜又睡着。	Cẩn xem xong nghĩ rằng: - Té ra hai thằng này vẫn liên kết với Đông Ngô!
干伏于床上，将近四更，只听得有人入帐唤曰：“都督醒否？” 周瑜梦中做忽觉之状，故问那人曰：“床上睡着何人？”	Lập tức giấu ngay tờ thư ấy vào tay áo, Cán định xem thêm thư khác, thì thấy Chu Du trở mình, bèn vội vàng tắt đèn đi ngủ. Du nói lảm nhảm trong mồm rằng: "Tử Dực, vài hôm nữa cho anh xem đầu Tào Tháo!" Lại thấy Du nói: "Tử Dực!
答曰：“都督请子翼同寝，何故忘却？” 瑜懊悔曰：“吾平日未尝饮醉；昨日醉后失事，不知可曾说甚言语？”	Anh hãy ở đây, ta sẽ cho anh xem đầu giặc Tháo!". Lúc Cán hỏi lại thì Chu Du đã ngủ khì ra rồi. Cán nằm trên giường, đến mãi canh tư, thấy có người vào trướng gọi: "Đô đốc đã tỉnh chưa?".
那人曰：“江北有人到此。” 瑜喝：“低声！”	Chu Du ra bộ nằm mê sực tỉnh, hỏi rằng: - Ai nằm trên giường thế kia?
便唤：“子翼。”	Người ấy đáp: - Đô đốc mời Tử Dực cùng ngủ, đã quên rồi à?
蒋干只妆睡着。 瑜潜出帐。 干窃听之，只闻有人在外曰：“张、蔡二都督道：急切不得下手，……”	Du hối hận nói: - Ta chưa khi nào uống rượu say thế này; hôm nay say quá, không biết có nói lỡ điều gì không? Người ấy nói: - Giang Bắc có người đến đây... Du nói: - Nói se sẽ chứ!
后面言语颇低，听不真实。	Rồi gọi Cán: - Tử Dực! Tử Dực!
少顷，瑜入帐，又唤：“子翼。”	Cán bấy giờ vẫn tỉnh, nhưng vờ ngủ say không thưa, Du lẻn ra ngoài trướng. Cán lắng tai nghe lỏm, thì thấy người bên ngoài nói rằng: "Trương Doãn, Sái Mạo cho người lại bảo chưa thể nào hạ thủ được...". Những câu sau nói nhỏ quá nên Cán nghe không rõ. Một lát, Chu Du trở vào, lại gọi: - Tử Dực!
蒋干只是不应，蒙头假睡。 瑜亦解衣就寝。	Cán vẫn vờ ngủ không thưa. Du cũng cởi áo đi ngủ.
干寻思：“周瑜是个精细人，天明寻书不见，必然害我。” 睡至五更，干起唤周瑜；瑜却睡着。	Cán nằm nghĩ thầm rằng: - Chu Du là người cẩn thận, sáng dậy không thấy thư, tất nhiên sẽ không để cho mình được thoát! Vừa sang canh năm, Cán dậy gọi Chu Du.
干戴上巾帻，潜步. 出帐，唤了小童，径出辕门。 军士问：“先生那里去？”	Du vẫn ngủ say.
干曰：“吾在此恐误都督事，权且告别。”	Cán bèn đội khăn mặc áo, lẻn ra ngoài trướng, gọi tiểu đồng, đi thẳng đến cửa trại.
军士亦不阻当。	Quân canh hỏi: - Tiên sinh đi đâu?
干下船，飞棹回见曹操。	Cán nói: - Ta ở đây mãi, sợ lỡ việc đô đốc, nên ta tạm cáo từ.
操问：“子翼干事若何？”	Quân sĩ cũng không cản trở gì cả. Cán xuống thuyền bơi như bay về ra mắt Tào Tháo.
干曰：“周瑜雅量高致，非言词所能动也。”	Tháo hỏi: - Tử Dực đi có được việc không? Cán thưa: - Chu Du chí khí cao nhã lắm, không sao dụ được.
操怒曰：“事又不济，反为所笑！” 干曰：“虽不能说周瑜，却与丞相打听得一件事。	Tháo giận, nói: - Đi đã không được việc, lại bị nó chê cười cho à?
乞退左右。	Cán thưa: - Tuy rằng không dụ được Chu Du, nhưng cũng điều tra được một việc giúp thừa tướng. Xin hãy cho tả hữu lui cả ra ngoài.
干取出书信，将上项事逐一说与曹操。	Cán lấy thư ra và thuật lại đầu đuôi câu chuyện cho Tào Tháo nghe. Tháo nổi giận, nói: - Chà!
操大怒曰：“二贼如此无礼耶！”	Hai thằng dám vô lễ thế à?
即便唤蔡瑁、张允到帐下。 操曰：“我欲使汝二人进兵。”	Lập tức cho đòi Trương Doãn, Sái Mạo vào, Tháo hỏi: - Nay ta định sai các ngươi tiến quân đây! Mạo bẩm: - Quân sĩ tập chưa được giỏi, không nên tiến vội. Tháo gắt rằng: - Nếu đợi đến lúc quân sĩ tâp giỏi, thì đầu tao đã nộp cho Chu Du rồi!
瑁曰：“军尚未曾练熟，不可轻进。”	Hai người không hiểu ý thế nào, lúng túng chẳng biết nói năng ra sao.
操怒曰：“军若练熟，吾首级献于周郎矣！” 蔡、张二人不知其意，惊慌不能回答。 操喝武士推出斩之。	Tháo bèn quát võ sĩ lôi hai người ra chém.
须臾，献头帐下，操方省悟曰：“吾中计矣！”	Một lát võ sĩ đem đầu vào dâng, Tháo sực nghĩ ra ngay, nói rằng: - Thôi!
后人有诗叹曰：“曹操奸雄不可当，一时诡计中周郎。	Ta mắc mẹo rồi!
蔡张卖主求生计，谁料今朝剑下亡！”	Người sau có thơ than rằng: Xưa nay Tào Tháo tiếng khôn ngoan, Khôn thế sao lại mắc mẹo gian? Hỡi ơi!
众将见杀了张、蔡二人，入问其故。	Sái, Trương, quân bán chúa, Rước voi giầy mả, chết không oan!
操虽心知中计，却不肯认错，乃谓众将曰：“二人怠慢军法，吾故斩之。”	Các tướng thấy Tháo giết Trương, Sài, bèn vào hỏi nguyên nhân làm sao, Tháo biết mình mắc mưu, nhưng vẫn không chịu nhận lỗi, bèn bảo các tướng rằng: - Hai người ấy khinh thường quân pháp nên ta giết đi.
众皆嗟呀不已。	Ai nấy đều thở dài buồn bã.
操于众将内选毛玠、于禁为水军都督，以代蔡、张二人之职。	Tháo chọn Mao Giới và Vu Cấm cử thay làm thủy quân đô đốc. Quân do thám tin về cho Chu Du.
细作探知，报过江东。	Du mừng rỡ, nói: - Ta chỉ lo hai người ấy, nay đã trừ xong, lòng ta thanh thản vô cùng.
周瑜大喜曰：“吾所患者，此二人耳。	Lỗ Túc nói: - Đô đốc dùng binh như thế, lo gì chẳng phá được Tào Tháo.
今既剿除，吾无忧矣。” 肃曰：“都督用兵如此，何愁曹贼不破乎！” 瑜曰：“吾料诸将不知此计，独有诸葛亮识见胜我，想此谋亦不能瞒也。	Du nói: - Ta chắc rằng các tướng không ai hiểu mưu ta, chỉ có Gia Cát Lượng kiến thức hơn ta, chắc mẹo này cũng không giấu được hắn.
子敬试以言挑之，看他知也不知，便当回报。”	Tử Kính thử sang dò xem hắn có biết hay không, rồi về báo cho ta.
正是：还将反间成功事，去试从旁冷眼人。 未知肃去问孔明还是如何，且看下文分解。	Ấy là: Muốn đem phản gián mưu vừa đạt, Ướm hỏi người ngoài có biết không? Chưa biết Lỗ Túc đi dò Khổng Minh thế nào, xem đến hồi sau mới rõ.
第四十六回用奇谋孔明借箭献密计黄盖受刑	HỒI 46 Dùng Chước lạ, Khổng Minh mượn tên; Dâng kế mật, Hoàng Cái chịu nhục.
却说鲁肃领了周瑜言语，径来舟中相探孔明。 孔明接入小舟对坐。	Lỗ Túc vâng lời Chu Du xuống thuyền thăm dò Khổng Minh, Khổng Minh đón vào khoang thuyền ngồi chơi. Túc nói: - Mấy bữa nay bận việc quân, chưa lúc nào rảnh đến hầu chuyện tiên sinh được. Khổng Minh nói: - Chính tôi cũng chưa đến mừng đô đốc được.
肃曰：“连日措办军务，有失听教。” 孔明曰：“便是亮亦未与都督贺喜。” 肃曰：“何喜？”	Túc hỏi: - Có việc gì mà mừng?
孔明曰：“公瑾使先生来探亮知也不知，便是这件事可贺喜耳。”	Khổng Minh nói: - Việc Công Cẩn sai ông đến dò tôi xem có biết hay không, việc ấy chính nên mừng.
谈得鲁肃失色问曰：“先生何由知之？”	Lỗ Túc tái mặt hỏi: - Sao tiên sinh biết?
孔明曰：“这条计只好弄蒋干。	Khổng Minh đáp: Mẹo ấy chỉ lừa được Tưởng Cán.
曹操、虽被一时瞒过，必然便省悟，只是不肯认错耳。 今蔡、张两人既死，江东无患矣，如何不贺喜！	Tào Tháo tuy cũng mắc mẹo, nhưng hắn tất nghĩ ra, song không chịu nhận lỗi đâu. Nay Trương, Sái hai người đã chết, Giang Đông không phải lo gì nữa, sao chẳng mừng được!
吾闻曹操换毛玠、于禁为水军都督，则这两个手里，好歹送了水军性命。” 鲁肃听了，开口不得，把些言语支吾了半晌，别孔明而回。	Tôi lại nghe Tào Tháo cho Vu Cấm, Mao Giới lên thay lĩnh chức thủy quân đô đốc. Hai người ấy chỉ có mang tính mệnh cả thủy quân Tào Tháo mà quẳng đi, chớ làm chi được! Lỗ Túc nghe xong, nói một vài câu qua loa rồi từ biệt ra về.
孔明嘱曰：“望子敬在公瑾面前勿言亮先知此事。	Khổng Minh dặn Lỗ Túc: - Tử Kính có về, đừng nói với Công Cẩn rằng tôi biết trước việc ấy nhé!
恐公瑾心怀妒忌，又要寻事害亮。” 鲁肃应诺而去，回见周瑜，把上项事只得实说了。	Sợ rồi Công Cẩn mang lòng ghen ghét.
瑜大惊曰：“此人决不可留！	Lại kiếm chuyện để mưu hại tôi.
吾决意斩之！” 肃劝曰：“若杀孔明，却被曹操笑也。” 瑜曰：“吾自有公道斩之，教他死而无怨。” 肃曰：“何以公道斩之？”	Lỗ Túc vâng lời trở về, ra mắt Chu Du, kể hết đầu đuôi, Du thất kinh, nói: - Người này quyết không sao để được, ta phải chém đi mới xong.
瑜曰：“子敬休问，来日便见。”	Lỗ Túc can: - Nếu ta giết Khổng Minh, sẽ bị Tào Tháo cười cho. Du nói: - Ta sẽ lấy phép công mà chém, cho hắn chết cũng không oán được ta. Lỗ Túc hỏi: - Phép công gì? Du nói: - Tử Kính không phải nói, đến mai sẽ biết.
次日，聚众将于帐下，教请孔明议事。	Hôm sau, Du hội cả các tướng dưới trướng, mời Khổng Minh đến bàn việc.
孔明欣然而至。	Khổng Minh đến.
坐定，瑜问孔明曰：“即日将与曹军交战，水路交兵，当以何兵器为先？”	Du hỏi: - Nay sắp đánh nhau với Tào Tháo ở trên mặt sông, nên dùng vũ khí gì đánh cho tiện? Khổng Minh thưa: Trên mặt sông lớn, cốt lấy cung tên là đầu.
孔明曰：“大江之上，以弓箭为先。”	Du nói: - Lời tiên sinh hợp ý tôi lắm!
瑜曰：“先生之言，甚合愚意。 但今军中正缺箭用，敢烦先生监造十万枝箭，以为应敌之具。 此系公事，先生幸勿推却。”	Hiện trong quân đang thiếu tên bắn, phiền tiên sinh trông nom giúp cho việc làm mười vạn chiếc tên. Đây là việc công, xin tiên sinh chớ nên từ chối.
孔明曰：“都督见委，自当效劳。	Khổng Minh nói: - Đô đốc đã sai, tôi xin hết sức.
敢问十万枝箭，何时要用？” 瑜曰：“十日之内，可完办否？”	Xin hỏi mười vạn tên khi nào dùng đến?
孔明曰：“操军即日将至，若候十日，必误大事。”	Du hỏi: - Trong mười hôm, có làm xong không? Khổng Minh nói: - Quân Tào nay mai sắp đến, nếu đợi mười ngày, việc lớn hỏng mất.
瑜曰：“先生料几日可完办？”	Du hỏi: - Tiên sinh liệu độ mấy hôm thì xong?
孔明曰：“只消三日，便可拜纳十万枝箭。”	Khổng Minh thưa: - Trong nội ba ngày sẽ nộp đủ mười vạn tên. Du nói: - Việc quân không phải trò đùa đâu!
瑜曰：“军中无戏言。” 孔明曰：“怎敢戏都督！ 愿纳军令状：三日不办，甘当重罚。”	Khổng Minh nói: - Đâu có dám đùa với đô đốc, tôi xin làm giấy cam đoan, nếu ba ngày không xong, cam chịu trọng tội.
瑜大喜，唤军政司当面取了文书，置酒相待曰：“待军事毕后，自有酬劳。”	Du mừng lắm, gọi ngay quan chính tư mang giấy tờ ra làm cam kết, rồi mở tiệc khoản đãi và nói: - Khi nào xong việc, sẽ có hậu thưởng.
孔明曰：“今日已不及，来日造起。 至第三日，可差五百小军到江边搬箭。” 饮了数杯，辞去。	Khổng Minh nói: - Hôm nay đã không kịp rồi, ngày mai bắt đầu làm, đến ngày thứ ba, xin đô đốc sai năm trăm quân đến bờ sông nhận tên đem về.
鲁肃曰：“此人莫非诈乎？”	Khổng Minh uống thêm vài chén rồi từ biệt.
瑜曰：“他自送死，非我逼他。	Lỗ Túc hỏi Chu Du: - Người này nói khoác chăng?
今明白对众要了文书，他便两胁生翅，也飞不去。	Du nói: - Rõ ràng hắn tự mua lấy cái chết, chứ ta cũng không bắt ép gì hắn.
我只分付军匠人等，教他故意迟延，凡应用物件，都不与齐备。 如此，必然误了日期。	Hôm nay đông đủ mặt các quan, làm tờ cam kết, dù hắn có mọc cánh cũng không bay thoát. Ta dặn bọn thợ cố làm dây dưa, và không cấp đủ cho đồ dùng, tất nhiên hắn lỡ hẹn.
那时定罪，有何理说？ 公今可去探他虚实，却来回报。	Khi ấy ta trị tội, xem có kêu ca được nữa không? Tử Kính thử sang thăm dò tình hình, về báo cho ta biết.
肃领命来见孔明。	Lỗ Túc vâng lệnh, đến gặp Khổng Minh.
孔明曰：“吾曾告子敬，休对公瑾说，他必要害我。	Khổng Minh nói: - Ta đã bảo Tử Kính đừng nói chuyện gì với Công Cẩn, e Công Cẩn lại tìm kế hại ta. Không ngờ Tử Kính không chịu giấu giếm họ, hôm nay, quả nhiên lại có chuyện. Trong ba ngày, làm sao vót nổi mười vạn tên, Tử Kính phải cứu ta mới được. Túc nói: - Ông tự rước lấy tội, tôi biết cứu làm sao bây giờ?
不想子敬不肯为我隐讳，今日果然又弄出事来。 三日内如何造得十万箭？ 子敬只得救我！”	Khổng Minh nói: - Tử Kính cho ta mượn hai chục chiếc thuyền, mỗi chiếc dùng ba chục tay thủy thủ tốt.
肃曰：“公自取其祸，我如何救得你？”	Trên thuyền căng vải xanh che chung quanh, và xếp hơn nghìn bó cỏ ở hai bên mạn thuyền. Ta sẽ có kế.
孔明曰：“望子敬借我二十只船，每船要军士三十人，船上皆用青布为幔，各束草千余个，分布两边。	Đến ngày thứ ba bảo đảm có đủ hai mươi vạn tên cho mà xem.
吾别有妙用。 第三日包管有十万枝箭。 只不可又教公瑾得知，若彼知之，吾计败矣。”	Nhưng chớ để cho Công Cẩn biết nữa, nếu hắn biết thì kế ta hỏng mất đó.
肃允诺，却不解其意，回报周瑜，果然不提起借船之事，只言：“孔明并不用箭竹、翎毛、胶漆等物，自有道理。” 瑜大疑曰：“且看他三日后如何回覆我！”	Túc vâng lời, nhưng chưa hiểu rõ mưu mô khổng Minh ra sao.
却说鲁肃私自拨轻快船二十只，各船三十余人，并布幔束草等物，尽皆齐备，候孔明调用。 第一日却不见孔明动静；第二日亦只不动。 至第三日四更时分，孔明密请鲁肃到船中。 肃问曰：“公召我来何意？”	Lúc về gặp Chu Du, quả nhiên Túc không đả động gì đến việc mượn thuyền, chỉ bảo không thấy Khổng Minh dùng đến tre, gỗ, lông chim và sơn nhựa gì cả, chỉ nói rằng đã có cách.
孔明曰：“特请子敬同往取箭。”	Du rất ngạc nhiên nói: - Thử đợi đến hôm thứ ba xem sao. Lỗ Túc cắt riêng hai chục chiếc thuyền nhanh nhẹ, mỗi chiếc ba chục người bơi, đủ đồ vải căng, cỏ bó, dự bị sẵn sàng cho Khổng Minh.
肃曰：“何处去取？” 孔明曰：“子敬休问，前去便见。”	Ngày thứ nhất không thấy gì, ngày thứ hai cũng vậy.
遂命将二十只船，用长索相连，径望北岸进发。 是夜大雾漫天，长江之中，雾气更甚，对面不相见。 孔明促舟前进，果然是好大雾！ 前人有篇《大雾垂江赋》曰：“大哉长江！	Mãi đến hôm thứ ba, độ canh tư, Khổng Minh mới lén sai người mời Lỗ Túc xuống thuyền.
西接岷、峨，南控三吴，北带九河。 汇百川而入海，历万古以扬波。 至若龙伯、海若，江妃、水母，长鲸千丈，天蜈九首，鬼怪异类，咸集而有。 盖夫鬼神之所凭依，英雄之所战守也。	Túc hỏi: - Ông gọi tôi đến có việc gì?
时也阴阳既乱，昧爽不分。 讶长空之一色，忽大雾之四屯。 虽舆薪而莫睹，惟金鼓之可闻。	Khổng Minh nói: - Mời ông cùng đi lấy tên một thể.
初若溟濛，才隐南山之豹；渐而充塞，欲迷北海之鲲。 然后上接高天，下垂厚地；渺乎苍茫，浩乎无际。 鲸鲵出水而腾波，蛟龙潜渊而吐气。 又如梅霖收溽，春阴酿寒；溟溟漠漠，洁浩漫漫。	Túc hỏi: - Lấy tên ở đâu?
东失柴桑之岸，南无夏口之山。 战船千艘，俱沉沦于岩壑；渔舟一叶，惊出没于波澜。	Khổng Minh nói: - Tử Kính không phải hỏi, cứ đi sẽ biết.
甚则穹吴无光，朝阳失色；返白昼为昏黄，变丹山为水碧。 虽大禹之智，不能测其浅深；离娄之明，焉能辨乎咫尺？ 于是冯夷息浪，屏翳收功；鱼鳖遁迹，鸟兽潜踪。 隔断蓬莱之岛，暗围阊阖之宫。	Nói rồi, sai lấy thừng chạc dàng cả hai chục thuyền làm một, cho bơi thẳng lên phía bắc.
恍惚奔腾，如骤雨之将至；纷纭杂沓，若寒云之欲同。	- Đêm ấy, sương mù phủ kín trời, trên mặt sông lại càng mờ mịt, giáp mặt không trông thấy nhau.
乃能中隐毒蛇，因之而为瘴疠；内藏妖魅，凭之而为祸害。	Khổng Minh giục quân chèo thuyền đi thật gấp.
降疾厄于人间，起风尘于塞外。 小民遇之夭伤，大人观之感慨。 盖将返元气于洪荒，混天地为大块。	Quả thật là sương mù rất đẹp, rất nên thơ.
当夜五更时候，船已近曹操水寨。 孔明教把船只头西尾东，一带摆开，就船上擂鼓呐喊。	Canh năm đêm ấy, thuyền đến sát thủy trại của Tào Tháo. Khổng Minh sai đổ thuyền quay mũi về hướng tây, dàn thành hàng chữ nhất, rồi đánh trống và hò reo ầm ĩ.
鲁肃惊曰：“倘曹兵齐出，如之奈何？”	Lỗ Túc sợ hãi hỏi: - Quân Tào ùa ra thì làm thế nào?
孔明笑曰：“吾料曹操于重雾中必不敢出。 吾等只顾酌酒取乐，待雾散便回。	Khổng Minh cười đáp: - Tôi chắc Tào Tháo thấy sương mù thế này, không dám cho quân ra. Chúng mình cứ yên chí uống rượu làm vui, đợi khi nào sương tan thì về.
却说曹寨中，听得擂鼓呐喊，毛玠、于禁二人慌忙飞报曹操。 操传令曰：“重雾迷江，彼军忽至，必有埋伏，切不可轻动。	Trong trại Tào, nghe thấy tiếng trống đánh, tiếng reo hò, Mao Giới, Vu Cấm vội vàng phi báo với Tào Tháo. Tháo truyền lệnh rằng: - Sương mù dày đặc, quân giặc kéo đến bất thần, tất có mai phục, không nên khinh động.
可拨水军弓弩手乱箭射之。”	Tháo chỉ ra lệnh cho quân cung nỏ bắn tứ tung ra, lại sai người lên trại cạn gọi Trương Liêu, Tử Hoảng mỗi người dẫn ba nghìn quân cung nỏ cấp tốc đến bờ sông trợ chiến.
又差人往旱寨内唤张辽、徐晃各带弓弩军三千，火速到江边助射。 比及号令到来，毛玠、于禁怕南军抢入水寨，已差弓弩手在寨前放箭；少顷，旱寨内弓弩手亦到，约一万余人，尽皆向江中放箭：箭如雨发。	Hiệu lệnh đến nơi thì Vu Cấm, Mao Giới sợ quân nam tràn vào thủy trại, đã sai quân bắn rào rào ra rồi một lát quân trên cạn cũng đến, ước hơn vạn người, đều chĩa vào chỗ có tiếng trống bắn xuống như mưa.
孔明教把船吊回，头东尾西，逼近水寨受箭，一面擂鼓呐喊。 待至日高雾散，孔明令收船急回。 二十只船两边束草上，排满箭枝。	Khổng Minh một mặt lại sai quay mũi thuyền về phía tây, áp vào trại thủy đỡ lấy tên; một mặt vẫn cứ thúc trống hò reo ầm ĩ.
孔明令各船上军士齐声叫曰：“谢丞相箭！”	Khi mặt trời đã mọc, sương mù dần tan, Khổng Minh sai thu thuyền kéo về.
比及曹军寨内报知曹操时，这里船轻水急，已放回二十余里，追之不及。 曹操懊悔不已。	Các bó cỏ trên hai chục chiếc thuyền, bó nào cũng chi chít những tên cắm.
却说孔明回船谓鲁肃曰：“每船上箭约五六千矣。	Khổng Minh sai quân sĩ đồng thanh reo to lên rằng: - Tạ ơn thừa tướng giúp tên!
不费江东半分之力，已得十万余箭。 明日即将来射曹军，却不甚便！”	Khi quân vào báo cho Tháo biết, thì thuyền nhẹ nước xuôi, đã đi xa hàng hai chục dặm rồi, đuổi không kịp nữa. Tào Tháo tức bực vô cùng.
肃曰：“先生真神人也！	Khổng Minh quay thuyền về nói với Lỗ Túc rằng: - Mỗi thuyền được ước chừng năm sáu nghìn tên mà không hề tốn chút công sức nào của Đông Ngô cả.
何以知今日如此大雾？”	Thế là đã được hơn mười vạn tên, nay mai lại đem tên bắn lại quân Tào, chẳng tiện lắm ư? Túc nói: - Tiên sinh thực là thần thánh.
孔明曰：“为将而不通天文，不识地利，不知奇门，不晓阴阳，不看阵图，不明兵势，是庸才也。	Làm sao lại biết đêm nay có sương mù lớn thế? Khổng Minh nói: - Làm tướng mà không biết thiên văn, không tường địa lý, không biết được thuật pháp, không hiểu được âm dương, không tính trận đồ, không giỏi binh thế, đó là tướng xoàng. Từ ba hôm trước, ta đã tính biết hôm nay có sương mù lớn, nên mới dám nhận thời hạn ba hôm.
亮于三日前已算定今日有大雾，因此敢任三日之限。 公瑾教我十日完办，工匠料物，都不应手，将这一件风流罪过，明白要杀我。	Công Cẩn hạn cho ta mười ngày, mà thuyền thợ, đồ dùng không có gì đủ, chực đem một tội lỗi nhỏ để hại ta; nhưng số mệnh ta đã có trời, hại làm sao nổi!
我命系于天，公瑾焉能害我哉！” 鲁肃拜服。 船到岸时，周瑜已差五百军在江边等候搬箭。	Lỗ Túc chịu là giỏi.
孔明教于船上取之，可得十余万枝，都搬入中军帐交纳。	Thuyền vừa cập bến, đã thấy năm trăm quân của Chu Du đứng chực lĩnh tên.
鲁肃人见周瑜，备说孔明取箭之事。	Khổng Minh bảo lên thuyền mà lấy, được hơn chục vạn chiếc đem về nộp.
瑜大惊，慨然叹曰：“孔明神机妙算，吾不如也！”	Lỗ Túc vào ra mắt Chu Du, thuật lại cả việc đi lấy tên.
后人有诗赞曰：“一天浓雾满长江，远近难分水渺茫。	Du giật mình, thở dài than rằng: - Khổng Minh mẹo thần, tính giỏi, ta thật không bằng!
