武功耆定。	Võ công định sáng .
壬申洪福元年莫崇康七年明隆慶六年。	Năm nhâm thìn năm đầu của vua Hồng Phúc , năm mậu thìn năm thứ bảy của vua Mạc Thăng Khang , năm thân thìn năm thứ sáu của vua Minh Long Khánh .
自是該勘諸司遵以爲常。	Từ đó đã xét xử các quan , theo làm thói quen .
上曰好者乃爾𡸈無紅腐耶槩其近久則十年全好矣。	Thượng nói : “ Người hay là như ông , không có gì hư cũng không hư . ” Cứ giữ gần mười năm thì còn ngon .
出降者亦盡殺之妻子㨿爲奴婢。	Ai đến đầu bắn , cũng giết chết , vợ con bắt làm nô lệ .
在鎮共十三年駢。	Ở Trấn cùng mười ba năm bận rộn .
統阮五年為登庸所殺。	Thống nhà Nguyễn năm năm bị Đăng Nghiễm giết .
遣正使黎弼四副使阮用阮克寬等如明進謝恩禮。	Gửi chánh sứ Lê Bật , bốn phụ sứ Nguyễn Dụng , Nguyễn Khác , Nguyễn Khánh , v.v . đi đến Minh để cám ơn lễ vua .
且砦臨屑邏大江既克之後俘獲沿流而下過真臘及諸蕃國皆震耀兵威因諭諸國子弟入朝。	Tạp trại gần Lạc Lô , sông lớn sau khi đánh bại , bắt được bọn giặc , dọc sông xuống , qua Chân La , cũng đến các nước phiên , đều sợ hãi về oai quân , nên bảo các nước con trai vào triều .
秋七月至八月大水。	Tháng bảy thu đến tháng tám lũ lớn .
冬十一月會試天下貢士取合格陳世榮等三十一名。	Tháng mười một tháng đông hội thi thiên hạ , đỗ hợp giai Trần Thế Vinh v.v mười một người .
朕以王書󰰾将軍博陽侯其親昆弟在真定者已遣人存問脩治先人塚。	Ta đã gửi thư cho vương , tướng quân Bác Dương hầu , người thân cốt cách ở Chân Định đã sai người hỏi thăm , sửa chữa mộ tổ tiên .
冬十月甲子夜地震山崩草木枯死。	Tháng mười tháng đông đêm giáp tý đất chấn núi lở cây cỏ khô chết .
上書令參知政事知北道軍民簿籍事亭侯阮󰔻卒贈入内太保諡忠靖。	Thư trên sắc vua , tham tri chính sự , biết quân dân Bắc đường , sổ sách việc việc , Đinh hầu Nguyễn Hạo chết , tặng nhập nội Thái bảo , hiệu Trung Trịnh .
帝出較塲觀𡐡神黎察等及文武内外百官告天地神祗名山大川刑帛馬歃血盟誓。	Vua ra trường đua xem , thần thánh sáng suốt , cùng với văn võ trong ngoài , trăm quan báo trời đất , thần thánh , núi sông lớn , lễ bái , ngựa thề huyết , thề thệ .
定南王亦親送至江津行禮曲盡哀敬。	Định Nam vương cũng thân tiễn đến bến sông , thực hiện lễ nghĩa đến cùng .
三軍踴躍大喜咸願報國。	Ba quân vui mừng , đều mong báo đền nước .
會試天下󰁮人取范智謙等四十四人。	Hội thi thiên hạ , người người đều như Phạm Trí Khiêm , bốn mươi bốn người .
自天䦕至京北連路不絶。	Từ núi Thần Hùng đến Kinh Bắc , đường liền không dứt .
秋七月大雨雹。	Tháng bảy thu mưa lớn đá .
帝作春雲詩集。	Vua làm tập thơ Xuân Vân .
訓煉士卒習爾弓矢使人人逄𫎇家家后羿梟必烈之頭於闕下腐雲南之肉於藁街。	Huấn luyện binh lính , thói như cung thủ , khiến người người đều như Hậu Dịch , nhà nhà đều như Hồ Dịch , đầu giết giặc nổi tiếng đem đốt dưới cửa khuyết , thịt giặc nổi tiếng đem nấu thành bánh ở Vân Nam .
誠𭛁於言言𡸈不順。	Thành thật ở lời , lời nói không thuận .
安馮榮奏曰永錫何如不使復職。	An Phong vinh tố thư nói : “ Dài lâu ban cho , sao không cho phép về chức . ”
偽強國公走上岸偽壮王莫敬章太國公走入。	Giả Công công đại quốc đi lên bờ , giả Trương vương không kính , Thái Quốc công đi vào .
太后曰賛唐日侍湯藥公言不及何也。	Thái hậu nói : “ Ngày xưa triều Đường , phục vụ thang thuốc , công lao chưa bằng sao ? ” .
賊詰國事不答。	Giặc hỏi việc nước không trả lời .
長安鎮為天䦕鎮。	Trường An trấn là trấn Thiên Hằng .
并不得接近訪問交通言語。	Cũng không được tiếp cận hỏi hỏi chuyện trò .
演州鎮為望江鎮。	Yên Châu trấn thành trấn Vọng Giang .
朝官皆不之知帝飲荭蒲酒劇醉。	Chức quan triều đình đều không biết , vua uống rượu cỏ lau cỏ lê , say cảnh cảnh .
餘以例改如枚弄之軰益稷以骨肉之親治罪𨿽同不忍改姓及斥名乃命曰妸陳謂其柔懦似婦人也。	Còn những việc thay đổi theo lệ , như Môi , Lộng , v.v , thì thêm Tích vì quan hệ cốt nhục , trừng trị tội phạm , không thể không thay đổi họ tên , mà chỉ bỏ tên thôi , mới đổi tên là Thiên , làm cho Trần nói là nhũ nhuỵ tựa phụ nữ .
又築堤子周回二千一百二十五丈八尺髙一丈五尺脚闊二丈及造屋四十餘萬間。	Lại đắp đê con bao quanh hai nghìn một trăm mười lăm trượng tám thước cao một trượng năm thước chân rộng hai trượng cùng xây nhà hơn bốn mươi vạn cửa .
其大畧以爲諸在社民有姦匈人同族同社平時不能訓戒至事發又不能捕納各罰錢五拾貫。	Điều lớn ấy là các người ở trong xã , có người gian , có người hùng , người cùng họ , người cùng xã , bình thường không thể huấn giáo , đến lúc việc phát lại không thể bắt bớ , mỗi người phạt tiền năm chục quan .
學象棊則畫秤勢棊子於承塵坐視而熟慮焉時稱善其。	Học cờ tượng thì vẽ cân , đặt quân cờ ở chỗ đáy cân , ngồi xem mà suy xét , thời gọi là tốt .
渭郡公黎克慎鎮守太原嘉郡公鎮守宣光。	Quận Vị công Lê Khắc Thận trấn hộ Thái Nguyên .  Quận Gia công trấn hộ Thiệu Quang .
至於兵刅交攻之除或枉傷忠孝或誤害賢良𦤶使皇天震怒以彰其遇錐遭傾隕亦無憾焉。	Đến nỗi gươm gạc đánh nhau , thường làm tôi vô tội , làm hại người hiền lành , khiến cho trời giận dữ , để rõ mình gặp nạn , gươm đâm đổ mất , cũng không hận gì .
十一月有白氣如劎出于東南長丈餘。	Tháng mười một có khí trắng như kiếm , xuất ra từ phía đông nam , dài hơn một trượng .
且為民而除螟𧑞不以賊而遺子孫。	Làm cho dân mà trừ giặc , không để con cháu vì giặc mà mất mát .
乃溺女色之私情忘國家之大事而肉食者不以爲言謂之何哉。	Lại đắm đoá trong tình riêng với nữ sắc , quên đi việc lớn của nước nhà , mà người ăn thịt không nói gì , đáng kinh ngạc thay ! .
鄕上侯三人黎理黎文靈黎國𦥷。	Trên làng có ba người hầu , làm cho Lê đời , Lê văn , Lê nước được linh thiêng .
夏五月。	Tháng năm mùa hạ .
大興宫室造百寳千歲殿于大雲山其柱裝之以金銀爲視朝之所東曰風流殿西曰紫華殿左曰蓬萊殿右曰極樂殿。	Dựng lớn cung thất , tạo trăm báu , ngàn năm , đặt ở núi mây lớn , cột trụ trang điểm bằng vàng bạc , là nơi vua ra sớm .  Đông là phong lưu điện , tây là tía hoa điện , trái là Bồng Lai điện , phải là Cực Lạc điện .
加紹國公黎廣度平章軍國重事總統國政太宰太師。	Thêm tước Quốc công , Lê Quảng Độ bình chương quân sự , quan trọng việc nước , tổng thống chính sách nước , Thái tể Thái sư .
以此䏻輔成王業而令終也。	Vì thế mà có thể phò giúp cho nghiệp vua thành công , mà còn được kết thúc cuộc đời một cách tốt .
上相自知病篤乃上表乞釋兵權辝意懇切。	Thượng tướng tự biết bệnh nặng , nên trên bảo cầu xin bỏ quyền binh , ý cầu cứu rất khẩn cấp .
于時統領官富郡公鄭根迅差麾下陳進朝吳廷椿杜曆髙曛等各率所𬋩内候兵進擊。	Lúc ấy , quan Thống lĩnh , quận công Phú , Trịnh Cổ , sắc chiếu vội vàng , dưới cờ , Trần Tiến , triều Ngô , Đỗ Thụy , Lý Xuân , đều mỗi người dẫn binh , đợi ở ngoài , đánh vào .
其在六軍罪猶可怒惟簡在上帝之心。	Nơi sáu quân , tội còn có thể giận dữ , chỉ có trong lòng thượng đế mới đơn giản .
若鼓已三發之後而百官猶在朱雀門外并鐘已過五十之後。	Sau khi trống đã đánh ba tiếng mà các quan vẫn đứng ngoài cửa Chu Tước .  Và sau khi chuông đã đánh hơn năm mươi tiếng .
時僞官土軍金香等户之在城者王通令自願或去北或在南各依所請。	Thời gian quân giả đất giả , các hộ thờ Phật , Phật quý , Phật kim hương , trong thành , Vương Thông ra lệnh , tự nguyện , ai muốn đi Bắc , ai muốn ở Nam , đều theo ý mình .
等處土将嘉郡公亦歸順朝廷咸願給兵討賊。	Đây là nơi đất , tướng Giá Quận công cũng quy thuận triều đình , đều mong cho binh đánh giặc .
莫使宗室将義國公節制南道兵期日進擊。	Chớ để nhà Tông , nhà Tôn , quân nước nghĩa công , tiết chiếu đường Nam , ngày ngày tiến đánh .
禁法門之呪咀道士奉道剪髮不得長髮。	Cấm pháp môn chầu nguyền , đạo sĩ phụng đạo cắt tóc không được để tóc dài .
二月二十日上御駕觀西湖捕魚。	Ngày hai tháng hai , vua ngự giáp xem Tây Hồ bắt cá .
文階部寺首領府縣校官以上若從營不拘同者服期年。	Các bậc văn sĩ , các chức sư , các chức trưởng lĩnh , các chức phủ huyện , các chức giáo quan trở lên , nếu theo quân đội , không kể đồng chí , phải mặc áo tang một năm .
令旨揮阮世羙譯為囯語以申諭之。	Lệnh chỉ cho Nguyễn thế Diệu dịch ra ngôn ngữ địa phương để truyền lời dạy dỗ .
官員妻預命婦者服期年不預命婦者服一百日並禁華飾。	Vợ quan viên được mệnh phụ thì phục kỳ năm , không được mệnh phụ thì phục một trăm ngày , đều cấm trang hoa .
勑旨軍色󰠃無所出差輕務令。	Chiếu chỉ quân sắc , không có chỗ ra sự sai lầm .
飛卿生廌亦中太學生。	Phí thiêng sinh Tề , cũng là học trò đại học .
並禁音樂并絲色珠玉金銀等服用。	Cấm đồ âm nhạc , cấm sợi lụa , châu ngọc , vàng bạc , v.v . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
八日木忙宣慰車蘿順每州經畧使道車越州州道蘿玉麻觀察使琴軻等來献方物賜錢各有差。	Ngày tám tháng Mùi , rong chướng xe thư tiên việt , tuần thứ mỗi châu , kinh luận sứ đường xe , Việt châu châu đường , rong ngọc mà gấm , quan sát sứ cầm cách , đều hiến phương vật , ban tiền riêng biệt .
夏六月遣兵部侍郎黎文盛如永平寨與宋議疆事。	Tháng sáu hạ , sai Bộ trưởng Lê Văn Thịnh đến ở trại Vĩnh Bình cùng Tống bàn việc cương sở .
旨傳分補鄕試塲供頓事例凣某縣有應除某社民許二司照本處各縣平補共受以均力役。	Chỉ truyền phân bổ , hương thi trường cung đủ , việc lệ hành , xã nào ứng trừ , dân xã nào được , hai sở xem , tỏ ngay , các huyện bổ đều , chung nhận , cùng chia , công sức .
志是明遣若水等來封而惠以老回家。	Chí là minh , khiến Nhạc Thuỷ đến phong , rồi huệ ở già về nhà .
六日帝密令左游擊將軍黎希葛黄仁添及前鋒將軍黎勢鄭文洒等将舟五百餘艘精兵三萬夜出厭坐海口急渡海潜入沙奇海門立壘築城截賊㱕路。	Sáu ngày sau , đế bảo tướng quân trái giữa Lê Hỉ Cát , Hoàng Nhân Thiêm , cùng tướng quân tiền phong Lê Thế , Trịnh Văn Thái , v.v , dẫn thuyền hơn năm trăm con , binh lính ba vạn người , đêm ra từ Yên Toại , cửa biển , vội qua biển , lặn vào bãi , vào cửa biển , dự
旨傳禁通同外國盗賣銃口。	Lời truyền từ cấm , cấm cùng ngoại quốc đánh bán súng lửa .
縣侯十四人黎僃黎皮黎否黎芇黎受黎雷黎可黎培黎可郎黎熾黎犬黎秘黎國楨黎弼。	Hầu huyện mười bốn người : Lê Bi , Lê Phi , Lê Phủ , Lê Tu , Lê Thu , Lê Lai , Lê Khả , Lê Bồi , Lê Khả Lang , Lê Xức , Lê Khuyển , Lê Bí , Lê Quốc Trụ , Lê Bỉ .
庚午十三年莫崇康五年明隆󰆑四年。	Canh ngọ mười ba năm , Mạc Thăng Khang năm năm .  Minh Lương tứ niên , Minh Long tứ niên .
節制鄭松又差阮黄領兵徃勦除收捕。	Chỉnh sửa việc Trịnh Tùng , lại sai Nguyễn Hoàng dẫn quân đi dẹp yên thu bắt .
帝欲鄰國和好乃以帝妃前女封玉華公主嫁之。	Vua muốn sửa lại quan hệ với nước Lân , nên lấy con gái của Hoàng phi trước , phong làm Công chúa Ngọc Hoa , rồi cưới cho .
軍容既整士噐益增。	Quân dung đã tinh thần tài năng của quân sĩ càng tăng thêm .
李伍矯義李箇阮貶阮僕阮寬陶六杜記矯紹爲祗侯書家。	Lý Ngũ Kiểu nghĩa , Lý Cá Nhuận bạn , Nhuận Bộc Nhuận Không Đào Lục Đỗ ghi , Kiểu Thiệu làm sư thầy .
後偽壮王莫敬章國公華國公嚴國公錦國公強國公東國公等俱将兵占㨿海陽地方。	Sau đó , Vương Triều Lừng , Mạc Kính Chương , Hoa Quốc Công , Nghiêm Quốc Công , Cẩm Quốc Công , Cường Quốc Công , Đông Quốc Công , đều đem binh chiếm giữ đất phương Hải Dương .
不惟余之宗廟萬世祀享而汝等之祖父亦春秋之血食。	Chẳng riêng tôi có tông miếu muôn thuở cúng tế , mà các ông cũng có nơi cúng tế .
一臯駢之督属斬數萬賊眾之強况賢於髙駢者乎。	Một Cao Biền đốc thúc , chém chết mấy vạn quân giặc mạnh , chưa kể người hiền hơn Cao Biền .
然聖人觀乎天文以察時变觀乎人文以化成天下將不可以儆戒之哉亦安可蓄疑以敗謀哉。	Vậy thánh nhân xem trời để xét thời biến , xem người để hoá thành thiên hạ , đâu phải để cảnh giác mà sao ? Cũng chẳng thể giữ nghi để phá mưu sao ? .
莫知文奎已投降復有大兵來救乃退守天派江。	Chẳng biết Văn Khôi đã đầu hàng , lại có đại binh đến cứu , nên lui về trấn giữ sông Thiên Hải .
淳郡公宏郡公等將兵走脱。	Các bề tôi là Thần Quận công , Hoằng Quận công , đều chạy thoát .
其所償財命錢收在犯人不得連捉。	Đã báo đền tiền mạng , tiền thu ở nơi phạm tội , không được bắt cùng .
城中驚乱。	Trong thành kinh loạn .
朕指揮武節號令神兵。	Ta chỉ huy vũ tiết , lệnh cho thần binh .
功臣上相明康仁智武貞䧺畧太王。	Công thần thượng tướng , minh , khánh , nhân , trí , võ , trinh , hùng , lược , Thái vương .
黎文休曰夫古人所謂瑞者以得贒與豊年外此不足爲瑞也。	Lê Văn Hiệu nói : “ Các bậc người xưa nói là điềm lành là được nhiều lợi , được năm được mùa , ngoài ra không đáng làm điềm lành .” .
甲寅。	Giáp Dần .
可即禁止之。	Có thể cấm ngay lập tức .
又令諸軍造浮橋過潭江渡被風波折破二日未成因下令三軍爭渡黄舍江至安决黔皷山駐營。	Lại ra lệnh cho các quân dựng cầu thoa qua Đàm Giang , Đỗ Bí , bị gió sóng phá vỡ , hai ngày chưa xong , nên ban lệnh ba quân tranh nhau vượt qua Hoàng Xá Giang , đến Yên Quyết , Quế Sơn dừng trại .
是日初更天降細武五更大雨滂沱。	Đêm ấy canh khuya trời giáng mưa nhỏ , canh năm mưa lớn dào dạt .
汝諧倉卒伏地對曰臣以習𭓇誤在此耳。	Anh hùng nghĩ thầm , nằm xuống nói rằng : “ Tôi vì thói xấu mà sai lầm ở đây . ”
定内外任祿制。	Định ngoại nội bậc lương trạch .
秋八月進封太尉西國公鄭柞爲元帥掌國政西定王。	Tháng tám thu phong tước Thái vũ , Tây quốc công Trịnh Tạc làm nguyên thủ , quản sự nước , định vua Tây .
臣又聞古語云蒭蕘之言聖人擇焉。	Tôi lại nghe câu cổ nói rằng , lời người bình dân , thánh nhân chọn lựa .
上皇大怒即還天長詔百官明日俱至天長府點集違者論罪。	Thượng hoàng giận dữ , ngay về ban chiếu Thiên Trường , các quan đều vào ngày hôm sau đến chỗ Thiên Trường , nơi đó điểm danh , ai không đến sẽ bị truy tội .
十二月十二日明王通遣步軍過瀘江先發水軍隨後。	Tháng mười hai ngày mười hai , vua Minh ban chỉ thảy quân đi qua sông Lô , ban đầu thảy quân nước đi theo sau .
九月莫敬典率兵回京邑。	Tháng chín , ông Mạc Kính Điển dẫn quân về Kinh Dương .
左相覺謀乃不果。	Bên trái tướng giảng mưu , thì chẳng thành công .
兵行至瀘江攻浮橋尋又奔散爲李彬所敗。	Quân đến sông Lô , đánh cầu tre , lại chạy tan , bị Lý Bân đánh bại .
俘卒親戚聞之仰德如天地感恩如父母。	Tù binh thân thích nghe tin vâng đức như trời đất , cảm ơn như cha mẹ .
十一月有流星長五丈墮地聲如巨雷。	Tháng mười một có sao chổi bay dài năm trượng rơi xuống đất , tiếng như sấm lớn .
必多殺士卒傷良將吏寡人之妻孤人之子獨人父母得一亡十朕不忍爲之埜。	Chắc sẽ giết nhiều lính , thương tướng giỏi , gây thương vợ của người , con của người , cha mẹ của người , một người sống mười người chết , ta không thể làm điều đó .
北軍都督府左都督華林伯鄭季述工部右侍郎阮僴吏科都給事中黎嵩海陽承宣參議阮漢廷徃市橋驛。	Bắc Quân đô đốc phủ , tả đô đốc Hoa Lâm bá , Trịnh Kỷ Thú , Công bộ phóng lương , Nguyễn Viêm , Lý Thăng , Hải Dương thừa uy , tham nghị , Nguyễn Hán , đi thị quan .
如秦始皇知東南有天子氣數遊以厭之漢髙猶興終不䏻勝也。	Như Tần Thái Hoàng biết Đông Nam có khí số của thiên tử , vì thế đi chơi để ngăn nắp .  Hán Cao Tổ vẫn dựng nghiệp , cuối cùng cũng không thể đánh bại được .
天下各處百姓服二十七日。	Khắp thiên hạ , trăm họ phục thờ hai mươi bảy ngày .
黎察等請誅之帝不咱。	Lê Sát cùng các bề tôi cầu trừ bọn giặc , vua không đồng ý .
王薦之。	Vua bày lên .
十一月丁未帝親征農可來。	Tháng mười một ngày đinh mùi , vua đi ngũ chinh , Nùng Khả đến vây .
雷震巨石以助之何足為袏也。	Sấm chấn đá lớn để giúp mà còn gì đáng sợ .
刁鴞城指揮張麟知府陳耘等出路。	Thành Điêu Hiên , chỉ huy Trương Lân , trị phủ Trần Vân , v.v. cùng dẫn đường .
改都衛府為三司院曰奉宣清肃憲正等院。	Đổi đô vệ phủ thành tam sỹ viện , gọi là phụng tuệ thanh thủy , hiến chánh đạo viện .
󰱥今各處考試前項要得職字能文者。	Nay các chỗ thi trước tiên phải có thể văn mới được chức .
四月己酉朔日蝕天雨。	Tháng tư ngày Kỷ Dậu , mặt trời mất mặt , mưa rơi .
是日莫兵横屍相枕填委满壑血流漂杵。	Ngày ấy quân Mạc chết đầy đường , thân thể chồng chất nhau , đầy suối máu chảy như nghiêng cối .
後追上尊謚為神皇帝廟號昭宗。	Sau đó tôn sử nghiệp làm thần , đế miếu hiệu Thái Thường .
二十九日勑旨凣寫造嘱書文契一體用陸路中紙若一切文字用官樣中紙。	Ngày hai mươi chín tháng chín , chiếu sắc dặn dò , viết thư văn , ký hợp một thể , sử dụng giấy đường bộ , giấy như thế này .
是日右将黄廷愛差属將收捕斬之及徒黨四人俘送營門亦斬之。	Ngày ấy tướng hữu Hoàng Đình Ái sai quan thu binh bắt giết , cùng bốn người đồ đảo bắt đưa tới doanh môn , cũng bị chém .
又置都督都護都統總𬋩府太守司以轄之。	Lại đặt đô đốc , đô hộ , đô thống , tổng quát , phủ , thái thú , sỹ để giáp quản .
而吕岱奉吳詔誅徽自廣州將兵畫夜馳入合浦與良俱前誘士王之子中郎將匡與徽説令伏罪雖失郡守保無他憂。	Lãnh đạo Lữ Đài , theo sắc vua Ngô , đánh Hơi , từ Quảng Châu , dẫn quân ngày đêm , vào Hợp Phố , cùng Lương , dẫn dụ con thứ Tư Trung Lang , quân Quang , cùng Hơi , thuyết thánh , khiến phục tội , mặc mất quan quản , vẫn không lo gì .
黃龍飛自紫宸殿至會龍殿。	Rồng vàng bay từ điện Tử Thần đến điện Hội Long .
遂收兵屯駐安營依如圖次。	Đã thu quân , đồn trú ở Yên An , theo như bức đồ .
是歲大饑米一升直七十錢。	Năm đó đói nạn , một thùng gạo bán bảy mươi tiền .
時翰林學士胡宗鷟亦有討閑效顰詩集皆感時作也。	Thời hàn lâm học sĩ , Hồ Tông Thước cũng có thơ đào nhàn , hiệu phẩm , tập thơ đều làm theo thời cảnh .
盖上既平占城威振絶域故西方藩國皆奔走先後争來朝貢。	Trên mái thềm , vừa bình Chiêm Sơn , uy danh đến chân cõi xa , nên các nước phên giới phương Tây đều chạy đến trước sau tranh nhau đến triều cống .
三月帝閲武于永洞。	Tháng ba đế xem võ ở Vĩnh Động .
累世為仇。	Lũy đời làm thù .
是時平安王疑登郡公阮啓有異心命内監岳郡公裴仕林械繋之按驗無賍一年乃赦。	Lúc ấy , Bình An vương nghi rằng Đăng Quận công là Nguyễn Khởi , có lòng khác , mệnh Ngự sứ , Quận công Nhạc , Bùi Sỹ Lâm , bẻ xíu rồi giam giữ , điều tra , không có gì , một năm mới tha thứ .
㦃大之惡甚矣。	Chuyện ác đại thật là nhiều .  .
况陛下春秋方富古今治道未悉周知。	Chính vua tuổi thọ còn trẻ , đạo trị xưa nay chưa hết biết hết hay .
定邊界。	Định biên giới .
夫甲子流年天之運也。	Cái giáp tý trôi năm trời chuyển vận thế .
帝與鄧悉以眾寡不敵南行化。	Vua cùng Đặng đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đều đ
魯納其子糾是也。	Lỗ nhận con Giầu là đúng vậy .
造衮陽砲令諸将照樣爲之。	Tạo ra loại pháo dùng trong cuộc đánh tại Cổn Dương , mệnh các tướng làm theo mẫu .
庚子五年宋淳熙七年。	Năm năm Canh Tý , năm tháng Thần Hư của nhà Tống .
十九日明人攻慈廉排沙堆。	Mười chín ngày người Minh đánh Cơ Liêm , phá đống cát .
時汝諧𬋩神武神策兼乂安經畧大使而哀牢侵南戎乃乂安之属邑故以汝諧為督将諸軍皆受節制。	Thời ấy , ông làm Thần Vũ , Thần Tái , cùng Yên An kinh luận , đại sứ , Ai Lao xâm Nam Nùng , làng thuộc Yên An , nên vì Như Hòa làm đốc tướng , các quân đều phải chịu tiết trị .
旨揮内密官内密女内人宮婢等今後見有詔旨及宫内諸事不得先私𭁈外人及妻子親戚漏泄。	Chỉ ban bảo lệnh cho các quan trong cung , các nữ trong cung , các nữ trong nhà , các khuê bí trong cung , từ nay trở đi , nếu có sắc chiếu , sắc chỉ , việc trong cung , không được riêng bảo người ngoài , không được bảo cho vợ con , thân thích .
󰱑官同亨𤼵白太尉可曰此滛風惡俗不可坐瀆駕前。	Các quan cùng mừng vui , Bạch Thái úy nói rằng : “ Đây là phong tục ác , không thể ngồi trước xe ngự .”
吳氏既亡十二使君乘時蜂起吳日慶㨿唐林李朗公㨿超類矯順㨿洄湖吳南帝㨿夜澤阮超㨿扶烈范防遏㨿藤州。	Họ Ngô đã mất , mười hai sứ quân cùng thời phát triển , Ngô Nhật Cát cầm giữ Đường Lâm , Lý Lương Công cầm giữ Thao Lớp , Hồi Hồ cầm giữ Hồi Hồ , Ngô Nam Đế cầm giữ Dạ Trạch , Nguyễn Thái cầm giữ Phù Liệt , Phan Phòng ngăn chặn Thiên Châu .
乂安鎮為臨安鎮。	Yên An trấn thành Lâm An trấn .
路置安撫使副。	Đặt lên đường yên bình phò tá .
朝堂等官請進封王世子西國公鄭柞王爵以合傳家盛典。	Trong triều đình các quan cùng xin tiến phong vương , Thế tử Tây quốc công Trịnh Tạc , tước vương để hợp truyền gia thịnh điển .
帝捧香爐禱天󰍶忽香爐倒于地上。	Vua đưa lò hương cầu trời , bỗng lò hương đổ xuống đất .
令收天下各處大集錢以充國用。	Lệnh thu tiền của các chỗ khắp thiên hạ để dùng cho nước .
一文呈憑祥縣知縣李廣寧監執差人黄世恭。	Một văn báo cho huyện Tường , quan huyện Lý Quảng Ninh , người giám sát thừa nhận người sai Hồng Thế Cung .
是歲饑疫人民不得耕種死者相󰥺。	Năm đó đói dịch , dân không được cày trồng , người chết nhau đem cất cánh .
嘗定戶口國母私求一丁為勾當。	Đã từng định hộ khẩu , mẹ nước riêng cầu một đinh làm quan .
莫敬用自率子弟逼之。	Chớ kính dùng tự dẫn con đệ ép nó .
上皇自将號令嚴明威聲遠震哀牢聞之奔潰。	Thượng hoàng tự dẫn họa lệnh nghiêm minh , uy thanh xa chấn , Âu Lao nghe thấy chạy tan .
上智字著服侯四人黎克復黎鞋等。	Thượng Trí chữ Trạch Phục , Hoàng tứ nhân Lê Khắc Phục , Lê Thái Hợp .  .
偽福王高國公並名缺等率眾奪擊殺會郡公于陣。	Giả phúc vương , Cao Quốc công , đều danh tiếng , đều bị đánh bại , dẫn dắt quân hầu hạ lên đánh , giết Hội Quận công trên chiến trường .
令國人有父母妻子兄弟奴婢親戚從賊在城許自願登城城破即領回家。	Lệnh cho người nước có cha mẹ , vợ con , anh em , nô bộ , thân thích , theo giặc ở trong thành , được tự nguyện lên thành , thành phá bị đánh về nhà .
或請緩師上皇曰去年親征不果。	Một lần cầu vua Thượng Hoàng đừng đem quân đến , bảo rằng : “ Năm ngoái đi ngũ chinh , chẳng thành công .” .
節制鄭松造作两輪車飾以珠寳象牙為之車上用篷漆車傍刻象牙檻四壁黒漆以金貼之。	Chế tắc xe hai bánh , trang điểm bằng châu báu , sừng voi làm nên , trên xe dùng bình sơn , bên cạnh khắc sừng voi , bốn vách sơn đen , dán lên là vàng .
以弱制強或攻人之不僃。	Dùng yếu chế mạnh , hay tấn công người ta khi không chuẩn bị .
建孔子廟。	Dựng miếu Khổng tử .
官軍與元人交戰于𬺍子關諸軍󰦭在。	Quan quân đánh với người Nguyên ở ải Châu Tử , các quân đều có mặt .
宰臣如黎寵黎察不辨畜掌兵如黎顛黎練不明四時。	Tể tư như Lê , ơn Lê , sát Lê , không biết phân biệt , nắm quyền binh như Lê , đầu Lê , đuôi Lê , không rõ bốn mùa .
二十八日黎柄阮天錫奉北使回奏稱副使藩寧行人阮吉甫及從人等七人遇大疫死明國有吊祭。	Ngày hai mươi tám tháng , Lê Bành Nguyễn Thiên Tích , phụng Bắc sứ về báo cho vị phó sứ , phận hành nhân Nguyễn Cát Phu , cùng bảy người theo sứ , gặp đại dịch chết , nước Minh có đình thờ .
二月七日方政潜軍襲擊於慈廉杲洞篆力戦死之秘爲賊所獲後賊還國禮遣秘歸。	Tháng hai thứ bảy , quân Tần ẩn mình đánh tới nơi Từ Liêm , Cảo Động , họp lực cùng chiến , đánh chết , bị giặc bắt .  Giặc về nước , lễ gửi Hữu về .
帝訓練将士繕修噐械。	Vua huấn luyện tướng sĩ , sửa sang thiết hiệu .
攅造户籍。	Tập hợp hộ khẩu .
常請道士行安鎮法道士就位仲子皆行之而髙公不一開口。	Thường xin đạo sĩ hành , an trấn pháp , đạo sĩ cửu vị , Trung Tử đều hành đó mà Cao công không một lời nói .
富良以計就之使妻迎降首服曰大王權重兵勢且大追隨奔走之人更多武勇。	Phú Lương dùng mưu lược dẫn dụ , khiến vợ đón đầu phục , nói : “ Đại vương quyền trọng , binh thế càng lớn , người theo đuổi chạy trốn thì càng nhiều . ”
帝斥逐皇宗功臣回清華地方并殺女史内臣占人。	Vua truất khỏi họ Hoàng Tông , công thần về đất thanh hoa , cùng giết người nữ sử , nội thần chiếm dân .
上問曰熟米可十年抒乎。	Trên hỏi rằng lúa nếp có thể giữ được mười năm không ?
以鄭公吳為户部上書。	Đề nghị Trịnh Công , Ngô Phủ làm Hộ bộ .
