趙紀.	Kỷ nhà triệu.
上覧,賜第一甲黎益沐[水棠縣,清朗人,前爲道士,及中第,帝命宣制詞,先捧香火爐烈,爛其手不之󰔻],.	Vua xem xong, cho bọn lê ích mộc (người thanh lăng, huyện thuỷ đường, trước làm đạo sĩ, đến khi đỗ, vua sai tuyên đọc chế từ, bưng lư hương cháy rực lửa ra trước, bị bỏng tuột cả tay mà không biết),
黎𡺄,阮文泰等三人進士及第;第二甲阮景演,黎仁濟等二十四人進士出身;第三甲范謙柄,阮茂等三十四人同進士出身.	Lê sạn, nguyễn văn thái ba người đỗ đệ nhất giáp tiến sĩ cập đệ; bọn nguyễn cảnh diễn, lê nhân tế hai mươi bốn người đỗ đệ nhị giáp tiến sĩ xuất thân; bọn phạm khiêm bính, nguyễn mậu ba mươi bốn người đỗ đệ tam giáp đồng tiến sĩ xuất thân.
鴻矑傳唱第.	Vua ngự điện kính thiên, hồng lô tự truyền loa xướng danh.
𮞏年黄榜揭于東華門外,至是命禮部捧出,皷樂前導掛張太𭓇門.	Mọi năm bảng vàng vẫn treo ở ngoài cửa đông hoa, đến nay vua sai lễ bộ bưng ra, đánh trống nổi nhạc rước ra treo ở cửa nhà thái học.
黄榜張太𭓇門自此始.	Bảng vàng treo ở cửa nhà thái học bắt đầu từ đó.
三月,󰱇黄丁.	Tháng ba, duyệt tuyển hoàng đinh.
詔:"各坊社冊有丁男,自景統四年籍十一歳,今年𮞏至十二歳及漏籍黄丁身材壮健,長大四尺以上,社長類名送本處三司及奉天府,至農隙時閲󰱇.	Xuống chiếu rằng: các phường, xã, sách có đinh nam, theo số từ năm cảnh thống thứ bốn là mười một tuổi, năm nay lên mười hai tuổi và những hoàng đinh lậu sổ mà sức vóc mạnh khoẻ, to lớn, cao từ bốn thước trở lên thì xã trưởng khai tên gửi lên ba ty của xứ đó và phủ phụng thiên, đến khi rỗi việc nông sẽ duyệt tuyển.
夏,四月,十八日,刑部左侍郎阮觀賢上言:"臣欽奉勑㫖:繼今,軍匠色例得放回農務者,五六月,十月,十一月番並得分半㱕農,不得間分秋夏.	Mùa hạ, tháng bốn, ngày mười tám, hình bộ tả thị lang nguyễn quang hiền dâng lời tâu rằng: " thần kính vâng sắc chỉ nói rằng: kể từ nay, các hạng lính và thợ, theo lệ được cho về làm mùa, thì cứ đến phiên tháng năm, tháng sáu và tháng mười, tháng mười một, đều được chia một nửa cho về làm ruộng, không được chia xen kẽ mùa thu, mùa hạ.
奉此,阮觀賢窃照:上年,六月,十月番五刑司獄卒並停勾訟,今五月,十一月番,軍匠軍色人分㱕農,而五刑司獄所獄卒暫勾訟,未奉該及.	Như thế, thần nguyễn quan hiền trộm xét: năm trước, phiên tháng sáu, tháng mười, ngục tốt ở ti ngũ hình đều được ngừng việc đòi bắt án ngục, phiên tháng năm, tháng mười một năm nay, các hạng lính và thợ đã chia về làm ruộng, mà ngục tốt các sở ngục của ty ngũ hình vẫn tạm phải ở lại đi đòi bắt án ngục, chưa được xét đến.
臣謹具奏聞,伏望聖訓".	Thần kính cẩn tâu lên, cúi mong thánh thượng dậy bảo ".
二十日,勑㫖:六部尚書侍郎,御史󰱑,東各,翰林,六寺,六科,承宣使,憲察使等職有缺,吏部具奏,取㫖施行.	Ngày hai mươi, có sắc chỉ rằng: các chức thượng thư, thị lang của lục bộ, ngự sử đài, đông các, hàn lâm, lục tự, lục khoa, thừa tuyên sứ, hiến sát sứ nếu có khuyết thì lại bộ làm bản tâu lên, đợi nhận chỉ thi hành.
六月,十二日,杜絪奉北使回,以爲東閣校書兼秀林局司訓.	Tháng sáu, ngày mười hai, đỗ nhân vâng mệnh đi sứ phương bắc trở về, được lấy làm đông các hiệu thư kiêm tú lâm cục tư huấn.
秋,八月,十九日,以杜絪爲禮部右侍郎.	Mùa thu, tháng tám, ngày mười chín, lấy đỗ nhân là lễ bộ hữu thị lang.
冬,十一月,以楊直原爲禮部左侍郎.	Mùa đông, tháng mười một, lấy dương trực nguyên là lễ bộ tả thị lang.
十二月,初五日,擬󰱇府衛司所官以上.	Tháng mười hai, ngày mồng năm, định lệ chọn các quan từ phủ, vệ, ty, sở trở lên.
五府都督,都撿點,還督,指揮使,都總兵使如有缺員,吏部具奏,取㫖施行.	Các chức ngũ phủ đô đốc, đô kiểm điểm, hoàn đốc, chỉ huy sứ, đô tổng binh sứ nếu có khuyết viên nào, lại bộ tâu lên, nhận chỉ thi hành.
一衛所總知缺一員,例取𬋩領二員,𬋩領缺一員,例取武尉三員󰱇取一.	Vệ sở nào khuyết một viên tổng tri, theo lệ được lấy hai viên quản lĩnh, khuyết một viên quản lĩnh, theo lệ được lấy ba viên võ uý để chọn lấy một viên.
吏部頻取姓名,職色無過犯,具奏.	Lại bộ kê khai họ tên, quan chức của những người không phạm lỗi, làm bản tâu lên.
内任内府引󰱇,外任指.	Quan chức trong kinh thì do nội phủ dẫn tuyển, quan chức ngoài trấn thì do chỉ
揮,翰林公同都,承,憲三司󰱇取,僃奏銓除.	Huy sứ, hàn lâm viện hội đồng với ba ty đô, thừa, hiến lựa chọn, tâu lên để thuyên bổ.
十八日,遣太常寺卿郭有嚴,監察御史阮秉和,给事中陳茂材如明謝賜冠服.	Ngày mười tám, sai thái thường tự khanh quách hữu nghiêm, giám sát ngự sử nguyễn bỉnh hoà, cấp sự trung trần mậu tài sang nhà minh tạ ơn ban cho mũ áo.
時,明國皇后見我國使至,差官收取函箱領入内殿討取異香.	Bấy giờ, hoàng hậu nhà minh thấy sứ nước ta tới, sai quan thu nhận hòm rương vào nội điện để tìm thấy hương lạ.
郭有嚴原有所買龍衮禁物貯在箱内,恐明國檢得責之,乃作戒本部榜文,收取異香上進.	Quách hữu nghiêm vốn có mua được một chiếc áo long cổn là thứ hàng cấm giấu ở trong hòm, sợ người minh bắt được sẽ bị quở trách, liền làm bảng văn răn bộ thuộc và thu lấy hương lạ dâng lên.
其文曰:"匹夫𢙇璧,麟經貽黷貨之譏,胡賈藏珠,馬史示輕生之戒.	Bài văn như sau: " bọn thất phu mang ngọc bích, bị lân kinh chê là tham của, lái buôn rợ hồ giữ hạt châu, mà mã sử răn là liều mình.
故,叩闔呈垠者,嘉忠純之可尚,而進芹,献曝者,雖微小而可称.	Cho nên, kẻ tự gõ cửa dâng thư được khen là trung thuần đáng quý, mà người tiến rau cần, dâng nắng sưởi dẫu nhỏ nhặt cũng đáng nên khen.
歷歷薰蕕,昭昭黾.	Hay dở rành rành, gương soi rất rõ.
照得本部使等,率自下方之遠,來觀上國之光.	Xét thấy bọ sứ thần bản hộ, cùng nhau đến tự phương xa, tới thăm phong cảnh thượng quốc.
萬里梯航,跋涉寕辝於海島,九霄日月瞻依,快覩於天顔.	Trải muôn dặm trèo non vượt biển, đâu dám sá từ, tưởng chín tầng mây vọng trông nhật nguyệt, mừng ngắm thiên nhan.
趍清明文物於󰔄朝,覩禮樂衣冠之周制.	Tới triều đình ngu thuấn văn vật rõ rành, thấy chế độ nhà chu y quan lễ nhạc.
尊親在念,報答無階.	Một niềm tôn kính, báo đáp khôn bề.
凣其随身貨財,𡸈宜糊心爱惜.	Chút ít của cải mang theo, đâu dám mang lòng ngại tiếc.
其有奇南異香一合,呈付差官揀裁進入".	Hiện có một hộp kỳ nam hương lạ, trình giao sai quan chọn lựa dâng lên ".
明主見其文,謂三代人才,命太監陳寬傳出閣老李東陽等㸔.	Vua minh xem bài văn ấy, cho là bậc nhân tài vào thời tam đại, sai thái giám trần khoan truyền cho lão thần nội các là bọn lý đông dương xem.
奏云:是他一片忠誠,宜加優賞以示激勸.	Lý tâu rằng: đó là tấm lòng trung thành của viên ấy, nên ban thưởng hậu để tỏ ý khuyến khích.
因問左右:他在國何官.	Vua minh lại hỏi các quan hậu cần rằng: hắn làm chức gì ở nước ấy.
左右以都御史對.	Các quan trả lời là chức đô ngự sử.
明主乃賜宴殿上,賜大紅獬豸織.	Vua minh cho dự yến ở trên điện và ban áo màu hồng thẫm thêu hình giải trại bằng kim tuyến
金胷背紵絲等物.	Và các thứ đồ tơ gai.
有嚴因上表称謝云:"臣窃惟:天地𭛁育萬物,雖萌芽根荄猶感生生化化之仁.	Hữu nghiêm nhân đó dâng biểu tạ ơn rằng: " thần trộm nghĩ: trời đất sinh nuôi muôn vật, dẫu mầm non gốc cỗi đều cảm nhận lòng nhân hoá sinh.
帝王撫綏兆邦,雖絶徼󰠃氓猶仰蕩蕩平平之道.	Đế vương yên vỗ triệu bang, dù cõi thẳm dân cùng cũng đội ơn vương đạo rộng phẳng.
今臣沗因夏貢,近望堯雲,仰天日於長安,瞻依正切厠衣冠於王會,欣幸良多.	Nay thần lạm dự sang cống cõi hạ, được gần mây nghiêu.
𡸈圖微遠之餘,疊荷寵光之賜.	Nào ngờ kẻ mọn phương xa, được ban lớp lớp ân sủng.
章身有耀品釆孔,揚命服匪領豸文生色.	Áo báu mới ban, giải trãi vẻ đẹp.
顧惟草木孤根之陋,尤感乾坤大造之恩.	Nghĩ như thần: là cỏ cây chỉ một rễ kém hèn, lại càng cảm ơn đất trời gây dựng.
臣不勝仰戴銘佣之至,敬祝皇帝萬萬歳,壽𭁈天齊,年率土臣民均樂雍熙之治,庶.	Thần xiết bao cảm kích ghi lòng, kính chúc hoàng đế muôn muôn tuổi, thọ ngang với trời, để cho mọi người chốn thần dân đều vui cảnh thanh bình, thịnh trị, các
邦大小永孚漸被之休.	Nước lớn nhỏ thấm nhuần phúc tốt dài lâu.
是臣之所深願望也".	Đó là nguyện vọng sâu xa của thần vậy ".
丙午,建王鑌薨.	Ngày bính ngọ, kiến vương tân mất.
輟朝三日,賜謚貞靖.	Vua nghỉ chầu ba ngày, ban tên thuỵ là trinh tĩnh.
詔:繼今,乂安,建安馴象等衛所,作商船二艘以便載粟.	Xuống chiếu rằng: kể từ nay, vệ kiến an và sở chăn voi ở nghệ an phải đóng hai chiếc thuyền buôn để tiện chở thóc.
阮榮等奉勑㫖光順,洪德年間,内臣出外擄到人家者,斬.	Bọn nguyễn vinh vâng lệnh sắc chỉ khoảng năm quang thuận, hồng đức quy định nội thần ra ngoài tự tiện đến nhà người khác thì bị xử trảm.
停常川舍人,󰱇取髙大充錦衣衛舍人,卑小充外直舍人.	Ngừng đặt chức xá nhân thường xuyên, chọn lấy người cao lớn sung làm xá nhân vệ cẩm y, người thấp bé bổ làm xá nhân ngoại trực.
癸亥,六年[明,弘治十六年].	Quý hợi, năm thứ sáu, (minh hoằng trị năm thứ mười sáu).
春,正月,旱.	Mùa xuân, tháng giêng, hạn hán.
初八日,勑諭清華賛治承宣使司,參議楊靜等:"吾於農務尤且留意,爾牧兵民固當盡力.	Ngày mồng tám, có sắc dụ bọn thanh hoa tán trị thừa tuyên sứ ty, tham nghị dương tĩnh rằng: ta rất lưu ý tới việc nông, ngươi coi binh dân nên hết sức.
善政,永保圖功.	Việc chính sự giỏi, để mãi mãi giữ vững cơ đồ.
書曰:"有僃無患",此之謂也.	Kinh thư nói: " có phòng bị thì không có mối lo " là như thế đó.
除已具奏外,其方暵潦,須先預僃隄防種稼事.	Ngoài những việc đã tâu lên, nơi nào bị hạn hán úng lụt, phải dự bị đề phòng trước các việc trồng cấy.
彼縣州官,視秦,楚肥瘠恝然.	Bọn quan châu huyện, coi dân như người nước tần, nước sở, ai béo, ai gầy không bận lòng đến.
予每差内臣徃省南𤱈,或田𤱈卑塌,或阡陌荒蕪,或土堆有缺,或翻鵝害苗.	Ta thường sai nội thần đi xem xét đồng ruộng, thấy chỗ thì ruộng thấp, chỗ thì bờ ruộng hoang rậm, chỗ thì gò đất bị lở, chỗ thì thả vịt hại lúa.
纔至数朝斷,不可久,暑未数日殆甚告乾,皆由分󰪽之任不得其才,扞制之方靡良其策.	Chỉ được vài bữa, không giữ được lâu, nắng chưa mấy ngày đã cạn khôn cả, đó là do không được người giỏi để chia lo cùng ta, không có kế hay mà ngăn ngừa chống giữ.
嗚呼!	Than ôi !
汝等以衣冠之羙,俸禄之富,爲潤屋之貲耶?	Bọn các ngươi lấy mũ áo đẹp, bổng lộc nhiều để làm sang nhà cửa hay là để giúp việc cho vua?
吾一身恐惧之勤,而爲爾優游之悅.	Ta một mình lo sợ đăm đăm, để các ngươi nhởn nhơ vui thú.
况今年值運下元,遭逢末刼.	Huống chi năm nay đúng vận hạ nguyên, gặp thời mạt kiếp.
玄樞經云:"冬.	Kinh huyền khu nói: " tiết đông
至得壬,地赤千里".	Chí gặp ngày nhâm thì đất hoang ngàn dặm ".
地母經云:"癸亥之年,雨水太多",修築之術,将不勤乎?	Kinh địa mẫu nói: " năm quý hợi mưa rất nhiều ", việc sửa đắp đê đều chẳng cần kíp ư?
汝宜作急部内江䦕,水車,小溪,大路,其二箇月以裡.	Ngươi phải cho làm gấp cống đập, guồng nước, khe lạch, đường lớn trong hạt, hạn trong hai tháng phải xong.
爾親來檢閲.	Ngươi phải thân hành đi kiểm tra lại.
完好者,置爲考上課;築漏者,編爲不称職,許題以聞定行黜陟.	Người nào làm hoàn hảo thì xếp vào loại bậc thượng khảo, kẻ nào sửa đắp rò sót thì biên vào loại không xứng chức, ghi chép tường tận tâu lên để quyết định thăng hay giáng chức.
尔等無情不督責,至霖雨,田禾淹湿詰得其實,一體送問.	Nếu bọn các ngươi lơ là không chịu đôn đốc, đến khi mưa dầm, lúa má bị ngập thì khi điều tra ra sự thực, sẽ bị nhất loạt hỏi tội.
初九日,郭有嚴等使明将還,陛辝.	Ngày mồng chín, bọn quách hữu nghiêm đi sứ nhà minh sắp về, vào từ biệt.
明帝遣西夷都督大通事,錦衣衛都指揮使楊琮等宜傳聖㫖,賜郭有嚴大紅骨朶雲織金獬豸,紵絲四疋,熟絲三疋.	Vua minh sai bọn tây di đô đốc đại thông sự, cẩm y vệ đô chỉ huy sứ dương tông tuyên đọc thánh chỉ, ban cho quách hữu nghiêm chiếc áo đại hồng hoa mây dệt giải trãi bằng kim tuyến, bốn tấm lụa sợi gai, ba tấm lụa tơ chín.
并兵部尚書曾.	Lại sai binh bộ thượng thư tăng
築蘇瀝江邉,上自札橋社,下至贑川社,防水旱以利農,并開安福渠,下至上福渠處以󰱉民田.	Đắp đê bên sông tô lịch, trên từ xã trát kiều xuống đến xã cống xuyên để phòng lụt hạn, làm lợi cho nghề nông, lại xin đào cừ yên phúc xuống đến cừ thượng phúc để tưới nước cho ruộng dân.
五月,初五日,頒題扇詩御製警之云:"星火昏中夜,蓬芒出壁東,荆方當大水,衛地恐興戎,循省尤臨理,推占謾異同".	Tháng năm, ngày mồng sáu, ban thơ ngự chế đề trên quạt tỏ ý khuyên răn: tinh hoả hôn trung dạ, bồng mang xuất bích đông.
秋八月,御史󰱑官奏:翰林官肄業怠慢,宜諭罰之.	Mùa thu, tháng tám, quan ngự sử đài tâu rằng: quan hàn lâm mà lười biếng bỏ việc thì phải xét hỏi trị tội.
九月,初十日,大火東市,燒盡庯舍.	Tháng chín, ngày mồng mười, cháy lớn ở chợ đông, phố xá bị thiêu trụi.
冬,十二月,初八日,以禮部左侍郎楊直原兼翰林院事.	Mùa đông, tháng mười hai, ngày mồng ba, lấy lễ bộ tả thị lang dương trực nguyên kiêm việc hàn lâm viện.
是歳,前大旱,後大水,傘圓,三島山崩.	Năm nay, trước thì đại hạn, sau lại nước to, núi tản viên và núi tam đảo bị lở.
甲子七年[六月以後,肃宗,明,弘治十七年].	Giáp tý, năm thứ bảy (từ tháng sáu về sau là túc tông, thái trinh năm thứ nhất; minh hoằng trị năm thứ mười bảy).
春,正月,詔:繼今,宫墻内加脩理各務,定構作廊廟并廨宇舍.	Mùa xuân, tháng giêng, xuống chiếu rằng: kể từ nay, sẽ tăng cường các việc xây dựng trong cung tường, dự định xây cất thêm lăng miếu và nhà giải vũ.
二月,幸西京.	Tháng hai, vua ngự về tây kinh.
夏,四月,帝由徃幸籃山.	Mùa hạ, tháng bốn, vua ngự về lam sơn.
車駕還宫,不豫.	Khi xa giá trở về cung, bị ốm.
五月,二十三日,帝以女謁盛嬰重疾,大漸,乃遺命皇太子嗣位.	Tháng năm, ngày hai mươi ba, vua vì ham nữ sắc, bị bệnh nặng, khi sắp băng, di mệnh cho hoàng thái tử lên nối ngôi.
二十四日,帝崩于圖治殿.	Ngày hai mươi bốn, vua băng ở điện đồ trị.
初,帝作上陽,鑑治,圖治,長生之殿,燕寢之處,讀書齋生之殿.	Trước kia, vua xây các điện thượng dương, giám trị, đồ trị, trường sinh, nơi để nghỉ ngơi, điện để đọc sách và ăn chay.
[引水至堂曰流盃󰱑].	Lại dựng điện lưu bôi ở trong cung (đưa nước vào trước thềm điện, gọi là đài lưu bôi).
前,稱上陽洞主,生皇子六,長子安王洵,第二威穆帝濬,第三嗣皇㵮,第四通王溶,第.	Vua tự xưng là thượng dương động chủ, sinh được sáu hoàng tử, con trưởng là an vương tuân, con thứ hai là uy mục đế tuấn, con thứ ba là tự hoàng thuần, con thứ tư là thông vương dung,
五明王治,第六思王養.	Con thứ năm là minh vương trị, con thứ sáu là tư vương dưỡng.
六月,初六日,中軍都督府左都督屏山侯黎廣度,南軍都督府左都督駙馬都尉臨淮伯黎達昭暨駙馬,五府,六部,東閣,翰林院,六寺,科,󰉟等官詣皇極殿,奉皇太子㵮即位.	Tháng sáu, ngày mồng sáu, trung quân đô đốc phủ tạ đô đốc bình sơn hầu lê quảng độ, nam quân đô đốc phủ tả đô đốc phò mã đô uý lâm hoài bá lê đạt chiêu cùng các quan phò mã, các quan ngũ phủ, lục bộ, đông các, hàn lâm viện, lục tự, khoa, đài đến điện hoàng cực rước thái tử thuần lên ngôi.
改元,以是年爲泰貞元年.	Đại xá, đổi niên hiệu, lấy năm này làm năm thái trinh thứ nhất.
賛曰:憲宗好文,守成,節用,慎罰,脩政,任賢,敬天,勤民,亦賢主也.	Lời tán: hiến tông ưa chuộng văn học, giữ vững cơ đồ, tiết kiệm tiêu dùng, thận trọng hình phạt, sửa chính sự, dùng người hiền, kính trời chăm dân, cũng là bậc vua hiền mà ở ngôi không lâu, tiếc thay !
武瓊賛曰:帝天資日表,隆凖龍顔,神采異常,.	Vũ quỳnh nói: vua có tư thế của bậc đế vương, mũi cao, mặt rồng, thần sắc khác thường,
聖宗奇愛之.	Thánh tông rất yêu quý ngài.
尤聰明睿智,髙出物表,而仁慈温和,不爲嚴毅.	Vua đặc biệt anh minh, thông duệ, vượt hơn hẳn mọi người, mà nhân từ, hoà dịu, không hề tỏ vẻ nghiêm khắc.
常朝退,引士大夫詢訪得失,假以辝色導之使言.	Khi tan chầu lui vào, thường cho dẫn sĩ đại phu tới, hỏi han về việc hay dở, được mất của chính sự, dùng lời nói dịu dàng, nét mặt tươi vui để dẫn dắt cho họ nói ra.
達下情决壅蔽.	Cho nên vua biết rõ tình cảnh người bên dưới, gạt bỏ sự che đậy giấu giếm.
臣下過失薄示戒責,不忍輟加笞辱;有所措置從容閒暇,未嘗大聲以色而天下亹亹從化.	Bề tôi có lỗi lầm gì, chỉ răn bảo, quở trách nhẹ nhàng, không nỡ đánh roi làm nhục; biết cách sắp đặt nên nhàn hạ ung dung, chưa bao giờ to tiếng, giận dữ mà thiên hạ đều răm rắp tuân theo.
每言:聖祖肇造區夏,皇父内脩外攘,䂓模已定,吾無事乎更張,惟遵守成,憲充擴而光大之,以宣昭我祖考之德而已!	Vua thường nói: thánh tổ ta gây dựng đất nước, vua cha ta sửa trong, dẹp ngoài, quy mô đã định, ta không có việc gì phải thay đổi bày đặt, chỉ tuân giữ phép cũ, mở rộng và phát huy thêm, để tỏ rõ công đức của ông cha mà thôi !
肃宗欽皇帝[諱㵮,又諱󰥙,憲宗之第三子也,在位未期年,壽十七歳而崩,葬敬陵.	Túc tông khâm hoàng đế tên huý là thuần - - lại huý là thuần - -, là con thứ ba của hiến tông, ở ngôi chưa đầy một năm, thọ mười bảy tuổi thì băng, táng ở kính lăng.
帝篤志好𭓇,親賢,樂善,足爲承平之良主,不幸早殁,惜哉!	Vua dốc chí hiếu học, thân người hiền, vui việc thiện, xứng đáng là vị vua giỏi giữ cơ nghiệp thái bình, không may mất sớm, tiếc thay !
]其母荘順皇太后阮氏,諱環,天施,平陵人也.	Mẹ ngài là trang thuận hoàng thái hậu nguyễn thị, huý là hoàn, người làng bình lăng, huyện thiên thi.
以洪德十九年,八月,初一日,而生帝.	Năm hồng đức thứ mười chín tháng tám, ngày mồng một sinh vua.
景統二年,三月立爲皇太子.	Năm cảnh thống thứ hai, tháng ba được lập làm hoàng thái tử.
及憲宗崩,遂即皇帝位,改元泰貞,以生日爲天明聖節,稱嗣皇,後追上尊謚,廟號肅宗.	Đến khi hiến tông băng, liền lên ngôi hoàng đế, đổi niên hiệu là thái trinh, lấy ngày sinh làm thiên minh thánh tiết, tự xưng là tự hoàng, sau được truy dâng tôn thuỵ, miếu hiệu là túc tông.
帝既即位,稱嗣皇,告天地宗廟.	Vua lên ngôi, xưng là tự hoàng, làm lễ cáo trời đất tông miếu.
尊祖母長樂皇太后爲太皇太后.	Tôn tổ mẫu trường lạc hoàng thái hậu là thái hoàng thái hậu.
秋,七月,郭有嚴等奉使還自明.	Mùa thu, tháng bảy, bọn quách hữu nghiêm vâng mệnh đi sứ nhà minh trở về.
八月,初一日,.	Tháng tám, ngày mồng một,
以生日爲天明聖節.	Lấy ngày sinh làm thiên minh thánh tiết.
是月,有長星見西北.	Tháng này, có sao chổi mọc ở phương tây bắc.
九月,初八日,奉寶冊上大行皇帝,尊謚曰:體天凝道懋德至仁昭文紹武宣哲欽聖彰孝睿皇帝,廟號憲宗.	Tháng chín, ngày mồng tám, kính mang bảo sách dâng tên thuỵ cho đại hành hoàng đế là thể thiên ngưng đạo mậu đức chí chiêu văn thiệu vũ tuyên triết khâm thánh chương hiếu duệ hoàng đế, miếu hiệu là hiến tông.
母貴妃爲荘順明懿皇太后.	Tôn bà quý phi sinh ra vua làm trang thuận minh ý hoàng thái hậu.
逆人段世儂等伏誅.	Bọn phản nghịch đoàn thế nùng bị giết.
時,世儂反於髙平,捕獲之及其黨五百餘人,皆伏誅.	Bấy giờ, thế nùng làm phản ở cao bằng, bị bắt cùng với bè đảng hơn năm trăm người, đều bị giết.
冬,十月,十八日,甲辰,憲宗皇帝梓宫𭛁引回西京.	Mùa đông, tháng mười, ngày giáp thìn mười tám, đưa linh cữu của hiến tông về tây kinh.
十一月,初八日,遷塟裕陵.	Tháng mười một, ngày mồng tám, đưa táng hiến tông ở dụ lăng.
禮官按故事,奏請立碑.	Lễ bộ xét lệ cũ, tâu xin dựng bia.
帝可其奏,乃命文臣阮仁浹,范盛,程志.	Vua y lời tâu, bèn sai văn thần là bọn nguyễn nhân thiếp, phạm thịnh, trình chí
森等󰱇碑文.	Sâm soạn văn bia.
遣使如明.	Sai sứ sang nhà minh.
吏部左侍郎鄧讚,撿討屈瓊玖,户科都給事中刘光輔等歳貢;兵部右侍郎阮鄰,監察御史阮敬嚴等告哀;禮部右侍郎阮寶珪,東閣校書陳曰良,校理武珠等求封.	Bọn lại bộ thị lang đặng tán, kiểm thảo khuất quỳnh cửu, hộ khoa đô cấp sự trung lưu quang phụ đi tuế cống; bọn binh bộ hữu thị lang nguyễn lân, giám sát ngự sử nguyễn kính nghiêm đi báo tang; bọn lễ bộ hữu thị lang nguyễn bảo khuê, đông các hiệu thư trần viết lương, hiệu thư vũ châu đi cầu phong.
是月,初八日,帝弗豫.	Tháng này, ngày mồng tám, vua không khoẻ.
初帝即位,出囚人,放宫女,停不急之務,减偏重之役,抑貢献省力役,任勳舊,攢威權,抑戒外戚,发篤親藩;凡經綸大經,建立大本,無所不用其極.	Khi vua mới lên ngôi, tha tù nhân, thả cung nữ, ngừng những việc không cần kíp, giảm những việc nặng nhọc, bớt đồ dâng cống, giảm nhẹ lực dịch, dùng bề tôi cũ có công, nắm giữ mọi uy quyền; hạn chế, răn đe thế lực họ ngoại, dốc lòng thương yêu các vị thân vương, mọi việc sửa sang nghiệp lớn, dựng đặt gốc lớn, không điều gì không đến nơi đến chốn.
天下臣民皆拭目以觀初政,以爲成,康,文,景.	Thần dân trong nước đều chăm chú dõi nhìn chính sự buổi đầu, cho rằng ngày nay lại được trông thấy đời thịnh trị của thành, khang, văn, cảnh.
十二月,初六日壬戌,帝勑諭朝臣屏山侯黎廣度,贑川伯黎能讓,及文武臣僚等:"朕疾未痊,慮付托重寄恐有未堪.	Tháng mười hai, ngày nhâm tuất mồng sáu, vua sắc dụ triều thần là bọn bình sơn hầu lê quảng độ, cống xuyên bá lê năng nhượng, và các quan văn võ rằng: bệnh trẫm chưa khỏi, lo rằng việc phó thác nặng nề e sẽ không kham nổi.
先皇帝第二子濬,賢明仁孝,可嗣正統,以承祖宗,以撫臣民.	Con thứ hai của tiên hoàng đế là tuấn, là người hiền minh, nhân hiếu, có thể nối được ngôi chính thống, để thừa kế tổ tông, vỗ về thần dân.
大臣百官,盡其忠貞以輔成大業;棊親王僣于天位,天下共誅之.	Đại thần và các quan hãy hết lòng trung trinh để giúp nên nghiệp lớn; thân vương nào dám tiếm vượt ngôi trời thì người trong nước cùng nhau giết đi.
初七日癸亥,帝疾大漸;八日甲子,崩于皇極殿,遺詔百官䘮服一循古禮.	Ngày quý hợi, mồng bảy, vua ốm nặng; ngày giáp tý mồng tám, vua băng ở điện hoàng cực, có di chiếu cho các quan để tang theo đúng lễ cổ.
十八日甲戌,中軍都督府左都督屏山侯黎廣度,宗人令叙恩使黎能讓,.	Ngày giáp tuất mười tám, trung quân đô đốc phủ tả đô đốc bình sơn hầu lê quảng độ, tông nhân lệnh tự ân sứ lê năng nhượng
暨公,侯,伯,駙馬,都尉,五府,六部,御史󰱑,東閣,翰林,六寺,六科,提刑十三道等官,詣興明殿奉迎憲宗第二子濬即皇帝位.	Cùng các công, hầu, bá, phò mã, đô uý, các quan năm phủ, sáu bộ, ngự sử đài, đông các, hàn lâm, lục tự, lục khoa, đề hình các quan mười ba đạo, đến điện hưng minh kính đón con thứ hai của hiến tông là tuấn lên ngôi hoàng đế.
大赦,改元以明年爲端慶元年.	Đại xá, đổi niên hiệu lấy sang năm là năm đoan khánh thứ nhất.
時,阮寶珪如明未過䦕,再改封表文送𭁈寶珪奉行.	Bấy giờ, nguyễn bảo khuê sang sứ nhà minh chưa qua cửa ải, lại sửa đổi tờ biểu cầu phong khác giao cho bảo khuê mang đi.
是時,頒大赦詔.	Bấy giờ, ban chiếu đại xá cả nước.
條于天下其一中進士科未有除用而病故者,許子孫蔭如官員例,并入流試官許饒一男,󰱇丁壮一男.	Trong chiếu có một điều là người đỗ khoa tiến sĩ chưa được bổ dụng mà ốm chết thì cho con cháu được tập ấm như lệ của các quan viên, và các thí quan nhập lưu thì cho một con trai được nhiêu miễn, chỉ tuyển một con trai làm tráng đinh thôi.
二十五日,定五城門外作直店例.	Ngày hai mươi lăm, định lệ làm điếm trực canh ngoài cửa ngũ thành.
勑㫖:五城門外,效力,神.	Có sắc chỉ rằng: ở ngoài cửa ngũ thành, các vệ hiệu lực, thần
武,殿前,構作瓦屋二連,每連七間.	Vũ, điện tiền, phải làm hai dãy nhà ngói, mỗi dãy bảy gian.
每日,該把門用一人出直店譏察,并錦衣肅清員人亦在.	Hàng ngày, đơn vị giữ cửa dùng một người ra điếm trực để xét hỏi người qua lại, các nhân viên túc thanh của vệ cẩm y cũng phải ở đó.
夜間,内臣即在󰱑門内.	Ban đêm, nội thần phải ở trong cửa đài.
若一連神武,殿前,效力,用二員軍,二十人,盾五十靣,手箭五枝,宿直如法.	Còn mỗi dãy nhà thì dùng hai viên quan, hai mươi lính, năm mươi chiếc mộc, năm cây thủ tiễn của các vệ thần vũ, điện tiền, hiệu lực để túc trực theo như pháp lệnh.
