高蠻，一名眞臘，一名高綿。	Cao Man có tên nữa là nước Chân Lạp, lại một tên nữa là nước Cao Miên.
虜船先退，質知等未知，率相暹虜兵，連結屯壘于永濟河旅拒，再向我軍屯堡往來滋擾。	Thuyền giặc lui trước, bọn Chất Tri chưa biết, cùng nhau đem quân Xiêm, quân giặc liên kết với nhau, lập đồn luỹ ở sông Vĩnh Tế để chống cự, lại đến đồn bảo quân ta đi lại quấy nhiễu.
范文典、阮文閒等分道進勦，殺傷甚眾，燒毀匪柵殆盡。	Bọn Phạm Văn Điển, Nguyễn Công Nhàn chia đường tiến đánh, giết hại rất nhiều, đốt phá hết trại sách của giặc.
是役也，我兵不過數千，殺退賊黨二萬餘，不暇三刻，拔取七屯，斬殺無算，永濟河左右一律蕩平。	Trận đánh này, quân ta không quá vài ngàn người mà giết lui được hơn 2 vạn bè lũ của giặc; không đến ba khắc, lấy được 7 đồn, chém giết không biết đâu mà kể, bên tả bên hữu sông Vĩnh Tế dẹp hết một loạt.
又移兵轉向七山，與黎文德會兵，取次進攻禁山、象山。諸匪屯聞風走竄，復入斜別山，據險旅拒。官兵進戰，多有斬獲。	Lại di quân chuyển đến núi Thất Sơn cùng Lê Văn Đức hội quân lần lượt tiến đánh các đồn thổ phỉ ở núi Cẩm Sơn, Tượng Sơn, quân giặc nghe thấy bóng gió chạy trốn cả, lại vào núi Trà Biệt giữ chỗ hiểm để chống cự quan quân tiến đánh, chém và bắt được nhiều.
及至蛇巽、蘇山二處，最多險阻。該匪段段設築屯柵，約十餘所。	Kịp đến 2 xứ Sà Tốn, Tô Sơn, rất nhiều hiểm trở, bọn giặc ấy chia từng đoạn thiết lập đồn sách ước hơn 10 chỗ.
官兵分爲五道，撥取小船，乘夜潛進。平明，一齊達岸，督兵上壘。	Quan quân chia làm 5 đạo, lấy thuyền nhỏ nhân đêm lẻn tiến đi, đến mờ sáng đến bờ cả một loạt.
匪徒竆蹙，相率投首以千數。	Đốc quân lên luỹ, bọn giặc cùng quẫn, cùng đem nhau đến thú, kể có hàng ngàn.
七山悉平。遂命班師。	Thất Sơn đều dẹp yên hết cả, bèn ra lệnh kéo quân về.
召黎文德來京，分派協勦之各省員弁均回原職。	Triệu Lê Văn Đức về Kinh, những viên biền các tỉnh chia phái đi hợp đánh, đều về nhận chức cũ.
暹人遭此敗衂，嘗欲增撥兵船重來助蠻滋事。	nước Xiêm bị thua đau lần này, thường muốn phái thêm binh thuyền lại đến lần nữa, để giúp giặc Man sinh sự.
適該國有事，遽止。	Vừa gặp nước ấy có việc, vội dừng lại.
質知、名𧑒罷回鎭西。	Chất Tri và tên Dun trở về Trấn Tây.
虜長亦以質知失利，召還，以仕肥代之。名𧑒書乞挽畱保護。	Quốc trưởng của giặc cũng lấy cớ là Chất Tri bị thua, triệu về, đem Sĩ Phì để thay, tên Dun đưa thư xin lưu ở lại để bảo hộ, Quốc trưởng của giặc y cho.
虜長許之。質知聞官兵乘勝進勦鎭西，書乞虜長增派兵一萬，往屯海西。久聞無事，亦撤回。	Chất Tri nghe tin quan quân nhân thế thắng tiến đánh Trấn Tây, đưa thư xin Quốc trưởng phái thêm 1 vạn quân, đến đóng đồn Hải Tây, nghe mãi, thấy không có việc gì, rồi cũng rút quân về.
帝以蠻匪茲已勦平，而鎭西尚未全復，特派黎文德充經略、尊室弼充參贊、林維義充贊理，前往南圻，整理邊務。	Vua cho là thổ phỉ người Man nay đã dẹp yên, mà Trấn Tây còn chưa lấy lại cả đư̖ đặc phái Lê Văn Đức sung chức Kinh lược, Tôn Thất Bật sung chức Tham tán, Lâm Duy Nghĩa sung chức Tán lý tiến đến Nam Kỳ, chỉnh lý việc biên cương.
黎文德途間攖病畱養。弼等前往炤辦。	Lê Văn Đức đi đường bị bệnh ở lại điều dưỡng; bọn Bật tiến đi để làm.
三年春，參贊、贊理鄧員摺敍進取。辰方乾涸，未便。	Năm thứ 3, mùa xuân, các viên Tham tán, Tán lý đệ tập tâu nói: Nay đương lúc khô cạn, chưa tiện tiến lấy.
奉旨，準撤回京職。	Vâng chỉ chuẩn cho rút về Kinh cung chức.
仍以西寧府係是關要地頭，制禦臘蠻，先從此路經略。	Nhưng cho phủ Tây Ninh là chỗ địa đầu quan yếu, muốn chống giữ bọn Lạp, Man, trước hết phải kinh lược đường ấy.
特派吳文佳、高有翼前往建堡屯田，招民立邑，開交易場，許蠻土通商，以示綏懷。	Đặc phái cho Ngô Văn Giai, Cao Hữu Dực đến dựng đồn bảo, mở đồn điền, chiêu mộ dân lập ấp, mở trường giao dịch, cho người Man người thổ thông thương, để tỏ ý vỗ về yên ủi.
再準帶將茶龍等隨往，擇地安揷。	Lại chuẩn cho đem bọn Trà Long theo đến, chọn đất cho ở yên đấy.
安江省亦于地頭關要處設立屯堡，開交易場，招集土民往來通市。	Tỉnh An Giang cũng ở nơi địa đầu quan yếu thiết lập đồn bảo, mở trường giao dịch, chiêu tập thổ dân, đi lại mua bán.
四年，西寧、安江各處交易場人民日就加多。	Năm thứ 4, trường giao dịch ở các xứ Tây Ninh, An Giang, nhân dân đến ngày càng nhiều thêm.
土目、土民亦皆苦暹之虐，相率投歸者甚眾。	Bọn thổ mục, thổ dân cũng đều khổ về sự hà ngược của nước Xiêm, cùng rủ nhau chạy đến quy phục rất nhiều.
質知、名𧑒聞茶龍等往誘各滀，仍催其頭目回駐鎭西，另派他人代管土民，不許投首。再飭增築屯堡防禦。	Chất Tri và tên Dun nghe thấy bọn Trà Long đi dụ các súc, mới gọi các đầu mục về trú ở Trấn Tây, rồi phái người khác đi cai quản thổ dân, không cho đến thú, lại sức đắp thêm đồn bảo để phòng ngự, lại chiêu thêm các hạng hàng hoá của thổ dân đến buôn bán thu lấy 2 phần mười.
又炤土民來商貨項收取十分之二，以致土民困於征斂，而財貨多爲暹人虜掠，舉皆怨恨。	Đến nỗi thổ dân khổ về thuế má đóng góp mà của cải phần nhiều bị người nước Xiêm cướp bóc, dân đều oán giận.
土目心懷離叛，有乞以沙安投納者，有乞以南寧土民規料鎭西者，有乞以蘇美林土民從官兵効用者。	Thổ mục mang lòng lìa phản, có kẻ xin đem Sa An dâng nộp; có kẻ xin lấy thổ dân Nam Ninh để mưu tính phủ Trấn Tây; có kẻ xin đem thổ ở Kỳ Tô, Mỹ Lâm theo quan quân cố sức làm việc.
於是飭茶龍代作玉雲與𧑒母之書，復與名𧑒，使之歸命，竝許土民通商。	Bấy giờ mới sức Trà Long thay thư của Ngọc Vân và mẹ tên Dun để đưa cho tên Dun, khiến cho hẳn về với triều đình và cho thổ dân thông thương.
第有暹目質知爲之抑制，名𧑒亦不得自由矣。	Nhưng vì có đầu mục nước Xiêm là Chất Tri áp chế, tên Dun cũng không được tự do.
是年秋，邊臣阮知方等探得蠻情，多有効順，機有可乘，疏請舉兵進取鎭西，竝條陳勦撫機宜。	Mùa thu năm ấy, biên thần là bọn Nguyễn Tri Phương dò thám được tình hình người Mó nhiều người hết lòng qui thuận, cơ hội có thể nhận được. Dâng sớ xin cất quân tiến lấy Trấn Tây và tâu bày cơ nghi đánh dẹp và vỗ yên.
下廷議，僉言所籌得策。	Giao xuống đình thần bàn, mọi người nói trù tính thế là phải.
帝從之，仍準徐徐招誘蠻目，効順多人，然後舉兵進勦。	Vua theo lời, nhưng chuẩn cho hãy từ từ chiêu dụ đầu mục người Man, nhiều người về quy thuận, sau mới cất quân tiến đánh.
嗣而質知、名𧑒遣暹蠻大頭目親來巴爐處，向布政阮伯儀稟請求和，竝乞還名𧑒眷屬。	Rồi sau Chất Tri và tên Dun sai Đại đầu mục của Xiêm, Man thân đến xứ Ba Lộ nói với Bố chính sứ là Nguyễn Bá Nghi xin cầu hoà và xin trả về quyến thuộc tên Dun.
省臣阮知方等見其出自諄誠，據情題達。	Tỉnh thần là bọn Nguyễn Tri Phương thấy là lời xin tự lòng thành thực, cứ thực đề đạt lên.
朝廷方以愛養兵民、招撫蠻人爲意，姑準所請。	Triều đình đương để ý đến việc yêu nuôi quân dân, chiêu dụ vỗ yên người Man, tạm chuẩn y lời xin ấy.
質知爲人狡獪，探得蠻民多有怨己；名𧑒屢被屈辱，亦厭苦之。	Chất Tri là người giảo quyệt, dò được dân Man có nhiều người oán mình, tên Dun thường bị khuất nhục, cũng chán ghét rồi.
名𧑒、蠻目不順，乃謀與我講和，以誘慰蠻人。而卻請省官來書爲信，及送回蠻眷，然後講和。	Tên Dun và đầu mục người Man không thuận, mới mưu cùng ta giảng hoà để dỗ dành an ủi người Man, mà lại xin quan tỉnh gửi thư cho để làm tin, và đưa trả quyến thuộc người Man về, sau mới giảng hoà.
而彼虜輸誠，與名𧑒請罪之欵，則遲迴不肯修書，特借此和局，以爲緩兵之計耳。	Nhưng mà về khoản kẻ giặc kia đem lòng thành thực xin hoà cùng tên Dun xin nhận tội thì đùng dằng không chịu làm thư, chỉ mượn cuộc hoà này để làm kế hoãn binh mà thôi.
五年春，質知遣暹目名那設計賺捉專辦交易場阮伯佑等，縻畱之，欲以換回玉雲、玉秋。	Năm thứ 5, mùa xuân, Chất Tri sai đầu mục người Xiêm là tên Na mắc mẹo lừa bắt người trông coi trường giao dịch là bọn Nguyễn Bá Hữu giữ lại, muốn để đánh đổi Ngọc Vân, Ngọc Thu đem về.
邊臣阮知方等見得和事不成，疏請舉兵進勦。	Biên thần là bọn Nguyễn Tri Phương, thấy việc hoà không thành, dâng sớ xin cất quân tiến đánh.
下廷議，皆以休兵息民爲請；俟暹、蠻自相魚肉，土目內應効順多人，然後乘機援勦。	Giao xuống đình thần, đều xin thôi việc binh cho dân yên nghỉ, đợi khi nước Xiêm nước Man tự chém giết lẫn nhau, rồi sau hãy thừa cơ đem quân viện trợ đánh dẹp.
欽奉帝準，依議。	vâng vua chuẩn y lời bàn.
是年冬，名蒭、名敏等挈眷投來乞援，簾突親向安江請兵。	Mùa đông năm ấy, bọn tên Sô, tên Mẫn mang gia quyến chạy sang ta xin viện trợ. Liêm Đạt thân đến An Giang xin quân.
遂遣尹蘊、阮黃、阮公閒等分道前來援勦。	Bèn sai Doãn Uẩn, Nguyễn Hoàng, Nguyễn Công Nhàn chia đường tiến sang viện trợ đánh dẹp.
又派大臣武文解、尊室帛前往嘉定，隨機調度。	Lại phái đại thần là Vũ Văn Giải, Tôn Thất Bạch đến Gia Định tuỳ cơ điều khiển.
阮知方、尹蘊、阮黃進勦柵蒭，踏平鉄壘。質知挫衂，遂棄鎭西，挈名𧑒走回烏東躲隱，築壘固守。	Nguyễn ương, Doãn Uẩn, Nguyễn Hoàng tiến đánh Sách Sô, phá luỹ Bình Thiết, Chất Tri bị thua mới bỏ Trấn Tây đem tên Dun chạy về Ô Đông ẩn nấp, đắp luỹ cố giữ.
卽命武文解等迅往安江，竝乘機勦撫慰。官兵乘勝進定鎭西，分設土官，招管土民。隨卽進兵永隆，圍截烏東，高築土山，運將大礮放擊。質知勢就竆蹙。	Tức thì sai bọn Vũ Văn Giải đi mau đến An Giang, nhân cơ hội đánh dẹp và vỗ yên, quan quân nhân thế thắng tiến đến dẹp yên được Trấn Tây, chia đặt thổ quan chiêu dụ và coi quán dân thổ; rồi tức thì tiến quân đến Vĩnh Long, vây chặn Ô Đông, đắp núi đất, vận đại bác lên để bắn, Chất Tri thế đến cùng quẫn.
嗣連堅之役，胡德秀輕進，遇伏，失利。	Rồi sau trận đánh ở Liên Kiên, Hồ Đúc Tú khinh suất tiến lên, gặp quân phục bị thua.
質知乃因被獲之該隊黎文恩慰遣返回，齎書乞和。武文解據情題達。	Chất Tri bèn nhân cai đội bị bắt được là Lê Văn yên ủi cho về, mang thư hoà, Vũ Văn Giải cứ tình thực đề đạt lên.
朝廷重念兵民，準依所請。	Triều đình nghĩ đến quân dân, chuẩn y lời xin.
尋而質知逾限，不有修書，復借此緩兵，而和事終不提起。	Rồi thì Chất Tri quá hạn không có làm thư, lại mượn đấy để hoãn binh, mà việc hoà không có nhắc đến.
版築烏東，謀圖固守。復欲驅煽土民，如年前鎭西故事。	Đắp luỹ ở Ô Đông, mưu tình cố giữ, lại muốn xô đẩy bọn thổ dân nổi lên, như việc cũ Trấn Tây năm trước.
但土民見我許和，皆不直質知所爲，不肯嚮從。	Nhưng thổ dân thấy ta đã cho hoà đều không cho việc Chất Tri làm là phải, không chịu hưởng ứng theo Chất Tri.
是年冬，質知勢屈，再乞求和，竝帶引名𧑒同來會舍首罪。	Mùa đông năm ấy, Chất Tri biết thể khuất, lại xin cầu hoà, và dẫn tên Dun cùng lại hội xá thú tội.
阮知方見其出自眞誠，遵依前旨，聽受其降，具事以聞。	Nguyễn Tri Phương thấy có lòng chân thành, tuân y chỉ dụ trước, nghe cho đầu hàng, rồi đem việc ấy tâu lên.
帝俯從所請，仍準名𧑒奉表稱臣。暹酋遣使修書，竝交回漢民，退兵虜境，方聽講和。	Vua theo lời xin, nhưng bắt tên Dun dâng biểu thuần phục; tù trưởng nước Xiêm làm thư sai sư dâng lên, và giao trả dân binh lui về, lui quân về cõi giặc, mới nghe cho giảng hoà.
六年，質知、名𧑒派委暹、蠻頭目詣軍次，懇乞送回𧑒母，得憑修書首罪。	Năm thứ 6, Chất Tri và tên Dun phái uỷ đầu mục nước Xiêm nước Man đến tại quân thứ xin đưa trả mẹ tên Dun về, để được bằng cứ vào đó mà làm thư thú tội.
軍次大臣許之。	Đại thần ở quân thứ nghe cho.
尋又要求妾女而北低捉人芳草鬧堡。彼又惹出事來。	Rồi lại yêu cầu trả lại vợ lẽ con gái lại bắt người ở Bắc để làm náo động ở bảo Phương Thao, họ lại gây việc ra.
軍次大臣節經責問，則佯作罔聞。惟以送回妾女爲言，而納民稱臣之款，懇假十一月期清辦。	Đại thần ở quân thứ đã tiết thứ trách hỏi, thì giả làm không nghe thấy, chỉ nói về việc đưa trả vợ lẽ và con gái, mà về khoản nộp dân, xưng thần xin gia hạn đến tháng 10 sẽ làm xong.
遲引日，圖欲敗和，俟辰滋事。	Chậm trễ quanh co kéo dài ngày định muốn phá bỏ việc hoà, đợi thời sinh sự.
迨見我無隙可乘，而蠻民又不爲之驅使，於是掉尾乞憐，仍尋舊好矣。	Đến khi thấy quân ta không có chỗ kẽ hở nào có thể thừa cơ được, mà dân Man lại không chịu để cho xua đuổi sai khiến, bấy giờ mới vẫy đuôi xin thương, tìm lại hoà hiếu cũ.
是年冬，蠻酋遣使來京稱臣奉貢。	Mùa đông năm ấy, tù trưởng Man đến Kinh đô xưng thần dâng lễ cống.
七年春，奉命，使封名𧑒爲高蠻國王。復封玉雲爲高蠻郡主，使之協管土民，虔修職貢。	Năm thứ 7, mùa xuân, sai sứ phong tên Dun làm Cao Man Quốc vương, lại phong Ngọc Vân làm Cao Man Quận chúa, khiến cho hiệp cùng nhau cai quản dân thổ, kính sửa lễ cống hàng năm.
名𧊉及投誠之藩僚隨便處置，各副其願。	Tên Bướm và quan phiên đem lòng thành thực quy thuận đều tuỳ tiện xử trí, được vừa lòng muốn cả.
是年夏，宣封高蠻事淸，該國委藩目二名，代捧表文，來京拜謝。	Mùa hạ năm ấy, việc tuyên phong nước Cao Man xong, nước ấy ủy 2 tên đầu mục Phiên, thay mặt mang biểu văn đến Kinh lạy tạ.
下詔班師凱還。	Xuống chiếu kéo quân thắng trận trở về.
其國俗：崇奉釋氏。本扶南遺教。	Tục nước ấy sùng phụng Phật, vốn là tôn giáo của nước Phù Nam để lại.
有一古寺，依山峝，門臥一佛像，最古，相傳爲北帝像。又有一㙮，其高無量，似出神工，蓋千年之物也。	Có một chùa cổ, có một tượng Phật rất cổ nằm ngang tựa vào cửa động núi, tương truyền là tượng Bắc Đế Lại có 1 ngọn tháp cao không biết chừng nào, dáng như thợ trời làm ra, là vật cổ nghìn năm vậy.
明命二十一年，致其葉經數篋。其書刺葉成文，如蛇螾蟠結。譯出，辭甚鄙俚，遂止。	Năm Minh Mạng thú 21 (1840) đưa đến vài hòm kinh bằng lá cây, sách ấy châm thủng lá cây thành chữ, như con rắn con giun quấn quýt lấy nhau, dịch ra, lời rất quê mùa, bèn thôi không dịch nữa.
王所居樹木柵，裏土爲城，屋覆以樹葉。器皿多用金銀，故有富貴眞臘之諺。	Chỗ vua ở thì dựng cột sách bằng gỗ, bọc đất bên ngoài để làm thành, nhà lợp bằng lá cây, đồ đạc phần nhiều dùng vàng bạc, cho nên ngạn ngữ có câu rằng: Giàu sang như nước Chân Lạp.
官秩十爲上、一爲下。	Phẩm trật của quan tước thì trật thứ 10 là trên hết, trật thứ 1 là thấp.
藩僚入見王，則膝行。人民居室甚鄙陋，班布橫腰，不著衣袴。	Quan Phiên vào ra mắt vua, thì đi bằng đầu gối; nhân dân nhà ở rất thấp hẹp, lấy vải sặc sỡ quấn ngang lưng, không mặc áo quần.
土產：玉石、文木、荳蔻。	Thổ sản thì có ngọc đá, gỗ có vân và đậu khấu.
海湖魚鼈不可勝食。	Ở Bể Hồ thì cá giải ăn không thể siết được.
其國當初彊大，土地富饒。又有野田不殖而熟。	này lúc trước mạnh lớn, đất cát giàu tốt; lại có ruộng hội không trồng cây mà được gặt lúa.
暹羅小弱地瘠，常仰給焉。	Nước Tiêm La thì nhỏ yếu, đất xấu, thường nhờ nước này cấp đỡ cho.
其後微弱，暹羅彊盛，遂爲所制云。	Về sau suy yếu đi, nước Tiêm La cường thịnh lên, mới bị nước Tiêm La chế ngự.
