第十一回。	Hồi thứ mười một.
看豚儿犬岂子耳，做也实难，与其亲见选败而死，不若先之为愈也！」	Nhưng ta xem nó chỉ như con lợn, con chó, khó lòng mà làm được như thế. Chết khi chính mắt trông thấy nó thất bại, thà rằng chết trước còn hơn!
楚知其情，使人监守甚密，曰：「选无降意，吾亦不可以养寇。」	Sở biết ý ông ta, liền sai người canh giữ rất nghiêm ngặt, và nói: - Tuyển đã không có ý hàng, thì ta cũng không thể nuôi giặc.
乃自将攻之，载选父妻以行，遣大都督阮文雪领水军，而亲督步兵，与文麟分左右翼，沿大河南北岸并进，至青池津，得选谍者。	Rồi Sở tự đem quân đi đánh Tuyển, đưa cả cha và vợ Tuyển đi theo. Sở sai đại đô đốc Nguyễn Văn Tuyết thống lĩnh thuỷ quân, còn mình thì thân hành đem bộ binh cùng Phan Văn Lân chia làm hai cánh tả hữu, men theo hai bờ sông cái, cùng tiến lên.
问之，言选只有战船八十艘，次咸子关，而无步卒，其军饷必取于民。	Đến bến Thanh Trì, Sở bắt được một tên do thám của Tuyển, tra hỏi thì y nói: - Tuyển chỉ có tám chục chiếc chiến thuyền, đóng ở cửa ải Hàm Tử, mà không có quân bộ.
五日一期，亦无常继。	Lương thực toàn lấy của dân, năm ngày một kỳ, nhưng cũng không được đều đặn.
军士或维舟泊岸，入民家虏掠，人皆厌之，势必不能久驻。	Quân của Tuyển có khi buộc thuyền ở ven bờ sông, rồi vào nhà dân cướp bóc, mọi người ai cũng chán ghét, thế không thể nào đóng lâu ở đấy được.
且选筑土垒于大黄江，督役甚急，盖将退屯此地，以为固守计耳。	Gần đây, Tuyển lại sai đắp luỹ đất ở sông Hoàng Giang, đốc thúc công dịch rất gấp. Nghe đâu ông ta sắp lui về đấy để làm chước cố thủ.
楚由是尽得虚实之状，谓麟曰：「吾军此行，取选如取小儿，决不难也。」	Nhờ vậy, Sở biết rõ tình hình hư thực của Tuyển, liền bảo với Lân rằng: - Quân ta chuyến này bắt Tuyển như bắt đứa trẻ con, không khó gì cả!
乃合步兵乘夜分二道南趋，出选军后，夹河两岸等待之。俟水军与选接战，闻炮声发，即鼓躁而走，两边交向选船以射之。	Sở bèn họp quân bộ, chia làm hai đạo, nhân đêm tối tiến về phía nam, vòng ra sau quân Tuyển, phục kích ở hai bên bờ sông, đợi khi thuỷ quân giao chiến với quân Tuyển và nghe thấy tiếng súng nổ, thì lập tức giục trống, hò reo xông lên, hai cánh cùng nhắm thuyền quân của Tuyển mà bắn.
于是战于金洞，选军失利，只得顺流疾掉南走。	Rồi đó, hai bên giao chiến ở vùng huyện Kim Động, quân Tuyển bất lợi, phải theo nước xuôi chèo gấp về nam.
楚乘胜挥军追之，至大黄江，选军依垒自守，水步相应，以与楚拒战。	Sở thừa thế vẫy quân đuổi theo. Đến sông Hoàng Giang, quân Tuyển dựa vào luỹ đất để giữ thế thủ, hai mặt thuỷ bộ nương tựa lẫn nhau để chống với quân Sở.
始选之败于金洞也，下畔士民，皆未及知；但见舟船塞江，旌旗蔽空，以为选军有必胜之势；又闻驾在真定，选使人以舟来迎，乘舆且至。人情莫不踊跃，争率丁壮，开旗擂鼓，以迎王师。	Lúc Tuyển thua ở Kim Động, sĩ dân mạn xuôi đều chưa ai biết. Trông thấy thuyền bè đầy sông, cờ quạt rợp trời, họ cho là quân Tuyển thế nào cũng thắng trận. Lại nghe vua Lê ở Chân Định, Tuyển đã cho thuyền đi đón, xe vua sắp đến, nên ai cũng nô nức mừng rỡ, tranh nhau đem đinh tráng, mở cờ gióng trống để đón quân vua.
选见人情如此，故奉表请帝驾幸视师。	Tuyển thấy dân tình như thế, nên mới dâng biểu tâu xin nhà vua ngự ra coi quân.
登揆又力主亲征之议，帝不得已，勉从之。	Đăng Quĩ cũng hết sức chủ trương việc nhà vua thân chinh. Vua Lê bất đắc dĩ phải gắng gỏi nghe theo.
沿江之民望见御，益拥岸观之如堵，成曰：「吾君至矣！」	Nhân dân vùng ven sông trông thấy tàn lọng nhà vua, đều xúm xít trên bờ, chen chúc đứng xem chật như nêm cối. Ai nấy đều nói: "Vua ta đến đấy!"
相率罗拜呼万岁。	Rồi bảo nhau vái lia lịa và tung hô "vạn tuế".
北至梧桐江，忽见一人遽南走，步军执之问。	Xe vua đi sang hướng bắc, đến sông Ngô Đồng, chợt thấy một người hớt hơ hớt hải chạy về phía nam. Quân lính liền bắt lại, hỏi cớ sao mà chạy.
他口战不能对，但以手指远村，徐曰：「贼至矣！	Người ấy miệng run cầm cập, không thể nói được, chỉ giơ ngón tay trỏ về một làng ở đằng xa, hồi lâu mới đáp: - Giặc... đến... nơi... rồi!
众共登高望之。」隐约于丛树间，有一支兵从西来，旗帜半隐半见，咸曰：「西山的样。」	Mọi người cùng lên trên cao mà nhìn thì thấy thấp thoáng ở trong đám cây cối um tùm, có một toán quân đang từ phía tây đi tới, cờ quạt khi mờ khi tỏ. Ai nấy đều nói: "Đúng là bộ dạng quân Tây Sơn".
众急下船奏白之，帝曰：「选军在前，贼兵安得飞过到此？」	Họ vội vàng xuống thuyền, tâu rõ với vua. Vua nói: - Quân Tuyển đóng ở phía trước, quân giặc sao lại vượt qua mà đến đây được?
命春洽登岸以远视镜筒觇之。	Rồi nhà vua sai Xuân Hạp lên bờ, dùng ống viễn kính để xem.
洽验果是，恐惊众，复奏曰：「那兵样未的，但西贼出神没鬼，甚不可测。	Hạp xem đúng là quân Tây Sơn, nhưng sợ quân sĩ kinh sợ, bèn trở lại tâu rằng: - Bộ dạng toán quân ấy chưa được rõ ràng, nhưng quân Tây Sơn xuất quỷ nhập thần, rất là khó lường.
豫备不虞，古之法也。	Đề phòng việc bất trắc, đó là phép đời xưa.
请且暂移御舟，泊东岸以观之。」	Vậy xin tạm dời thuyền ngự sang bờ bên đông xem sao?
帝曰：「善。」	Vua cho là phải.
原来楚初伐选，以水军顺流而下为正兵，而密令都督阮文和领轻兵，从平陆天水来为奇兵，以袭其后。	Thì ra lúc bắt đầu đi đánh Tuyển, Sở đã dùng thuỷ quân thẳng theo dòng sông xuôi xuống làm chính binh; lại ngầm sai đô đốc Nguyễn Văn Hoà lĩnh đạo khinh binh do đường Bình Lục, Thiên Thuỷ vòng lại làm kỳ binh, để đánh úp phía sau.
选不之觉。	Nhưng Tuyển không hề biết.
两军交战才数合，选令将士列宝龙铳于江上。	Quân hai bên đánh nhau mới được vài hiệp, Tuyển sai tướng sĩ đặt súng bảo long ở trên bờ sông, để bắn quân địch.
将射之，忽见缚选父妻在船头，疾掉向前。	Chợt thấy quân địch trói cha và vợ Tuyển ở đầu thuyền, rồi chèo thuyền vun vút xông lên phía trước.
选望见之，泣曰：「子射父，逆天也。」	Tuyển trông thấy, khóc và nói: - Con bắn cha là trái với đạo trời!
止诸军勿射，令退入垒中固守。	Đoạn Tuyển vội vã thét quân sĩ thôi bắn, và lui vào trong luỹ để cố thủ.
忽闻铳声如雷，烟焰蔽天，军中大惊，争言敌已断来路矣。	Bỗng nghe tiếng súng ầm ầm như sấm, khói lửa ngút trời, quân lính hoảng sợ, đều nói nhao lên rằng: "Giặc đã chặn mất đường về rồi". Họ bèn bỏ chạy tan tác.
帝舟次东岸久之，闻选军败，贼兵四下，杀戮无算。人皆丧魄，弃舟登岸，夺路而走。	Tuyển ngăn không nổi, liền cùng bộ hạ hơn trăm người nhằm phía nam sông Hoàng Giang mà chạy. Thuyền vua Lê đóng ở bờ phía đông hồi lâu, sau nghe tin quân Tuyển thua trận, quân Tây Sơn xông ra bốn phía, chém giết rất giữ dội, thì mọi người đều mất hết hồn vía, bỏ cả thuyền bước vội lên bờ, cướp đường mà chạy.
帝亦顺流放船南走，至江岐不知去处，命急呼登揆问之，已不见乘船矣。	Nhà vua thấy vậy, liền thuận theo dòng sông buông thuyền chạy về phía nam. Khi tới một ngã ba sông, không biết đi về ngả nào, vua bèn sai gọi gấp Đăng Quĩ để hỏi, nhưng đã không thấy Quĩ ở trên thuyền nữa.
于是北风正急，帝令开帆直出，望洋面而去。	Lúc ấy gió bắc đang mạnh, vua sai giương buồm thẳng ra biển mà đi.
四顾渺茫，天水一色，随风凌波，荡漾于沧溟中，死生盖已置之度外矣。	Bốn bề mênh mang, mù mịt, trời nước một màu, theo gió cưỡi sóng, lênh đênh trong biển khơi, việc sống chết lúc ấy thật không biết đâu mà lường.
帝仰天祝曰：「天若不欲存黎祀，愿从海马去，适南海广利王所，不愿生还为也。」	Vua Lê ngước mắt lên trời mà khấn rằng: "Nếu trời không muốn bảo tồn dòng dõi họ Lê, thì xin nguyện đi theo hải mã đến chỗ Quảng lợi vương ở biển Nam Hải, không cần sống làm gì nữa".
言未已，忽见群山突兀涌出波中，山后有船约数十艘，急问柁工，已是汴山洋分的。	Nói chưa dứt lời, chợt thấy có một chòm núi, đột ngột hiện ra giữa những lớp sóng, sau núi có chừng vài chục chiếc thuyền. Vua vội vàng hỏi người cầm lái, thì ra đã đến hải phận Biện Sơn.
渐近见一人戎装立船头，视之乃黎班也。	Dần dần lại gần, thấy một người bận quần áo trận đứng ở đầu thuyền, nhìn kỹ chính là Lê Ban.
帝且喜且怍，未知所言，班知是御舟，皇遽拜谒。	Vua vừa mừng vừa thẹn, chưa biết nói sao. Ban biết là thuyền vua, vội vàng đến bái yết.
帝泫然流泣曰：「朕悔不用卿计，为登授所误，早知至此，宁在峡山而败，无宁归真定而败。重苦一番跋涉，取笑于人而已。	Vua ứa nước mắt mà nói: - Ta hối không dùng kế của nhà ngươi, bị Trương Đăng Quĩ làm lỡ. Biết trước thế này, thà ở Giáp Sơn mà thua, còn hơn là đến Chân Định mà thua, thêm một phen lặn lội, chỉ tổ cho người ta chê cười. Nhưng thôi, cũng là việc đã rồi.
往不可复，今将若何？」	Còn bây giờ thì nên làm như thế nào?
班对曰：「多难兴邦，殷忧启圣。	Ban tâu: - Thần nghe nói: "Có lắm nạn mới dấy được nước, sự lo phiền mở rộng thánh đức".
愿陛下勿以此自沮，胜负兵家之常。	Xin bệ hạ chớ vì thế mà nhụt chí. Thua được là việc thường của nhà binh.
啻如奕棋，输了一着，再筹别局。要得胜人奇算，规模已定，方可出头。	Ví như đánh cờ, thua ván này bày ván khác, cố làm sao cho có nước cờ lạ hơn người, quy mô sắp sẵn rồi, mới có thể ra mặt.
今贼气太锐，我未占得分地，不可与试。	Hiện nay thế giặc quá mạnh, ta chưa chiếm được một mảnh đất nào, không thể đánh nhau với chúng.
臣请取道入蓝山，即太祖兴王之地，为保驾之所，告谕山蛮酋长。	Thần xin bệ hạ lên đường vào Lam Sơn là đất hưng vương của Thái tổ ngày xưa, lấy đó làm nơi bảo vệ xa giá, rồi sai người truyền dụ các tù trưởng của dân mường mán.
彼皆藩臣苗裔，谁不激劝。	Họ đều là dòng dõi phiên thần, ai mà chẳng hăng hái?
收拾清、乂旧卒，彼皆宿卫亲军，谁不乐从，沿山一路，往来相通。	Thêm vào đó, lại thu nhặt quân hai xứ Thanh, Nghệ, họ đều là lính túc vệ thân cận xưa kia, ai là chẳng vui lòng đi theo? Thế rồi theo đường ven núi, qua lại liên lạc với nhau.
山南、山西、兴化三镇，江顺流而下，忽于山中突出，不日之间，三道并兴，直抵都城，本朝中兴用此道也。」	Quân ở ba trấn Sơn Nam, Sơn Tây, Hưng Hoá xuôi dòng sông mà xuống, đột ngột từ trong núi kéo ra. Một ngày kia cả ba đạo đồng thời nổi dậy, tiến thẳng đến đô thành. Cuộc trung hưng của triều ta xưa kia, chính là dùng cách ấy.
帝从之，乃改从陆路归清化。命班往天关，谕泰郡；尊室维礻团往扶床，谕西岭。	Vua nghe lời, liền theo đường bộ đi về vùng Lam Sơn, trấn Thanh Hóa. Rồi sai Ban qua đất Thiên Quan (tên phủ, gồm đất các huyện Nho Quan, một phần huyện Gia Viễn (Ninh Bình) và một phần huyện Lạc Sơn (Hoà Bình) ngày nay) dụ quận Thái; sai tôn thất Duy Lan tới đất Phù Sùng dụ hai viên tù trưởng ở Tây Lĩnh.
那二酋始与西山通好，不敢遽背，皆曰：「臣等累世受国厚恩，敢不尽心！	Hai viên tù trưởng này vừa mới qua lại hoà hảo với Tây Sơn, không dám trở mặt ngay, họ đều nói: - Chúng tôi mấy đời nhờ ơn nặng của nhà nước, há dám không hết lòng?
但经营大业，必积累乃成，未可遽效于旬日。	Nhưng mà kinh doanh nghiệp lớn, ắt phải tích luỹ lâu năm mới thành, không thể làm xong ngay trong khoảng mươi hôm.
昔汉祖、唐宋尚艰难于五六年间，伏愿圣虑详审。	Đời xưa Hán Cao tổ, Đường Thái tông còn phải khó nhọc đến năm sáu năm.
姑以蓝山为养晦之地，假臣等以年月，习士马，缮戎器，具糇粮，除道路，乃可以奉命。	Vậy xin lượng thánh xét kỹ, hãy cứ lấy Lam Sơn làm nơi ẩn náu, thư thả để cho chúng tôi luyện tập quân mã, sắm sửa khí giới, thu góp lương thực, sửa sang đường sá, rồi mới có thể vâng mệnh nhà vua được.
若要急做，恐非臣等力所能办也。」	Nếu muốn làm gấp, e không phải sức của chúng tôi có thể làm nổi.
礻团归言于帝曰：「彼实无汇义心，姑退托以拒我，山岚瘴气，此地不可久留，愿早筹之，无徒费了光阴。」	Lan về nói với vua rằng: - Chúng nó thật không có lòng mộ nghĩa, nên tạm dùng lời thoái thác để cự tuyệt ta. Chỗ này sơn lam chướng khí không thể ở lâu. Vậy xin bệ hạ sơm sớm lo liệu, đừng để mất thì giờ vô ích.
帝然之，乃谋出金榜，微服归京北，权驻谅山，再徙慈山，居参知廷玙第。	Vua cho là phải, bèn lập mưu thay quần áo như người thường, trở về Kinh Bắc, tạm trọ ở phủ Lạng Giang, sau lại dời ra phủ Từ Sơn, ở nhà viên tham tri là Đình Dư.
于是黎亶、允励、名案、武<木昭>、武桢、春洽等，相继往来。	Do đó, bọn Lê Đản, Doãn Lệ, Danh Án, Vũ Chiêu, Vũ Trinh, Xuân Hạp lại lần lượt lui tới chỗ vua ở.
帝与之筹划，玙曰：「今陛下爪牙之臣，惟班、选、珠三人，选自黄江之败，奔还乂安，不知下落。	Vua cùng họ bàn mưu tính kế; Đình Dư nói: - Nay bề tôi nanh vuốt của nhà vua chỉ có ba người là Ban, Tuyển và Châu. Tuyển từ sau khi thua ở Hoàng Giang, chạy về Nghệ An, nay không biết ở đâu?
珠为西山拿捕，逃躲林谷，不暇为谋。	(theo Cương mục, thì sau đó Tuyển ra Thăng Long xin hàng Ngô Văn Sở, bị Sở giết chết) Châu bị Tây Sơn lùng bắt, lẩn trốn vào hang núi, không còn thì giờ lo toan công việc.
班奉旨招谕，尚在清化，亦未有消息。	Ban vâng chỉ đi chiêu dụ, còn ở Thanh Hóa, cũng chưa có tin tức gì.
自今栖寓村坞，臣等往来屑屑，恐久必为人知，变且不测。	Hiện nay bệ hạ nương náu ở nơi thôn ổ, lũ thần đi lại luôn, sợ lâu dần có người biết, sẽ xảy ra tai biến bất trắc.
不如北幸高平，辉宿奉皇太后驾在此，内挟藩臣为扈，外倚天朝为援，庶可有为！」	Chi bằng bệ hạ hãy đi lên Cao Bằng, Huy Túc hiện còn hầu thái hậu ở đó. Trong thì dùng các phiên thần hộ vệ, ngoài thì dựa vào sự cứu viện của thiên triều, ngõ hầu mới có thể làm được việc.
帝曰：「前日朕已使吴俧往，预使为之注措，闻俧道中病发，不知如何？」	Vua nói: - Trước kia, ta đã sai Ngô Thì Chí lên Cao Bằng (ở trên nói đi Lạng Sơn, đây lại nói đi Cao Bằng, có lẽ là chép lầm) để sắp đặt sẵn mọi việc. Nghe đâu Chí bị ốm giữa đường, nay không biết ra sao?
名案对曰：「俧病，力下果行，巳舆疾归嘉平没矣。	Danh Án thưa: - Chí bị bệnh nặng, không đi được, phải cáng về huyện Gia Bình, rồi mất.
臣等闻之，未及奏知也。」	Chúng thần nghe tin, nhưng chưa kịp tâu.
帝垂涕曰：「亡一良臣矣！	Vua ứa nước mắt, nói: - Mất một người bề tôi giỏi rồi đấy!
惜哉！」	Tiếc thay!
即手为诏，赠俧翰林侍制爵裕泽伯以付案。曰：「可携赐其妻子，使明知朕意。」	Rồi vua bèn tự tay viết tờ chiếu, truy tặng Chí làm chức hàn lâm thị chế, tước Dụ trạch bá, trao cho Án và nói: - Nhà ngươi cầm tờ chiếu này đưa cho vợ con của ông ta, cho họ biết ý của trẫm.
亶进曰：「方今臣民之从敌者，尽以国情输彼，将有所图，彼先知之。	Đản tiến lên nói: - Hiện nay những kẻ thần dân theo giặc, đem hết tình hình nước nhà nói với chúng, cho nên mình sắp mưu toan việc gì, thế nào chúng cũng biết trước.
甚有引贼以逼乘舆，变自内作，非只外敌，是以至灵、峡山，两度不果，寻有山南之役，为今之计。	Thậm chí có kẻ còn đưa giặc đến để bức bách nhà vua. Biến tự trong sinh ra, không chỉ có giặc ngoài mà thôi. Vì thế mà việc ở Chí Linh và Giáp Sơn, cả hai lần đều không làm nên chuyện; liền đó, việc ở Sơn Nam cũng vậy.
独有遣使如清告急，请以师陈境上，问西山构兵，与国人从贼之罪，使贼党不能自安，背叛亦有所惧，则应义之人心始坚。	Ngày nay chỉ còn có cách là sai sứ sang cáo cấp với nhà Thanh, xin họ dàn quân sát biên giới nước ta, để hỏi cái tội của quân Tây Sơn gây việc binh đao và bọn người trong nước theo giặc; làm cho bọn giặc không thể ở yên, mà lũ phản nghịch cũng có phần sợ.
而恢复之机，不至为彼所泄挠也。」	Như vậy, thì lòng mộ nghĩa của người ta mới được bền vững mà mưu cơ khôi phục mới khỏi bị tiết lộ và khỏi bị phá rối.
帝曰：「善。」乃命为书先达两广部督。其略曰：「本国三百年来，仰藉天朝威德，世守藩封，国内绥静。	Vua cho là phải, bèn sai thảo bức thư, đưa trước cho viên tổng đốc lưỡng Quảng (tức hai tỉnh Quảng Đông và Quảng Tây (Trung Quốc)), đại lược nói rằng: "Ba trăm năm nay, nước chúng tôi nhờ đội oai đức của thiên triều, đời đời giữ chức phiên phong, trong nước yên lặng.
不幸运遭中否，故王殂落，西山阮惠，以国婿亡恩背义，乘危伐丧，据有其国。致嗣孙奔亡于外，告哀求封，未有遣使，体例多有欠缺。	Chẳng may vận nước giữa chừng gặp buổi suy vi, vua trước qua đời. Nguyễn Huệ Tây Sơn là rể nước tôi, quên ơn bội nghĩa, nhân khi nguy biến, đánh người trong lúc có tang; lại chiếm cứ đất nước, để đến nỗi người cháu nhà vua phải trốn chạy ra ngoài, chưa kịp sai sứ báo tang và xin phong, thể lệ nhiều điều thiếu thốn.
苟不叩关陈达，恐有缘此获戾。	Nếu không tới cửa ải mà bày tỏ, e lại vì thế mà mang tội.
辄此具由禀白，统祈上宪，体恤远情，曲为题达，所有陈情表文，谨委行介赍捧，别其副本呈览，遥惟天覆地载，遐远不遗，追轸臣先世恭顺之诚，悯臣弱息羁栖之苦，敕下提兵压境，讨罪定乱，再造臣国，万荷天恩，大皇帝之德，难以名言，上宪帮护之功，当与本国山河同其流峙矣。」	Vì vậy, nay xin bẩm rõ nguyên do, mong rằng quan lớn thương tình kẻ ở xa, đề đạt giúp cho. Tôi đã có biểu trần tình, xin giao cho một người đem đi, lại có chép một bản phụ, xin trình lên ngài xem. Vời trông thiên triều, ví như trời che đất chở, xa gần không sót chỗ nào. Xét đến tấm lòng kính thuận của các đời trước nhà tôi, và thương đến nỗi khổ yếu ớt, lang thang của tôi; xin hãy truyền cho đem quân tới sát bờ cõi, đánh kẻ có tội, dẹp yên loạn lạc, để gây dựng lại nước tôi. Muôn vàn lần nhờ ơn thiên triều, ơn đức của đại hoàng đế không sao kể xiết, mà công giúp đỡ của quan lớn cũng sẽ cùng bền vũng với núi sông của nước tôi vậy".
书成，命亶、案克正副使，二人挟亲信数人同行，只带残笠敞衫，如行旅然。	Thư thảo xong, vua sai Đản và Án sung chức chánh, phó sứ. Hai người đem vài kẻ thân tín cùng đi, chỉ đội nón cũ, bận áo rách như người thường dân đi đường.
帝送之保禄山中，谕之曰：「四方专对，使臣职也。	Vua Lê tiễn hai người đến vùng núi Bảo Lộc và dặn rằng: - Đối đáp ở đất nước người là chức trách của sứ thần.
此行系国之存亡，事之济否，卿等各宜临机应变，平生蕴蓄，学措于行，三寸经纶，辞不可已，勉之！	Chuyến đi này quan hệ đến sự mất, còn của nước nhà và sự thành, bại của công việc. Các ngươi nên tuỳ cơ ứng biến, đem cái tài học chất chứa lúc bình sinh mà thi thố ra việc làm. Tài kinh luân ở ba tấc lưỡi, việc từ lệnh ấy không thể thiếu được.
勉之！副朕所期。」	Các ngươi nên cố gắng, cho xứng đáng với tấm lòng trông chờ của trẫm.
二人拜谢而去。	Hai người lạy tạ rồi đi.
亶私谓案曰：「吾等名则陪臣，实同亡命。行间无迎送之烦，路中有遮阻之患，崎岖山间，设若内地未至，敌兵追收，此正半上落下，最为关碍，若已近督部堂，吾无患矣。」	Đản nói riêng với Án rằng: - Bọn ta tiếng là bồi thần, thật ra chẳng khác gì kẻ vong mạng, ra đi lúi xùi chẳng có ai đưa đón, trên đường thì nhiều sự cách trở, lại phải trèo leo vất vả trong chốn núi rừng. Nếu chưa đến đất Trung Hoa mà đã bị quân giặc đuổi bắt, thì đó chính là sự dở dang rất đáng lo ngại. Còn như đã tới được gần doanh của đốc bộ lưỡng Quảng thì ta không còn lo gì nữa.
案曰：「天心若祚社稷，必无此事，何用过为忧患？	Án nói: - Nếu như lòng trời còn giúp xã tắc, chắc sẽ không có việc ấy, cần gì mà phải lo xa?
惟自我南有国以来，与内地通，虽创业中兴，遭时坎坷，不知其几，而陪臣奉使，未有如吾侪今日者也。」	Có điều, từ khi nước ta có nước đến nay, trong việc đi lại với Trung Hoa tuy rằng các đời sáng nghiệp và trung hưng cũng đã từng gặp cảnh gieo neo không biết là bao nhiêu phen, nhưng mà kẻ bồi thần đi sứ, chưa có ai lại như chúng ta ngày nay.
因赋诗有曰：「千古犹传奇绝事，敞衫残笠使臣装。」乃从山中间道过谅山关去。	Nhân thế, Án làm bài thơ, trong có hai câu rằng: "Ngàn thuở còn truyền câu chuyện lạ: Sứ thần áo rách, nón mê tàn Rồi hai người theo con đường tắt trong núi, qua cửa ải Lạng Sơn mà đi.
正是：去国一身穿汉塞，动人两泪泣秦廷。	Thật là: Rời nước một thân qua ải Hán Đau lòng hai mắt khóc sân Tần. 
未知二人此去如何，且听下面分解。	Chưa biết hai người đi chuyến này ra sao? Hãy xem hồi sau phân giải.
