第六回。	Hồi thứ sáu.
时皇上所招兵卫，现至阙下者数千，左右咸劝上曰：「他不过张大声势而已，我但吓得他恐，可从而乘之耳！	Khi ấy, quân của hoàng thượng chiêu mộ, đã có tới vài ngàn người, hiện đã đến ở trước cửa khuyết. Các quan tả hữu bèn khuyên hoàng thượng rằng: - Chẳng qua hắn cũng giương to thanh thế đấy thôi! Ta cứ doạ cho hắn sợ, ắt là có thể nhân đó mà đè bẹp được hắn.
他有手下二万，我不下数千，两下相攻，直欲吞也未易下咽，大凡国内之民，虽所在各随其豪目唱率而起，固有彼此之分，然遵帝之心也，若抗帝以为事，决无一人敢从。	Hắn có một vạn thủ hạ, quân ta cũng hàng mấy ngàn; nếu như hai bên đánh nhau, hắn muốn nuốt ta cũng chưa dễ đã nuốt trôi. Vả chăng nhân dân trong nước tuy nơi nào theo sự kêu gọi của hào kiệt nơi ấy mà nổi lên, và cố nhiên lại có chia ra đám nọ đám kia khác nhau, nhưng cái lòng tôn vua thì đều như nhau cả. Nếu lấy việc chống lại nhà vua để nổi dậy, thì quyết không một người nào dám theo.
今瑞郡不肯入朝拜谒而偃然居府，未得上命而遽请敕谕，若容易许之，将来势头不堪，请且责以一拜便立，料他必不敢来，事迟势解，辰忠仲济二人虚坐府中，作排优文武戏，毕竟不得多时。」	Nay quận Thuỵ không chịu vào triều để bái yết, lại nghênh ngang ngồi trong phủ, chưa được mệnh vua mà đã xin sắc dụ, nếu ta dễ dãi cho hắn ngay, sau này khí thế của hắn mạnh thêm, sẽ có nhiều điều khiến ta không thể chịu nổi. Vậy xin cứ bắt hắn phải vào lạy trước đã rồi mới được lập, chắc chắn là hắn sẽ không dám tới. Hắn không tới, thì việc sách lập sẽ chậm, mà thế lực của hắn tất nhiên sẽ tan vỡ. Thần trung hầu, Dương Trọng Tế hai người ngồi suông trong phủ mà đóng vai quan võ, quan văn phường chèo, thì rốt cuộc cũng chẳng được mấy lúc.
上从之，乃命为旨传谕仲济，晓以故事，立王当亲受命，后隆以不拜不名之礼，使内翰黎有诰赍传至府，仲济看讫，对使者裂之曰：「怪哉！	Hoàng thượng theo lời, sai thảo một tờ chỉ, truyền dụ cho Trọng Tế, nói rõ lệ cũ mỗi khi lập ngôi chúa, thì chúa mới phải thân hành vào triều vâng mệnh nhà vua; rồi nhà vua mới hậu đãi bằng cái lệ "vào triều không lạy, tờ tâu không xưng tên". Thảo xong, hoàng thượng sai viên nội hàn là Lê Hữu Cáo đem tới phủ đường.
吾不见何朝何代立王而帝敢牵阻如此，必几个拜蛮的狂汉，恐立王后，王问彼罪，故为帝唆尔，吾何事祈请，只好提兵来捕尽唆者，单存木位，看帝立也不立！」	Trọng Tế xem rồi, tức thì xé tan tờ chỉ dụ ngay trước mặt sứ giả mà nói: - Lạ thay, ta chưa từng thấy triều nào, đời nào lập ngôi chúa mà vua lại dám ngăn trở như vậy! Chắc là mấy thằng rồ dại đã lạy quân mọi hôm nọ, sợ rằng sau khi lập chúa, chúa sẽ hỏi tội chúng nó, cho nên chúng nó mới xúi bẩy nhà vua đấy thôi. Ta cần gì phải xin xỏ, cứ việc đem quân đến bắt hết mấy thằng xúi bẩy ấy đi, cho trơ cái ngai gỗ ra.
又谓使者曰：「使者归奏皇上，曰：『王还为王，帝何所损？	Xem vua có cho lập hay không cho lập? Đoạn, Trọng Tế lại bảo sứ giả: - Ông về tâu với hoàng thượng, chúa vẫn làm chúa, nhà vua có thiệt hại gì đâu?
』请且立之，后谨当拜。」使者归奏，上大怒曰：「他侮我太甚！	Xin hãy cứ lập đã, rồi sẽ vào lạy sau: Sứ giả về triều tâu hết đầu đuôi, hoàng thượng càng tức giận mà rằng: - Nó khinh ta quá lắm!
又何以吾命为，任他自为之，饶他一拜。」	Như thế nó còn phải xin mệnh của ta làm gì? Thôi mặc cho nó tự làm lấy, ta cũng không khiến nó lạy nữa!
朝臣闻之，莫不震慑。	Các quan trong triều thấy vậy, thảy đều run sợ.
会有琨郡奏本上进，言：「臣先祖佐先帝中兴，蒙天子策勋厚答，锡以王位，近代专久生弄，悖理反常，以坠祖宗之业，今圣天子一统天下，包含覆戴，以天地为心，不忍绝臣家宗祀，臣忝以郑氏嫡派避难居民家，眷怀宗庙，夜夙辗转，第未奉诏旨，未敢入城，冒渎宸衷，伏候进览。」	Giữa lúc ấy, bỗng có tờ tâu của quận Côn đệ vào, đại ý nói rằng: "Tổ tiên nhà thần giúp đức tiên đế gây nghiệp trung hưng, đội ơn thiên tử xét công ban thưởng rất hậu, phong cho ngôi chúa. Đến đời gần đây, vì chuyên quyền lâu ngày, đâm ra kiêu lộng, làm những việc trái với lẽ thường, đến nỗi sụp đổ mất cơ nghiệp của tổ tông. Nay thánh thiên tử thống nhất thiên hạ, đùm bọc che chở, tấm lòng rộng mở bao la như trời đất, chẳng nỡ làm tuyệt diệt tôn miếu nhà thần. Thần may được là dòng trưởng họ Trịnh, lánh nạn nấp ở dân gian, cái bụng mến nhớ tông miếu, bâng khuâng suốt cả đêm ngày, chỉ vì chưa được chiếu chỉ, cho nên thần vẫn chưa dám tự tiện vào thành. Vậy dám đánh bạo tâu lên hoàng thượng xem xét".
上见表大悦曰：「吾闻琨郡为人极有礼让，信然！」	Hoàng thượng coi hết tờ biểu, rất hài lòng, khen: - Trẫm nghe nói quận Côn là người hết sức lễ độ, khiên tốn, quả nhiên không sai!
乃付下朝议，朝臣诸员闻琨郡在彰德，蹶然有兴之势，乃劝上传旨召之，琨郡得旨，乃分部曲士马刻日而出，官军吏士争往迎之。	Rồi ngài sai giao tờ biểu đó xuống cho triều đình bàn bạc. Các viên quan triều nghe tin quận Côn ở vùng Chương Đức, hiện có cái thế nổi lên được, ai nấy đều ngầm có bụng ngả theo, nên đều khuyên hoàng thượng xuống chỉ vời vào. Quận Côn tiếp được chiếu chỉ, lập tức phân chia hàng ngũ người ngựa, luôn trong bữa ấy lên đường về kinh. Quan quân lại sĩ nghe tin, tranh nhau đi đón.
辰忠仲济闻之，心鼻已夺，众心颇摇，乃自卑屈，使人奉请以瑞郡进拜，上许之。	Thần trung hầu và Trọng Tế thấy vậy đều sợ hết hồn hết vía, đám người đi theo cũng hơi ngã lòng. Cả hai bấy giờ mới chịu lép vế cúi mình, sai người vào triều tâu xin cho quận Thuỵ tới lạy.
使者出，上乃命伏兵于近<土詹>桥边，俟瑞郡与辰忠仲济来，分道捕往问罪，瑞郡卒不敢来，仲济知事不济，言于瑞郡请与辰忠分道御琨郡，济兵御射场坞门，辰忠兵御社坛坞门，济密使阮茂称领兵请降，称行至仁睦社，遇琨郡前兵，使其徒倒戈于地，合手加额，立于道左，琨郡轿至，称遂跪下述仲济意，琨郡纳之，使称为前部选锋。	Hoàng thượng ưng lời. Khi sứ giả ra khỏi, hoàng thượng bèn sai lính phục sẵn ở bên cầu Cận thiềm, chờ quận Thuỵ và bọn Thần trung hầu, Trọng Tế tới nơi sẽ bắt lại để hỏi tội. Nhưng quận Thuỵ rốt cuộc cũng không dám vào. Trọng Tế biết việc không xong, bèn nói với quận Thuỵ, xin để mình và Thần trung hầu chia quân chống chọi với quận Côn. Quân của Trọng Tế ra đóng ở cửa ô Trường bắn (ở vào khoảng Giảng Võ, Voi phục trên đường Đại La, Hà Nội bây giờ), còn quân của Thần trung hầu thì đóng ở cửa ô Xã Đàn [nay ở vào khoảng làng Xã Đàn và Nam Đồng (Hà Nội)]. Rồi thừa cơ, Trọng Tế bèn bí mật sai Nguyễn Mậu Nễ đem một cánh quân lẻn đi xin hàng.
行至博举试场楼下遇辰忠军，辰忠军直向射之，称军皆坐以避弹，辰忠趁至，称军齐起，向前直趋辰忠军，辰忠见济已降，皆弃戈而走，称军与琨郡军乘势追至南同寨，斩获数百人，辰忠败走入城，诸军皆溃，瑞郡与辰忠仲济不复相顾，各只身而走，望翁圣坞门而出。	Nễ tới làng Nhân Mục, vừa gặp tiền quân của quận Côn. Nễ liền sai quân lính cắm ngược gươm giáo xuống đất, hai tay chắp lên trán, đứng ở bên trái đường. Khi kiệu của quận Côn đến nơi, Nễ quỳ xuống, thuật rõ ý của Trọng Tế. Quận Côn bằng lòng, sai ngay Nễ làm tiền bộ tuyển phong. Đi đến dưới lầu Trường Thi, gặp quân của Thần trung hầu chĩa súng bắn thẳng vào, quân của Nễ liền ngồi thụp cả xuống đất để tránh đạn. Quân của Thần trung hầu kéo ùa tới. Quân của Nễ bấy giờ mới nhất tề đứng dậy, xông bừa vào đám quân của Thần trung hầu. Quân Thần trung hầu thấy quân Trọng Tế đã đầu hàng như thế, liền vất bỏ cả gươm giáo mà chạy. Quân Nễ và quân của quận Côn thừa thế đuổi thẳng đến trại Nam Đồng, chém được chừng vài trăm người, quân của Thần trung hầu thua to phải chạy vào thành.
琨郡入城，济兵在射场坞门内，外为琨郡兵所扼，内为内殿卫卒所截，济兵无走路，乃死斗，刺皇亲坠马而死，上命将兵围捕尽杀之，流血没踝。	Thế là tất cả đều tan vỡ. Quận Thuỵ, Thần trung hầu, Trọng Tế không còn dịp nhìn nhau, nhắm thẳng phía cửa ô Ông Mạc, mạnh ai nấy chạy lấy thân mình. Quận Côn kéo quân vào thành. Khi ấy đám tàn quân của Trọng Tế ở cửa ô Trường Bắn, phía ngoài bị quân của quận Côn chẹn ngang, phía trong bị lính thị vệ của nội điện chặn giữ, thành ra chúng không còn đường nào mà chạy, phải liều chết cố đánh. Chúng đâm một hoàng thân ngã ngựa chết. Hoàng thượng cả giận, liền sai quân bổ vây, bắt hết cả bọn đem chém, máu chảy lênh láng, ngập đến mắt cá chân.
时九月十四日也。	Hôm ấy là ngày 14 tháng chín.
却说琨郡来势亦甚峥嵘，上但信其恭顺，将抚循而阴揉之，至是入城，上命于万寿殿引见，琨郡入见，行五拜三叩头礼讫，上赐坐谓曰：「王家二百年尊扶，功在皇家不浅，朕思厚之！	Lại nói, bấy giờ thanh thế của quận Côn rất là ghê gớm. Nhưng vì thấy y có vẻ cung kính, hoà thuận, nên hoàng thượng định hãy cứ vỗ về y, rồi sẽ ngấm ngầm uốn nắn dần. Đến lúc quận Côn đã vào trong thành, hoàng thượng liền sai dẫn y tới ra mắt ở điện Vạn Thọ. Quận Côn lạy năm lạy và rập đầu vái ba vái. Lễ xong hoàng thượng cho ngồi và bảo: Nhà chúa trải hai trăm năm tôn phò, công lao đối với nhà vua không phải là nhỏ. Trẫm muốn đền ơn thật hậu.
王亲无如公贤，又为嫡长，承鬯之任，朕本待公。」	Xét trong họ hàng nhà chúa, không ai được hiền như ông, vả ông lại là ngành trưởng, nên việc nối dòng tế tự trẫm vẫn để dành cho ông.
琨郡奏曰：「臣本凡庸，性喜恬寂，遭家否运，自分幽废，披缁投禅，以全余生，幸皇上圣谟默运，国难随清，臣复得睹天日，皇上复念臣家先祖，不忍绝臣，臣请归朝俟命，此生陶铸惟上之恩！」	Quận Côn tâu rằng: - Thần vốn là kẻ hèn mọn, tính lại ưa sự điềm tĩnh. Gặp lúc vận nhà suy bĩ, thần đành cam phận bỏ đi, những toan khoác áo cà sa mà sống cho trọn quãng đời thừa. May sao, nhờ hoàng thượng sẵn có mưu mô thần thánh, xoay lại vận hội trời đất, nên nạn nước lại yên, thần lại được trông thấy mặt trời. Bây giờ, hoàng thượng lại nghĩ đến tiên tổ nhà thần, mà không nỡ dứt bỏ thần, thần kính xin được về triều để đợi mệnh.
上曰：「善！」	Gây dựng cho thần kiếp này, đều là ơn của hoàng thượng vậy!
因问曰：「然则已择何地止其趋从否？」	Hoàng thượng khen phải, rồi hỏi luôn: - Thế đã chọn nơi nào để đóng quân hay chưa?
对曰：「有府亮犹可以蒙蔽风雨，臣请居之。」	Quận Côn đáp: - Toà lượng phủ (phủ cũ của thế tử họ Trịnh) còn có thể che mưa che gió, thần xin ở đấy.
上意不欲其居肘，乃曰：「公旧第宅无恙否？」	Ý hoàng thượng không muốn cho quận Côn ở trong phủ, bèn nói: - Nhà cũ của ông không việc gì chứ?
对曰：「臣家穷僻，烽火不及，又但被市人抄掠，残破无余。	Quận Côn thưa: - Nhà thần ở chỗ hẻo lánh, lửa binh không lan tới, nhưng cũng bị người kẻ chợ cướp bóc, tàn phá, không còn chỗ nào nguyên lành.
上曰：「端王太妃与诸王子何在？」	Hoàng thượng lại hỏi: - Thái phi và các vương tử của Đoan nam vương bây giờ ở đâu?
对曰：「仓卒之际，人各东西，及稍定始访知，今在山西彦岭之家，闻王子三人，其二已殇，惟元子在尔。」	Quận Côn đáp: - Trong lúc hoảng hốt vội vàng, mỗi người chạy đi mỗi ngả, đến khi tạm yên mới kịp dò hỏi. Nay vừa được biết, họ đều ở nhà Ngạn lĩnh hầu trên trấn Sơn Tây. Nghe đâu ba vị vương tử đã chết mất hai, giờ chỉ còn vị con cả mà thôi!
上曰：「端王昔厚于朕，朕深为轸念，曾使人省其坟墓，具礼吊慰，常访太妃与王子音信，今始得其详，可使人迎回，朕将有以厚之！」	Hoàng thượng nói: - Đoan nam vương xưa cũng có hậu tình với trẫm, trẫm rất thương xót, thường vẫn cho người thăm viếng phần mộ, sửa lễ cúng vái, để an uỷ hương hồn. Trẫm cũng thường hay hỏi thăm tin tức thái phi và các vương tử, đến nay mới biết đích xác. Vậy hãy cho người đón về đây, trẫm sẽ hậu đãi!
琨郡曰：「唯。」	Quận Côn đáp: - Dạ!
从容拜谢而退，过府门入省宫庙，恸哭久之，复命驾将归亮府。	Hồi lâu, quận Côn lạy tạ xin lui. Khi qua cửa phủ, vào thăm cung miếu, quận Côn gào khóc một chặp, rồi lại sai xe đưa về lượng phủ.
其臣下曰：「天下臣庶迎公来此，诚愿公居府为王，以希咫尺之功，今公逊府而不居，众将谓王子乃还王子耳，人情解体，大兵一散不可复合，僻居亮府，不若久居彰德，为清闲人，何苦调许多人来此为耶？」	Nhưng bọn tay chân nói: - Thần dân thiên hạ rước ngài đến đây, chỉ muốn ngài ở phủ làm chúa, để họ lập chút công danh. Nay ngài lại nhường phủ không ở, chắc họ sẽ bảo ngài là "vương tử lại hoàn vương tử". Rồi đó lòng người chán nản, đại binh sẽ tan, khó mà thu thập lại được. Nếu về ở lượng phủ, thà rằng cứ ở Chương Đức làm một người thanh nhàn, còn phải lôi kéo bao nhiêu người tới đây làm gì cho nhọc?
琨郡乃留府中，居于泽阁，为奏本曰：「臣谒家庙，见其香火冷落，光景萧条，徘徊不忍舍去，臣请权择庙旁一屋居之，庶得朝夕瞻拜，以萃祖考之灵。」	Quận Côn nghe lời, bèn lưu lại trong phủ, vào ở tại Trạch Các, rồi làm tờ tâu lên hoàng thượng, đại ý nói rằng: "Thần vào thăm gia miếu, trông thấy lửa hương nguội lạnh, quang cảnh tiêu điều, lòng bồi hồi không nỡ bỏ mà đi. Vậy xin tạm chọn một ngôi nhà cạnh miếu để ở, cho tiện sớm hôm quét dọn thăm nom, để cho linh hồn tiên tổ được yên".
封奏，上知其情其势未可禁，谓左右曰：「若欲居府便得为王，瑞郡又不除矣！	Hoàng thượng xem tờ tâu, hiểu ý ngay, nhưng thế chưa ngăn cấm được, liền bảo với các quan tả hữu rằng: - Nếu muốn ở phủ, tức là lại muốn được làm chúa rồi. Như thế thì cái nạn quận Thuỵ cũng vẫn chưa trừ được vậy.
这既破之巢，彼去此来，嚣尘污人，恨不及西山初去时，一炬以了之。」	Cái ổ đã vỡ đó, hết kẻ kia đi, lại đến kẻ này lại, ồn ào bụi bậm làm dơ bẩn con người. Trẫm giận mình, lúc Tây Sơn mới đi, đã không kịp cho ngay nó một mồi lửa cho rảnh!
次日上命朝臣廷议册封，上意欲封以国公爵，而禄则厚之而已。	Hôm sau, hoàng thượng sai các quan trong triều bàn việc sách phong cho quận Côn. ý hoàng thượng chỉ muốn phong làm quốc công rồi cho hưởng lộc hậu hơn mà thôi.
朝臣见其拥兵居府，必不肯虚坐，且看天下所趋之势，想抑之使勿大也不得，莫敢自先议，或请上曰：「王家文祖初受封为节制水步诸营平章军国重事国公爵，请按此故事则有所据。」	Nhưng các quan triều thấy quận Côn giữ binh ở phủ, chắc y không chịu ngồi suông; vả lại, coi cái thế thiên hạ hùa theo y bây giờ, thì có đè nén cho y khỏi to lớn cũng chẳng được nào. Bởi vậy, không có người nào dám bàn trước. Chợt có kẻ xin với vua rằng: - Nhà chúa từ khi Văn tổ (tức Trịnh Tráng) bắt đầu được phong là chức tiết chế thuỷ bộ chư doanh, bình chương quân quốc trọng sự và tước quốc công. Bây giờ, xin theo như lệ cũ ấy mới là có căn cứ.
上乃命以国史颁下，令省节制等字，廷臣未敢决，会琏忠丁锡壤应敕而来，步兵三千驻钵场，号三万，水船三百艘，军志以东江为号，凡闻琏声势多归附之，至是带轻骑数百人入城，扬扬有渺视天下之色，上以琏来与琨郡来适相值，恐琏怀不平，引琏入见，慰谕温存，琏亦陈自己忠爱之诚。	Hoàng thượng bèn sai lấy quốc sử xuống để tra xét cho rõ, rồi bắt bớt đi hai chữ "tiết chế". Các quan triều đều phân vân chưa dám quyết định. Giữa lúc ấy, chợt có tin báo Liễn trung hầu Đinh Tích Nhưỡng vâng sắc hoàng thượng đã tới. Nhưỡng có ba ngàn bộ binh đóng ở Bát Tràng, nói thặng lên là ba vạn, và ba trăm chiến thuyền đóng ở bến Thuý ái, nói thặng lên là ba ngàn; lại lấy hiệu quân là Đông Giang. Người trong nước bấy giờ, nghe thanh thế của Nhưỡng, đua nhau đi theo rất đông. Nhưỡng đem vài trăm khinh kỵ vào thành, dương dương tự đắc có vẻ coi khinh cả thiên hạ. Hoàng thượng thấy Nhưỡng đến vừa lúc quận Côn cũng đến, e cuộc gặp gỡ ấy làm cho Nhưỡng bất bình, mới sai người dẫn Nhưỡng vào ra mắt, vỗ về an ủi cực kỳ ôn tồn. Nhưỡng cũng giãi tỏ hết tấm lòng trung ái của mình.
上谓琏曰：「卿既来此，可毕众入城以卫京师。」	Hoàng thượng bảo Nhưỡng: - Nhà ngươi nay đã đến đây, nên đem hết quân vào thành để bảo vệ kinh sư.
琏拜谢而出。	Nhưỡng lạy tạ rồi lui ra.
上命琏出朝与众官议事，众官以国史故事语琏，琏曰：「臣武人不识文学，不知皇上待王家是厚耶？薄耶？」	Hoàng thượng lại bảo Nhưỡng ra triều đình để cùng các quan bàn việc. Các quan đem lệ cũ ở quốc sử ra nói với Nhưỡng. Nhưỡng nói: - Tôi là kẻ võ biền không biết văn học; chẳng hay hoàng thượng đãi nhà chúa như thế là hậu hay bạc?
众官未敢答。	Các quan ngập ngừng chưa dám trả lời ngay.
阮翰曰：「王家不能守其宗庙，皇上存之如此亦可谓厚。」	Chợt có Nguyễn Hàn đáp rằng: - Nhà chúa không thể giữ nổi tôn miếu, hoàng thượng bảo tồn cho, như thế kể cũng đã là hậu.
琏熟视之曰：「公是进士耶？」	Nhưỡng nhìn Hàn chòng chọc và hỏi: - Ông là tiến sĩ phải không?
曰：「是。」	Hàn thưa: - Phải!
曰：「某科？」	Nhưỡng lại hỏi: - Đỗ khoa nào?
曰：「巳亥盛科。」	Hàn trả lời: - Khoa Kỷ hợi (1779).
琏默然而出，众官各各并退。	Nhưỡng nín lặng đi ra. Các quan cũng đều lui về.
是日琨郡手下欲藉琏声势以速成事，请琨郡召涟来相托，琏辞曰：「臣为黎郑臣，惟知黎郑，岂有他心？	Hôm ấy, thủ bạ của quận Côn vì muốn dựa vào uy thế của Nhưỡng cho chóng thành việc, mới khuyên quận Côn mời Nhưỡng đến để phó thác công việc. Nhưỡng từ chối mà rằng: - Tôi là bề tôi nhà Lê nhà Trịnh, chỉ biết có nhà Lê nhà Trịnh, há lại có bụng dạ kia khác nào?
公来此封爵未定，臣握兵适来，今若见公，或公得为王，来日定议于朝，或微有异同，人将谓臣于公有私，请俟成命，拜见未晚。」	Nay ông đến đây, việc phong tước còn chưa xong, tôi lại vừa mới đem quân tới, nếu tôi vào ra mắt ông, e khi ông được làm chúa, rồi nay mai hội bàn ở triều đình, tôi có điều gì không đồng ý kiến với họ, người ta sẽ ngờ cho tôi là tư túi với ông. Vậy xin hãy cứ chờ đến khi nào có mệnh lệnh nhất định của hoàng thượng, bấy giờ tôi sẽ đến lạy chào cũng chưa muộn gì.
次日，上命封琏郡公爵，使内翰黎有诰谕琏以一心皇家成一统之事，琏曰：「臣受诏而来，惟愿圣天子居上揽权，一统四海，天下之福，臣敢不竭力以效愚忠，但前日失律丧师，以致国事至此，陛下既赦臣罪，已为万幸，今王嗣未定，而臣又先受封爵，公议谓何？	Hôm sau, hoàng thượng xuống chỉ phong Nhưỡng tước quận công, rồi sai nội hàn Lê Hữu Cáo khuyên Nhưỡng một lòng giúp rập nhà vua cho thành công cuộc nhất thống. Nhưỡng nói: - Tôi vâng chiếu đến đây, chỉ mong thánh thiên tử ở trên cầm quyền, nhất thống bốn biển, ấy là phúc của thiên hạ. Tôi đâu dám chẳng ra sức để làm cho tỏ hết lòng ngu của mình? Nhưng trước kia tôi trót phạm quân luật, làm tan vỡ cả một đạo quân, để cho việc nước đến nông nỗi này; mà nay hoàng thượng lại tha tội cho, như thế cũng đã là may mắn lắm rồi. Còn bây giờ, trong lúc ngôi chúa vẫn chưa định, mà tôi lại đi nhận phong tước trước, thì dư luận của mọi người sẽ bảo tôi ra sao?
臣事陛下日长，且请进还封命。	Tôi thờ bệ hạ còn về lâu về dài, vậy nay hãy xin trả lại mệnh phong tước.
诰因以国公之议问壤以窥其意，壤曰：「圣天子不乏智虑，第称王家功德而酬之可也。」	Tiện thể, Cáo đem việc hoàng thượng muốn phong cho quận Côn tước quốc công để dò ý Nhưỡng. Nhưỡng bèn đáp rằng: - Thánh thiên thử chẳng thiếu gì trí tuệ, cứ đãi ngộ thế nào cho xứng với công đức của nhà chúa là được.
诰归述壤意，请依文祖故事，乃命朝臣议封琨郡公为节制水步诸营军国重事，琨国公，给兵三千人，田五千亩，民二百社，以奉王祀。	Cáo về triều, thuật lại ý Nhưỡng, và xin theo đúng như lệ phong Văn tổ khi trước. Hoàng thượng lại sai các quan triều bàn bạc rồi phong quận Côn làm tiết chế thuỷ bộ chư doanh, bình chương quân quốc trọng sự, tước Côn quốc công, cấp ba ngàn tên lính, năm ngàn mẫu ruộng, hai trăm xã dân để cung phụng về việc tế tự nhà chúa. Sau đó, các quan lại đem ý của hoàng thượng nói với Nhưỡng.
朝臣以上诚意语壤，壤无异辞，乃上进御览。	Nhưỡng chẳng có ý kiến gì khác. Các quan bèn đem lời bàn của triều đình tâu lên hoàng thượng.
上以文祖初受封如此，后又进为王，恐不先明白，久后更生议论，国公爵之议既成，上命朝臣为敕谕，显言从今以后世袭公爵，朝臣依命行之。	Hoàng thượng nghĩ rằng: Văn tổ ngày xưa lúc mới phong thì thế, mà rồi về sau, lại tiến lên đến ngôi chúa. Bây giờ nếu không nói trước rõ ràng, e rằng lâu dần sẽ lại sinh ra những chuyện khác. Bởi vậy, khi đã quyết định việc phong tước quốc công cho quận Côn, hoàng thượng bèn bắt các quan triều làm tờ sắc dụ, nói rõ từ nay về sau cứ đời đời nối tiếp tước công mà thôi. Các quan triều vâng mệnh hoàng thượng làm đúng như vậy.
此等字壤所不预知也。	Mấy chữ ấy ghi trong sắc dụ. Nhưỡng không được biết gì hết.
明日命官赍敕就府，授琨郡讫，乃命揭敕书于大兴门外，以示天下。	Hôm sau, hoàng thượng, sai quan đem sắc đến phủ ban cho quận Côn, rồi lại sai đem dán bản sao ra ngoài cửa Đại hưng cho thiên hạ đều biết.
壤见世袭公爵等字，忽言曰：「以公爵为初命犹为有理，今以公爵画定，教王家子孙永世继述其祖宗，岂有此理？	Nhưỡng xem tờ yết thị, thấy có chữ "đời đời nối tiếp tước công" liền hằm hằm mà rằng: - Lấy tước công làm cái mệnh lúc đầu, còn có lý. Nay lại nhất quyết hạn định ở tước công, bắt con cháu nhà chúa đời đời kiếp kiếp cứ phải noi theo như thế mãi thì còn có lý nào nữa?
此回贼来，帝得尊扶，文武诸臣无一人失其爵位，王家独何辜？	Vừa rồi giặc đến, nhà vua được tôn phò, các quan văn võ không một người nào phải mất tước vị; riêng nhà chúa thì có tội tình gì mà lại bị thụt chức?
看坐朝几个面目，谁不受王家深恩，而以巧文迎合乃尔，殊太轻薄，他以巧文名，我还以巧文斗，看看孰胜？」	Thử coi những kẻ tai mắt ngồi ở trong triều, ai không chịu ơn sâu của nhà chúa? Thế mà bây giờ người ta lại dùng những câu văn khéo léo để chiều ý nhà vua như vậy, thật là khinh bạc quá lắm! Được! Họ đã nổi tiếng vì câu văn khéo léo, thì ta cũng lại lấy câu văn khéo léo mà chọi lại, thử xem ai thắng ai?
乃为晓揭示曰：「邯江丁锡壤肃达于文武诸贵台：今奉敕旨，立国公以奉王嗣，如众情已妥，应各诣府拜贺，或念王家功德别有奏请如何？	Rồi Nhưỡng làm luôn một tờ yết thị như sau: "Hàm Giang, Đinh mỗ kính đạt các quan văn võ quý đài: Nay vâng sắc chỉ lập quốc công để nối dòng dõi nhà chúa. Nếu như lòng người đều đã thoả thuận, thì nên đến phủ lạy mừng.
当共会于西龙宫与某商议，修表上奏，伏候圣裁，以副天下之望。」	Nhược bằng ai còn nghĩ đến công đức nhà chúa, riêng có ý tâu xin thế nào, thì hãy đến cùng họp ở cung Tây long, bàn với mỗ về việc thảo biểu dâng lên hoàng thượng, để cúi chờ thánh thượng xét định, cho thoả lòng mong mỏi của thiên hạ".
初国公命下，众咸以为此事声口未息，至是壤先众为此会，以夺头功，而戒济等粗莽败事，亦不敢以势胁，朝臣之从帝者，朝臣初见壤，只坐观其左右，以卜其轻重，见壤为此会，不敢从壤，而心畏之，亦懒于从帝，帝虽决执前命，不肯加减半字，而心腹独运赞助无人。	Khi mệnh ban tước quốc công mới ban xuống, ai nấy đều nghĩ rằng việc đó hẳn chưa hết miệng tiếng. Đến lúc này Nhưỡng đã đi trước mọi người, lập ra cuộc họp để tranh công đầu. Tuy nhiên, để phòng ngừa vì lỗ mãng thô bạo mà hỏng việc như bọn Thần trung hầu, Dương Trọng Tế, nên Nhưỡng cũng không dám dùng uy thế mà ăn hiếp các viên triều thần hiện đang theo nhà vua. Ngược lại, các viên triều thần khi mới gặp Nhưỡng, cũng chỉ ngồi im để xem Nhưỡng ngả về bên nào mà cân nhắc nặng nhẹ. Lúc thấy Nhưỡng kêu gọi hội họp, mọi người tuy không dám theo Nhưỡng, nhưng trong bụng lại sợ Nhưỡng, vì thế việc theo phò nhà vua cũng có phần chểnh mảng. Còn nhà vua, tuy vẫn quyết tâm giữ mệnh cũ, không chịu thêm bớt nửa chữ, xong cũng chỉ xoay xở một mình, không ai là người giúp đỡ.
时文班赴壤会者，有吴仲圭、阮文历、阮宗腆、阮辉照、阮廷韶、潘辉益等六七人，众官在会，壤大设酺宴。	Bấy giờ, trong hàng quan văn đến họp với Nhưỡng có Ngô Trọng Khuê, Nguyễn Gia Lịch (có bản chép Nguyễn Văn Lịch), Nguyễn Tông Điển, Nguyễn Huy Chiểu, Nguyễn Đình Thiều, Phan Huy Ích... cả thảy sáu, bảy người. Các quan đến dự cuộc họp, được Nhưỡng đặt tiệc rất to để thết đãi.
宴毕，谓之曰：「国公之命，诸公以为何如？」	Tiệc xong, Nhưỡng hỏi mọi người rằng: - Cái mệnh "quốc công" các ông cho là thế nào?
仲圭曰：「二百年有帝有王，王家功德未应一败而绝，帝年少思虑未周，附和帝意，为此无理之事者，吾党之过也！	Ngô Trọng Khuê đáp: - Hai trăm năm nay có vua có chúa, công đức nhà chúa không thể vì một lần thất bại mà hết sạch. Nhà vua còn ít tuổi, nghĩ ngợi chưa chu đáo. Phụ hoạ với ý nhà vua để làm việc vô lý này, đó là lỗi của bọn chúng tôi.
这回整顿非公不了！」	Phen này chỉnh đốn lại, phi ông thì không xong.
