第九回。	Hồi thứ chín.
司马吴文楚请杀之，北平王犹惜其才，谓中书陈文纪、礼部武文纣曰：「北河人物，灿亦好底，我欲收而用之，而彼必不肯，尔等盍试一开晓之。」	Tư mã Ngô Văn Sở xin giết chết bọn Xán. Bắc bình vương còn tiếc tài của Xán, bèn bảo trung thư Lê Văn Kỷ và viên quan bộ Lễ là Vũ Văn Trụ rằng: - Nhân vật Bắc Hà, Xán cũng vào bậc giỏi đấy! Ta muốn thu phục hắn để dùng, nhưng mà chắc hắn không chịu. Các ngươi thử hiểu dụ hắn một phen nữa xem sao?
于是二人至监所，的见灿木梏仆卧，曰：「老大何自苦乃尔？」	Hai người bèn đến chỗ giam Xán, thấy Xán mang gông nằm sấp, liền nói: - Ông già sao lại tự mình làm khổ mình như vậy?
灿曰：「命矣夫！」	Xán trả lời: - Cũng là số mệnh đấy thôi!
纪曰：「君子有不受命，制之在我，譬之睹然。	Kỷ nói: - Quân tử có khi không cần theo số mệnh, chế ngự được số mệnh là cốt ở mình.
钱一俯一仰，吾从其胜者而赌之，天下称为良博。」	Ví như đánh bạc, đồng tiền một sấp một ngửa; ta theo kẻ được mà đánh, thiên hạ sẽ khen ta là người đánh bạc giỏi.
灿曰：「此所以为博徒，非君子之道。	Xán nói: - Bởi thế cho nên đó chỉ là phường cờ bạc, chứ không phải đạo của người quân tử.
吾闻为臣死忠，古之训也。」	Tôi nghe nói: "Kẻ làm bề tôi phải chết vì chữ trung". Đấy là lời dạy của người xưa!
二人知其不可夺，出曰：「汉有苏子卿，黎有陈公灿，可闵也！	Hai người biết là không thể làm lung lay được ý chí của Xán, liền đi ra và nói với nhau: - Nhà Hán có Tô Tử Khanh (tức Tô Vũ đời Hán Võ đế.
	Khi đi sứ Hung Nô, Tô Vũ bị Hung Nô giữ lại, bắt nuôi dê ở Bắc Hải 19 năm ròng, mà Tô Vũ vẫn giữ khí tiết không chịu khuất phục) nhà Lê có Trần Công Xán.
亦可憎也！」	Đáng thương, nhưng cũng đáng ghét thay!
会西王移书数北平王罪状，将发兵讨之。	Vừa gặp lúc đó, vua Tây Sơn gửi thư ra kể tội lỗi của Bắc bình vương và sắp phái quân tới đánh.
北平王麾下将士，或有亡去者，北平王谓陈文纪曰：「今我国有疵，人情携二，萧墙之变，不可使闻于邻国。	Tướng sĩ dưới cờ của Bắc bình vương có kẻ trốn đi, Bắc bình vương liền bảo Trần Văn Kỷ rằng: - Nay nước ta có việc lôi thôi, lòng người còn phân vân. Việc biến trong nhà không nên để nước láng giềng nghe biết.
北使在此，耳属于垣，彼远来觇我，留之则国情被他识破，或缘此投闲，弄出事故，归之则被他宣泄，北河知之，更生外侮。	Sứ Bắc ở đây, tai vách mạch rừng. Họ ở xa đến để dò xét ta, giữ họ ở lại thì họ biết rõ tình hình trong nước, hoặc giả nhân đó họ xúi giục, gây ra việc không hay. Thả họ về thì lại bị họ rêu rao làm lộ việc, người Bắc Hà mà biết, thì lại sinh lòng khinh rẻ ta.
我欲投之海中，以绝声迹，当依此计行之。」	Bởi thế, ta định ném bọn họ xuống biển, để cho hết tiếng tăm dấu vết, vậy cứ theo chước đó mà làm.
乃使都督武文月具海船数艘，声言送北使还，引灿等入拜辞，北平曰：「公等第先回，待我来时召见，别有区处。」	Rồi Bắc bình vương sai đô đốc là Võ Văn Nguyệt sắp sẵn vài chiếc thuyền biển, nói phao là đưa sứ thần về Bắc. Lúc bọn Xán vào từ giã, Bắc bình vương nói: - Các ông hãy về trước, chờ lúc tôi ra ngoài ấy vời vào gặp mặt, sẽ có cách xử trí việc Nghệ An.
又将白金百两，谓曰：「此公主送好勿辞。」	Rồi Bắc bình vương lại đem tặng họ một trăm nén bạc và bảo: - Đây là của công chúa gửi tặng, các ông đừng chối từ.
名曰归之，而密以教月，人不知之也。	Tiếng gọi là đưa họ về, nhưng thật ra Bắc bình vương đã ngầm bày mưu cho Nguyệt, người ngoài không ai được biết.
丁未春三月，整船自思客海门，开帆而去，不十日抵乂安之丹崖海门。	Tháng ba, mùa xuân năm Đinh vị (1787) thuyền từ cửa Tư Dung (thuộc Thuận Hoá, nay là cửa Tư Hiền) giương buồm ra đi, không mấy ngày đã đến cửa biển Đan Nhai thuộc thị trấn Nghệ An.
月与使部泊岸登陆，灿故门弟监生阮轩者，直禄人也，闻其师得还，欢喜赴谒。	Nguyệt cùng bọn sứ thần ghé thuyền vào bờ, rồi cùng lên bộ. Lúc ấy có người học trò của Xán là giám sinh Nguyễn Hiên, người huyện Chân Lộc, nghe tin thầy học được về, vội mừng rỡ đến chào.
轩见月面目不常，阴揣其情，密以告灿，遂请改从陆道。	Chợt thấy nét mặt Nguyệt có vẻ khác thường, Hiên ngầm đoán được ý của hắn, bèn nói kín với Xán hãy xin đổi đi đường bộ.
月曰：「某奉命送使水行，最为妥便，不可步行，跋涉殊苦。」	Nhưng Nguyệt nói: - Tôi vâng mệnh đưa sứ giả đi đường biển, thuận tiện mà ổn thoả, không nên đi đường bộ, trèo non vượt suối vất vả.
于是复登船驾海，才出洋面，月使舵工漏舟沉之。	Rồi đó, cả bọn lại lên thuyền ra biển. Vừa ra đến ngoài khơi, Nguyệt liền bảo bọn lái thuyền đục thuyền cho nước vào, dìm cả bọn sứ thần xuống biển.
轩立海岸望之，恸哭良久而还。	Hiên đứng trong bờ trông ra xa gào khóc hồi lâu mà về.
岁夏四月十一日也。	Hôm ấy nhằm ngày 11 tháng 4, mùa hè năm Đinh vị (1787).
月乃回舟泊岸，以阻风溺水，宣言于中外，盖不欲居杀使之名也。	Xong việc, Nguyệt lại ghé thuyền vào bờ, nói phao cho trong ngoài biết rằng, thuyền gặp sóng gió bị đắm, để tránh cái tiếng giết hại sứ giả.
且说整等之南行也，整以为事必可济，公言于朝曰：「西山情形，如在目中，彼方幸我之不开衅，得以专意于其国，今内变正慌，何暇外虑？	Lúc bấy giờ, có người làm hai câu thơ rằng: Tên lưu vũ trụ bia ngàn thuở, Nghĩa nặng cương thường biển vạn năm. Từ lúc bọn Xán đi Nam, Chỉnh cho rằng việc thế nào cũng xong, nên đã nói toạc ra ở trong triều rằng: - Tình hình Tây Sơn như ở trong tầm con mắt của ta. Họ sẽ mừng là ta đã không gây sự, để họ có thể chuyên tâm vào việc nước họ. Hiện nay cuộc nội chiến của họ đang rối ren, thì giờ đâu mà lo đến việc bên ngoài.
文任孤军在外，内顾无援，亦何能为？	Còn Võ Văn Nhậm thì chơ vơ ở Nghệ An ngoảnh về bên trong không có quân cứu viện, có làm được gì?
北平王见我书来，必喜而退听，请勿以南陲为忧。」	Bắc bình vương thấy thư của ta đưa đến, thế nào cũng mừng mà nghe theo, xin đừng lo gì việc miền Nam!
故凡在灿行时所嘱备御等事，整皆不以为意。	Vì thế, những lời Xán dặn lúc ra đi, Chỉnh đều không để ý tới, chỉ tâu xin cho Nguyễn Duật làm trấn thủ Thanh Hóa mà thôi.
但奏以黎遹为清化镇守，临行诫之曰：「只宜镇守封疆，毋生事以疑敌，待陈平章回后，移镇乂安，修我横山旧垒，以固边围，为长久计也。」	Lúc Duật sắp đi, Chỉnh dặn rằng: - Chỉ nên giữ gìn bờ cõi cẩn thận, chớ có sinh sự để bên địch nghi ngờ. Đợi khi Trần bình chương trở về, sẽ dời vào làm trấn thủ Nghệ An, sửa lại luỹ cũ ở Hoành Sơn, giữ vững bờ cõi để làm chước lâu dài.
平章维藩闻之，诣整言曰：「陈公老于世故，见事甚敏，平日有所议论料想，及事之来，无不奇中，公不可等闲视之。」	Quan bình chương Phan Lê Phiên nghe được chuyện ấy, liền đến nhà Chỉnh mà nói: - Ông Trần đã già giặn việc đời, xét đoán công việc rất nhanh. Ngày thường ông ấy bàn bạc tính liệu như thần, đến lúc sự việc xảy ra, không việc gì là không đúng. Ông chớ nên xem thường!
整亦不以为然。	Chỉnh cũng không cho là phải.
藩出谓同僚登揆曰：「鹏公素号知兵，而愎谏轻敌，恐国都残破之后，能再堪蹂躏耶！	Phiên ra ngoài nói với người bạn đồng liêu là Trương Đăng Quỹ rằng: - Ông Bằng vốn có tiếng là biết việc binh, thế mà không nghe lời can, coi thường quân giặc, sợ rằng quốc đô mới qua một cuộc tàn phá, không thể chịu nổi một trận giày đạp nữa.
吾曹久当揆席，颠不持，危不扶，又焉用者？」	Chúng ta gánh chức phụ bạt đã lâu, nếu "đổ mà không giữ, nguy mà không phò" thì còn dùng hạng tướng quốc như chúng ta làm gì?
相与叹息久之。藩曰：「追惟先帝功德，而未有庙号，不及今议定，终为阙典。」	Hai người than thở cùng nhau hồi lâu, rồi Phiên nói: - Nghĩ lại công đức của tiên đế rất lớn, mà nay ngài chưa có miếu hiệu, không bàn định cho kịp lúc này, rốt cuộc điển lễ vẫn thiếu.
乃共议尊上皇租金册曰「永皇帝」，庙号「显宗」，奏帝请行告庙礼。	Hai người bèn cùng bàn với các quan, dùng sách vàng tôn xưng tiên đế làm Vĩnh hoàng đế, miếu hiệu Hiển tông. Rồi tâu với vua xin làm lễ cáo miếu.
整曰：「礼上庙号，须大祥后入庙方行，何乃急也？」	Chỉnh nói: - Theo lễ, việc tôn xưng miếu hiệu phải chờ sau ngày đại tường, khi đã rước linh vị vào miếu rồi mới cử hành, làm gì mà gấp thế?
藩曰：「时事未可知，正可及早完先帝美号耳。」	Phiên nói: - Việc đời chưa biết thế nào, bây giờ chính là lúc cần phải tôn mỹ hiệu của tiên đế cho xong ngay đi!
整亦默然。	Chỉnh nghe nói cũng im lặng.
却说整自乂安入京时，晏都王渡河如京北，栖于桂坞。旧武班者号阮廷遂奉王密旨，号召慈顺土豪，招募义勇，谋讨整以清内难，复前业，又移檄高平、谅山诸藩臣，使各会师勤王。	Lại nói, lúc Nguyễn Hữu Chỉnh từ Nghệ An vào kinh. án đô vương Trịnh Bồng chạy qua sông, sang trấn Kinh Bắc, vào tạm lánh ở làng Quế ổ. ở đấy có viên võ biền tên là Nguyễn Đình Toại (Cương mục chép là Nguyễn Trọng Mại) vâng mật chỉ của chúa kêu gọi các thổ hào vùng Thuận Thành, Từ Sơn mộ quân nghĩa dũng, mưu đồ đánh Chỉnh để dẹp yên nạn nước và khôi phục nghiệp cũ. Rồi đó, Toại lại đưa hịch cho các phiên thần ở vùng Lạng Sơn, Cao Bằng, bảo họ họp quân lại, làm việc cần vương.
整屡欲攻之，而杨仲济据有嘉林，筑垒与整相拒，尚有一线之梗，路阻不通，是以置之度外。	Chỉnh thấy vậy, luôn luôn tỏ ý muốn đánh, nhưng vì có Dương Trọng Tế chiếm giữ huyện Gia Lâm, đắp luỹ chống nhau với Chỉnh, đường đi còn bị ngáng trở một lối, nên Chỉnh đành phải tạm gác việc ấy lại chưa làm vội.
及济既诛，整慨然以攻王为第一着，奏请自帅本部兵马讨之。	Kịp đến khi Trọng Tế đã bị giết, Chỉnh bèn hối hả cho việc đánh chúa Trịnh là điều cần thứ nhất, liền tâu xin tự mình đem quân bản bộ tiến đánh.
帝以王素恭顺，不忍加兵，且心实恶整，不欲使之得志，恐成陵逼之势，欲止其事，而难为辞，使内翰武桢宣旨谕之曰：「郑家历世，实有大功，子文无后，何以劝善？	Vua Lê nghĩ chúa Trịnh vốn có lòng kính thuận không nỡ đánh, vả trong bụng đang hết sức ghét Chỉnh, không muốn cho hắn đắc chí, sợ sẽ thành cái thế lấn át vua, nên muốn ngăn việc ấy lại. Nhưng rồi khó nói ra lời, nhà vua bèn sai viên nội hàn là Vũ Trinh tuyên rõ chỉ ý của vua và truyền cho Chỉnh biết rằng: - Gia đinh họ Trịnh trải qua nhiều đời, thực có công lớn, nếu để người như Tử Văn mà phải tuyệt tự thì lấy gì mà khuyến khích điều thiện? (Tử Văn tên thực là Đấu Cốc Ô Đồ, người đời Xuân thu, làm quan nước Sở, có công lớn trong việc trị nước. Sau người em họ là Đấu Việt Thục làm loạn, đáng lẽ phải tru di cả họ, nhưng Sở Trang Vương tha tội cho người cháu của Tử Văn, và nói: "Người như Tử Văn mà bị tuyệt tự thì lấy gì mà khuyến khích điều thiện").
不如先示文告之辞，开示祸福，若执迹不悟，然后临之以兵，存我忠厚之意，无容物议，得以置喙于其间，不亦善乎！」	Chỉ bằng trước hãy làm bài cáo văn hiểu dụ rõ đường phúc hoạ cho y. Nếu y cứ u mê không tỉnh, sau đó ta hãy đem quân đánh. Ta cứ giữ niềm trung hậu, để cho người ngoài không nói vào đâu được, há không hơn hay sao?
整不听曰：「纵我不提兵来，仲济辅王之事成，看他与帝厚否！	Chỉnh không nghe, nói: - Nếu tôi không đem quân ra, để cho việc Trọng Tế giúp chúa được thành, xem y có xử hậu với hoàng thượng không?
英雄举事，岂以妇人为仁耶！」	Anh hùng làm việc, há lại theo lòng nhân đức của đàn bà?
即固请出师，帝不得已许之。整督诸军渡河，舟楫蔽江，气势凛烈可畏。	Rồi Chỉnh cố xin ra quân, vua Lê bất đắc dĩ phải cho Chỉnh đốc suất các quân qua sông, thuyền bè chật cả mặt nước, khí thế rất là lẫm liệt đáng sợ.
王闻报急令遂率桂坞族为先锋，安勇土豪阮仲玲为左拒，嘉平土豪陈光珠为右拒，列阵以待。	Chúa Trịnh nghe tin, vội vàng sai Toại đốc suất người trong họ ở Quế ổ làm quân tiền phong, thổ hào Yên Dũng là Nguyễn Trọng Linh làm tướng chống bên tả, thổ hào Gia Bình là Trần Quan Châu làm tướng chống bên hữu, bày trận chờ sẵn.
整军至，两相对战，自旦及日中，胜负不分，又各解兵休息。	Quân Chỉnh tới nơi, hai bên đánh nhau từ sáng đến trưa, chưa phân được thua; sau đều rút quân để nghỉ ngơi.
整使人赍帝诏谕王，责以效顺，不宜拒命。	Chỉnh sai người đưa tờ chiếu của vua tới dụ chúa, khuyên nên qui thuận, không nên chống cự.
王笑曰：「有整此来，意欲生擒我，使食得下咽，必不吐出，今又以甘言诱我，那逆贼大谲可恶。	Chúa cười mà nói: - Hữu Chỉnh đến đây lần này, ý muốn bắt sống ta, nếu nuốt trôi được, chắc không chịu nhả ra. Nay lại lấy lời ngon ngọt dỗ ta, thằng nghịch tặc này quỉ quyệt đáng ghét thật.
虽然，彼既以帝命来，我不可默然不答。」	Tuy vậy, hắn đã mượn mệnh lệnh hoàng thượng đưa ra, ta không thể im lặng không trả lời.
乃自为陈情表，言整之罪恶，臣民切齿，请先诛整而后归朝，语多激切。	Chúa bèn tự thảo một tờ biểu trần tình, kể tội ác của Chỉnh và nói nhân dân ai cũng nghiến răng tức giận, xin hãy giết Chỉnh đã, rồi sẽ về triều, lời lẽ có nhiều câu gay gắt.
正是：野外雌雄犹未决，田中蚌鹬正相持。	Thật là: Sống mái ngoài đồng còn chửa quyết, Trai cò trong ruộng vẫn giằng co.
未知胜负如何，且听下回分解。	Chưa biết thua được ra sao? Hãy xem hồi sau phân giải.
