第二回。	Hồi thứ hai.
相传欢呼，京师为之罢市。	Thế rồi họ truyền miệng nhau mà reo mừng, kinh kỳ hôm ấy vì thế phải nghỉ phiên chợ.
既而设御榻于外府堂，百官翊王即位，拜贺既毕，始出皇上敕命与圣母谕三军扶立徽旨，粘于阁门，皆临时草创，称为成命。	Quân lính đặt chiếc sập ngự ở ngoài phủ đường, các quan đều dìu thế tử lên ngôi chúa. Cuộc lễ mừng xong rồi, các quan mới đem đạo sắc của nhà vua và tờ chỉ của thánh mẫu dụ ba quân về việc phò lập chúa, tới dán ở cửa các. Những tờ ấy đều là tạm thời thảo ra, nhưng được gọi là mệnh lệnh định sẵn.
是日变作，邓氏惶恐，变衣服，匿于后宫。	Hôm ấy, việc biến xảy ra, Thị Huệ khiếp sợ vô cùng, phải thay đổi quần áo, nấp ở hậu cung.
小王家臣皆遁走，惟棪郡抱王退居别所，从旦至暮无食，小王呱呱而泣。	Các gia thần của vị chúa nhỏ cũng đều chạy trốn hết cả. Riêng quận Diễm bế chúa lánh đi ở một nơi khác, từ sớm đến tối không được miếng gì vào mồm, chúa gào khóc nheo nhéo.
棪郡吓之曰：「无得高声，使众军闻之，必来打死！」	Quận Diễm phải doạ: "Không được khóc to, kẻo quân lính nghe tiếng, chúng nó kéo đến đánh chết!" Chúa nhỏ sợ hãi, mới không khóc nữa.
小王惧乃止，至夜，圣母使人寻邓氏与小王，给赐衣食，小王惧不能食，病愈剧，新王购求能医治者，与百金封侯爵。	Đến đêm, thánh mẫu sai người đi tìm Thị Huệ cùng chúa nhỏ về cung, cho thay quần áo và ăn uống. Chúa nhỏ vì quá sợ hãi không ăn uống gì được, bệnh càng thêm nguy kịch. Chúa mới (Trịnh Tông) bèn treo giải hễ người nào chữa khỏi bệnh cho chúa nhỏ, thì thưởng một trăm lạng vàng và phong cho tước hầu. Nhưng rốt cuộc không có ai nhận chữa.
次日，新王令参从泗川侯为王具启，请逊为王弟，乃付下廷议，降封为恭国公，寻卒。	Hôm sau, chúa mới ra lệnh cho quan tham tụng Tứ xuyên hầu, thay chúa nhỏ làm một tờ khải xin tự lui xuống làm vương đệ. Tờ khải làm xong, chúa mới giao xuống cho các đình thần bàn bạc. Các quan xin giáng phong chúa nhỏ làm Cung quốc công. Được ít lâu sau thì Cung quốc công qua đời.
却说诸军既杀晖郡兄弟，余忿未泄，悉跪于王前，请破晖郡营，王许之。	Lại nói, bọn quân lính tuy đã giết chết anh em quận Huy, nhưng cơn giận vẫn chưa hả. Phò lập thế tử Tông lên ngôi chúa xong xuôi, họ lại kéo đến quỳ ở trước mặt chúa xin phá tất cả dinh cơ của quận Huy.
三军欢声曰：「官据令另据传，决去破毁。」	Chúa ưng lời ngay. Ba quân liền reo lớn: - Quan cứ lệnh, lính cứ truyền, mau đi phá huỷ dinh quận Huy anh em ơi!
顷余，晖郡家宅，片瓦无遗，乃乘势肆行。	Chỉ trong chốc lát, nhà cửa của quận Huy bị phá tan tành, một mảnh ngói cũng không còn.
凡文武诸臣，有属邓氏与晖郡门党，及庚子年发密案诸员，与侍近臣，平日苛刻，诸军素所疾者，一时连破，并觅其人而杀之。	Rồi bọn quân lính càng thừa thế hoành hành. Phàm các quan văn võ hễ ai thuộc bè đảng của Thị Huệ và quận Huy, cùng những người dự vào việc tố giác vụ án năm Canh tý (việc Tông mưu cướp ngôi khi trước) những viên quan hầu mọi ngày có tính nghiệt ngã mà quân lính vẫn ghét, lúc ấy cũng đều bị phá nhà hàng loạt và bị lùng bắt đem giết chết.
京中连日骚动，王旨下戒禁不止，命官纠祭畿内，密就会处，择取市人斩之以示警。	Luôn trong mấy ngày, họ làm náo động cả kinh thành. Tông phải hạ chỉ ngăn cấm mà họ vẫn không thôi. Sau, chúa phải sai người dò xét trong kinh kỳ, lén đến chỗ họ tụ họp, rồi bắt phứa lấy một người thường dân ở gần đó đem chém để ra oai.
是后破稍息，而觅人犹不已。	Từ đó về sau việc phá phách nhà cửa mới tạm ngừng, nhưng việc lùng bắt người để giết thì vẫn chưa dứt.
却说晖郡手下阮整真福东海人，其父以商贾致富，家赀鉅万，尝居晔郡门下。	Lại nói, trong bọn thủ hạ của quận Huy có một người tên là Nguyễn Hữu Chỉnh, quê ở làng Đông Hải, huyện Chân Phúc, trấn Nghệ An. Cha Chỉnh nhờ nghề buôn bán, trở nên giàu sang, gia tư kể có hàng vạn, thường vẫn ở dưới cửa quận Việp.
那人丰体秀丽，智慧过人。	Chỉnh, phong tư đẹp đẽ, trí tuệ hơn người.
少时从事儒学，涉猎经史，十六岁领乡解，随其父居晔郡门下，长于国语诗文，尝慕郭公勋业，撰郭令公赋，用国音，天下传诵。	Lúc nhỏ theo học nho, đã đọc khắp các kinh sử, năm mười sáu tuổi đỗ hương cống; đã từng theo cha nương nhờ dưới cửa nhà quận Việp. Chỉnh giỏi về thơ văn quốc âm. Vì mến công nghiệp của Quách Tử Nghi nhà Đường, Chỉnh có làm bài Quách lệnh công phú bằng chữ nôm, được nhiều người trong nước truyền tụng.
性又豪侠，交游满天下，座上宾客常数十人，吟诗饮酒，随兴酬答。	Tính Chỉnh lại hào hiệp, giao du khắp thiên hạ. Trong nhà Chỉnh lúc nào cũng có vài chục người khách, khi ngâm thơ, khi uống rượu, tuỳ theo sự hứng thú mà thù tạc với nhau.
家畜歌儿舞女十余人，自撰歌词，播之管弦，日夜调歌为乐，为长安第一风流。	Nhà Chỉnh nuôi mười mấy ca nhi và vũ nữ; Chỉnh tự tay soạn ra bài hát, phổ vào đàn sáo, ngày đêm bắt họ ca múa để mua vui. Vì thế, Chỉnh được xem là tay phong lưu bậc nhất ở đất Trường An (tức là kinh đô Thăng Long.
又善诙谐奋语，居晔郡门，十余年始出身，管善小队。或曰：「何小也？」	Nguyên là tên kinh đô nhà Hán, sau thành danh từ chung chỉ kinh đô) hồi ấy. Ngoài ra, Chỉnh lại còn có tài khôi hài, mỗi khi bông đùa ai cũng phải phục. Ở trong nhà quận Việp hơn mười năm, Chỉnh mới được cử ra coi đội Thiện tiểu; có kẻ thấy vậy chê rằng: "Sao nhỏ thế?".
应曰：「勿以善小而不为。」	Chỉnh liền đáp lại ngay: "Chớ cho điều thiện nhỏ mà không làm!" (câu này rút trong bài di chúc của Lưu Bị đời Tam quốc để lại cho con. Nguyên văn là: "Vật dĩ thiện tiểu nhi bất vi", ở đây Chỉnh mượn hai chữ Thiện tiểu của Lưu Bị để chỉ đội Thiện tiểu với ý khôi hài).
举坐皆笑。	Cả đám đều bật cười.
其戏语类如此。	Tài bông đùa của Chỉnh đại để là như vậy.
及平南之役，以笔砚从军，晔郡以其有才，最爱之。	Khi quận Việp vào đánh phương Nam, Chỉnh được đi theo giúp việc bút nghiên. Thấy Chỉnh có tài, quận Việp hết sức yêu mến.
晔郡卒，后有告整偷官银金以百万计，辞连晖郡，下狱拷打，抵死不招，旋得无事，晖郡益加重爱。	Sau khi quận Việp qua đời, có kẻ tố cáo rằng trong lúc làm việc quan, Chỉnh đã đánh cắp vàng bạc của công kể đến hàng trăm vạn. Việc ấy liên luỵ đến cả quận Huy. Chỉnh bị tống giam vào ngục và bị tra tấn đến gần chết, nhưng vẫn nhất định không xưng. Nhờ vậy Chỉnh mới được vô tội. Còn quận Huy thấy thế thì lại càng trọng Chỉnh bội phần.
晖郡镇乂安时，以整为右参军，尝使调治水军，御寇于海面，水战无敌，海外呼为「水鸷鸟」。	Lúc vào làm trấn thủ Nghệ An, quận Huy dùng Chỉnh làm hữu tham quân; thường giao cho Chỉnh luyện tập thuỷ thủ để chống giặc biển. Chẳng bao lâu Chỉnh trở thành vô địch trong nghề thuỷ chiến. Ngoài biển, mọi người thường gọi Chỉnh là "con hải ưng".
晔郡改镇山南，易管前中队巡海，复改该前宁奇，隶乂安镇。	Đến hồi quận Huy đổi về trấn Sơn Nam, Chỉnh cũng được đổi sang cai quản đội Tiền trung, đem quân đi tuần mặt biển. Rồi ít lâu sau, Chỉnh lại được đổi về trông coi cơ Tiền ninh ở trấn Nghệ An.
整祖墓在鹍鹏山，地法云：「千万龙飞千万虎，称霸称王无不如意。」	Ngôi mả tổ nhà Chỉnh nằm ở trên núi Côn Bằng. Về thế đất ấy, sách địa lý nói rằng: "Ngàn vạn con rồng đuổi ngàn vạn con hổ; xưng bá xưng vương đều được như ý".
整因自号为鹏岭侯。	Nhân đó Chỉnh mới tự đặt hiệu là Bằng lĩnh hầu.
整有邑人阮曰选，中弁生，其人膂力过人，又有胆略。整为提引于晔郡，得管后坚中队，属山南镇。	Thời kỳ còn ở dưới trướng quận Việp, Chỉnh có một người quen cùng làng tên là Nguyễn Viết Tuyển, thi võ đỗ biền sinh. Tuyển vốn có sức lực hơn người, lại là tay can đảm, mưu lược, nhờ Chỉnh tiến cử lên quận Việp, nên Tuyển được coi trung đội của đạo Hậu kiên đóng ở trấn Sơn Nam.
至是闻京有变，选超海而归，自十月二十六日开帆，至二十八日抵东海，以其事语整，整怆惶骇愕，不知所为。	Đến lúc này nghe tin trong kinh có biến, Tuyển vội vã vượt biển về quê. Giương buồm ra đi từ ngày 26 đến ngày 28 thì đến làng Đông Hải. Tuyển đem hết mọi việc ở đường ngoài kể lại với Chỉnh. Chỉnh bối rối, hoảng hốt, không biết nên làm thế nào.
正是：冰山见日还难倚，平地生波孰不惊。	Thật là: Sóng nổi đất bằng ai chẳng sợ, Nắng thiêu núi tuyết khó nương nhờ.
未知区画如何，且看下回分解。	Chưa biết Chỉnh tính liệu như thế nào? Hãy xem hồi sau phân giải.
