第十回。	Hồi thứ mười.
整神色俱沮，进退两难，麾下将士，亦皆丧气，争言贼势甚锐，未可与之争锋，京城兵少，难于自守，不如引还，退守京北，画珥水以为固，然后徐图攻取之策为便。	Chỉnh nghe nói, mặt mày thất sắc, tiến lui hai đường đều khó khăn. Tướng sĩ, bộ hạ cũng đều mất vía, đua nhau nói: "Thế giặc rất mạnh, chưa thể giao tranh với chúng được. Kinh thành ít quân, khó mà giữ nổi. Chi bằng dẫn quân về, lui giữ đất Kinh Bắc, chặn ngang sông Nhĩ Hà cho vững; rồi sau sẽ từ từ tính chước công thủ, thế là tiện hơn".
整从之。	Chỉnh nghe theo.
有顷攸至，即麾兵回京，夜方入城，唤参知政事阮奎使入奏，请以明白驾幸京北，遂直造所居之亮府，结束行装，使人先护妻子家属渡河。	Sau một lúc, Hữu Du đến, Chỉnh kéo quân tức tốc về kinh. Xẩm tối, vừa về tới thành, Chỉnh liền bảo quan tham tri chính sự là Nguyễn Khuê vào tâu với vua, xin đến ngày mai, xa giá đi sang Kinh Bắc (theo Cương mục thì vua Lê cho gọi mấy lần nhưng Chỉnh không đến, cuối cùng mới cho Nguyễn Khuê đến thay...). Rồi Chỉnh vào thẳng lượng phủ là chỗ mình ở, sắp xếp hành trang, sai người hộ vệ vợ con gia thuộc sang sông trước.
金吾卫士知之，急走入殿奏曰：「鹏公家眷已行矣！」	Lính Kim ngô biết chuyện, vội vàng vào điện tâu với vua rằng: "Gia quyến ông Bằng đi rồi!" Vua Lê lật đật chạy đến dinh của Chỉnh.
帝仓卒至整第，整方奔走庭阶，分嘱行者，帝执其手曰：「事势至此，将若之何？」	Lúc bấy giờ Chỉnh đang chạy đi chạy lại trước sân, dặn dò những người ra đi. Vua cầm lấy tay Chỉnh mà hỏi: - Sự thể đã đến thế này thì làm thến nào?
整见帝惭愧惶恐，遽拜谢曰：「陛下委国于臣，臣不副所职，以误国事，罪不敢辞，京师西南二面，无复可凭，城池亦未浚筑，单有坞门而已。	Chỉnh thấy vua, thẹn thùng, run sợ, bèn lạy mà thưa rằng: - Bệ hạ giao nước cho thần, thần không xứng đáng với chức vị, làm lầm lỡ việc nước, tội ấy không dám chối cãi: hai mặt tây nam kinh sư, không còn có gì để nương tựa, thành trì cũng chưa đào đắp, chỉ có cửa ô mà thôi.
贼乘胜长驱，无藩篱之限，战则不胜，守则不固，将何以自全乎！	Quân giặc thừa thắng ruổi dài, không có thành luỹ nào ngăn cản; đánh thì không được, giữ cũng không xong, lấy gì để bảo đảm cho được toàn vẹn?
今当移驾北幸，以图后举，敌远来劳顿，又阻大河，必不敢追我，旬日之间，稍得暇豫，深图远算，岂无恢复好机会！	Nay bệ hạ hãy nên đi sang phương bắc, để lo tính công việc sau này. Quân giặc từ xa đến đã mệt nhọc, lại bị sông lớn ngăn trở, thế nào cũng không dám đuổi ta. Trong khoảng mười ngày, ta được thư thả, rồi sẽ lo sâu tính xa, há lại không có cơ hội tốt để khôi phục?
陛下且还宫，奏知陛皇太后，请奉慈驾先行，臣亲率兵象于河津等候。」	Bệ hạ hãy về cung, tâu với hoàng thái hậu, xin đưa từ giá (xe của mẹ vua) đi trước, thần sẽ thân đem lính và voi đợi ở bến sông.
整言已，复顾左右而去。	Dứt lời, Chỉnh nhớn nhác đảo mắt ngó quanh một lượt, rồi đi.
帝即徒步走归，经街衢间，已见舆人扶携奔走，不逞乘而攘之，呼唤之声相闻，有一人止帝，索腰中无所有，乃舍之，帝急向朱雀门去，及左曲天门入，闻皇太后及祀嫔寻帝不见，连呼乘舆安在。	Vua cũng lập tức đi bộ về cung. Trên đường, đã thấy dân chúng dắt díu nhau cùng chạy. Bọn vô loại thừa cơ cướp giật, tiếng kêu khóc oai oái. Có kẻ giữ lấy vua, sờ nắn trong lưng không có gì, mới tha cho đi. Vua vội vàng đi về phía cửa Chu Tước, rồi vào cửa Tả Khúc. Vừa tới nơi đã nghe thái hậu và các phi tần tìm nhà vua không thấy, đang gọi luôn miệng: "Thừa dư (chỉ nhà vua) ở đâu?".
帝急应之曰：「在此在此。」	Vua vội trả lời: "ở đây! ở đây!".
即召侍护之士，仅得十七八人，余皆逃匿不至，急以竹杠舆奉皇太后及元子以行，尊室嫔御皆步行，抬遁御器，只有四函，余皆委弃殿中，内侍有所私挈衣装宝贝，亦皆遗弃于衢路上，至河争舟，不问贵贱，强者先渡，在沙中自践踏。	Rồi nhà vua lập tức gọi lính thị vệ, nhưng chỉ được mười bảy, mười tám người, còn thì đều lẩn trốn không đến. Vua vội vàng sai lấy võng đòn tre cáng thái hậu và nguyên tử (con đầu của vua mà chưa lập làm thái tử thì gọi là nguyên tử) đi. Các tôn thất và phi tần đều phải đi bộ. Những đồ ngự dụng chỉ khênh đi được bốn hòm, còn bao nhiêu đều bỏ lại trong điện. Những đồ riêng tây cùng quần áo quí báu của bọn thị vệ, cũng đều bỏ rơi dần ở dọc đường. Đến bến sông, phải giành giật lấy đò mà qua, bất cứ kẻ sang người hèn, ai mạnh thì được qua sông trước.
有颠仆致死者，舟大掉不及，或有重载以致溺者，啼哭之声震惊天地。	Ở trong bãi cát, mọi người giẫm đạp lẫn nhau, có người bị ngã rồi bị xéo đến chết. Các tay lái đò chèo không kịp, hoặc có thuyền vì chở nặng quá mà bị đắm. Tiếng kêu khóc vang trời động đất.
京城大乱，无赖之徒混入宫府，大肆抄掠，凡有所得，不敢搬运出城，只得分藏诸庸。	Kinh thành rối loạn lung tung. Bọn vô loại ùa vào trong cung, phủ, cướp bóc bừa phứa. Nhưng những vật lấy được, chúng cũng không dám chuyên chở ra ngoài thành, mà phải giấu ở các phố.
薄暮武文任至，引兵入城宫殿，仓库只存空舍而已。	Gần tối, Võ Văn Nhậm đến nơi đem quân vào thành thì thấy cung điện, kho tàng chỉ còn trơ lại xác nhà không mà thôi.
任曰：「入市尚得一金，况于国乎，吾闻北河富厚，安得如此干干净净，我远来没得一钱归，儿子听也不得。」	Nhậm nói: - Vào chợ còn được cái kim, huống chi là vào một nước. Ta nghe đất Bắc Hà giàu có, sao lại sạch trơn thế này? Ta ở xa đến mà lại không kiếm được một đồng tiền nào đưa về thì nói ra con nít cũng không nghe được.
明日乃纵兵大索场庸民舍，所得宝物甚多，并私财尽取之，民有诣门叫称：「古之行师，秋毫无犯，有取民笠以覆官铠，亦所不容，何今民家受害至此？」	Ngày hôm sau Nhậm bèn thả lính lùng khắp các nhà dân ở phường phố, lấy được của báu rất nhiều, đến cả của tư cũng đều lấy hết. Có người dân đến cửa quân kêu rằng: - Đời xưa hành quân, không hề chạm đến một mảy may của dân. Có người lấy lấy cái nón của dân để che áo giáp của quan, cũng không dung thứ. Sao nay dân gian lại bị hại đến như thế?
任大声曰：「我军所索皆是黎家官府之物，此岂民家所有，不过尔等乘乱相争窃取，大军继至，未及埋藏耳！	Nhậm quát to: - Những vật quân ta lùng được đều là tài sản trong cung phủ nhà Lê, phải đâu là của nhà dân? Chẳng qua chúng bay nhân lúc rối loạn, tranh nhau ăn trộm, đại quân ập đến, không kịp cất giấu đấy thôi.
那是棍桄党伙，尽不可留。」	Thằng này chính là bè đảng của bọn côn đồ, không thể tha thứ được!
即令拽出斩之，由是京城大骇，无敢言者。	Lập tức, Nhậm sai điệu người ấy ra chém. Do đó, dân chúng rất sợ, không còn ai dám kêu ca gì nữa.
却说整父子并文臣从帝北走，行间造次，惟惧贼军追及，连袂而行，无复部伍。	Lại nói, cha con Chỉnh cùng các quan theo vua chạy sang phương bắc. Vì sợ quân địch đuổi kịp, ai nấy chạy sấp chạy ngửa, người nọ níu áo người kia, chẳng còn ra thể thống gì cả.
暮抵京北镇营，会署镇守阮璟铄谋反，称病不朝。	Chập tối thì vua tôi nhà Lê đến trấn Kinh Bắc. Gặp lúc trấn thủ là Nguyễn Cảnh Thước mưu đồ làm phản, mượn cớ ốm không chầu vua.
整至，切责之，始黾勉而出。	Chỉnh tới, quở trách gắt gao, Thước mới miễn cưỡng ra yết kiến.
时军士在道，逃亡者太半。	Lúc ấy, dọc đường quân lính đã bỏ trốn quá nửa.
整忧之，悉阅其数，优兵一兵，仅得四百三十余人、马六十余匹。整率之先渡如月江，屯于三层山，亲督军士筑垒植栅，而命铄扈驾后渡。	Chỉnh rất lo, liền kiểm điểm số lính còn lại, ưu binh và nhất binh (lính tuyển ở bốn trấn) chỉ còn hơn bốn trăm ba mươi người, ngựa hơn sáu chục con, Chỉnh đem quân đi trước, qua sông Như Nguyệt (tức sông Cầu (Hà Bắc)), đóng đồn ở núi Tam Tằng (nay thuộc Hà Bắc), tự mình đốc suất quân lính đắp luỹ, cắm rào, rồi sai Thước hộ vệ nhà vua đến sau.
整既去，帝与太后等待江次，久之无船，命召铄问之，对曰：「诸船皆不在，陛下急欲渡江，请赐臣多少金帛，方可赁得，否则到来早，毕竟在此。	Chỉnh đi rồi, vua và thái hậu chờ đợi bên sông, lâu mãi chẳng thấy thuyền, liền cho gọi Thước đến hỏi. Thước tâu: - Các thuyền đều không ở đây, bệ hạ muốn sang sông gấp thì xin cho thần ít nhiều vàng lụa, mới có thể thuê được. Nếu không, dẫu đến sáng mai cũng vẫn ở đây.
若贼兵追逼，臣请以木婴护渡，但御用之物不可保耳！」	Giả sử quân giặc đuổi đến, thần xin dùng thùng gỗ để đưa bệ hạ qua sông. Nhưng chỉ e những đồ ngự dụng không thể giữ được mà thôi.
帝曰：「朕有天下，尚不能保，又何爱？」	Vua nói: - Trẫm có cả thiên hạ còn không giữ được, bây giờ lại còn tiếc cái gì nữa.
命开函以示之，止有传国玺及黄金四十两而已。	Tức thì nhà vua sai mở hòm cho Thước xem. Trong hòm chỉ có con dấu truyền quốc và bốn mươi lạng vàng mà thôi.
帝曰：「惟汝所取。」	Vua nói: - Tuỳ nhà ngươi muốn lấy gì thì lấy.
铄曰：「圣恩所及，请分其半。」	Thước nói: - Đội ơn bệ hạ ban cho, thần xin chia một nửa.
帝尽以与之，铄即唤舟子舣船江头渡之。	Vua cho Thước tất cả. Thước liền gọi lái đò đưa thuyền đến bến, chở nhà vua và đám người cùng đi qua sông.
既岸，又使人追褫帝御袍，帝垂泪解而授之，遂奔如铁山，帝请于太后曰：「臣才庸劣不足，以主神器，又暗于知人，为阮整所误，致都城失守，播越于外，以贻圣母忧。	Khi vua đã lên bờ, Thước lại cho người đuổi theo, lột chiếc ngự bào vua đang mặc. Vua ứa nước mắt, cởi ngự bào trao cho chúng, rồi chạy về núi Như Thiết. Vua xin với thái hậu rằng: - Con tài đức kém cỏi, không đủ làm chủ thần khí (trỏ ngôi vua), lại không sành sỏi trong việc xét người, bị Nguyễn Hữu Chỉnh làm lầm lỡ, đến nỗi kinh thành thất thủ, phiêu bạt ra ngoài, để gây mối lo cho thánh mẫu.
今崎岖山谷迁徙靡常，势未能团聚一处；而往来提挈许多人，又恐为贼所知，变生不测。	Bây giờ trèo leo ở chốn núi rừng, nay đây mai đó, tình thế này không chắc đã sum họp một nhà được. Đã thế lại còn dắt díu nhiều người đi theo, sợ giặc dò biết, sẽ sinh ra tai biến bất ngờ.
反复思之，独高平督同阮辉宿忠厚可托，请权幸高平，地颇遥隔，贼兵未能卒至。	Con đã nghĩ đi nghĩ lại, chỉ có viên đốc đồng trấn Cao Bằng Nguyễn Huy Túc là người trung hậu có thể nương nhờ được. Vậy xin thánh mẫu hãy tạm lên Cao Bằng, nơi đó đường đất xa xôi, quân giặc không thể phút chốc đi tới được.
此间可否事宜，臣请以手书付宿。	ở đó, công việc nên chăng thế nào, con xin viết bức thủ thư giao cho Túc.
至于晨昏起居，臣第可以代臣。	Đến như việc sớm khuya hầu hạ, em con có thể thay con.
愿且宽怀，容臣在此，潜图恢复之计，庶几可赎罪过。」	Dám xin thánh mẫu tạm yên lòng, để con ở đây ngầm lo việc khôi phục, ngõ hầu có thể chuộc được tội lỗi.
太后曰：「皇天不佑社稷，老妇生不如死，请以此山隙地为藏骸之所，毋徒苦山溪跋涉为也。」	Thái hậu nói: - Trời đã không giúp xã tắc, già này sống chẳng bằng chết, nguyện lấy mảnh đất ở núi này làm nơi chôn cất hài cốt, chớ còn phải trèo non vượt suối làm chi nữa cho khổ? Vua rập đầu chảy máu, mãi không dậy.
帝叩头流血，伏地不起，诸臣亦多劝解，太后乃许之，于是皇弟桄及侍臣黎侗与尊室三十余人，俱从太后驾之高平。	Các quan cũng có nhiều người khuyên giải. Thái hậu mới ưng ý. Rồi đó, em vua là Quang, thị thần là Quýnh cùng bọn tôn thất hơn ba chục người đều theo thái hậu đi lên Cao Bằng.
翌日，帝乃如安勇，文臣从者阮廷简、阮廷玙、朱允励、武桢、张登揆五六人而已。	Hôm sau, vua sang huyện Yên Dũng (nay thuộc tỉnh Hà Bắc), văn thần đi theo chỉ có năm sáu người là bọn Nguyễn Đình Giản, Phạm Đình Dư, Chu Doãn Lệ, Vũ Trinh, Trương Đăng Quỹ mà thôi. Vừa lúc ấy, Võ Văn Nhậm sai bộ tướng là Nguyễn Văn Hoà đuổi kịp Nguyễn Hữu Chỉnh.
会武文任使部将阮文和追整，及之，战于三层山，有攸挥刀力斗，杀贼数十人，和分奇绕山后袭之，整兵乱自溃。	Hai bên đánh nhau ở núi Tam Tằng. Hữu Du múa đao đánh mạnh, giết vài chục quân địch. Hoà chia một đội kỳ binh vòng ra sau núi đánh úp. Quân Chỉnh rối loạn, tự nhiên tan vỡ.
攸力不能拒，阵前斗死，参知政事阮奎亦为贼所杀。	Hữu Du chống cự không nổi, chết ở trước trận. Tham tri chính sự là Nguyễn Khuê cũng bị địch giết.
整上马北走，仆马为贼所及，争刺之，整呼曰：「请生擒以献。」	Chỉnh lên ngựa nhằm hướng bắc mà chạy, ngựa ngã, bị quân địch đuổi kịp, chúng tranh nhau chĩa giáo chực đâm. Chỉnh vội kêu to: - Xin cứ bắt sống mà đem dâng!
贼众共缚之，槛送还京。	Quân địch bèn trói Chỉnh lại, bỏ cũi đưa về kinh.
整求见，愿得一言，文任不许，使人数之曰：「汝是郑臣，叛而投我，以谋灭郑。既又叛我北还，欺黎王以取大位，擅作威福，阴谋亻替窃，以与吾王争衡，究汝一生，皆蹈乱贼之故智，须剖汝心肠，去其秽恶，使北人以汝为戒。」	Chỉnh xin gặp Văn Nhậm để nói một lời. Nhậm không cho, sai người kể tội Chỉnh rằng: Mày vốn là tôi chúa Trịnh, phản chủ mà về với chúng tao để mưu đồ diệt họ Trịnh; rồi lại phản chúng tao về Bắc, lừa dối vua Lê, chiếm lấy ngôi cả, tự tiện làm oai làm phúc, ngầm ngầm lo mưu lấn cướp để tranh giành với chủ tao. Xét cuộc đời của mày, toàn học thói cũ của quân giặc loạn, phải phanh gan ruột mày ra, bỏ hết những cái dơ bẩn, để người Bắc lấy mày làm răn!
遂命尸解，纵犬食之。	Rồi Nhậm bảo phanh thây Chỉnh, thả cho chó ăn thịt.
是役也，西贼擒整而未获帝，和因纵兵大索，不得。	Trong trận ấy, Hoà tuy bắt được Chỉnh, nhưng chưa bắt được vua Lê, Hoà thả quân lùng mãi không được, bèn ngấm ngầm sai người dò tìm tung tích.
密令人踪迹帝所在，帝惧，奔保禄山中。	Vua Lê nghe tin sợ quá, liền chạy trốn vào vùng núi Bảo Lộc (nay thuộc huyện Lạng Giang, Hà Bắc).
却说麟洋侯花文鳞初从晏都王，北走广安，以事辞归，因图招谕，后失王处，依于安勇土目阮仲玲。	Lại nói, trước kia Lân dương hầu tà Phạm Tôn Lân theo án đô vương chạy ra Yên Quảng, rồi vì có việc phải cáo từ về nhà; nhân đó Lân mưu đồ chiêu dụ quân lính để giúp chúa Trịnh, nhưng về sau không biết chúa ở đâu, bèn nương nhờ vào người hào mục huyện Yên Dũng, là Nguyễn Trọng Linh (Cương mục chép là Dương Đình Tuấn, người huyện Yên Thế, Bắc Giang (Hà Bắc)).
至是闻帝在保禄，即以告玲，共往迎帝，从安勇七总之民，筑垒月德江北，与和相拒。	Lúc ấy, nghe tin vua ở vùng Bảo Lộc, Lân bèn nói với Linh cùng nhau đi đón vua về. Rồi họ đốc suất nhân dân bảy tổng thuộc huyện Yên Dũng, đắp luỹ ở phía bắc sông Nguyệt Đức (tức sông Cầu (Hà Bắc)), chống nhau với Hoà.
和攻之小克。	Hoà đánh không được.
任自督大军来，日夜大战，玲军败绩，挟帝走免。	Nhậm phải tự mình dẫn đại quân đến, đêm ngày đánh rất dữ. Quân Linh thua trận. Linh dắt vua Lê chạy trốn.
玲弟珑为任所获，任不之杀，使持书以谕玲，责令献帝，其略曰：「奉命北征，只诛贼整，不干黎嗣皇事。	Em Linh là Lung bị Nhậm bắt sống. Nhậm không giết mà sai đem thư dụ Linh, bảo phải nộp vua Lê, đại lược nói rằng: "Tôi vâng mệnh ra Bắc, chỉ giết giặc Chỉnh, không can gì đến tự hoàng nhà Lê.
嗣皇乃主上祈立，为整所挟，与之俱奔，狐执疑心，迷而不复，螳敢拒辙，遂及于帅。	Tự hoàng là người của chúa thượng lập nên, bị giặc kèm đi, cùng chạy với chúng. Loài cáo vốn hay ngờ vực, vẫn mê không chịu quay về; bọ ngựa dám chống bánh xe, nên phải đem quân tới đánh.
苟能悔以先来，犹可追夫前过。	Nay nếu biết hối mà về ngay, còn có thể chuộc được lỗi trước.
不然别求监国，主鬯有人，即嗣皇无返驾之期，并汝等有延林之祸？」	Nếu không, thì sẽ tìm người khác để coi việc nước. Ngôi chủ tể đã có người, thì tự hoàng không còn ngày trở về nữa, mà lũ các ngươi rồi cũng bị vạ lây".
玲得书，犹豫未决，复使珑往告任曰：「一败星散，人各东西，实未知黎皇所在，请假以旬日，搜寻即当自诣。」	Linh nhận được thư, dùng dằng chưa quyết, lại sai Lung về báo với Nhậm rằng: "Sau khi bị thua, mỗi người bỏ chạy một ngả, thật không rõ vua Lê ở đâu. Xin cho phép mươi ngày để đi tìm kiếm, rồi sẽ tự đến".
廷、简知之。乃密告帝曰：「玲兄弟二心不可信，廷玙、允励、武桢皆京北人，宜亟遣分行招谕，以兵自卫，移驾顺安。	Đình Giản biết chuyện ấy, bèn tâu riêng với vua Lê rằng: - Anh em Linh không thể tin cậy được. Các ông Đinh Dư, Doãn Lệ, Vũ Trinh đều là người Kinh Bắc, nên kíp sai đi chiêu dụ lấy quân để tự vệ, rồi dời xa giá đến phủ Thuận An (nay là huyện Thuận Thành, Hà Bắc).
登揆、文璘皆山南人，宜使回本土召募，以待征发，帝从之。分命而行。	Còn các ông Đăng Quỹ, Văn Lân đều là người Sơn Nam, cũng nên sai về bản quán mộ quân, chờ lệnh trưng phát.
独留简扈从，潜归嘉平，召进士陈名案，问以本方事。	Vua Lê nghe lời, sai mọi người chia ngả mà đi làm việc, chỉ để Đình Giản ở lại hộ giá. Vua Lê ngấm ngầm tới huyện Gia Bình (nay là huyện Gia Lương, Hà Bắc), vời tiến sĩ là Trần Danh án, đến hỏi về tình hình vùng đó.
案对曰：「北方土豪有陈光珠，旧是泾滩社长，勇敢有力。	Án tâu: - Thổ hào phương bắc đây có Trần Quang Châu, nguyên là xã trưởng xã Kênh Than, là người dũng cảm mà lại có sức mạnh.
顷因兵乱，纠合丁壮，自守乡邑。	Trước đây nhân khi loạn, Châu tụ tập đinh tráng, để giữ xóm làng.
县中劫发者，珠率众往救之，盗贼不能犯，一县晏然，众共推为张县。	Trong huyện nơi nào có kẻ cướp thì Châu liền đem quân đến cứu. Trộm cướp không dám đụng chạm đến, cả huyện yên ổn, họ bèn bầu Châu làm chức huyện trưởng.
常自操田器作农夫野样，遇西兵辄斗而杀之，西兵累被其害，相戒不入县界。	Có lúc, Châu vác cày bừa, giả dạng làm người nông phu, hễ gặp lính Tây Sơn là đánh chết liền. Quân Tây Sơn luôn luôn bị Châu giết hại, răn nhau không dám xâm phạm đến bờ cõi huyện này.
文任闻之大怒，谋率众捕珠，珠亡入至灵凤眼间，招募勇士相贼相抗，东北之人，归附者日众，当密探西贼所在，夜疾驰至，掩而杀之，出没如神，动辄得志，西人没奈他何，他本欲唱义而未有所主，请奉咫尺之书，招之即来。」	Văn Nhậm nghe tin giận lắm, định đem quân đến bắt Châu. Châu bèn trốn vào vùng Chí Linh, Phượng Nhãn (Chí Linh thuộc Hải Dương (Hải Hưng). Phượng Nhãn nay sáp nhập vào huyện Yên Dũng, Hà Bắc), chiêu mộ dũng sĩ, chống nhau với địch. Người ở hai vùng đông bắc, theo về với Châu mỗi ngày một nhiều. Châu thường cho người dò la nơi ở của quân Tây Sơn, rồi đêm đến đem quân đi gấp tới nơi, đánh úp giết chết. Quân của Châu khi ẩn, khi hiện như thần, đánh đâu là thắng đấy. Quân Tây Sơn chẳng làm gì được. Châu vẫn muốn khởi nghĩa, nhưng chưa có ai làm chủ. Vậy xin đưa lá thư của bệ hạ đi để chiêu dụ Châu, chắc là Châu sẽ đến ngay.
帝曰：「卿第使人先往。」	Vua nói: - Vậy nhà ngươi hãy sai người đi đi!
珠闻之大喜，谓众曰：「吾师今有名矣！」	Châu nghe tin, mừng lắm, nói với mọi người: - Quân ta nay đã có danh nghĩa rồi!
乃引兵迎驾，相见甚欢。	Châu bèn đem quân đến đón vua Lê, vua tôi gặp nhau rất là vui mừng.
帝曰：「闻尔勇于行军，今敌众在宝龛，约二百人，南能攻破之，当以尔为京北镇守。」	Vua nói: - Nghe đồn nhà ngươi dùng binh rất hùng dũng, nay quân giặc tụ tập ở vùng Bảo Khảm chừng hai trăm tên, nếu ngươi có thể đánh phá được chúng, ta sẽ cho ngươi làm chức trấn thủ xứ Kinh Bắc.
珠对曰：「此甚易事，但彼毕众而来，臣兵寡无援，不能与之相拒，又恐不能敛迹以避，臣近来屡已行之，仅可少泄其怒。	Châu nói: - Việc đó rất dễ, song chỉ e khi chúng kéo hết quân đến, thần ít quân, lại không có quân cứu viện, thì không đủ sức đánh nhau với chúng, mà rồi lại không thể tránh đi nơi khác để giấu kín tung tích.
然未能自立，亦职此之故也。	Lâu nay những việc thần đã làm, chỉ có thể hả bớt tức giận mà chưa thể tự lập được cũng là vì cớ ấy.
幸赖陛下威灵，诸将叶力，臣请自当一面，逢贼便战，有死不走。」	May nhờ oai linh của bệ hạ, lại được các tướng góp sức, thần xin tự mình chống đỡ một mặt, gặp giặc là đánh, có chết thì thôi chứ không chạy.
帝曰：「壮战！	Vua nói: - Mạnh mẽ thay!
真将军。」	Thật đáng là bậc đại tướng.
乃拜珠署镇守爵瑶郡公，珠即耀武于万劫山，建大将旗鼓于山上，使人奏请帝御观兵。	Rồi đó vua bèn phong cho Châu làm quyền trấn thủ, tước Dao quận công. Châu liền mở cuộc diễu võ ở núi Vạn Kiếp (thuộc huyện Chí Linh, Hải Dương (Hải Hưng)), dựng cờ và trống đại tướng ở trên núi, rồi sai người tâu mời nhà vua tới xem.
正是：成旅崎岖谋复物，泽袍慷慨誓歼仇。	Thật là: Thành lữ long đong lo việc nước, Trạch bào hăng hái giết quân thù.
未知底局如何，且听下回分解。	Chưa biết việc này ra sao? Hãy xem hồi sau phân giải.
