第七回。	Hồi thứ bảy.
整曰：「狂直。」	Chỉnh đáp: - Cuồng trực!
奎曰：「可用否？」	(thẳng thắn đến mức cuồng dại) Khuê lại hỏi: - Có thể dùng được không?
整曰：「非但可用亦可重其人也！	Chỉnh trả lời: - Chẳng những dùng được mà thôi, con người ấy còn đáng trọng nữa là khác!
奎曰：「公不怒简，果其情与？」	Khuê lại hỏi tiếp: - Ông không giận Giản, có phải là thật tình chăng?
整曰：「君不见完郡公彼之妇翁也？明言于朝，数其屈膝虏庭之罪，况于人乎！	Chỉnh nói: - Ông chẳng thấy quận Hoàn là bố vợ hắn, vậy mà hắn còn ngồi tại giữa triều kể tội ông ta rằng quỳ gối theo giặc, huống chi là người khác?
我苟有过，彼言为直，纵无之，于我何损？	Nếu mình có lỗi, hắn nói đúng. Còn như mình không có lỗi mà hắn nói, thì cũng không hại gì cho mình.
彼固不须怒，怒亦无奈彼何，徒使人得以窥我浅深。	Con người như hắn thực không nên giận. Mà có giận cũng không làm gì hắn tốt. Chẳng qua chỉ tổ để cho người ta nhòm thấy chỗ nông sâu của mình thôi!
奎因劝整召用简，以收人望，整从之，使人致书，辞极婉美。	Khuê nhân đó bèn khuyên Chỉnh nên vời Giản về dùng, để thu phục lòng người trong nước. Chỉnh nghe theo, liền sai người đưa thư cho Giản, trong thư lời lẽ hết sức ôn tồn, mềm mỏng.
简既至，适朝廷方议设官，以潘藩平章事、张登揆陈功灿同平章事、阮辉濯范廷玙参知政事、阮廷简副都御史。	Giản trở về, vừa gặp lúc triều đình đang bàn việc sắp đặt quan chức. Phan Lê Phiên được cử làm bình chương sự; Trương Đăng Quỹ, Trần Công Xán làm đồng bình chương sự; Nguyễn Huy Trạc, Phạm Đình Dư làm tham tri chính sự; Nguyễn Đình Giản làm phó đô ngự sử.
且说整营治第宅于亮府居之，五日一朝，朝退坐正堂议事，余日凡有军民庶务，百官皆就整请决，权侔人主，势倾天下。	Khi mọi việc đã tạm yên, Chỉnh liền sửa sang dinh thự ở toà Lượng phủ để ở. Năm ngày Chỉnh mới vào chầu một lần, tan buổi chầu, lại ra ngồi ở chính sự đường để bàn bạc công việc. Còn những ngày khác, bất kỳ việc quan, việc dân, các quan đều phải tới dinh thự riêng của Chỉnh, để xin Chỉnh quyết định. Từ đó, quyền Chỉnh thật ngang với nhà vua, thế của Chỉnh có thể lật nghiêng cả nước.
时钱币多为富室所敛藏，货泉不通，物价腾踊，整请大括天下寺观铜像铜钟，悉运来京，起冶铸钱，纵其麾下四出掳掠村邑，敢有藏匿，拷掠验治，独城北镇武观神像不敢毁焉，百姓怨讟，有作一对，夜粘于大兴门曰：「天下失寺钟，钟失而鼎安在？	Bấy giờ, tiền tệ trong nước phần nhiều bị các nhà giàu giấu cất, nhân dân đều khốn khổ về nạn khan tiền, hàng hoá không lưu thông, vật giá cao vọt. Chỉnh bèn xin với triều đình, ra lệnh thu vét hết tượng đồng, chuông đồng ở các chùa, miếu, đem về kinh sư, mở lò đúc tiền. Rồi Chỉnh thả cho thủ hạ đi về khắp nơi, cướp bóc chuông tượng của các thôn ấp. Người nào mà dám giấu giếm, tức thì bị chúng tra khảo, trừng trị. Chỉ riêng có pho tượng thần bằng đồng đen ở quán Trấn Vũ phía bắc kinh thành, là chúng không dám lấy mà thôi.
皇上焚王府，府焚即殿亦空。」	Thấy Chỉnh làm như vậy, trăm họ ai cũng ta thán. Một đêm, có người dán ở ngoài cửa Đại Hưng hai câu đối như sau: Thiên hạ thất tự chung, chung thất nhi đỉnh an tại? Hoàng thượng phần vương phủ, phủ phần tức điện diệc không! (Thiên hạ mất chuông chùa, chuông mất, vạc còn đâu nữa? Hoàng thượng thiêu phủ chúa, phủ thiêu, điện cũng trơ thôi! Chữ "đỉnh" (vạc) ở vế trên, là tượng trưng cho cơ nghiệp của nhà vua) Chỉnh nghe hai câu đó, lấy làm căm ghét lắm.
整闻而恶之，且自料己之所行，不为公论所与，益用起势立威，以钳众口。	Vả chăng, Chỉnh cũng tự đoán biết rằng, những việc mình làm đều không được dư luận đồng tình. Bởi vậy, Chỉnh càng mượn thế ra oai, để hòng khoá miệng mọi người.
有武班黄廷倬者，于整奔亡时，奉诏率其手下保卫京城，遇整家人带剑驰走，诘之，其人请以剑纳，倬受而释之。	Hồi Chỉnh trốn theo quân Nam, có viên quan võ là Hoàng Đình Xước vâng chỉ đốc lính coi giữ kinh thành. Khi đó, Xước gặp người nhà Chỉnh đeo gươm chạy ở trên đường, liền bắt lại hỏi. Người ấy xin nộp thanh gươm, Xước thu lấy rồi thả cho đi.
及整来，倬管兵按京北镇，谒整纳剑，整即收捕下狱，闻倬家乡奇货，尽索取之，乃得免。	Đến khi Chỉnh tới kinh sư, Xước đang đóng quân ở trấn Kinh Bắc, liền về ra mắt Chỉnh để trả lại thanh gươm. Chỉnh lập tức sai bắt Xước bỏ ngục. Nghe nói nhà Xước có nhiều đồ quý lạ, Chỉnh bèn đòi lấy kỳ hết, rồi mới tha.
其所为残暴无复忌惮类此。	Những việc làm của Chỉnh đại loại đều như thế thực là tàn bạo và không còn kiêng sợ gì cả.
整又置其军曰「武成道」，道分五营，内军曰铁骑、铁突二卫，卫各五队，其军色戎服，并法清朝体样，以自别于众军者。	Muốn thêm oai thế, Chỉnh lại tự đặt tên quân đội của mình là đạo Vũ Thành. Trong đạo chia ra năm doanh; nội quân gồm có hai vệ gọi là Thiết kỵ, Thiết đột; mỗi vệ chia làm năm đội; khí giới, màu sắc quần áo đều trang bị theo hình thức của triều nhà Thanh, để cho phân biệt với các toán quân khác.
所居之亮府，邸第门楼车舆衣服，无不新定制度，以亻替拟于上。	Tại Lượng phủ, nơi ở của Chỉnh, nhà cửa, lâu đài, kiệu xe, quần áo hết thảy đều chế theo kiểu mới, có ý muốn sánh ngang với nhà vua.
内典兵枢，外领镇节，凡枢密要剧之地，悉用其党羽，分布众职。	Trong thì nắm giữ quân cơ, ngoài thì chiếm quyền trấn thủ các trấn, phàm những chỗ cơ mật, trọng yếu, đều do vây cánh của Chỉnh chia nhau lĩnh chức.
事皆专辄，先行而后奏，至有在朝处决，而帝不得闻者，威权太重，形迹尽露，物论沸腾，皆谓整必为王，将来胁制皇家，更甚于郑王者！	Tất cả mọi việc, Chỉnh đều chuyên quyền, làm trước rồi sau mới tâu vua. Thậm chí có việc đã bàn định tại triều mà vua cũng không được biết. Uy quyền của Chỉnh ngày càng to lớn như vậy, nên hình tích của hắn cũng lộ ra hết. Người ta bàn tán sôi nổi, ai cũng bảo rằng Chỉnh sẽ làm chúa, và rồi đây Chỉnh hiếp chế nhà vua sẽ còn tệ hơn chúa Trịnh ngày xưa. Hoàng thượng thấy thế cũng hơi ngờ Chỉnh.
上颇疑之，一日尽屏左右，密谓内翰吴为贵黎春洽曰：「整虽有保卫之功，而渐见凌逼之状，能制之于始，使不得肆，便不失养鹰之术，若他势既成，图后为难，恐至有遗养虎之患，可为朕熟思之！」	Một hôm, hoàng thượng đuổi hết tả hữu, rồi nói kín với hai viên nội hàn là Ngô Vi Quý và Lê Xuân Hợp rằng: - Chỉnh tuy có công bảo vệ, nhưng dần dà đã thấy hắn có vẻ muốn lấn bức. Giá có thể chặn ngay lúc đầu, khiến hắn không thể càn rỡ được nữa, thì mới đúng với thuật nuôi chim ưng (đời Tam quốc, Trần Đăng nói với Lã Bố rằng: "Tào công nói nuôi Lã Bố như nuôi chim ưng, cáo thỏ chưa hết thì không dám cho ăn no, nếu ăn no ưng sẽ bay đi mấtv.v...". ở đây dùng ý ấy). Nếu để khi thế lực của hắn đã thành, thì hắn sẽ khó trị, e cũng giống như nuôi cọp để lo về sau.
二人对曰：「臣观整之为人，造意太险，操心太急，藏机太深，假名太谲，应变太敏，未必为治世之能臣，而实为乱世之奸雄，譬之豺狼，非可驯之物，鬼蜮无可制之机，惟有杀耳！	Vậy các ngươi hãy nên tính hộ trẫm! Bọn Quý, Hợp tâu: - Như lũ thần đã xem xét, thì Chỉnh là hạng người ý nghĩ cực kỳ hiểm độc, bụng dạ quá ư tàn nhẫn, mưu mô hết sức sâu sắc, giả trá rất đỗi khôn ngoan, mà ứng biến thì mau lẹ tuyệt vời. Con người ấy thực là một kẻ gian hùng ở đời loạn, chưa chắc là một kẻ bầy tôi hiền tài ở đời trị. Cũng ví như loài chồn sói, không phải là vật có thể dạy dỗ; giống yêu ma, không phải là vật có thể kiềm chế.
然杀之亦须有术，陛下委之以心腹，隆之以礼貌，出入内禁，都不见其它，宣召入内殿议事，因设宴饮，醉之以酒，如此者数次，习见为常，然后以鸩杀之，形迹不露，变故何生，臣愚以为此计之善者也。」	Chỉ còn có một cách là giết đi mà thôi. Nhưng giết hắn cũng phải có mẹo. Bệ hạ hãy nên coi hắn như người tâm phúc, đãi hắn với vẻ lễ mạo, cho hắn ra vào nơi cung cấm, không tỏ vẻ gì nghi kỵ này khác. Rồi đó, thỉnh thoảng lại mời hắn vào điện bàn việc, luôn thể đặt tiệc cho hắn uống rượu thật say. Vài lần như thế để hắn quen đi mà coi là thường, bấy giờ mới dùng thuốc độc mà giết. Như vậy, việc làm mới khỏi lộ, biến loạn cũng không thể do đâu mà xảy ra được. Theo ý ngu của lũ thần, chỉ có mẹo ấy là hay hơn cả!
上曰：「出口入耳，无容得属于垣。	Hoàng thượng nói: - Chuyện này ra ở miệng các ngươi, vào trong tai trẫm, đừng để cho người nào biết.
易曰：『君不密则失臣，臣不密则失身。	Kinh Dịch có câu rằng: "Làm vua không kín chuyện thời mất bề tôi, làm bề tôi không kín chuyện thời mất thân mình".
』尔其戒之！	Các ngươi phải lấy đó làm răn.
机有可投，朕当以告。」	Bao giờ gặp cơ hội có thể làm được, trẫm sẽ bảo với các ngươi.
正是：海上驯鸥宜其诧，置中获兔更安逃。	Thực là: Âu quen trên biển chừng không lạ Thỏ mắc trong vòng hẳn khó ra.
未知底事如何，且听下回分解。	Chưa biết việc này như thế nào? Hãy xem hồi sau phân giải.
