第三回。	Hồi thứ ba.
以王命密传，令潜养义士，据守镇营，仍听兄调度。	Bây giờ hãy dùng mật lệnh nhà chúa, sai họ ngầm nuôi nghĩa sĩ, giữ vững dinh trấn, và nghe theo sự điều khiển của anh.
兄以宰相兼师傅之分，一言出口，诸将莫敢不从。	Còn anh, vốn là một vị tể tướng lại kiêm chức sư phó, thì một lời nói ra khỏi miệng, trấn nào lại dám không tuân theo.
京北降将秀晖该回皆为点贼，今现在内臣日忠侯所，纵使之驱扇谅江北河可为一臂之助。	Bên Kinh Bắc còn có hai tên tướng giặc đầu hàng là tú Huy và cai Hồ, đều là những tay dữ tợn, tinh khôn. Hiện chúng đang ở chỗ viên nội thần Nhật trung hầu; nếu thả cho chúng và sai đi xui giục hai phủ Lạng Giang, Bắc Hà (đều thuộc Bắc Giang), chắc cũng giúp cho mình được một tay.
太原老贼该嘉，曾及兄门下，约令同日举事，使凡清、乂骄兵，见在外镇悉歼之。	Trên Thái Nguyên lại có tên giặc già là cai Già, thuở xưa đã từng làm môn hạ của anh, hẳn anh cũng có thể sai khiến được. Cả bấy nhiêu nơi ta hẹn nhau cùng ngày khởi sự. Phàm ưu binh (thời Lê trung hưng, kén lính ở 3 phủ thuộc Thanh Hoá và 12 huyện thuộc Nghệ An để chuyên bảo vệ kinh thành. Loại lính này được ưu đãi hơn các lính nơi khác, vì thế gọi là ưu binh, hoặc cũng gọi là lính tam phủ) Thanh Nghệ, hễ đứa nào ở các trấn ngoài đều phải trừ cho hết.
或有逃窜，许所在民杀之，四方八面，鼓噪入城，骄兵无路走矣。	Đứa nào trốn thoát, cho dân sở tại cứ bắt mà giết đi. Rồi thì bốn phương tám mặt cùng ập vào kinh thành kiêu binh ắt sẽ không còn đường mà chạy nữa.
此不世之奇功，兄其图之。」	Đó là một kỳ công muôn đời mới gặp, anh nên tính gấp đi!
国师曰：「甚善！	Khản nghe xong, nói: - Hay lắm!
但王在他掌握，投鼠能无忌器乎？」	Nhưng nay chúa còn đang ở trong tay chúng; ném chuột lại có thể không kiêng đồ vật được ư?
曰：「此甚易事，先使人启知王上，密取府库金银府库货宝，交付方镇。太妃与王子宫嫔潜出城外，随便安顿。	(ý muốn nói diệt kiêu binh lại sợ vạ đến Trịnh Tông) Cương nói: - Đó là việc rất dễ: Trước hãy sai người trình với chúa, bí mật lấy hết vàng bạc, của cải trong kho, phân tán ra các trấn; thái phi, vương tử và các cung tần cũng lén đưa cả ra ngoài thành, hễ gặp chỗ nào tiện thì hãy ở tạm.
密报硕郡公以舟师赴青池津。声言巡河，阴使横渡小舟等侯于西龙津。	Sau đó ngầm báo cho quận Thạc đem thuyền chở quân đến bến Thanh Trì, nói phao là đi tuần sông: rồi giấu kín một chiếc đò ngang, đợi sẵn ở bến Tây Long.
王微服登舟，顺流放下山南营驻驿，然后诸镇齐发，便无碍处。」	Còn chúa thì sẽ mặc quần áo thường dân, cất lẻn xuống chiếc thuyền ấy đi xuôi đến dinh trấn Sơn Nam và tạm đóng tại đó. Xong đâu đấy bấy giờ các trấn mới cùng khởi sự. Như vậy, thì không còn lo ngại gì nữa!
国师曰：「非公我不及此，事纵不成，亦一快也。」	Khản mừng mà rằng: - Không có chú, tôi không nghĩ được đến thế. Dẫu không thành cũng là một việc làm hả dạ!
乃以密启以告于王，王大喜。	Rồi Khản làm tờ mật khải đưa về cho chúa.
密旨优答，且约如此如此。	Chúa mừng lắm, viết ngay tờ mật chỉ khen ngợi, đồng thời hẹn sẵn mọi việc.
乃请太妃改装，潜出城外，权驻于王第七姨之夫贯上福县文甲社，以王子及诸宫嫔随之。	Tiếp đó, chúa mời thái phi cải trang và lẻn ra ngoài thành, đến tạm trú tại nhà người chồng bà dì thứ bảy của chúa ở làng Văn Giáp, huyện Thượng Phúc. Vương tử và các cung tần cũng đều theo cả đến đó.
仍取府库金银重宝，使亲信侍臣潜出。	Một mặt, chúa cho mở kho lấy hết vàng bạc châu báu, sai các thị thần thân tín ngầm đem ra, giao phó cho bốn trấn.
四镇，各各交付山南镇官，以本月二十八日密来迎驾，初一日诸道一齐起兵。	Một mặt, chúa cho hẹn với quan trấn thủ trấn Sơn Nam, đúng ngày 28 tháng ấy thì bí mật đến đón mình; lại hẹn với các trấn đúng ngày mồng một tháng sau thì các đạo sẽ cùng khởi binh cả một loạt.
布置已毕，至日硕郡公依命而来，京中腾沸。	Công việc sắp đặt như thế là xong. Tới ngày hẹn, quận Thạc theo lệnh chúa đem thuyền đến đón.
言山南镇官起兵逼城，尽诛骄兵，诸军仓皇，潜使妻子束结出城逃遁，单留军籍在京。	Khi ấy trong kinh hết sức nhốn nháo: người ta kháo nhau rằng quan trấn thủ Sơn Nam sắp đem quân vào thành, để giết hết kiêu binh. Đám quân lính nghe tin ấy đều hoảng hốt, ngầm cho vợ con gói ghém hành lý đem ra ngoài thành và trốn tránh đi các nơi, còn ở kinh chỉ để lại những người thuộc "quân tịch" mà thôi.
齐入府中，请王急征之。	Rồi chúng kéo nhau vào phủ chúa, xin chúa cấp tốc khởi binh đánh dẹp.
王不得已出御泽阁劳军，军中有知此事者，骂王曰：「王无谓臣等无知，徒以口头卖弄。	Chúa bất đắc dĩ phải ra ngự ở Trạch các để uý lạo ba quân. Trong đám kiêu binh có kẻ biết mưu của chúa, liền mắng chúa rằng: - Chúa đừng tưởng chúng tôi không biết mà hòng đem đầu lưỡi ra khua múa để che đậy.
此去西龙津，从宣武门出，不过百步。已有硕郡舟迎候在此，好前顾后盼，辄得无人时，速速就此觅去路尔。」	Từ đây theo cửa Tuyên Vũ đi ra, rồi đến bến Tây Long (tục gọi là Tây Luông, ở thẳng phía sau nhà hát thành phố Hà Nội bây giờ); chẳng qua chỉ độ trăm bước đã có thuyền của quận Thạc chờ đón sẵn sàng ở đó; trông trước trông sau, khi nào thấy không có người, thì bước lên thuyền cho nhanh rồi tìm đường mà đi chứ gì!
王默然变色而入，由是诸军日夜更守王府甚密，出入机察，稍异者盘诘之，以故王不果行。	Chúa biến sắc mặt, nín lặng quay vào. Từ hôm ấy, quân lính canh giữ phủ chúa rất ngặt. Những người nào ra vào, hễ hơi có vẻ khang khác là bị họ khám xét tra hỏi liền. Vì vậy, chúa không dám ra khỏi cung.
硕郡闻之，复归本镇。	Quận Thạc nghe tin, lại rút quân về trấn của mình.
王使人告罢兵，未及达，越次日，诸道依约一齐举兵，天下震动，所在豪杰并起，皆言扑灭骄兵。	Chúa sai người ra báo lại với các trấn hoãn ngày khởi sự, nhưng chưa đến kịp thì các đạo theo đúng hẹn cũ đã rầm rộ kéo quân lên đường. Thiên hạ cực kỳ náo động. Hào kiệt các nơi đồng thời nổi dậy, ai ai cũng nói phải tiêu diệt hết kiêu binh.
是日凡清、乂二镇骄兵，隶诸镇者皆逃去。所过村邑，不敢出声，有失口露出清、乂土音者，众闻即杀。	Ngày hôm đó, hết thảy kiêu binh hai xứ Thanh Nghệ đóng ở các trấn đều phải bỏ trốn, lúc đi qua làng mạc chúng không dám lên tiếng. Hễ kẻ nào buột miệng lòi ra thổ âm Thanh Nghệ, tức thì bị dân chúng bắt giết ngay.
他辈往往佯为口喑，乞丐于途，潜回京师，言四方兵不日集城下。	Bọn chúng phải luôn luôn giả cách làm người câm, ăn xin ở dọc đường, rồi lần mò về kinh, báo cho đám kiêu binh ở đây biết cái tin nay mai quân các trấn sẽ về họp ở dưới thành.
乃相会谋御，自分道而行。	Được tin này, bọn kiêu binh ở kinh tức thì họp nhau bàn cách chống cự. Rồi họ chia nhau thành các đạo kéo đi.
西道出至大冯，北道出至咏桥，皆为地方土豪所败，弃甲带伤而归。	Nhưng đạo phía tây mới kéo ra đến Đại phùng, đạo phía bắc mới kéo đến cầu Vịnh thì đã bị ngay các tay thổ hào địa phương đánh thua. Họ phải bỏ cả khí giới, cố mang vết thương mà chạy về kinh.
时京师震动，庙坊街市，皆提挈出城而走。	Bấy giờ kinh thành chấn động, dân hàng phố kẻ chợ đều dắt díu bồng bế nhau ra ngoài thành chạy trốn.
诸军且惧且忿，呼王为贼王。	Đám kiêu binh vừa sợ vừa tức, gọi chúa là giặc.
因相与入府中，尽取兵器，分各营奇队自守之。	Rồi họ kéo vào trong phủ, lấy hết binh khí, chia cho cơ đội các dinh nắm giữ.
王宫无寸铁自卫，是日捉得义士四人入城，诸军密将会所问状，其人妄招本夜外兵齐来掩袭，诸军大惊，相戒严。	Phủ chúa lúc ấy không còn một tấc sắt nào để tự vệ. Đêm hôm ấy, kiêu binh bắt được bốn tay nghĩa sĩ lẻn vào thành; họ liền bí mật đem đến hội sở của họ để tra hỏi. Mấy tay nghĩa sĩ đau quá, khai liều rằng đêm nay quân ở ngoài sẽ vào đánh úp. Đám kiêu binh cả sợ, bèn bảo nhau phòng bị nghiêm nhặt.
铳焚火媒，刀稍出匣，直夜传发，京师几溃。	Súng nhồi sẵn mồi lửa, gươm tuốt khỏi vỏ, suốt đêm họ hò hét, đi lại rầm rập, kinh thành hầu như sắp vỡ.
旦日将四人斩之，环立王府，责曰：「臣等翊扶，王始得立。	Sớm hôm sau, họ đem chém cả bốn nghĩa sĩ, rồi xúm quanh phủ chúa mà trách rằng: - Nhờ có chúng tôi phò, chúa mới được lên ngôi.
今王反以为仇，清、乂兵二百年来，为王室心腹爪牙，今王起四镇兵，将加害二处，信皮肤而疑心腹，张刀锯，以剪爪牙，为王画此计者，皆鸩毒王者也。	Nay chúa lại coi chúng tôi là kẻ thù. Lính Thanh Nghệ hai trăm năm nay vẫn là nanh vuốt cật ruột của nhà chúa. Bây giờ chúa lại nỡ dấy quân bốn trấn về giết hại lính hai xứ chúng tôi. Tin da dẻ mà ngờ cật ruột, giơ dao cưa để cắt nanh vuốt, kẻ nào bày ra mưu ấy đều là những kẻ bỏ thuốc độc cho chúa.
王若不急谕四镇罢兵，幸勿责臣无礼。」	Nếu chúa không mau dụ bốn trấn bãi binh, thì đừng có trách chúng tôi là vô lễ!
王坚言不知，而密使人告诸镇，令止其事。	Chúa một mực chối là không biết, rồi ngầm sai người bảo các trấn bãi việc ấy đi.
诸军不知王有阴止之命，疑王不已。	Đám kiêu binh không biết là chúa đã ngầm ra lệnh đình chỉ, nên vẫn còn nghi ngờ.
相与聚议为大逆事。	Họ bèn tụ họp nhau, bàn làm chuyện đại nghịch.
乃约以夜三鼓，发宝龙铳三声为号，齐入王府作事，尽取府中宝货财物者分之。仍以王乘舆卤簿军民簿籍，送至内殿，迎皇上归清华。	Hẹn đến canh ba đêm ấy, nổ ba tiếng súng Bảo Long làm hiệu, rồi cùng kéo vào phủ chúa để hành sự; sẽ lấy hết của cải đồ vật trong phủ chia nhau; sau đó lấy xe kiệu của chúa chở hết các đồ nghi vệ cùng sổ sách đưa đến nội điện, rồi rước hoàng thượng về Thanh Hóa để mưu toan công việc sau này.
正是：鱼服漏言还不果，狐心坚执故相猜。	Thật là: Áo cá hớ hênh nên chẳng quyết, Lòng hồ cố chấp hoá ngờ nhau.
未知这事如何，且听下回分解。	Chưa biết việc này ra sao? Xin xem hồi sau phân giải.
