第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
孔明自乘小车，来祁山前、渭水东西，踏看地理。	Khổng Minh ngồi một chiếc xe nhỏ, đi xem địa lý mé trước núi Kỳ Sơn, và góc đồng phía tây sông Vị.
忽到一谷口，见其形如葫芦之状，内中可容千余人；两山又合一谷，可容四五百人；背后两山环抱，只可通一人一骑。	Khổng Minh đi đến một cửa hang, trông như hình quả bầu, giữa phình rộng ra, có thể chứa hàng nghìn người, được một quãng, núi đôi bên thắt lại, rồi lại phình ra một hang, chứa đựơc bốn năm người. Mé sau, núi bọc xung quanh, có một con đường ở giữa, chỉ một người một ngựa đi vừa.
孔明看了，心中大喜，问向导官曰：“此处是何地名？”	Khổng Minh xem xong, mừng lắm, hỏi quan hướng đạo rằng: - Đây gọi là hang gì?
答曰：“此名上方谷，又号葫芦谷。”	Quân hướng đạo đáp: - Ở đây là hang Thượng Phương, lại thường gọi là hang Hồ Lô.
孔明回到帐中，唤裨将杜睿、胡忠二人，附耳授以密计。 令唤集随军匠作一千余人，入葫芦谷中，制造木牛流马应用；又令马岱领五百兵守住谷口。	Khổng Minh về trại gọi hai tì tướng Đỗ Tuấn, Hồ Trung, dặn bảo mật kế, sai đem nghìn thợ vào trong hang Hồ Lô, chế tạo ra trâu ngựa gỗ có máy để dùng việc.
孔明嘱马岱曰：“匠作人等，不许放出；外人不许放入。	Lại sai Mã Đại lĩnh năm trăm quân giữ chặt cửa hang, dặn rằng: - Nội là thợ thuyền không được cho ra ngoài; người ngoài không được cho vào.
吾还不时自来点视。	Ta thỉnh thoảng đến coi xét.
捉司马懿之计，只在此举。 切不可走漏消息。”	Mẹo bắt Tư Mã Ý chỉ ở kế ấy, chớ để tiết lộ.
马岱受命而去。	Mã Đại vâng mệnh giữ cửa hang.
杜睿等二人在谷中监督匠作，依法制造。	Đỗ Tuấn, Hồ Trung coi đốc thợ thuyền chế tạo.
孔明每日往来指示。	Khổng Minh mỗi ngày đến chỉ bảo cách thức làm.
忽一日，长史杨仪入告曰：“即今粮米皆在剑阁，人夫牛马，搬运不便，如之奈何？”	Một hôm, Dương Nghi vào bẩm rằng: - Hiện nay lương gạo chứa cả ở núi Kiếm Các, dân phu và trâu ngựa vận tải vất vả lắm, làm thế nào?
孔明笑曰：“吾已运谋多时也。	Khổng Minh cười, nói: - Ta nghĩ đã lâu rồi!
前者所积木料，并西川收买下的大木，教人制造木牛流马，搬运粮米，甚是便利。	Trước kia ta đã chứa sẵn gỗ, và gỗ to mới mua ở Tây Xuyên, ta đã sai người chế tạo ra trâu, để tải vận lương gạo, rất là tiện lợi.
牛马皆不水食，可以昼夜转运不绝也。”	Trâu ngựa không phải ăn uống gì, có thể đi được cả ngày lẫn đêm.
众皆惊曰：“自古及今，未闻有木牛流马之事。 不知丞相有何妙法，造此奇物？” 孔明曰：“吾已令人依法制造，尚未完备。 吾今先将造木牛流马之法，尺寸方圆，长短阔狭，开写明白，汝等视之。”	Chúng cùng ngạc nhiên, hỏi rằng: - Từ xưa đến giờ, chưa có trâu gỗ ngựa gỗ chạy được bao giờ.
众大喜。 孔明即手书一纸，付众观看。 众将环绕而视。	Thừa tướng có phép gì tài, mà chế ra được máy lạ như vậy?
造木牛之法云：“方腹曲头，一脚四足；头入领中，舌着于腹。 载多而行少：独行者数十里，群行者二十里。	Khổng Minh nói: - Ta đã sai người chế tạo, nhưng chưa xong.
曲者为牛头，双者为牛脚，横者为牛领，转者为牛足，覆者为牛背，方者为牛腹，垂者为牛舌，曲者为牛肋，刻者为牛齿，立者为牛角，细者为牛鞅，摄者为牛鞦轴。 牛仰双辕，人行六尺，牛行四步。 每牛载十人所食一月之粮，人不大劳，牛不饮食。” 造流马之法云：“肋长三尺五寸，广三寸，厚二寸二分：左右同。	Nay ta hãy kể cách thức vuông tròn, rộng hẹp, dài vắn, cho các người nghe.
前轴孔分墨去头四寸，径中二寸。	
前脚孔分墨二寸，去前轴孔四寸五分，广一寸。 前杠孔去前脚孔分墨二寸七分，孔长二寸，广一寸。 后轴孔去前杠分墨一尺五分，大小与前同。 后脚孔分墨去后轴孔三寸五分，大小与前同。	Chúng mừng lắm.
后杠孔去后脚孔分墨二寸七分，后载克去后杠孔分墨四寸五分。	
前杠长一尺八寸，广二寸，厚一寸五分。 后杠与等。 板方囊二枚，厚八分，长二尺七寸，高一尺六寸五分，广一尺六寸：每枚受米二斛三斗。 从上杠孔去肋下七寸：前后同。	Khổng Minh viết ra một tờ giấy, đưa cho chúng xem.
上杠孔去下杠孔分墨一尺三寸，孔长一寸五分，广七分：八孔同。	
前后四脚广二寸，厚一寸五分。 形制如象，靬长四寸，径面四寸三分。 孔径中三脚杠，长二尺一寸，广一寸五分，厚一寸四分，同杠耳。” 众将看了一遍，皆拜伏曰：“丞相真神人也！”	Các tướng xem xong, mừng nói rằng: - Thừa tướng thật là thần nhân!
过了数日，木牛流马皆造完备，宛然如活者一般；上山下岭，各尽其便。	Qua vài ngày nữa, trâu ngựa chế tạo xong, chẳng khác gì trâu ngựa thực, lên núi, xuống núi được cả.
众军见之，无不欣喜。	Ba quân trông thấy đều vỗ tay reo mừng.
孔明令右将军高翔，引一千兵驾着木牛流马，自剑阁直抵祁山大寨，往来搬运粮草，供给蜀兵之用。	Khổng Minh sai Cao Tường dẫn một nghìn quân, đem trâu ngựa vận lương tự núi Kiếm Các đến trại Kỳ Sơn, để cấp cho quân ăn.
后人有诗赞曰：“剑关险峻驱流马，斜谷崎岖驾木牛。 后世若能行此法，输将安得使人愁？”	Có thơ khen rằng: "Núi Kiếm gập ghềnh xưa, ngựa chạy, Hang Tà quanh quất lối trâu đi Đời sau nếu biết dùng mưu ấy, Tải vận còn ai khó nhọc gì!"
却说司马懿正忧闷间，忽哨马报说：“蜀兵用木牛流马转运粮草。 人不大劳，牛马不食。” 懿大惊曰：“吾所以坚守不出者，为彼粮草不能接济，欲待其自毙耳。	Tư Mã Ý ở trong trại, đang khi buồn bã, chợt có quân tiễu về báo quân Thục dùng trâu ngựa máy bằng gỗ vận lương, người không khó nhọc gì cả. Tư Mã Ý giật mình, nói: - Ta muốn giữ vững không ra, là vì thấy việc vận lương của hắn gian khổ, không tiếp tế luôn luôn được nên ta không đánh vội, đợi cho hắn hết lương thì phải chạy.
今用此法，必为久远之计，不思退矣。 如之奈何？”	Nay hắn dùng cách này, ý muốn ở đây lâu dài, không rút về nữa, làm thế nào bây giờ?
急唤张虎、乐綝二人分付曰：“汝二人各引五百军，从斜谷小路抄出；待蜀兵驱过木牛流马，任他过尽，一齐杀出；不可多抢，只抢三五匹便回。”	Liền gọi Trương Hổ, Nhạc Lâm đến dặn rằng: - Hai ngươi, mỗi người dẫn năm trăm quân đi lẻn ra đường nhỏ hang Tà Cốc, đợi lúc quân Thục đem trâu ngựa gỗ vận lương đi qua thì kệ cho nó đi hết, rồi sẽ đổ ra, không nên bắt nhiều, chỉ lấy năm ba con mang về cho ta.
二人依令，各引五百军，扮作蜀兵，夜间偷过小路，伏在谷中，果见高翔引兵驱木牛流马而来。	Hai tướng vâng lời, dẫn quân ăn mặc giả làm quân Thục nửa đêm đi lẻn theo đường nhỏ, phục ở trong hang. Hôm sau thấy Cao Tường dắt trâu ngựa đi qua.
将次过尽，两边一齐鼓噪杀出。	Đi vừa khỏi, hai bên đánh trống hò reo ùa ra.
蜀兵措手不及，弃下数匹，张虎、乐綝欢喜，驱回本寨。	Quân Thục không kịp phòng bị, phải bỏ mất vài ba đôi trâu ngựa mà chạy. Hai tướng mừng rỡ, dắt về trại nhà.
司马懿看了，果然进退如活的一般，乃大喜曰：“汝会用此法，难道我不会用！”	Tư Mã Ý xem thấy trâu ngựa gỗ quả nhiên cử động được như trâu ngựa thực, mừng nói: - Hắn biết dùng phép này, dễ thường người ta không biết dùng chăng?
便令巧匠百余人，当面拆开，分付依其尺寸长短厚薄之法，一样制造木牛流马。	Bèn gọi hơn trăm thợ đến, ngồi ngay trước mặt, tháo ra từng mảnh, sai theo đúng cách thức từng gang từng tấc, dài ngắn dày mỏng, cứ thế mà chế ra.
不消半月，造成二千余只，与孔明所造者一般法则，亦能奔走。	Không đầy nửa tháng, làm ra hơn hai nghìn con, chẳng khác gì của Khổng Minh.
遂令镇远将军岑威，引一千军驱驾木牛流马，去陇西搬运粮草，往来不绝。	Liền sai trấn viễn tướng quân Sầm Uy, dẫn một nghìn quân dắt trâu ngựa gỗ ra Lũng Tây, tải vận lương thảo, đi lại luôn luôn.
魏营军将，无不欢喜。	Quân tướng nước Ngụy, ai cũng mừng rỡ.
却说高翔回见孔明，说魏兵抢夺木牛流马各五六匹去了。	Cao Tường về ra mắt Khổng Minh, thuật lại chuyện quân Ngụy cướp mất mấy đôi trâu ngựa gỗ.
孔明笑曰：“吾正要他抢去。	Khổng Minh cười, nói: - Ta rất mong cho nó cướp.
我只费了几匹木牛流马，却不久便得军中许多资助也。”	Ta chỉ tổn thất mấy đôi ngựa gỗ, nhưng nay mai tất lấy được lương thảo chưa biết bao nhiêu mà kể!
诸将问曰：“丞相何以知之？”	Các tướng hỏi rằng: - Sao thừa tướng lại chắc được như thế?
孔明曰：“司马懿见了木牛流马，必然仿我法度，一样制造。	Khổng Minh nói: - Tư Mã Ý trông thấy ngựa gỗ của ta, tất nhiên bắt chước cách thức cũng chế tạo ra được.
那时我又有计策。”	Nhưng ta sẽ lại có mẹo khác.
数日后，人报魏兵也会造木牛流马，往陇西搬运粮草。	Vài hôm sau, có người báo quân Ngụy cũng làm ra trâu ngựa gỗ, đem ra Lũng Tây tải lương thảo.
孔明大喜曰：“不出吾之算也。”	Khổng Minh mừng, nói: - Có sai lời ta đâu!
便唤王平分付曰：“汝引一千兵，扮作魏人，星夜偷过北原，只说是巡粮军，径到运粮之所，将护粮之人尽皆杀散；却驱木牛流马而回，径奔过北原来：此处必有魏兵追赶，汝便将木牛流马口内舌头扭转，牛马就不能行动，汝等竟弃之而走，背后魏兵赶到，牵拽不动，打抬不去。 吾再有兵到，汝却回身再将牛马舌扭过来，长驱大行。	Liền gọi Vương Bình dặn rằng: - Ngươi dẫn một nghìn quân, ăn mặc giả làm quân Ngụy, đêm khuya đi lẻn qua Bắc Nguyên, nói phao là quân đi tuần lương, mà trà trộn vào bọn giặc, thừa cơ giết hết quân coi lương rồi dắt trâu ngựa về. Khi về qua Bắc Nguyên, chỗ ấy tất có quân Ngụy đuổi theo, ngươi nên sai quân vặn hết lưỡi ra thì trâu ngựa ấy không đi đi được nữa, và bỏ cả đấy mà chạy. Quân Ngụy đến nơi kéo cũng không nổi, lôi cũng không đi, bấy giờ ta sẽ có quân đến, ngươi lại phải quay lại, lấy lưỡi trâu ngựa tra vào, rồi dắt về.
魏兵必疑为怪也！”	Quân Ngụy tất nghi là ma quỷ, không dám đuổi theo nữa đâu.
王平受计引兵而去。	Vương Bình vâng lệnh, dẫn quân đi.
孔明又唤张嶷分付曰：“汝引五百军，都扮作六丁六甲神兵，鬼头兽身，用五彩涂面，妆作种种怪异之状；一手执绣旗，一手仗宝剑；身挂葫芦，内藏烟火之物，伏于山傍。 待木牛流马到时，放起烟火，一齐拥出，驱牛马而行。 魏人见之，必疑是神鬼，不敢来追赶。”	Khổng Minh lại gọi Trương Ngực đến dặn rằng: - Ngươi dẫn trăm quân, ăn mặc giả làm thuần Lục đinh Lục giáp đầu quỷ mình thú, dùng thuốc ngũ sắc bôi vào mặt, làm ra hình thù quái dị. Người nào cũng một tay cầm lá cờ thêu, một tay cầm gươm, mình đeo bầu hồ lô, trong bầu chứa sẵn đồ khói lửa, phục ở bên cạnh núi, đợi khi trâu ngựa đi qua, thì đốt cho khói lửa bốc lên, rồi kéo ra dòng dắt trâu ngựa về.
张嶷受计引兵而去。	Trương Ngực vâng lệnh dẫn quân đi.
孔明又唤魏延、姜维分付曰：“汝二人同引一万兵，去北原寨口接应木牛流马，以防交战。”	Lại gọi Ngụy Diên, Khương Duy đến dặn rằng: - Hai người dẫn một vạn quân, ra trại Bắc Nguyên, tiếp ứng cho trâu ngựa về.
又唤廖化、张翼分付曰：“汝二人引五千兵，去断司马懿来路。”	Lại gọi Liêu Hoá, Trương Dực rằng: - Hai người dẫn năm nghìn quân ra chẹn đường Tư Mã Ý lại cứu.
又唤马忠、马岱分付曰：“汝二人引二千兵去渭南搦战。”	Lại dặn Mã Trung, Mã Đại rằng: - Hai chúng ngươi dẫn hai nghìn quân đến Vị Nam khởi sự đánh nhau.
六人各各遵令而去。	Sáu tướng tuân lệnh, ai nấy dẫn quân đi.
且说魏将岑威引军驱木牛流马，装载粮米，正行之间，忽报前面有兵巡粮。	Nói về tướng Ngụy là Sầm Uy dẫn quân dắt trâu ngựa gỗ vận lương. Đang đi được tin báo có quân đi tuần tiễu.
岑威令人哨探，果是魏兵，遂放心前进。	Uy sai người ra xem, quả nhiên là quân Ngụy thực mới yên tâm kéo đi.
两军合在一处。 忽然喊声大震，蜀兵就本队里杀起，大呼：“蜀中大将王平在此！”	Quân hai cánh vừa hợp làm một, bỗng nhiên nổi tiếng reo, quân Thục ở trong đám quân Ngụy xông ra, hô lên rằng: - Đại tướng Vương Bình đây!
魏兵措手不及，被蜀兵杀死大半。 岑威引败兵抵敌，被王平一刀斩了，余皆溃散。 王平引兵尽驱木牛流马而回。 败兵飞奔报入北原寨内。	Quân Ngụy chạy về trại Bắc Nguyên báo tin.
郭淮闻军粮被劫，疾忙引军来救。	Quách vội vàng dẫn quân đến cứu.
王平令兵扭转木牛流马舌头，皆弃于道上，且战且走。	Vương Bình sai quân rút lưỡi trâu ngựa ra bỏ cả dọc đường, rồi vừa đánh vừa chạy.
郭淮教且莫追，只驱回木牛流马。 众军一齐驱赶，却那里驱得动？	Quách Hoài truyền quân không đuổi vội, hãy dắt trâu ngựa đem về, nhưng khi quân sĩ kéo ồ cả lại dắt trâu ngựa đi, thì lay không sao chuyển, kéo không sao động được.
郭淮心中疑惑，正无奈何，忽鼓角喧天，喊声四起，两路兵杀来，乃魏延、姜维也。 王平复引兵杀回。 三路夹攻，郭淮大败而走。	Quách Hoài nghi hoặc, không biết tại sao. Bỗng đâu, trống đánh tù và thổi, tiếng reo bốn mặt, rồi có hai cánh quân của Ngụy Diên, Khương Duy tràn đến, Vương Bình cũng quay lại, ba mặt đánh dồn vào Quách Hoài bị thua to chạy mất.
王平令军士将牛马舌头，重复扭转，驱赶而行。	Vương Bình sai quân tra lưỡi trâu ngựa vào, rồi đốc thúc kéo đi.
郭淮望见，方欲回兵再追，只见山后烟云突起，一队神兵拥出，一个个手执旗剑，怪异之状，驱驾木牛流马如风拥而去。	Quách Hoài thấy vậy, toan quay binh lại đuổi. Bổng thấy mé sau núi, có một luồng khói đen ngùn ngụt bốc lên, rồi một đội thần binh kéo ra, mỗi người cầm một lá cờ, một thanh kiếm, mặt mũi kỳ quái, xúm quanh lại giữ trâu ngựa, đi nhanh như gió.
郭淮大惊曰：“此必神助也！”	Quách Hoài thất kinh, nói: - Đây hẳn là thần xuống giúp cho quân Thục!
众军见了，无不惊畏，不敢追赶。	Quân sĩ trông thấy, đều sợ mất vía, không dám đuổi theo.
却说司马懿闻北原兵败，急自引军来救。	Tư Mã Ý nghe tin quân Bắc Nguyên bị thua, vội vàng đem quân đến cứu.
方到半路，忽一声炮响，两路兵自险峻处杀出，喊声震地。	Đi đến nửa đường, sực có một tiếng pháo nổ lên, rồi hai mặt quân đổ ra.
旗上大书汉将张翼、廖化。	Cờ hiệu để chữ to Trương Dực, Liêu Hoá.
司马懿见了大惊。 魏军着慌，各自逃窜。	Tư Mã Ý giật mình, quân Ngụy sợ run cầm cập, tan vỡ chạy trốn.
正是：路逢神将粮遭劫，身遇奇兵命又危。	Đó là: Đã gặp tướng thần, lương bị cướp, Lại thêm quân phục, mạng hầu nguy.
未知司马懿怎地抵敌，且看下文分解。	Chưa biết Tư Mã Ý cự địch làm sao, xem hồi sau phân giải.
第一百三回上方谷司马受困五丈原诸葛禳星	HỒI 103 Hang Thượng Phương, Tư Mã mắc nạn; Gò Ngũ thượng, Gia Cát dâng sao
却说司马懿被张翼、廖化一阵杀败，匹马单枪，望密林间而走。	Tư Mã Ý bị Trương Dực, Liêu Hóa đánh rát một trận, quân sĩ chạy tán lạc hết, còn độc một mình một ngựa chạy chúi vào trong rừng rậm.
张翼收住后军，廖化当先追赶。	Trương Dực thu nhặt hậu quân, Liêu Hóa thì cố miết đuổi theo Tư Mã Ý, dần dần đuổi kịp.
看看赶上，懿着慌，绕树而转。	Ý sợ cuống, chạy vòng quanh một cây to.
化一刀砍去，正砍在树上；及拔出刀时，懿已走出林外。	Hóa chém theo một đao, không ngờ trúng vào thân cây. Khi rút được đao ra thì Ý đã chạy xa rồi.
廖化随后赶出，却不知去向，但见树林之东，落下金盔一个。	Liêu Hóa đuổi theo, nhưng ra đến cửa rừng thì mất hút, chỉ thấy mé đông có một cái chỏm mũ vàng rơi xuống đất.
廖化取盔捎在马上，一直望东追赶。	Liêu Hóa nhặt lấy, rối cứ nhắm phía đông đuổi theo.
原来司马懿把金盔弃于林东，却反向西走去了。	Nguyên là Tư Mã Ý vất chỏm mũ về mé đông, nhưng kỳ thực lại chạy về mé tây.
廖化追了一程，不见踪迹，奔出谷口，遇见姜维，同回寨见孔明。	Liêu Hóa đuổi một thôi đường, chẳng thấy tăm hơi đâu, ra đến cửa hang, gặp Khương Duy, mới cùng nhau về trại ra mắt Khổng Minh.
张嶷早驱木牛流马到寨，交割已毕，获粮万余石。	Bấy giờ Trương Ngực cũng đem trâu ngựa giao nộp, được hơn một vạn tạ lương.
廖化献上金盔，录为头功。	Liêu Hóa nộp cái chỏm mũ vàng, được ghi làm công đầu.
魏延心中不悦，口出怨言。	Ngụy Diên không bằng lòng, oan ức nói ra miệng.
孔明只做不知。	Khổng Minh làm ngơ như người không biết.
且说司马懿逃回寨中，心甚恼闷。	Tư Mã Ý trốn về được đến trại, trong lòng buồn rầu.
忽使命赍诏至，言东吴三路入寇，朝廷正议命将抵敌，令懿等坚守勿战。 懿受命已毕，深沟高垒，坚守不出。	Chợt có sứ mang chiếu thư đến nói rằng Đông Ngô cất ba mặt quân vào cướp, triều đình đang bàn sai tướng ra cự địch, ở đây phải giữ cho vững, chớ có ra đánh vội.
	Tư Mã Ý tuân lời chiếu, giữ chắc thành trì không ra nữa.
却说曹睿闻孙权分兵三路而来，亦起兵三路迎之：令刘劭引兵救江夏，田豫引兵救襄阳，睿自与满宠率大军救合淝。	Nói về Tào Tuấn chia quân làm ba mặt, ra chống nhau với quân Tôn Quyền; sai Lưu Thiệu dẫn quân cứu mặt Giang Hạ; Điền Dư dẫn quân cứu mặt Tương Dương; Tuấn cùng với Mãn Sủng dẫn đại quân cứu Hợp Phì.
满宠先引一军至巢湖口，望见东岸战船无数，旌旗整肃。 宠入军中奏魏主曰：“吴人必轻我远来，未曾提备；今夜可乘虚劫其水寨，必得全胜。”	Mãn Sủng đến cửa Sào Hồ trông thấy chiến thuyền mé đông san sát, tinh kỳ nghiêm chỉnh lắm, Sủng vào trung quân tâu với Ngụy chủ rằng: - Quân Ngô khinh ta mới đến, tất không phòng bị gì, đêm nay nên thừa cơ đến cướp thủy trại, chắc là được to.
魏主曰：“汝言正合朕意。”	Ngụy chủ nói: - Ngươi nói chính hợp ý trẫm lắm!
即令骁将张球领五千兵，各带火具，从湖口攻之；满宠引兵五千，从东岸攻之。	Liền sai kiện tướng Trương Cầu dẫn năm nghìn quân, đem sẳn đồ đốt lửa, tự cửa Sào Hồ đánh vào; Mãn Sủng dẫn năm nghìn quân từ bờ phía đông đánh sang.
是夜二更时分，张球、满宠各引军悄悄望湖口进发；将近水寨，一齐呐喊杀入。	Canh hai đêm hôm ấy, Trương Cầu, Mãn Sủng dẫn quân đến cửa Sào Hồ; khi gần đến thủy trại, quân sĩ reo ầm lên kéo vào.
吴兵慌乱，不战而走；被魏军四下举火，烧毁战船、粮草、器具不计其数。	Quân Ngô bối rối, chưa kịp đánh đã vỡ chạy. Quân Ngụy phóng hỏa đốt cháy thuyền bè, lương thảo, khí giới, không biết bao nhiêu mà kể.
诸葛瑾率败兵逃走沔口。 魏兵大胜而回。	Gia Cát Cẩn dẫn bại quân chạy trốn ra Miện Khẩu, quân Ngụy được to kéo về.
次日，哨军报知陆逊。	Hôm sau, quân đi tiễu báo tin với Lục Tốn.
逊集诸将议曰：“吾当作表申奏主上，请撤新城之围，以兵断魏军归路，吾率众攻其前：彼首尾不敌，一鼓可破也。”	Tốn hội các tướng lại bàn rằng: - Ta nên dâng biểu tâu với chúa thượng, xin triệt quân vây ở Phàn Thành về chặn phía sau quân Ngụy. Ta dẫn quân đến đánh mặt trước, đầu đuôi giáp lại mà đánh, thì mới phá được.
众服其言。	Các tướng phục kế ấy.
陆逊即具表，遣一小校密地赍往新城。	Lục Tốn viết biểu sai tên tiểu hiệu mang biểu đi ngầm đến Tân Thành.
小校领命，赍着表文，行至渡口，不期被魏军伏路的捉住，解赴军中见魏主曹睿。	Nhưng mới đi đến bến đò đã bị quân Ngụy bắt được, giải vào Trung Nguyên nộp Ngụy chủ.
睿搜出陆逊表文，览毕，叹曰：“东吴陆逊真妙算也！”	Tào Tuấn sai khám, bắt được tờ chiếu của Lục Tốn, Tuấn xem xong than rằng: - Lục Tốn ở Đông Ngô, bày mưu này thật là diệu toán!
遂命将吴卒监下，令刘劭谨防孙权后兵。	Liền bắt giam tên tiểu hiệu và sai Lưu Thiệu phải cẩn thận đề phòng cánh hậu quân Tôn Quyền.
却说诸葛瑾大败一阵，又值暑天，人马多生疾病；乃修书一封，令人转达陆逊，议欲撤兵还国。	Gia Cát Cẩn bị thua một trận, lại gặp phải trời đang mùa nắng, người ngựa sinh bệnh chết nhiều. Cẩn đưa thư cho Lục Tốn muốn xin rút quân về nước.
逊看书毕，谓来人曰：“拜上将军：吾自有主意。”	Tốn bảo với người đưa thư rằng: - Ngươi về trình với tướng quân là ta đã có chủ ý.
使者回报诸葛瑾。	Sứ giả về báo với Gia Cát Cẩn.
瑾问：“陆将军作何举动？”	Cẩn hỏi xem Lục Tốn thường ngày hay làm gì.
使者曰：“但见陆将军催督众人于营外种豆菽，自与诸将在辕门射戏。”	Sứ giả thưa: - Lục tướng quân mỗi ngày sai chúng ra cửa dinh trồng đậu, mình thì cùng với các tướng bắn kích ở cửa viên để làm vui.
瑾大惊，亲自往陆逊营中，与逊相见，问曰：“今曹睿亲来，兵势甚盛，都督何以御之？”	Cẩn giật mình, thân đến trại Lục Tốn, hỏi rằng: - Nay Tào Tuấn thân đốc đến đây, binh thế to lắm, đô đốc liệu chống chế ra làm sao?
逊曰：“吾前遣人奉表于主上，不料为敌人所获。	Tốn nói: - Tôi đã sai người dâng biểu cho chúa thượng, không ngờ bị quân Ngụy bắt được.
机谋既泄，彼必知备；与战无益，不如且退。	Nay cơ mưu đã tiết lộ mất rồi, quân kia tất phòng giữ trước, ta đánh cũng vô ích, không bằng rút quân về.
已差人奉表约主上缓缓退兵矣。”	Tôi dâng biểu hẹn với chúa thượng, xin từ từ rút quân.
瑾曰：“都督既有此意，即宜速退，何又迟延？”	Cẩn nói: - Đô đốc đã có bụng thế, nên rút quân về ngay, cớ sao lại còn trì hoãn?
逊曰：“吾军欲退，当徐徐而动。 今若便退，魏人必乘势追赶：此取败之道也。	Tốn nói: - Quân ta muốn lui, phải thong thả mà rút mới được, nếu lui ngay, quân Ngụy tất thừa thế đuổi theo, thành ra mình rước lấy vạ mất.
足下宜先督船只诈为拒敌之意，吾悉以人马向襄阳而进，为疑敌之计，然后徐徐退归江东，魏兵自不敢近耳。”	Túc hạ nên đốc thúc thuyền bè, làm ra dáng tiến lên chống giặc. Tôi thì đem quân mã kéo đến mặt Tương Dương, để cho quân Ngụy sinh nghi, không biết thế nào, rồi ta sẽ dần dần lui về Giang Đông. Như thế quân Ngụy không dám đến gần ta.
瑾依其计，辞逊归本营，整顿船只，预备起行。 陆逊整肃部伍，张扬声势，望襄阳进发。	Cẩn theo lời ấy, từ biệt Lục Tốn về trại, thu xếp thuyền bè, sắp sửa kéo đi, Lục Tốn chỉnh đốn đội ngũ, dềnh dang ra ý muốn kéo sang Tương Dương.
早有细作报知魏主，说吴兵已动，须用提防。	Quân đi thám báo tin về Ngụy chủ, nói rằng quân Ngô đã động, xin đề phòng trước.
魏将闻之，皆要出战。 魏主素知陆逊之才，谕众将曰：“陆逊有谋，莫非用诱敌之计？ 不可轻进。” 众将乃止。	Các tướng Ngụy muốn ra đánh, Ngụy chủ vốn đã biết tài Lục Tốn, bảo các tướng rằng: - Lục Tốn lắm mưu, hoặc là dùng mẹo dụ địch chăng, chớ nên khinh tiến.
数日后，哨卒报来：“东吴三路兵马皆退矣。”	Cách được vài hôm, quân đi tiễu về báo rằng ba mặt quân Đông Ngô rút về cả rồi.
魏主未信，再令人探之，回报果然尽退。	Ngụy chủ sai người ra thám xem lượt nữa, quả nhiên như thế.
魏主曰：“陆逊用兵，不亚孙、吴。 东南未可平也。”	Ngụy chủ nói: - Lục Tốn dùng binh, chẳng kém gì Tôn, Ngô, mặt đông nam chưa sao dẹp được!
因敕诸将，各守险要，自引大军屯合淝，以伺其变。	Nhân thế sai các tướng chia ra giữ các nơi hiểm yếu... Tuấn dẫn đại quân đóng ở Hợp Phì, phòng khi có biến động gì chăng.
却说孔明在祁山，欲为久驻之计，乃令蜀兵与魏民相杂种田：军一分，民二分，并不侵犯，魏民皆安心乐业。	Khổng Minh ở trại Kỳ Sơn, muốn dùng cách lâu dài, sai quân Thục cày cấy chung với dân Ngụy, quân một phần, dân hai phần, tịnh không xâm phạm một ly nào của dân; dân Ngụy vui lòng, yên cư lạc nghiệp.
司马师入告其父曰：“蜀兵劫去我许多粮米，今又令蜀兵与我民相杂屯田于渭滨，以为久计：似此真为国家大患。	Tư Mã Sư nói với cha rằng: - Quân Thục cướp của ta biết bao nhiêu lương gạo, nay lại cho quân làm ruộng với dân ta ở trên sông Vị, dùng cách lâu dài, thực là mối lo lớn cho nhà nước.
父亲何不与孔明约期大战一场，以决雌雄？”	Phụ thân sao không hẹn nhau với Khổng Minh đại chiến một trận, quyết sống mái, xem ra làm sao?
懿曰：“吾奉旨坚守，不可轻动。”	Ý nói: - Ta phụng chỉ của vua sai giữ cho vững, không được khinh động.
正议间，忽报魏延将着元帅前日所失金盔，前来骂战。	Đang bàn bạc có người vào báo rằng: - Ngụy Diên cầm cái chỏm mũ của đô đốc đánh rơi hôm nọ, đến ngoài cửa trại hò hét khiêu chiến.
众将忿怒，俱欲出战。	Các tướng tức giận cùng muốn ra đánh.
懿笑曰：“圣人云：小不忍则乱大谋。	Ý cười rằng: - Thành nhân có câu: "Không biết nhịn điều nhỏ, thì loạn mất mưu lớn".
但坚守为上。”	Ta chỉ nên giữ vững là hơn.
诸将依令不出。	Các tướng tuân lệnh không ra.
魏延辱骂良久方回。	Ngụy Diên chửi mắng hồi lâu, rồi lại trở về.
孔明见司马懿不肯出战，乃密令马岱造成木栅，营中掘下深堑，多积干柴引火之物；周围山上，多用柴草虚搭窝铺，内外皆伏地雷。	Khổng Minh thấy Tư Mã Ý không ra, bèn mật sai Mã Đại lập một trại ở trong hang Hồ Lô. Trong trại đào hố sâu, chứa cỏ khô và đồ dẫn hỏa thật nhiều. Xung quanh núi, làm nhiều những phòng chứa cỏ, trong ngoài đặt địa lôi phục.
置备停当，孔明附耳嘱之曰：“可将葫芦谷后路塞断，暗伏兵于谷中。	Rồi dặn Mã Đại rằng: - Ngươi nên chặn lấp cửa đường sau hang Hồ Lô cho kỹ, phục quân sẵn trong hang.
