太公望吕尚者，东海上人。	Thái công Vọng Lã Thượng, là bậc thượng nhân ở vùng Đông Hải.
桓公於是讨晋乱，至高梁， 使隰朋立晋君，还。	Thế rồi Hoàn công sang dẹp loạn ở nước Tấn, đến đất Cao Lương, sai Thấp Bằng lập Tấn quân, rồi mới về.
秦穆公辟远，不与中国会盟。	Tần Mục công ở chỗ xa xôi hẻo lánh, không tham dự hội minh cùng các nước ở Trung nguyên được.
唯独齐为中国会盟，而桓公能宣其德，故诸侯宾 会。	Chỉ riêng nước Tề dự hội minh ở Trung nguyên, mà Hoàn công là người có thể phát dương chính đức của nhà Chu, vì vậy chư hầu mới tin phục mà dự hội minh.
於是桓公称曰：“寡人南伐至召陵，望熊山；北伐山戎、离枝、 孤竹； 西伐大夏，涉流 沙；束马悬车登太行，至卑耳山 而还。诸侯莫违寡人。寡人兵车之会三， 乘车之会六， 九合诸侯，一匡天下。 昔三代受命，有何以异於此乎？吾欲封泰山，禅梁父。”	Do đó, Hoàn công tự xưng rằng: “Quả nhân nam phạt đến Thiệu Lăng, trông thấy núi Hùng Sơn; bắc chinh phạt Sơn Nhung, Ly Chi, Cô Trúc; tây chinh phạt Đại Hạ, băng qua Lưu Sa; bọc chắc chân ngựa, gắn chắc bánh xe, lên núi Thái Hàng, đến tận núi Ty Nhĩ mới về. Chư hầu không nước nào dám trái ý quả nhân. Quả nhân dùng binh xa để hội thề ba lần, ngồi xe để hội thề sáu lần, chín lần hội họp chư hầu, một phen sửa sang thiên hạ. Xưa Tam đại nhận mệnh trời, có khác gì ta bây giờ? Ta muốn tế Phong ở Thái Sơn, tế Thiện ở núi Lương Phủ.”
管仲固 谏，不听；乃说桓公以远方珍怪物至乃得封，桓公乃止。	Quản Trọng ra sức can ngăn, Hoàn công không nghe; bèn thuyết phục Hoàn công phải có những đồ trân quý, kỳ lạ từ phương xa thì mới được làm lễ tế Phong, Hoàn công mới thôi.
周欲以上卿礼管仲，管仲顿首曰：“臣陪臣，安敢！”	Nhà Chu muốn dùng lễ Thượng khanh để đãi Quản Trọng, Quản Trọng dập đầu đáp: “Thần là kẻ bồi thần, nào dám!”
齐使仲孙请王，为带谢。	Nước Tề sai Trọng Tôn thỉnh cầu Chu vương, tạ tội thay cho Đái.
是岁，管仲、隰朋皆卒。	Năm ấy, Quản Trọng, Thấp Bằng đều qua đời.
管仲病，桓公问曰：“群臣谁可相 者？”	Quản Trọng bị ốm, Hoàn công hỏi rằng: “Trong các bề tôi, ai có thể làm Tướng quốc?”
冬十 月乙亥，齐桓公卒。	Ngày Ất Hợi tháng Mười, mùa đông, Tề Hoàn công chết.
易牙入，与竖刀因内宠杀群吏， 而立公子无诡为君。	Dịch Nha vào cung, cùng Thụ Điêu dựa vào các sủng thần ở nội cung giết chết nhiều đại phu, rồi lập công tử Vô Quỷ làm vua.
桓公病，五公子各树党争立。	[Khi] Hoàn công ốm, năm công tử ai nấy đều tự lập bè đảng để tranh ngôi vua.
孝公元年三月，宋襄公率诸侯兵送齐 太子昭而伐齐。	Tháng Ba, năm Hiếu công thứ nhất, Tống Tương công thống lĩnh quân chư hầu đưa Thái tử nước Tề là Chiêu về để chinh phạt nước Tề.
以乱 故，八月乃葬齐桓公。	Vì có nội loạn, [nên tới tận] tháng Tám Tề Hoàn công mới được chôn cất.
六年春，齐伐宋，以其不同盟于齐也。	Năm thứ sáu, mùa xuân, nước Tề chinh phạt nước Tống, vì nước Tống không tham gia hội minh với nước Tề.
六年，翟侵齐。	Năm thứ sáu, nước Địch xâm phạm nước Tề.
秦兵败於殽。	Quân Tần thua ở Hào Sơn.
懿公四年春，初，懿公为公子时，与丙戎 之父猎，争获不胜，及即位，断丙戎父足， 而使丙戎仆。	Mùa xuân năm Ý công thứ tư, hồi trước, khi Ý công còn là công tử, thường cùng cha của Bính Nhung đi săn, không tranh được vật phẩm săn về, đến khi lên ngôi liền chặt chân cha của Bính Nhung, rồi bắt Bính Nhung làm phu đánh xe.
其母卫女，曰少卫姬，避齐乱，故在卫。	Mẹ Huệ công là người con gái nước Vệ, gọi là Thiếu Vệ cơ, vì tránh loạn nước Tề nên mới ở nước Vệ.
六年春，晋使郤克於齐，齐使夫人帷中而观之。	Mùa xuân năm thứ sáu, nước Tấn sai Khích Khắc đi sứ nước Tề, Tề Khoảnh công cho phu nhân ngồi trong rèm để xem.
郤克曰：“不是报，不复涉河！”	Khích Khắc nói: “Không báo được nhục này, [thề] không bước qua Hoàng Hà nữa!”
归，请伐齐，晋侯弗许。	Đoạn ra về, xin chinh phạt nước Tề, Tấn hầu không nghe.
齐使 至晋，郤克执齐使者四人河内，杀之。	Sứ giả nước Tề đến nước Tấn, Khích Khắc bắt bốn sứ giả nước Tề tại Hà Nội rồi giết đi.
八年。 晋伐齐，齐以公子彊质 晋，晋兵去。	Năm thứ tám, nước Tấn chinh phạt nước Tề, nước Tề cho công tử Cường sang làm con tin ở nước Tấn, quân Tấn rút.
鲁、卫大夫如晋请师，皆因郤 克。	Đại phu nước Lỗ, nước Vệ sang nước Tấn xin quân, đều thông qua Khích Khắc.
晋使郤克以 车八百乘为中军将，士燮将上军， 栾书将下军，以救鲁、卫，伐齐。	Nước Tấn sai Khích Khắc chỉ huy Trung quân đem theo 800 chiến xa, Sĩ Nhiếp chỉ huy Thượng quân, Loan Thư chỉ huy Hạ quân, để cứu nước Lỗ và nước Vệ, rồi chinh phạt nước Tề.
六月壬申，与齐侯兵合靡笄下。	Ngày Nhâm Thân tháng Sáu, [quân Tấn] gặp quân của Tề hầu dưới núi Mỹ Kê.
逄丑父为齐顷公右。	Phùng Sửu Phủ làm hộ vệ bên phải của Tề Khoảnh công.
克欲还入 壁，其御曰：“我始入，再伤，不敢言疾，恐惧士卒，原子忍 之。”	Khắc định rút vào doanh lũy, người đánh xe nói: “Tôi mới vào trận đã bị thương hai lần, nhưng không dám kêu đau, e làm sĩ tốt sợ hãi, mong ngài cố chịu.”
遂复战。	bèn quay lại đánh tiếp.
战，齐急，丑父恐齐侯得，乃易处，顷公为右，车絓 於木而止。	Đánh tiếp, quân Tề nguy cấp, Sửu Phủ sợ Tề hầu bị bắt, bèn đổi chỗ, Khoảnh công làm hộ vệ bên phải, xe bị vướng vào cây nên phải dừng lại.
晋小将韩厥伏齐侯车 前，曰“寡君使臣救鲁、卫”，戏之。	Viên tiểu tướng nước Tấn là Hàn Quyết phục xuống trước xe của Tề hầu, nói rằng: “Vua nước thần sai thần cứu nước Lỗ, nước Vệ” để bỡn cợt.
丑父使顷公下取饮， 因得亡，脱去，入其军。	Sửu Phủ bảo Khoảnh công xuống xe lấy nước, [Khoảnh công] nhân thế trốn chạy, thoát được, về lại trong doanh quân Tề.
晋郤克欲杀丑父。	Khích Khắc nước Tấn muốn giết Sửu Phủ.
克舍之，丑父遂得 亡归齐。	Khắc tha cho, Sửu Phủ bèn trốn được về nước Tề.
於是晋军追齐至马陵。	Thế rồi quân Tấn đuổi theo quân Tề tới Mã Lăng.
齐侯请以宝器谢， 不听；必得笑克者萧桐叔子， 令齐东亩。	Tề hầu đề nghị dùng đồ quý báu để tạ lỗi, [nước Tấn] không nghe, nhất định đòi con gái của Tiêu Đồng Thúc, là người đã cười cợt Khích Khắc trước kia và bắt nước Tề phải đổi sang ruộng hướng đông.
十一年，晋初置六卿，赏鞍之功。	Năm thứ mười một, nước Tấn bắt đầu thiết lập lục khanh, khao thưởng chiến công ở đất Yên.
齐顷公朝晋，欲尊王晋景公， 晋景公不敢受，乃 归。	Tề Khoảnh công sang chầu nước Tấn, muốn tôn Tấn Cảnh công tước vương, Tấn Cảnh công không dám nhận, đoạn [vua Tề] trở về.
十年，晋悼公伐齐，齐令公子光 质晋。	Năm thứ mười, Tấn Điệu Công chinh phạt nước Tề, Tề Hoàn lệnh cho công tử Quang sang nước Tấn làm con tin.
齐师败，灵 公走入临菑。	Quân Tề thua, Linh công chạy vào Lâm Truy.
庄公杀戎姬。	Trang công giết Nhung cơ.
五月壬辰，灵公卒，庄公即 位，执太子牙於句窦之丘，杀之。	Ngày Nhâm Thìn tháng Năm, Linh công qua đời, Trang công lên ngôi, bắt Thái tử Nha ở gò Câu Đậu, rồi giết đi.
八月，崔杼杀高厚。	Tháng Tám, Thôi Trữ giết Cao Hậu.
晋闻齐乱，伐 齐，至高唐。	Nước Tấn nghe tin nước Tề có loạn, liền chinh phạt Tề, kéo tới Cao Đường.
庄公三年，晋大夫栾盈奔齐，庄 公厚客待之。	Trang công năm thứ ba, đại phu nước Tấn là Loan Doanh trốn chạy sang nước Tề, Trang Công hậu đãi như khách.
栾盈败，齐兵还，取朝歌。	Loan Doanh thất bại, quân Tề rút về, chiếm được ấp Triều Ca.
六年，初，棠公妻好，棠公 死，崔杼取之。	Năm thứ sáu, trước đây, vợ của Đường công xinh đẹp, nên sau khi Đường công chết, Thôi Trữ đoạt lấy nàng.
崔杼怒，因其伐晋，欲与晋合谋袭齐而不得间。	Thôi Trữ nổi giận, nhân lúc Tề Trang công chinh phạt Tấn, muốn hợp mưu cùng nước Tấn để đánh úp nước Tề mà chưa tìm được cơ hội.
五月，莒子朝齐，齐以甲戌飨之。	Tháng Năm, Cử tử vào chầu nước Tề, Tề Trang công thết tiệc ngày Giáp Tuất.
崔杼 称病不视事。	Thôi Trữ thác bệnh không đến lo việc.
公登台而请解，不许；请盟，不 许；请自杀於庙，不许。	Trang công lên đài cao rồi xin hòa giải, [bọn Thôi Trữ] không nghe; xin lập lời thề, [bọn Thôi Trữ] không chịu; xin tự sát ở trong miếu đường, [bọn Thôi Trữ] không chấp thuận.
皆曰：“君之臣杼疾病，不能听命。 近於公宫。 陪臣争趣有淫者， 不知二命。”	Chúng đều nói: “Bề tôi của nhà vua là Trữ đang bệnh nặng, không thể nghe mệnh. Nơi này gần cung vua. Bọn bồi thần đến để bắt kẻ dâm loạn, không biết mệnh lệnh nào khác [ngoài lệnh của Thôi Trữ].”
不肯盟。	Không chịu thề.
成、彊杀无咎、偃於崔杼 家，家皆奔亡。	Thành và Cương giết Vô Cữu và Yển ở trong nhà Thôi Trữ, người nhà đều bỏ chạy.
崔杼怒，无人，使一宦者御，见庆封。	Thôi Trữ nổi giận, không có ai ở cạnh, liền sai một viên hoạn quan đánh xe, gặp Khánh Phong.
初，庆封已杀崔杼，益骄，嗜酒好猎，不 听政令。	Lúc trước, Khánh Phong đã giết Thôi Trữ, ngày càng kiêu ngạo, ham rượu, thích săn bắn, không nghe chính lệnh.
齐人让鲁，封奔吴。	Người Tề trách nước Lỗ, Khánh Phong lại chạy sang nước Ngô.
其秋，齐人徙葬庄公，僇崔杼尸於市以说众。	Mùa thu năm ấy, người Tề cải táng cho Trang công, phơi thây [làm nhục] Thôi Trữ ở chợ để làm vui lòng dân.
齐欲 以千社封之，子 家止昭公，昭公乃请齐伐鲁，取郓以居昭公。	Nước Tề muốn đem nghìn xã để phong cho [Lỗ Chiêu công], Tử Gia can ngăn Chiêu công, Chiêu công bèn đề nghị nước Tề chinh phạt nước Lỗ, lấy thành Vận cho Chiêu công ở.
群臣皆泣，晏子笑，公怒。	Quần thần đều khóc, Yến tử lại cười, Cảnh công tức giận.
晏子曰：“使神可祝而来， 亦可禳而去也。百姓苦怨以万数，而君令一人禳之，安 能胜众口乎？”	Yến tử đáp: “Nếu cầu cúng mà thần linh đến thì cũng có thể cầu cúng để trừ tai. Bách tính kêu khổ, oán than kể hàng vạn, mà nhà vua chỉ sai một người cầu đảo trừ tai, liệu có thể hơn được miệng của muôn người không?”
犁鉏曰：“孔丘知礼而怯，请令莱 人为乐，因执鲁君，可得志。”	Lê Tư nói: “Khổng Khâu biết lễ nhưng nhu nhược, xin lệnh cho người Lai đến tấu nhạc, thừa cơ bắt Lỗ quân, có thể đạt được ý đồ của ta.”
景 公害孔丘相鲁，惧其霸，故从犁鉏之计。	Cảnh công lo Khổng Khâu phò tá nước Lỗ, e sẽ khiến [nước Lỗ] xưng bá, vì vậy nghe theo kế của Lê Tư.
方会，进莱乐，孔子历阶 上，使有司执莱人斩之，以礼让景公。	Lúc mới hội minh, tấu nhạc người Lai, Khổng tử theo bậc thềm đi lên, sai quan Hữu ty bắt người Lai chém đầu, đem lễ pháp ra trách Cảnh công.
田乞欲为 乱，树党於逆臣，说景公曰：“范、中行数有德於齐，不可不 救。”	Điền Khất muốn [nhân thế] làm loạn, liên kết đảng với nghịch thần, thuyết phục Cảnh công rằng: “Họ Phạm, họ Trung Hàng nhiều lần có ơn đức với nước Tề, không thể không cứu.”
六月，田乞、鲍牧乃与大夫以兵入公宫， 攻高昭子。	Tháng Sáu, Điền Khất, Bão Mục bèn cùng các đại phu đem quân vào cung vua, tấn công Cao Chiêu tử.
八月，齐秉意兹。	Tháng Tám, Bỉnh Ý Tư nước Tề [cũng chạy sang Lỗ].
十月戊 子，田乞请诸大夫曰：“常之母有鱼菽之祭， 幸来会饮。”	Ngày Mậu Tý tháng Mười, Điền Khất mời các đại phu đến, nói rằng: “Mẹ của Thường có cá, đậu làm lễ tế, hy vọng chư vị đến cùng yến ẩm.”
大夫皆伏 谒。	Các đại phu đều phủ phục bái yết.
鲍牧恐祸起，乃复曰：“皆景公子 也，何为不可！”	Bão Mục sợ vạ đến, mới nói lại rằng: “Đều là con của Cảnh công cả, có gì mà không được chứ.”
悼公入宫，使人迁晏 孺子於骀，杀之幕下，而逐孺子母芮子。	Điệu công vào cung, sai người đày Yến Nhụ tử đến đất Thai, rồi giết ngay ở trong trướng [trên đường đi], còn đuổi mẹ của Nhụ tử là Nhuế tử đi.
季 姬与季鲂侯通，言其情，鲁弗敢 与，故齐伐鲁，竟迎季姬。	Quý cơ và Quý Phường hầu tư thông với nhau, biết rõ chuyện đó, nước Lỗ không dám cho Quý cơ về Tề, vì vậy nước Tề tiến đánh nước Lỗ, cuối cùng đón được Quý cơ.
四年，吴、鲁伐齐南方。	Năm thứ tư, nước Ngô, nước Lỗ chinh phạt phía nam nước Tề.
鲍子弑悼公， 赴于吴。	Bão tử giết Điệu công, rồi chạy sang Ngô.
吴王夫差哭於军门外三日，将从海入讨齐。	Ngô vương Phù Sai khóc ngoài cửa quân doanh ba ngày, định theo đường biển vào hỏi tội nước Tề.
晋赵鞅伐齐，至赖而去。	Triệu Ưởng nước Tấn chinh phạt nước Tề, tới ấp Lại rồi về.
田成子惮之，骤顾於朝。	Điền Thành tử lo sợ, khi lên chầu thường nhìn dáo dác.
子我夕， 田逆杀人，逢之， 遂捕以入。	Tử Ngã lên chầu vào buổi tối, bắt gặp Điền Nghịch giết người, liền bắt dẫn vào cung.
田氏方睦， 使囚病而遗守囚者酒，醉而杀 守者，得亡。	Điền Thành tử đương [muốn có nước Tề nên] hòa mục [với người trong tông tộc], mới bảo Điền Nghịch giả bệnh rồi chuốc rượu cho người coi tù, chuốc cho say rồi giết người coi tù, [Điền Nghịch] trốn được ra ngoài.
对曰：“我远田氏矣。 且其违者不过数人，何尽逐 焉！”	Đáp rằng: “Tôi với ngành họ Điền là họ hàng xa. Hơn nữa, chẳng qua có vài người trái ý ngài, sao phải đuổi hết đi!”
子我归，属徒 攻闱与大门，皆 弗胜，乃出。	Tử Ngã quay về, tụ tập đồ đảng tấn công vào các cửa lớn ngách trong cung, đều không thắng được, phải chạy ra ngoài.
丰丘人执子我以告， 杀之郭关。	Người ấp Phong Khâu bắt được Tử Ngã rồi báo cho Điền thị, giết Tử Ngã ở Quách Quan.
甲午，田常弑 简公于袪州。	Ngày Giáp Ngọ, Điền Thường giết Giản công ở Từ Châu.
洋洋哉，固大国之风也！	Lớn lao thay, vốn là phong khí của nước lớn vậy!
献公元年，尽逐胡公子，因徙薄姑都，治临菑。	Hiến công năm đầu, đuổi hết con cái của Hồ công, nhân đó dời đô từ Bạc Cô về Lâm Truy.
齐襄公与鲁君饮，醉之，使力士 彭生抱上鲁君车，因拉杀鲁桓公， 桓公下车则死矣。	Tề Tương công và vua Lỗ cùng uống rượu, thuốc cho [vua Lỗ] say, sai lực sĩ là Bánh Sinh xốc vua Lỗ lên xe, thừa cơ bẻ (cổ) Lỗ Hoàn công, Hoàn công xuống xe thì đã chết.
次弟小白奔莒，鲍叔傅之。	Em trai nữa là Tiểu Bạch chạy sang nước Cử, Bão Thúc phò tá Tiểu Bạch.
小白母，卫女也，有宠於釐公。 小白 自少好善大夫高傒。	Mẹ của Tiểu Bạch là người con gái nước Vệ, được Hy công rất sủng ái. Từ nhỏ Tiểu Bạch rất yêu quý và tôn kính đại phu Cao Hề.
小白详死， 管仲使人驰报鲁。	Tiểu Bạch giả chết, Quản Trọng sai người ruổi ngựa về báo với nước Lỗ.
燕庄公遂送桓公入齐境。	Yên Trang công liền đưa tiễn Hoàn công vào tận biên cảnh nước Tề.
楚成王初收荆 蛮有之，夷狄自置。	Sở Thành vương mới thu phục và chiếm được đất Kinh Man, tự [lập quốc] ở vùng Di Địch.
及桓公卒，遂相攻，以故宫中空， 莫敢棺。	Đến khi Hoàn công chết, liền đánh lẫn nhau, vì vậy trong cung trống không, chẳng ai dám khâm liệm nhập quan.
晋赵穿弑其君灵公。	Triệu Xuyên nước Tấn giết vua nước mình là Linh công.
晋兵遂 围临菑，临菑城守不敢出，晋焚郭中而去。	Quân Tấn bèn bao vây Lâm Truy, quân giữ thành Lâm Truy không dám ra, quân Tấn đốt thành ngoài rồi rút đi.
四年，齐庄公使栾盈间入晋 曲沃为内应，以兵随之，上太行，入孟 门。	Năm thứ tư, Tề Trang công sai Loan Doanh nhân cơ hội bí mật vào Khúc Ốc nước Tấn làm nội ứng, để quân binh đánh vào theo, lên núi Thái Hàng, vào cửa Mạnh Môn.
崔杼妻入室，与崔杼 自闭户不出，公拥柱而歌。	Vợ Thôi Trữ vào trong nhà, cùng Thôi Trữ đóng chặt cửa không cho Trang công ra, Trang Công ôm cột nhà mà hát.
丁丑，崔杼立庄公异母弟杵臼， 是为景公。	Ngày Đinh Sửu, Thôi Trữ lập em khác mẹ của Trang Công là Chử Cữu lên ngôi, đó là Cảnh công.
其弟复书，崔杼复杀之。	Người em của quan Thái sử lại viết [đúng như thế], Thôi Trữ lại giết đi.
少弟复书，崔杼乃舍之。	Người em út [của quan Thái sử] lại viết, Thôi Trữ đành tha cho.
二十六年，猎鲁郊， 因入鲁，与晏婴俱问鲁礼。	Năm thứ hai mươi sáu, [Cảnh công] đi săn ở bên ngoài thành của nước Lỗ, nhân đó vào nước Lỗ, cùng Yến Anh hỏi rõ về lễ của nước Lỗ.
夏五月壬申，成子兄弟四乘如公。	Ngày Nhâm Thân tháng Năm, mùa hạ, anh em Thành tử ngồi trên bến xe vào gặp Giản công.
子我在幄， 出迎之，遂入，闭门。	Tử Ngã ở trong trướng, bước ra đón, [anh em Thành tử liền] vào trong, rồi đóng cổng lại khiến Tử Ngã không vào được nữa.
逢主屦茀，茀曰：“且无入惊宫，惊宫未易入也。”	Gặp kẻ quản lý giày là Phất, Phất bảo: “Tạm chớ vào làm kinh động trong cung, làm kinh động trong cung thì không dễ mà vào được.”
待宫外，令茀先入。	[Bọn Vô Tri] đợi ngoài cung, sai Phất vào trước.
桓公之中钩，详死以误管仲，已而载温车中驰行，亦有高、国内 应，故得先入立，发兵距鲁。	Hoàn công bị bắn trúng cái móc trên dây lưng, giả chết để lừa Quản Trọng, sau đó ngồi ôn xa đi gấp, cũng nhờ có họ Cao, họ Quốc làm nội ứng, ông mới đến trước được lập làm vua, rồi cất quân chống nước Lỗ.
襄王怒，弗听。	Tương vương nổi giận, không nghe.
桓公尸在床上六十七日，尸蟲出于户。	Thi thể Hoàn công trên giường sáu mươi bảy ngày, giòi bọ bò ra tận cửa.
射伤郤克，流血至履。	Bắn Khích Khắc bị thương, máu chảy xuống tận giày.
晏婴止灵公，灵公弗从。	Yến Anh ngăn Linh công, Linh công không nghe theo.
庄公 尝笞宦者贾举，贾举复侍，为崔杼间公 以报怨。	Trang công từng đánh đòn tên hoạn quan Giả Cử, Giả Cử lại được cho vào hầu, giúp Thôi Trữ dò xét sơ hở của Trang công để báo oán.
晏婴立崔杼门外，曰：“君为社稷 死则死之，为社稷亡则亡之。 若为己死己亡，非其私暱，谁敢任之！”	Yến Anh đứng ngoài cổng nhà Thôi Trữ, nói: “Vua chết vì xã tắc thì bề tôi chết theo, bỏ trốn vì xã tắc thì bề tôi bỏ trốn theo. Nhược bằng chết vì bản thân, bỏ chạy vì bản thân thì không phải người thân tín, ai dám đi theo.”
晏子 曰：“君高台深池，赋敛如弗得，刑罚恐弗胜，茀星 将出，彗星 何惧乎？”	Yến tử thưa: “Nhà vua có đài cao hào sâu, thuế liễm chỉ lo không thu được [tất cả từ dân], hình phạt chỉ e không đủ nặng [để cai trị dân], sao khách sắp xuất hiện gần, thì việc sao chổi có gì mà đáng lo?”
阳生至齐，私匿田乞家。	Dương Sinh về đến nước Tề, ngầm trốn trong nhà Điền Khất.
会饮，田乞盛阳 生橐中，置坐中央，发橐出阳生，曰：“此乃齐君矣！”	Trong tiệc rượu, Điền Khất để Dương Sinh vào trong bao, đặt ở giữa nhà, rồi mở bao cho Dương Sinh ra, bảo: “Đây mới chính là Tề quân!”
弗听。	[Giản công] không nghe.
鲍叔牙迎受管仲，及堂 阜而脱桎梏， 斋祓而见桓 公。	Bão Thúc Nha đón được Quản Trọng, đưa đến Đường Phụ rồi tháo bỏ gông cùm, tắm rửa trai giới sạch sẽ rồi đưa yết kiến Hoàn công.
庸职之妻好， 公内之 宫，使庸职骖乘。	Vợ của Dung Chức xinh đẹp, Ý công đưa vào trong cung, cho Dung Chức làm Tham thừa.
宦者贾举遮公从官 而入，闭门，崔杼之徒持兵从中起。	Hoạn quan Giả Cử ngăn các cận thần và tùy tòng đi theo Trang công, rồi tự vào trong, đóng cửa lại. Đồ đảng của Thôi Trữ cầm binh khí từ trong nhà xông ra.
庆舍用政， 已有内郤。	[Con là] Khánh Xá nắm chính sự, đã có hiềm khích nội bộ [từ trước].
是时景公好治宫室，聚狗马，奢侈，厚赋重刑，故晏 子以此谏之。	Bấy giờ Cảnh công ham mê xây dựng cung thất, nuôi nhiều chó ngựa, vô cùng xa xỉ, nặng thuế má, lạm hình phạt, vì vậy Yến tử mới nhân việc này để can gián.
过陈，陈袁涛涂诈齐， 令出东方，觉。	[Trên đường về Hoàn công] đi qua nước Trần, Viên Đào Đồ nước Trần lừa quân Tề, dẫn đi sang phía đông, việc bị phát giác.
癸酉，陈于鞍。	Ngày Quý Dậu, bày trận ở đất Yên.
季姬嬖，齐复归鲁侵地。	Quý cơ được sủng ái, nước Tề lại trả các đất đã xâm chiếm của nước Lỗ.
庚辰，田常执简公于袪州。	Ngày Canh Thìn, Điền Thường bắt Giản công ở Từ Châu.
归而顷公弛苑囿，薄赋敛，振孤问疾，虚积聚以救民，民亦大 说。	Sau khi về nước, Khoảnh công liền cho bỏ vườn cảnh thú nuôi, giảm nhẹ thuế khóa, chẩn tế kẻ côi cút, thăm hỏi người ốm đau, dốc kho tàng để cứu dân, dân chúng cả mừng.
使崔杼仇卢蒲嫳 攻崔氏，杀成、彊，尽灭崔氏，崔杼妇自杀。	Đoạn sai người có thù với Thôi Trữ là Lư Bồ Miết tấn công nhà họ Thôi, giết Thành và Cương, tận diệt nhà họ Thôi, vợ Thôi Trữ tự sát.
乙亥，公问崔杼病，遂从崔杼妻。	Ngày Ất Hợi, Trang công đến thăm bệnh Thôi Trữ, đoạn đi theo vợ Thôi Trữ.
田、鲍、高、栾氏 相与谋庆氏。 庆舍发甲围庆封宫，四家徒共击破之。	Các họ Điền, Bão, Cao, Loan cùng nhau hợp mưu diệt trừ họ Khánh, Khánh Xá sai giáp sĩ bao vây quanh cung phủ của Khánh Phong, đồ đảng bốn nhà cùng đánh phá.
景公坐柏寝，叹曰：“堂堂！谁有此 乎？”	Cảnh công ngồi trên đài Bách Tẩm, than rằng: “Bề thế thay! Ai sẽ có được đài này?”
