周公旦者，周武王弟也。	Chu công Đán là em trai Chu Vũ vương.
家无衣帛之妾，厩无食粟之马，府无金玉，以 相三君。	Trong nhà hầu thiếp không mặc lụa trắng, ngoài chuồng ngựa không được ăn thóc, trong kho không có vàng ngọc, lấy đó phò tá ba đời vua.
四年，楚灵王会 诸侯於申，昭公称病不往。	Năm thứ tư, Sở Linh vương hội chư hầu ở đất Thân, Chiêu công thác bệnh không đến.
师己 曰：“文成之世童谣曰 ‘鸲鹆来巢，公在乾侯。鸲鹆入处，公在外野’。”	Sư Kỷ nói: “Đời Văn công, Thành công có bài đồng dao rằng: Yểng đến làm tổ, vua tại Càn Hầu. Yểng bay vào ở, vua ra ngoài đồng.”
弗许。	[Chiêu công] không cho.
弗听。	[Chiêu công] không chịu nghe.
孟懿子闻叔孙氏胜，亦杀郈 昭伯。	Mạnh Ý tử nghe tin họ Thúc Tôn thắng, cũng giết luôn Hậu Chiêu bá.
郈昭伯为公使，故孟氏得之。	Hậu Chiêu bá là sứ giả của Chiêu công [đến chỗ họ Mạnh], nên bị họ Mạnh bắt lại.
夏，齐景公将内公，令无受鲁赂。	Mùa hạ, Tề Cảnh công định đưa Chiêu công về nước Lỗ, hạ lệnh không nhận đồ hối lộ của nước Lỗ.
齐景公使人赐昭公书，自 谓“主君”。	Tề Cảnh công sai người ban thư cho Chiêu công, tự xưng là “Chủ quân”.
昭公耻之，怒而去乾侯。	Chiêu công hổ nhục về việc đó, giận rồi rời khỏi Càn Hầu.
晋人止。	Người Tấn liền thôi.
八年，阳虎欲尽杀三桓 適，而更立其所善庶子以代之；载季桓子将杀之，桓子诈而得脱。	Năm thứ tám, Dương Hổ muốn giết hết con đích của Tam Hoàn, rồi đổi lập con thứ mà mình yêu quý lên thay; dùng xe chở Quý Hoàn tử toan giết đi, Hoàn tử lừa rồi trốn thoát.
季桓子受齐女乐，孔 子去。	Quý Hoàn tử [bảo Lỗ Định công] nhận nữ nhạc của nước Tề, Khổng tử bỏ đi.
田常初相，欲亲 诸侯。	Điền Thường mới lên làm Tướng quốc, muốn kết thân với chư hầu.
夏，哀公患三桓，将欲因诸侯以劫之， 三桓亦患公作难，故君臣多间。	Mùa hạ, Ai công lo sợ Tam Hoàn, nên muốn dựa vào chư hầu để khống chế họ, Tam Hoàn cũng lo Ai công sẽ gây khó, cho nên vua tôi có nhiều hiềm khích.
公游于陵 阪，遇孟武伯於街， 曰：“请问余及死乎？”	Ai công du ngoạn ở Lăng Bản, trên đường đi thì gặp Mạnh Vũ bá, hỏi rằng: “Xin hỏi, tôi có được trọn vẹn đến lúc chết không?”
岁则大孰。	Năm ấy được mùa to.
樊穆仲曰： “鲁懿公弟称，肃恭明 神，敬事耆老；赋事行刑，必问於遗训而咨於固实； 不干所问，不犯 所。”	Phàn Mục Trọng nói: “Em trai của Lỗ Ý công là Xứng, nghiêm trang kính cẩn với thần linh, cung kính phụng thờ bậc trưởng lão; thu thuế dùng hình, ắt đều hỏi ở di huấn [của tiên vương] rồi xét đến các tiền lệ đã từng có; không làm trái những điều đã hỏi, không phạm đến những việc đã xét.”
齐 襄公通桓公夫人。	Tề Tương công tư thông với phu nhân của Hoàn công.
庄公取齐女为夫人曰哀姜。	Trang công lấy người con gái nước Tề là Ai Khương làm phu nhân.
二十五年春，鸲鹆来巢。	Mùa xuân năm thứ hai mươi lăm, chim yểng đến làm tổ.
炀公筑茅阙 门。	Dương công xây dựng cổng Mao Khuyết.
夏，公与晋郤克败齐顷公於鞍，齐复归我侵地。	Mùa hạ, Thành công cùng Khích Khắc nước Tấn đánh bại Tề Khoảnh công ở đất Yên, nước Tề trả lại các đất đã chiếm của nước Lỗ.
季平子怒而侵郈氏， 郈昭伯亦怒平子。	Quý Bình tử nổi giận rồi chiếm đất của họ Hậu, Hậu Chiêu bá cũng giận Bình tử.
齐欲袭鲁君，孔子 以礼历阶，诛齐淫乐，齐侯惧，乃止，归鲁侵地而谢过。	Nước Tề muốn đánh úp Lỗ quân, Khổng tử theo nghi lễ bước từng bước lên thềm, giết [những kẻ tấu] nhạc dâm loạn của nước Tề, Tề hầu sợ hãi, liền thôi, trả lại các đất đã chiếm của Lỗ rồi tạ lỗi.
六年，齐田乞弑其君孺子。	Năm thứ sáu, Điền Khất nước Tề giết vua nước mình là Nhụ Tử.
申繻谏止，公不听，遂如齐。	Thân Nhu can ngăn, Hoàn công không nghe, rồi sang nước Tề.
哀姜恐，奔邾。	Ai Khương sợ hãi, chạy sang nước Chu.
鄋瞒由是遂亡。	Nước Sưu Man từ đó diệt vong.
十五年，始与吴王寿梦会锺离。	Năm thứ mười lăm, bắt đầu hội kiến với Ngô vương Thọ Mông ở Chung Ly.
往年冬，晋栾书弑其君厉公。	Mùa đông năm trước, Loan Thư nước Tấn giết vua nước mình là Lệ công.
八月，哀公如陉氏。	Tháng Tám, Ai công đến nhà họ Hình.
孟女生子斑。	Mạnh nữ sinh được con trai là Ban.
圉人荦自墙外与梁氏女 戏。	Đúng lúc người nuôi ngựa là Lạc ở bên ngoài tường đang đùa giỡn với con gái nhà Lương thị.
齐桓公率釐公讨晋乱，至高梁而 还，立晋惠公。	Tề Hoàn công dẫn theo Hy công dẹp loạn nước Tấn, đến Cao Lương rồi rút về, lập Tấn Huệ công lên ngôi.
文公有二妃：长妃齐女为哀姜， 生子恶及视；次妃敬嬴，嬖爱，生子俀。	Văn công có hai người phi: trưởng phi là người con gái nước Tề, tức Ai Khương, sinh hai con trai là Ác và Thị; thứ phi là Kính Doanh, được sủng ái, sinh con là Đồng.
昭公往贺，赐昭公 宝器；已而悔，复诈取之。	Chiêu công tới chúc mừng, [Sở Linh vương] tặng Chiêu công đồ dùng quý báu; thế rồi hối hận, lừa để lấy lại.
季平子私於晋六卿，六卿受季氏 赂，谏晋君，晋君乃止，居昭公乾侯。	Quý Bình tử [hay tin mới] gặp riêng quan Lục khanh nước Tấn, Lục khanh nhận hối lộ của họ Quý, liền can Tấn quân, Tấn quân bèn thôi, rồi cho Chiêu công ở Càn Hầu.
九年，鲁伐 阳虎，阳虎奔齐，已而奔晋赵氏。	Năm thứ chín, nước Lỗ đánh Dương Hổ, Dương Hổ chạy sang nước Tề, rồi lại chạy sang chỗ họ Triệu ở nước Tấn.
斑长，说梁氏 女，往观。	Ban lớn lên, thích con gái nhà Lương thị, đến đó ngắm.
斑 怒，鞭荦。	Ban tức giận, dùng roi đánh Lạc.
先时庆父与哀姜私通，欲立哀姜娣子开。	Khi trước, Khánh Phủ tư thông với Ai Khương, muốn lập con của em gái Ai Khương là Khai lên ngôi.
季友母陈女，故亡在陈，陈故佐送季友及子申。	Mẹ của Quý Hữu là người đàn bà nước Trần, vì thế [khi Quý Hữu] lưu vong đến nước Trần, nước Trần mới phụ tá hộ tống Quý Hữu và Tử Thân về.
季氏与郈氏斗鸡， 季氏芥鸡羽， 郈氏金距。	Họ Quý cùng họ Hậu chọi gà, gà của họ Quý mang giáp, gà của họ Hậu mang cựa vàng.
臧昭伯之弟会 伪谗臧氏，匿季氏，臧昭伯囚季氏人。	Em trai Tang Chiêu bá là Hội, vờ gièm pha họ Tang, rồi trốn ở nhà họ Quý, Tang Chiêu bá giam người nhà họ Quý.
申丰、汝贾 许齐臣高龁、子将 粟五千庾。	Thân Phong, Nhữ Giả đồng ý cho bề tôi nước Tề là Cao Hột, Tử Tương năm nghìn dữu thóc.
三 桓共攻阳虎，阳虎居阳关。	Tam Hoàn cùng tấn công Dương Hổ, Dương Hổ chạy ra ở Dương Quan.
平子布衣跣行，因六卿谢罪。	Bình tử mặc áo vải đi chân đất, thông qua Lục khanh xin tạ tội [với Tấn quân].
