匈奴，其先祖夏后氏之苗裔也，曰淳维。	Hung Nô, tiên tổ là con cháu của họ Hạ Hậu, gọi là Thuần Duy.
其明年，单于遗汉书曰：“天所立匈奴大单于敬问皇帝无恙。前 时皇帝言和亲事，称书意，合欢。汉边吏侵侮右贤王，右贤王不请， 听後义卢侯难氏等 计，与汉吏相距，绝二主之约，离兄弟之亲。皇帝让书再至，发使以 书报，不来，汉使不至，汉以其故不和，邻国不附。今以小吏之败约 故，罚右贤王，使之西求月氏击之。以天之福，吏卒良，马彊力，以 夷灭月氏，尽斩杀降下之。定楼兰、 乌孙、呼揭 及其旁二十六国，皆以为匈奴。 诸引弓之民，并为一家。北州已定，原寝兵休士卒养马， 除前事，复故约，以安边民，以应始古，使少者得成其长，老者安其 处，世世平乐。未得皇帝之志也，故使郎中系雩浅奉书 请，献橐他一匹，骑马二匹，驾二 驷。皇帝即不欲匈 奴近塞，则且诏吏民远舍。使者至，即遣之。”	Năm sau, Thiền vu gửi thư cho nhà Hán: “Đại Thiền vu Hung Nô được trời dựng lập kính cẩn vấn an Hoàng đế. Khi trước Hoàng đế nói đến việc hòa thân, lời trong thư hợp ý, hai bên cùng vui vẻ. Quan lại biên giới nhà Hán xâm lấn coi thường Hữu hiền vương, Hữu hiền vương không thỉnh mệnh, nghe theo kế sách của bọn Hậu nghĩa là hầu là Nan Chi, giao tranh với quan lại nhà Hán, cắt đứt hòa ước hai chúa, ly cách tình thân anh em. Thư trách của Hoàng đế gửi đến, bèn sai người mang thư hồi báo, không thấy trở về, sứ nhà Hán cũng không đến, nhà Hán vì thế không chịu giảng hòa, nước láng giềng cũng không quy phụ. Nay vì bọn tiểu lại làm hỏng hòa ước, trách phạt Hữu hiền vương, phái đi sang tây tìm đánh Nguyệt Chi. Nhờ trời ban phúc, sĩ tốt tinh nhuệ, ngựa chiến khỏe mạnh, diệt được Nguyệt Chi, chém hết và hàng phục chúng. Bình định Lâu Lan, Ô Tôn, Hu Kiệt cùng hai mươi sáu nước bên cạnh, sáp nhập hết vào Hung Nô. Các dân bắn cung đều gộp thành một nhà. Phương bắc đã bình định, muốn cho ngừng chiến để quân sĩ nghỉ ngơi, nuôi ngựa, bỏ những việc khi trước, khôi phục hòa ước cũ, khiến dân biên giới được yên, thảy như thuở xưa, khiến trẻ nhỏ được trưởng thành, người già được yên ổn, đời đời thái bình an lạc. Chưa được biết ý của Hoàng đế, cho nên sai Lang trung Hệ Hu Thiển dâng thư lên, hiến tặng một con lạc đà, hai con ngựa, tám con ngựa kéo xe. Nếu Hoàng đế không muốn Hung Nô đến gần biên giới, thì hãy hạ chiếu cho quan lại và dân chúng ở cách xa biên giới. Sứ giả đến, kíp sai trở về.”
公卿皆 曰：“单于新破月氏，乘胜，不可击。且得匈奴地，泽卤， 非可居也。和亲甚便。”	Công khanh đều nói: “Thiền vu mới phá được Nguyệt Chi, đang lúc thừa thắng, không thể đánh được. Và nếu được đất của Hung Nô, đều là đất mặn, không thể ở được. Hòa thân là tiện nhất.”
汉孝文皇帝十四年，匈奴单于十四万骑入朝(cid:0)、萧关，杀北地都 尉卬， 虏人民畜产甚多， 遂至彭阳。	Nhà Hán, Hiếu Văn đế năm thứ mười bốn, Thiền vu Hung Nô đem mười bốn vạn kỵ binh xâm phạm Triều Na, Tiêu Quan, giết Đô úy Bắc Địa là Ngang, cướp nhiều dân chúng và súc vật, rồi kéo đến Bình Dương.
於是文帝以 中尉周舍、郎中令张武为将军，发车千乘，骑十万，军长安旁以备胡 寇。	Thế rồi Văn đế lấy Trung úy Chu Xá, Lang trung lệnh Trương Vũ làm tướng quân, phát động ngàn cỗ chiến xa, mười vạn quân kỵ, đóng quân ở cạnh Trường An để phòng sự cướp bóc của giặc Hồ.
匈奴日已骄，岁入边，杀略人民畜产甚多，云中、辽东最 甚，至代郡万馀人。	Hung Nô ngày càng hoành hành, hằng năm xâm phạm biên giới, giết cướp nhiều dân chúng và súc vật, các vùng Vân Trung, Liêu Đông thiệt hại nặng nhất, như Đại Quận đến hơn vạn người.
单于亦使当户报谢， 复言和亲事。	Thiền vu cũng sai quan Đương hộ đưa thư tạ lỗi, lại nói đến việc hòa thân.
军臣单于立四岁， 匈奴复绝和亲，大入上郡、云中各三万骑，所杀 略甚众而去。	Quân Thần lên làm Thiền vu được bốn năm, Hung Nô lại cự tuyệt hòa thân với nhà Hán, đem đại quân xâm phạm Thượng Quận, Vân Trung, mỗi nơi ba vạn quân kỵ, cướp giết rất nhiều rồi bỏ đi.
又置三将军，军长安西细柳、渭北棘门、霸上 以备胡。	Lại đặt ba tướng quân, đóng quân ở Tế Liễu, phía tây Trường An, ở Các Môn phía bắc sông Vị, ở Bá Thượng, để phòng giặc Hồ.
自是之後，孝景帝复与匈奴和亲，通关市，给遗匈奴，遣公主，如故 约。	Từ đấy về sau, Hiếu Cảnh đế lại cùng Hung Nô hòa thân, thông quan buôn bán, tặng cấp cho Hung Nô, gả Công chúa, như ước định cũ.
汉将军王恢部出代击胡辎重，闻单于还，兵多，不敢出。	Quân của tướng quân nhà Hán là Vương Khôi ra đất Đại để đánh xe lương người Hồ, nghe nói Thiền vu rút lui, quân nhiều, không dám ra đánh.
自马邑军後五年之秋，汉使四将军各万骑击胡关市下。	Mùa thu, sau cuộc dụng binh ở Mã Ấp năm năm, nhà Hán sai bốn tướng quân, mỗi tướng chỉ huy một vạn quân kỵ tấn công người Hồ ở các chợ dưới quan ải.
公孙敖 出代郡，为胡所败七千馀人。	Công Tôn Ngao ra Đại Quận, bị giặc Hồ đánh bại, tổn thất hơn bảy nghìn người.
其冬，匈奴数入盗 边，渔阳尤甚。	Mùa đông năm ấy, Hung Nô nhiều lần vào biên giới cướp bóc, nhất là Ngư Dương.
汉使将军韩安国屯渔阳备胡。	Nhà Hán sai tướng quân Hàn An Quốc đồn quân Ngư Dương phòng bị giặc Hồ.
胡又入败渔阳太守军千馀人，围汉 将军安国，安国时千馀骑亦且尽，会燕救至，匈奴乃去。	Giặc Hồ lại vào đánh bại đội quân hơn nghìn người của Thái thú Ngư Dương, bao vây tướng quân nhà Hán là An Quốc, bây giờ hơn nghìn kỵ binh của An Quốc cũng bị giết gần hết, đúng lúc Yên đến cứu viện, Hung Nô liền rút.
匈奴又入雁 门，杀略千馀人。	Hung Nô lại vào Nhạn Môn, bắt giết hơn nghìn người.
於是汉使将军卫青将三万骑出雁门，李息出代郡， 击胡。 得首虏数千人。	Thế rồi nhà Hán sai tướng quân Vệ Thanh đem ba vạn quân kỵ ra Nhạn Môn, Lý Tức ra Đại Quận, đánh quân Hồ, bắt giết được mấy nghìn người Hồ.
汉亦弃上谷之什辟 县造阳地以予胡。	Nhà Hán cũng bỏ đất Tạo Dương, là huyện hẻo lánh giao giữa Hung Nô với Thượng Cốc cho giặc Hồ.
军臣单于弟左谷蠡王伊稚斜 自立为单于，攻破军臣单于太子於单。	Em trai Thiền vụ Quân Thần là Tả lộc lãi vương Y Trĩ Tà tự lập làm Thiền vu, đánh bại Thái tử Ô Đan của Thiền vu Quân Thần.
於单亡降汉，汉封 於单为涉安侯，数月而死。	Đan trốn sang hàng nhà Hán, nhà Hán phong Ô Đan làm Thiệp An hầu, được mấy tháng thì chết.
伊稚斜单于既立，其夏，匈奴数万骑入杀代郡太守恭友，略千馀 人。	Thiền vu Y Trĩ Tà lên ngôi, mùa hè năm ấy, mấy mươi vạn kỵ binh Hung Nô kéo vào giết Thái thú Đại Quận 12 Cung Hữu, bắt mấy nghìn người.
右贤王大惊，脱身逃走，诸精骑往往随後去。	Hữu hiền vương cả sợ, trốn chạy thoát thân, các quân kỵ tinh nhuệ lần lượt trốn theo sau.
其秋，匈奴万骑入杀代郡都尉硃 英，略千馀人。	Mùa thu năm ấy, một vạn quân kỵ Hung Nô kéo vào giết Đô úy Đại Quận là Chu Anh, bắt hơn nghìn người.
其明年春，汉复遣大将军卫青将六将军，兵十馀万骑，乃再出定 襄数百里击匈奴，得首虏前後凡万九千馀级，而汉亦亡两将军，军三 千馀骑。	Mùa xuân năm sau, nhà Hán lại sai đại tướng quân Vệ Thanh chỉ huy sáu tướng quân cùng trên mười vạn quân kỵ, ra khỏi Định Tương mấy trăm dặm để đánh Hung Nô, trước sau bắt sống và chém được trên một vạn chín nghìn người, còn nhà Hán cũng thiệt mất hai tướng quân và trên ba nghìn quân kỵ.
右将军建得以身脱， 而前将军翕侯赵信兵不利，降匈奴。	Hữu tướng quân là Kiến trốn thoát được, còn Tiền tướng quân là Hấp hầu Triệu Tín dụng binh bất lợi, đầu hàng Hung Nô.
赵信者，故胡小王，降 汉，汉封为翕侯，以前将军与右将军并军分行， 独遇单于兵，故尽没。	Triệu Tín vốn là Tiểu vương của người Hồ, hàng nhà Hán, được Hán phong làm Hấp hầu, làm Tiền tướng quân cùng Hữu tướng quân chia quân lên đường, riêng [Triệu Tín] gặp phải quân của Thiền vu, nên bị giết hết.
其明年春，汉使骠骑将军去病将万骑出陇西，过焉支山 千馀里，击匈奴，得胡首虏 万八千馀级，破得休屠王祭天金人。	Mùa xuân năm sau, nhà Hán sai Phiêu kỵ tướng quân Hoắc Khứ Bệnh đem vạn quân kỵ ra Lũng Tây, qua núi Yên Chi hơn nghìn dặm để đánh Hung Nô, bắt chém được hơn vạn tám nghìn người Hồ, phá được Hưu Chư vương, lấy được người vàng tế trời.
其夏，骠骑将军复与合骑侯数万骑出陇西、北 地二千里，击匈奴。	Mùa hè năm ấy, Phiêu kỵ tướng quân lại cùng Cáp Kỵ hầu đem mấy vạn kỵ binh ra khỏi Lũng Tây và Bắc Địa hai nghìn dặm để đánh Hung Nô.
汉使博望侯及李将军广出右北平，击匈奴左贤王。	Nhà Hán sai Bác Vọng hầu cùng tướng quân Lý Quảng ra Hữu Bắc Bình, đánh Tả hiền vương của Hung Nô.
左贤王围李将军，卒可四千人，且尽，杀虏亦过当。	Tả hiền vương bao vây Lý tướng quân, quân của Lý Quảng có khoảng bốn nghìn, chết gần hết, giết được địch cũng nhiều hơn số tổn thất.
会博望侯军救 至，李将军得脱。	Đúng lúc Bác Vọng hầu đem quân đến cứu, Lý tướng quân mới thoát được.
汉失亡数千人，合骑侯後骠骑将军期，及与博望侯 皆当死，赎为庶人。	Nhà Hán tổn thất mấy nghìn người, Cáp Kỵ hầu trễ hẹn với Phiêu kỵ tướng quân, ông ta cùng Bác Vọng hầu đều bị tội chết, được chuộc tội làm thường dân.
浑邪王杀休屠王，并将其众降汉。	Hồn Da vương giết Hưu Chư vương, đem quân binh hàng nhà Hán.
单于自度战不能如汉兵，单于遂独身与壮骑数百溃汉 围西北遁走。	Thiền vu tự liệu không địch nổi, liền một mình cùng mấy trăm kỵ binh tinh tráng phá vây quân Hán chạy về hướng tây bắc.
行斩捕匈奴首虏万九千级，北至阗颜山 赵信城而还。	Trên đường đi, bắt chém một vạn chín nghìn người Hung Nô, theo hướng bắc đến thành Triệu Tín ở núi Điền Nhan rồi rút về.
汉骠骑将军之出代二千馀里，与左贤王接战，汉兵得胡首虏凡七 万馀级，左贤王将皆遁走。	Khi Phiêu kỵ tướng quân nhà Hán ra khỏi Đại Quận hơn hai nghìn dặm, giao chiến với Tả hiền vương quân Hán bắt giết được cả thảy hơn bảy vạn người Hồ, các tướng của Tả hiền vương đều chạy trốn.
初，汉两将军大出围单于，所杀虏八九万，而汉士卒物故 亦数万， 汉马死者十馀万。	Hồi đầu, hai tướng quân nhà Hán dẫn đại quân bao vây Thiền vu, bắt giết được tám chín vạn, còn quân sĩ nhà Hán cũng tổn thất mấy vạn, ngựa chết hơn chục vạn con.
匈奴用 赵信之计，遣使於汉，好辞请和亲。	Hung Nô theo kế của Triệu Tín, sai sứ đến Hán, dùng lời khéo léo xin hòa thân.
汉方复收士马，会骠骑将军去 病死，於是汉久不北击胡。	Nhà Hán đang thu thập thêm quân mã, đúng lúc Phiêu kỵ tướng quân Hoắc Khứ Bệnh chết, thế nên rất lâu nhà Hán không lên phía bắc đánh Hồ.
乌维单于立三年，汉已灭南越，遣故太仆贺将万五千骑出九原二 千馀里，至浮苴井 而还，不见匈奴一人。	Thiền vu Ô Duy lên ngôi được ba năm, nhà Hán đã diệt Nam Việt, sai quan Thái bộc trước đây là Hạ đem năm nghìn kỵ binh ra khỏi Cửu Nguyên hơn hai nghìn dặm, đến Phù Tư Tỉnh rồi về, không thấy bóng người Hung Nô nào.
汉又遣故从骠侯赵破奴万馀骑出令居数 千里，至匈河水而还，亦不见匈 奴一人。	Nhà Hán lại sai Triệu Phá Nô, nguyên là Tòng Phiêu hầu, đem hơn vạn kỵ binh ra khỏi Lệnh Cư mấy nghìn dặm, đến sông Hung Hà rồi về, cũng không thấy người Hung Nô nào.
单于见吉，吉曰：“南越王头已悬於汉北阙。今单于即前与汉 战，天子自将兵待边；单于即不能，即南面而臣於汉。何徒远走，亡 匿於幕北寒苦无水草之地，毋为也。”	Thiền vụ tiếp kiến Cát, Cát nói: “Đầu của vua Nam Việt đã treo ở cửa khuyết phía bắc nhà Hán. Nay nếu Thiền vu có thể đánh quân Hán trước, thiên tử nhà Hán đích thân cầm quân đợi ở biên giới; Thiền vu nếu không thể đánh, hãy mau nhìn về nam mà xưng thần với nhà Hán. Sao phải chạy tít vùng xa xôi, trốn đến vùng đất lạnh giá không cỏ không nước ở phía bắc sa mạc, chẳng được tích sự gì.”
汉使王乌等窥匈奴。	Nhà Hán sai bọn Vương Ô dò xét Hung Nô.
匈奴法，汉使非去节而以墨黥其面者不得入 穹庐。	Theo pháp luật Hung Nô, sứ nhà Hán không bỏ cờ tiết rồi dùng mực bôi lên mặt thì không được vào trại.
汉使杨信於匈奴。	Nhà Hán sai Dương Tín sang Hung Nô.
杨信为人刚直屈彊，素非贵 臣，单于不亲。	Dương Tín là người cương trực quật cường, vốn không phải bề tôi hiển quý, Thiền vu không muốn thân cận.
每汉使入匈奴，匈奴辄报偿。	Mỗi khi sứ giả nhà Hán sang Hung Nô, Hung Nô liền sang đáp lễ.
汉留匈奴使，匈奴亦留汉使，必得 当乃肯止。	Nếu nhà Hán giữ sứ giả Hung Nô, Hung Nô cũng giữ sứ nhà Hán, nhất định phải thỏa đáng mới chịu thôi.
诸所言者，单于特空绐王乌，殊无 意入汉及遣太子来质。	Những điều Thiền vu đã nói, đều là nói suông lừa dối Vương Ô, tuyệt không có ý sang nhà Hán và đưa Thái tử sang làm con tin.
路充国留匈 奴三岁，单于死。	Lộ Sung Quốc bị giữ lại Hung Nô ba năm, Thiền vu chết.
浞野侯夜自出求 水，匈奴间捕，生得浞野侯，因急击其军。	Trác Dã hầu đương đêm đích thân ra ngoài tìm nước, bị quân Hung Nô bắt sống, nhân đó ồ ạt tấn công.
军遂没於匈奴。	Thế rồi quân mất hết ở Hung Nô.
其秋，匈奴大入定襄、云中，杀略数千人，败数二千石而去，行 破坏光禄所筑城列亭鄣。	Mùa thu năm ấy, Hung Nô dẫn đại quân vào Định Tương, Vân Trung, bắt giết mấy nghìn người, đánh bại mấy quan hai nghìn thạch rồi rút, trên đường phá hủy thành lũy, chòi canh do Quang lộc xây đắp.
又使右贤王入酒泉、张掖，略数千人。	Lại sai Hữu hiền vương xâm phạm vào Tửu Tuyền và Trương Dịch, bắt mấy nghìn người.
单于益骄，礼甚 倨，非汉所望也。	Thiền vu càng kiêu căng, hành lễ rất ngạo mạn, không như nhà Hán mong muốn.
其明年，汉使贰师将军广利以三万骑出酒泉，击右贤王於天山， 得胡首虏万馀级而还。	Năm sau, nhà Hán sai Nhị sư tướng quân Quảng Lợi đem ba vạn kỵ binh ra Tửu Tuyền, đánh Hữu hiền vương tại Thiên Sơn, chém được hơn vạn thủ cấp quân Hồ rồi rút về.
汉复使因杅将军敖出西河，与彊弩都尉会涿涂山， 毋 所得。	Nhà Hán lại sai Nhân vu tướng quân là Ngao ra Tây Hà, cùng Cường nỗ đô úy hội quân ở núi Trác Da, không thu được kết quả.
又使骑都尉李陵将步骑五千人，出居延北千馀里，与单于会， 合战，陵所杀伤万馀人，兵及食尽，欲解归，匈奴围陵，陵降匈奴， 其兵遂没，得还者四百人。	Lại sai Kỵ đô úy Lý Lăng đem năm nghìn kỵ binh và bộ binh, ra khỏi Cư Diên về phía bắc trên nghìn dặm, gặp quân của Thiền vu, hai bên giao chiến, Lăng giết và làm bị thương trên vạn quân địch, đến lúc hết lương, muốn giải vây rút về, Hung Nô bao vây Lăng Lăng hàng Hung Nô, quân của Lăng liền mất, chỉ còn bốn trăm người về được.
游击将军说将步骑三万人，出五原。	Du kích tướng quân là Duyệt dẫn theo ba vạn bộ binh và kỵ binh ra Ngũ Nguyên.
因 杅将军敖将万骑步兵三万人，出雁门。	Nhân vu tướng quân là Ngao đem một vạn kỵ binh và ba vạn bộ binh, ra Nhạn Môn.
匈奴闻，悉远其累重於余吾水 北， 而单于以十万骑待水南，与贰师将军接战。	Hung Nô nghe tin, đem hết tài sản chuyển đến vùng xa tận phía bắc sông Dư Ngô, còn Thiền vu dẫn mười vạn kỵ binh đợi ở phía nam sông, giao chiến với Nhị sư tướng quân.
游击说无 所得。	Du kích tướng quân Duyệt không thu được kết quả gì.
冒顿曰：“柰何与 人邻国而爱一马乎？”	Mặc Đốn nói: “Lẽ nào với nước láng giềng mà tiếc một con ngựa ư?”
冒顿曰：“柰何与人邻国爱一女子 乎？”	Mặc Đốn nói: “Lẽ nào với nước láng giềng lại tiếc một người con gái ư?”
冒顿问群臣，群臣或 曰：“此弃地，予之亦可，勿予亦可。”	Mặc Đốn hỏi quần thần, quần thần có người nói: “Đó là đất bỏ đi, cho họ cũng được, không cho cũng được.”
狱久者不过十日，一国之囚不过数 人。	Người vào ngục lâu cũng không quá mười ngày, tù nhân cả nước không quá vài người.
会冬大寒雨雪，卒之堕指者十二三，於是冒顿详败 走，诱汉兵。	Vào đúng mùa đông cực lạnh, mưa tuyết rơi xuống, sĩ tốt hai ba phần mười bị lạnh cóng cánh tay, thế là Mặc Đốn vờ thua chạy, để lừa quân Hán.
於是高帝令士皆持满傅矢外乡，从解角直出，竟与大 军合，而冒顿遂引兵而去。	Thế là Cao đế lệnh cho quân sĩ cùng giương cung thật căng hướng ra ngoài, từ góc đã giải vây xông thẳng ra, gặp được đại quân, còn Mặc Đốn liền dẫn quân về.
居无几何，陈豨反，又与韩信合谋击代。	Không lâu sau, Trần Hy làm phản, lại cùng Hàn Tín hợp mưu đánh đất Đại.
於是汉患之，高帝乃使刘敬奉宗室女公主为单于阏氏，岁奉 匈奴絮缯酒米食物各有数，约为昆弟以和亲，冒顿乃少止。	Nhà Hán lo ngại việc đó, Cao đế bèn sai Lưu Kính dẫn con gái tôn thất xưng là công chúa sang gả cho Thiền vu làm Yên chi, mỗi năm đưa tặng Hung Nô tơ lụa, rượu, gạo, đồ ăn, mỗi thức số lượng nhất định, kết làm nước anh em để giảng hòa tương thân, Mặc Đốn cũng thả lỏng hơn.
孝文皇帝前六年，汉遗匈奴书曰：“皇帝敬问匈奴大单于无恙。 使郎中系雩浅遗朕书曰：‘右贤王不请，听後义卢侯难氏等计，绝二 主之约，离兄弟之亲，汉以故不和，邻国不附。今以小吏败约，故罚 右贤王使西击月氏，尽定之。原寝兵休士卒养马，除前事，复故约， 以安边民，使少者得成其长，老者安其处，世世平乐。’朕甚嘉之， 此古圣主之意也。汉与匈奴约为兄弟，所以遗单于甚厚。倍约离兄弟 之亲者，常在匈奴。然右贤王事已在赦前，单于勿深诛。单于若称书 意，明告诸吏，使无负约，有信，敬如单于书。使者言单于自将伐国 有功，甚苦兵事。服绣袷绮衣、 绣袷长 襦、锦袷袍各一，比余一， 黄金饰具带一， 黄金胥纰一， 绣十匹，锦三十匹， 赤綈、绿缯各四十匹，使 中大夫意、谒者令肩遗单于。”	Năm Tiền Nguyên thứ sáu thời Hiếu Văn đế, nhà Hán gửi thư cho Hung Nô, thư viết: “Hoàng đế kính cẩn vấn an Đại Thiền vu Hung Nô. Sứ giả là Lang trung Hệ Hu Thiển chuyển thư cho trẫm trong đó viết rằng: 'Hữu hiền vương không thỉnh mệnh, nghe theo kế sách của bọn Hậu nghĩa lư hầu là Nan Chi, cắt đứt hòa ước hai chúa, ly cách tình thân anh em, nhà Hán vì thế không chịu giảng hòa, nước láng giềng cũng không quy phụ. Nay vì bọn tiểu lại làm hỏng hòa ước, trách phạt Hữu hiền vương, phái đi sang tây tìm đánh Nguyệt Chi, thảy đều bình định được. Muốn cho quân sĩ nghỉ ngơi, nuôi ngựa, bỏ những việc khi trước, khôi phục hòa ước cũ, khiến dân biên giới được yên, khiến trẻ nhỏ được trưởng thành, người già được yên ổn, đời đời thái bình an lạc.' Trẫm rất mừng về điều đó, đó là ý của thánh chúa từ xưa vậy. Hán với Hung Nô kết làm anh em, cho nên tặng Thiền vu rất hậu. Việc bội ước, chia rẽ tình anh em thường do Hung Nô. Còn việc của Hữu hiền vương trước đã xá bỏ, Thiền vu đừng truy cứu nữa. Nếu Thiền vu làm theo ý trong thư, hãy báo rõ cho các quan lại, khiến họ không được phụ ước, phải thủ tín, kính noi như trong thư của Thiền vu. Sứ giả nói Thiền vu đích thân cầm quân chinh phạt nước khác, lập được chiến công, vất vả dụng binh. Trang phục gồm: áo kép vóc the, áo cánh dài hai lớp bằng vóc, áo bào kép bằng gấm, mỗi loại một bộ, lược vàng một chiếc, đai nạm vàng một chiếc, khóa đai lưng vàng một chiếc, the mười xấp, gấm ba mươi xấp, đũi đỏ, lụa xanh mỗi thứ bốn mươi xấp, sai Trung đại phu là Ý, Yết giả lệnh là Kiên mang tặng Thiền vu.”
老上稽粥单于初立， 孝文皇帝复遣宗室女公主为单于阏氏，使宦者燕人中行说 傅公主。	Thiền vu Lão Thượng Kê Chúc mới lên ngôi, Hiếu Văn đế lại sai con gái trong tông thất xưng là Công chúa sang làm Yên chi của Thiền vu, sai hoạn quan Trung Hàng Duyệt người nước Yên phò tá Công chúa.
说曰：“必我行也，为汉患者。”	Duyệt nói: “Nếu nhất định bắt tôi đi, sẽ là nỗi lo cho nhà Hán vậy.”
汉遗单于书，牍以尺一寸，辞曰“皇帝敬问匈奴大单于无恙”， 所遗物及言语云云。	Nhà Hán gửi thư cho Thiền vu, dùng bản gỗ một thước một tấc, dùng các chữ “Hoàng đế kính cẩn vấn an đại Thiền vu Hung Nô”, các vật đem tặng cũng lời lẽ tương tự.
中行说令单于遗汉书以尺二寸牍，及印封皆令广 大长，倨傲其辞曰“天地所生日月所置匈奴大单于敬问汉皇帝无 恙”，所以遗物言语亦云云。	Trung Hàng Duyệt bảo Thiền vu gửi thư cho nhà Hán dùng bản gỗ một thước hai tấc, đến ấn phong cũng rộng lớn, dài hơn, ngôn từ rất ngạo mạn là “Đại Thiền vu Hung Nô do trời đất sinh ra, nhật nguyệt dựng lập kính cẩn vấn an Hoàng đế nhà Hán”, cho đến các lễ vật cũng lời lẽ tương tự.
中行说穷汉使曰：“而汉俗屯戍 从军当发者，其老亲岂有不自脱温厚肥美以赍送饮食行戍乎？”	Trung Hàng Duyệt vặn hỏi sứ nhà Hán rằng: “Còn phong tục nhà Hán, người phải đi tòng quân đồn thú, cha mẹ già của họ há không mất áo ấm chăn dày, đồ ăn ngon béo để cung cấp cho sĩ tốt ở biên giới ư?”
自是之後，汉使欲辩论者，中行说辄曰：“汉使无多言，顾汉所 输匈奴缯絮米糵，令其量中，必善美而己矣，何以为言乎？且所给备 善则已；不备，苦恶， 则候秋孰，以骑驰蹂而稼穑耳。”	Từ đó về sau, sứ nhà Hán ai muốn biện luận, Trung Hàng Duyệt đều nói: “Sứ nhà Hán không nên nhiều lời, chỉ cần tơ lụa, thóc gạo nhà Hán chuyển đến miễn sao đầy đủ, như vậy sẽ tốt đẹp thôi, sao phải nói nhiều? Vả lại, chỉ cần cung cấp cho đủ và tốt là được; không đủ, lại kém, thì đợi mùa thu lúa chín, sẽ đem kỵ mã đến giày xéo lên lúa mà thôi.”
而拜昌侯卢卿为上郡将军， 甯侯魏(cid:0)为北地将军，隆虑侯周灶为陇西将军，东阳侯张相如为大将 军，成侯董赤为前将军，大发车骑往击胡。	Rồi phong Xương hầu là Lư Khanh làm Thượng Quận tướng quân, Ninh hầu là Ngụy Túc làm Bắc Địa tướng quân, Long Lự hầu là Chu Táo làm Lũng Tây tướng quân, Đông Dương hầu là Trương Tương Như làm đại tướng quân, Thành hầu là Đổng Xích làm Tiền tướng quân, huy động đại quân xa kỵ sang đánh Hồ.
