赵氏之先，与秦共祖。	Tổ tiên họ Triệu cùng gốc với nước Tần.
四年， 秦攻番吾， 李牧与之战，卻之。	Năm thứ tư, Tần đánh Bà Ngô, Lý Mục giao chiến với Tần, đẩy lui được [quân Tần].
六 年，大饥，民讹言曰：“赵为号，秦为笑。以为不信，视地之生 毛。”	Năm thứ sáu, đói to, dân có lời ca dao rằng: “Người Triệu khóc, người Tần cười. Nếu mà không tin, xem đất mọc cỏ.”
七年，秦人攻赵，赵大将李牧、将军司马尚将，击之。	Năm thứ bảy, người Tần đánh Triệu, Đại tướng nước Triệu là Lý Mục, Tướng quân Tư Mã Thượng làm tướng, đánh quân Tần.
赵怱军破，颜聚亡去。	Quân Triệu Hốt bị phá, Nhan Tụ trốn mất.
八年十月，邯郸为秦。	Tháng Mười năm thứ tám, Hàm Đan thuộc về Tần.
秦既虏迁，赵 之亡大夫共立嘉为王，王代六岁，秦进兵破嘉，遂灭赵以为郡。 赵氏之系，与秦同祖。 周穆平徐，乃封造父。 带始事晋， 夙初有土。	Sau khi Tần bắt Thiên làm tù binh, các đại phu trốn thoát của Triệu cùng lập Gia làm vương, xưng vương ở đất Đại được sáu năm, Tần tiến quân phá được Gia rồi diệt Triệu, lập thành quận.
重耳以骊姬之乱亡奔翟，赵衰从。	Trùng Nhĩ vì họa loạn do Ly cơ gây ra nên chạy sang nước Địch, Triệu Thôi đi theo.
翟伐廧咎如，得二女，翟以其 少女妻重耳，长女妻赵衰而生盾。	Nước Địch đánh Tường Cữu Như, bắt được hai người con gái, nước Địch đem người con gái nhỏ gả cho Trùng Nhĩ, người con gái lớn gả cho Triệu Thôi rồi sinh ra Thuẫn.
盾为国多 难，欲立襄公弟雍。	Thuẫn cho rằng trong nước nhiều việc gian nan, định lập em của Tương công là Ung.
太子母日夜 啼泣，顿首谓赵盾曰：“先君何罪，释其適子而更求君？”	Mẹ của Thái tử ngày đêm khóc lóc, dập đầu nói với Triệu Thuẫn rằng: “Tiên quân có tội tình gì mà bỏ con đích của ngài để tìm vua khác?”
赵盾骤谏，灵公弗听。	Triệu Thuẫn nhiều lần can gián, Linh công không nghe.
盾素仁爱 人，尝所食桑下饿人反扞救盾，盾以得亡。	Thuẫn vốn là người nhân ái, từng cho người bị đói dưới gốc dâu ăn, lúc này người đó cứu Thuẫn, Thuẫn nhờ vậy thoát chết.
君子讥盾“为正卿， 亡不出境，反不讨贼”，故太史书曰“赵盾弑其君”。	Bậc quân tử chê Thuẫn “Làm Chính khanh, chưa chạy ra khỏi biên cảnh, trở về lại không giết nghịch tặc”, cho nên quan Thái sử viết rằng “Triệu Thuẫn giết vua nước mình.”
初，赵盾在时，梦见叔带持要而哭，甚悲； 已而笑，拊手且歌。	Ban trước, lúc Triệu Thuẫn còn sống, mơ thấy Thúc Đái ôm eo mà khóc, vô cùng thảm thương rồi lại cười, vỗ tay mà hát.
屠 岸贾者，始有宠於灵公，及至於景公而贾为司寇，将作难，乃治灵公 之贼以致赵盾，遍告诸将曰：“盾虽不知，犹为贼首。以臣弑君，子 孙在朝，何以惩罪？请诛之。”	Ban đầu Đô Ngạn Giả được Linh công sủng ái, đến thời Cảnh công thì Giả được làm Tư khấu, sắp dấy loạn, bèn trị tội bọn nghịch tặc đã giết hại Linh công cho đến cả Triệu Thuẫn, báo với khắp lượt các tướng rằng: “Thuẫn tuy không biết, song vẫn là đầu sỏ đám nghịch tặc. Bề tôi giết vua, con cháu đang làm quan trong triều, phải trị tội thế nào? Xin giết họ Triệu.”
韩厥曰：“灵公遇贼，赵盾在外，吾 先君以为无罪，故不诛。今诸君将诛其後，是非先君之意而今妄诛。 妄诛谓之乱。臣有大事而君不闻，是无君也。”	Hàn Quyết nói: “Linh công bị nghịch tặc giết, Triệu Thuẫn ở bên ngoài, tiên quân ta cho là không có tội, cho nên không giết. Nay các tướng giết con cháu ông ta, đó không phải chú ý của tiên quân mà là tự ý giết bừa. Giết bừa gọi là làm loạn. Bề tôi có việc lớn mà vua không được biết, đó là không biết có vua vậy.”
屠岸贾不听。	Đồ Ngạn Giả không nghe.
韩厥告 赵朔趣亡。	Hàn Quyết báo Triệu Sóc mau bỏ trốn.
朔不肯，曰：“子必不绝赵祀，朔死不恨。”	Sóc không chịu, nói: “Ngài nhất định không được để họ Triệu tuyệt đường tế tự, Sóc chết cũng không hận.”
韩厥许诺， 称疾不出。	Hàn Quyết đồng ý, thác bệnh không ra ngoài.
赵朔客曰公孙杵臼，杵臼谓 朔友人程婴曰：“胡不死？”	Môn khách của Triệu Sóc là Công Tôn Chử Cữu, Chử Cữu hỏi bạn của Sóc là Trình Anh rằng: “Sao còn chưa chết?”
程婴曰：“朔之妇有遗腹，若幸而男， 吾奉之；即女也，吾徐死耳。”	Trình Anh đáp: “Vợ của Sóc bụng mang dạ chửa, nếu may mắn sinh con trai, ta sẽ phụng sự nó; nếu là con gái, ta sẽ thong thả mà chết.”
屠岸贾 闻之，索於宫中。	Đồ Ngạn Giả nghe tin, lục soát trong cung.
夫人置兒绔中，祝曰：“赵宗灭乎，若号；即不 灭，若无声。”	Phu nhân giấu đứa bé trong quần, khấn rằng: “Tông tộc họ Triệu bị diệt thì con khóc; nếu không bị diệt thì con đừng khóc.”
已脱，程婴谓公孙杵臼曰：“今一 索不得，後必且复索之，柰何？”	Sau khi thoát nạn, Trình Anh nói với Công Tôn Chử Cữu: “Nay lục soát một lần không tìm được, sau nhất định lục soát tiếp, phải làm sao đây?”
公孙杵臼曰：“立孤与死孰 难？”	Công Tôn Chử Cữu hỏi: “Lập con côi và phải chết, đằng nào khó hơn?”
程婴曰：“死易，立孤难耳。”	Trình Anh đáp: “Chết dễ, lập con côi mới khó.”
程婴出，谬谓 诸将军曰：“婴不肖，不能立赵孤。谁能与我千金，吾告赵氏孤 处。”	Trình Anh đi ra, lừa các tướng quân rằng: “Anh này kém cỏi, không thể dựng lập con côi họ Triệu. Ai cho ta ngàn vàng, ta báo cho chỗ con côi họ Triệu cho.”
诸将皆喜，许之，发师随程婴攻公孙杵臼。	Các tướng đều mừng, đồng ý với Anh, cho quân theo Trình Anh đánh Công Tôn Chử Cữu.
抱兒呼曰：“天乎天乎！赵氏孤兒何罪？请活 之，独杀杵臼可也。”	Rồi ôm đứa trẻ gào lớn: “Trời ơi, trời ơi! Con côi họ Triệu có tội tình gì? Xin hãy để nó sống, giết mình Chủ Cữu là được rồi.”
诸将不许，遂杀杵臼与孤兒。	Chư tướng không nghe, liền giết Chử Cữu cùng đứa con côi.
景公问：“赵尚有後子孙乎？”	Cảnh công hỏi: “Họ Triệu còn có con cháu gì không?”
韩厥具以实告。	Hàn Quyết nói rõ sự thực.
诸将入问疾，景公因韩厥之众以胁 诸将而见赵孤。	Các tướng vào thăm bệnh, Cảnh công dựa vào lực lượng của Hàn Quyết để uy hiếp các tướng rồi triệu kiến con côi họ Triệu.
诸将不得已，乃曰：“昔下宫之难，屠 岸贾为之，矫以君命，并命群臣。非然，孰敢作难！微君之疾，群臣 固且请立赵後。今君有命，群臣之原也。”	Các tướng bất đắc dĩ, bèn nói: “Trước đây, họa nạn ở Hạ Cung do Đồ Ngạn Giả gây nên, vờ là mệnh vua, hạ lệnh cho quần thần. Không phải vậy thì ai dám ra tay! Nếu không phải do bệnh tình nhà vua, các bề tôi vốn đã xin lập hậu duệ họ Triệu. Nay nhà vua có lệnh, đó là tâm nguyện của quần thần vậy.”
於是召赵武、程婴遍拜诸 将，遂反与程婴、赵武攻屠岸贾，灭其族。	Thế là triệu Triệu Vũ, Trình Anh vào vái khắp các tướng, rồi lại cùng Trình Anh, Triệu Vũ tấn công Đồ Ngạn Giả, diệt cả gia tộc.
复与赵武田邑如故。	[Cảnh công] lại phân phong ruộng, ấp cho Triệu Vũ như trước đây.
赵武啼泣顿首固请， 曰：“武原苦筋骨以报子至死，而子忍去我死乎！”	Triệu Vũ gào khóc, dập đầu cố xin, nói: “Vũ xin lao khổ gân cốt để báo đáp người cho đến chết, sao người nỡ bỏ Vũ mà chết!”
程婴曰：“不 可。彼以我为能成事，故先我死；今我不报，是以我事为不成。”	Trình Anh nói: “Không được. Chử Cữu cho là ta có thể hoàn thành công việc, nên chết trước ta; nay ta không báo lại, như thế là việc của ta chưa xong.”
叔向亦曰：“晋国之政将归六卿。六卿 侈矣，而吾君不能恤也。”	Thúc Hướng cũng nói: “Chính sự nước Tấn sẽ rơi vào tay Lục khanh. Lục khanh xa xỉ lộng hành mà vua nước tôi không biết lo.”
後十三年，鲁贼臣阳虎来奔，赵简子受赂，厚遇之。	Mười ba năm sau, tặc thần nước Lỗ là Dương Hổ chạy sang, Triệu Giản tử nhận hối lộ, hậu đãi y.
居二日半，简子寤。 语大夫曰：“我之帝所甚乐，与百神游於钧 天，广乐九奏万舞，不类三代之乐，其声动人心。有一熊欲来援我， 帝命我射之，中熊，熊死。又有一罴来，我又射之，中罴，罴死。帝 甚喜，赐我二笥，皆有副。吾见兒在帝侧，帝属我一翟犬，曰：‘及 而子之壮也，以赐之。’帝告我：‘晋国且世衰，七世而亡， 嬴姓将大败周人於范魁之西， 而亦不能 有也。今余思虞舜之勋，適余将以其胄女孟姚配而七世之孙。’” 董安于受言 而书藏之。	Được hai ngày rưỡi, Giản tử tỉnh dậy, nói với các đại phu rằng: “Ta đến chỗ thượng đế, rất vui, cùng bách thần du ngoạn ở Quân Thiên, Quảng nhạc nhiều lần diễn tấu cùng điệu múa Vạn vũ, không giống nhạc thời Tam đại, âm thanh lay động lòng người. Có một con gấu chực xông đến cô ta, thượng đế sai ta bắn nó, bắn trúng con gấu, gấu chết. Lại có một con bi xông đến, ta lại bắn nó, trúng con bi, con bị chết. Thượng đế rất vui, tặng cho ta hai sọt vuông, đều có [sọt] nhỏ [kèm theo]. Ta thấy đứa nhỏ bên cạnh thượng đế, thượng đế cho ta một con chó đất Địch, nói: 'Đến khi con của người lớn lên, hãy tặng cho nó.' Thượng đế bảo ta: 'Nước Tấn sẽ ngày một suy, bảy đời thì diệt vong, họ Doanh sẽ đánh người Chu đại bại ở phía tây Phạm Khôi, nhưng cũng không thể có được vậy. Nay ta nghĩ đến công lao của Ngu Thuấn, ta sẽ đem cháu gái của Ngu Thuấn gả cho cháu bảy đời của ngươi.” Đổng An Vu nghe những lời ấy bèn chép lại cất đi.
当道者 曰：“吾欲有谒於主君。”	Người chặn đường nói: “Tôi muốn hầu chuyện nhà vua.”
当道者曰：“屏左右，原有谒。”	Người chặn đường nói: “Hãy đuổi tả hữu ra, sẽ xin hầu chuyện.”
当道者 曰：“主君之疾，臣在帝侧。”	Người chặn đường nói: “Lúc nhà vua ốm, tôi ở bên cạnh thượng đế.”
当道者曰：“帝令主君射熊与罴，皆死。”	Người chặn đường đáp: “Thượng đế lệnh cho ngài bắn con gấu và con bi, chúng đều chết cả.”
简子曰：“是， 且何也？”	Giản tử nói: “Đúng, còn gì nữa?”
当道者曰：“晋国且有大难，主君首之。帝令主君灭二 卿，夫熊与罴皆其祖也。”	Người chặn đường đáp: “Nước Tấn sẽ có đại nạn, nhà vua phải đặt việc ấy lên hàng đầu. Thượng đế lệnh cho nhà vua diệt hai quan khanh, gấu và bi đều là tổ tiên của họ vậy.”
简子曰：“帝赐 我二笥皆有副，何也？”	Giản tử hỏi: “Thượng đế ban cho ta đôi sọt vuông, đều có cái nhỏ kèm theo là ý thế nào?”
简子曰：“吾见兒 在帝侧，帝属我一翟犬，曰‘及而子之长以赐之’。夫兒何谓以赐翟 犬？”	Giản tử hỏi: “Ta thấy đứa nhỏ bên cạnh thượng đế, thượng đế giao cho ta một con chó đất Địch, nói 'Đến khi con người lớn, hãy tặng cho nó'. Ôi, sao lại bảo tặng con chó đất Địch cho đứa nhỏ?”
当道者曰：“兒，主君之子也。翟犬者，代之先也。主君之子 且必有代。及主君之後嗣，且有革政而胡服， 并二国於翟。”	Người chặn đường đáp: “Đứa trẻ, là con của nhà vua vậy. Con chó đất Địch là tổ tiên nước Đại vậy. Con của nhà vua nhất định có nước Đại. Đến người kế thừa nhà vua sau này, sẽ có sửa đổi chính sự rồi mặc trang phục người Hồ, thôn tính hai nước ở đất Địch.”
毋恤至，则子卿起曰：“此真将军矣！”	Vô Tuất đến, Tử Khanh liền đứng dậy nói: “Đây đích thị là tướng quân vậy!”
简子曰：“此其母贱，翟婢 也，奚道贵哉？”	Giản tử hỏi: “Đứa con này mẹ nó vốn thấp hèn, là tỳ nữ ở đất Địch, sao lại nói là tôn quý?”
子卿曰：“天所授，虽贱必贵。”	Tử Khanh đáp: “Trời trao cho, dẫu hèn hạ cũng ắt được tôn quý.”
简子乃告诸子曰：“吾藏宝符於常山上， 先得者赏。”	Giản tử bèn nói với các con: “Ta cất lệnh phù báu ở trên núi Thường Sơn, ai tìm thấy trước sẽ được thưởng.”
毋恤还，曰：“已得符 矣。”	Vô Tuất trở về, nói: “Đã thấy lệnh phù rồi.”
毋恤曰：“从常山上临代，代可取 也。”	Vô Tuất nói: “Từ trên núi Thường Sơn xuống đến nước Đại, bị người Đại chiếm lấy rồi.”
明年春，简子谓邯郸 大夫午曰：“归我卫士五百家，吾将置之晋阳。”	Mùa xuân năm sau, Giản tử bảo với đại phu Hàm Đan là Ngọ rằng: “Trả về cho ta năm trăm nhà sĩ nhân ở nước Vệ, ta sẽ an trí họ ở Tấn Dương.”
乃告邯郸人曰：“我私有诛午也，诸君欲 谁立？”	Bèn báo với người ở Hàm Đan rằng: “Ta theo ý riêng định giết Ngọ, các vị muốn lập ai?”
晋 君使籍秦 围邯郸。	Tấn quân sai Tịch Tần bao vây Hàm Đan.
范吉射、荀寅仇人魏襄等谋逐荀寅，以梁婴父 代之；”逐吉射，以范皋绎代之。	Đám thù địch với Phạm Cát Xạ, Tuân Dần là Ngụy Tương bàn mưu trục xuất Tuân Dần, đưa Lương Anh Phủ lên thay; liền đuổi Cát Xạ, đưa Phạm Cao Dịch lên thay.
荀栎 ”言於晋侯曰：“君命大臣， 始乱者死。今三臣始乱而独逐鞅， 用刑不均，请皆逐之。”	Tuân Lịch nói với Tấn hầu rằng: “Nhà vua lệnh cho đại thần, kẻ nào khơi mào làm loạn thì xử chết. Nay ba bề tôi khơi mào làm loạn mà chỉ đuổi Ưởng, dùng hình phạt không công bằng, xin đuổi hết bọn họ.”
丁未，二子奔朝 歌。	Ngày Đinh Mùi, cả hai chạy đến Triều Ca.
孔子闻赵简子不请晋君而执邯郸午，保晋阳，故书春秋曰“赵鞅 以晋阳畔”。	Khổng tử nghe việc Triệu Giản tử không thỉnh thị vua Tấn mà tự ý bắt Hàm Đan đại phu là Ngọ, giữ Tấn Dương, cho nên viết trong sách Xuân thu rằng “Triệu Ưởng dùng Tấn Dương để làm phản”.
周舍死，简子每听朝，常不悦，大 夫请罪。	Chu Xá chết, mỗi lần Giản tử lâm triều nghe chính sự, thường không vui, các đại phu xin chịu tội.
简子曰：“大夫无罪。吾闻千羊之皮不如一狐之腋。诸大夫 朝，徒闻唯唯，不闻周舍之鄂鄂，是以忧也。”	Giản tử nói: “Đại phu không có tội. Ta từng nghe rằng ngàn tấm da dê không bằng một tấm da nách con cáo. Các đại phu vào chầu, [ta] chỉ nghe dạ dạ, không nghe thấy những lời tranh biện thẳng thắn của Chu Xá, vì thế mà lo buồn.”
赵名晋卿，实专晋权，奉邑侔於诸侯。	Về danh nghĩa, Triệu là quan khanh nước Tấn, nhưng thực chất là chuyên quyền nước Tấn, ấp phong ngang hàng với chư hầu.
毋恤群臣请死之。	Các bề tôi của Vô Tuất xin giết Trí bá.
毋恤曰：“君所以置毋恤， 为能忍卼。”	Vô Tuất nói: “Nhà vua sở dĩ lập Vô Tuất này [làm Thái tử], vì cho là biết nhẫn nhục.”
然亦愠知伯。	Nhưng cũng giận Trí bá.
知伯归，因谓简子，使废毋恤，简子不 听。	Trí bá trở về, nhân đó nói với Giản tử, bảo phế Vô Tuất, Giản tử không nghe.
襄子降丧食，使楚隆问吴王。	Tương tử hạ mức cỗ bàn trong thời gian tang lễ, sai Sở Long đi thăm hỏi Ngô vương.
简子既葬，未除服，北登夏屋， 请代王。	Sau khi an táng Giản tử, [Tương tử] chưa bỏ tang phục, lên Hạ Ốc ở phía bắc, mời vua nước Đại đến.
使厨人操铜枓 以食代王及从者，行斟，阴令宰人各 以枓击杀代王及从官，遂兴兵平代地。	[Tương tử] sai đầu bếp cầm muôi đồng cán dài để múc thức ăn cho vua nước Đại cùng tùy tòng, lúc rót rượu, ngầm sai đầu bếp là Các dùng cán muôi đánh giết vua nước Đại cùng các quan tùy tòng, rồi dấy binh bình định đất Đại.
遂以代封伯鲁子周为代成君。	Rồi [Tương tử] đem đất Đại phân phong cho con của Bá Lỗ là Chu làm Đại Thành quân.
襄子齐三 日，亲自剖竹，有硃书曰：“赵毋恤，余霍泰山 山阳侯天使也。三月丙戌，余将使女反灭知氏。女亦立我 百邑，余将赐女林胡之地。至于後世，且有伉王，赤黑，龙面而鸟 噣，鬓麋髭皞，大膺大胸，脩下而冯，左衽界乘， 奄有河宗， 至 于休溷诸貉，南伐晋别， 北灭黑姑。”	Tương tử trai giới ba ngày, đích thân chẻ đốt tre ra, có thư viết bằng mực đỏ rằng: “Triệu Vô Tuất, bọn ta là thiên sứ Sơn Dương hầu ở Hoắc Thái Sơn. Ngày Bính Tuất tháng Ba, bọn ta sai ngươi trở về diệt họ Trí. Ngươi cũng cắt Bách Ấp cho bọn ta, ta sẽ tặng người đất Lâm Hồ. Đời sau của ngươi sẽ xuất hiện vị vua hùng mạnh, [toàn thân] màu hồng và đen, mặt rồng mỏ chim, mặt đầy râu ria, ngực nở bụng phệ, hạ thể thì nhỏ, phần trên thì lớn, mặc áo che phía bên trái, mang giáp cưỡi ngựa, chiếm hết dải đất Hà Tông, cho đến các khu đất Mạch ở Hưu Đồn, phía nam đánh thành ấp khác của Tấn, phía bắc diệt Hắc Cô.”
襄 子再拜，受三神之令。	Tương tử bái lạy hai lần, nhận lệnh của ba vị thần.
三国攻晋阳，岁馀，引汾水灌其城，城不浸者三版。	Ba nước tấn công Tấn Dương, hơn một năm, dẫn nước sông Phần cho chảy vào thành, thành chỗ nào cao ba bản mới không bị ngập.
群臣皆有外心，礼益 慢，唯高共不敢失礼。	Quần thần đều có hai lòng, lễ tiết ngày càng chểnh mảng, chỉ có Cao Cung không dám thất lễ.
襄子曰：“方晋阳急，群臣皆懈，惟共不敢失人臣礼， 是以先之。”	Tương tử nói: “Đang lúc Tấn Dương nguy cấp, quần thần đều trễ nải, chỉ có Cung không dám để mất lễ tiết của bề tôi, nên được đứng đầu.”
遂祠三神於百 邑，使原过主霍泰山祠祀。	Rồi lập đền thờ ba vị thần ở Bách Ấp, sai Nguyên Quá chủ trì tế tự đền thần Hoắc Thái Sơn.
襄子为伯鲁之不立也，不肯立子，且必欲传位 与伯鲁子代成君。	Do Bá Lỗ không được kế vị, nên [Tương tử] không chịu lập con mình, nhất định muốn truyền ngôi cho con của Bá Lỗ là Đại Thành quân.
烈侯好音，谓相国公仲连曰：“寡人有爱，可以贵之乎？”	Liệt hầu thích nhạc, bảo Tướng quốc Công Trọng Liên rằng: “Quả nhân yêu người nào, có thể khiến người đó được tôn quý không?”
居一月，烈侯从代来，问歌者田。	Được một tháng, Liệt hầu từ đất Đại về đến, hỏi chuyện ruộng tặng cho con hát.
番吾君 自代来，谓公仲 曰：“君实好善，而未知所持。今公仲相赵，於今四年，亦有进士 乎？”	Phan Ngô quân từ nước Đại đến, bảo Công Trọng rằng: “Nhà vua thực sự thích việc thiện, nhưng chưa biết cách tiến hành. Nay Công Trọng ngài làm Tướng quốc nước Triệu, đã được bốn năm, có tiến cử được hiền sĩ nào không?”
番吾君曰：“牛畜、荀欣、徐越皆 可。”	Phan Ngô quân nói: “Ngưu Súc, Tuân Hân, Từ Việt đều được.”
及朝，烈侯复问：“歌者田何如？”	Đến khi vào triều, Liệt hầu lại hỏi: “Ruộng cho người con hát nọ sao rồi?”
烈侯使使谓相国 曰：“歌者之田且止。”	Liệt hầu sai sứ bảo Tướng quốc rằng: “Hãy dừng việc tặng ruộng cho con hát.”
敬侯元年，武公子朝作乱，不克，出奔魏。	Kính hầu năm thứ nhất, con của Vũ công là Triều làm loạn, [nhưng] không đánh được, phải chạy sang Ngụy.
肃侯元年，夺晋君端氏，徙处屯留。	Túc hầu năm thứ nhất, đoạt ấp Đoàn Thị của Tấn quân, chuyển vua Tấn ra ở huyện Đồn Lưu.
武灵王元年，阳文君赵豹相。	Vũ Linh vương năm thứ nhất, Dương Văn quân Triệu Báo làm Tướng quốc.
武灵王少，未能听政，博闻师三人，左右司过三人。	Vũ Linh vương nhỏ tuổi, chưa thể nghe chính sự, [lập ra] ba người làm Bác văn sư, ba người làm Tả hữu Ty quá.
及听政，先问先 王贵臣肥义，加其秩；国三老年八十，月致其礼。	Đến khi nghe chính sự, trước tiên hỏi trọng thần của tiên vương là Phì Nghĩa, gia tăng phẩm trật cho; trong nước bậc Tam lão tuổi tám mươi [trở lên], mỗi tháng được cấp lễ vật.
吴 广闻之，因夫人而内其女娃嬴。 孟姚也。	Ngô Quảng nghe biết chuyện, thông qua phu nhân đem con gái mình là Oa Doanh tiến cung, tức Mạnh Diêu vậy.
十九年春正月，大朝信宫。	Tháng Giêng mùa xuân năm thứ mười chín, đại triều ở Tín Cung.
召楼缓谋曰：“我先王因世 之变，以长南籓之地，属阻漳、滏之险，立长城，又取蔺、郭狼，败 林人於荏，而功未遂。今中山在我腹心，北有燕， 东有胡， 西有林胡、楼烦、秦、韩之边， 而无彊兵之救，是亡社 稷，柰何？夫有高世之名，必有遗俗之累。吾欲胡服。”	Triệu Lâu Hoãn đến bàn mưu rằng: “Tiên vương ta nhận thời cuộc thay đổi, nhờ đó làm quân trưởng đất phên giậu phía nam, dựa vào sự hiểm trở của sông Chương và sông Phủ, xây dựng Trường thành, lại chiếm đất Lận và Quách Lang, đánh bại người Lâm [Hồ] ở đất Nhẫm, nhưng công lao chưa thỏa. Nay nước Trung Sơn ở trong tim trong bụng ta, bắc có nước Yên, đông có người Hồ, tây có biên giới của Lâm Hồ, Lâu Phiền, Tần và Hàn, còn ta không có quân hùng mạnh tiếp viện, thế thì xã tắc nguy vong, phải làm thế nào? Xét lẽ, muốn có danh tiếng hơn đời, gặp phải sự ràng buộc của phong tục cũ. Ta muốn mặc y phục người Hồ.”
楼缓 曰：“善。”	Lâu Hoãn nói: “Phải lắm.”
群臣皆不欲。	Quần thần đều không muốn.
於是肥义侍，王曰：“简、襄主之烈，计胡、翟之利。为人臣 者，宠有孝弟长幼顺明之节，通有补民益主之业， 此两者臣之分也。今吾欲继襄主之迹，开於胡、翟之 乡，而卒世不见也。 为敌弱，用力少而功多，可以毋 尽百姓之劳，而序往古之勋。 夫有高世之功者，负遗俗之累； 有独智之虑者，任骜民之 怨。今吾将胡服 骑射以教百姓，而世必议寡人，柰何？”	Thế rồi Phì Nghĩa hầu vua, Vũ Linh vương nói: “Công lao của Giản chúa, Tương chúa là tính được cái lợi từ người Hồ người Địch. Kẻ làm bề tôi, được sủng ái thì cần có phẩm tiết hiếu hữu, trên dưới, thuận tòng, sáng láng được thông đạt thì cần có sự nghiệp lợi cho chúa cho dân, hai điều đó là chức phận của bề tôi. Nay ta muốn kế thừa dấu cũ của Tương chúa, mở mang ra vùng đất người Hồ người Địch, mà rốt cuộc trên đời không thấy [ai là bề tôi hiền năng]. Làm cho địch suy yếu, dụng lực ít mà thu nhiều công lao, không cần dốc hết sức lao khổ của trăm họ mà kế tục được huấn nghiệp của thời xưa. Xét lẽ, người có công cao hơn đời, thì phải quay lưng với sự ràng buộc của thế tục; người riêng có trí lự thì chấp nhận chịu sự oán hận của đám chúng dân ngạo mạn. Nay ta định dạy trăm họ mặc trang phục người Hồ, cưỡi ngựa bắn cung, song người đời ắt dị nghị về quả nhân, phải làm sao đây?”
肥义曰：“臣闻疑事无功， 疑行无名。王既定负遗俗之虑，殆无顾天下之议矣。夫论至德者不和 於俗，成大功者不谋於众。昔者舜舞有苗，禹袒裸国，非以养欲而乐 志也，务以论德而约功也。愚者闇成事，智者睹未形，则王何疑 焉。”	Phì Nghĩa đáp: “Thần nghe nói việc còn ngờ thì không thành công, còn ngờ mà làm thì không thành danh. Nhà vua đã quyết định quay lưng với thế tục thì có lẽ không cần quan tâm đến sự dị nghị của thiên hạ nữa. Xét lẽ, bàn đến người có đức tột vời thì không hòa cùng thế tục, người thành tựu được công lao to lớn thì không bàn tính với đám đông. Xưa kia, đế Thuấn múa [tấm mộc] mà tộc Hữu Miêu [vào chầu], vua Vũ để trần mà Khỏa Quốc [vui vẻ thần phục], không phải nhằm nuôi dưỡng dục vọng mà thỏa mãn tâm chí, cốt dùng đức thu phục và làm lợi cho sự nghiệp của mình. Kẻ ngu biết khi việc đã thành, kẻ trí biết khi việc chưa hình thành, vậy thì nhà vua còn ngờ gì nữa.”
王曰：“吾不疑胡服也，吾恐天下笑我也。狂夫之乐，智者哀 焉；愚者所笑，贤者察焉。世有顺我者，胡服之功未可知也。虽驱世 以笑我，胡地中山吾必有之。”	Vũ Linh vương nói: “Ta không băn khoăn về việc mặc trang phục người Hồ, ta sợ thiên hạ cười ta thôi. Niềm vui của kẻ cuồng phu thì người trí thương xót; điều mà kẻ ngu cười thì bậc hiền năng phải xét kỹ. Đời có người thuận theo ta, thì công dụng của việc mặc trang phục người Hồ không sao lường hết. Dẫu khiến đời chê cười, ta cũng nhất định chiếm kỳ được đất Hồ và nước Trung Sơn.”
於是遂胡服矣。	Thế rồi mặc y phục người Hồ.
使王緤告公子成曰：“寡人胡服，将以朝也，亦欲叔服之。家听 於亲而国听於君，古今之公行也。子不反亲，臣不逆君，兄弟之通义 也。今寡人 作教易服而叔不服，吾恐天下议之也。制国有常，利民为本；从政有 经，令行为上。明德先论於贱，而行政先信於贵。今胡服之意，非以 养欲而乐志也；事有所止而功有所出， 事成功立，然后善也。今寡人恐叔之逆从政之 经，以辅叔之议。且寡人闻之，事利国者行无邪，因贵戚者名不累， 故原慕公叔之义，以成胡服之功。使緤谒之叔，请服 焉。”	[Vũ Linh vương] sai Vương Tiết báo cho công tử Thành rằng: “Quả nhân sẽ mặc trang phục người Hồ để thiết triều, [quả nhân] cũng muốn chú mặc trang phục người Hồ. Ở nhà thì nghe theo cha mẹ, ở nước thì nghe theo vua, đó là đạo lý chung xưa nay. Con không trái ý cha mẹ, bề tôi không ngược ý vua, là đạo nghĩa chung của anh em. Nay quả nhân dạy đổi y phục mà chú lại không theo, ta sợ thiên hạ dị nghị về việc đó. Trị quốc có phép thường, lấy lợi cho dân làm gốc; làm chính sự có phép thường, thi hành lệnh là trên hết. Làm sáng đức trước tiên phải hiểu dụ từ kẻ thấp hèn, còn thi hành chính sự trước hết phải thủ tín với bậc hiển quý. Nay, chủ ý mặc trang phục người Hồ, không phải nhằm nuôi dưỡng ham muốn và thỏa mãn tâm chí; việc có mục đích thì công lao mới thành, sự việc đã thành, công lao đã lập, sau mới có kết quả tốt. Nay quả nhân sợ chú làm trái lẽ thường trong chính sự, nên đem việc đó bàn giúp. Vả lại, quả nhân nghe nói, điều có lợi cho đất nước thì việc làm không thể tà ác; dựa vào bậc quý thích thì thanh danh không bị tổn hại, cho nên muốn mộ nghĩa của chú, để thành toàn việc mặc trang phục người Hồ. Sai Tiết đi bái kiến chú, xin chú hãy mặc trang phục người Hồ.”
