陈完者，陈厉公他 之子也。	Trần Hoàn là con của Trần Lệ công Đà.
宣王喜文学游说之士，自如驺衍、淳于髡、 田骈、 接予、慎到、 环渊 之徒七十六人，皆赐列第，为上大夫，不治而议 论。	Tề Tuyên vương thích những kẻ sĩ du thuyết có tài văn học, như bọn Trâu Diễn, Thuần Vu Khôn, Điền Biền, Tiếp Dư, Thận Đáo, Hoàn Uyên gồm bảy mươi sáu người, đều được tặng phủ đệ, cho làm Thượng đại phu, không trị lý quốc gia mà chuyên bàn nghị chính sự.
湣王元年，秦使张仪与诸侯执政会于齧桑。	Mẫn vương năm thứ nhất, Tần sai Trương Nghi cùng quan chấp chính các nước chư hầu hội kiến ở Khiết Tang.
齐 佐赵灭中山。	Tề giúp Triệu diệt nước Trung Sơn.
对曰：“夫约钧，然与秦为帝而天下独尊秦而轻齐，释帝则天 下爱齐而憎秦，伐赵不如伐桀宋之利，故原王明释帝以收天下，倍约 宾秦，无争重，而王以其间举宋。夫有宋，卫之阳地危； 有济西，赵之阿东国危； 有淮北，楚之东国危； 有陶、平陆，梁门不开。 释帝而贷之以伐桀 宋之事，国重而名尊，燕楚所以形服，天下莫敢不听，此汤武之举 也。敬秦以为名，而後使天下憎之，此所谓以卑为尊者也。原王孰虑 之。”	Tô Đại đáp: “Xét lẽ, kết minh ước thì ngang hàng, nhưng cùng Tần xưng đế thì thiên hạ chỉ đề cao Tần mà coi thường Tề, bỏ đế hiệu thì thiên hạ yêu Tề mà ghét Tần, đánh Triệu không lợi bằng đánh Kiệt Tống, vì thế xin đại vương tỏ rõ việc bỏ đế hiệu để thu phục thiên hạ, bội ước với Tần, không tranh hơn thua, rồi đại vương thừa cơ tấn công Tống. Nếu chiếm được Tống, đất Dương Địa của Vệ sẽ lâm nguy; chiếm được phía tây sông Tế, các nước phía đông đất A của Triệu sẽ lâm nguy; có được phía bắc sông Hoài, các nước phía đông nước Sở sẽ lâm nguy; có được ấp Đào và Bình Lục, cánh cổng của đất Lương [nước Ngụy] không thể mở. Bỏ đế hiệu rồi tấn công Kiệt Tống, khiến nước thêm trọng mà danh thêm cao, Yên và Sở hình thành xu thế phải quy phục, thiên hạ chẳng ai dám không nghe, đó là sự nghiệp của Thang Vũ vậy. Danh nghĩa là tôn kính Tần, mà sau đó khiến thiên hạ ghét Tần, cái đó gọi là thấp biến thành cao. Xin đại vương hãy suy xét kỹ càng.”
卫君辟宫舍之， 称臣而共具。	Vệ quân lánh khỏi cung cho vua Tề ở đó, xưng thần rồi dùng chung vật dụng.
淖齿遂杀湣王而与燕共分齐之侵地卤器。	Náo Xỉ liền giết Mẫn vương rồi cùng nước Yên chia nhau đất đai nước Tề và những bảo vật cướp được.
襄王在莒五年，田单以即墨攻破燕军，迎襄王於莒，入临菑。	Tương vương ở nước Cử được năm năm, Điền Đan dựa vào lực lượng ở Tức Mặc đánh phá được quân Yên, đón Tương vương từ đất Cử về Lâm Truy.
秦破赵於长平四十馀 万，遂围邯郸。	Tần phá hơn bốn mươi vạn quân Triệu ở Trường Bình, rồi bao vây Hàm Đan.
三十七年，秦灭 赵。	Năm thứ ba mươi bảy, Tần diệt nước Triệu.
明年，秦灭魏，秦兵次於历下。	Năm sau, Tần diệt nước Ngụy, quân Tần đóng Lịch Hạ.
伐 卫，取毌丘。	Đánh nước Vệ, chiếm được Quán Khâu.
齐因起兵袭燕国，取桑 丘。	Tề nhân đó khởi binh đánh úp nước Yên, chiếm được Tang Khâu.
齐威王元年，三晋因齐丧来伐我灵丘。	Tề Uy vương năm thứ nhất, Tam Tấn nhân Tề có tang kéo quân tấn công vào Linh Khâu của Tề.
须臾，王鼓琴，驺忌 子推户入曰：“善哉鼓琴！”	Không lâu sau, Uy vương đánh đàn, Trâu Kỵ tử đẩy cửa vào nói: “Đánh đàn giỏi thay!”
楚围雍氏，秦败 屈丐。	Sở bao vây Ung Thị [nước Tề], Tần đánh bại [tướng Sở là] Khuất Cái.
三十九年，秦来伐，拔我列城九。	Năm thứ ba mươi chín, Tần tiến đánh Tề, hạ được chín thành ấp.
明年，秦破燕，燕 王亡走辽东。	Năm sau, Tần đánh phá nước Yên, Yên vương chạy trốn ra Liêu Đông.
二君比犯，三晋争强。 和始擅命，威遂称王。 祭急燕、 赵，弟列康、庄。 秦假东帝，莒立法章。	Sở dĩ Điền Khất cùng Điền Thường giết liên tiếp hai vua, chuyên quyền chính sự nước Tề, không hẳn do sự thế dần xui nên, đại để là do tuân theo điềm báo từ trước vậy.
驺忌子以鼓琴见威王，威王说而舍之右室。	Trâu Kỵ tử nhờ giỏi đánh đàn nên được yết kiến Uy vương, Uy vương yêu quý rồi cho ở ngôi nhà bên phải.
淳于髡见之曰：“善说哉！髡有愚志， 原陈诸前。”	Thuần Vu Khôn bái kiến Trâu Kỵ tử, nói: “Giỏi du thuyết thay! Khôn này có ý ngu muội, xin được giãi bày trước ngài.”
燕将 乐毅遂入临淄，尽取齐之宝藏器。	Tướng nước Yên là Nhạc Nghị liền tiến quân vào Lâm Truy, thu hết bảo vật của Tề.
易之为术，幽明远矣，非通人达才 孰能注意焉！	Cái thuật của Dịch u minh thâm viễn, không phải bậc thông hiểu về việc người, có tài năng quảng bác thì ai có thể dụng tâm vào được!
