秦之先，帝颛顼之苗裔孙曰女脩。	Tổ tiên nhà Tần là Nữ Tu, hậu duệ của Để Chuyên Húc.
兵至滑， 郑贩卖贾人 弦高，持十二牛 将卖之周，见秦兵，恐死虏，因献其牛，曰：“闻大国将诛郑，郑君 谨修守御备，使臣以牛十二劳军士。”	Quân đến đất Hoạt. Lái buôn nước Trịnh tên là Huyền Cao dắt mười hai con trâu định sang nước Chu bán, thấy quân Tần, sợ bị bắt giết, nhân dâng trâu, nói: “Nghe nói đại quốc sắp diệt Trịnh. Vua Trịnh cẩn thận sửa sang phòng bị, sai thần đem mười hai con trâu tới khao quân sĩ”.
灭滑。	Đoạn diệt Hoạt.
三将至，缪公素服郊迎，乡三 人哭曰：“孤以不用百里傒、蹇叔言以辱三子，三子何罪乎？子其悉 心雪耻，毋怠。”	Ba tướng về nước, Mục Công mặc đồ trắng ra ngoại ô nghênh đón, nhìn ba người khác, mà nói rằng: “Vì ta không nghe lời Bách Lý Hề và Kiển Thúc nên khiến ba người chịu nhục, ba người có tội gì đâu. Các ngươi phải hết lòng rửa nhục, chớ trễ nải?”
缪公於是复使孟明视等将兵伐晋，战于彭衙。	Thế rồi, Mục công lại sai bọn Mạnh Minh Thị đem quân đánh Tấn, giao chiến ở Bình Nhai.
秦缪公示以宫室、积聚。	Tần Mục công đưa đi xem cung thất và kho đụn.
三十六年，缪公复益厚孟明等，使将兵伐晋，渡河焚船，大败晋 人，取王官及鄗， 以报殽之役。	Năm thứ ba mươi sáu, Mục Công lại càng hậu đãi bọn Mạnh Minh, sai đem quân đánh Tấn. (Quân Tần) vượt Hoàng Hà rồi đốt thuyền, sau đó đánh bại quân Tấn, chiếm đất Vương Quan và đất Giao, báo thù trận Hào Sơn.
晋人皆城守不敢出。	Người Tấn đều cố thủ trong thành không dám ra.
乃誓於军曰：“嗟士卒！听无譁，余誓告汝。古之人谋黄发番番， 则无所过。” 以申思不用蹇叔、百里傒之谋，故作此 誓，令後世以记余过。	Bèn thề với quân sĩ rằng: “Hỡi quân sĩ! Nghe đây chớ ồn! Ta thề, bá cáo với các ngươi! Người thời xưa mưu việc với các cụ tóc trắng phau phau thì không có lầm lỗi. Nhớ lại việc không nghe lời Kiến Thúc, Bách Lý Hề, nên làm lời thề này, khiến đời sau ghi nhớ lỗi lầm của ta!”
天子使召公过贺缪公以金鼓。	Thiên tử sai Thiệu Công Quá đem trống vàng tới mừng Mục Công.
三十九年，缪公卒，葬雍。	Năm thứ ba mươi chín, Mục công mất, táng ở đất Ung.
从死者百七十七人，秦之良臣子舆氏三人 名曰奄息、仲行、针虎，亦在从死之中。	Kẻ chết theo có một trăm bảy mươi bảy người. Ba người họ Tử Dư là tôi hiền của nước Tần, tên là Yểm Tức, Trọng Hành, Châm Hổ cũng ở trong số đó.
君子曰：“秦缪公广地益国，东服彊晋，西 霸戎夷，然不为诸侯盟主，亦宜哉。死而弃民，收其良臣而从死。且 先王崩，尚犹遗德垂法，况夺之善人良臣百姓所哀者乎？是以知秦不 能复东征也。”	Người quân tử nói: “Tần Mục công mở rộng đất, thêm thuộc quốc, phía đông thu phục nước Tấn mạnh, phía tây xưng bá vùng Nhung di, song không trở thành minh chủ của chư hầu cũng là phải thôi. Chết mà bỏ mặc dân, khiến tôi hiền chết theo. Vả lại các vị tiên vương băng còn để lại nhân đức, pháp độ. Huống chi lại bắt mất người tốt tôi hiền, khiến trăm họ thương tiếc? Do vậy biết Tần không thể đánh về phía đông được nữa.”
缪公子四十人，其太子(cid:0)代立，是为康公。	Mục công có bốn mươi người con. Con cả là Anh lên thay. Đây là Khang Công.
康公元年。	Khang công năm đầu.
往岁缪公之卒，晋襄公亦卒；襄公之弟名雍，秦出 也，在秦。	Năm trước Mục công mất, Tấn Tương công cũng mất. Em của Tương công tên là Ung, mẹ người Tần nên ở Tần.
晋 立襄公子而反击秦师，秦师败，随会来奔。	Tấn lập con của Tương công, đánh lại quân Tần. Quân Tần bại, Tùy Hội chạy theo.
晋人患随会在秦为乱，乃使魏雠馀 详反，合谋会，诈 而得会，会遂归晋。	Người Tấn lo Tùy Hội ở Tần làm loạn Tấn, bèn sai Ngụy Thù Dư giả bộ phản Tấn, bàn mưu với Hội, lừa được lòng Hội, Hội bèn về Tấn.
康公立十二年卒，子共公立。	Năm thứ mười hai, Khang công mất. Con là Cộng Công lên ngôi.
共公二年，晋赵穿弑其君灵公。	Cộng công năm thứ hai, Triệu Xuyên nước Tấn giết vua Tấn Linh công.
三年，楚庄王彊，北兵至雒，问 周鼎。	Năm thứ ba, Sở Trang vương lớn mạnh, đem quân lên phía bắc đến Lạc Ấp, hỏi đỉnh của nhà Chu.
共公立五年卒，子桓公立。	Cộng Công ở ngôi năm năm thì mất. Con là Hoàn công lên ngôi.
桓公三年，晋败我一将。	Hoàn công năm thứ ba, Tấn đánh bại một tướng của Tần.
二十四年，晋厉公初立，与秦桓公 夹河而盟。	Năm thứ hai mươi tư, Tấn Lệ công mới lên ngôi, cách Hoàng Hà hội thề cùng Tần Hoàn Công.
归而秦倍盟，与翟合谋击晋。	Khi về, Tần bội ước, cùng người Địch hợp mưu đánh Tấn.
桓公立二十七年卒，子景公立。	Hoàn công ở ngôi hai mươi bảy năm thì mất. Con là Cảnh công lên ngôi.
景公四年，晋栾书弑其君厉公。	Cảnh công năm thứ tư, Loan Thư nước Tấn giết vua Lệ công.
十五年，救郑，败晋兵於栎。	Năm thứ mười lăm, cứu Trịnh, đánh bại quân Tấn ở Lịch Ấp.
是时晋悼公为盟主。	Bấy giờ Tấn Điệu công làm minh chủ.
景公 母弟后子针有宠，景公母弟富，或谮之，恐诛，乃奔晋， 车重千乘。	Em cùng mẹ Cảnh công là Hậu Tử Chân được yêu sủng. Hậu Tử Châm, có người nói xấu, sợ bị giết, bèn chạy sang nước Tấn, xe chở nghìn cỗ.
三十九年，楚灵王彊，会诸侯於申， 为盟主，杀齐庆封。	Năm thứ ba mươi chín, Sở Linh vương lớn mạnh, họp chư hầu ở đất Thân, làm minh chủ, giết Khánh Phong nước Tề.
景公立四十年卒，子哀 公立。	Cảnh công ở ngôi bốn mươi năm thì mất. Con là Ai công lên ngôi.
十五年，楚平王欲诛 建，建亡；伍子胥奔吴。	Năm thứ mười lăm, Sở Bình vương muốn giết Kiến, Kiến trốn (đến nước Trịnh). Ngũ Tử Tư chạy đến nước Ngô.
晋公室卑而六卿 彊，欲内相攻，是以久秦晋不相攻。	Nước Tấn, tôn thất suy yếu mà lục khanh lớn mạnh, nội bộ đánh nhau, vì vậy một thời gian dài Tần Tấn không giao chiến.
三十一年，吴王阖闾与伍子胥伐 楚，楚王亡奔随，吴遂入郢。	Năm thứ ba mươi mốt, Ngô vương Hạp Lư và Ngũ Tử Tư đánh Sở, Sở vương bỏ chạy đến đất Tuy, quân Ngô bèn vào Dĩnh đô.
於 是秦乃发五百乘救楚， 败吴师。	Thế rồi Tần bèn cất năm trăm cỗ binh xa đi cứu Sở, đánh bại quân Ngô.
哀公立三 十六年卒。	Ai công ở ngôi ba mươi sáu năm thì mất.
惠公元年，孔子行鲁相事。	Huệ công năm đầu, Khổng Tử làm chức Tướng ở nước Lỗ.
惠公立十年卒，子悼公立。	Huệ công ở ngôi mười năm thì mất. Con là Điệu Công lên ngôi.
悼公二年，齐臣田乞弑其君孺子，立其兄阳生，是为悼公。	Điệu công năm thứ hai, bề tôi nước Tề là Điền Khất giết vua Nhụ Tử, lập người anh là Dương Sinh lên ngôi. Đây là (Tề) Điệu công.
齐人弑悼公，立其子简公。	Người Tề giết Điệu Công, lập con là Giản công lên ngôi.
九年，晋定公与吴王夫差 盟，争长於黄池，卒先吴。	Năm thứ chín, Tấn Định công cùng Ngô vương Phù Sai hội thề, tranh làm trưởng ở Hoàng Trì, cuối cùng Ngô vương (cắt máu) trước tiên.
十二年，齐田常弑简公，立其弟平公，常相之。	Năm thứ mười hai, Điền Thường nước Tề giết Giản công, lập người em là Bình công lên ngôi, Thường làm Tướng quốc.
十三年，楚 灭陈。	Năm thứ mười ba, Sở diệt Trần.
秦悼公立十四年卒，子厉共公立。	Tần Điệu công ở ngôi mười bốn năm thì mất. Con là Lệ Cộng công lên ngôi.
厉共公二年，蜀人来赂。	Lệ Cộng công năm thứ hai, người Thục tới cống.
厉共公卒，子躁公立。	Lệ Cộng công mất. Con là Táo công lên ngôi.
躁公二年，南郑反。	Táo công năm thứ hai, Nam Trịnh phản.
十三年，义渠来伐，至渭南。	Năm thứ mười ba, Nghĩa Cừ tới đánh, tới tận phía nam sông Vị.
十四年，躁公卒，立其弟怀公。	Năm thứ mười bốn, Táo công mất, lập em là Hoài công.
怀公四年，庶长晁 与大臣围怀公，怀公自杀。	Hoài công năm thứ tư, Thứ trưởng Triều cùng đại thần vây đánh Hoài công, Hoài công tự sát.
灵公，怀公孙也。	Linh công là cháu nội của Hoài công vậy.
灵公六年，晋城少梁，秦击之。	Linh công năm thứ sáu, Tấn xây thành Thiếu Lương, Tần tiến đánh.
十三年，城籍姑。	Năm thứ mười ba, xây thành Tịch Cô.
十六年卒，子惠 公立。	Năm thứ mười sáu mất. Con là Huệ công lên ngôi.
出子二年，庶长改迎灵公之子献公于河西而立之。	Xuất Tử năm thứ hai, Thứ trưởng Cải đón con của Linh Công là Hiến công ở Hà Tây đưa lên ngôi.
秦以往者数易君，君臣乖乱，故晋复彊，夺秦河西地。	Tần trước giờ mấy lần đổi vua, vua tôi rối loạn, nên Tấn lại lớn mạnh, chiếm đất Hà Tây của Tần.
二年，城栎阳。	Năm thứ hai, xây thành Lịch Dương.
四年正月庚寅，孝公生。	Ngày Canh Dần tháng Giêng năm thứ tư, Hiếu Công sinh.
十 六年，桃冬花。	Năm thứ mười sáu, đào nở hoa mùa đông.
孝公元年，河山以东彊国六，与齐威、 楚宣、魏惠、燕悼、韩哀、赵成侯并。	Hiếu công năm đầu, từ Hoàng Hà, Hào Sơn trở về phía đông có sáu nước lớn, (Tề Hiếu công) cùng sánh với Tề Uy vương, Sở Tuyên vương, Ngụy Huệ vương, Yên Điệu vương, Hàn Ai hầu, Triệu Thành hầu.
淮泗之间 小国十馀。	Vùng giữa sông Hoài, sông Tứ có hơn mười nước nhỏ.
孝公於是布惠，振孤寡，招战士，明功赏。	Hiếu công bấy giờ ban phát ơn huệ, cứu giúp kẻ góa con côi, chiêu mộ binh sĩ, định rõ việc luận công ban thưởng.
下令国中 曰：“昔我缪公自岐雍之间，修德行武，东平晋乱，以河为界， 西霸戎翟，广地千里，天子致伯，诸侯毕贺，为後世开 业，甚光美。会往者厉、躁、简公、出子之不宁，国家内忧，未遑外 事，三晋攻夺我先君河西地，诸侯卑秦、丑莫大焉。献公即位，镇抚 边境，徙治栎阳，且欲东伐，复缪公之故地，脩缪公之政令。寡人思 念先君之意，常痛於心。宾客群臣有能出奇计彊秦者，吾且尊官，与 之分土。”	Xuống lệnh cho cả nước nói: “Xưa đức Mục công ta dấy lên từ vùng Kỳ – Ung, sửa sang đức chính, rèn tập võ công, phía đông dẹp loạn nước Tấn, lấy Hoàng Hà làm ranh giới, phía tây xưng bá Nhung địch, mở rộng một nghìn dặm đất, thiên tử phong làm bá chủ, chư hầu thảy đến chúc mừng, mở cơ nghiệp cho đời sau, thật là rạng rỡ. Về sau các đời Lệ công, Táo công, Giản công, Xuất Tử chẳng yên, nước nhà nội loạn, khôn lo việc ngoài. Tam Tấn đánh chiếm đất Hà Tây của tiên quân ta, chư hầu khinh Tần, không gì nhục nhã hơn. Hiện công lên ngôi, giữ yên biên giới, dời đô Lịch Dương, còn muốn đánh về phía đông, lấy lại đất cũ của Mục công, sửa sang chính lệnh của Mục công. Quả nhân mỗi khi tưởng nhớ ý nguyện của tiên quân, thường đau đớn trong lòng. Các vị tân khách, quần thần có ai có thể đưa ra diệu kế giúp Tần lớn mạnh, ta sẽ trao chức quan cao, phong cho ruộng đất?”
卫鞅闻是令下，西入秦，因景监求见孝 公。	Vệ Ưởng hay tin lệnh này ban xuống, đi về phía tây vào đất Tần, thông qua Cảnh Giám cầu kiến Hiếu công.
卒用鞅法，百姓苦之；居三 年，百姓便之。	Rốt cuộc dùng cách của Ưởng, trăm họ khổ sở, qua ba năm, trăm họ đều thấy phù hợp.
七年，与魏惠王会杜平。	Năm thứ bảy, cùng Ngụy Huệ vương gặp gỡ ở Đỗ Bình.
十年，卫鞅为大良造，将兵围魏 安邑，降之。	Năm thứ mười, Vệ Ưởng làm Đại lương tạo, đem quân vây An Ấp của Ngụy, bức hàng.
二十二年，卫鞅击魏，虏魏公子卬。	Năm thứ hai mươi hai, Vệ Ưởng tấn công Ngụy, bắt Công tử Ngang của Ngụy.
孝公卒，子惠文君立。	Hiếu công mất, con là Huệ Văn Quân lên ngôi.
是岁，诛卫鞅。	Năm ấy, giết Vệ Ưởng.
鞅之初为秦施 法，法不行，太子犯禁。	Khi Ưởng bắt đầu thi hành biến pháp cho Tần, biến pháp chưa thi hành, thái tử đã phạm điều cấm.
及孝公卒，太子立，宗室多怨鞅，鞅亡，因以为反，而 卒车裂以徇秦国。	Đến khi Hiếu công mất, thái tử lên ngôi, tông thất có nhiều người oán Ưởng, Ưởng chạy trốn, nhân cho là phản bội, cuối cùng dòng xe xé xác, thị chúng Tần.
惠文君元年，楚、韩、赵、蜀人来朝。	Huệ Văn Quân năm đầu, người Sở, Hàn, Triệu, Thục đến chầu.
七年，公子卬与魏战， 虏其将龙贾，斩首八万。	Năm thứ bảy, Công tử Ngang cùng Ngụy giao chiến, bắt tướng Ngụy là Long Cổ, chém tám vạn thủ cấp.
八年，魏纳河西地。	Năm thứ tám, Ngụy nộp đất Hà Tây.
魏纳上郡十五县。	Ngụy nộp mười lăm huyện ở Thượng Quận.
二年，张仪与齐、楚大臣会齧桑。	Năm thứ hai, Trương Nghi cùng các đại thần nước Tề, Sở họp ở Khiết Tang.
三年， 韩、魏太子来朝。 张仪相魏。	Năm thứ ba, thái tử nước Hàn, Ngụy đến chầu, Trương Nghi làm Tướng nước Ngụy.
七年，乐池 相秦。	Năm thứ bảy, Nhạc Trì làm tướng nước Tần.
秦使庶长疾与战修鱼，虏其将申差， 败赵公子渴、韩太子奂，斩首八万二 千。	Tần sai Thứ trưởng Tật giao chiến ở Tu Ngư, bắt tướng (nước Hàn) là Thân Sai, đánh bại Công tử Khát nước Triệu, thái tử Hoán nước Hàn, chém tám vạn hai ngàn thủ cấp.
八年，张仪复相秦。	Năm thứ tám, Trương Nghi lại làm chức Tướng nước Tần.
九年，司马错伐蜀，灭之。	Năm thứ chín, Tư Mã Thố đánh Thục, diệt nước ấy.
十一年，醿里疾攻魏焦，降之。	Năm thứ mười một, Sư Lý Tật đánh đất Tiêu của Ngụy, bức hàng.
庶长疾攻赵， 虏赵将庄。	Thứ trưởng Tật đánh Triệu, bắt tướng Trang của Triệu.
楚围雍氏，秦使庶长 疾助韩而东攻齐，到满助魏攻燕。	Sở vây Ung Thị. Tần sai Thứ trưởng Tật giúp Hàn đánh Tề ở phía đông; sai Đáo Mãn giúp Ngụy đánh Yên.
武王元年，与魏惠王会临晋。	Võ vương năm đầu, hội kiến Ngụy Huệ vương ở Lâm Tấn.
三年，与韩襄王会临 晋外。	Năm thứ ba, cùng Hàn Tương vương hội kiến ở ngoài thành Lâm Tấn.
武王谓甘茂曰：“寡人欲容车通三川，窥周室，死不恨矣。”	Võ vương nói với Cam Mậu rằng: “Quả nhân muốn xe tang đi thông tới Tam Xuyên, nhòm xét nhà Chu, chết không hối tiếc.”
立异母 弟，是为昭襄王。	Lập em khác mẹ của Võ vương lên ngôi. Đây là Chiêu Tương vương.
昭襄母楚人，姓琇氏，号宣太 后。	Mẹ Chiêu Tương là người Sở, họ Mi, gọi là Tuyên thái hậu.
昭襄王元年，严君疾为相。	Chiêu Tương vương năm đầu, Nghiêm Quân Tật làm Tướng.
二年，彗星见。	Năm thứ hai, sao chổi mọc.
与楚王会黄棘， 与楚上庸。	Cùng Sở vương họp ở Hoàng Cức, trả Sở đất Thượng Dung.
六年，蜀侯煇反， 司马错定蜀。	Năm thứ sáu, Thục hầu tên là Huy làm phản, Tư Mã Thố dẹp yên đất Thục.
七年，拔新城。	Năm thứ bảy, đánh lấy Tân Thành.
八年，使将军 羋戎攻楚，取新市。	Năm thứ tám, sai tướng quân Mi Nhung đánh Sở, chiếm Tân Thị.
十 二年，楼缓免，穰侯 魏厓为相。	Năm thứ mười hai, Lâu Hoãn bị bãi chức, Nhương hầu Ngụy Nhiễm làm thừa tướng.
十四年，左更白起攻韩、魏 於伊阙， 斩首二十四万，虏公孙喜，拔五城。	Năm thứ mười bốn, Tả canh Bạch Khởi đánh Hàn, Ngụy ở Y Khuyết, chém hai mươi tư vạn thủ cấp, bắt Công Tôn Hỷ, chiếm năm thành.
十五年，大良造白起攻 魏，取垣， 复予之。 攻楚，取宛。	Năm thứ mười lăm, Đại lương tạo Bạch Khởi đánh Ngụy, chiếm Viên thành rồi trả lại; đánh Sở, chiếm Uyển thành.
厓免，封公子市宛，公子悝邓， 魏厓陶，为诸侯。	Nhiễm bị bãi chức. Phong Công tử Thị ở đất Uyển, Công tử Lý ở đất Đặng, Ngụy Nhiễm ở đất Đào, được làm chư hầu.
十七年，城阳君 入朝，及东周君来朝。	Năm thứ mười bảy, Thành Dương quân vào chầu và Đông Chu quân đến chầu.
十八年，错攻垣、 河雍，决桥取之。	Năm thứ mười tám, (Tư Mã) Thố đánh Viên thành, Hà Ung, phá cầu mà đánh.
齐破 宋，宋王在魏，死温。 任鄙卒。	Tề phá Tống, Tống vương chạy đến Ngụy, chết ở đất Ôn, Nhâm Bỉ mất.
二十一年， 错攻魏河内。	Năm thứ hai mươi mốt, Thố đánh đất Hà Nội của Ngụy.
魏献安邑，秦出其人，募徙河东赐爵，赦罪 人迁之。	Ngụy dâng An Ấp. Tần trục xuất dân đất ấy, chiêu mộ người (Tần) dời tới (vùng đất) từ Hoàng Hà về phía đông, ban cho tước vị, những tội nhân được tha miễn cũng dời đến đây.
河东为九县。	Từ Hoàng Hà trở về phía đông được chia làm chín huyện.
二十三年，尉斯离 与三晋、燕伐 齐，破之济西。	Năm thứ hai mươi ba, Đô úy Tư Ly cùng Tam Tấn và Yên đánh Tề, phá quân Tề ở phía tây sông Tế.
与韩王会新城，与魏王会 新明邑。	Cùng Hàn vương họp ở Tân Thành, cùng Ngụy vương họp ở ấp Tân Minh.
二十六年，赦罪人迁之穰。 侯厓复相。	Năm tới đất Nhương. Nhiễm hầu được khôi phục chức thừa tướng.
二十七年，错攻楚。	Năm thứ hai mươi bảy, (Tư Mã) Thố đánh Sở.
二十八年，大良 造白起攻楚，取鄢、邓，赦罪人迁之。	Năm thứ hai mươi tám, Đại lương tạo Bạch Khởi đánh Sở, chiếm đất Yên, Đặng, tha tội nhân cho dời tới đây.
楚人反我江南。	Người Sở làm phản ở Giang Nam.
三十二年，相穰侯攻魏，至大梁，破暴鸢，斩首四万，鸢 走，魏入三县请和。	Năm thứ ba mươi hai, thừa tướng Nhương Hầu đánh Ngụy, đến Đại thứ hai mươi sáu, tội nhân, cho dời tha Lương, phá quân của Bạo Diên, chém bốn vạn thủ cấp, Bạo Diên tháo chạy. Ngụy dâng ba huyện xin hòa.
三十三年，客卿胡攻魏卷、 蔡阳、长社，取之。	Năm thứ ba mươi ba, Khách khanh Hồ Dương đánh chiếm Quyển thành, Sái Dương, Trường Xã của Ngụy.
击芒卯华阳，破之， 斩首十五万。	Đánh tướng Mang Mão ở Hoa Dương, phá quân chúng, chém mười lăm vạn thủ cấp.
魏入南 阳以和。	Ngụy dâng đất Nam Dương xin hòa.
三 十四年，秦与魏、韩上庸地为一郡，南阳免臣迁居之。	Năm thứ ba mươi tư, Tần và Ngụy, Hàn yên ổn, đặt Thượng Dung (của Sở) làm một quận. Tha thần dân ở Nam Dương dời tới ở.
三十六年，客卿灶攻齐，取刚、寿， 予穰侯。 三十八 年，中更胡攻赵阏与， 不 能取。	Năm thứ ba mươi sáu, Khách khanh Táo đánh Tề, chiếm đất Cương, đất Thọ, trao cho Nhương Hầu, Năm thứ ba mươi tám, Trung canh Hồ Dương đánh ấp Át Dự của Triệu, không chiếm được.
叶阳君悝出之国，未至而 死。	Diệp Dương quân Lý dời đến nước phong, chưa tới thì chết.
四十七年，秦攻韩上党，上党降赵，秦因攻赵，赵发兵击秦，相 距。	Năm thứ bốn mươi bảy, Tần đánh Thượng Đảng của Hàn, Thượng Đảng đầu hàng Triệu, Tần nhân đó đánh Triệu. Triệu cất quân đánh Tần, cùng cầm cự nhau.
四十八年 十月，韩献垣雍。	Năm thứ bốn mươi tám, tháng Mười, Hàn dâng đất Viên Ung.
秦军分为三 军。	Quân Tần chia làm ba quân.
正月，兵罢，复守上党。	Tháng Giêng, bãi binh, đóng giữ Thượng Đảng.
其十月，五大夫陵攻赵邯郸。	Tháng Mười năm ấy, Ngũ đại phu (Vương) Lăng đánh thành Hàm Đan của Triệu.
张唐攻郑，拔之。	Trương Đường đánh Trịnh thành, chiếm được.
攻赵，取二十 馀县，首虏九万。	Đánh Triệu, chiếm hơn hai mươi huyện, chém và bắt chín vạn quân.
西周君背秦，与诸侯约从，将天下锐兵 出伊阙攻秦，令秦毋得通阳城。	Vua Tây Chu phản bội Tần, cùng chư hầu ước hẹn hợp tung, đem tinh binh trong thiên hạ xuất phát từ Y Khuyết đánh Tần, khiến Tần không thể thông tới Dương thành.
五十二年，周民东亡，其器九鼎入秦。 周初亡。	Năm thứ năm mươi hai, dân nhà Chu bỏ chạy về phương đông, các đồ thần khí, chín đỉnh được đưa vào Tần, Nhà Chu bắt đầu diệt vong.
五十六年秋，昭襄王 卒，子孝文王立。	Năm thứ năm mươi sáu, mùa thu, Chiêu Tương vương mất.
韩王衰绖入吊祠，诸侯皆使其将相来吊 祠，视丧事。	Hàn vương mặc áo tang vào phúng điếu, chư hầu đều sai quan tướng tới phúng điếu, dự việc tang.
孝文王元年，赦罪人，修先王功臣，襃厚亲戚，弛苑囿。	Hiếu Văn vương năm đầu, tha tội nhân, biểu dương công thần của tiên vương, hậu đãi thân thích, mở vườn thượng uyển.
孝文王 除丧，十月己亥即位，三日辛丑卒，子庄襄王立。	Hiếu Văn vương hết tang, vào ngày Kỷ Hợi tháng Mười thì lên ngôi, ba ngày sau, ngày Tân Sửu thì mất. Con là Trang Tương vương lên ngôi.
庄襄王元年，大赦罪人，修先王功臣，施德厚骨肉而布惠於民。	Trang Tương vương năm đầu, đại xá tội nhân, biểu dương Công thần của tiên vương, thi hành đức chính, hậu đãi cốt nhục, ban ơn cho dân.
秦界至大梁，初置三川郡。	Biên giới nước Tần tới Đại Lương, bắt đầu đặt quận Tam Xuyên.
二年，使蒙骜攻赵，定 太原。	Năm thứ hai, sai Mông Ngao đánh Triệu, dẹp yên Thái Nguyên.
三年，蒙骜攻魏高都、汲， 拔之。	Năm thứ ba, Mông Ngao đánh chiếm Cao Đô và huyện Cấp của Ngụy.
王龁 攻上党。 初置太原郡。	Vương Hột đánh Thượng Đảng, bắt đầu đặt quận Thái Nguyên.
魏将无忌率五国兵击秦， 秦卻於河外。	Tướng Ngụy là Vô Kỵ dẫn quân năm nước đánh Tần, Tần lui về phía nam Hoàng Hà.
五月丙午，庄襄王 卒，子政立，是为秦始皇帝。	Ngày Bính Ngọ tháng Năm, Trang Tương vương mất. Con là Chính lên ngôi. Đây chính là Tần Thủy Hoàng đế.
郑高渠眯杀其 君昭公。	Cao Cư Mị nước Trịnh giết vua là Chiêu Công.
晋献公卒。 立骊姬子奚齐，其臣里克杀奚齐。	Tấn Hiến công chết, lập con của Ly Cơ là Hề Tề lên ngôi, bề tôi nước ấy là Lý Khắc giết Hề Tề.
晋君从之。	Vua Tấn nghe theo.
当是时，晋文公丧尚未葬。	Lúc bấy giờ, Tấn Văn công mất còn chưa chôn.
六 年，吴败齐师。	Năm thứ sáu, Ngô đánh bại quân Tề.
简公六年，令吏初带剑。	Giản công năm thứ sáu, lệnh cho quan lại bắt đầu mang kiếm.
十八年，雨金栎阳。	Năm thứ mười tám, mưa vàng ở Lịch Dương.
甘龙、杜挚等弗然，相与争之。	Hiếu công cho rằng hay, nhưng đám Cam Long, Đỗ Chấp không cho là phải, tranh cãi lẫn nhau.
九年，渡河，取汾阴、 皮氏。	Năm thứ chín, vượt Hoàng Hà, lấy đất Phần Âm, Bì Thị.
义渠君为臣。	Vua Nghĩa Cừ xưng làm bề tôi.
四年，拔宜阳，斩首六万。 涉 河，城武遂。	Năm thứ tư, đánh hạ Nghi Dương, chém sáu vạn thủ cấp, vượt Hoàng Hà, xây thành Vũ Toại.
庶长奂伐楚，斩首二 万。	Thứ trưởng Hoán đánh Sở, chém hai vạn thủ cấp.
泾阳君质於齐。	Kinh Dương quân làm con tin ở Tề.
九年，孟尝君薛文来相秦。	Năm thứ chín, Mạnh Thường quân Tiết Văn đến làm Tướng nước Tần.
十六年，左更错 取轵及邓。	Năm thứ mười sáu, Tả canh Thố chiếm huyện Chỉ và huyện Đặng.
泾阳君封宛。	Kinh Dương quân được phong ở đất Uyển.
赦罪人迁之南阳。	Tha tội nhân, cho dời tới Nam Dương.
二十 九年，大良造白起攻楚，取郢为南郡， 楚王走。	Năm thứ hai mươi chín, Đại lương tạo Bạch Khởi đánh Sở, chiếm Dĩnh đô, đặt làm Nam quận. Sở vương bỏ chạy.
白起为武安君。	Bạch Khởi được phong làm Võ An quân.
三十年，蜀守若伐楚，取巫郡， 及江南为黔中 郡。	Năm thứ ba mươi, quan Thú đất Thục là Trương Nhược đánh Sở, chiếm Vu quận và Giang Nam, đặt làm quận Kiềm Trung.
初置南阳郡。	Bắt đầu đặt quận Nam Dương.
四十三年， 武安君白起攻韩，拔九城，斩首五万。	Năm thứ bốn mươi ba, Võ An quân Bạch Khởi đánh Hàn, hạ chín thành, chém năm vạn thủ cấp.
四十九年 正月，益发卒佐陵。	Năm thứ bốn mươi chín, tháng Giêng, cấp thêm quân giúp Lăng.
五十 年十月，武安君白起有罪，为士伍，迁阴密。	Năm thứ năm mươi, tháng Mười, Võ An quân Bạch Khởi phạm tội, giáng xuống làm lính thường, dời đến Âm Mật.
武安君白起有罪，死。	Võ An quân Bạch Khởi có tội, tự sát.
谢曰：“臣亡国之臣，何足 问！”	Bách Lý Hề cảm tạ nói: “Thần là bề tôi mất nước, đâu đáng hỏi.”
百里傒让曰：“臣不及臣友蹇 叔，蹇叔贤而世莫知。臣常游困於齐而乞食綍人， 蹇叔收 臣。臣因而欲事齐君无知，臣，臣得脱齐难，遂之周。周王子穨好 牛，臣以养牛干之。及穨欲用臣，蹇叔止蹇叔止臣，臣去，得不诛。 事虞君，蹇叔止臣。臣知虞君不用臣，臣诚私利禄爵，且留。再用其 言，得脱，一不用，及虞君难：是以知其贤。”	Bách Lý Hề khiêm nhường nói: “Thần không bằng bạn thân là Kiển Thúc. Kiển Thúc giỏi mà người đời không ai biết. Thần từng chịu cảnh khốn khó ở Tề, phải ăn xin người đất Chất. Kiển Thúc thu nhận thần. Thần nhân đó muốn phụng sự vua Vô Tri nước Tề. Kiển Thúc ngăn thần, thần mới thoát nạn ở Tề, đến đất Chu. Vương tử Đồi nhà Chu thích trâu, thần dùng thuật nuôi trâu cầu kiến. Kịp khi Đồi muốn dùng thần, Kiển Thúc lại ngăn thần. Thần bỏ đi mới không bị giết. Thần phụng sự vua Ngu, Kiển Thúc lại ngăn thần. Thần biết vua Ngu không trọng dụng thần. Thần thực vì tư lợi tước lộc mà tạm lưu lại. Thần hai lần nghe lời Kiến Thức thi được thoát, một lần không nghe thì gặp cái nạn của vua Ngu. Bởi vậy biết được sự tài giỏi của Kiển Thúc.”
