范雎者，魏人也，字叔。	Phạm Thư Phạm Thư người nước Ngụy, tự là Thúc.
蔡泽曰：“今主之亲忠臣 不忘旧故不若孝公、悼王、句践，而君之功绩爱信亲幸又不若商君、 吴起、大夫种，然而君之禄位贵盛，私家之富过於三子，而身不退 者，恐患之甚於三子，窃为君危之。语曰‘日中则移，月满则亏’。 物盛则衰，天地之常数也。进退盈缩，与时变化，圣人之常道也。 故‘国有道则仕，国无道则隐’。圣人曰‘飞龙在天，利见大 人’。‘不义而富且贵，於我如浮云’。今君之怨已雠而德已报，意 欲至矣，而无变计，窃为君不取也。且夫翠、鹄、犀、象，其处势非 不远死也，而所以死者，惑於饵也。苏秦、智伯之智，非不足以辟辱 远死也，而所以死者，惑於贪利不止也。是以圣人制礼节欲，取於民 有度，使之以时，用之有止，故志不溢，行不骄，常与道俱而不失， 故天下承而不绝。昔者齐桓公九合诸侯，一匡天下，至於葵丘之会， 有骄矜之志，畔者九国。吴王夫差兵无敌於天下，勇彊以轻诸侯，陵 齐晋，故遂以杀身亡国。夏育、太史噭 叱呼骇三 军，然而身死於庸夫。 此皆乘至盛而不返道理，不居卑退处 俭约之患也。夫商君为秦孝公明法令，禁奸本，尊爵必赏，有罪必 罚，平权衡，正度量，调轻重，决裂阡陌，以静生民之业而一其俗， 劝民耕农利土，一室无二事，力田稸积，习战陈之事，是以兵动而地 广，兵休而国富，故秦无敌於天下，立威诸侯，成秦国之业。功已成 矣，而遂以车裂。楚地方数千里，持戟百万，白起率数万之师以与楚 战，一战举鄢郢以烧夷陵，再战南并蜀汉。又越韩、魏而攻彊赵，北 阬马服，诛屠四十馀万之众，尽之于长平之下，流血成川，沸声若 雷，遂入围邯郸，使秦有帝业。楚、赵天下之彊国而秦之仇敌也，自 是之後，楚、赵皆慑伏不敢攻秦者，白起之势也。身所服者七十馀 城，功已成矣，而遂赐剑死於杜邮。吴起为楚悼王立法，卑减大臣之 威重，罢无能，废无用，损不急之官，塞私门之请，一楚国之俗，禁 游客之民，精耕战之士，南收杨越，北并陈、蔡，破横散从，使驰说 之士无所开其口，禁朋党以励百姓，定楚国之政，兵震天下，威服诸 侯。功已成矣，而卒枝解。大夫种为越王深谋远计，免会稽之危，以 亡为存，因辱为荣，垦草入邑， 辟地殖穀，率四方之士，专上下之力，辅句践之贤，报 夫差之雠，卒擒劲吴。令越成霸。功已彰而信矣，句践终负而杀之。 此四子者，功成不去，祸至於此。此所谓信而不能诎， 往而不能返者也。范蠡知之，超然辟世，长为 陶硃公。君独不观夫博者乎？或欲大投，或欲分功， 此皆君之所明知也。今君相 秦，计不下席，谋不出廊庙，坐制诸侯，利施三川，以实宜阳， 决羊肠之 险，塞太行之道，又斩范、中行之涂，六国不得合从，栈道千里，通 於蜀汉，使天下皆畏秦，秦之欲得矣，君之功极矣，此亦秦之分功之 时也。如是而不退，则商君、白公、吴起、大 夫种是也。吾闻之，‘鉴於水者见面之容，鉴於人者知吉与凶’。书 曰‘成功之下，不可久处’。四子之祸，君何居焉？君何不以此时归 相印，让贤者而授之，退而岩居川观，必有伯夷之廉，长为应侯。世 世称孤，而有许由、延陵季子之让，乔松之寿，孰与以祸终哉？即君 何居焉？忍不能自离，疑不能自决，必有四子之祸矣。易曰‘亢龙有 悔’，此言上而不能下，信而不能诎，往而不能自返者也。原君孰计 之！”	Sái Trạch nói: “Nay vua thân với trung thần không quên tình cũ chẳng bằng Hiếu công, Điệu vương, Câu Tiễn, còn công tích, lòng yêu mến, tin tưởng, thân thiết, sủng ái của ngài lại không bằng Thượng quân, Ngô Khởi, đại phu Văn Chủng, nhưng bổng lộc, tước vị, vẻ sang thịnh của ngài cùng sự giàu có của gia đình ngài còn hơn ba vị kia, mà bản thân không chịu lui, vậy nỗi lo sợ còn lớn hơn ba người kia, trộm thấy nguy thay cho ngài. Tục ngữ nói: 'Mặt trời lên đỉnh ắt phải ngả bóng, trăng đầy rồi vơi.' Vật cực thịnh sẽ chuyển sang suy, là lẽ thường của trời đất. Tiến thoái đầy vơi, tùy thời biến hóa, là đạo thường của thánh nhân vậy. Cho nên: 'Nước có đạo thì làm quan, nước vô đạo thì ở ẩn.' Thánh nhân nói: 'Rồng bay trên trời, thấy bậc đại nhân thì lợi.' Lại nói: 'Bất nghĩa mà được giàu sang, với ta chỉ như mây nổi.' Nay ngài thù đã báo, ơn đã đền, mong muốn đã đến tột bậc, nhưng không đổi kế, tôi trộm cho là không phải. Vả như con chim trả, chim hộc, tê giác, voi, chúng ở tình thế không thể không xa cái chết, còn nguyên nhân chết, vì bị mê hoặc vào mồi. Tài như Tô Tần, Trí bá, không phải không đủ để lánh nhục tránh chết, nhưng sở dĩ phải chết, vì ham lợi không dừng. Do đó thánh nhân chế lễ để tiết chế dục vọng, lấy của dân có chừng mực, sai dân phải đúng lúc, dùng dân có hạn mức, nên chí không quá lạm, làm mà không kiêu, thường theo đạo mà không xa lìa, cho nên thiên hạ nối theo không dứt. Xưa, Tề Hoàn công chín lần hội chư hầu, khuông phò thiên hạ, đến khi hội ở Quỳ Khưu, có chí kiêu căng, chín nước đều phản. Quân binh của Ngô vương Phù Sai, thiên hạ không ai địch nổi, kiểu dũng hùng mạnh nên khinh thường chư hầu, xâm lấn Tề và Tấn, dẫn đến thân chết nước mắt. Hạ Dục, Thái sử Kiểu quát tháo khiến ba quân kinh sợ, thế mà chết bởi kẻ tầm thường. Những người ấy đều khi công danh cực thịnh mà không quay lại cho hợp đạo lý, không lui về địa vị thấp, sống tiết kiệm nên chuốc họa vậy. Xét, Thương quân vì Tần Hiếu công làm sáng pháp lệnh, cấm tiệt điều gian, tước cao ắt thưởng, mang tội ắt phạt, cân bằng quyền hành, chuẩn hóa cân đong, điều chỉnh nặng nhẹ, xóa bỏ bờ ruộng, dân ổn định nghề nghiệp, phong tục được thống nhất, khuyến khích dân cày ruộng, tạo nguồn lợi từ đất, nhà không làm hai nghề, ra sức làm ruộng, tích trữ lương thực, tập luyện chiến trận, động binh thì đất được mở rộng, nghỉ binh thì nước giàu dân no, do đó Tần vô địch thiên hạ, lập uy với chư hầu, hoàn thành sự nghiệp nước Tần. Công lao đã thành, mà [Thương quân] bị dùng xe xé xác. Đất Sở vuông nghìn dặm, có trăm vạn quân, Bạch Khởi thống suất mấy vạn quân đánh Sở, đánh một trận hạ đất Yên, Dĩnh, thiêu rụi Di Lăng, lại đánh trận nữa, phía nam thôn tính đất Thục, Hán. Lại vượt Hàn và Ngụy, tấn công nước Triệu hùng mạnh, phía bắc chôn sống Mã Phục, làm cỏ hơn bốn mươi vạn quân dưới Trường Bình, máu chảy thành sông, tiếng vang như sấm, rồi vào bao vây Hàm Đan, khiến Tần có được đế nghiệp. Sở, Triệu là nước mạnh trong thiên hạ nhưng là thù địch của Tần, từ đó về sau, Sở và Triệu đều sợ phục, không dám đánh Tần, là nhờ cái thế của Bạch Khởi. Thu phục được hơn bảy mươi thành, công lao đã thành, mà bị ban kiếm bắt chết ở Đỗ Bưu. Ngô Khởi vì Sở Điệu vương lập pháp luật, giảm bớt uy quyền của đại thần, bãi bỏ người bất tài, phế truất kẻ vô dụng, dẹp các chức quan không cần thiết, chặn việc xin xỏ ở nhà riêng, thống nhất tục lệ nước Sở, cấm dân nhàn hạ du chơi, rèn sĩ dân giỏi nghề nông và đánh trận, nhờ thế nam được Dương Việt, bắc chiếm đất Trần và Sái, phá tan liên hoành, giải tán hợp tung, khiến kẻ sĩ du thuyết không có chỗ mở miệng, cấm bè đảng để khuyến khích trăm họ, ổn định chính sự nước Sở, quân binh chấn động thiên hạ, uy phục chư hầu. Công đã thành mà chết lìa tứ chi. Đại phu Văn Chủng tính mưu sâu kế xa cho Việt vương, phá giải nguy nan ở Cối Kê, lấy mất làm còn, chuyển nhục thành vinh, khai khẩn đất hoang nhập vào thành ấp, mở rộng đất trồng lương thực, thống lãnh kẻ sĩ bốn phương, tập trung sức lực trên dưới, phò tá Câu Tiễn hiền năng, báo được thù với Phù Sai, cuối cùng bắt sống Ngô vương hùng mạnh, khiến Việt hoàn thành nghiệp bá. Công đã rạng rỡ nhưng tin tưởng Việt vương, cuối cùng bị Câu Tiễn phụ bạc giết chết. Bốn người đó, công lao đã thành nhưng không bỏ đi, tai họa kéo đến thế đấy. Đó gọi là chỉ biết tin mà không thể bỏ, biết đi mà không thể trở lại vậy. Phạm Lãi hiểu điều đó, siêu thoát thế tục, mãi làm Đào Chu công. Ngài không xem việc đánh bạc chăng? Người muốn đặt lớn, người muốn chia nhỏ để đặt, đều là những điều ngài biết rõ cả. Nay ngài làm Tể tướng nước Tần, tính toán không rời khỏi chiếu, mưu sự không ngoài triều đường, ngồi khống chế chư hầu, lợi ích thi hành khắp Tam Xuyên, để tăng thực lực cho Nghi Dương, chặn chỗ hiểm Dương Trường, cắt đứt đường Thái Hàng, lại chặt đường đất Phạm và Trung Hành, sáu nước không thể hợp tung, ngàn dặm sạn đạo thông đến đất Thục đất Hán, khiến thiên hạ đều sợ Tần, điều Tần muốn đã đạt được, công của ngài đã tột bực, đây là lúc Tần chia nhỏ công lao. Thế mà không rút lui, sẽ giống Thương quân, Bạch công, Ngô Khởi và đại phu Văn Chủng vậy. Tôi nghe nói: 'Soi xuống mặt nước, thấy mặt mình; soi vào người khác, biết cát hung.' [Kinh] Thư viết: 'Công lao đã thành, không thể ở lâu.' Họa của bốn người kia, sao ngài lại dự vào? Sao ngài không nhân lúc này trả ấn tướng, chọn người hiền mà trao cho họ, lui về ở nơi núi sông, ắt được tiếng liêm khiết như Bá Di, mãi làm Ứng hầu, đời đời xưng 'cô', mà có tiếng biết nhường người hiền như Hứa Do, Diên Lăng Quý tử, được thọ của Kiều Tùng, hay để cuối cùng chuốc họa? Sao ngài dự vào họa đó? Lưu luyến không nỡ rời đi, nghi ngờ không sao tự quyết, ắt chịu họa như bốn người kia. [Kinh] Dịch viết: 'Rồng bay quá cao ắt có điều hối hận', ấy nói ở trên không thể xuống dưới, tin mà không chịu bỏ, qua mà không lại vậy. Xin ngài hãy tính đi!”
应侯曰：“善。吾闻‘欲而不知，失其所以欲；有而不知，失 其所以有’。先生幸教，雎敬受命。’於是乃延入坐，为上客。 後数日，入朝，言於秦昭王曰：“客新有从山东来者曰蔡泽，其 人辩士，明於三王之事，五伯之业，世俗之变，足以寄秦国之政。臣 之见人甚众，莫及，臣不如也。臣敢以闻。”	Ứng hầu nói: “Phải lắm. Ta nghe: 'Ham muốn mà không biết đủ, mất cả ham muốn; có mà không biết dừng, mất cả cái có.' May được tiên sinh chỉ giáo, Thư xin kính cẩn nghe theo.” Thế rồi mời [Sái Trạch] vào chỗ ngồi, tôn làm thượng khách. Mấy hôm sau, [Phạm Thư] vào triều, nói với Tần Chiêu vương: “Mới có khách từ phía đông Hào Sơn đến là Sái Trạch, người này là biện sĩ, hiểu rõ việc thời Tam vương, nghiệp đời Ngũ bá, sự thay đổi của thế tục, đáng để gửi gắm chính sự nước Tần. Thần từng thấy nhiều người nhưng không ai bằng, thần cũng không bằng. Thần dám xin tâu lên bệ hạ.”
秦昭王召见，与语，大 说之，拜为客卿。	Tần Chiêu vương cho triệu Sái Trạch, cùng nói chuyện, rất thích, cho làm khách khanh.
应侯因谢病请归相印。	Ứng hầu nhân đó thác bệnh xin trả ấn tướng.
昭王彊起应侯，应侯遂称病 笃。	Chiêu vương ép Ứng hầu dậy, Ứng hầu viện cớ bệnh nặng.
范雎免相，昭王新说蔡泽计画，遂拜为秦相，东收周室。	Phạm Thư thôi chức Tể tướng, Chiêu vương thích kế mới của Sái Trạch, bèn phong làm Tể tướng nước Tần, hướng về phía đông thu phục nhà Chu.
蔡泽相秦数月，人或恶之，惧诛，乃谢病归相印，号为纲成君。	Sái Trạch làm Tể tướng nước Tần được mấy tháng, có người ghét, sợ bị giết, bèn thác bệnh trả lại ấn tướng, hiệu là Cương Thành quân.
居秦十馀年，事昭王、孝文王、庄襄王。	Ở Tần hơn mười năm, thờ Chiêu vương, Hiếu Văn vương, Trang Tương vương.
卒事始皇帝，为秦使於燕， 三年而燕使太子丹入质於秦。	Sau cùng thờ Thủy hoàng đế, thay mặt Tần đi sứ nước Yên, ba năm sau Yên sai Thái tử Đan vào làm con tin ở Tần.
范 雎、蔡泽世所谓一切辩士，然游说诸侯至白首无所遇者，非计策之 拙，所为说力少也。	Phạm Thư, Sái Trạch đều là biện sĩ một đời, du thuyết chư hầu đến bạc đầu mà không được dùng, không phải vì kế của họ dở, mà vì nước du thuyết sức kém.
及二人羁旅入秦，继踵取卿相，垂功於天下者， 固彊弱之势异也。	Đến khi hai người làm khách ở Tần, nối gót làm khanh tướng, để lại công cho thiên hạ, vốn vì thế mạnh yếu khác nhau vậy.
然士亦有偶合，贤者多如此二子，不得尽意，岂可 胜道哉！	Nhưng kẻ sĩ cũng có khi tình cờ gặp thời, người hiền năng như hai ông có nhiều, không thỏa ý mình há kể xiết nổi!
穰侯，华阳君， 昭王母宣太后之弟也；而泾阳君、高陵君皆昭王同母弟 也。	Nhưỡng hầu, tức Hoa Dượng quân, em Tuyên thái hậu, mẹ Tần Chiêu vương; còn Kinh Dương quân, Cao Lăng quân đều là em cùng mẹ Chiêu vương.
於是废太后，逐穰侯、高陵、华阳、泾阳君於 关外。	Thế rồi phế truất Thái hậu, đuổi Nhương hầu, Cao Lăng, Hoa Dương, Kinh Dương ra ngoài quan ải.
到关，关阅其宝器，宝器珍怪多於王室。	Đến quan ải, quan coi ải xét, bảo vật quý báu nhiều hơn cả vương thất.
信陵君大 惭，驾如野迎之。	Tín Lăng quân cả thẹn, lên xe ra ngoài thành đón.
蔡泽入，则揖应。	Sái Trạch tới, bèn chào ứng hầu.
蔡泽复曰：“富贵显荣， 成理万物，使各得其所；性命寿长，终其天年而不夭伤；天下继其 统，守其业，传之无穷；名实纯粹，泽流千里， 世世称之而无绝，与天地终始：岂道德之符而圣人所谓吉祥 善事者与？”	Sái Trạch lại nói: “Sang giàu vinh hiển, trị lý muôn vật, khiến thảy được ổn thỏa; tính mệnh trường thọ, trọn được tuổi trời, không phải chết yểu; thiên hạ nối được trường mối, giữ được cơ nghiệp, truyền mãi vô cùng; danh và thực đều toàn vẹn, phúc trạch lan đến ngàn dặm, đời đời xưng tụng không dứt, trọn vẹn cùng trời đất; há chẳng hợp đạo đức còn thánh nhân gọi là điềm lành, việc tốt ư?”
於是应侯称善。	Lúc này Ứng hầu mới khen giỏi.
蔡泽曰：“今主亲忠臣， 不过秦孝公、楚悼王、越王，君之设智，能为主安危修政，治乱彊 兵，批患折难， 广地殖穀，富国足家，彊主，尊社稷，显宗庙，天下莫敢欺犯其 主，主之威盖震海内，功彰万里之外，声名光辉传於千世，君孰与商 君、吴起、大夫种？”	Sái Trạch nói: “Đại vương nay thân cận tôi trung không hơn Tần Hiếu công, Sở Điệu công, Việt vương; tài trí của ngài có thể vì an nguy của vua mà sửa sang chính sự, yên loạn cương binh, ngăn lo dẹp nạn, mở đất trồng lúa, khiến nước giàu nhà đủ, vua mạnh, xã tắc được đề cao, tông miếu được rạng rỡ, thiên hạ không ai dám lừa dối xúc phạm vua minh, uy nghiêm nhà vua chấn động bốn bể, công lao chói ngời vạn dặm, thanh danh rạng rỡ nghìn đời, ngài với Thương quân, Ngô Khởi, đại phu Văn Chủng ai hơn?”
太史公曰：韩子称“长袖善舞，多钱善贾”，信哉是言也！	Thái sử công bàn rằng: Hàn Phi tử nói: “Người ống tay áo dài giỏi múa, người nhiều tiền giỏi bán buôn,” lời ấy đáng tin thay!
而坐须贾於堂下，置(cid:0)豆其前，令两黥徒夹而马食之。	Bắt Tu Giả ở dưới nhà, đổ rau đậu trước mặt, sai hai tội đồ bị thích chữ vào mặt kẹp hai bên, bắt ăn như cho ngựa ăn.
後五年，昭王用应侯谋，纵反间卖赵，赵以其故，令马服子 代廉颇将。	Năm năm sau, Chiêu vương theo kế của ứng hầu, tung phản gián mua chuộc Triệu, Triệu vì thế sai Mã Phục Tử cầm quân thay Liêm Pha.
