第一回宴桃园豪杰三结义斩黄巾英雄首立功	HỒI 1 Tiệc vườn đào, anh hùng kết nghĩa; Chém Khăn Vàng, hào kiệt lập công.
云纵马过桥，行二十余里，见玄德与众人憩于树下。 云下马伏地而泣。	Vân tế ngựa qua cầu, đi được hơn hai mươi dặm, thì gặp Huyền Đức cùng mọi người đang nghỉ dưới gốc cây.
玄德亦泣。 云喘息而言曰：“赵云之罪，万死犹轻！	Vân xuống ngựa thụp xuống đất khóc.
糜夫人身带重伤，不肯上马，投井而死，云只得推土墙掩之。	Huyền Đức cũng khóc. Vân thở hổn hển nói: - Tội Vân chết vạn lần cũng còn nhẹ.
怀抱公子，身突重围；赖主公洪福，幸而得脱。	My phu nhân vì bị thương nặng, không chịu lên ngựa, nên gieo mình xuống giếng tự vẫn.
适来公子尚在怀中啼哭，此一会不见动静，多是不能保也。”	Vân phải đạp đổ bức tường đất để lấp giếng đi.
遂解视之，原来阿斗正睡着未醒。	Bụng mang công tử, mình phá vòng vây, nhờ hồng phúc của chúa công, may mắn thoát nạn.
云喜曰：“幸得公子无恙！” 双手递与玄德。	Vừa nãy công tử còn oe oe ở trong bọc, bây giờ không thấy động đậy gì nữa, hay là thế nào rồi đây... Vân vội cởi bọc ra xem, thì A Đẩu vẫn ngủ say, Vân mừng rỡ nói: - May quá công tử không việc gì!
玄德接过，掷之于地曰：“为汝这孺子，几损我一员大将！”	Rồi hai tay nâng đưa cho Huyền Đức. Huyền Đức đỡ lấy A Đẩu, rồi ném phịch xuống đất nói: - Vì mày suýt nữa ta mất một viên đại tướng!
赵云忙向地下抱起阿斗，泣拜曰：“云虽肝脑涂地，不能报也！” 后人有诗曰：“曹操军中飞虎出，赵云怀内小龙眠。	Triệu Vân vội vàng cúi xuống đất ôm lấy A Đẩu, khóc lạy, nói: - Vân dù gan óc lầy đất, cũng không đủ báo được! Người sau có thơ rằng: Hổ thiêng vùng vẫy trong quân háo, Rồng nhỏ nằm tròn bọc Tử Long.
无由抚慰忠臣意，故把亲儿掷马前。	Trung ấy lấy gì yên ủi được, Ném con thu lấy bụng anh hùng.
却说文聘引军追赵云至长坂桥，只见张飞倒竖虎须，圆睁环眼，手绰蛇矛，立马桥上，又见桥东树林之后，尘头大起，疑有伏后，便勒住马，不敢近前。 俄而曹仁、李典、夏侯惇、夏侯渊、乐进、张辽、张郃、许褚等都至。	Lại nói, Văn Sính đem quân đuổi theo Triệu Vân đến cầu Trường Bản, thì gặp Trương Phi, râu hùm vểng ngược, hai mắt trợn trừng, tay cầm xà mâu, cưỡi ngựa đứng sừng sững trên cầu. Lại thấy sau rừng ở mé đông cầu, bụi bay mù mịt, Sính tưởng có quân phục, dừng ngay ngựa lại, không dám tiến nữa. Một lát, Tào Nhân, Lý điền, Hạ Hầu Đôn, Hạ Hầu Uyên, Nhạc Tiến, Trương Kiên, Hứa Chử lũ lượt kéo đến.
见飞怒目横矛，立马于桥上，又恐是诸葛孔明之计，都不敢近前。	Trương Phi vẫn cứ trợn mắt, cầm ngang ngọn mâu đứng sững trên cầu.
扎住阵脚，一字儿摆在桥西，使人飞报曹操。	Tướng Tào thấy vậy, ai cũng sợ là mẹo của Khổng Minh không dám tiến gần nữa và bày thành thế trận.
操闻知，急上马，从阵后来。	Các tướng Tào đứng dàn hàng chữ nhất ở bên tây cầu, rồi sai người phi ngựa báo với Tào Tháo.
张飞睁圆环眼，隐隐见后军青罗伞盖、旄钺旌旗来到，料得是曹操心疑，亲自来看。	Tháo nghe tin cũng lật đật lên ngựa chạy đến. Trương Phi trợn mắt tròn xoe trông thấy hậu quân có tán vóc vàng, mao, việt, tinh, kỳ: đoán biết là Tào Tháo hoài nghi nên đến xem,
飞乃厉声大喝曰：“我乃燕人张翼德也！	Phi bèn thét lên một tiếng cực to rằng: - Ta là Trương Dực Đức nước Yên đây!
谁敢与我决一死战？” 声如巨雷。	Ai dám cùng ta quyết một trận tử chiến nào?
曹军闻之，尽皆股栗。	Tiếng Phi to như tiếng sấm, quân Tào nghe thấy run cầm cập.
曹操急令去其伞盖，回顾左右曰：“我向曾闻云长言：翼德于百万军中，取上将之首，如探囊取物。	Tào Tháo vội sai cụp tán xuống, ngoảnh lại bảo tả hữu: - Bây giờ ta mới nhớ lời Vân Trường nói khi trước rằng Trương Dực Đức ở trong đám quân trăm vạn, lấy đầu thượng tướng như thò tay vào túi lấy đồ vật.
今日相逢，不可轻敌。”	Nay gặp Dực Đức không nên khinh địch.
言未已，张飞睁目又喝曰：“燕人张翼德在此。	Nói chưa dứt lời, Trương Phi lại trợn mắt quát một tiếng nữa: - Trương Dực Đức người nước Yên đây!
谁敢来决死战？”	Ai dám cùng ta quyết một trận tử chiến nào?
曹操见张飞如此气概，颇有退心。	Tào Tháo thấy Trương Phi kiêu dũng như thế, có ý muốn lui.
飞望见曹操后军阵脚移动，乃挺矛又喝曰：“战又不战，退又不退，却是何故！” 喊声未绝，曹操身边夏侯杰惊得肝胆碎裂，倒撞于马下。	Trương Phi thấy sau trận Tào hơi rục rịch, lại vác mâu quát to: - Đánh cũng không đánh, lui cũng chẳng lui, là cớ làm sao? Phi quát chưa dứt tiếng, Hạ Hầu Kiệt ở bên cạnh Tào Tháo khiếp sợ quá, đứt ruột vỡ gan, ngã nhào xuống ngựa.
操便回马而走。	Thào liền quay ngựa chạy.
于是诸军众将一齐望西奔走。	Quân tướng Tháo thấy vậy cũng nhằm hướng tây chạy cả.
正是：黄口孺子，怎闻霹雳之声；病体樵夫，难听虎豹之吼。 一时弃枪落盔者，不计其数，人如潮涌，马似山崩，自相践踏。 后人有诗赞曰：“长坂桥头杀气生，横枪立马眼圆睁。	Thật là: Đứa con nít miệng còn hôi sữa, chịu làm sao được tiếng sấm sét; kẻ tiều phu ốm yếu sao chịu nổi tiếng gầm của hổ báo? Lúc ấy, người vứt giáo, kẻ rớt mũ, không biết bao nhiêu mà kể.
一声好似轰雷震，独退曹家百万兵。	Người như nước trào, ngựa như núi lở, quân lính giày xéo lên nhau. Đời sau có thơ rằng: Trường Bản cầu này sát khí sinh, Ngang mâu, chững ngựa, mắt long lanh. Bên tai một tiếng vang như sấm, Khiếp vía quân Tào vội rút nhanh.
却说曹操惧张飞之威，骤马望西而走，冠簪尽落，披发奔逃。 张辽、许褚赶上，扯住辔环。	Tào Tháo sợ oai Trương Phi, tế ngựa chạy về tây, mũ trâm rơi cả, đầu tóc rũ rượi. Trương Liêu, Hứa Chử phải chạy lên giữ lấy dây cương.
曹操仓皇失措。 张辽曰：“丞相休惊。 料张飞一人，何足深惧！	Trương Liêu thấy Tào Tháo rụng rời, hết vía bèn nói rằng: - Thừa tướng đừng sợ, Trương Phi chỉ có một mình thôi!
今急回军杀去，刘备可擒也。”	Giờ ta quay binh lại đánh, chắc bắt được Lưu Bị. Tháo bấy giờ mới hoàn hồn, sai ngay Trương Liêu, Hứa Chử trở lại cầu Trường bản xem sao.
曹操神色方才稍定，乃令张辽、许褚再至长坂桥探听消息。 且说张飞见曹军一拥而退，不敢追赶；速唤回原随二十余骑，解去马尾树枝，令将桥梁拆断，然后回马来见玄德，具言断桥一事。	Nói về trương Phi thấy quân Tào xô nhau chạy cả, không dám duổi theo, liền truyền cho hai mươi tên kỵ mã đương tế ngựa sau rừng, cởi những cành cây buộc ở đuôi ngựa ra, chặt phá cầu đi, rồi về ra mắt Huyền Đức, thuật lại việc chặt cầu. Huyền Đức nói: - Em ta dũng cảm thì dũng cảm thực, nhưng tiếc vì mưu mẹo kém.
玄德曰：“吾弟勇则勇矣，惜失于计较。” 飞问其故。	Phi hỏi sao, Huyền Đức nói: - Tào Tháo khôn lắm, em chặt cầu đi, tất hắn sắp đem quân đuổi đến bây giờ.
玄德曰：“曹操多谋。	Phi nói: - Tôi quát mấy tiếng, đẩy lui hắn mấy dặm, đâu còn dám quay đầu lại? Huyền Đức nói: - Giá em để nguyên cái cầu, thì hắn tưởng có quân mai phục tất không dám sang.
汝不合拆断桥梁，彼必追至矣。”	Nay chặt cầu đi, hắn biết mình ít quân sợ hãi, tất hắn đuổi theo.
飞曰：“他被我一喝，倒退数里，何敢再追？”	Mà quân hắn hàng trăm vạn, dẫu có qua sông Trường Giang, sông Hàn Thủy thì lấy người mà lấp cũng được, một cái cầu gãy có coi mùi gì?
玄德曰：“若不断桥，彼恐有埋伏，不敢进兵，今拆断了桥，彼料我无军而怯，必来追赶。 彼有百万之众，虽涉江汉，可填而过，岂惧一桥之断耶？” 于是即刻起身，从小路斜投汉津，望沔阳路而走。	Nói xong lập tức dẫn cả ra bọn theo đường nhỏ ra Hán Tân theo lối Miện Dương.
却说曹操使张辽、许褚探长坂桥消息，回报曰：“张飞已拆断桥梁而去矣。	Trương Liêu, Hứa Chử đi dò xem tin tức cầu Trường Bản, về báo rằng: - Trương Phi đã chặt cầu và đi rồi.
操曰：“彼断桥而去，乃心怯也。”	Tháo nói: - Nếu hắn chặt cầu tức là có ý sợ rồi.
遂传令差一万军，速搭三座浮桥，只今夜就要过。 李典曰：“此恐是诸葛亮之诈谋，不可轻进。” 操曰：“张飞一勇之夫，岂有诈谋！” 遂传下号令，火速进兵。	Bèn truyền lệnh hỏa tốc tiến quân.
却说玄德行近汉津，忽见后面尘头大起，鼓声连天，喊声震地。 玄德曰：“前有大江，后有追兵，如之奈何？” 急命赵云准备抵敌。 曹操下令军中曰：“今刘备釜中之鱼，阱中之虎；若不就此时擒捉，如放鱼入海，纵虎归山矣。	Huyền Đức đi gần đến Hán Tân, bỗng thấy phía sau bụi bay mù mịt, trống đánh vang trời, tiếng reo dậy đất liền nói: - Trước mặt có sông ta ngăn trở, sau lưng có quân đuổi theo, làm thế nào bây giờ?
众将可努力向前。”	Rồi vội vàng sai Triệu Vân chuẩn bị cự địch.
众将领命，一个个奋威追赶。 忽山坡后鼓声响处，一队军马飞出，大叫曰：“我在此等候多时了！”	Tào Tháo truyền lệnh trong quân rằng: - Nay Lưu Bị như cá trong chậu, như hổ trong cũi nếu không bắt sống lúc này thì khác nào thả cá xuống biển, đuổi hổ về rừng, các tướng nên cố sức! Quân tướng nghe vậy, ai cũng cố sức đuổi riết.
当头那员大将，手执青龙刀，坐下赤兔马，原来是关云长，去江夏借得军马一万，探知当阳长坂大战，特地从此路截出。 曹操一见云长，即勒住马回顾众将曰：“又中诸葛亮之计也！”	Bỗng sau núi tiếng trống nổi lên, một đội quân mã kéo ra, gọi to lên rằng: - Ta đợi đây đã lâu rồi! Tướng đi đầu là Vân Trường, tay vác đao thanh long, cưỡi ngựa xích thố, sang Giang Hạ, mượn được một vạn quân mã, về đến nửa đường dò biết được tin đánh nhau ở Đương Dương, Trường Bản, nên từ đường ấy đánh lại. Tào Tháo trông thấy Vân Trường, lập tức dừng ngựa, ngoảnh lại bảo các tướng rằng: Lại mắc mẹo của Gia Cát Lượng rồi!
传令大军速退。	Liền cấp tốc truyền lệnh đại quân rút lui.
云长追赶十数里，即回军保护玄德等到汉津，已有船只伺候，云长请玄德并甘夫人、阿斗至船中坐定。	Vân Trường đuổi theo hơn mười dặm, rồi trở lại bảo vệ bọn Huyền Đức đến Hán Tân. Tới nơi, thấy bè đã trực sẵn rồi, Vân Trường mời Huyền Đức, Cam phu nhân và A Đẩu xuống ngồi yên ổn dưới thuyền. Vân Trường hỏi rằng: Chị hai sao không có ở đây?
云长问曰：“二嫂嫂如何不见？” 玄德诉说当阳之事。 云长叹曰：“曩日猎于许田时，若从吾意，可无今日之患。” 玄德曰：“我于此时亦投鼠忌器耳。”	Huyền Đức bèn thuật lại chuyện ở Đương Dương.
正说之间，忽见江南岸战鼓大鸣，舟船如蚁，顺风扬帆而来。 玄德大惊。	Vân Trường than rằng: - Khi trước săn ở Hứa Điền, nếu theo ý tôi, bây giờ đâu có tai họa này!
船来至近，只见一人白袍银铠，立于船头上大呼曰：“叔父别来无恙！” 小侄得罪。”	Huyền Đức nói: - Ta biết vậy, nhưng lúc đó "Ném chuột sợ vỡ đồ quý" đấy thôi.
玄德视之，乃刘琦也。 琦过船哭拜曰：“闻叔父困于曹操，小侄特来接应。” 玄德大喜，遂合兵一处，放舟而行。	Còn đương nói chuyện, bỗng thấy trên bờ nam trống trận thùng thùng, thuyền bè như kiến, thuận buồm xuôi gió đương vùn vụt kéo đến.
在船中正诉情由，江西南上战船一字儿摆开，乘风唿哨而至，刘琦惊曰：“江夏之兵，小侄已尽起至此矣。	Huyền Đức giật mình. Khi thuyền lại gần, thấy một tướng mặc bào trắng, giáp bạc, đứng tên mũi thuyền lên tiếng hỏi rằng: - Thúc phụ lâu nay mạnh khỏe chứ?
今有战船拦路，非曹操之军，即江东之军也，如之奈何？”	Cháu thật có tội to!
玄德出船头视之，见一人纶巾道服，坐在船头上，乃孔明也，背后立着孙乾。	Trông ra thì là Lưu Kỳ. Kỳ sang thuyền khóc lạy nói: - Được tin thúc phụ bị khốn với Tào Tháo, nên cháu đem quân lại tiếp ứng.
玄德慌请过船，问其何故却在此。	Huyền Đức mừng lắm. Hai bên hội quân làm một rồi phóng thuyền đi.
孔明曰：“亮自至江夏，先令云长于汉津登陆地而接。 我料曹操必来追赶，主公必不从江陵来，必斜取汉津矣；故特请公子先来接应，我竟往夏口，尽起军前来相助。”	Đương đi, bỗng lại thấy phía tây nam có một đội chiến thuyền xếp hàng chữ nhất theo gió lướt tới. Lưu Kỳ giật mình nói: - Quân Giang Hạ cháu đã huy động hết đến đây rồi, nay lại có chiến thuyền đến chặn đường, nếu không phải là quân Tào Tháo tất là của Giang Đông thôi, làm thế nào bây giờ?
玄德大悦，合为一处，商议破曹之策。	Huyền Đức ra ngoài đứng trông thì thấy một người khăn lượt, áo bào ngồi ở mũi thuyền, té ra là Khổng Minh, có Tôn Giang đứng sau lưng. Huyền Đức vội vàng mời sang thuyền, hỏi sao lại đến đây.
孔明曰：“夏口城险，颇有钱粮，可以久守。	Khổng Minh nói: - Lượng đến Giang Hạ trước hết sai Vân Trường về Hán Tân để lên bộ tiếp ứng. Tôi cũng đoán Tào Tháo thế nào cũng đuổi theo, chúa công thì không đi về Giang Lăng làm gì, tất thế nào cũng tìm đường tắt về Hán Tân; nên tôi mời công tử đến trước để tiếp ứng, còn tôi thì ra Hạ Khẩu đem hết quân lại đây giúp đỡ.
请主公且到夏口屯住。	Huyền Đức mừng rỡ, hội quân làm một, rồi bàn kế phá Tào Tháo. Khổng Minh nòi: - Thành Hạ Khẩu hiểm trở, lại nhiều lương thảo có thế giữ được lâu. Xin chúa công hãy đến đóng đồn ở đó.
公子自回江夏，整顿战船，收拾军器，为掎角之势，可以抵当曹操。	Công tử về ngay Giang Hạ, thu xếp chiến thuyền, sắm sửa khí giới làm thế ỷ đốc, mời có thể chống cự được Tào Tháo.
若共归江夏，则势反孤矣。”	Nếu về cả Giang Hạ thì cô thế lắm!
刘琦曰：“军师之言甚善。 但愚意欲请叔父暂至江夏；整顿军马停当，再回夏口不迟。”	Lưu Kỳ nói: - Quân sư dạy rất phải, nhưng tôi lại muốn mời thúc phụ hãy tạm đến Giang Hạ, thu xếp quân mã đâu đấy đã, rồi sẽ về Hạ Khẩu cũng vừa.
玄德曰：“贤侄之言亦是。”	Huyền Đức nói: - Cháu nói cũng phải!
遂留下云长，引五千军守夏口。 玄德、孔明、刘琦共投江夏。	Rồi sai ngay Vân Trường lĩnh năm nghìn quân đến giữ Hạ Khẩu; Huyền Đức, Khổng Minh, và Lưu Kỳ cùng sang Giang Hạ.
却说曹操见云长在旱路引军截出，疑有伏兵，不敢来追；又恐水路先被玄德夺了江陵，便星夜提兵赴江陵来。 荆州治中邓义、别驾刘先，已备知襄阳之事，料不能抵敌曹操，遂引荆州军民出郭投降。	Hãy nói, Tào Tháo gặp Vân Trường chặn mất đường, nghi có quân mai phục, không dám đuổi theo; lại sợ đường thủy bị Huyền Đức cướp mất Giang Lăng trước, nên cấp tốc kéo quân đến Giang Lăng.
曹操入城、安民已定，释韩嵩之囚，加为大鸿胪。	Quan thị trung là Đặng Nghĩa và quan biệt giá là Lưu Tiên đã biết hết việc Tương Dương rồi, liệu không địch nổi với Tào Tháo, bèn dẫn quân dân Kinh Châu ra hàng. Tào Tháo vào thành yên dân xong, tha cho Hàn Tung bị giam và phong cho làm đại hồng lô. Các quan viên đều được phong thưởng cả.
其余众官，各有封赏。 曹操与众将议曰：“今刘备已投江夏，恐结连东吴，是滋蔓也，当用何计破之？” 荀攸曰：“我今大振兵威，遣使驰檄江东，请孙权会猎于江夏，共擒刘备，分荆州之地，永结盟好。	Tào Tháo bàn với các tướng rằng: - Nay Lưu Bị đã sang Giang Hạ, sợ hắn cấu kết với Đông Ngô, thì càng khó trị, phải tìm kế trừ ngay đi mới được. Tuân Du nói: - Nay nên huy động đại quân để ra oai rồi sai người đưa hịch đến Giang Đông, mời Tôn Quyền hội săn ở Giang Hạ, cùng bắt Lưu Bị, chia sẻ Kinh Châu và kết đồng minh vĩnh viễn với nhau.
孙权必惊疑而来降，则吾事济矣。”	Tôn Quyền tất sợ hãi lại hàng, thì việc của ta chắc thành công.
操从其计，一面发檄遣使赴东吴；一面计点马步水军共八十三万，诈称一百万，水陆并进，船骑双行，沿江而来，西连荆、峡、东接蕲、黄、赛栅联络三百余里。	Tháo nghe kế ấy, lập tức ra hịch sai sứ sang Giang Đông, một mặt điểm quân mã, quân bộ và quân thủy, cả thảy tám mươi ba vạn, lại nói thăng lên những một trăm vạn quân; thủy lục đều tiến, quân thuyền quân kỵ cùng đi, theo dọc bờ sông Trường Giang kéo đến; phía tây nối liền với đất Kinh Giáp, phía đông tiếp giáp Kỳ Hoàng, doanh trại nối với nhau dài hơn ba trăm dặm.
话分两头。 却说江东孙权，屯兵柴桑郡，闻曹操大军至襄阳，刘琮已降，今又星夜兼道取江陵，乃集众谋士商议御守之策。	Nói về Giang Đông, Tôn Quyền đương đóng quân ở quận Sài Tang, được tin đại quân Tào Tháo đến Tương Dương; Lưu Tôn đã ra hàng, mà quân Tào lại sớm khuya đi gấp đường đến lấy lại Giang Lăng. Quyền bèn họp các mưu sĩ lại bàn kế phòng thủ.
鲁肃曰：“荆州与国邻接，江山险固，士民殷富。	Lỗ Túc nói: - Kinh Châu tiếp giáp nước ta, giang sơn hiểm trở, nhân dân giàu có, nếu chiếm được đất ấy thì đủ để xây nghiệp đế vương. Nay Lưu Biểu mới chết, Lưu Bị mới thua, tôi xin phụng mệnh sang Giang Hạ viếng tang, nhân tiện bảo Lưu Bị phủ dụ các tướng của Lưu Biểu, đồng tâm hiệp lực với ta để phá Tào Tháo, nếu Bị vui lòng nghe theo thì việc lớn phải xong.
吾若据而有之，此帝王之资也。	Quyền đồng ý, lập tức sai Lỗ Túc đem lễ vật sang Giang Hạ viếng tang.
今刘表新亡，刘备新败，肃请奉命往江夏吊丧，因说刘备使抚刘表众将，同心一意，共破曹操；备若喜而从命，则大事可定矣。” 权喜从其言，即遣鲁肃赍礼往江夏吊丧。	Lại nói Huyền Đức đến Giang Hạ cùng với Khổng Minh và Lưu Kỳ bàn việc, Khổng Minh nói: - Tào Tháo thế to lắm, khó lòng địch nổi, không bằng ta sang nhờ Tôn Quyền ở Giang Đông để làm ứng viện. Nam, Bắc hai bên giữ miếng với nhau, ta ở giữa kiếm lợi, có gì mà chẳng được. Huyền Đức nói: - Giang Đông lắm mưu thần giỏi, nhìn xa thấy rộng, sao họ chịu nạp ta!
却说玄德至江夏，与孔明、刘琦共议良策。 孔明曰：“曹操势大，急难抵敌，不如往投东吴孙权，以为应援。 使南北相持，吾等于中取利，有何不可？” 玄德曰：“江东人物极多，必有远谋，安肯相容耶？”	Khổng Minh cười đáp rằng: - Nay Tào Tháo dàn quân trăm vạn, chiếm cứ Giang Hán; tất nhiên Giang Đông phải cho người lại đây dò la xem hư thực thế nào?
孔明笑曰：“今操引百万之众，虎踞江汉，江东安得不使人来探听虚实？	Nhược bằng có sứ đến, tôi xin mượn một cánh buồm thuận gió đến thẳng Giang Đông, chỉ ba tấc lưỡi đủ làm cho hai quân nam bắc thôn tính lẫn nhau.
若有人到此，亮借一帆风，直至江东，凭三寸不烂之舌，说南北两军互相吞并。	Nếu quân nam được ta dùng đánh Tào Tháo, lấy đất Kinh Châu.
若南军胜，共诛曹操以取荆州之地；若北军胜，则我乘势以取江南可也。	Nếu quân bắc được, ta thừa thế tính lấy Giang Nam cũng nên.
玄德曰：“此论甚高。	Huyền Đức nói: - Kế ấy rất hay, nhưng làm thế nào khiến cho Giang Đông sai người đến đây được? Vừa nói dứt lời, có tin báo rằng: - Tôn Quyền ở Giang Đông sai Lỗ Túc lại viếng tang, thuyền đã ghé bờ. Khổng Minh cười nói: - Việc to chắc xong!
但如何得江东人到？” 正说间，人报江东孙权差鲁肃来吊丧，船已傍岸。	Rồi hỏi luôn Lưu Kỳ: - Ngày trước Tôn Sách mất, Tương Dương có sai người sang viếng không?
孔明笑曰：：大事济矣！” 遂问刘琦曰：“往日孙策亡时，襄阳曾遣人去吊丧否？”	Kỳ đáp: - Giang Đông với nhà tôi có tử thù, đâu có đi lại hiếu hỉ?
琦曰：“江东与我家有杀父之仇，安得通庆吊之礼！”	Khổng Minh nói: - Thế thì Lỗ Túc đến đây, không phải để viếng tang mà là để dò xét tình hình ta đó thôi.
孔明曰：“然则鲁肃之来，非为吊丧，乃来探听军情也。” 遂谓玄德曰：“鲁肃至，若问曹操动静，主公只推不知，再三问时，主公只说可问诸葛亮。”	Lại bảo với Huyền Đức rằng: - Hễ Lỗ Túc hỏi đến việc động tĩnh của Tào Tháo thì chúa công cứ một mực nói không biết.
计会已定，使人迎接鲁肃。	Hễ hỏi đến hai ba lần, thì bấy giờ chúa công bảo hắn hỏi Gia Cát Lượng.
肃入城吊丧；收过礼物，刘琦请肃与玄德相见。	Bàn định xong xuôi bèn sai người ra đón Lỗ Túc vào.
礼毕，邀入后堂饮酒，肃曰：“久闻皇叔大名，无缘拜会；今幸得见。	Túc vào viếng tang xong, Lưu Kỳ nhận đồ phúng rồi mời Túc đến gặp Huyền Đức.
实为欣慰。	Huyền Đức rước vào nhà trong uống rượu, Túc nói: - Lâu nay, nghe thấy đại danh hoàng thúc, nhưng chưa có dịp nào được bái kiến, nay được gặp thực là hân hạnh.
近闻皇叔与曹操会战，必知彼虚实：敢问操军约有几何？”	Mới đây, Hoàng Thúc đánh nhau với Tào Tháo, tất biết rõ tình hình. Dám hỏi quân Tào Tháo ước được độ bao nhiêu?
玄德曰：“备兵微将寡，一闻操至即走，竟不知彼虚实。”	Huyền Đức đáp: - Tôi binh mọn tướng ít, Tháo đến là chạy, còn biết gì đến tình hình bên ấy như thế nào.
鲁肃曰：“闻皇叔用诸葛孔明之谋，两场火烧得曹操魂亡胆落，何言不知耶？”	Túc nói: - Tôi nghe Hoàng Thúc dùng mưu của Khổng Minh, hai phen đánh hỏa công làm cho Tào Tháo kinh hồn lạc phách, sao Hoàng Thúc lại bảo không biết?
玄德曰：“徐非问孔明，便知其详。” 肃曰：“孔明安在？ 愿求一见。”	Huyền Đức nói: - Họa chăng hỏi Khổng Minh thì mới biết được rõ. Túc nói: - Khổng Minh ở đâu, xin cho được gặp một chút.
玄德教请孔明出来相见。	Huyền Đức sai mời Khổng Minh ra.
肃见孔明礼毕，问曰：“向慕先生才德，未得拜晤；今幸相遇，愿闻目今安危之事。” 孔明曰：“曹操奸计，亮已尽知；但恨力未及，故且避之。” 肃曰：“皇叔今将止于此乎？” 孔明曰：“使君与苍梧太守吴臣有旧，将往投之。”	Túc vái chào rồi hỏi: - Xưa nay vẫn mộ tài đức tiên sinh, chưa được bái kiến bao giờ.
肃曰：“吴臣粮少兵微，自不能保，焉能容人？”	Nay may mắn được gặp, xin cho biết việc an nguy ngày nay.
孔明曰：“吴臣处虽不足久居，今且暂依之，别有良图。”	Khổng Minh nói: - Mưu gian của Tào Tháo tôi đã biết cả, chỉ giận sức mình chưa đủ, nên còn tạm lánh đó thôi.
肃曰：“孙将军虎踞六郡，兵精粮足，又极敬贤礼士，江表英雄，多归附之。	Túc lại hỏi: - Hoàng Thúc nay định ở đây hay đi đâu?
今为君计。 莫若遣心腹往结东吴，以共图大事。”	Khổng Minh đáp: Sứ quân tôi có quen thái thú Ngô Thần ở Thương Ngô, nay sắp sang đó để nhờ. Túc nói: - Ngô Thần lương khan binh ít, giữ mình còn chẳng nổi, cho ai nhờ được?
孔明曰：“刘使君与孙将军自来无旧，恐虚费词说。	Khổng Minh nói: - Chỗ ấy tôi cũng biết không ở lâu được, nay hãy nương tạm, rồi sau sẽ liệu kế khác.
且别无心腹之人可使。”	Túc nói: - Tôn tướng quâ tôi hùng cứ sáu quận, binhgiỏi lương nhiều, lại kính hiền trọng sĩ, anh hùng miền Giang Đông nhiều người quy phục.
肃曰：“先生之兄，现为江东参谋，日望与先生相见。	Nay xin hiến ông một kế.
肃不才，愿与公同见孙将军，共议大事。”	Chi bằng tiên sinh sai người tâm phúc sang liên kết với Đông Ngô để cùng mưu toan việc lớn.
玄德曰：“孔明是吾之师，顷刻不可相离，安可去也？”	Khổng Minh nói: - Lưu sứ quân cùng với Tôn tướng quân xưa nay không được quen nhau, sợ uổng mất lời.
肃坚请孔明同去。 玄德佯不许。	Vả lại không có ai là tâm phúc có thể sai đi được.
孔明曰：“事急矣，请奉命一行。	Túc nói: - Lệnh huynh Gia Cát Cẩn hiện đang làm tham mưu ở Giang Đông, đêm ngày mong được gặp tiên sinh.
玄德方才许诺。 鲁肃遂别了玄德、刘琦，与孔明登舟，望柴桑郡来。	Tôi tuy không có tài, xin cùng tiên sinh vào ra mắt Tôn tướng quân để bàn việc lớn.
正是：只因诸葛扁舟去，致使曹兵一旦休。	Huyền Đức nói: - Khổng Minh là thầy ta, rời ta một lúc không xong, đi thế nào được? Túc cố nài ba bốn lần, Huyền Đức cứ giả vờ không nghe. Khổng Minh nói: - Việc đã kíp rồi, tôi xin phụng mệnh đi một chuyến. Huyền Đức bấy giờ mới đồng ý.
不知孔明此去毕竟如何，且看下文分解。	Lỗ Túc đứng dậy từ biệt Huyền Đức, Lưu Kỳ, rồi cùng với Khổng Minh lên thuyền đến quận Sài Tang. Ấy là: Chỉ bởi con thuyền Gia Cát chạy Khiến cho tướng sĩ giặc Tào tan. Chưa biết Khổng Minh đi chuyến này ra thế nào, xem đến hồi sau sẽ rõ. tử kính lực bài chúng nghị
第四十三回诸葛亮舌战群儒鲁子敬力排众议	HỒI 43 Gia Cát Lượng khua lưỡi bẻ bọn nho; Lỗ Tử Kính dùng sức bác lời chúng.
却说鲁肃、孔明辞了玄德、刘琦，登舟望柴桑郡来。	Lỗ Túc và Khổng Minh từ biệt Huyền Đức. Lưu Kỳ, xuống thuyền đến quận Sài Tang.
二人在舟中共议、鲁肃谓孔明曰：“先生见孙将军，切不可实言曹操兵多将广。”	Hai người ngồi trong thuyền nói chuyện.
孔明曰：“不须子敬叮咛，亮自有对答之语。”	Lỗ Túc dặn Khổng MInh rằng: Tiên sinh có vào ra mắt tướng quân, thì đừng nói thật bên Tào Tháo quân nhiều tướng nhé!
及船到岸，肃请孔明于馆驿中暂歇，先自往见孙权。	Khổng Minh nói: - Điều ấy Tử Kính không phải dặn. Tôi sẽ liệu lời đối đáp.
权正聚文武于堂上议事，闻鲁肃回，急召入问曰：“子敬往江夏，体探虚实若何？”	Khi thuyền cập bến, Túc mời Khổng Minh về nghỉ trong nhà khách, rồi thân vào gặp Tôn Quyền trước.
肃曰：“已知其略，尚容徐禀。”	Quyền đương họp các quan văn võ ở trong triều bàn việc, nghe tin Lỗ Túc về, gọi ngay vào, hỏi: - Tử Kính sang Giang Hạ thấy hiện tình thế nào?
