大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
辰潦水初平，惠夜以蒙衝戰船五艘先進逼嚕江而陣。	Lúc ấy nước lụt mới yên, Huệ ban đêm cho chiến thuyền mỏng xung năm chiếc trước hết tiến sát đến Lỗ giang mà đánh.
壤兵爭射之寂然不動。	Binh của Đinh Tịch Nhưỡng tranh nhau bắn, chiến thuyền của Huệ lặng lẽ bất động.
比曉知是空船則藥彈已盡矣。	Đến sáng biết là thuyền không thì thuốc đạn đã hết.
惠兵船奄至乘風縱擊，火礮轟天，飛彈橫截古樹。	Chiến thuyền của Huệ áp đến nương theo gió tung ra đánh, lửa súng rền trời, đạn bay đoạn ngang cây cổ thụ.
自權軍先潰。	Quân của Trịnh Tư Quyền vỡ trước.
壤退保邯江。	Đinh Tích Nhưỡng lùi giữ Hàm giang.
山南鎭守杜世胤棄鎭走。	Đỗ Thế Dận trấn thủ Sơn nam bỏ trấn mà chạy.
朝市驚擾無不望風奔竄。	Buổi chợ sáng kinh hoàng náo loạn không ai chẳng trông thấy từ xa đã chạy trốn.
老將黄馮基步兵次萬春湖，水師屯翠靄，惠連破之，鼓噪直抵西龍津。	Bộ binh của lão tướng Hoàng Phùng Cơ đóng ở hồ Vạn xuân và thuỷ quân thì đồn ở Thuý ái đều bị Huệ liên tiếp phá tan, binh Tây sơn đánh trống reo hò thẳng đến bến Tây long.
鄭楷戎服臨陣指麾諸軍。	Trịnh Khải mặc quân phục lâm trận chỉ huy các đội quân.
西師縱火噴筒衝陣而入。	Binh Tây sơn dùng ống phun lửa đột trận sấn vào.
鄭師大潰。	Binh Trịnh cả vỡ.
惠遂入城頓兵鄭府中，下令招安，辰六月二十六日也。	Huệ bèn vào thành dồn quân ở trong phủ chúa Trịnh, xuống lịnh chiêu an, lúc ấy là ngày 26 tháng 6.
鄭楷奔山西爲逆民賺送惠軍。	Trịnh Khải chạy lên Sơn tây bị dân phản nghịch lừa bắt đưa đến quân của Huệ.
楷途間自頸。	Trịnh Khải ở dọc đường tự cắt cổ mà chết.
惠撫其尸曰：可惜好男子。	Huệ vỗ thây của Trịnh Khải bảo: Đáng tiếc một hảo nam tử.
當初若早早迎降，當不失富貴，何苦自戕命？	Lúc đầu nếu sớm đón rước mà đầu hàng thì hẳn không mất phú quý, sao lại khổ tự huỷ mạng?
以王禮葬之。	Huệ cho lấy nghi lễ bực vương (chúa) an táng Trịnh khải.
惠入城之日先遣人達于黎帝請以明日進謁。	Ngày vào thành Huệ trước hết sai người đạt lời lên vua Lê xin lấy ngày mai yết kiến.
次日惠詣萬壽殿謁見。	Hôm sau Huệ đến điện Vạn thọ yết kiến.
帝命扶起坐之別榻，温存慰勞。	Vua Lê sai người đỡ dậy cho ngồi ở cái sạp riêng, ôn tồn uỷ lạo.
惠對曰：臣崛起西山久仰聖德，因以鄭氏淩逼，故天假手於臣一舉殄之。	Huệ tâu: Hạ thần quật khởi ở đất Tây sơn, từ lâu đã ngưỡng mộ Thánh đức, nhân vì họ Trịnh hiếp bức nhà Vua cho nên trời mượn tay của hạ thần đánh một trận mà diệt mất họ Trịnh.
此陛下威德所致帝謙讓以爲皆惠之功。	Đó là uy đức của Bệ hạ đã khiến như thế Vua Lê khiêm nhường cho đó đều là công của Huệ.
惠對曰：臣志在尊扶敢計功利？	Huệ tâu —Chí của thần ở việc tôn phù, dám kể công kể lợi hay sao?
今日之事全是天意，卽如人眾船艘臣能驅之使來。	Việc hôm nay hoàn toàn là ý của Trời. Tức như quân sĩ thuyền tàu thì thần có thể xua đi đến được.
至於潦水衰，南風競豈臣力所能辦？	Còn đến việc nước lụt suy kém, gió nồm thổi mạnh thì sức của thần có thể làm được hay sao?
天命陛下一統寰宇，從今立紀，陳經，安內，寧外，臣亦受其賜矣。	Trời khiến Bệ hạ thống nhất hoàn vũ, từ nay lập kỷ cương, ban bố phép thường, yên ở trong, lặng ở ngoài, thì thần cũng nhận được phần ơn huệ vậy.
因指阮有整曰：此陛下之故臣也。	Nhân chỉ Nguyễn Hữu Chỉnh, Huệ tâu : Đây là bề tôi cũ của Bệ hạ.
臣得至此亦他之力。	Thần được đến đây cũng là do sức của ông ta.
帝曰：整得至此亦令公成之。	Vua Lê đáp: Chỉnh được đến đây cũng là do Lịnh công làm nên cho vậy.
整頓首拜謝。從容賜茶而退。	Nguyễn Hữu Chỉnh cúi đầu vái tạ Vua Lê thung dung ban trà rồi lui.
自是人情大安朝臣稍稍復集。	Từ đó lòng dân rất yên các quan trong triều lần lần tụ tập trở lại.
整因言於惠曰：“將軍此來以尊扶爲名，宜以寔之。	Nguyễn Hữu Chỉnh nhân đó nói với Nguyễn Huệ : "Tướng quân ra lần này lấy việc tôn phù nhà Lê làm danh nghĩa thì phải thực hành việc đó.
昨日私謁其事未白於天下。	Hôm qua yết kiến riêng với vua Lê, việc ấy chưa tỏ rõ với thiên hạ.
宜擇日朝見使一國共知方是正大之舉。”	Tướng quân nên lựa ngày triều kiến khiến cả nước đều biết mới là một cử chỉ chính đại."
惠從之。	Nguyễn Huệ nghe theo.
秋七月初七日請黎帝設大朝于敬天殿。惠帥將士從端門入，行五拜三叩頭禮，自陳滅鄭之義，幷將軍民簿籍進呈垃聽處分。	Ngày mùng 7 tháng 7 mùa thu, xin vua Lê thiết đại triều ở điện Kính thiên, Nguyễn Huệ dẫn tướng sĩ do cửa Đoan môn tiến vào làm lễ năm vái ba rập đầu, tự trần bày ý nghĩa diệt họ Trịnh cùng đem bộ số quân dân dâng trình lên và nghe theo lời phân xử.
黎帝受之，頒一統詔書于大興門外。	Vua Lê nhận thấy, ban bố Chiếu thư nhất thống ở ngoài cửa Đại hưng.
翌日封惠爲元帥翊正扶運威國公。	Hôm sau vua Lê phong Nguyễn Huệ làm Nguyên suý Dực chính Phù vận Uy Quốc công (chức nguyên suý, tước quốc công có uy vũ đã giúp chính nghĩa, phò vận số nhà Lê).
惠拜受訖，私謂整曰：“我提數萬眾一擧而定北河，尺土寸民莫非我有。	Huệ vái nhận xong, nói riêng với Nguyễn Hữu Chỉnh: Ta đem mấy muôn quân một lần cử binh mà định yên được Bắc hà, thước đất tấc dân chẳng là không phải sở hữu của ta ư ?
倘我稱帝稱王有何不可？	Nếu ta xưng vua xưng chúa thì có chi là không được ?
所以讓而不居者厚黎家也。	Sở dĩ ta nhường mà không ở vào địa vị ấy là ta hậu đãi nhà Lê đó.
元帥國公之命於我何加？	Việc gọi là nguyên suý là quốc công có thèm gì cho ta đâu.
毋乃以空名籠罩我耶。”	Chớ lấy cái hư danh mà lung lạc ràng buộc ta nhé,
整知惠意不滿乃言於黎帝以少女玉忻公主妻之。	Nguyễn Hữu Chỉnh biết ý của Nguyễn Huệ bất mãn bèn nói với vua Lê đem Công chúa Ngọc Hân, đứa con gái bé gả cho Nguyễn Huệ.
辰黎帝已不豫。	Lúc ấy vua Lê đã thấy trong mình mất vui (đã lâm bịnh).
惠彊請設朝受賀。	Nguyễn Huệ ép xin vua Lê thiết triều nhận lễ chúc mừng.
翌日黎帝大漸。	Hôm sau vua Lê bịnh quá nặng.
玉忻請惠入問疾。	Công chúa Ngọc Hân xin Nguyễn Huệ vào thăm bịnh.
惠曰：我遠來，國人尚未見信使我人侍萬一宮車晏駕，毋乃遺我以不白之疑耶？	Nguyễn Huệ bảo: Ta từ xa đến, người trong nước còn chưa tin giả như ta vào hầu, vạn nhất xa giá muộn ra (thiên tử vừa băng) thì chẳng là để lại cho ta một điều nghi ngờ không biện bạch được hay sao?
旣而黎帝崩。	Thế rồi vua Lê băng.
玉忻素不善嗣孫，陰以一二事短于惠。	Công chúa Ngọc Hân vốn không ưa Tự tôn (cháu nội của vua được lên nối ngôi) thầm đem một hai việc gièm chê với Nguyễn Huệ.
惠惑之，欲緩登極之禮。	Nguyễn Huệ nghi ngờ muốn hoãn lại lễ đăng quang (lên ngôi) của vua Chiêu thống.
舉朝疑駭，諸尊室咸詆公主誤大事。	Cả triều đình e ngại kinh hãi. Các vị trong tông thất nhà Lê đều nói xấu Công chúa Ngọc Hân làm lỡ việc lớn.
公主懼歸請於惠以立嗣孫。	Công chúa sợ trở về xin Nguyễn Huệ cho lập Tự tôn lên ngôi.
惠許之。	Nguyễn Huệ bằng lòng.
於是嗣孫維祁立是爲君統帝。	Do đó Tự tôn Lê Duy Kỳ lên ngôi (ấy là vua Lê Chiêu Thống).
成服日惠衰服立殿左。	Ngày lễ thành phục, Nguyễn Huệ mặc đồ tang đứng bên trái trên điện.
有執事一人竊笑。命推出斬之。	Có một người chấp sự cười lén bị Nguyễn Huệ cho lôi ra chém đầu.
及發引惠親送至河津而返。	Đến khi xe tang đưa linh cữu đi, Nguyễn Huệ thân hành đưa đến bờ sông mới trở về.
居無何，岳自西山至，畱旬日，惠從岳南歸詳見岳傳，至乂安謀據其地，聞羅山處士阮浹名，以書幣招之。	Nguyễn Huệ ở đấy chẳng bao lâu thì Nguyễn Nhạc từ Tây sơn đến, lưu lại mươi ngày, Nguyễn Huệ theo Nguyễn Nhạc về nam (lời thuật rõ, xem ở truyện của Nguyễn Nhạc), đến Nghệ an mưu tính chiếm cứ đất ấy, nghe danh tiếng La sơn xử sĩ Nguyễn Tiếp, đưa thơ và tiền bạc lụa là để vời đến.
浹至，授爲崇正書院院長。	Nguyễn Tiếp đến được Nguyễn Huệ trao cho chức Sùng chinh thư viện Viện trưởng.
初惠謀南還不使有整知之，及至乂安，整復尾其後固請從。	Lúc trước khi mưu tính trở về nam, Nguyễn Huệ không cho Nguyễn Hữu Chỉnh hay biết việc ấy, đến khi Nguyễn Huệ về đến Nghệ an thì Nguyễn Hữu Chỉnh lại nối đuôi đi theo sau, cố tình xin tháp tùng.
惠曰：“今鄭將黃馮基，丁錫壤未除，北河非君畱此不可。”	Nguyễn Huệ bảo: "Nay tướng Trịnh Hoàng Phùng Cơ, Đinh Tịch Nhưỡng chưa bị trừ xong, Bắc hà nếu không phải Ông lưu lại đấy thì không được."
因賜之黄金二十兩，白金二百兩，使與阮文睿守乂安，都督武招遠屯河中，武文仕屯洞海以爲犄角之勢，私囑睿等曰：“整本亡命投歸反復不可信。	Nhân đó Nguyễn Huệ cho Nguyễn Hữu Chỉnh vàng 20 lượng, bạc 200 lượng, khiến Nguyễn Hữu Chỉnh cùng Nguyễn Văn Duệ giữ Nghệ an, Đô đốc Võ Chiêu Viễn đóng đồn ở Hà trung, Võ Văn Sĩ (Nhậm) đóng dồn ở Động hải để làm cái thế nương tựa nhau. Nguyễn Huệ dặn riêng bọn Duệ  rằng: “Chỉnh vốn là đứa chạy trốn để thoát thân đến đầu theo ta, phản phúc không thể tin được.
我初欲假手北人殺之，不意復逃死相隨，於義又不忍捨。	Ta lúc đầu muốn mượn tay người Bắc hà giết hắn. Không ngờ hắn lại chạy chết đi theo ta, theo nghĩa ta lại không nhẫn bỏ hắn.
乂安乃彼家貫，宜細察動靜而防備之。	Nghệ an là quê quán của nhà hắn. Phải tinh tế xem xét động tĩnh mà phòng bị hắn.
脫有變馳書以告。”	Nếu có biến thì gấp chạy thơ báo cáo."
遂引兵南還。	Nguyễn Huệ bèn dẫn binh về nam.
整在乂安糾合鄕勇，陰有爭據乂安之志。	Nguyễn Hữu Chỉnh ở Nghệ an tụ tập binh hương dũng, thầm có chí tranh chiếm lấy Nghệ an.
會黎諸臣復立鄭縫爲晏都王。	Vừa lúc ấy các bề tôi nhà Lê lại lập Trịnh Bồng làm Ấn đô Vương (Chúa Ấn đô).
召統帝孤立召整自衞。	Vua Chiêu thống cô lập một mình bèn vời Nguyễn Hữu Chỉnh ra để tự vệ.
整旣至，縫走。	Nguyễn Hữu Chỉnh đã ra đến nơi thì Trịnh Bồng bỏ chạy.
以功拜平章軍國重事大司徒，爵鵬忠公。	Vì công ấy vua Chiêu thống trao cho Nguyễn Hữu Chỉnh chức Bình chương quân quốc trọng sự Đại tư đồ, tước Bằng Trung  công.
開武成軍營。	Nguyễn Hữu Chỉnh mở Vũ thành quân doanh.
惠與岳有隙，睿岳舊將也陰貳于惠。	Khi Nguyễn Huệ và Nguyễn Nhạc có mối hiềm khích nhau, Nguyễn Văn Duệ là tướng cũ của Nguyễn Nhạc ngầm hai lòng với Nguyễn Huệ.
整多以金幣厚結睿，約以謀去武招遠據乂安，修橫山壘，畫𤅷江爲界如前朝故事。	Nguyễn Hữu Chỉnh thường lấy vàng lụa kết giao trọng hậu với Nguyễn Văn Duệ, hẹn ước lấy mưu kế trừ Võ Chiêu Viễn mà chiếm cứ Nghệ an, tu bổ luỹ Hoành sơn, chia vạch sông Gianh làm ranh giới y như chuyện xưa của triều trước.
睿亦以書復之。	Nguyễn Văn Duệ cũng có viết thơ phúc đáp cho Nguyễn Hữu Chỉnh.
聲跡稍露，仕探知之，馳書吿變。	Tai tiếng dấu vết hơi bại lộ thì Võ Văn Sĩ (Nhậm) dò biết được liền gấp chạy thơ cáo biến.
辰惠方與岳連兵，不果行，乃使仕迅往乂安捕睿且察整意何。	Lúc ấy Nguyễn Huệ vừa xáp binh đánh nhau với Nguyễn Nhạc, không quả quyết thân hành, mới sai Võ Văn Sĩ (Nhậm) gấp ra Nghệ an bắt Nguyễn Văn Duệ và xem xét tình ý của Nguyễn Hữu Chỉnh.
仕得命倍道疾馳，至河中則睿已從上道回歸仁了。	Võ Văn Sĩ (Nhậm) được lịnh gấp đường đi vội đến Hà trung thì Nguyễn Văn Duệ đã theo đường trên về Quy nhơn rồi.
乃點兵徵糧分屯要害貽書問整與睿通之故。	Võ Văn Sĩ (Nhậm) bèn điểm binh, trưng lượng, phân đồn đóng nơi hiểm yếu, gởi thơ hỏi Nguyễn Hữu Chỉnh về việc giao thiệp với Nguyễn Văn Duệ.
整復書辨明。	Nguyễn Hữu Chỉnh đáp thơ biện minh cho minh.
仕復以善言慰解使之安心。	Võ Văn Sĩ (Nhậm) đáp thơ lấy lời khéo léo an ủi phân giải khiến cho Nguyễn Hữu Chỉnh yên lòng.
丁未召統帝遣黎維祅，平章事陳功燦東安安偉進士，給事中吳儒富川知止進士，齎書于惠請乂安之地。	Năm đinh vị (1787) Vua Chiêu thống sai Lê Duy Yêu, Bình chương sự Trần Công Xán (tiến sĩ ở Yên vĩ thuộc Đông an), Cấp sự trung Ngô Nho (tiến sĩ ở Tri chỉ thuộc Phủ xuyên) đem thơ cho Nguyễn Huệ xin đất Nghệ an.
惠怒命錮于獄。	Nguyễn Huệ giận sai giam họ vào ngục.
吳文楚請殺之。	Ngô Văn Sở xin giết họ.
辰惠與岳方治兵相攻，因語文紀曰：“蕭墙之變不可外聞。	Lúc ấy Nguyễn Huệ và Nguyễn Nhạc vừa ra quân đánh nhau, Nguyễn Huệ nhân đó nói với Trần Văn Kỷ: “Việc biến trong nội bộ không thể để nghe lọt ra ngoài.
今北使在此歸之則漏國情，殺之則負不韙之名。”	Nay sứ giả Bắc hà ở tại đây, ta cho họ về thì lậu tình quốc gia, ta giết họ đi thì mang lấy cái tiếng không phải."
乃遣之歸而使都督武文月以舟師送至丹崖海外，漏其舟沉之。	Nguyễn Huệ bèn khiến họ trở về, nhưng sai Đô đốc Võ Văn Nguyệt đem chiến thuyền đưa họ đến phía ngoài biển Đan nhai, đục thuyền nhận chìm họ.
燦等俱死。	Bọn Xán đều chết cả.
旣而惠與岳講和而歸語其下曰：“阮整落魄窮丁，我爲他畫出眉目，今翺翔北河，號令一國，偃然以鄭帥自居，又欲謀爭乂安與我抗衡。	Rồi Nguyễn Huệ và Nguyễn Nhạc giảng hoà. Huệ trở về nói với thuộc hạ : "Nguyễn Hữu Chỉnh là đứa cùng đinh trôi nổi, ta đã vẽ mày vẽ mặt cho hắn, nay hắn bay liệng ở Bắc hà, sai khiến cả một nước, ngang nhiên ở vào địa vị của Chúa Trịnh, lại muốn mưu tính tranh lấy Nghệ an để đối địch với ta.
此而不誅何以令眾耶？”	Thế mà không giết hắn thì lấy gì sai khiến quân sĩ được?"
命吳文楚潘文璘碩軍出乂安從仕節制。	Nguyễn Huệ liền sai Ngô Văn Sở Phan Văn Lân lãnh quân ra Nghệ an theo Tiết chế Sĩ (Nhậm).
師至淸化鎭守黎遹退屯貞江之北。	Binh Tây sơn đến Thanh hóa, tướng trấn thủ Lê Duật lui đóng đồn ở phía bắc sông Trinh giang.
楚沿山行，潛渡漆馬江襲其後。遹軍潰爲楚所殺。	Ngô Văn Sở đi ven theo núi ngầm qua sông Tất mã đánh úp bọc hậu Lê Duật, vi binh tan vỡ, bị Ngô Văn Sở giết.
整以屬將阮如泰爲統碩，寧遜參贊軍務，至珠梂聞遹死欲，依三疊山爲固，至澗水則仕軍已過三疊。	Nguyễn Hữu Chỉnh cho viên thuộc tướng Nguyễn Như Thái làm Thống lãnh, cho Ninh Tốn làm Tham tán quân vụ đi đến Chu cầu nghe Lê Duật chết, muốn tựa vào núi Tam điệp làm thế vững chắc, đến sông Giản thuỷ thì quân của Sĩ (Nhậm) đã qua khỏi núi Tam điệp rồi.
泰迎戰不敵沒于陣。	Nguyễn Như Thái đón đánh mà không chống nỗi phải chết trong trận.
遜走匿民家免。	Ninh Tốn chạy trốn trong nhà dân chúng được khỏi chết.
整聞報，急遣其子有攸領五銃奇兵先行，至靑厥江築壘固守。	Nguyễn Hữu Chỉnh nghe bảo, vội sai con là Hữu Du lãnh cơ binh Ngũ súng đi trước, đến sông Thanh quyết dựng luỹ cố thủ.
辰天寒洌，軍士皆燒柴對燎。	Lúc ấy trời lạnh rét, quân sĩ đều đốt lửa mà hơ.
仕潛使人穿壘引銃視火處轟擊無不中者。	Sĩ (Nhậm) ngầm sai người xoi luỹ đặt súng nhắm vào chỗ có lửa mà bắn phá thì chẳng có phát nào không trúng.
攸兵驚亂潰走。	Binh của Nguyễn Hữu Du kinh hãi rối loạn tan vỡ bỏ chạy.
整在平望聞報，星夜引兵回城，先挈妻子奔京北。	Nguyễn Hữu Chỉnh ở Bình vọng nghe bảo, dưới đêm sao dẫn binh về thành, trước tiên dẫn vợ con chạy lên Kinh bắc.
召統帝倉卒不知所爲，亦率宮眷過河。	Vua Chiêu thống hoảng hốt không biết làm gì cũng dẫn cung quyến chạy qua sông Nhị hà.
薄暮仕入城，縱兵大掠，遣部將阮文和追整，及之戰于三層山。	Xế chiều Võ Văn Sĩ (Nhậm) vào thành, tung quân cướp phủ lớn lao sai bộ tướng Nguyễn Văn Hoà đuổi theo Hữu Chỉnh, theo kịp Chỉnh ở núi Tam tầng.
有攸力鬬死于陣。	Hữu Du ra sức chiến đấu chết trong trận.
整馬仆爲所獲，送回昇龍。	Nguyễn Hữu Chỉnh, vì ngựa vấp ngả, bị bắt sống, bị đưa về Thăng long.
仕數其罪支解之。	Võ Văn Sĩ (Nhậm) kể tội của Nguyễn Hữu Chỉnh ra rồi phanh thây Nguyễn Hữu Chỉnh.
召統帝避居保祿山中。	Vua Chiêu thống trốn tránh trong núi Bảo lộc.
遂以黎崇讓公維𬓑監國。	Võ Văn Nhậm bèn cho Sùng nhượng công Lê Duy Cận làm Giám quốc.
吳文楚不悅誣以反，惠殺之。	Ngô Văn Sở không thích, vu oan cho Võ Văn Nhậm làm phản để Nguyễn Huệ giết đi.
仕岳女婿也。	Võ Văn Sĩ (Nhậm) là con rể của Nguyễn Nhạc.
初惠雖使仕而心頗疑之，密語吳文楚潘文璘曰：“仕是行也握重兵擅大國事，變不可逆料。	Lúc đầu Nguyễn Huệ tuy sai Võ Văn Sĩ (Nhậm) mà lòng hơi nghi, bí mật nói với Ngô Văn Sở Phan Văn Lân rằng: "Sĩ (Nhậm) trong chuyến đi này cầm trọng binh, chuyên coi sóc việc của một nước lớn (nhà Lê) thì việc biến không thể nào liệu dò trước được.
我所慮不在北河只在仕耳。	Điều ta lo không ở Bắc hà mà chỉ ở Sĩ (Nhậm) thôi.
汝等宜察之，譬之火然，撲於始燄則易爲力也。”	Bọn ngươi phải xem xét hắn, cũng như lửa vậy, dập tắc lửa mới nhen nhúm thì sức dễ làm."
及仕乘勝長驅如入虛邑，阮有整旣俘召統帝出居于外，京北則陳光珠，黄春秀，山南則际康等按地據守。	Kịp khi Võ Văn Sĩ (Nhậm) thừa thắng đuổi dài như vào nước trống, Nguyễn Hữu Chỉnh đã bị bắt sống, vua Chiêu thống chạy ra ở ngoài, ở Kinh bắc thì Trần Quang Chu, Hoàng Xuân Tú, ở Sơn nam thì bọn Nguyễn Viết khang chiếm đất chống giữ.
黎之親屬維仲，維欖則起于淸化，維祇則起于定州，互相聲應。	Thân thuộc của nhà Lê là Duy Trọng Duy Lãm thì khởi nghĩa ở Thanh hóa, Duy Chi thì khởi nghĩa ở Định châu làm thanh ứng lẫn nhau.
有嘉林璣舍人陳廷魁自稱黎詹事言於仕曰：“北河怨整雖深而思黎之心未釋，嗣君一去未卜回期。	Có Trần Đình Khôi, người ở Cơ xá thuộc Gia lâm tự xưng làm quan Chiêm sự nhà Lê nói với Sĩ (Nhậm) rằng: "Bắc hà oán Chỉnh tuy sâu mà lòng nhớ nhà Lê chưa nguôi. Vua nối ngôi (Chiêu thống) một khi ra đi chưa định ngày về.
今有崇讓公黎維槿，先帝在辰己正位東宮，壬寅之變爲驕兵所廢。	Nay Có Sùng nhượng công Lê Duy Cận, lúc tiên đế (Hiền tông) còn sống đã chánh vị đông cung, trong biến cố năm nhâm dần (1782) bị kiêu binh phế xuống.
公能復之，掛一紙于大興門，不日之間文武畢集。	Ông có thể phục hồi chức vị cho Sùng nhượng công, treo một tờ giấy ở cửa Đại hưng thi nội ngày văn võ bá quan tụ tập hết.
天下之事運之如反掌耳。”	Việc nước mình vận chuyển dễ trở như bàn tay."
仕頜之，使人迎維槿監國，居于勤政殿左偏，遍求黎諸臣亦無一人至者。	Võ Văn Sĩ (Nhậm) gật đầu, sai người đón Lê Duy Cận làm Giám quốc, cho ở phía tả điện Cần chính, tìm khắp nơi các bề tôi của nhà Lê cũng không có một người đến.
京中呼曰監國吏目。	Người trong kinh thành gọi Lê Duy Cận là Giám quốc lại mục (Chức quan nhỏ coi việc nước).
楚言于仕曰：我看崇讓公面目如何軀策得人。	Ngô Văn Sở nói với Võ Văn Sĩ (Nhậm) rằng: - Tôi xem mặt mũi Sùng nhượng công như thế thì làm sao sai khiển được ai.
自古天下亦非誰家私物，如可取則取之，何事倩一市奴監國作木偶主人？	Từ xưa thiên hạ cũng không phải vật riêng của nhà họ nào, như có thể lấy thì lấy đi, việc gì phải mượn một thằng hèn hạ trong đô thị coi việc nước làm ông chủ bù nhìn bằng gỗ?
我久頓城中反爲他作流寓客兵耶？	Tôi đóng mãi trong thành trái lại phải làm khách binh lưu ngụ của hắn hay sao?
仕日	Võ Văn Sĩ (Nhậm) nói:
