奉勅開載諸臣職名總裁	Vâng sắc khai chép tên chức và tên các quan trong Quốc sử quán: Tổng tài:
命與有鎰董其役 維慈旣至 程功鳩民 起築長壘	Duy Từ cùng với Hữu Dật trông coi công việc. Duy Từ đến, tính công họp dân để khởi công đắp không lũy dài.
壘高一丈五尺 外竪鐵木 內寔土爲階五級 象馬可行 依山傍澗 延袤三千餘丈 丈設過w礮一三丈或五丈 間立一礮臺 置巨門	Lũy cao 1 trượng 5 thước, ngoài đóng gỗ lim, trong đắp đất, làm năm bực, voi ngựa đi được, dựa núi men khe, dài hơn 3000 trượng, mỗi trượng đặt một khẩu súng quá sơn, cách 3 hoặc 5 trượng lập một pháo đài, đặt một khẩu súng nòng lớn.
礮一藥彈山	Thuốc đạn chứa như núi.
積數月 壘成 遂截然爲南北一大阨塞處	Mấy tháng đắp xong lũy, thành một nơi ngăn chặn chia hẳn hai miền Nam Bắc.
又於日麗明靈諸海口 布鐵鎖橫截之	Lại đặt xích sắt chắn ngang các cửa biển Nhật Lệ và Minh Linh.
上與陶維慈日夜謀制鄭氏	Chúa cùng Đào Duy Từ ngày đêm mưu tính chống họ Trịnh.
維慈思得賢才 引爲輔佐	Duy Từ mong được người anh tài tiến dẫn giúp chúa.
一日夢見黑虎從南方入 促軍圍捕 忽生兩翼 騰空飛舞 旣覺	Một hôm Duy Từ nằm mộng thấy một con hùm đen từ phương Nam vào, liền thúc quân vây bắt, bỗng hùm mọc đôi cánh, nhảy lên không bay múa.
整服以待	Tỉnh dậy, Duy Từ ăn mặc chỉnh tề, ngồi chờ.
維慈見其采貌不凡 問之 以姓名對	Duy Từ thấy dáng vẻ không phải người thường, hỏi thì xưng họ tên.
問其年 曰 生年壬寅	Hỏi tuổi thì nói sinh năm Nhâm dần.
維慈心喜 以爲暗與夢合 乃畱與談論	Duy Từ nghe mừng thầm, cho là ám hợp với mộng, bèn giữ lại cùng bàn bạc.
有進 聰敏有勇略 維慈器之 妻以女 因薦於上 授隊長 率內水迪勤船 有進	Hữu Tiến thông minh, khỏe mạnh, mưu lược, Duy Từ quý trọng lắm, đem con gái gả cho, rồi tiến lên, chúa cho làm đội trưởng, coi thuyền Địch cần quân Nội thủy.
常夜演軍 軍有違律者	Hữu Tiến thường ban đêm diễn tập quân lính.
立斬旗長以狥 一軍皆驚 維慈聞之駭愣 馳入侍	Trong quân có kẻ trái luật, lập tức chém người Kỳ trưởng để thế mệnh, cả quân đều sợ. Duy Từ nghe thấy kinh ngạc, vội vào hầu.
時上方閒坐觀國策	Bấy giờ chúa đương ngồi xem Chiến quốc sách.
因與之談古今兵法 維慈從容語及孫武子吳宮敎戰斬愛姬事 上盛稱吳王之斷孫武子之嚴 故能成霸	Nhân cùng bàn đến binh pháp xưa nay, Duy Từ ung dung nói đến chuyện Tôn Võ tử dậy chiến sự ở cung vua Ngô mà chém vợ yêu của vua. Chúa rất khen vua Ngô là người quyết đoán, Tôn Võ tử là người nghiêm, cho nên mới dựng nên nghiệp bá.
維慈因以有進斬旗長事請罪	Duy Từ nhân đấy đem việc Hữu Tiến chém người Kỳ trưởng để xin tội.
上曰	Chúa nói rằng:
兵不齊者殺之 又何罪焉	"Binh không đều thì giết có tội gì?".
置內礮匠司及左右礮匠二隊 以潘舍黃江二社名 屬豐祿縣	Đặt ty Nội pháo tượng và hai đội Tả Hữu pháo tượng.
鑄大礮每位用鐵十五塊鋼十斤炭錢三緡五陌	Việc đúc đại bác, mỗi khẩu dùng 12 khối sắt, 10 cân gang, tiền than 3 quan 5 tiền.
鑄鳥鎗每十杆用鐵三十塊鋼三十斤炭錢十緡	Đúc súng tay thì cứ 10 cây dùng 30 khối sắt, 30 cân gang, 10 quan tiền than).
壬申十九年夏六月令括買胡椒琦喃燕窩諸產物 召陶維慈平其價	Nhâm thân, năm thứ 19, mùa hạ, tháng 6, có lệnh mua hết các sản vật hồ tiêu, kỳ nam, yến sào, cho triệu Đào Duy Từ vào định giá.
維慈欲幾諫 商服以入 上悟其意	Duy Từ có ý muốn can, mặc áo người buôn tiến vào, chúa hiểu ý, bèn bãi lệnh mua.
乃罷之 初行閱選法 從陶維慈之請也	Bắt đầu thi hành phép duyệt tuyển [duyệt dân tuyển lính], theo lời Đào Duy Từ xin.
其法略依黎洪德規例	Phép ấy lược theo quy lệ đời Hồng Đức triều Lê:
六年一大選 三年一小選	6 năm một lần tuyển lớn, 3 năm một lần tuyển nhỏ.
選期正月差官 令各總社攢造戶籍 分爲正戶客戶 戶分壯軍民老疾雇竆逃等項 以六月閱選香茶廣田富榮三縣一場	Đến kỳ tuyển thì tháng giêng sai quan khiến các tổng xã làm sổ hộ tịch, chia làm chính hộ và khách hộ, mỗi loại chia các hạng tráng, quân, dân, lão, tật, cố, cùng, đào, cứ đến tháng 6 thì duyệt tuyển.
武昌海陵明靈三縣一場 康祿麗水二縣南布政州各一場 开萁奠磐廣義懷仁富安五府各一場	Ba huyện Hương Trà, Quảng Điền, Phú Vang đặt một trường, ba huyện Vũ Xương, Hải Lăng, Minh Linh đặt một trường, hai huyện Khang Lộc, Lệ Thủy và châu Nam Bố Chính đều mỗi nơi một trường. năm phủ Thăng Hoa, Điện Bàn, Quảng Ngãi, Hoài Nhân, Phú Yên, mỗi phủ một trường.
月內選完 照項 定收稅例 有差	Trong một tháng tuyển xong, chiếu từng hạng định lệ thu thuế theo ngạch bực khác nhau.
稅法有差	(Phép thuế thì có tiền sai dư:
餘錢順化正戶壯項人二緒 軍項一緡五陌 民項八陌 老項一緡 疾項雇項各五陌 窮項三陌 逃項二陌	ở Thuận Hóa, về chính hộ người tráng hạng nộp 2 quan, quân hạng 1 quan 5 tiền, dân hạng 8 tiền, lão hạng 1 quan, tật hạng, cố hạng đều 5 tiền, cùng hạng 3 tiền, đào hạng 2 tiền.
客戶壯項一緡 軍項七陌 民項老項各五陌 雇窮逃疾等項俱免	Về khách hộ thì tráng hạng 1 quan, quân hạng 7 tiền, dân hạng, lão hạng đều 5 tiền, các hạng cố, cùng, đào, tật đều được miễn.
廣南正戶壯項二緡軍項一緡七陌 民項八陌 老項九陌 雇項分爲三項	ở Quảng Nam, chính hộ thì tráng hạng 2 quan, quân hạng 1 quan 7 tiền, dân hạng 8 tiền, lão hạng 9 tiền; cố hạng lại chia làm 3 hạng:
一項一緡五陌 二項一緡 三項七陌 疾項六陌 窮項三陌	hạng nhất 1 quan 5 tiền, hạng nhì 1 quan, hạng ba 7 tiền; tật hạng 6 tiền, cùng hạng 3 tiền, đào hạng 2 tiền.
逃項二陌 客戶壯項一緡二陌 軍項一緡 民項老項各六陌 疾項四陌	Về khách hộ thì tráng hạng 1 quan 2 tiền, quân hạng 1 quan, dân hạng, lão hạng đều 6 tiền, tật hạng 4 tiền, các hạng cùng, đào được miễn.
窮逃者免 又有嘗新錢節料錢脚米代納錢 隨項征收 多寡不同 惟正戶之窮逃二項與客戶各項俱免	Lại có tiền thường tân [cơm mới], tiền tiết liệu [lễ tết], tiền thay cước mễ [gạo cước], tùy hạng mà thu, nhiều ít không giống nhau, duy hai hạng cùng, đào ở trong chính hộ và các hạng trong khách hộ thì đều được miễn.
要之正戶稅重 客戶稅輕	Tóm lại thuế chính hộ thì nặng, thuế khách hộ thì nhẹ.
此其大略也	Đó là đại lược vậy).
兵丁有缺 則照軍項選補	Số binh đinh có khuyết thì chiếu trong quân hạng mà tuyển bổ.
每屆大選期 令各縣士子齊就鎭營考試	Mỗi khi đến kỳ tuyển lớn thì có lệnh cho học trò các huyện đều đến trấn dinh để khảo thí một ngày.
一日用詩一首 策問一道 限日內完卷 以知府知縣初考記錄	Phép thi dùng một bài thơ, một đạo văn sách, hạn trong một ngày làm xong, lấy tri phủ tri huyện làm sơ khảo, ký lục làm Phước khảo.
覆考中者准爲饒學 免五年差餘稅	Người thi trúng thì cho làm nhiêu học, miễn thuế sai dư năm năm.
謂之春天郡試	Kỳ ấy gọi là "thi quận vào mùa xuân".
又試萁文字 體中者補舍 差令史將臣吏三司	Lại thi viết chữ Hoa văn [Hoa văn tự thể], người nào trúng thì được bổ làm việc ở ba ty Xá sai, Lệnh sử, Tướng thần lại.
三司有缺捐納者 亦與充補	Ba ty có khuyết thì người quyên tiền nộp thóc cũng được sung bổ.
以尊室俊尊室演之 于爲廣平營鎭守 冬十月宋福通時官該奇逃歸鄭	Lấy Tôn Thất Tuấn (con Tôn Thất Diễn) làm trấn thủ dinh Quảng Bình. Mùa đông, tháng 10, Tống Phước Thông (bấy giờ làm cai cơ) trốn về với họ Trịnh.
初福通女宋氏適皇長子淇 生三男 福通喜 以爲後必光顯 迨淇薨	Đầu là con gái Phước Thông là Tống thị lấy hoàng tử cả là Kỳ, sinh được 3 con trai, Phước Thông mừng cho rằng sau này hẳn được vinh hiển.
福通大失望 乃挈眷間出渜海 今順安口海口遁去 惟宋氏在焉	Kịp khi Kỳ mất, Phước Thông đại thất vọng, bèn dẫn gia quyến lẻn ra cửa Eo (nay là cửa biển Thuận An) trốn đi, duy có Tông thị ở lại.
癸酉二十年春三月鄭梉遣又安鎭守鄭柞領水師 屯于奇羅海口 屬奇英縣鄭棣領步兵 屯于北布政州	Quý dậu, năm thứ 20, mùa xuân, tháng 3, Trịnh Tráng sai Trịnh Tạc là trấn thủ Nghệ An đem thủy quân đóng đồn ở của biển Kỳ La (thuộc huyện Kỳ Anh), Trịnh Lệ đem bộ binh đóng đồn ở châu Bắc Bố Chính.
秋八月召廣平鎭守尊室俊還 以阮福喬代之	Mùa thu, tháng 8, triệu trấn thủ Quảng Bình là Tôn Thất Tuấn về, cho Nguyễn Phước Kiều thay.
俊在廣平 號令嚴明 吏民案堵	Tuấn ở Quảng Bình, hiệu lệnh nghiêm minh, quan dân yên ổn.
時渶在廣南 陰懷異志 欲出鎭廣平 以便通鄭 乃密使人謀於缺廣平文職理明姓	Bấy giờ Anh ở Quảng Nam ngầm có chí khác, muốn ra trấn Quảng Bình để tiện được thông với họ Trịnh, bèn mật sai người ra bàn mưu với văn chức Quảng Bình là Lý Minh (không rõ họ).
理明集管內不逞之徒 誣訴俊侵刻百姓 願移俊他鎭 以渶代之	Lý Minh tập hợp những bọn bất mãn ở trong hạt mình cai quản, kiện vu cho Tuấn là lấn xét hà khắc trăm họ, xin đổi Tuấn đi nơi khác để Anh ra thay.
上初信其說 乃罷俊而召渶	Chúa lúc đầu tin lời, bãi Tuấn mà vời Anh.
上大怒 遂以喬代 喬至鎭 撫恤軍民 人皆悅服	Chúa giận lắm, bèn cho Kiều thay, Kiều đến trấn, yêu thương quân dân, người đều tin phục.
於是渶失望 復使問計於理明	Do đấy Anh thất vọng, lại sai người hỏi kế Lý Minh.
理明密書報	Lý Minh mật thư báo rằng:
曰 阮福喬初來 民方愛慕 况是椒房戚屬	"Nguyễn Phước Kiều mới lại, dân đương ái mộ, huống chi lại là họ ngoại [con rể] của chúa, thế khó lung lay.
勢難搖動 然其人怯懦 若得北兵壓境 彼必先奔 此時謀之	Nhưng là người nhút nhát nếu được quân Bắc đến bức thì hắn hẳn chạy trước, khi ấy mà mưu thì việc gì cũng được".
蔑不濟矣 漢喜 卽修書 使人納款于鄭	Anh mừng, tức thì viết thư sai người đem đi xin quy thuận với họ Trịnh.
冬十二月鄭杜挾黎帝 自統水步大兵 直抵日麗海口 上命大將阮美勝督戰 阮有鎰將兵禦之	Mùa đông, tháng 12, Trịnh Tráng dẫn vua Lê đi, tự thống lĩnh đại quân thủy bộ thẳng tới cửa biển Nhật Lệ. Chúa sai đại tướng Nguyễn Mỹ Thắng và đốc chiến Nguyễn Hữu Dật đem quân chống cự.
鎭守阮福喬請植木捍海口	Trấn thủ Nguyễn Phước Kiều xin đóng cọc gỗ để chặn của biển.
阮有鎰請築長沙壘以衞正壘	Nguyễn Hữu Dật xin đắp lũy Trường Sa để bảo vệ lũy chính.
上皆從之	Chúa đều theo cả.
鄭兵放礮爲號	Quân Trịnh bắn súng làm hiệu.
不見渶來應	Không thấy Anh đến tiếp ứng.
梉疑之 退兵隔壘以待 旬餘鄭兵懈弛 我軍突出大戰 鄭兵潰走	Tráng ngờ, lui quân xa lũy để chờ. Hơn một tuần, quân Trịnh chán nản, quân ta xông ra đánh mạnh.
死者太半	Quân Trịnh vỡ chạy, chết quá nửa.
梉乃以阮克阮克堪之子 守北布政州 自引兵還	Tráng bèn lấy Nguyễn Khắc Liệt (con Nguyễn Khắc Kham) cho giữ châu Bắc Bố chính rồi rút quân về.
甲戌二十一年冬十月內贊陶維慈病篤 上親臨視	Giáp tuất, năm thứ 21, mùa đông, tháng 10, nội tán Đào Duy Từ bệnh nặng, chúa thân tới thăm.
維慈泣 曰	Duy Từ khóc và nói rằng:
臣遭遇聖明 涓埃未報 今病至此 尙復何言 尋卒 時年六十三	"Thần gặp được thánh minh, chưa báo đền được chút đỉnh, nay bệnh ốm đến thế này, còn nói gì nữa", rồi chết, năm ấy 63 tuổi.
上悼惜不已 贈協謀同德功臣 特進金紫榮祿大夫 歸葬叢洲	Chúa thương tiếc không nguôi, tặng là Hiệp mưu đồng đức công thần đặc tiến Kim tử vinh lộc đại phu, đưa về táng ở Tùng Châu.
其父陶佐漢母院氏後各封贈	(Cha là Đào Tá Hán, mẹ là Nguyễn thị, sau đều được phong tặng).
維慈有文武才略 凡所籌畫動中機宜 贊襄國政 雖止八年 而勳業炳然	Duy Từ có tài lược văn võ, phàm đã mưu tính trù hoạch gì, hễ làm thì trúng thời cơ, giúp việc nước có 8 năm mà công nghiệp rỡ ràng, đứng hàng đầu công thần khai quốc.
爲開國功臣之冠 嘉隆五年從社太廟 明命十二年封弘國公 所著有虎帳樞機集行世	(Năm Gia Long thứ 5, cho tòng tự tại Thái miếu; năm Minh Mệnh thứ 12, được phong tước Hoằng quốc công. Tập sách Hổ trướng khu cơ do ông làm còn lưu truyền ở đời).
鄭將阮克埒密遣心腹人通款 約以叛鄭歸附 上許之	Tướng Trịnh là Nguyễn Khắc Liệt mật khiến người tâm Phước đến đưa tin hẹn phản họ Trịnh để theo về.
旣歸 遂增築佛岡堡 分兵守橫山	Trở về rồi, bèn đắp thêm đồn Phật Cương, và chia quân đóng giữ Hoành Sơn.
鄭梉聞之 慮其急則生變	Trịnh Tráng nghe biết lo rằng đánh ngay thì sinh biến, nên hãy để yên.
且置之 克埓自以爲得志 日益驕恣	Khắc Liệt tự lấy làm đắc chí, ngày càng thêm kiêu ngạo càn rỡ.
上由是不之信	Vì thế chúa không tin nữa.
乙亥二十二年黎陽和元年冬十月黎帝改明崇禎人 年元陽和	ất hợi, năm thứ 22 (Lê Dương Hòa năm 1, Minh Sùng Trinh năm 8), mùa đông, tháng 10, vua Lê đổi niên hiệu là Dương Hòa.
尊室潶薨于東都 黎帝贈太宰	Tôn Thất Hắc mất ở Đông Đô, vua Lê tặng chức Thái tể.
丁亥上不豫 召世子仁祿侯及尊室溪 入侍 謂溪 曰	Ngày Đinh hợi, chúa không khỏe, triệu thế tử Nhân Lộc hầu và Tôn Thất Khê vào chầu, bảo Khê rằng:
我承先業 志在上扶帝室 下救蒼生	"Ta vâng nối nghiệp trước, chí ta cốt trên giúp nhà vua, dưới cứu sinh dân.
今世子閱歷未周 軍國大事一委賢弟裁決之	Nay Thế tử chưa lịch duyệt, mọi việc lớn quân quốc ta ủy hết cho hiền đệ quyết định".
溪頓首泣	Khê cúi đầu khóc nói:
上復曰	Chúa lại nói:
克埓背叛小人 我曩與之約 亦一時招納之計	"Khắc Liệt là tiểu nhân phản bội, trước kia ta cùng nó ước hẹn, cũng là kế chiêu nạp tạm thời.
汝等勿可深信以遺後患	Các ngươi chớ nên quá tin nó mà lo về sau".
世子及溪拜泣受命 是日上崩	Thế tử và Khê lạy khóc vâng mệnh.
在位二十二年 壽七十有三	Hôm ấy chúa băng, ở ngôi 22 năm, thọ 73 tuổi.
世子嗣位 率群臣上尊諡	Thế tử nối ngôi, đem quần thần dâng thụy hiệu là Đại đô thống trấn nam phương tổng quốc chính Dực Thiện Tuy Du Thụy Dương vương.
曰寧陵于廣田山 後改寧陵于海葛坊 名屬香茶驟山	Trước táng ở núi Quảng Điền, sau cải táng ở núi Hải Cát (tên phường thuộc huyện Hương Trà).
世宗孝武皇帝追尊爲宣祖顯謨光烈温恭明睿翼善綏猷孝文王 妃爲徽恭慈愼順妃 嘉隆五年追尊爲顯謨光烈温恭明睿翼善綏猷孝文皇帝 廟號熙宗 陵名長衍 妃爲徽恭慈愼温淑順莊孝文皇后	Thế tông Hiếu vũ hoàng đế truy tôn là Tuyên tổ Hiển Mô Quang Liệt Ôn Cung Minh Duệ Dực Thiện Tuy Du Hiếu văn vương [và truy tôn] phi là Huy Cung Từ Thuận phi.
陵名永衍 大南寔錄前編卷二止 大南寔錄前編卷三 神宗孝昭皇帝寔錄 神宗承基纘統剛明雄毅威斷英武 孝昭皇帝諱聖誕 辛丑年黎弘定二年 明萬曆二十九年 熙宗孝文皇帝第二子也	Năm Gia Long thứ 5 truy tôn làm Hiển Mô Quang Liệt Ôn Cung Minh Duệ Dực Thiện Tuy Du Hiếu văn hoàng đế, miếu hiệu là Hy tông, lăng gọi là Trường Diễn, [truy tôn] phi làm Huy Cung Từ Thận Ôn Thục Thuận Trang Hiếu văn hoàng hậu, lăng gọi là Vĩnh Diễn.
大南寔錄前編卷三	Tiền biên Quyển III. Tiền biên - Quyển III.
神宗孝昭皇帝寔錄 神宗承基纘統 剛明雄毅威斷英武 孝昭皇帝諱聖誕 辛丑年黎弘定二年 明萬曆二十九年 熙宗孝文皇帝第二子也	Thực lục về Thần tông Hiếu chiêu hoàng đế Thần tông Thừa Cơ Toản Thống Cương Minh Hùng Nghị Uy Đoán Anh Võ Hiếu chiêu hoàng đế, húy là [Phước Lan], sinh năm Tân sửu (Lê - Hoằng Định năm 2, Minh Vạn Lịch năm 29), là con thứ hai của Hy tông Hiếu văn hoàng đế.
母孝文皇后阮氏	Mẹ là Hiếu văn hoàng hậu Nguyễn thị.
初封副將仁祿侯	Đầu được phong Phó tướng Nhân Lộc hầu.
辛未夏皇長子淇薨 立爲世子 開順義營	Mùa hạ năm Tân mùi, hoàng tử cả là Kỳ mất, chúa được lập làm Thế tử, mở dinh Thuận Nghĩa.
乙亥冬十月丁亥熙宗孝文皇帝崩	Năm ất hợi, mùa đông, tháng 10, ngày Đinh hợi, Hy tông Hiếu văn hoàng đế băng hà.
上時年三十五	Bấy giờ chúa 35 tuổi.
群臣奉遺命 尊爲節制水步諸營兼總內外平章軍國重事太保仁郡公	Các quan vâng lời di mệnh tôn làm Tiết chế thủy bộ chư dinh kiêm tổng bình chương quân quốc trọng sự thái bảo Nhân quận công.
時稱上主	Bấy giờ gọi là Chúa Thượng.
是時雨暘時若 國富民殷 藹然有太平之象焉	Bấy giờ mưa nắng thuận hòa, nước giàu dân thịnh, có cảnh tượng thái bình rực rỡ.
廣南鎭守渶反 伏誅	Trấn thủ Quảng Nam là Anh làm phản bị giết.
初熙宗命渶鎭廣南	Đầu là Hy Tông sai Anh làm trấn thủ Quảng Nam.
漢至鎭 陰懷異志 欲奪儲位 私畜勇士數百人 密記姓名 號同心向順	Anh đến trấn, ngầm mang chí khác, muốn cướp ngôi thế tử, nuôi riêng dũng sĩ vài trăm người, bí mật ghi họ tên vào sổ "đồng tâm hướng thuận".
豈可隱忍以傷大義乎 臣請以義斷恩 用昭國憲 上拭淚從之 於是命裴雄良宋朝芳領水師進茶山澳 尊室燕宋文雄領步兵進俱低壘 兩道夾攻	Rồi sai Bùi Hùng Lương, Tống Triều Phương lãnh thủy sư tiến đến vụng Trà Sơn; Tôn Thất Yên, Tống Văn Hùng lãnh bộ binh tiến đến lũy Cu Đê, hai đạo giáp đánh.
時步兵該隊楊山缺姓與尊室宣將兵 從間道直擣廣南	Bấy giờ cai đội bộ binh là Dương Sơn (không rõ họ) cùng Tôn Thất Tuyên đem quân theo đường tắt, đánh thẳng vào Quảng Nam.
楊山先八其營 得同心簿 宣繼至	Dương Sơn đến trước, xông vào dinh bắt được quyển sổ đồng tâm.
放火焚其柵	Tuyên tiếp đến sau, phóng lửa đốt.
渶驚走 望大占海口遁去 宣追獲之 械送以歸 漢伏庭哀訴	Anh sợ chạy trốn về phía cửa biển Đại Chiêm. Tuyên đuổi theo bắt được, đóng gông giải về. Anh nằm rạp xuống sân kêu van.
上猶不忍殺溪及諸將 請 曰	Chúa còn không nỡ giết. Khê và các tướng đều xin rằng:
渶反逆罪大	"Anh phản nghịch, tội rất lớn.
宜眞諸法 以爲亂賊者戒 上乃從之 命溪按同心簿 悉捕誅之	Phải xử theo phép nước để răn bọn loạn tặc". Chúa bèn theo lời, sai Khê theo sổ đồng tâm mà bắt giết hết.
宣宴勞將士 尋陞裴雄良爲掌營 鎭守廣南 楊山爲該	Ban yến để ủy lạo tướng sĩ, rồi thăng Bùi Hùng Lương làm Chưởng dinh trấn thủ Quảng Nam, Dương Sơn làm cai cơ, Phạm làm nội tán.
十二月遷公府于金龍社	Tháng 12, dời công phủ sang xã Kim Long (thuộc huyện Hương Trà).
名屬香茶縣 先是熙宗自葛營移福安 上以地頗逼狹 金龍山川形勝 乃令修宮室治城郭 至是徙居之	Trước là Hy tông từ Dinh Cát dời sang Phước Yên, đất hơi chật hẹp, chúa cho rằng Kim Long là nơi núi sông đẹp tốt, bèn sai dựng cung thất, xây thành quách, đến bấy giờ mới dời sang đây.
以宋有大爲舊營 卽愛子營鎭守	Lấy Tống Hữu Đại làm trấn thủ Cựu dinh (tức là Dinh ái Tử).
丙子元年黎陽和二年明粜禎九年春正月遣使吿訃于黎	Bính tý, năm thứ 1 (Lê Dương Hòa năm 2, Minh Sùng Trinh năm 9), mùa xuân, tháng giêng, sai sứ ra cáo phó với nhà Lê.
二月黎帝命吏科給事中阮光明兵科給事中阮秩齎金銀來賻 光明等至 備儀弔祭 及還 上厚遺之	Tháng 2, vua Lê sai Lại khoa cấp sự trung là Nguyễn Quang Minh và Binh khoan cấp sự trung là Nguyễn Thật đem vàng bạc đến phúng. Bọn Quang Minh đến, sửa nghi lễ tế điếu đầy đủ, khi về, chúa tặng rất hậu.
丁丑二年夏順化大饑	Đinh sửu, năm thứ 2, mùa hè, Thuận Hóa đói to.
戊寅三年以內左外左內右外右爲四柱大臣	Mậu dần, năm thứ 3, lấy các chức nội tả, ngoại tả, nội hữu, ngoại hữu làm tứ trụ đại thần.
已卯四年春二月故尊室淇之妾宋氏八見 宋氏有姿態 善應對 嘗因事進謁 以妻苦狀訴 遂穽百花串以進	Kỷ mão, năm thứ 4, mùa xuân, tháng 2, vợ lẽ cố Tôn Thất Kỳ là Tống thị vào yết kiến. Tống thị có vẻ xinh đẹp, khéo ứng đối, từng nhân việc vào ra mắt, đem tình trạng đau khổ kêu xin và xâu một chuỗi [ngọc] bách hoa để dâng.
侍臣有諫者 不聽	Thị thần có người can, nhưng chúa không nghe.
賜參勘陳文灃祀田一頃 在明靈縣富期社 蔭其子陳文道爲知府 給掌太監阮廷貴寓祿民一坊 廣田縣萬祿坊	Cho Tham khám là Trần Văn Lễ một khoảnh tự điền (ở xã Phú Kỳ, huyện Minh Linh), cho con là Trần Văn Đạo được ấm thụ làm Tri phủ. Cấp cho Chưởng thái giám Nguyễn Đình Quý một phường dân ngụ lộc (phường Vạn Lộc, huyện Quảng Điền).
庚辰五年秋八月我師克北布政州黎鄭梉殺其將阮克埒	Canh thìn, năm thứ 5, mùa thu, tháng 8, quân ta lấy được châu Bắc Bố Chính, Trịnh Tráng triều Lê giết tướng là Nguyễn Khắc Liệt.
初克埒輸款於我 熙宗因而撫之	Đầu là Khắc Liệt đi lại với ta, Hy tông nhân vỗ về.
及上卽位 克埒心懷疑懼 復擾南布政州	Đến khi chúa lên ngôi, Khắc Liệt đem lòng nghi sợ, lại quấy rối châu Nam Bố Chính.
邊吏以聞 上大怒 會諸將議 阮有鎰進	Quan lại ở biên thùy đem việc ấy báo về, chúa giận lắm, hợp các tướng bàn, Nguyễn Hữu Dật nói:
曰 克埒背叛小人 鄭梉外雖信用 丙寔疑忌	"Khắc Liệt là kẻ tiểu nhân phản bội, Trịnh Tráng bề ngoài dù có tin dùng, nhưng bề trong vẫn ngờ ghét.
臣請爲間計 抛書干鄭 言 克埓與我相約 佯爲不和 我兵襲擊 則佯敗走回 誘梉來而殺之	Thần xin làm kế phản gián, phao thư cho họ Trịnh nói Khắc Liệt đã cùng ta giao ước là giả làm không hòa, khi quân ta đánh úp thì giả vờ thua chạy về dụ Tráng đến để giết.
以激梉怒	Làm như thế để khích thêm lòng giận của Tráng.
我因遣兵潛渡爧江 邀克埒會 復申前約 乘其無備而襲擊之 克埒不爲我擒 則爲鄭所殺矣	Ta nhân cho quân ngầm vượt sông Gianh, đón Khắc Liệt đến họp, để nhắc lời ước cũ, thừa lúc không phòng bị mà đánh úp luôn, Khắc Liệt chẳng bị ta bắt cũng bị họ Trịnh giết".
鄭梉得書果大怒 卽遣太尉鄭橋	Trịnh Tráng được thư, quả nhiên giận lắm.
領兵五千 入北布政 擒克埒至	Tức thì sai Thái úy Trịnh Kiều đem 5000 quân vào Bắc Bố Chính bắt Khắc Liệt.
則克埒己爲我將阮福喬張福奮等擊走鄭橋 以爲克埓佯敗 執送鄭梉殺之	Đến nơi thì Khắc Liệt đã bị tướng ta là Nguyễn Phước Kiều và Trương Phước Phấn đánh chạy rồi. Trịnh Kiều cho rằng Khắc Liệt giả đò thua, bắt giải về cho Trịnh Tráng giết.
我師遂取北布政之地 上聞報 笑曰 鄭墜吾術中矣	Quân ta bèn lấy được đất châu Bắc Bố Chính. Chúa nghe tin cười mà nói rằng: "Họ Trịnh rơi vào mẹo của ta rồi".
卽陞有鎰爲監戰 大饗將士 遣人詣東都 陳克埒侵暴之罪	Liền thăng cho Hữu Dật làm giám chiến, khao các tướng sĩ, sai người đến Đông Đô để trình bày tội tham bạo của Khắc Liệt.
鄭梉復書敍累世情誼 且請還北布政地	Trịnh Tráng lại phục thư nói về tình nghĩa lâu đời, và xin trả lại đất Bắc Bố Chính.
上令還之	Chúa ra lệnh trả cho.
時以邊境無虞 頗事宴樂 修治宮室 工役不息 內贊範時	Bấy giờ chúa thấy biên cương không có việc đáng lo, thường chăm yến tiệc vui chơi, xây dựng cung thất công dịch không ngớt.
稱雲軒侯 諫曰	Nội tán Phạm (bấy giờ gọi là Vân Hiên hầu) can rằng:
臣聞王者用賢爲棟 以德爲城 從容垂拱 安若泰山	"Thần nghe bực vương giả dùng người hiền làm cột, lấy đức tốt làm thành, ung dung rủ áo chắp tay mà yên vững như núi Thái.
樸桷不斲 而諸侯感其仁 四夷慕其德 豈必高堂廣厦爲安適哉 今鄭氏上挾黎帝 下脅公卿 久有窺窬之意	Nay họ Trịnh trên thì ép vua Lê, dưới thì hiếp công khanh, vốn có ý nhòm ngó ta. Chúa nên lo lắng siêng năng, xem xét thời cơ, mở mang bờ cõi, nếu không nghĩ điều ấy mà chỉ chăm việc thổ mộc, thì thần chưa biết như thế có nên không".
卽令罷役	Tức thì ra lệnh đình bãi các việc.
辛已六年夏五月旱 禾穀焦枯 米斗直六十錢 民多饑死	Tân tỵ, năm thứ 6, mùa hạ tháng 5, trời hạn, lúa khô héo, mỗi đấu gạo trị giá 60 đồng tiền, dân chết đói nhiều.
上齋戒密禱 尋得雨 歲復豐收	Chúa trai giới khấn thầm, rồi được mưa, mùa lại được.
壬午七年夏五月上以百姓皆安其業 國家豐富 有北伐之志 嘗簡閱步軍 操演陣法	Trăm họ đều yên nghiệp làm ăn. Nhâm ngọ, năm thứ 7, mùa hạ, tháng 5, chúa thấy nước nhà phong phú, có chí đánh miền Bắc, từng kén chọn bộ binh, thao diễn trận pháp.
