项籍者，下相人也， 字羽。 初起时，年二十 四。	Hạng Tịch, người Hạ Tương, tên tự là Vũ, khi mới khởi nghĩa, hai mươi tư tuổi.
然羽非有尺寸乘 埶，起陇亩之中，三年，遂将五诸侯灭秦， 分裂天下，而封王侯，政 由羽出，号为“霸王”，位虽不终，近古以来未尝有也。 及羽背关怀 楚， 放逐义帝而自立，怨王侯叛己，难矣。 自矜功伐，奋其私智而 不师古，谓霸王之业，欲以力征经营天下，五年卒亡其国， 身死东城，尚不觉寤而不 自责，过矣。 乃引“天亡我，非用兵之罪也”，岂不谬哉！	Thái sư công bàn tằng: Ta nghe Chu sinh nói “mắt vua Thuấn có hai con ngươi lại nghe nói Hạng Vũ cũng có hai con ngươi. Lẽ nào Vũ là dòng dõi vua Thuấn chăng? Sao nổi lên mau chóng vậy! Nhà Tần làm mất chính sự, Trần Thiệp làm phản đầu tiên, sau đó hào kiệt nổi lên như ong, cùng nhau tranh giành, nhiều không kể xiết. Song, Vũ không có mảy may quyền bính, thừa thế nổi dậy từ nơi hoang dã, ba năm sau, liền dẫn dắt năm nước chư hầu tiêu diệt nhà Tần, phân chia thiên hạ, phong vương hầu, chính lệnh từ Vũ ban ra, xưng là Bá vương. Tuy ngôi vị không trọn vẹn, nhưng từ thời cận cổ đến nay chưa từng có vậy. Kịp khi Vũ bỏ Quan Trung nhớ đất Sở, xua đuổi Nghĩa đế mà tự lập, oán hận vương hầu phản mình, thì đã khó rồi. Tự phụ chiến công, khoe khoang trí khôn của riêng mình mà không biết noi theo cổ nhân, cho rằng cơ nghiệp bá vương là dùng vũ lực đánh dẹp thiên hạ. Sau năm năm, rốt cuộc mất nước, thân chết ở Đông Thành mà vẫn không tỉnh ngộ, không biết tự trách mình, quả là tội lỗi! Còn viện vào câu “trời diệt ta, chứ không phải lỗi chiến đấu của ta” há chẳng sai lầm ru!
项梁渡淮，黥布、蒲将军 亦以兵属焉。	Hạng Lương vượt sông Hoài. Kình Bố, Bồ tướng quân cũng đem quân quy phụ.
秦嘉军败走，追之至胡陵。	Quân Tần Gia thua chạy, bị đuổi tới Hồ Lăng.
硃鸡石军败，亡走胡陵。	Quân Chu Kê Thạch thua, bỏ chạy tới Hồ Lăng.
此时沛公亦起 沛，往焉。	Lúc này Bải công nổi dậy ở đất Bái, cũng tới dự.
陈婴为楚 上柱国，封五县，与怀王都盱台。	Trần Anh làm Thượng trụ quốc của nước Sở, được phong năm huyện, cùng Hoài vương đóng đô ở Hu Thai.
项梁自号为武信 君。 居数月，引兵攻亢父， 与齐田荣、司马龙且 军救东阿， 大破秦军於东阿。	Hạng Lương tự xưng là Võ Tin quân, Qua mấy tháng, (Lương) đem quân đánh thành Cang Phủ, cùng Điền Vinh, Tư Mã Long Thư nước Tề cứu Đông A, đại phá quân Tần ở Đông A.
假亡走楚。	Giả chạy trốn đến Sở.
角弟田间故齐将，居赵不敢归。	Em của Giác là Điền Nhàn là tướng Tề trước đây, ở lại Triệu không dám về.
项梁已破东阿下军，遂追秦军。 数使使趣 齐兵，欲与俱西。	Hạng Lương sau khi phá các cánh quân ở quanh Đông A, liền truy đuổi quân Tần; mấy lần sai sứ giả giục quân Tề, muốn cùng tiến về phía tây.
赵亦不杀田角、田间以市於齐。	Triệu cũng không giết Điền Giác, Điền Nhàn để trao đổi với Tề.
沛公、项羽乃攻定陶。	Bái công, Hạng Vũ bèn đánh Định Đào.
定陶未下，去，西略地至雝丘， 大破秦军，斩李由。 还攻外黄， 外黄未下。	Định Đào chưa hạ được, bèn bỏ đi, về phía tây chiếm đất tới Ung Khưu, đại phá quân Tần, chém Lý Do; đoạn quay về đánh Ngoại Hoàng, nhưng chưa hạ được.
项梁弗听。 乃使宋义使於齐。	Hạng Lương không nghe, bèn sai Tống Nghĩa đi sứ nước Tề.
道遇齐 使者高陵君显， 曰：“公将见武信君乎？”	Trên đường gặp sử Tề là Cao Lăng quân Hiển, Tống Nghĩa nói: “Ông sắp gặp Võ Tín quân sao?”
曰：“臣 论武信君军必败。公徐行即免死，疾行则及祸。”	Lại nói: “Tôi đoán quân của Võ Tín quân ắt thua. Ông đi thong thả thì khỏi chết, đi nhanh thì gặp vạ.”
吕臣军彭城东，项羽军彭城西，沛公军砀。	Lã Thần đóng quân ở phía đông Bành Thành, Hạng Vũ đóng quân ở phía tây Bành Thành, Bái công đóng quân ở Đường quận.
初，宋义所遇齐使者高陵君显在楚军，见楚王曰：“宋义论武信 君之军必败，居数日，军果败。兵未战而先见败徵，此可谓知兵 矣。”	Ban đầu, sứ Tề mà Tống Nghĩa gặp là Cao Lăng quân Hiển, ở trong quân Sở, gặp Sở vương liền nói: “Tống Nghĩa đoán quân của Võ Tín quân ắt thua, được vài ngày, quân ấy quả nhiên thua. Quân còn chưa đánh mà đã thấy điềm bại vong, ấy đáng gọi là biết binh pháp vậy.”
行至安阳，留四十六日不进。	Hành quân tới An dương, ở lại bốn mươi sáu ngày không tiến quân.
宋义曰：“不然。夫搏牛之虻不可以破虮虱。 今秦 攻赵，战胜则兵罢，我承其敝；不胜，则我引兵鼓行而西，必举秦 矣。故不如先斗秦赵。夫被坚执锐，义不如公；坐而运策，公不如 义。”	Tống Nghĩa nói: “Không phải. Ruồi trâu đốt trâu không màng giết rận. Nay Tần đánh Triệu, đánh thắng thì quân mệt, ta sẽ thừa cơ; không thắng thì ta cất quân gióng trống tiến về phía tây, ắt lấy được Tần, vậy nên chẳng thà cứ để cho Tần Triệu đánh nhau trước. Mặc giáp cầm thương, Nghĩa chẳng bằng ông, song ngồi bày mưu lược, ông không bằng Nghĩa.”
项羽曰：“将戮力而攻秦， 久留不行。今岁饥民贫，士卒食芋菽， 军无见粮， 乃饮酒高会，不引兵渡河因赵食，与赵并力攻秦，乃曰‘承 其敝’。夫以秦之彊，攻新造之赵，其势必举赵。赵举而秦彊，何敝 之承！且国兵新破，王坐不安席，埽境内而专属於将军，国家安危， 在此一举。今不恤士卒而徇其私， 非社稷之臣。”	Hạng Vũ nói: “Lẽ ra phải dốc sức đánh Tần, giờ lại ở lâu không đi. Năm nay đói, dân nghèo, sĩ tốt ăn khoai đậu, quân không còn lương. Vậy mà lại ăn uống linh đình, không cất quân vượt Hoàng Hà, nhân khi Triệu có lương thực, cùng Triệu hợp sức đánh Tần, ấy mới gọi là thừa cơ. Với sức mạnh của Tần, đánh nước Triệu mới lập, thế ấy ắt lấy được Triệu. Triệu mất thì Tần mạnh, còn thừa cơ nỗi gì! Vả lại, quân ta mới thua, vua ngồi không yên chiếu, vét hết quân, lương cả nước trao cho một mình tướng quân, nước nhà yên hay nguy là trận này. Nay không xót binh sĩ mà theo ý riêng, không phải bề tôi của xã tắc.”
项羽已杀卿子冠军，威震楚国，名闻诸侯。 乃遣当阳君、蒲将军 将卒二万渡河，救钜鹿。	Hạng Vũ sau khi giết Khanh Tử Quán quân, uy vang nước Sở, tiếng dội chư hầu, bèn sai Đường Dương quân, Bồ tướng quân cầm hai vạn quân vượt Hoàng Hà, cứu Cự Lộc.
诸侯军救钜鹿下者十馀壁，莫敢纵兵。	Quân chư hầu đến cứu Cự Lộc có hơn mười trại, nhưng không ai dám xuất quân.
於是已破秦军，项羽召 见诸侯将，入辕门， 无不膝行而前，莫敢仰视。	Thế rồi sau khi phá được quân Tần, Hạng Vũ triệu kiến tướng các nước chư hầu. Khi vào viên môn, không ai không lê gối tiến lên, không dám ngẩng nhìn.
章邯军棘原， 项羽军漳南， 相持未战。	Chương Hàm đóng quân ở Cúc Nguyên, Hạng Vũ đóng quân ở Chương Nam, giằng dai chưa đánh.
秦军 数卻，二世使人让章邯。	Quân Tần mấy lần lui binh, Nhị Thế sai người trách Chương Hàm.
陈馀亦遗章邯书曰：“白起为秦将，南征鄢郢，北阬马服， 攻城略地，不可胜计，而竟赐死。蒙恬为秦将，北逐戎人，开 榆中地数千里， 竟斩阳周。 何者？功多，秦不能 尽封，因以法诛之。今将军为秦将三岁矣，所亡失以十万数，而诸侯 并起滋益多。彼赵高素谀日久，今事急，亦恐二世诛之，故欲以法诛 将军以塞责，使人更代将军以脱其祸。夫将军居外久，多内卻，有功 亦诛，无功亦诛。且天之亡秦，无愚智皆知之。今将军内不能直谏， 外为亡国将，孤特独立而欲常存，岂不哀哉！将军何不还兵与诸侯为 从， 约共攻秦，分王其地，南面称 孤；此孰与身伏鈇质， 妻子为 僇乎？”	Trần Dư cũng gửi thư cho Chương Hàm, viết rằng: “Bạch Khởi là tướng Tần, nam đánh Yên Dĩnh, bắc chôn Mã Phục, chiếm thành cướp đất, không sao kể hết, nhưng cuối cùng lại bị ban cho chết. Mông Điềm là tướng Tần, bắc đuổi người Nhung, mở đất Du Trung đến mấy ngàn dặm, cuối cùng bị chém ở Dương Chu. Vì sao vậy? Vì lập nhiều công, Tần không thể ban phong hết được, do đó mượn quốc pháp để giết hại. Nay tướng quân làm tướng Tần đã ba năm, số binh mã để mất mát đến hàng chục vạn, chư hầu nổi dậy ngày một nhiều. Tên Triệu Cao kia vốn xu nịnh lâu ngày, nay việc cấp bách, cũng sợ bị Nhị Thế giết, nên muốn mượn quốc pháp giết tướng quân cho xong chuyện, sai người thay tướng quân để thoát khỏi vạ. Tướng quân ở ngoài đã lâu, trong triều có nhiều hiềm khích, nay có công cũng bị giết, không có công cũng bị giết. Vả lại trời diệt nước Tần, người khôn kẻ dại đều biết. Nay tướng quân trong không thể can gián, ngoài làm tướng mất nước, thân đơn thế cô mà muốn tồn tại lâu dài, há chẳng đáng thương sao! Sao tướng quân không quay lại cùng chư hầu hợp tung, hẹn cùng đánh Tần, chia đất làm vương, quay mặt về nam mà xưng cô. Việc đó so với việc thân nằm trên thớt, vợ con bị giết, chẳng phải hơn sao?”
章邯狐疑，阴使候始成 使项羽，欲约。	Chương Hàm do dự, ngầm sai quân hầu là Thủy Thành làm sứ giả gặp Hạng Vũ, muốn cùng giao ước.
约未成，项羽使蒲将军日夜引 兵度三户， 军漳南，与秦战，再破之。	Giao ước chưa thành, Hạng Vũ sai Bồ tướng quân ngày đêm cầm quân vượt Tam Hộ, đóng ở Chương Nam, cùng Tần giao chiến, hai lần phá tan.
章邯使人见项羽，欲约。	Chương Hàm sai người yết kiến Hạng Vũ, muốn cùng giao ước.
诸侯吏卒异时故繇使屯戍过秦中，秦中吏卒遇之多 无状，及秦军降诸侯，诸侯吏卒乘胜多奴虏使之，轻折辱秦吏卒。	Quân chư hầu lúc trước phục dịch hoặc đi thú qua Tần Trung, lính Tần Trung gặp họ, làm nhiều điều vô lễ. Kịp khi quân Tần đầu hàng chư hầu, quân chư hầu thừa thắng, phần đông coi họ là nô lệ để sai khiến, khinh nhờn làm nhục quân Tần.
秦 吏卒多窃言曰：“章将军等诈吾属降诸侯，今能入关破秦，大善；即 不能，诸侯虏吾属而东，秦必尽诛吾父母妻子。”	Có nhiều lính Tần trộm nói với nhau rằng: “Bọn Chương tướng quân lừa chúng ta đầu hàng chư hầu, nay có thể vào ải phá Tần thì quá tốt; nếu không được, chư hầu sẽ bắt chúng ta làm tù binh đưa về miền đông, Tần ắt giết hết cha mẹ vợ con ta.”
项羽遂入，至于戏西。	Hạng Vũ bèn đi vào, tới phía tây sông Hý.
范增说项羽 曰：“沛公居山东时，贪於财货，好美姬。今入关，财物无所取，妇 女无所幸，此其志不在小。吾令人望其气，皆为龙虎，成五采，此天 子气也。急击勿失。”	Phạm Tăng khuyên Hạng Vũ rằng: “Lúc Bái công ở Sơn Đông, tham tiền của, thích gái đẹp. Nay vào Quan Trung, của cải không hề lấy, đàn bà không hề gần, chứng tỏ chí ông ta không nhỏ. Tôi sai người xem khí mấy chỗ ông ta, đều có tượng rồng hổ, phố năm sắc, ấy là khí của thiên tử vậy. Phải đánh gấp chở để lỡ!”
良 乃入，具告沛公。	Lương bèn vào kể hết với Bái công.
项 伯即入见沛公。	Hạng Bá liền vào gặp Bái công.
沛公奉卮酒为寿，约为婚姻，曰：“吾入关，秋豪不 敢有所近，籍吏民，封府库，而待将军。所以遣将守关者，备他盗之 出入与非常也。日夜望将军至，岂敢反乎！原伯具言臣之不敢倍德 也。”	Bái công bưng chén rượu chúc thọ, hẹn làm thông gia, nói rằng: “Tôi vào Quan Trung, tơ hào không dám động chạm, kiểm kê quân dân, niêm phong kho đụn, để đợi tướng quân. Cho nên sai tướng giữ cửa ải, đề phòng trộm cắp ra vào và việc bất trắc. Ngày đêm mong tướng quân tới, đâu dám làm phản! Mong Hạng Bá thưa rằng tôi không dám phản bội đức ngài.”
项王即日因留沛公与饮。	Hạng vương ngay hôm đó giữ Bái công lại cùng uống rượu.
项 王、项伯东乡坐。 亚父南乡坐。	Hạng vương, Hạng Bá ngồi hướng đông, Á phụ ngồi hướng nam.
范增数目项王，举所佩玉玦以示之者三，项王默然不应。	Phạm Tăng mấy lần đưa mắt nhìn Hạng vương, giơ ngọc quyết thường đeo ra hiệu ba lần, Hạng vương lặng im không phản ứng.
於是张良至军门，见樊哙。	Thế rồi Trương Lượng ra cửa quân doanh, gặp Phàn Khoái.
樊哙曰：“今日 之事何如？”	Phàn Khoái hỏi: “Việc hôm nay thế nào?”
哙即带剑拥盾入军 门。	Khoái tức thì dắt kiếm cầm khiên xông vào cửa.
则与斗卮酒。	Đoạn cho chén rượu.
樊哙覆其盾 於地，加彘肩上，拔剑切而啗之。	Khoái úp khiên xuống đất, đặt vai lớn lên, tuốt kiếm xẻo ăn.
坐须臾，沛公起如厕，因招樊 哙出。	Ngồi một chốc, Bái công đứng dậy đi nhà xí, nhân gọi Phàn Khoái ra.
沛公已出，项王使都尉陈平召沛 公。	Sau khi Bái công đi ra, Hạng vương sai đô úy Trần Bình gọi Bái công.
樊哙曰：“大行不顾 细谨，大礼不辞小让。如今人方为刀俎，我为鱼肉，何辞为。”	Phàn Khoái nói: “Làm việc lớn không màng tiểu tiết, làm lễ lớn không chấp việc nhỏ. Ban nãy người ta vừa là dao thớt, mình là cá thịt, từ biệt làm gì!”
沛公则置车骑，脱身独骑，与樊哙、夏侯婴、靳彊、纪 信等四人持剑盾步走，从郦山下， 道芷阳间行。	Bái công bỏ xe ngựa, một mình cưỡi ngựa thoát thân, cùng bọn bốn người Phàn Khoái, Hạ Hầu Anh, Cận Cương, Kỷ Tín cầm kiếm, khiên, chạy bộ từ Ly Sơn xuống, đi vào Chỉ Dương, theo con đường nhỏ.
沛公谓张良曰：“从此道至吾军，不过二十里耳。度我 至军中，公乃入。”	Bái Công nói với Trương Lương: “Theo đường này tới doanh trại ta, bất quá hai mươi dặm thôi. Chừng ta về tới doanh trại, ông hẵng vào!”
沛公已去，间至军中，张良入谢，曰：“沛公不 胜桮杓，不能辞。谨使臣良奉白璧一双，再拜献大王足下；玉斗一 双，再拜奉大将军足下。”	Bái công đã đi, chừng về tới doanh trại, Trương Lương bèn vào tạ tội, nói: “Bái công tửu lượng không tốt, không thể từ biệt. Xin sai thần Lương bưng một đôi ngọc bích trắng, kính dâng lên đại vương túc hạ; một đôi ngọc đầu, kính biếu đại tướng quân túc hạ!”
项王则受璧，置之坐上。	Hạng vương liền nhận ngọc bích, đặt lên chỗ ngồi.
沛公至军，立诛杀曹无伤。	Bái công về tới doanh trại, lập tức giết Tào Vô Thương.
居数日，项羽引兵西屠咸阳，杀秦降王子婴，烧秦宫室，火三月 不灭；收其货宝妇女而东。	Qua mấy ngày, Hạng Vũ đem quân về phía tây làm có thành Hàm Dương, giết vua Tần đã hàng là Tử Anh, đốt cung thất nhà Tần, lửa cháy ba tháng không tắt; thu của báu và đàn bà đem về phía đông.
项王见秦宫皆以烧残破，又心怀思欲东归，曰：“富贵不归故 乡，如衣绣夜行，谁知之者！”	Hạng vương thấy cung thất nhà Tần đều bị đốt cháy, phá hoại, lòng lại nhớ quê muốn về miền đông, bèn nói: “Được giàu sang mà không về quê cũ thì như mặc áo gấm đi đêm, ai mà biết được?”
项王、范增疑沛公之有天下，业已讲解， 又恶负约，恐诸侯叛之，乃阴 谋曰：“巴、蜀道险，秦之迁人皆居蜀。”	Hạng Vương, Phạm Tăng ngờ Bái công muốn chiếm thiên hạ, song đã giảng hòa, lại ngại bội ước, sợ chư hầu làm phản, bèn ngầm bàn rằng: “Vùng Ba, Thục đường hiểm trở, người nhà Tần lưu đày đều ở Thục.”
故立沛公为汉王，王巴、蜀、汉 中，都南郑。	Cho nên lập Bái công làm Hán vương, cai trị vùng Ba, Thục, Hán Trung, đóng đô ở Nam Trịnh.
徙魏王豹为西魏 王，王河东，都平阳。	Đổi phong Ngụy vương Báo làm Tây Ngụy vương, cai trị Hà Đông, đóng đô ở Bình Dương.
瑕丘申阳者， 张耳嬖臣也，先下河南，迎 楚河上，故立申阳为河南王，都雒阳。	Hà Khưu, Thân Dương là sủng thần của Trương Nhĩ, đánh Hà Nam trước, đón quân Sở ven Hoàng Hà, nên lập Thân Dương làm Hà Nam vương, đóng đô ở Lạc Dương.
赵将司马卬定河内， 数有功，故立卬为殷王，王河内，都朝歌。	Tướng Triệu Tư Mã Ngang định yên Hà Nội, mấy lần lập công, nên lập Ngang làm Ân vương, cai trị Hà Nội, đóng đô ở Triều Ca.
赵相张 耳素贤，又从入关，故立耳为常山王，王赵地，都襄国。	Tướng quốc nước Triệu là Trương Nhĩ vốn tài giỏi, lại theo vào Quan Trung, nên lập Nhĩ làm Thường Sơn vương, cai trị đất Triệu, đóng đô ở Tương Quốc.
鄱君吴芮率百越佐诸侯， 又从入关，故立 芮为衡山王，都邾。	Bà Quân, Ngô Nhuế dẫn dắt Bách Việt phò giúp chư hầu, lại theo vào Quan Trung, nên lập Nhuế làm Hành Sơn vương, đóng đô ở đất Chu.
义帝柱国共敖将兵击 南郡，功多，因立敖为临江王， 都江陵。	Trụ quốc của Nghĩa đế là Cung Ngao đem quân đánh Nam quận, lập nhiều công, nhân lập Ngao làm Lâm Giang vương, đóng đô ở Giang Lăng.
燕将臧荼从楚救赵，因从入关，故 立荼为燕王，都蓟。	Tướng Yên là Tang Đồ, theo Sở cứu Triệu, nhân theo vào Quan Trung, nên lập Đồ làm Yên vương, đóng đô ở đất Kế.
徙齐王田市为胶东王。	Đổi phong Tề vương Điền Thị làm Giao Đông vương.
故秦所灭齐王建孙田 安，项羽方渡河救赵，田安下济北数城，引其兵降项羽，故立安为济 北王，都博阳。	Cháu của Tề vương Kiến bị Tần diệt trước kia là Điền An, khi Hạng Vũ vừa vượt Hoàng Hà cứu Triệu, Điền An đánh hạ mấy thành ở phía bắc sông Tế, đem quân đầu hàng Hạng Vũ, nên lập An làm Tế Bắc vương, đóng đô ở Bác Dương.
成安君陈馀弃将 印去，不从入关，然素闻其贤，有功於赵，闻其在南皮， 故因环 封三县。	Thành An quân Trần Dư bỏ ấn tướng mà đi, không theo vào Quan Trung, song vốn nghe ông ta hiền tài, có công với Triệu, nghe nói ông ta ở Nam Bì, nên phong cho ba huyện xung quanh.
番君将梅鋗 功多，故封十万户侯。	Tướng của Phiên Quân là Mai Quyên, lập nhiều công, nên phong cho làm Thập vạn hộ hầu.
乃使使徙义帝长沙郴县。	Bèn sai sứ khuyên Nghĩa đế dời đến huyện Sâm ở Trường Sa.
趣义帝行，其群臣稍稍背叛之，乃阴令衡山、临江王击杀之江 中。	Hạng vương giục Nghĩa đế đi, quần thần của Nghĩa để dần dần phản bội, bèn ngầm lệnh cho Hành Sơn vương, Lâm Giang vương giết Nghĩa đế trên Trường Giang.
臧荼之国，因逐韩 广之辽东，广弗听，荼击杀广无终，并王其地。	Tang Đồ tới nước phong, nhân đó đuổi Hàn Quảng tới Liêu Đông, Quảng không nghe, Đồ đánh giết Quảng ở Vô Chung, sáp nhập đất của Quảng.
田荣闻项羽徙齐王市胶东，而立齐将田都为齐王，乃大怒，不肯 遣齐王之胶东，因以齐反，迎击田都。	Điền Vinh nghe nói Hạng Vũ đổi phong cho Tề vương Thị tới Giao Đông, rồi lập tướng Tề là Điền Đô làm Tề vương, bèn nổi giận, không chịu cho Tề vương đi Giao Đông, nhân đó đem nước Tề làm phản, đón đánh Điền Đô.
田都走楚。	Điền Đô bỏ chạy đến Sở.
荣因自立为齐王，而西杀击 济北王田安，并王三齐。	Vinh nhân đó tự lập làm Tề vương, rồi về phía tây đánh giết Tế Bắc vương Điền An, thu gom đất đai Tam Tề.
荣与彭越将军印，令 反梁地。	Vinh trao cho Bành Việt ấn tín tướng quân, lệnh cho làm phản ở đất Lương.
张耳走归汉。	Trương Nhĩ chạy, theo về Hán.
布称疾不往，使将将数千人行。	Bố cáo bệnh không tới, sai tướng đem mấy nghìn người đi.
田荣不胜，走至平原，平原民杀之。	Điền Vinh không thắng, chạy đến Bình Nguyên, dân Bình Nguyên giết y.
於是田荣弟田横收齐亡卒得数万人，反城阳。	Thế rồi em của Điền Vinh là Điền Hoành thu thập lính Tề tản mác được mấy vạn người, làm phản ở Thành Dương.
四月，汉皆已 入彭城，收其货宝美人，日置酒高会。	Tháng Tư, quân Hán đều đã vào Bành Thành, lấy của báu, gái đẹp, ngày nào cũng mở tiệc linh đình.
项王乃西从萧，晨击汉军 而东，至彭城，日中，大破汉军。	Hạng vương bèn tiến về tây, men theo Tiêu huyện, sáng sớm đánh quân Hán rồi tiến về đông, tới Bành Thành, giữa trưa, đại phá quân Hán.
汉军皆走，相随入穀、泗水， 杀汉卒十馀万人。	Quân Hán đều chạy, theo nhau nhảy xuống sông Cốc, sông Tử. Giết hơn mười vạn quân Hán.
汉卒皆南走山， 楚又追击至灵壁东 睢水上。	Quân Hán chạy cả về phía nam, vào trong núi. Quân Sở lại đuổi đánh tới phía đông Linh Bích trên sông Tuy.
於是 大风从西北而起，折木发屋，扬沙石，窈冥昼晦， 逢迎楚军。	Thế rồi gió lớn từ phía tây bắc nổi lên, đổ cây thốc mái, văng cát đá, ban ngày mù mịt, thổi thẳng vào quân Sở.
楚骑追汉王，汉王急，推堕孝 惠、鲁元车下，滕公常下收载之。 如是者三。	Kỵ binh của Sở truy đuổi Hán vương, Hán vương vội vã, đẩy Hiếu Huệ và Lỗ Nguyên xuống xe. Đằng công lại xuống đưa họ lên chở đi, cứ như vậy ba lần.
求太公、吕后不相遇。	Bái công lại tìm Thái công và Lã hậu nhưng không gặp.
审食其 从太公、吕后间行， 求汉王，反遇楚军。 楚军遂与归，报项王，项 王常置军中。	Thẩm Tự Cơ theo Thái công, Lã hậu đi đường nhỏ, tìm Hán vương, song lại gặp phải quân Sở, Quân Sở bèn đưa về, bẩm báo Hạng vương. Hạng vương giữ họ ở lại trong quân.
是时吕后兄周吕侯 为汉将兵 居下邑， 汉王间往从 之，稍稍收其士卒。	Bấy giờ anh của Lã hậu là Chu Lã Hầu cầm quân cho Hán, đóng ở Hạ Ấp. Hán vương đi đường nhỏ tìm tới Chu Lã Hầu, dần dần thu lại sĩ tốt.
至荥阳，诸败军皆会，萧何亦发关中老弱未傅悉 诣荥阳， 复大振。	Đến Huỳnh Dương, các quân bại trận đều họp lại, Tiêu Hà cũng huy động tất cả già trẻ không ở tuổi nhập ngũ ở Quan Trung đến Huỳnh Dương. Quân Hán lại lớn mạnh.
项王之救彭城，追汉王至荥阳，田横亦得收齐，立田荣子广为齐 王。	Hạng vương đến cứu Bành Thành, đuổi Hàn vương tới Huỳnh Dương. Điền Hoành cũng thu lại được nước Tề, lập con Điền Vinh là Quảng làm Tề vương.
汉王之败彭城，诸侯皆复与楚而背汉。	Hán vương bị thua ở Bình Thành, chư hầu đều lại theo Sở mà phản Hán.
汉之三年，项王数侵夺汉甬道，汉 王食乏，恐，请和，割荥阳以西为汉。	Năm thứ ba nhà Hán, Hạng vương mấy lần đánh, cướp tới Hoàng Hà, để lấy đường ống của Hán, Hán vương thiếu lương, lo sợ, xin hòa, cắt đất từ Huỳnh Dương về phía tây thuộc Hán.
历阳侯范增曰： “汉易 与耳，今释弗取，後必悔之。”	Lịch Dương hầu Phạm Tăng nói: “Hán dễ đối phó thôi, nay bỏ không lấy, sau ắt hối hận.”
行未至彭城，疽发背而死。	Phạm Tăng đi chưa tới Bành Thành, trên lưng nổi nhọt mà chết.
汉王亦与数十骑从城西门出，走成皋。	Hán vương cùng mấy mươi kỵ binh từ cổng tây thành đi ra, chạy tới Thành Cao.
项王见纪信，问：“汉王安在？”	Hạng vương gặp Kỷ Tín, liền hỏi: “Hán vương ở đâu?”
汉王使御史大夫周苛、枞公、魏豹守荥阳。	Hán vương sai Ngự sử đại phu Chu Hà, Thung Công, Ngụy Báo giữ Huỳnh Dương.
汉王逃， 独与滕公出成皋北门， 渡河走脩武，从张耳、韩信军。	Hán vương chạy trốn, một mình cùng Đẳng Công ra khỏi cửa bắc Thành Cao, vượt Hoàng Hà chạy tới Tu Vũ, theo quân của Trương Nhĩ, Hàn Tín.
楚遂拔成皋，欲西。	Sở bèn hạ Thành Cao, muốn tiến về phía tây.
项王乃自东击彭越。	Hạng vương bèn từ phía đông đánh Bành Việt.
使刘贾将兵 佐彭越，烧楚积聚。	Sai Lưu Giả đem quân giúp Bành Việt, đốt lương thực của Sở.
项王东击破之，走彭越。	Hạng vương phía đông đánh vỡ quân Hán, Bành Việt bỏ chạy.
汉王则引 兵渡河，复取成皋，军广武，就敖仓食。	Hán vương thì dẫn quân vượt Hoàng Hà, lấy lại Thành Cao, đóng quân ở Quảng Vũ, lấy lương thực ở Ngao Thương.
汉王曰：“吾与项羽俱北面受命怀王，曰‘约为兄弟’，吾翁 即若翁，必欲烹而翁，则幸分我一桮羹。”	Hán vương nói: “Ta cùng Hạng Vũ đều ngoảnh mặt về hướng bắc nhận mệnh của Hoài vương, nói rằng kết làm huynh đệ, bố ta cũng tức bố người, người muốn nấu bố người thì chia cho ta một bát canh.”
楼烦欲射之，项王瞋目叱之，楼烦目不敢视，手 不敢发，遂走还入壁，不敢复出。	Lâu Phiền định bắn, Hạng vương trừng mắt quát lớn, Lâu Phiền mắt không dám nhìn, tay không dám bắn, bèn chạy trở vào quân doanh, không dám ra nữa.
汉王伤，走入成皋。	Hán vương bị thương, chạy vào Thành Cao.
项王闻淮阴侯已举河北，破齐、赵，且欲击楚，乃使龙且 往击之。	Hạng vương nghe tin Hoài Âm hầu đã lấy Hà Bắc, phá Tề, Triệu, lại định đánh Sở, bèn sai Long Thư tới đánh.
韩信因自立为齐王。	Hàn Tín nhân đó tự lập làm Tề vương.
项王闻龙且军破，则恐，使盱台人 武濊涉往说淮阴侯。	Hạng vương nghe tin quận Long Thư vỡ trận, lo sợ, sai Võ Thiệp người Hu Thai tới khuyên Hoài Âm hầu.
淮阴侯弗听。	Hoài Âm hầu không nghe.
乃东，行击陈留、 外黄。	Đoạn bèn tiến về phía đông, trên đường hành quân đánh Trần Lưu, Ngoại Hoàng.
汉果数挑楚军战，楚军不出。	Quả nhiên, quân Hán khiêu chiến quân Sở mấy lần, quân Sở không ra.
当是时，项王在 睢阳，闻海春侯军败，则引兵还。	Lúc bấy giờ, Hạng vương ở Tuy Dương, nghe tin quân của Hải Xuân hầu bại trận bèn rút quân về.
汉军方围锺离眛 於荥阳东，项王至，汉军畏楚，尽走险阻。	Quân Hán vừa vây Chung Ly Muội ở phía đông Huỳnh Dương, Hạng vương tới, quân Hán sợ Sở, chạy hết vào nơi hiểm yếu.
汉遣陆贾说项王，请太公， 项王弗听。	Hán vương sai Lục Giả tới khuyên Hạng vương, xin lại Thái công, Hạng vương không nghe.
汉王乃封侯公为 平国君。	Hán vương bên phong cho Hầu Công làm Bình Quốc quân.
