周后稷，名弃。	Chu Hậu Tắc tên là Khí.
穆王将征犬戎，祭公谋父谏曰： “不可。先王燿德不观兵。夫兵戢而 时动，动则威，观则玩，玩则无震。是故 周文公之颂曰：‘载戢干戈，载 櫜弓矢，我求懿德，肆于时夏，允王保 之。’ 先王之於民也，茂正其德而厚其性， 阜其财求而利其器用，明利害之乡，以文 脩之，使之务利而辟害，怀德而畏威，故能保世以滋大。昔我先王世 后稷以服事 虞、夏。及夏之衰也，弃稷不务， 我先王不窋用失其官，而自窜於戎狄之间。不敢怠业，时序其 德，遵脩其绪，脩其训典，朝夕恪 勤，守以敦笃，奉以忠信。奕世载德，不忝前人。 至于文王、武 王，昭前之光明而加之以慈和，事神保民，无不欣喜。商王帝辛大恶 于民，庶民不忍，䜣载武王，以致戎于商牧。 是故先王非务武也，劝恤民隐而除其害也。夫先王之制，邦内甸 服，邦外侯服，侯卫宾服， 夷蛮要服，戎翟荒服。甸服者祭， 侯服者祀，宾服者享， 要服者贡，荒服者王。 日祭，月祀，时 享，岁贡，终王。先王之顺祀也， 有不祭则脩意， 有不祀则脩言，有不享则脩文， 有不贡则脩名， 有不王则脩德， 序成而有不至则脩刑。 於是有刑不祭，伐不祀，征不享，让不贡，告不 王。於是有刑罚之辟，有攻伐之兵，有征讨之备，有威让之命，有文 告之辞。布令陈辞而有不至，则增脩於德，无勤民於远。是以近无不 听，远无不服。今自大毕、伯士之终也， 犬戎氏以其职来王， 天 子曰‘予必以不享征之，且观 之兵’，无乃废先王之训，而王几顿乎？吾闻犬戎树 敦， 率旧德而守终纯固，其有以御我矣。”	Mục vương sắp chinh phạt Khuyển Nhung, Trái Công Mưu Phụ ngăn rằng: “Không nên, Tiên vương làm rạng rỡ đức nghiệp, không khoe vũ lực. Vũ lực thu lại, khi cần mới dùng, dùng phải có uy, khoe khoang thì nhờn, nhờn thì không sợ. Vậy nên bài tụng của Chu Văn công nói: “Thu xếp giáo mác, gói ghém cung tên, ta cầu đức tốt, ban khắp mọi miền, đức vua giữ yên. Các bậc tiên vương đối với dân, chỉnh đốn đạo đức, đôn hậu tính tình, làm giàu của cải, gia tăng vật dụng, làm rõ lợi hại, lấy văn dạy dỗ, khiến họ vì lợi mà tránh hại, mến đức mà sợ uy, nên có thể đời đời giữ thiên hạ mà không ngừng lớn mạnh vậy. Xưa tiên vương ta đời đời làm Hậu tắc, phụng sự Ngu – Hạ. Kịp khi nhà Hạ suy, bỏ chức Hậu Tắc không dùng, tiên vương Bất Truất ta mất chức, phải chạy vào vùng Nhung địch. Ngài không dám bỏ bê cơ nghiệp, gìn giữ đạo đức, tiếp nối mối giềng, sửa sang chế độ, sớm tối ân cần, giữ mình đôn hậu, xử sự trung thực. Đời đời giữ đức, chẳng thẹn với tiền nhân. Đến đời Văn vương, Võ vương, làm rạng rỡ vinh quang đời trước, lại thêm tiền từ, hòa mục, thờ thần vỗ dân, ai cũng mừng rỡ. Vua Đế Tân nhà Thương ác nghiệt với dân, dân không chịu nổi, ủng hộ Võ vương, dẫn đến cuộc tiến binh ở Mục Dã. Bởi vậy tiên vương không chuộng vũ lực, thương xót nỗi khổ của dân mà trừ hại. Xét quy chế của tiên vương, trong kinh kỳ là vùng Điện phục, ngoài kinh kỳ là vùng Hầu phục, Hầu Vệ là vùng Tân phục, Di man là vùng Yêu phục, Nhung địch là vùng Hoang phục. Vùng Điện phục tham gia lễ Tế, Hầu phục tham gia lễ Tự, Tân phục tham gia lễ Hưởng, Yêu phục tới tiến cống, Hoang phục thờ vua. Tế theo ngày, Tự theo tháng, Hưởng theo mùa, cống theo năm, thờ vua suốt đời, ấy là phép tế tự lần lượt do tiên vương đặt ra vậy. Có kẻ không tham gia lễ Tế thì các ngài chỉnh đốn ý niệm. Có kẻ không tham gia lễ Tự thì các ngài chỉnh đốn lời nói. Có kẻ không tham gia lễ Hưởng thì các ngài chỉnh đốn điển pháp. Có kẻ không tới tiến cống thì các ngài chỉnh đốn danh phận. Có kẻ không thờ vua thì các ngài chỉnh đốn đức hạnh. Những điều trên lần lượt làm xong mà có kẻ không tới thì sửa sang hình phạt. Thế rồi dùng hình phạt với kẻ không tham gia lễ Tế, tấn công kẻ không tham gia lễ Tự, chinh phạt kẻ không tham gia lễ Hưởng, khiển trách kẻ không tới tiến cống, răn đe kẻ không thờ vua. Thế rồi có quy định hình phạt, có quân đội tấn công, có võ bị chinh phạt, có mệnh lệnh khiển trách, có lời lẽ răn đe. Ban lệnh, răn đe mà vẫn không tới thì càng thêm sửa đức, không làm nhọc dân phải đi xa. Bởi vậy ở gần không ai không nghe, ở xa không ai không phục. Nay từ khi Đại Tất, Bá Sĩ chết, họ Khuyển Nhung vẫn theo chức phận tới chầu vua. Thiên tử lại nói: Ta ắt chinh phạt vì chúng không tới tham gia tế Hưởng, và cũng để phô diễn binh lực. Vậy chẳng phải phế bỏ lời dạy của tiên vương mà tự chuốc lấy khốn đốn đó sao? Tôi nghe họ Khuyển Nhung gây sự đôn hậu, tuân theo đức cũ, giữ tính thuần phác, họ có cái để phòng ngự ta vậy.”
其母曰：“必致之王。夫兽 三为群，人三为众，女三为粲。王田不取群， 公行不下众， 王御不参一族。 夫粲，美之物也。众以美物归女，而何德以堪之？ 王犹不堪，况尔之小丑乎！小丑备物，终必亡。”	Có ba cô gái đến với Mật Khang công, mẹ ông bảo: “Phải dâng cho vua. Xét ba thủ thành bầy, ba người thành đám, ba gái là sắc. Vua đi săn không bắt cả ba con, chư hầu hành sự không lấy ý kiến dưới ba người, vua lấy phi tần không lấy ba người trong một tộc. Xét sắc là vật đẹp vậy. Người ta đem vật đẹp dâng cho mày, nhưng mày có đức gì mà nhận chứ? Vua còn không nhận, huống hồ là hạng nhãi nhép như mày! Hạng nhãi nhép chất đầy của nả, sau ắt diệt vong.”
康公不献，一年， 共王灭密。	Khang công không dâng. Một năm sau, Cung vương diệt nước Mật.
共王崩，子懿王畑立。	Cung vương băng, con là Ý vương Gian lên ngôi.
懿王崩，共王弟辟方立，是为孝王。	Ý vương băng, em của Cung vương là Tích Phương lên ngôi. Đây là Hiếu vương.
孝王崩，诸侯复立懿王太子 燮，是为夷王。	Hiểu vương băng, chư hầu lại lập con cả của Ý vương là Tiếp lên ngôi. Đây là Di vương.
夷王崩，子厉王胡立。	Di vương băng, con là Lệ vương Hồ lên ngôi.
王行暴虐侈傲，国人谤王。	Lệ vương bạo ngược, xa xỉ, kiêu ngạo, người trong nước đều chỉ trích vua.
其谤鲜矣，诸侯不朝。	Người chỉ trích ít đi, chư hầu không tới chầu.
宣王不脩籍於千亩， 虢文公谏曰 不可， 王弗听。	Tuyên vương không làm lễ Tịch điền. Quắc Văn công can gián nói: “Không được”. Vua không nghe.
夏亡，传此器殷。 殷 亡，又传此器周。	Nhà Hạ mất, truyền vật này cho nhà Ân. Nhà Ân mất, lại truyền vật này cho nhà Chu.
诸侯悉至，至而无寇，襃姒 乃大笑。	Chư hầu đến cả, đến nhưng không có giặc. Bao Tự bèn cười lớn.
申侯怒，与缯、 西夷犬戎攻 幽王。	Thân hầu nổi giận, cùng nước Tăng và vợ Tây di Khuyển Nhung tấn công U vương.
平王立，东迁于雒邑， 辟戎寇。	Bình vương lên ngôi, dời đô sang đông đến Lạc Ấp, để tránh giặc Nhung.
平王之时，周室衰微，诸侯彊并弱，齐、 楚、秦、晋始大，政由方伯。	Thời Bình vương, nhà Chu suy vi, các nước chư hầu lớn nuốt bé. Tề, Sở, Tần, Tấn bắt đầu lớn mạnh. Chính lệnh do Phương bá thao túng.
桓王，平王孙也。	Hoàn vương là cháu nội của Bình vương vậy.
桓王三年，郑庄公朝，桓王不礼。	Hoàn vương năm thứ ba, Trịnh Trang công đến chầu, Hoàn vương không dùng lễ tiếp.
十三年，伐郑， 郑射伤桓王，桓王去归。	Năm thứ mười ba, (Hoàn vương) đánh Trịnh, Trịnh bắn thương Hoàn vương, Hoàn vương rời về.
庄王四年，周公黑肩欲杀庄王 而立王子克。	Trang vương năm thứ tư, Chu Công Hắc Kiên muốn giết Trang vương để lập vương tử Khắc.
十五年，庄王崩，子釐王胡齐立。	Năm thứ mười lăm, Trang vương băng, con là Ly vương Hồ Tề lên ngôi.
五年，釐王崩，子惠王阆立。	Năm thứ năm, Ly vương băng, Con là Huệ vương Lãng lên ngôi.
立釐王弟穨为王。	Bọn Biên Bá lập em của Ly vương là Đồi làm Chu vương.
惠王十年， 赐齐桓公为伯。	Huệ vương năm thứ mười, ban cho Tề Hoàn công làm bá.
三年，叔带与 戎、翟谋伐襄王，襄王欲诛叔带，叔带饹齐。	Năm thứ ba, Thúc Đái cùng bọn Nhung, Địch mưu đánh Tương vương. Tương vương muốn giết Thúc Đái. Thúc Đái chạy đến đất Tề.
王以上卿礼管仲。	Vua dùng lễ Thượng khanh tiếp Quản Trọng.
王曰：“舅氏，余嘉乃勋， 毋逆朕命。”	Vua nói: “Ngươi là sứ thần của cậu ta, ta phải thưởng công người, chở trái mệnh trẫm.”
十三年，郑伐滑， 王使游孙、伯服请滑， 郑人囚之。	Năm thứ mười ba, nước Trịnh đánh nước Hoạt, vua sai Du Tôn, Bá Phục tới xin hộ nước Hoạt, người Trịnh cầm tù họ.
十六年，王绌翟后，翟人来诛，杀谭 伯。	Năm thứ mười sáu, vua phế truất Địch hậu, người Địch tới đánh, giết Đàm Bá.
襄王乃赐晋文公珪鬯弓矢，为伯，以河内 地与晋。	Tương vương bèn ban cho Tấn Văn công ngọc khuê, rượu sưởng (rượu nếp), cung tên, phong cho tước Bá, đem đất Hà Nội ban cho Tấn.
顷王六年，崩，子匡王班 立。 匡王六年，崩，弟瑜立，是为定王。	Năm Khoảnh vương thứ sáu, vua băng, Con là Khuông vương Ban lên ngôi. Năm Khuông vương thứ sáu, vua băng, em là Du lên ngôi. Đây là Định vương.
定王元年，楚庄王伐陆浑之戎， 次洛，使人问九鼎。	Định vương năm đầu, Sở Trang vương đánh người Nhung vùng Lục Hồn, đóng quân ven sông Lạc, sai người đến hỏi chín đỉnh.
王使王孙满应设以辞，楚兵乃 去。	Vua sai Vương Tôn Mãn dùng lời lẽ thích đáng đáp lại, quân Sở mới lui.
猛为悼王。	Mãnh chính là Điệu vương.
四年，晋率诸侯入敬王于周，子朝为臣， 诸侯城周。	Năm thứ tư, nước Tấn dẫn chư hầu đưa Kinh vương về đất Chu, bắt Tử Triêu làm bề tôi. Chư hầu xây thành ở đất Chu.
命韩、魏、赵为诸侯。	Ban cho Hàn, Ngụy, Triệu làm chư hầu.
显王五 年，贺秦献公，献公称伯。	Hiển vương năm thứ năm, vua chúc mừng Tần Hiến công, Tần Hiến công xưng bá.
九年，致文武胙於秦孝公。	Năm thứ chín, gửi thịt tế Văn vương, Võ vương cho Tần Hiếu công.
慎靓王立六年，崩，子赧王 延立。	Thận Tịnh vương ở ngôi sáu năm thì băng, con là Noãn vương Diên lên ngôi.
乃谓梁王曰：“周王病若死，则犯必死矣。 犯请以九鼎自入於王，王受九鼎而图犯。”	. Đoạn bảo Lương vương rằng: “Vua Chu đang khốn đốn, nếu chết thì Phạm tội cũng ắt chết. Phạm tôi xin đem chín đỉnh trao cho vương, vương nhận chín đỉnh thì cứu tôi.”
明年，败耆国。	Năm sau nữa, đánh bại nước Kỳ.
西伯盖即位五十年。	Tây Bá ở ngôi chừng năm mươi năm.
其囚羑里，盖益易之八卦为六十四卦。	Khi bị tù ở Dữu Lý, ngài tăng tám quẻ của Dịch thành sáu mươi tư quẻ.
九年，武王上祭于毕。	Chín năm sau, Võ vương tới tế (Văn vương) ở đất Tất.
武王渡河，中流，白鱼跃入王舟中， 武王俯取以祭。	Võ vương vượt sông Hoàng Hà, đến giữa dòng, cá trắng nhảy vào thuyền vua, Võ vương cúi nhặt lấy đem tế.
封商纣子禄父殷之馀民。	Ban phong người dân còn lại của nhà Ân cho con Trụ là Lộc Phủ.
武王为殷初定未集，乃使其弟管叔鲜、 蔡叔度相禄父治殷。	Võ vương lại vì nước Ân vừa định chưa yên, sai em là Quản Thúc Tiên, Sái Thúc Độ giúp Lộc Phủ trị nước Ân.
武王至于周，自夜不寐。	Võ vương tới đất Chu, cả đêm không ngủ.
王曰：“告女：维天不飨殷，自发未生於今六十 年，麋鹿在牧， 蜚鸿满野。 天不享 殷，乃今有成。 维天建殷，其登名民三百六十夫，不显亦不宾灭， 以至 今。我未定天保，何暇寐！”	Vua nói: “Để ta nói cho ngươi hay, trời không hưởng cúng tế của nhà Ân, từ khi Phát ta chưa sinh đến giờ đã sáu mươi năm rồi. Nai hoẵng ở đồng, côn trùng khắp nội. Vì trời không hưởng cúng tế của nhà Ân nên mới có thành công hôm nay. Trời lập ra nhà Ân, từng dùng ba trăm sáu mươi người hiền, tuy công tích không rõ rệt song không đến nỗi diệt vong, nên trải đến ngày nay. Ta chưa chắc được trời che chở, đâu rảnh để ngủ.”
周公奉成王命，伐诛武 庚、管叔，放蔡叔。	Chu công vâng mệnh Thành vương, thảo phạt Võ Canh, Quản Thúc, lưu đày Sái Thúc.
周公受禾东土，鲁天子之命。	Chu công nhận lúa ở phía đông, tuyên bố mệnh lệnh của thiên tử.
康王 命作策毕公分居里，成周郊， 作毕命。	Khang vương hạ lệnh hoạch định phương sách. Tất công phân chia chỗ ở, hoạch định ngoại ô nhà Chu, viết thiên Tất mệnh.
穆王即位，春秋已五十矣。	Mục vương lên ngôi, tuổi đã năm mươi.
王道衰微，穆王闵文武之道 缺，乃命伯■申诫 太仆 国之政，作■命。 复宁。	Vương đạo suy vi, Mục vương buồn vì đạo của Văn vương, Võ vương bị tổn khuyết, bèn cho Bá Quýnh làm chức Thái bộc, răn bảo nền quốc chính, viết thiên Quýnh mệnh, nước lại yên bình.
穆王立五十五年，崩，子共王繄扈立。	Mục vương ở ngôi năm mươi lăm năm thì băng. Con là Cung vương Ê Hỗ lên ngôi.
厉王即位三十年，好利，近荣夷公。	Lệ vương ở ngôi ba mươi năm, hám của, gần gụi Vinh Di Công.
三十四年，王 益严，国人莫敢言，道路以目。	Năm thứ ba mươi tư, vua ngày càng hà khắc, người trong nước không ai dám nói, đi đường chỉ đưa mắt nhìn nhau.
於是国莫敢出言，三年，乃相与畔，袭厉王。	Thế rồi cả nước chẳng ai dám nói lời nào, ba năm sau theo nhau tạo phản, tấn công Lệ vương.
共和十四年，厉王死于 彘。	Năm Cộng Hòa thứ mười bốn, Lệ vương mất đất Trệ.
太史伯阳曰：“祸成矣，无可奈 何！”	Thái sử Bá Dương nói: “Gây nên họa rồi! Còn làm được gì?”
四十九年，鲁隐公即位。	Năm thứ bốn mươi chín, Lỗ Ấn công lên ngôi.
五年，郑 怨，与鲁易许田。	Năm thứ năm, Trịnh oán, đổi ruộng Hứa với Lỗ.
四年，郑与虢君伐杀 王穨，复入惠王。	Năm thứ tư, vua Trịnh và vua Quắc đánh giết Chu vương Đồi, lại rước Huệ vương về.
郑文公怨惠王之入不与厉公爵， 又怨襄王之与卫滑， 故囚伯服。	Trịnh Văn công oán Huệ vương về nước không ban chén rượu cho Lệ công, lại oán Tường vương đem nước Hoạt cho nước Vệ, nên cầm tù Bá Phục.
十七年，襄王告急于 晋，晋文公纳王而诛叔带。	Năm thứ mười bảy, Tương vương cấp báo với nước Tấn, Tấn Văn Công đón vua và giết Thúc Đái.
二十年，晋文公召襄王，襄王会之河阳、践土， 诸侯毕朝，书讳曰“天王狩于河阳”。	Năm thứ hai mươi, Tấn Văn công triệu kiến Tương vương. Tương vương hẹn gặp ở Hà Dương, Tiễn Thổ. Chư hầu đều đến chầu. Sách viết kiêng là “Thiên vương tuần thú ở Hà Dương”.
灵王二十四年，齐崔杼弑其君 庄公。	Linh vương năm thứ hai mươi bốn, Thôi Trữ nước Tề giết vua Trang công.
十六年，子朝之徒复作乱，敬王饹于晋。	Năm thứ mười sáu, bọn Tử Triêu lại làm loạn, Kinh vương chạy đến nước Tấn.
十七 年，晋定公遂入敬王于周。	Năm thứ mười bảy, Tấn Định công lại đưa Kinh vương vào đất Chu.
三十九年，齐田常杀其君简公。	Năm thứ ba mươi chính Điền Thường ở nước Tề giết vua là Giản công.
定王十六年，三晋灭智伯，分有其地。	Định vương năm thứ mười sáu, Tam Tấn diệt Trí Bá, phân chia đất ấy.
考王十五年，崩， 子威烈王午立。	Khảo vương năm thứ mười lăm, vua băng, con là Uy Liệt vương Ngọ lên ngôi.
三十三年，贺秦惠王。	Năm thứ ba mươi ba, vua chúc mừng Tần Huệ vương.
三十 五年，致文武胙於秦惠王。	Năm thứ ba mươi lăm, gửi thịt tế Văn vương, Võ vương cho Tần Huệ vương.
王 赧徙都西周。	Noãn vương dời đô đến Tây Chu.
王赧谓成君。	Noãn vương nói chuyện với Thành Quân.
五十八年，三晋距秦。	Năm thứ năm mươi tám, Tam Tấn chống Tần.
客谓相国曰：“秦之轻重未可 知也。秦欲知三国之情。公不如 急见秦王曰‘请为王听东方之变’，秦王必重公。重公，是秦重周， 周以取秦也；齐重，则固有周聚 以收齐：是周常不失重国之交也。”	Có người nói với tướng quốc rằng: “Tần coi khinh hay coi trọng ông còn chưa thể biết được. Tần muốn biết tình hình của Tam Tấn. Ông chẳng thà gặp gấp Tần vương mà nói rằng: Tôi xin nghe ngóng diễn biến miền Đông cho vương. Tần vương ắt coi trọng ông. Coi trọng ông tức là Tần coi trọng Chu, Chu nhân đó mà tranh thủ sự coi trọng của Tần. Nếu Tề coi trọng Chu, thì đã có Chu Tụ nhận được sự tôn trọng của Tề. Như vậy Chu không bao giờ đánh mất mối giao hảo với nước lớn vậy.”
西周君饹秦，顿 首受罪，尽献其邑三十六，口三万。	Vua Tây Chu chạy đến Tần, dập đầu nhận tội, dâng hết ba mươi sáu ấp, ba vạn nhân khẩu cho Tần.
东西周皆 入于秦，周既不祀。	Đông Chu, Tây Chu đều sáp nhập vào Tần. Nhà Chu từ đó không còn được thờ cúng.
至犬戎败幽王，周乃 东徙于洛邑。	Đến khi Khuyển Nhung đánh bại U vương, nhà Chu mới dời sang đông tới Lạc Ấp.
东观兵，至 于盟津。	Duyệt binh ở phía đông, đến bến Mạnh Tân.
既渡，有火自上复于下，至于王屋，流为乌，其色赤，其声魄云。	Sau khi vượt sông, có ngọn lửa từ trên cao phun ngược xuống dưới, chạm phải phòng vua, hóa thành con quạ, sắc đỏ, tiếng kêu vang vọng.
十一年十二月戊午，师毕渡盟 津，诸侯咸会。	Ngày Mậu Ngọ tháng Mười hai năm thứ mười một, toàn bộ đại quân vượt bến Mạnh Tân, chư hầu đến đủ.
武王左杖黄钺，右秉白旄， 以麾。	Võ vương bên trái chống cây rìu vàng, bên phải cầm cờ mao trắng để chỉ huy.
誓 已，诸侯兵会者车四千乘，陈师牧野。	Tuyên thệ xong, quân chư hầu đến họp có bốn nghìn Cỗ chiến xa, bày quân ở Mục Dã.
纣走，反入登 于鹿台之上，蒙衣其殊玉， 自燔于火而死。	Trụ tháo chạy, quay về leo lên Lộc Đài, mặc áo ngọc, tự nhảy vào lửa mà chết.
於是武王使群臣告语商百 姓曰：“上天降休！”	Thế rồi Võ vương sai quần thần bảo với bản tánh nước Thương rằng: “Ông trời giáng phúc?”
武 王又射三发，击以剑，斩以玄钺， 县其头小白之旗。	Võ vương lại bắn tên ba phát, dùng kiếm chém, chặt đầu bằng rìu đen, treo đầu họ lên cờ trắng nhỏ.
及期，百夫荷罕旗以先驱。 武王弟叔振铎奉陈常车，周公旦把大钺，毕公把小钺，以夹 武王。	Đến ngày hẹn, trăm lính vác cờ Hãn đi trước, em Võ vương là Thúc Chấn Đạc bày xe nghi trượng, Chu công Đán cầm rìu lớn, Tất Công cầm rìu nhỏ theo hai bên Võ vương.
既入，立于社南大卒之 左，右毕从。	Vào xã đàn, Võ vương đứng ở phía nam, bên trái đại quân tinh nhuệ, hai bên phải trái đều có quân theo.
命宗祝享祠于军。	Lệnh cho quan Tông chúc cúng tế trong quân.
三十九年，战于千 亩，王师败绩于姜氏之戎。	Năm thứ ba mươi chín, giao chiến ở Thiên Mẫu, quân vua bị rợ nhung họ Khương đánh bại.
漦流于庭，不可除。 厉王使妇人 裸而譟之。	Nước dãi chảy ra sân, không thể gột bỏ, Lệ vương sai đàn bà trần truồng hò hét.
宣王之时童女谣曰：“檿弧箕服，实亡周 国。”	Thời Tuyên vương có đứa đồng nữ hát bài ca dao: “Cung dâu tên cỏ, nhà Chu mất đó”.
幽王举烽火徵兵，兵莫至。	U vương đốt lửa báo hiệu, trưng tập quân đội, nhưng không quân nào tới.
釐王三年，齐桓 公始霸。	Ly vương năm thứ ba, Tề Hoàn công bắt đầu xưng bá.
富辰谏曰：“平、桓、庄、惠皆受郑劳，王 弃亲亲翟，不可从。”	Phú Thần can gián nói: “Bình vương, Hoàn vương, Trang vương, Huệ vương đều nhận sự giúp đỡ từ Trịnh, vua bỏ thân thích để gần gũi người Địch, không thể làm vậy được?”
是岁盗杀楚声王。	Năm ấy đạo tặc giết chết Sở Thanh vương.
王赧时东西周分 治。	Thời Noãn vương, Đông Chu, Tây Chu chia tách, tự trị.
楚围雍氏， 韩徵甲与粟於东周，东周君恐，召苏代而告 之。	Sở bao vây Ung thị, Hàn chiêu binh và lương thực ở Đông Chu, vua Đông Chu sợ, triệu Tô Đại tới kể sự tình.
三十四年，苏厉谓周君曰：“秦破韩、魏，扑师武， 北取赵蔺、离石 者， 皆白起也。是善 用兵，又有天命。今又将兵出塞攻梁， 梁破则周危矣。君何不令人 说白起乎？曰‘楚有养由基者，善射者也。去柳叶百步而射之，百发 而百中之。左右观者数千人，皆曰善射。有一夫立其旁，曰“善，可 教射矣”。	Năm thứ ba mươi tư, Tô Lệ nói với vua Chu rằng: “Tần phá Hàn, Ngụy, đánh Sư Võ, phía bắc lấy được đất Lận, Ly Thạch của Triệu, đều là công của Bạch Khởi vậy. Người này giỏi dùng binh, lại có mệnh trời Nay lại đem quân vượt ải đánh Lương, Lương mà vỡ thì Chu nguy vậy. Sao vua không sai người nói với Bạch Khởi rằng: nước Sở có người tên là Dưỡng Do Cơ, giỏi bắn tên. Cách lá liễu trăm bước mà bắn, trăm phát trăm trúng. Người xem xung quanh có đến mấy nghìn đều bảo là thiện xạ. Có một người đứng bên nói giỏi đấy, có thể dạy bắn tên được rồi. Dưỡng Do Cơ tức giận, buông cung rút kiếm nói ngươi làm sao có thể dạy ta bắn tên?”
秦信周，发兵攻三晋。	Tần tin Chu, phát binh đánh Tam Tấn.
後七岁，秦庄襄王灭东周。	Bảy năm sau, Tần Trang Tương vương diệt Đông Chu.
所谓“周公葬毕”，毕在镐东南杜中。	Thường vẫn nói rằng Chu công chôn ở đất Tất, mà đất Tất nằm ở Xã Trung phía đông nam đất Cảo.
居二年，闻纣昏乱暴虐滋甚，杀王子比干，囚箕子。	Qua hai năm, nghe tin Trụ hôn loạn, bạo ngược ngày càng quá quắt, giết vương tử Tỷ Can, cầm tù Cơ Tử.
二月 甲子昧爽，武王 朝至于商郊牧野，乃誓。	Mờ sáng ngày Giáp Tý tháng hai, Võ vương từ sớm đã tới ngoại ô Mục Dã đất Thương, rồi tuyên thệ.
武王至 商国，商国百姓咸待於郊。	Võ vương tới kinh đô nước Thương, bá tánh trong thành đều đợi ở ngoại ô.
商人皆再拜稽首，武王亦答拜。	Người Thương lại bái lạy dập đầu, Võ vương cũng vái trả.
武王又再拜稽首，乃出。	Võ vương lại vái lạy dập đầu, rồi bước ra.
行狩，记政事，作武成。	Đi tuần thú, chép chính sự, viết thiên Võ thành.
王曰：“定天保，依天室，悉求夫恶， 贬从殷王受。 日夜劳来定 我西土，我维显服，及德方明。 自洛汭延于 伊汭，居易毋固，其有夏之居。 我南望三涂，北望岳鄙，顾詹有河， 粤詹雒、伊，毋远天室。”	Vua lại nói: “Phải chắc chắn được trời che chở, nương dựa các chòm tinh tú, bắt hết bọn ác bá, trị theo tội vua Ân. Ta ngày đêm gắng gỏi, định yên đất Tây, xử sự sáng suốt, đến khi đức sáng khắp nơi. Từ eo sông Lạc trải tới eo sông Y, đất bằng không hiểm, nơi ấy có người Hạ ở. Ta phía nam trông Tam Đồ, phía bắc trong cõi Nhạc, ngoảnh nhìn Hoàng Hà, nom sông Lạc – Y, (vùng ấy) chẳng khác các chòm tinh tú.”
颇收 殷馀民，以封武王少弟封为卫康叔。	Gom tụ dần di dân nhà Ân, đem phân cho em nhỏ của Võ vương là Phong, phong làm Vệ Khang Thúc.
王曰：“吁，来！有国有土，告汝祥刑。 在今尔安百姓，何择非其人， 何敬非其刑，何 居非其宜与？ 两造具备，师听五 辞。 五辞简信，正於五刑。 五刑不简，正於五罚。 五罚不 服，正於五过。 五过之疵，官狱内狱，阅实其罪， 惟钧其过。五 刑之疑有赦，五罚之疑有赦，其审克之。 简信有众，惟讯有稽。 无简不疑，共严天威。 黥辟疑赦，其罚百率， 阅实其罪。劓辟疑赦，其罚倍洒， 阅实其罪。膑辟疑赦，其罚倍差， 阅实其罪。宫辟疑赦，其罚五 百率，阅实其罪。大辟疑赦，其罚千率，阅实其 罪。墨罚之属千，劓罚之属千，膑罚之属五百，宫罚之属三百，大辟 之罚其属二百：五刑之属三千。” 命曰甫刑。	Vua nói: “Này, lại đây! Những kẻ có nước có đất! Ta bảo các ngươi phải khéo léo sử dụng hình pháp! Nay các người muốn giữ yên trăm họ, lựa chọn người nào, chẳng phải người hiền sao? Kính trọng việc gì, chẳng phải hành pháp sao? Xử sự việc gì, chẳng phải sự thích nghi sao? Đôi bên đến đủ, quan xét năm lời, năm lời chứng thực, xử theo năm hình, năm hình không hợp, xử theo năm phạt, năm phạt không hợp, xử theo năm lỗi, bệnh về năm lỗi là ỷ thế và đút lót, lỗi ấy chứng thực, xử theo đúng tội. Xử theo năm hình mà còn có điều ngờ vực thì khoan giảm theo năm phạt, xử theo năm phạt mà còn có điều ngờ vực thì khoan giảm theo năm lỗi, nên xét cho kỹ! Chứng thực sự thành tín để hợp với lòng dân, tra xét phải có chứng cứ. Không chứng thực được thì không quyết án, phải kính oai trời. Xử thích chữ mà có điều ngờ vực thì tha, phạt trăm tiền, thẩm tra đúng tội! Xử cắt mũi mà có điều ngờ vực thì tha, phạt gấp đôi, thẩm tra đúng tội! Xử chặt chân mà có điều ngờ vực thì tha, phạt hơn gấp đôi, thẩm tra đúng tội! Xử hoạn mà có điều ngờ vực thì tha, phạt năm trăm tiền, thẩm tra đúng tội! Xử tội chết mà có điều ngờ vực thì tha, phạt nghìn tiền, thẩm tra đúng tội! Xử thích chữ có một nghìn điều mục; xử cắt mũi có một nghìn điều mục; xử chặt chân có năm trăm điều mục, xử hoạn có ba trăm điều mục; xử tử hình có hai trăm điều mục. Năm loại hình phạt có cả thảy ba nghìn mục, được gọi là Phủ hình.”
三年，幽王嬖爱襃姒。	Năm thứ ba, U vương sủng ái Bao Tự.
襃姒不好笑，幽王欲其笑万方，故不笑。	Bao Tự không thích cười, U vương muốn ả cười bằng mọi cách, nhưng vẫn không cười.
及惠王即位，夺其 大臣园以为囿，故大夫边伯等五人作乱， 谋召燕、卫师， 伐惠王。	Đồi được yêu chiều. Kịp khi Huệ vương lên ngôi, (Huệ vương) đoạt lấy vườn của Đại Thần làm vườn thú, nên bọn đại phu Biên Bá năm người làm loạn, âm mưu gọi quân nước Yên, Vệ, đánh Huệ vương.
襄王出饹 郑，郑居王于 氾。	Tương vương chạy đến đất Trịnh. Người Trịnh cho vua ở đất Phiếm.
威烈王二十三年，九鼎震。	Uy Liệt vương năm thứ hai mươi ba, chín đỉnh rung động.
