孝武皇帝者， 孝景中子也。	Hiếu Vũ hoàng đế là con giữa của Hiếu Cảnh hoàng đế.
乃命祠官进畤犊牢 具，五色食所胜，而以木 禺马 代驹焉。	Bèn lệnh cho quan cúng tế dâng vào các đàn chỉ cỗ thịt nghé, màu lông của vật tế lựa theo ngũ hành, dùng ngựa gỗ thay cho ngựa non.
独五帝用驹，行亲郊 用驹。 及诸名山川用驹者，悉以木禺马代。 行过，乃用驹。	Riêng tế Ngũ đế thì dùng ngựa non, vua đích thân tế Giao cũng dùng ngựa non. Khi vua tuần hành qua vùng nào, vùng nấy mới dùng ngựa non tế thần.
天子既令设祠具，至东 泰山，东泰山卑小，不称其声，乃令祠官礼之，而不封禅焉。	Thiên tử bèn hạ lệnh sắp đồ tế, tới Đông Thái Sơn. Đông Thái Sơn nhỏ thấp, không xứng với tên gọi, bèn lệnh cho quan công hành lễ, chứ không phong thiện ở đây.
夏，遂还泰山，脩五年之礼如前，而加禅祠石闾。	Mùa hè, bèn quay lại Thái Sơn, làm lễ phong thiện năm năm một lần như trước, đồng thời tế thêm thần đất ở Thạch Lư.
乃作画云气 车，及各以胜日 驾车辟恶鬼。	Đoạn làm ra loại xe vẽ khí mây, mỗi ngày dùng xa giá có màu theo ngũ hành tương khắc, để xua ác quỷ.
鼎大异於众鼎，文镂毋 款识， 怪之，言吏。	Đỉnh lớn khác hẳn các đỉnh khác, chạm hoa văn song không có đề khoản. Thày đồng lấy làm lạ, liền báo quan.
有司皆曰：“闻昔大帝兴神鼎一， 一者一统，天地万物所系终也。黄帝作宝鼎 三，象天地人也。禹收九牧之金，铸九鼎，皆尝■烹 上帝鬼神。 遭圣则兴， 迁于夏商。周德衰，宋之社亡， 鼎乃沦伏而不见。颂 云‘自堂徂基， 自羊 徂牛；鼐鼎 及鼒，不虞不 骜， 胡考之休’。今鼎至甘泉，光润 龙变，承休无疆。合兹中山，有黄白云降 盖，若兽为符， 路弓乘矢， 集获坛下，报祠大飨。 惟受命而帝者心知其意 而合德焉。鼎宜见於祖祢，藏於帝廷，以合明应。”	Quan hữu ty đều nói: “Nghe nói xưa Đại Đế cho đúc một chiếc đỉnh thần, một nghĩa là thống nhất, là chỗ sau rốt trời đất vạn vật cùng hòa quện. Hoàng Đế cho làm ba chiếc đỉnh báu, tượng trưng trời, đất và người vậy. Vua Vũ gom đồng của chín châu, đúc chín đỉnh, đều từng dùng để nấu vật tế, dâng cúng thượng đế, quỷ thần. Gặp bậc thanh minh thì hiện, truyền đến đời Hạ, đời Thương. Đức nhà Chu suy, xã đàn nước Tống hủy, đỉnh chìm mất không thấy. Chu tụng nói: “Từ nhà ra thềm, từ dễ tới trấu, đỉnh vạc thanh tịnh, không kiêu không loạn, cầu phúc sống lâu. Nay đưa đình tới Cam Tuyền, bóng đẹp như rồng hóa, nhận phúc vô cùng. Đúng lúc Trung Sơn có mây trắng vàng che phủ, như hình thú ấy là điềm báo, trên đường bệ hạ ra tay cung tiễn, săn bắt dưới đàn, cúng tế báo ơn. Duy có người nhận mệnh xưng đế, lòng thấu ý trời, hợp với đức của thiên đế mà thôi. Đỉnh nên cúng vào tổ miếu, cất ở cung đình, để hợp với điềm ứng của thần minh.”
上遂郊雍，至陇西，西登空桐， 幸甘泉。	Vua bèn tế Giao ở đất Ung, tới Lũng Tây, lại đi về phía tây leo lên núi Không Đồng, chơi đất Cam Tuyền.
十一月辛已朔旦冬至，昧爽，天子始郊拜泰一。	Tháng Mười một, ngày Tân Tỵ, mồng một giao tiết Đông chí, sáng sớm, thiên tử bắt đầu tế thần Thái Nhất ở ngoài thành.
天子亲幸缑氏城视迹。	Thiên tử đích thân tới thành Câu Thị xem vết tích.
问卿：“得毋效文成、五利乎？”	Hỏi Khanh: “Không bắt chước Văn Thành, Ngũ Lợi đó chứ?”
封广丈二尺，高九尺，其下则 有玉牒书，书祕。	Đàn tế rộng một trượng hai thước, cao chín thước, phía dưới có sở ngọc điệp, giữ kín.
丙辰，禅泰山下阯东北肃 然山，如祭后土礼。	Ngày Bính Thìn, tế đất ở núi Tiêu Nhiên phía đông bắc dưới chân núi Thái Sơn, làm như lễ tế Hậu Thổ.
於是制 诏御史：“朕以眇眇之身承至尊，兢兢焉惧弗任。维德菲薄，不明于 礼乐。脩祀泰一，若有象景光，箓如有望， 依依震於怪物，欲止不敢，遂登封泰山，至於梁父，而后禅肃 然。自新，嘉与士大夫更始，赐民百户牛一酒十石，加年八十孤寡布 帛二匹。复博、奉高、蛇丘、历城，毋出今 年租税。其赦天下，如乙卯赦令。行所过毋有复作。事在二年前，皆 勿听治。”	Thế rồi vua xuống chiếu cho ngự sử, viết: “Trẫm đem thân nhỏ gánh vác ngôi chí tôn, nơm nớp lo sợ không cáng đáng được. Đức trẫm thì mỏng, không hiểu rõ lễ nhạc. Tế thần Thái Nhất, dường như có ánh sáng đẹp, luôn hiện trước mắt, ta sững sờ bởi cảnh tượng kỳ lạ, muốn ngăn lại mà không dám, bèn lên Thái Sơn tế trời, đoạn tới Lương Phụ, rồi tế đất ở núi Túc Nhiên. Trẫm tự sửa mình, gắng cùng sĩ đại phu đổi mới. Ban cho dân cứ trăm hộ được một con trâu, mười thạch rượu; người già tuổi tám mươi cùng cô nhi quả phụ bạn thêm hai thớt vải, lụa. Miễn lao dịch cho các vùng Bác huyện, Phụng Cao, Xà Khưu, Lịch Thành, không cần nộp tô thuế năm nay. Đại xá thiên hạ, như lệnh tha năm Ất Mão. Những nơi trẫm đi qua chớ phạt phục tác. Việc xảy ra từ hai năm trước đều không truy cứu nữa.”
上乃遂去，并海上，北至碣石，巡自辽西，历北边至 九原。	Vua bèn rời đi, men theo biển đi lên phía bắc tới Kiệt Thạch, đi tuần từ Liêu Tây, qua biên giới phía bắc tới Cửu Nguyên.
北至琅邪，并海上。	Phía bắc tới Lang Da, men theo biển đi lên.
於是作建章宫， 度为千门万户。	Thế rồi dựng cung Kiến Chương, quy mô tới ngàn nhà vạn cửa.
天子益怠厌方士之怪迂语矣，然终羁縻弗绝，冀遇其真。	Thiên tử ngày một ghét những lời quái đản vu khoát của bọn phương sĩ, song rốt cuộc chỉ buông lỏng, không cắt đứt, mong được gặp thần tiên thật.
至若俎豆珪币之详，献酬之礼，则有 司存焉。	Còn như quy định cụ thể về mâm bát ngọc lụa, nghi lễ hiến tế báo đáp thì đã có các quan hữu ty lưu giữ.
居月馀，得四金印，佩天士将军、地土将军、大通将 军、天道将军印。 制诏御史：“昔禹疏九江，决四渎。间者河溢皋 陆，隄繇不息。 朕临天下二十有八年，天若 遗朕士而大通焉。 乾称‘蜚 龙’，‘鸿渐于般’， 意庶几与焉。 其以二千户封地士将军大为乐通侯。”	Qua hơn một tháng, y được trao bốn chiếc ấn vàng, đeo ấn Thiên Sĩ tướng quân, Địa Sĩ tướng quân, Đại Thông tướng quân, Thiên Đạo tướng quân, Vua ban chiếu cho Ngự sử viết: “Xưa kia vua Vũ thông chín sông, khơi bốn dòng. Gần đây nước Hoàng Hà dâng trào, ngập đất liền, lao dịch đắp để không dứt. Trẫm cai trị thiên hạ đã hai mươi trưởng Công chúa (cô vua), tám năm, dường như trời tặng cho trẫm một vị phương sĩ, mà Loan Đại có thể thông hiểu được ý trời. Quẻ Càn nói “rồng bay trên trời? “chim hồng dần tới bàn thạch”, ý chừng khen ngợi người này. Hãy đem hai ngàn hộ phong cho Địa Sĩ tướng quân Loan Đại làm Lạc Thông hầu?”
乘舆斥车马 帷帐器物以充其家。	Xe, ngựa, màn, trướng vật dụng vua không dùng đem chất đầy nhà y.
江淮间一茅三脊 为神藉。	Vùng Giang Hoài có một loại cỏ tranh thân ba sọc, dùng làm chiếu đệm cho thần.
使二卿将卒塞决河，河徙 二渠，复禹之故迹焉。	Sai hai tướng đem quân tới lấp chỗ đê vỡ ở Hoàng Hà, khiến Hoàng Hà đổ vào hai con kênh chạy ra biển, khôi phục dấu tích xưa của vua Vũ.
其夏六月中，汾阴巫锦为民祠魏脽后 土营旁，见地如钩状， 掊视得鼎。	tướng quân tướng, thừa Giữa tháng Sáu mùa hạ năm ấy, thày đồng Cẩm ở Phần Âm cúng cho dân bên cạnh đền Hậu Thổ ở Ngụy Thùy, thấy đất như hình lưỡi câu, vạch đất ra xem thì được chiếc đỉnh.
吏告河东太守胜，胜以闻。	Quan lại báo với Thái thú quận Hà Đông tên là Thắng, Thắng đem tâu cho thiên tử hay.
天子曰：“间者河溢，岁 数不登，故巡祭后土，祈为百姓育穀。今年丰庑未有报，鼎曷为出 哉？”	Thiên tử nói: “Vừa rồi Hoàng Hà dâng tràn, mấy năm thất bát, cho nên ta mới tuần du tế Hậu Thổ, cầu cho trăm họ gieo trồng được ngũ cốc. Năm nay được mùa nhưng chưa bẩm báo thần linh. Đỉnh này có sao lộ ra vậy?”
於是塞南越，祷祠泰一、后土，始用乐 舞，益召歌兒，作二十五弦及箜篌瑟 自此起。	Thế rồi đem việc diệt Nam Việt tế cáo thần Thái Nhất, Hậu Thổ, bắt đầu dùng vũ nhạc, thêm số trẻ hát, chế ra đàn sắt hai mươi lăm dây và đàn Không hầu là bắt đầu từ đây.
乃遂北巡朔方，勒兵十馀 万，还祭黄帝冢桥山，泽兵须如。	Đoạn bèn lên phía bắc tuần du quận Sóc Phương, thống lĩnh hơn mười vạn quân, quay về tế mộ Hoàng Đế ở Kiều Sơn, khao quân ở Tu Như.
赞飨曰：“德星昭衍， 厥维休祥。寿星仍出， 渊耀光明。信星昭见， 皇帝敬拜泰祝之飨。”	Lời khấn rằng: “Sao đức sáng rọi, là điềm phúc lành. Sao thọ nối mọc, rực rỡ quang minh. Sao tín sáng bừng, hoàng đế kính lạy các thần quan Thái chúc đã tế!”
春，至鸣泽，从 西河归。	Mùa xuân, tới Minh Trạch, theo đường Tây Hà trở về.
浮江，自寻阳出枞阳， 过彭蠡，祀其名山川。	Đi từ Tầm Dương ra Tung Dương, qua Bành Lãi, tế các núi cao sông lớn.
